,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,25833230,乐高幻影忍者大电影,d2c49c0225080f8c40eb5c13538f8a57,be2811ab2bf871f0dadd2a1e473a49a7,3.0,2017-10-12 23:38:37,"作为乐高系列的第三部院线大电影，《乐高幻影忍者大电影》(The Lego Ninjago Movie, 以下简称“乐高忍者”)已于今年9月22日在北美上映，由华纳兄弟出品及发行，同时亦是其子公司华纳动画参与制作的第四部动画电影。 乐高系列大电影一贯走“逗贱”风格，再加上乐高积木的独特属...

                         ( 展开 )",28.0,1.0,7
1,1,25833230,乐高幻影忍者大电影,7adbb44f934e459a365f7ee106cbc115,1279238e65e56b3be056e949c932c845,5.0,2017-10-25 09:43:09,"话说自从2011年乐高幻影忍者系列动画开始播放，一季又一季的更新，感觉这就是一个讲不完的类似魔幻哈利波特儿童版的故事，让一小块一小块的积木赋予不一样的生命力，让故事人物鲜活起来，更让乐高积木玩具成为孩子们不可或缺的系列玩具，精彩的故事世界里，五个小忍者在吴大师...

                         ( 展开 )",5.0,,0
2,2,25833230,乐高幻影忍者大电影,67b9bceb39ddff6e10bd697b7e1d74be,1d842298d57e9138ed3e9ebfa3c0534d,5.0,2017-10-19 02:13:34,"这篇影评可能有剧透 

                        其实这个动画片还是挺套路的。Garmadon虽然是反派，不过一定会被Lloyd感化，成为好人，父子情深。其他的几个小伙伴一定会在故事中间和Lloyd发生矛盾，但是还是会原谅他。Master Wu就是世外高人，危机的时候一定会突然出现，然后永远都会说一些看似高深莫测的话。Lloyd作为一个...

                         ( 展开 )",27.0,,2
3,3,25833230,乐高幻影忍者大电影,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2019-05-18 22:17:12,"推销玩具——《乐高幻影忍者大电影》 今天继续介绍乐高动画电影《乐高幻影忍者大电影》。 片名The Lego Ninjago Movie / Ninjago (2017)，别名LEGO旋风忍者大电影(港) / 乐高旋风忍者电影(台) / 乐高忍者。 这是一部美国/丹麦的动画电影。 乐高电影的最主要目的就是服务企业生...

                         ( 展开 )",,,0
4,4,25833230,乐高幻影忍者大电影,d487ccad09cb7fc0e364197c5857eaf4,0b0154c53a6f89c7ecd04c774f253da7,3.0,2018-07-04 12:38:38,"这篇影评可能有剧透 

                        故事很簡單，講述分離很久的父子相認的故事 笑點很多，從頭笑到尾，但是電影院很多小小孩感覺都不太懂 比如說:主角叫做勞埃德，可是主角的爸爸跟他相認的時候卻叫他勞力士 這邊可能小小孩就不是很懂勞力士是什麼....所以叫笑不出來。 這部電影比較適合大小孩來看。 電影很勵志...

                         ( 展开 )",,,0
5,5,25833230,乐高幻影忍者大电影,547035f4e21927bde503c022194ba859,e0a80b472c641e60af74937cdde82e17,4.0,2018-05-01 05:13:49,"这篇影评可能有剧透 

                        单从电影的角度讲，相比之前的乐高大杂烩和蝙蝠侠，乐高忍者确实更胜一筹，所以才给4星推荐，但从好莱坞电影人的内心剖析，其深深的种族歧视和美式傲慢让我无法热爱它。 整部片从头到尾跟所谓“忍者”有关的东西都是中国元素。片头的成龙、瓷器古玩、室内装潢，片中的吴大师形...

                         ( 展开 )",1.0,2.0,4
6,6,25833230,乐高幻影忍者大电影,7e08f5c1dc7701a14d620f86bfebf1dd,353415f6732b9857571b28be3b747987,2.0,2017-12-26 17:38:49,"有成龙，罢了！ 这一部只能说中规中矩偏下吧，剧情上没什么特别的，依然是一部喧哗式的搞笑娱乐片，剧情老套。不过因为小孩一直吵着要看忍者，所以就开了这个给他看，一开始看挺嫌弃的，不过应该说小孩天性吧，都对这种类型的没有什么抵抗力吧，看到后面也算是看的挺入神的，就...

                         ( 展开 )",,,0
7,7,25833230,乐高幻影忍者大电影,98702187ef738a8174624677ba8f1bbd,486a6a851c5c78d51e7242b227cf0ca7,4.0,2017-10-24 13:19:00,"电影很搞笑的，尤其是加满都自己四手抱自己模仿情侣拥抱的时候哈哈哈哈哈 加满都是个傲娇父亲吧，开头说坐到了手机才会给儿子打过去视频电话的事，鬼才信呢→_→ 劳埃德化身忍者想从加满都口里听到任何一丢丢关于自己的事情时，却一次次失落，真是要气死了气死了气死了哈哈哈哈...

                         ( 展开 )",25.0,,0
8,8,25833230,乐高幻影忍者大电影,bb99aab0b32c442726e494d90f73e605,98cc490aad3ae7fb1eecb3a36c73ff05,3.0,2017-10-22 17:28:39,"要乐高还是要猫，这大概是本部电影反映出的一个问题Σ(ﾟ∀ﾟﾉ)ﾉ 乐高世界里有个怪兽——喵斯拉，喵斯拉很巨大，力道也很大。当加满都占据了幻影忍者岛的时候，劳埃德拿着终极武器赶来了，却不小心用这个所谓的终极武器——激光笔——引来了大boss喵斯拉，一时间，...

                         ( 展开 )",20.0,,0
9,9,25833230,乐高幻影忍者大电影,a93d020bc9f53b921f9215a1667e801a,0004cff9234da973bfa249917141d200,3.0,2017-10-16 14:11:17,"这一部只能说中规中矩吧，剧情上没什么特别的，依然是一部搞笑中透露温情的教育娱乐大片，剧情老套。不过因为小孩一直吵着要看忍者，所以就开了这个给他看，一开始看挺嫌弃的，不过应该说小孩天性吧，都对这种类型的没有什么抵抗力吧，看到后面也算是看的挺入神的，就是没有当...

                         ( 展开 )",48.0,,0
