,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,25846857,公牛历险记,fb54fd2f094e8851d0e823fd40187a03,8e7abfc198a36d6c68de247fddc35a17,4.0,2018-01-20 08:43:59,看完一部电影然后来豆瓣看看影评是一直都有得习惯，因为总能在这里看到有才的大佬写出的让人一笑的内容。然而看了这部电影的一些高赞短评，看到的确是毫无内容又强行装逼的失败案例。 对于这部动画片，各位（敲黑板！），是动画片啊，想看出什么深刻寓意 什么种族平权什么同性平权的兄dei啊，你就好比点了一碗麻辣烫想吃出火锅的味道来啊。虽然说好莱坞的动画片不仅面向儿童，可以说老少皆宜了，但终究也还是动画片啊，乐呵乐呵就得了。那些打2星3星的，我不相信他们是一脸严肃一笑没笑的思考着深刻复杂的问题看过来的。如果你是想看到立意深刻剖析社会矛盾的电影，还会选择看动画片？想到大多影评家们在看的过程中感到轻松愉悦，偶尔捧腹一笑，然后写影评的时候开始思考社会矛盾马克思哲学邓小平理论鸡蛋挑骨头一番的样子就深感滑稽，什么？你就是没笑你就是觉得肤浅，那我只能说你不是抑郁了就是脑子有毛病了。 还有的说什么，公牛最后还是靠力量完成逆转，exo me ？ 难道正确的理解不是恰恰相反吗？不是恰恰是公牛本身是可以靠力量战胜斗牛师的，结果他依然遵从本性对这个世界温柔以待才赢来喝彩的吗？你们到底看没看懂就来评论啊。 还有的看出什么gay啊，什么种族平权啊，公牛带领大家反抗命运请问你哪里看出gay了？难道这就是传说中的腐眼看人基？说马是影射了白人种族的，你不会是愤怒的小鸟看多了吧？那刺猬呢？兔子呢？羊呢？狗呢？代表什么种族啦？你们这种过度解读又让我想到了语文考试里的阅读理解了啊，问这代表了什么那暗示了什么的，原作者看了，“mmp老子当时并没想那么多啊”！更搞笑的是还有人提出农场主最后就把所有牛送人了？自己不是亏死？hahahahahahahha 说了这么多，我并不是强迫所有人都给满分啊，怎么看怎么写怎么评是个人自由嘛，我只是觉得吃相不好而已，以前呢，影评是真的影评，大多都还是质量上乘的，现在呢，里面参杂了不少装逼的，毕竟，影评也好，食评也好，其他艺术评价也好，怎么显得专业怎么显得有思想有内涵？很简单啊，鸡蛋里挑骨头就完事了。搞笑的你就说他没内涵，深刻的你就说他强行说教，然后再各种联想强行解读一番，你看，一下子就显得高大上了不是。 可是你们也多少还是做些功课啊，不然很容易就被现实打脸啊。这部动画片获提名了你们没看到吗？是，我们就应该不惧权威表达自我，那么真正的问题来了，到底哪边才是不专业的那个呢？,218.0,37.0,50
1,1,25846857,公牛历险记,60f499a06b23f5d5f93f611e07b3f112,15034b710ff5b8f506d067de5836cb71,4.0,2018-01-22 22:03:54,△心有蛮牛，细嗅蔷薇 影片改编自一部经典童话《爱花的牛》，所以整部片子都洋溢着童话的氛围：理想化，不合理，合家欢。制作出了《冰河世纪》的班底这次也呈现了非常优秀的视觉效果。 我全程都笑得很开心，这群牛真是太！可！爱！啦！ 费尔迪南，史上最壮大黑牛，最喜欢fafa，能翩翩起舞，委屈时能一屁股坐出地震； 安格斯·刘海长得像漫画男主角·真的看不见路·牛，一口纯儿正儿地儿道儿苏格兰口音（配音是大提提，我还听了好一会儿才听出来_(:з)∠)_听出来以后他只要一开口我就忍不住想象提提的脸，然后狂笑……）； 冷酷！帅气！会放电！会跳霹雳舞！的人造牛，三匹自恋至极的神经病戏精马，三只摇滚刺猬，动不动就被吓死骗牛做牛工呼吸的兔兔…… 形象真的生动极了。 结局又变得很美了：这个工作室不甘于单纯讲一个童话故事。斗牛士沐浴在圣光之下祈祷胜利，斗牛在死亡的光辉中惊惶瑟缩；一边是绝对的力量，一边是“高等生物”的骄傲。强大自然成了人类手里的玩物，这是一幕讽刺的叠影。 高潮的斗牛一场里，导演巧妙地把红布挂在了斗牛的角上，让人去扑。这又是一种错位，我们可以看到，当角色互换，这种行为多么残忍而充满黑色幽默。 当花落在费尔迪南面前，他低头深嗅。一时间，他回家了，回到了那片开满鲜花的山坡之上，回到了那朵鲜艳的小花面前。然后他放弃了：他一辈子都在与自己“斗牛”的命运抗争，此刻他选择面对这一“宿命”：即使是死，也不过是回家了。斗牛庞大的、山一样的身躯与地上那抹红形成了强烈的对比，慈悲二字缓缓浮上我的心头。 用宽容战胜骄傲，用慈悲战胜不可战胜的敌人吧。想起一句话，不知是否合适：金刚怒目，菩萨低眉。 这是一项残忍运动的诗意结局。我们就不要深究后续和科学与否，这片子很可爱，很甜，很美，这还不够吗？ 生活已经够苦了，不如来和这头大牛一起看花花吧。,32.0,2.0,6
2,2,25846857,公牛历险记,1780e1db41961866eb5474d2f064973e,6f83bd3f986f2afd2bde7e1e5f16fee7,4.0,2018-01-23 08:51:26,01   昨天带小朋友去看了《公牛历险记》，相比于《寻梦环游记》，我觉得这部片子更适合五岁左右的小朋友。     整个影厅坐了差不多一半的人，将近一半是小朋友。     张小又看得十分投入，整个过程中，只问了一次“什么时候结束”（他不耐烦时会这样问）。从影厅出来后我问他好看吗，他非常肯定地回答“好看”。     这部片子是根据绘本《爱花的牛》改编的。故事情节并不复杂：在西班牙，有一只叫费迪南的小公牛，其他的公牛爱跑、爱跳、爱抵角，费迪南却喜欢静静地坐着，闻花香。     其他小牛的心愿是有朝一日可以上斗牛场，和斗牛士决一生死；费迪南的心愿却是可以一整天都坐在树荫下闻花香。     电影中，费迪南的爸爸是一头非常厉害的斗牛，他最终打败了公牛之家所有的公牛，上了斗牛场，还决定打败斗牛士之后，再回来把所有的绝招教给儿子。遗憾的是，他最终死于斗牛士的利剑之下，而费迪南对打斗也并不感兴趣。     很显然，费迪南是个不太合群的孩子，或者说，在公牛之家这个以选拔斗牛为主要场所的地方，他的理想——“细嗅蔷薇”是有些荒谬的、可笑的，甚至是离经叛道的。所以，他才会招来其他公牛的嘲笑。     毕竟，对公牛之家的小公牛们来说，在斗牛场展现自己的英勇雄姿，和斗牛士一决生死才是“正途”啊。     影片中没有妈妈这个角色，在绘本原著中费迪南却是有妈妈的，而且是一位很了不起、很开明的妈妈，书中是这样描写的：     有时，费迪南的妈妈担心，他总这么独自呆着会觉得孤单。“你可以和小伙伴们一起玩，一起跳，一起抵角呀。”     费迪南摇摇头：“我更喜欢静静地坐着，闻闻花香。”     他的妈妈是个善解人意的好妈妈，她看到费迪南不觉得孤单，就由着他自己呆着，自得其乐。     说实话，看到这里，我有些惭愧：如果我的孩子不合群，甚至在小朋友们好好学习，想考个好成绩时，却只醉心于一些在别人看来毫无价值的小事上，我会如此淡定甚至如此善解人意地由着他去吗？我敢让他“不合群”吗？     02     前段时间，韩寒在接受采访时，首次谈到自己当年引起极大争议的退学，他说，退学是一件很失败的事情，说明我在一项挑战里不能胜任，只能退出，这不值得学习。     我和韩寒是同龄人，当年读他的《三重门》，一度惊为天人，当我们顶着高考压力，日夜苦读时，韩寒却潇洒地退学了，曾经，我是那么羡慕他的勇气。     他也走了一条“不合群”的道路。     现在，我倒是觉得更有勇气，更值得佩服的是韩寒的父母。假如我的孩子有一天突然和我说，妈妈，我觉得上学没有意思（意义），我不想上学了。     我会是什么态度？我会痛快地说：好的，孩子，我尊重你的选择吗？   实际上张小又最近真的出现了“厌学”现象。     我们给他报了个英语班，每周一节课，时长一个半小时，中间休息一次。对五岁的小朋友来说，一个半小时时间可能有点儿长，所以张小又不止一次和我抱怨“时间太长了”，并且用种种方法抗议对这门课的不喜欢，比如，一次次从教室跑出来，再比如，老师提问拒绝回答，上课的时候干脆躺在地上，老师大喝一声，才会起来。     发现这种现象后，我的做法是帮他“板”过来。我的观点是，上课有上课的规矩，不管喜不喜欢，都要认认真真听课。     为此我还动过粗，这是我最近一年内唯一一次打他，就是因为他上课各种捣蛋。老秦则配合我给他讲道理：孙悟空之所以被压在五行山下五百年，就是因为他不遵守天庭的规矩。     张小又在我们的软硬兼施下，终于“好好表现”了。上课时不随便跑出来，也不会躺地上，老师提问也配合了。可是，我这样逼他，是对的吗？我其实很困惑。     前几天他的英语又要续费了，上完最后一节课，他很坚决地告诉我，不想上了，不要给他交费了。     我和他爸其实都想让他继续上课，第一，他们的老师Mickey教得不错，也很尊重小朋友；第二，张小又其实也是很喜欢Mickey，他唯一嫌弃的是上课时间太长。     于是他爸继续游说他：英语是一门很有用的语言，你不是想环球旅行吗，如果不学英语，你出国就没办法和外国人说话。这个英语班上课的地方离咱们家很近，接送你很方便，而且收费也不贵……     总之，在老秦一番苦口婆心之下，张小又同意继续报名，而且答应继续“好好表现”。     我们算是又一次取得了“胜利”，可我却没有因为“胜利”沾沾自喜。     这样连哄带劝地让孩子做他不喜欢的事情，真的是对的吗？如果他再大一点儿，不像现在这么“好哄”，我们又该用什么招儿？       03     “做你喜欢的事情就好了，只要你不觉得孤独就好。”     曾经我以为，我会是这样一个妈妈。可真正事到临头，我发现，我完全潇洒不起来，我更希望我有一个合群的孩子，比方，好好读书，不那么叛逆。     我当然知道读书不会是唯一的出路，不会说一句英语其实也可以活得很好，可是这条路，显然要比读书更艰难。     曾经在《一席》上看过一个演讲，演讲者是张冬青，日日新学堂创办者。     她讲到，她家老二5岁那年，大班的时候家长们就开始为孩子们上小学焦虑，别人问她的计划时，她很淡定地说：“我们的孩子不上学。”     后来有一些家长认同他们夫妇的意见，提出让孩子一起在家上学。这也是日日新学堂创办的起因。     我看过这个学堂种种吸引人的活动：每周组织孩子们一次外出，参观博物馆、美术馆、798艺术区，还有爬山、采摘、长走，甚至还在小区里做过塑料袋使用的小调查等等。     我承认这些事情很有意思，比多认识一个汉字，多记得一个单词要有意义得多。我愿意为张冬青喝彩，可是我会把孩子放在日日新学堂吗？     我想，我不会。如果一旦失败，我承受不起这个代价，毕竟，孩子的童年，只有一次。     我宁肯孩子去挤独木桥，和大家一起上全日制学校，去报各种辅导班，我更愿意让他“合群”一点儿，大方向的“合群”下，他可以有他的小个性，可是，如果他非常与众不同，非常离经叛道，我可能会非常头痛，甚至束手无策，就像大多数普通家长一样。     我知道让孩子“合群”，其实就是压制孩子的“个性”，可我没有勇气让孩子在家上学，更怕他承受不了“不合群”的孤单和结果。     说到底，我可能只是一个普通而平庸的妈妈，合群，是我能给他的最有可能走向光明的结局，哪怕是平庸的光明。,57.0,7.0,11
3,3,25846857,公牛历险记,e8dde6e9d5b0ab5e4c4525fdc6a6a7f0,07dfade979372e877d2662e8f8f5a1e6,4.0,2018-01-15 17:27:03,这是之前出门旅游的时候在影院看的，这两天才发现原来这部电影也即将在国内上映。   要说观后感的话，整体而言，这部电影很套路，但笑果不错，电影院里的小朋友时常会跟动画片里的角色一起欢呼，看完之后比较满足，但没有太大的震撼，可以归类为一部“比较不错”、“值得一看”的动画片，但远达不到《疯狂动物城》和《COCO》的高度。   然而，过了大半个月之后，我时常还会想到这部电影，并想要写点什么。  如果拿《疯狂动物城》和《COCO》来做对比，其实前者的现实意义要远远大于后者，因为《COCO》探讨的主题是爱与家庭，这部电影的奇观在于建造了一个无与伦比的亡灵世界，并传递人类共同的感情，歌颂了爱与团圆。《COCO》并没有讨论与当下社会有关的议题，只是陈述了一个全人类都接纳并不接受反驳的家庭观。  而《疯狂动物城》则讨论的是歧视与偏见，电影中建造的动物城奇观映射的是多人种共存的当下美国社会，这种讨论必然产生很多种声音和争辩。过几十几百年，可能社会更民主进步了，偏见与歧视不存在了，那时的人类再看这部电影，可能会变成另一种奇观。   与《疯狂动物城》一样，《公牛历险记》也有一个核心讨论的话题——人生与命运。选择与抗争。  公牛的牛生只有两条路，要么参加斗牛比赛，成为冠军，要么被屠宰，成为人类的盘中餐。其实这两条路的赢家都只有人类，作为牛，无论怎样，都是失败者。  但主角公牛费迪南想让自己的牛生有更多的选择。  因为公牛体态庞大健壮，所以这个世界对公牛的设定就是“好斗”，然而费迪南不喜欢战斗，他喜欢鲜花，喜欢美景。举个不恰当的例子，这就像巨石强森喜欢镶水钻的hello kitty一样，但，巨石强森可以喜欢hello kitty，这不应该成为问题，也不应该被质疑。  就像，不应该男孩子一定要喜欢刀剑，女孩子一定要喜欢布娃娃一样。  这世间上没什么“你必须要怎么样”，也没有“你不应该怎么样”。  电影所要讲的是，不是生在牛棚中就只有两条路可以走，这天地很大，费迪南还可以有别的选择，去过别的生活，让他更开心的生活。  虽然是喜剧外壳，但《公牛历险记》想探讨的核心主题其实很沉重。  对于大部分人来说，我们跟费迪南一样，努力学习，努力考试，努力工作，要在社会这个大斗兽场里赢下去，活下去。成功，只属于那些强壮的公牛，如果你瘦弱，那只能成为别人案板上的肉。  《公牛历险记》告诉人们另一种可能：遵从你的内心，选择你真正想要的东西。  如果刨根究底的话，费迪南最后的选择和际遇其实太过童话。他依然是在依靠人类，如果不是小女孩给他提供了一个完美环境，他不可能坐在树下，细嗅花香。  然而，公牛的那一场觉醒和抗争，已经足够有意义了。,25.0,3.0,0
4,4,25846857,公牛历险记,6fa4a07ac7f1896e5311b5c8c8b31cb5,3e89723fc5b9f90b36e2ddd12d701675,4.0,2018-01-31 11:07:49,"又一部从动物视角来阐释人生和命运，妥协和抗争的作品。故事讲述了公牛的牛生，无非是两种：要么成为斗牛，要么成为肉牛。而无论哪一种，最后的赢家只有人类，给你下定义的别人。当然，这只是大家已经习惯的错误日常。

在密集的笑点与萌点的外壳下，主题思想还是挺沉重的。我们每个人都生活在这个叫做“社会”的角斗场里，胜利的确只属于强者，但是，比赛的内容或许可以自己选择。不要让别人去定义你该做什么，遵从自己的内心，勇敢选择自己的生活。记住：天生我材必有用。

另外这个电影，也让我有一份大胆的想法：费迪南最后的选择和际遇其实太过童话。他依然是在依靠人类，如果不是小女孩给他提供了一个完美环境，他不可能坐在树下，细嗅花香。这是不是意味着，我们始终无法摆脱依赖，达到真正的自由。
然而，公牛的这一场觉醒和抗争，已经足够有意义了。",44.0,1.0,2
5,5,25846857,公牛历险记,166ac6eeaa88aa59ab32b41fb1757365,7816a6a30eb7700d38b6c8c1e640fa57,4.0,2017-12-17 02:32:44,"非常有意思也非常有意义的命题。What labels can do to people。Ferdinand块头非常大，所有人乍看到他都会觉得他一定又凶恶又能打。但这是一只内心温柔得跟黄油一样、非常反对暴力的牛，他只是块头大而已。陌生人面对Ferdinand的时候从来不是在面对真正的他，而是在面对自己对他的预设。而一个以貌取人的环境，其实是在把人一步步逼到那个因为外貌而预设的刻板印象上。

Ferdinand从始至终承受着无数人施加于他的恶意，不管是出于对他唬人外表的恐惧，还是因为他反对暴力的立场。只看到他外表的人觉得他是个monster，见到他拒绝暴力的（一部分）人觉得他是个coward。让我感动和敬佩的是，Ferdinand顶着这满满的恶意，一直默默地坚持自己的本性，并没有被逼成一个monster，从没有在逼迫下像人们期待的那样用暴力去应对问题。

在斗牛场上，人们设计了一整套完善的流程，能把最温和最没有攻击意愿的牛一步步逼到走投无路，不得不“兽性大发”来满足斗牛士和观众的需求。看着Ferdinand被钢枪环绕被设计好的“逼发兽性”的系统蹂躏凌辱，一步步踏上绝境，我真是哭成了傻逼。可即便是面对这些，Ferdinand都没有违背自己的原则，只闪避，从没有进攻。斗牛士对暴力的渴望只让他把自己搞得狼狈不堪。最后，恼羞成怒的斗牛士剑指Ferdinand的心脏，而Ferdinand直视着他，坐下了。这才是真正的勇敢。拒绝暴力不是懦弱，真正的勇气远远凌驾于暴力之上。

最后一点，看到后来我一直在想以前看过的另一部动画电影。那部电影讲了一个被逼斗牛但不想斗牛的人，《公牛历险记》讲了一头被逼斗牛但不想斗牛的牛。我们是不是应该好好反思斗牛这项血腥而残忍的“娱乐”了呢？",49.0,14.0,10
6,6,25846857,公牛历险记,7bc424e3c37f8abbc637b6a411a90bde,1e39e0478cd1e1d3317faa88be9ecfb8,4.0,2018-01-20 18:05:07,其实历险记类的电影总是那样的套路  不是我想剧透啊 这公牛历险记跟帕丁顿熊2简直了 像的不要不要的 配色也都是我喜欢的清新风 故事情节吧都是一样的 遇见温暖的一家对你不离不弃还那么爱你将你当做家人👪 然后因为意外等等原因到了一个看似很险恶的地方 然后感化你说服你 一起出逃 然后主人公独自面对险恶 然后幡然悔悟 厉害厉害 不过公牛历险记的配色真的好喜欢 虽然历险记什么的这名字我真的不想吐槽  另外为什么商场里给一个人吃饭的地方怎么那么少呢 路过火锅店店员都不瞄我一眼 你好歹发个传单给我也好啊 没关系我厚着脸皮拿一张好了,3.0,1.0,1
7,7,25846857,公牛历险记,551c10ac750d5c66f46d3607e10d6796,b1a3103c9862c7a8586166a24f05abad,5.0,2021-02-01 07:25:30,《公牛历险记》的主角西班牙公牛费迪南德很轻松地就帮新伙伴高地牛安格斯解决了刘海太长看不见路的人生难题。这并不是因为费迪南德有无敌的智商，它会做发型完全是跟之前的小主人尼娜学的。 在现实生活中，很多时候我们觉得博学的人也只是因为先手优势而已。他们只是比我们提前了解和学习到了某些知识。 还记得小学时候，一男生给班上成绩最好的女生的传了张写着”clown”（小丑）的字条气她。当时的我还不认识那个单词，猜了半天也不知道他们在说什么，只能从女生脸上生气的表情看出这不是个褒义词。这个单词并不复杂，只是他们比我先学到了这个词而已。 刚听完歌手高晓松的《晓说》后觉得他懂那么多真得很了不起。后来某次无意中查到一个他讲到过的话题才发现他说的内容和维基百科上写的高度吻合。那时候才豁然开朗，原来他也只是比我们那些听众早看到和总结了那些知识而已，而且找寻这些信息没想象中的那么困难。 成功人士很多时候也就是利用了语言、资源等的信息不对称（asymmetric information）来做成一番事业的。 比如，英国的百货商场Selfridges当年就是美国老板仿照了美国和法国最新的百货商场布置的。国际贸易公司一般就是利用了各个国家、地区的价格差获利。 美国众筹网站Kickstarter上曾经大火的不会沾上污渍和水的裙子利用的是存在了很长时间的类似雨伞材料做成的，没有我们想象得那么新奇。 商家店铺地图标注服务本身是免费的，但很多网店还是会给不清楚状况的店主贩卖这项收费服务。 艺术品拍卖和房屋买卖很多时候也是藏有很多信息差的。如果不是很懂行，一般人很难知道艺术品的真正价值是多少。在买房前，很多人也许都想象不到在欧美国家窗户、门、暖气设备、和装修的人工成本是有多贵。 去年情人节据说有人用简单的微信发送孤寡青蛙和布谷鸟的方式一天就赚了好几万。孤寡青蛙服务定价高达一百块的甚至有更多人去下单，因为顾客们觉得贵的服务一定会比便宜的好。 市场上展示出同样规律的吉芬商品还有大牌的奢侈品，它们都是商品价格上升了，需求量反而增加。很多人也许根本就不会看产品成分表，只是单纯地觉得贵价的东西品质会更好所以更倾向于购买。像这样不做任何研究、一味相信价格决定质量会花费不少冤枉钱的。燕窝因为含有优质蛋白和唾液酸成天被各种商家鼓吹成滋补圣品。但它的蛋白质含量远远比不上猪牛羊鸡鸭鹅，而人类肝脏内就能合成足够的唾液酸。 只要我们愿意不断观察和积极搜集有用的信息，总有一天我们也可以成为别人眼中“博学“的人。  高地牛安格斯   *我的微博（aka爱读书的丸子）上有更多电影/电视剧推荐，欢迎大家关注！ https://weibo.com/u/3179898575    参考资料： https://baike.baidu.com/item/%E4%BF%A1%E6%81%AF%E4%B8%8D%E5%AF%B9%E7%A7%B0/759797?fromtitle=%E4%BF%A1%E6%81%AF%E5%B7%AE&amp;fromid=92217 https://www.sohu.com/a/415723215_100050482 https://www.shangyexinzhi.com/article/2360342.html https://www.zhihu.com/question/269412401 https://www.chinaz.com/2020/0927/1189990.shtml https://zh.wikipedia.org/wiki/%E5%90%89%E8%8A%AC%E5%95%86%E5%93%81 https://www.zhihu.com/question/19769416,1.0,,0
8,8,25846857,公牛历险记,c66d60e56c417c653ab9618bcaff6c2f,f34cdaaf168afad896fd16469b52b2c2,4.0,2018-03-17 20:50:51,费南迪是一个非常爱花的小公牛。 他从小生活了一个叫公牛之家的地方。除了他之外，这里还有他的许多小伙伴。他们从小便被在这样的教育下长大：以后要么成为一个斗牛，要么就成为一头肉牛。前者，显然是一头牛的毕生最正确的追求。 只爱鲜花和和平的费南迪并不想有这样的牛生，于是，他逃离了公牛之家。他很幸运地在妮娜的牧场里度过了一段“诗和远方”的美好时光。不知不觉中，他已经长成了一头大公牛。因为一次意外，他被抓回了公牛之家。这意味着他又将被迫成为一头斗牛。 费南迪再一次策划逃离公牛之家，去过自由生活。在这个过程中，他识破了公牛之家对他们命运的教化，他发现：一头公牛，无论是成为了斗牛，还是肉牛，他们都将悲惨且毫无尊严的死去。所以，这一次的逃离和战斗，并不是为了生和死而战，而是内心的自由和渴望。 想想看，当下的我们，又何尝不是“一头小公牛”呢？内心总盼望着做自己、去追求自由，过向往的远方生活。在面临挑战之时，也会逃跑。不过，终究是逃不过命运的安排。我们也会被迫加入战斗，或者甘愿任命运宰割。 这其中的区别就在于，你是否只是为了一个飘渺的自由，而去一味地逃避。或者以自由之名，拒绝战斗。 而真正的成为自己，或是要过上想要的生活之前，我们必然是要经历一番如费南迪一样的波折，带着内心的渴望与这些关卡搏斗，去突破命运所定下的非此即彼的死路规则。,,,0
9,9,25846857,公牛历险记,168bd6e4297917af4fbcd6b5a5cbf26e,f6e990b2db706bf20b4c063f8371ba6f,5.0,2018-01-23 22:35:18,偶然知道《爱花的牛》要拍成电影，心里便有无数的期待，可是观影过程中，却是怀着一份剧情之外的紧张。          影片是理所当然的好，人物形象可爱生动，故事情节流畅而节奏紧凑，有萌点有笑点甚至有泪点，费迪南可爱善良，长大后那么强壮，非常反差萌，嗅花的时候把毛毛虫吸入鼻腔，一个喷嚏打出来一只蝴蝶，引得我和旁边的孩子都大笑起来，牛和马斗舞那段精彩又搞笑。        主角费迪南是一头非常温柔浪漫的小公牛，爱好和平，绝对不想以战止战，为了逃离当斗牛，他离开了公牛之家，遇到善良快乐的小女孩和她的爸爸，还有一只可爱的狗，在那里他们一起长大，但是却因为一次鲜花节的混乱，费迪南被重新捉回公牛之家，这时候，他已经是非常高大强壮的公牛，但是他的力量只在帮助别人的时候彰显，比如救小孩子，救小兔子。但是他显著的强壮又像匹夫怀玉，斗牛大王选定他当成自己的对手去参加告别赛。而公牛之家其他的小伙伴，面临着不然斗牛不然肉牛的挑战。        这时，费迪南识破了他们要面对的命运和骗局，没有什么要么战要么死，战与不战，公牛的结局都是死亡，在费迪南的带领下，小伙伴们成功逃跑，但是断后的费迪南却被捉回来斗牛场，他会怎么做，又会有什么样的结局呢？        这就是这部影片的主要脉络，可以说，基本没有改变《爱花的牛》的脉络和基调，但是，因为影片有所添加，又增加了很多其他的线索，比如绘本《爱花的牛》更加倾向于小费迪南坚持做自己的主旨，小公牛们不必面临战争和死亡的抉择，做不做斗牛都只是爱好而已。但是影片《公牛历险记》平添了一种残酷，所以影片开始三分之一后我就开始担心，不要以战止战啊，不要用一场决斗去争取自由呀，其实这种对动画片的杞人忧天，也是我对一些命题的迷茫：         到底该给孩子看到一个什么样的世界？         这个世界是温柔的吗？         你要如费迪南一样永远做一个善良浪漫的艺术家，还是要用战争暴力去争取自己想要的自由？         或者简单说，过自己想过的生活，自由的做自己，到底难不难？         绘本《爱花的牛》中不太难，费迪南要面对的只是和其他小伙伴不一样而已（虽然这对于小孩子来说，已经很难了），但是费迪南既不觉得孤单也不难过，他只是喜欢静静地坐在栎树下，闻闻花香，当他在斗牛场也只是静静坐着，闻着女士们佩戴的鲜花香气，不理会斗牛士的挑衅时，人们就把他送回农场了，他得以一直静静地坐着，在心爱的栎树下闻闻花香。        但是影片《公牛历险记》中，想做自己太难了，费迪南的退路不是农场。在斗牛场，他必须去面对长矛、利剑和耀武扬威的斗牛士。在费迪南终于被激怒后，他夺下那块红布，场上角色互换，费迪南的牛角挑着那块红布抖动，气急败坏的斗牛士扑来扑去狼狈不堪。最后，偶然瞥见的一朵花安抚了费迪南，在和斗牛士的角力中，他静坐示好，场外观众呼声雷动的要求不要杀费迪南，这时候小女孩和她的爸爸终于找来，和费迪南深情相拥。而公牛之家的主人，也在这场决斗中被感动，把费迪南和他的小伙伴都送回来农场。       这时我心中五味杂陈，当费迪南走向斗牛场，心中的惋惜就像看着艺术家走向战场，有人向往金戈铁马，有人向往田园牧歌，而向往田园牧歌的人被迫战斗，才是真的无奈呀，哪怕他强壮如费迪南。        我们常说剑胆琴心，常说心有猛虎细嗅蔷薇，是因为琴心和蔷薇都是不安全的呀，读完《爱花的牛》，可以和孩子说，去勇敢做你自己。        看完《公牛历险记》呢，想了很久，还是想对他说，去勇敢做自己吧，哪怕很难。        或许不用我说，费迪南的花，费迪南的善良，费迪南的快乐，小女孩的寻找，让山羊困惑的爱，众人的齐心协力，甚至小刺猬们的淘气和机敏，都已经在告诉孩子们，面对这个世界，你的心，你的爱，你的梦想，就是你的力量和方向。 费迪南和他心爱的栎树（绘本中和电影中）,20.0,3.0,3
