,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26253783,神奇马戏团之动物饼干,40a6fa7c3f25c00a0dab4964986b7ab8,6fa99c9ea118077b0640ccd7a03d96be,,2018-07-20 14:32:34,一篇上影节期间的采访，备份。 在今年的上海国际电影节动画片竞赛中，出现了多部令人惊喜的作品。首先最值得一提的当然是来中国青年导演周圣崴的作品《女他》，这是一部纯手工制作的定格动画长片，罕见而且惊艳；其次还有最终获得最佳动画奖的日本作品《朝花夕誓：于离别之朝束起约定之花》，让无数观众感动落泪。 还有一部不得不提的是来自美国好莱坞的动画作品《神奇马戏团之动物饼干》。电影的导演名叫托尼·班克罗夫特，说出来可能很多人都不认识。但是如果说他是1998年动画片《花木兰》的导演，是不是会让人很惊讶。出生于美国的他，22岁就加入了迪士尼的动画部门，并在迪士尼工作了16年之久。 在这十六年间，他不仅参与了《美女与野兽》《阿拉丁》等一系列迪士尼经典动画的制作，还担任了《狮子王》的动画总监，创作了疣猪彭彭这个角色。最终他以导演作品《花木兰》获得了动画界最高荣誉——安妮奖的最佳导演奖。 《狮子王》疣猪彭彭 随后他创办了自己的动画工作室，从事高质量家庭娱乐的开发。直到20年后的今天，他再一次执导了一部动画作品，也就是《神奇马戏团之动物饼干》。电影不仅入围了上影节的竞赛单元，更是将于7月21日在国内上映，也就是明天。趁着电影即将上映，推送一发导演专访。 在电影节期间，我们恰好也有机会和导演聊了聊他的动画世界。导演本人极其和善，而且尤为喜爱画画。导演总是随身带着速写本，无论是在车上，还是在采访间，导演总会抓住片刻的时间来画画。就连最后在为我签名的时候，都不忘要在海报上画上一个可爱的小动物。 《神奇马戏团之动物饼干》 以下是采访实录： 这是您第一次来中国吗？对中国印象如何？ 不是啊，其实我早在90年代中期就来过中国，而且在过去的三年中我已经来过六次中国了。我一直很喜欢中国，我觉得中国对我这样一个来自西方世界的人来说都非常舒适。因为人与人之间的相处其实都很相似，我很享受这样的共性。 您的作品《神奇马戏团之动物饼干》入围了本届上海国际电影节最佳动画片的提名，请问您对于获奖有什么期待？ 我当然非常希望能够获奖。我们的电影昨天晚上也在上海国际电影节上放映了，现场的观众都看得非常开心。如果评委们也能像他们一样，或许我们的电影获奖的机会就更大了。 《花木兰》 您之前曾执导过动画电影《花木兰》，这是一个来自中国的故事，请问您喜欢这样的中国故事吗？对于中国的文化有所了解吗？ 对于我这样一个美国白人来说，其实在准备《花木兰》这个电影之前，对中国的文化了解是很少的，但这也正是这个电影所带来的惊喜之处。为了拍摄《花木兰》，我们用了三四年的时间来研究中国的文化、故事、背景。 而且这已经是将近20年之前的电影了，在当时互联网远远没有如今这么发达。当时的我们只能通过书籍、电影、录像等等来获取资料，这是一件很艰难的事情。同时我们也邀请了一些中国人来参加这个项目，比如一些设计师、一些画师，向他们请教关于中国文化的细节。 《花木兰》这部电影受到美国人和中国人的同时喜爱，您觉得是什么原因使得它能够如此成功？ 这或许要归功于迪士尼的聪明之处，也是我在迪士尼工作了这么多年之后所学到的东西——就是要把一个故事讲简单了，让它变得具有共性，跨越文化的隔阂，而能被所有人理解。所以迪士尼只讲述关于爱的故事，因为这些是全球所有国家的人都能够理解并且被感动的。 对于《花木兰》这部电影来说，木兰本身的性格就足够吸引人。她女扮男装，替父参军，善良坚强，是一个伟大的女性。所以只要我们能够把握到这个人物，那无论讲述怎样的故事都会被人喜欢的。 真人版《花木兰》，刘亦菲主演 您怎么看待迪士尼即将开拍的真人版《花木兰》电影？ （一阵尬笑，哈哈，哈哈，哈哈哈哈） 其实近些年来，好莱坞一直都在翻拍或者重启一些经典电影，也就是所谓的开发IP。这倒不是不好，当然我也很支持他们的项目。不过我希望真人版的《花木兰》电影不是简单地重复当年的动画片，用真人来演一遍，而是有一些新的想法新的创意。 您觉得动画电影和真人电影之间有什么区别？动画电影在哪些方面可能会更占优势？ 从电影本身来看，其实并没有很大的区别。只不过我从导演的身份来看，动画电影相对的优势是我能够绝对控制所有的角色，每秒24帧我都可以控制，因为我只需要把我想要的画出来制作出来就可以了，而真人的电影需要去跟演员沟通，并且很容易出现一些意料之外的事情。当然这些意外有时候可能会成就一部电影，也有些时候会毁掉一部电影。 《神奇马戏团》 一直以来好莱坞都喜欢制作一些有关中国文化的电影，比如《花木兰》《功夫熊猫》，甚至《2012》《蝙蝠侠：黑暗骑士》这样的大制作都加入了中国元素，您如何看待这些做法？ 这是一个顺应时代潮流的做法，很自然。因为现在中国的电影市场已经是全球数一数二的大市场了，好莱坞电影也希望能够进入中国市场。那么在电影中加入一些中国元素，讲一些关于中国的故事都是很常见的做法。 电影中出现的魔力饼干的创意是怎么想到的呢？  《神奇马戏团之动物饼干》这个故事最开始是来源于我的制片人。这是一个非常私人的故事，是他在哄自己的孩子睡觉时经常会讲的一个故事。时间一长，这个故事越讲越丰富，越来越精彩。后来我和制片人聊起的时候才决定把它拍成电影的。 《神奇马戏团》 本片的配音阵容也无比强大，您是如何选择这些配音演员的呢？ 当我们在创作剧本的时候，我们就在脑海中想象过每个角色对应的人选了。比如史泰龙，比如伊恩·麦克莱恩，可当时我们想应该没办法邀请到这些人。不过我们还是抱着试一试的心态，把剧本发给了他们的经纪人。最先答应配音的是伊恩·麦克莱恩，随着“甘道夫”的加入，所有人就很快都答应了。就像《魔戒》中的远征军一样，甘道夫都来了，其他人有什么理由不来呢？ 电影史上出现过很多关于马戏团的故事，比如费里尼的《大路》，维姆·文德斯的《柏林苍穹下》，《马戏之王》等等，您觉得马戏团这个群体对于人们有什么意义？您对于马戏团有一些个人的记忆吗？ 电影史上确实有很多关于马戏团的故事，但马戏团对我而言也有着非常个人的记忆。在我小的时候，我的父母就经常带我去马戏团玩。现在我已经记不太清那个马戏团里有没有像电影中那么多的动物，但让我印象最深刻的是小丑。不管怎么样，马戏团给我的童年留下太多乐趣，直到现在我一想起马戏团的第一反应就是快乐。所以我也希望观众在看我的电影的时候能够收获跟我一样的快乐。 费里尼《大路》 本文已发与公号【余小岛的电影偏见】，转载请豆油。,5.0,1.0,0
1,1,26253783,神奇马戏团之动物饼干,d07795e40c3fe28356ed4d53891869c2,340aaee18796a9d53921349d7b940cb6,5.0,2018-07-23 21:01:47,女主角是中国人，大概就是这里的中国元素了，没看出来是有中国什么东西加入。          很可爱的电影，是不是只要有中国制造，大家就比较严格？现在的动画有我们小时候经典么，亲情向温情流，很怀念的主题（现在的故事主题感觉都是爱情向）。             主线是，主角为了家庭做更适合更有发展的工作放弃初心，最后在这个饼干的魔法、马戏团的事故回归初心，收获事业和家庭的和谐么？这个主题很中国，加了迪斯尼的表达方式，略不习惯,5.0,,6
2,2,26253783,神奇马戏团之动物饼干,91b2b652ec5ff9e52bb988caba9039aa,58abafb6c87f86786fcbf33e1ddee624,5.0,2021-05-01 08:41:21,《神奇马戏团之动物饼干》是由托尼·班克罗夫特执导的动画片。该片讲述了从小由叔叔鲍勃带大的欧文在马戏团度过了快乐的童年时光，长大后虽生活美满、却只能靠试吃狗饼干为生。鲍勃的意外去世打破了欧文平静生活的故事。该片于2018年7月21日在中国内地上映。   1960年，亨廷顿兄弟的马戏团开张营业。几年间，马戏团越做越红火，因为有哥哥霍勒肖精明能干，和弟弟鲍勃的悉心经营。但兄弟俩后反目成仇，自立门户的鲍勃因没有经济头脑而使经营陷入困境。之后他偶然得到了神奇动物饼干，在妻女以及马戏团众多团员的帮助下，他了解了动物饼干的功效，也在保护动物饼干的过程中逐渐懂得了生活的意义和价值，马戏团的生意也回复了往日的辉煌。   国权像字：54-2021-1035号 新出像进字：（2021）535号 深圳市激光节目出版发行公司出版 广东飞仕影音有限公司发行 优酷土豆和A站、B站网友制作 ISRC CN-F27-03-0015-0/V.J9,,,0
3,3,26253783,神奇马戏团之动物饼干,601e02698e7ce2e52ba378b3fc4f8406,c146be97c05f698f355d73a74dd5c321,,2020-05-10 15:56:25,影片围绕一个马戏团和一盒具有魔力的饼干的故事展开，人吃了饼干就可以变成各种动物。影片想象力丰富，节奏明快，既有亲情的温暖，又有事业的勇气。可是，美中不足的是，作为一部国产动画片，中国元素太少了。从导演到剧情，从人物形象到道具元素，完全西方化，这不应成为国产动画电影拍摄的导向。希望导演下次拍出更高水准的片子吧。,3.0,,0
4,4,26253783,神奇马戏团之动物饼干,0e997244e07ba89351a89bd4759b43e7,96c11895e7dc02ef601772a3f77587ac,3.0,2020-03-06 17:08:56,电影里有几处情节是很动人的。 动物马戏团，他们拥有神奇的力量，却不滥用，他们想的是让大家开心，要幸福其实很容易，知道自己要什么，不贪心。 马戏团的像是一家人一样，他们为马戏团奉献，乐在其中，因为老板将大家都当成自己的家人。想要员工卖力很容易，把他当成自己人就可以了。 女主人公，义无反顾地放弃现实的安稳，坚定地支持男主人公内心真正的理想。爱一个人很容易，鼓励他，支持他，相信他。理想不一定是当百万富翁，成为一个带来欢乐的人也是一种修为。 吃了能变成动物的饼干，除了运用在马戏团上，除了像那个老大说的利用这种力量统治世界之外，还有没有其他的有趣用途？电影的概念很奇幻，但是剧情有点俗套，感觉还可以更天马行空一点，脑洞还可以更大一点。儿童看还是不错的，简单明了，温馨积极，但是满足不大人的胃口。,,,0
5,5,26253783,神奇马戏团之动物饼干,2487745ea4e7e617557475c4d2ae7c09,0e666a8a827736485c7ff1be99ad9767,4.0,2018-09-02 23:51:32,"今天，跟儿子一起观看了电影《神奇马戏团》，这是一部轻松搞笑且充满温情的动漫电影，非常适合孩子们观看。

电影主要讲的欧文一家如何利用神奇的动物饼干帮助鲍勃叔叔重建马戏团的故事，动物饼干非常神奇，无论是谁，只要吃了什么动物形状的饼干就可以变成饼干上的动物，开始，欧文不小心吃了仓鼠饼干，马上就变成了一只小仓鼠，结果差点被他的妻子乔伊给拍死。幸好吃了饼干变成动物之后还是可以说人话的，这才救了欧文命。

有了动物饼干就有了神奇的变身能力，所以欧文也必须肩负起马戏团的重建工作，只可惜工作的压力已经耗尽了欧文的所有的热情，所以他退缩了。即使他曾经深深的喜欢马戏团，为能成为其中的一员而骄傲。但为了和妻子在一起，他向他的岳父妥协了，放弃了心爱马戏团去他岳父的狗粮公司上班，每天的工作就是试吃狗粮。

欧文在岳父的公司上班，岳父认为他非常无能，配不上自己的女儿，所以每天对他冷嘲热讽，同事也经常对欧文挖苦嘲笑。工作的不顺让欧文失去了信心，所以在面对马戏团的问题时他选择了逃避。他的同事曾用一句话形容欧文：“你浑身散发着半途而废的味道。半途而废就是你的习惯。”这句话瞬间就戳中了我的软肋，生活中，我们何尝不是每个的身上都散发着半途而废的味道。

在生活中，我们每个人都是欧文。我们很多的人都在过着低配版的人生。

很多人在新年伊始时，都会给自己定下目标，有的人想升职加薪，有的人想瘦成闪电，有的人想坚持每天读书……

然而，2018年已经过去了三分之二，很多人还是该睡觉睡觉，该玩的继续玩，该刷手机的刷手机。目标对他们来说只是一种形式，2018年没有实现的目标，2019年继续定。他们对自己没有要求，也许他们定下的目标更像是许愿，愿神灵保佑我的愿望能通通实现吧。

一个人开始废掉的迹象之一，就是不愿走出自己的舒适区，在越来越低的配置下，活得理所当然。

你想去健身，想去学烹饪，想过精致的生活，结果没坚持几天，还是觉得床上躺着舒服，外卖叫着方便，反正饿不到就行了。

你总是这样半途而废，做什么事情都是三分钟的热度，为了逃避枯燥的学习过程，辛苦的运动，你不断的降低自己的标准，总是退而求其次，以为这样会活动得很好，但其实失去更多。",,,0
6,6,26253783,神奇马戏团之动物饼干,934586cef10e8602494a3497b11ec5bf,9ac1d06ae53fe25fadbf6399d82d0683,5.0,2018-08-31 23:41:16,"动物饼干我们并不陌生，但你试想过吃下一块动物饼干就能变成相应的动物吗？在《神奇马戏团之动物饼干》里就有这样一盒神奇的动物饼干。电影围绕着这盒拥有神奇魔法的动物饼干，讲述了一个关于亲情关于爱的故事。
    故事的主角欧文以试吃狗饼干的工作，在日复一日的生活中逐渐忘却曾经的马戏团理想。但一场突如其来的大火让马戏团的表演场化为灰烬，拥有马戏团的叔叔鲍勃也在火中丧生。在叔叔鲍勃的葬礼上，伯伯霍勒肖却试图和欧文争夺马戏团的继承权。这时，小丑红鼻头交给了欧文一盒拥有不可思议的神奇魔力的动物饼干。围绕着这盒神奇的饼干，发生了一系列混乱，众人也展开了一次次的脑力大比拼。在电影中出现的许多动物，如狮子，老虎，棕熊大象等等。他们的造型令人喜欢，其中可爱呆萌的小仓鼠更是给人留下了深刻印象。能够打造出这样一部制作精良的动画，制作团队功不可没。《神奇马戏团》的导演由曾经执导的动画电影《花木兰》荣膺动画业最高荣誉——安妮奖最佳导演奖的知名动画导演托尼·班克罗夫特担任，为观众呈现上一场视觉盛宴。
    影片是一部“合家欢”的电影，用轻松有趣的方式展开了一场奇幻的冒险，使人沉浸在欢乐温馨的气氛中，宣扬了爱与亲情等正能量。影片展现了家庭成员对家庭的责任，为了保护家人挺身而出的勇气，面对生活的毅力。欧文相信自己的梦想并坚持为之奋斗，在家人的鼓励与支持下终于达成了梦想令人感同身受。影片美好的结局也使人心情愉悦，全程所带来的欢乐不失为一场对心灵的洗涤。
   《神奇马戏团》中主角欧文与妻女之间的温情，精美的画面，可爱的动物形象等无不使它成为暑期中极适合父母陪伴孩子一同观看的动画电影，实不失为一部精诚之作。选择这部电影，感受马戏团中的一切，步入一个奇幻有趣的动物世界吧。",,,0
7,7,26253783,神奇马戏团之动物饼干,18c5b270ea66a79ec31032ab8225e55d,be53d788baac8ff72d45db2e36614953,5.0,2018-08-19 07:09:37,第一次带三岁的小朋友看电影，原以为坐不了这么久会提前出来。没想到看得津津有味，好人坏人都能分清楚，看到打斗场面还挺紧张，小朋友看得很开心。情节来说，不算复杂，推动也很容易猜到，结局当然是圆满，小孩子的电影能做到这样我觉得就可以了，看得开心就行。画面比较讲究，很典型的美式动画，没有看出来任何国产因素，人物塑造很典型。略有不许之处，我觉得对于男女主爱情描述有些过多，对白有些不太适合孩子，陪着看有些尴尬，这个需要引导下。总体来说，我觉得是部不错的电影，小孩子喜欢，大人也看的下去，已经很满意。,,,0
8,8,26253783,神奇马戏团之动物饼干,fec8623efc14cbb52daa3cd741c736eb,d9f268c3b38a5ec3f00031a22f0afec9,4.0,2018-08-06 10:40:24,哲学上有三个经典而终极的问题，从唯物主义的角度来概括，看似这样： 1、如何更好的认识宇宙世界，并解决关于宇宙的问题。 2、如何更好的认识人类社会，并解决关于人类的问题。 3、如何更好的认识自我人生，并解决关于人生的问题。 体现在唯心主义的角度则是这样： 1、我是谁？ 2、我从哪里来？ 3、我要到哪里去？ 唯物主义试图通过了解宇宙苍生，进而认识自己，确定自己的人生定位。而唯心主义，则首先通过认识自我，和自我的能力及优势，来定位自己的人生走向。两者探讨问题的顺序不一样，从本质上说，是对应的。 或许，宇宙时空和人类世界宏大而博渺，我对于哲学终极问题的分析结论过于牵强，甚至有所歪曲，可是，人类相对于宏大而博渺的时空，毕竟是渺小而微弱的。落实到个人，便是我有多大的能力？我是否真正做过自己？或是受制于外力约束而委屈求全？我到底喜欢做什么？ 问题看起来简单，却没有标准答案，落实到每个人身上都是不同的。 《神奇马戏团》是个童话故事，完整、可爱，人物形象突出，冲突设置惊险而合理，解决过程和方法令人大快人心。精巧而神奇的画面布置和喜剧元素，让观影体验酣畅淋漓。 但本部影片，在热闹的背后，却巧妙地隐藏着哲学上唯心主义的三大终极问题：我是谁？我从哪里来？我要到哪里去？ 主人公欧文，与大多数人并无区别，只是从小生长在马戏团，看着马戏长大。在他懵懂的少儿世界里，遇到一个心仪的异性玩伴儿乔伊，两小无猜地快乐着，颇有青梅竹马的意味。 那时的欧文，单纯而简单，像我们一样，并没有清晰地规划自己的人生未来。慢慢长大之后，他和乔伊彼此走进对方的内心，一直走到谈婚论嫁的三叉路口。向左走，是美满的爱情，却伴着无法左右自我的委屈求全；向右走，是无限的快乐，却有着与情人分道扬镳的痛苦。 像我们大多数青年一样，欧文同样选择了爱情。 贫富的冲突也是中外故事里永恒的主题。当欧文选择了乔伊，贫穷攀上了富有，则意味着需要依附在妻子的身边，需要匍匐在其岳父的脚下，在他的狗粮公司部门里品尝出炉的狗饼干。 狗的形象在人类的世界里永远是善良和忠诚。但是，倘若把人比做狗…… 欧文并不喜欢狗饼干，但他却眷恋着乔伊，像我们很多人一样，因为友情、亲情或爱情，而委屈着，隐忍着，迷茫着，并试图在某一天能够突破自己，脱离当前的尴尬境地。 痛苦使人变成哲学家。我想，欧文在品尝每块狗饼干的同时，其脑海里势必会撞击着痛苦的追寻声音：“我是谁？我从哪里来？我去向哪里？” 随着他研发的新饼干的逐次失败，和来自外界内心险恶的小人的阻挠，欧文的信心似乎要崩塌了，他的命运被推送到要么转折要么毁灭的风口浪尖。 可是，人生往往因为险境而转折，因为痛苦而改变，因为爱而坚守。 欧文的叔叔鲍伯的马戏图在一夜之间被烧毁了，始作俑者竟然是鲍伯的亲哥哥霍勒肖。霍勒肖企图夺取马戏团的拥有权。 马戏图烧毁后，乔伊接收了马戏团，并希望重振马戏团的生意。恰在此时，欧文得到了一盒神奇的动物饼干，在吃了一枚饼干变为仓鼠后，知晓了动物饼干的秘密。 马戏团因为动物饼干奇迹般的复活了，重振了当年的声威，欧文的自信慢慢回来了。在后续的过程中，又组织妻子、女儿和全体团员，共同击败了霍勒肖的篡夺阴谋，从而牢牢掌控了马戏团，并延续了叔叔和婶婶的希望。 在马戏团里，欧文重又找回了少儿时的欢乐，找到了自己的价值所在，找到了自己的人生定位。 每个人都会走弯路，可贵的是能否在屡次碰壁后知道在适当的时间绕回来。,,,0
9,9,26253783,神奇马戏团之动物饼干,c7ad062198f4dca243b2102a89450608,0cff776a3fdc1a5df3b258268dcec2e1,5.0,2018-08-05 13:31:11,我是2018年北京工商大学嘉华学院18级的新生，作为18年新生有这样的福利很幸运。 是什么这么吸引我去看这部电影呢？就是这部电影的导演是托尼.班克罗夫特，大家对他的作品绝不陌生，《花木兰》、《美女与野兽》、《狮子王》……这是我童年的回忆，就是抱着这样激动的情感带我走进了电影院，果然，托尼导演没有让我失望，相信大家也像我一样爱上这部电影。 如果你以为这部电影只有笑点，那你就错了—搞笑，感动，温情……欧文的勇敢、小猴子的可爱单纯、妻子的支持……不要觉得通往梦想的道路坎坷而不敢前进，多一点勇敢，雨过总会天晴，一切皆有可能。另外马戏团里不只有小丑，还有中国杂技演员！看到这里的时候我真的有点小激动呢！中国杂技演员太可爱了，很想象啊！ 还有托尼导演居然是我们学校的导师，托尼导演撑起了我童年的半边天，我已经迫不及待的想进入大学了！,,,1
