,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26266085,三个老枪手,298e629d94df6e354983bd29d7559e7d,4276d22a2b9c548c630d75cdb9e82fe7,5.0,2017-04-06 03:51:43,三位老爷爷演员们太萌了，于是整理了一点拍摄趣事。       三位爷爷为USA Today拍摄宣传照>   其中一名角色原定邀请达斯汀·霍夫曼，后改为艾伦·阿金。   三名演员：迈克尔·凯恩（84）、摩根·弗里曼（79）、艾伦·阿金（83），加起来一共246岁。   主演们一共获得4次奥斯卡金像奖，18次提名。迈克尔·凯恩拥有两个小金人。   这是摩根·弗里曼和迈克尔·凯恩第六次共演，最著名的当然是诺兰《蝙蝠侠三部曲》。另外两部是《惊天魔盗团1、2》。   除了卢修斯和阿福，本剧还有另一名诺兰蝙蝠侠三部曲的演员。乔伊·金在剧中饰演迈克尔·凯恩的孙女，她曾在《蝙蝠侠：黑暗骑士崛起》饰演Talia al Ghul。       艾伦·阿金和安-玛格丽特是第二次合作，第一次是《The Santa Clause 3: The Escape Clause》。他们一起合唱了一首原声《Hallelujah I Love Her So》。   超市蔬菜采购戏份，开拍前安-玛格丽特指着一样紫色的蔬菜问艾伦·阿金那是什么。很显然，安-玛格丽特不知道茄子长什么样！（真事！）   原因是，茄子煮之前和煮之后的样子是不同的（所以安不知道）。   安说自己一生中只去过超市两次，两次都是拍片需要。她母亲厨艺很棒，所以她不需要自己下厨。   导演扎克·布拉夫从小就仰慕安-玛格丽特（76），有她在场的时候，扎克会变得非常安静……   电影的原声都是导演亲自挑选，类型为爵士、70-80年代纽约代表音乐。   影片在纽约拍摄，因为演员们实在太有名了，围观群众很多，有时甚至造成了交通阻塞……   有传闻一些群众看到摩根·弗里曼会哭泣……（因为他是上帝）   摩根·弗里曼和导演扎克·布拉夫打赌电影什么时候杀青，杀青比他预计得要早，输了的摩根·弗里曼只好为扎克·布拉夫录制专属的voice mail。   三名演员对动作戏都要求亲自上阵，导演表示95%的动作戏都是他们本人。   剧组改装了购物车的篮子，以承受摩根·弗里曼的重量。由于太舒服了，这场戏cut了摩根·弗里曼还坐在篮子里久久不愿下来……       追加一个油管的段子：      艾伦·阿金还是有不少代表作的哦，查查他的豆瓣列表吧。,332.0,16.0,30
1,1,26266085,三个老枪手,b9e28247be15e0a3d22808b696d5c23a,aaa91852ac56d9492b5bbe6d563936c0,4.0,2017-07-15 08:02:29,"所有视频在微博上。尽量不剧透，尽量更。

【片段1】如果你经常看美剧和电影，对这三位男主角应该不会陌生：Morgan Freeman，Michael Caine，Alan Arkin，三个人设非常纽约 style，有非裔、和英裔（伦敦工人阶级的Cockney口音代表：https://zh.wikipedia.org/wiki/%E8%80%83%E5%85%8B%E5%B0%BC）、俄裔（虽然Alan的口音让我觉得有点意大利裔）。电影 catch phrase:""You're never too old to get even."" Get or be even 是复仇，扯平的意思。

这部电影风趣、幽默、又让人思考老年生活的价值。总体没有令我失望。我欣赏的是题材，还有编导把变老的体会穿插在各式的细节和那些抱怨、感叹、悲伤、欢闹、落寞的台词里。一直觉得演员是可以名正言顺做到老的职业。不怕没有梦想，就怕没有对梦想的热爱和坚持。

老了之后下楼梯都要一步一步地来，
老了之后坐下容易、但起身难，
老了之后各类保险都会上涨，
老了之后福利上升的速度和强度，远比不上一次的支出和花销。
老了之后几乎都不再观望奢侈品，能不生病就是最大的节省。
老了之后，如果器官衰竭了，在捐赠人的名单上不用消想一定排末尾，除非有很多的钱和权还有势。
老了之后有很多喜欢的美食都无法放纵品尝。
老了之后有很多想去的地方都无法尽情亲历。
老了之后还不能有臭脾气，否则更会把自己至于孤立和惹人嫌的地步。
老了之后很多年轻时毫不费力和习以为常的都出了问题，
眼睛不好使了所以看小字格外费力，
听力渐渐弱了要戴上不便的助听器，
睡觉总不能一觉睡到天亮因为会起身上夜厕，
身体累但人就是睡不着骨头硌得自己酸疼酸疼的。
这就是衰老每一天真实的痛感，那种让你生不如死的生理和心理上的双重难受。
老了，还能有梦想吗？
老了，还能恋爱吗？
老了，还能疯狂吗？
老了，还能猥琐地大笑吗？
老了，除了晒着太阳数着等死的日子外，还能 ... 干什么吗？

“由扎克·布拉夫执导，泰德·梅尔菲编剧，摩根·弗里曼、迈克尔·凯恩、艾伦·阿金、乔伊·金等主演的喜剧电影。 该片翻拍自1979年由马丁·布莱斯特执导的同名电影，讲述了三个老头儿在被黑掉退休金后，计划联手抢银行的故事。”
————————————————————————————————————
【片段2】这一段是正式实施计划之前的预演。还是颇有 Free Style，也挺搞笑的。虽然不算什么特别有深度的幽默，但这一段还是让我笑出了声。这次行动会失败的原因：没有事先实地考察过、没有预先周全计划过、没有详细反复排演过。空有目标，没有实干是不行的。首先，他们连摄像头和保安的具体位置、时间表、巡逻区域等都不清楚；三人分工凌乱没有默契；仅仅戴上帽子和墨镜并不能掩盖他们的身份；选择的食材都是体型巨大不方便携带出门的；行动的时间店内客人太少，这有利有弊（如果店内人多，利就在于可以分散保安的注意力，弊在于自己的行动也会不方便，但他们可以选择人眼稀少的区域等）；行动时三人动静都太大、在一群慢悠悠的主妇和消费客人之中格外突出；逃跑时也一团混乱，明显没有预先想过后备计划和逃跑路线的预试与踩点，比如，他们可以采取声东击西等多种战术去实施计划。

科普一下，歌頓布豬扒（意大利文：Cordon bleu di maiale，英文：Pork Cordon Bleu）是用两块被芝士包裹住的猪排，或猪排内部夹住芝士，然后沾上面包屑，用平底锅煎或油炸。有时，也可以夹火腿。外表金黄酥脆，肉质柔软多汁，一口咬下去，喷香滚热的芝士在口里爆炸，厚浆似的粘稠浓密为平淡的白肉增添了许多醇香的口感。而Cordon Bleu这个法语词组，最先是用于表示被国王授勋的骑士所佩戴的蓝色缎带，后来引申为拥有很高标准的菜肴和/或杰出厨艺的厨师。

""A cordon bleu or schnitzel cordon bleu is a dish of meat wrapped around cheese (or with cheese filling), then breaded and pan-fried or deep-fried. Veal or pork cordon bleu is made of veal or pork pounded thin and wrapped around a slice of ham and a slice of cheese, breaded, and then pan fried or baked. For chicken cordon bleu chicken breast is used instead of veal. Ham cordon bleu is ham stuffed with mushrooms and cheese.

The French term cordon bleu is translated as ""blue ribbon"". According to Larousse Gastronomique cordon bleu ""was originally a wide blue ribbon worn by members of the highest order of knighthood, L'Ordre des chevaliers du Saint-Esprit, instituted by Henri III of France in 1578. By extension, the term has since been applied to food prepared to a very high standard and to outstanding cooks. The analogy no doubt arose from the similarity between the sash worn by the knights and the ribbons (generally blue) of a cook's apron.""
___________________________________________________________________
【片段3】这部电影中我有感触的几点：

1. Hitch a bank 抢 银 行并不是新鲜的电影主题，但是这样的主题依然让人觉得有趣勾人胃口，原因在于过程、结果、和后续。用什么样的方式去计划和行动？实际的状况中有什么意外和应对？最后的结果和大结局又是什么？

2. 这部电影里关于抢 劫相对精彩的部分是在时间上的作证和后续的准备。他们三人做了最坏的打算，但同时也做了最充分的准备。也就是说，他们三人在行动前预估了风险，成败的比率，以及后果和成本的对比。实际抢 劫的过程恶搞的成分和理想化的部分偏多，也没有出现意外和连带损伤。

3. 电影对三位长者的友情和欧美人相对开明的人生观、生死观、价值观，也从细节上进行了阐述。人生中有一位甚至几位至交好友（包括伴侣）不离不弃，喜欢并陪伴在连自己都未必喜欢的自己身边，真是美好。

4. 这部电影中各个族裔都基本照顾到了，也算是体现了纽约这个大苹果的多样化人口，从各种肤色（英裔、意大利裔、非洲裔、亚裔、墨西哥裔、南美裔、混血等）、到超市里的民族食品区域、到纽约的各个街区、各个年龄层的人都基本包括了进去。虽然有点教科书的版本，但似乎暗示着希望各个族裔都能从孩提时期和平友爱地共处共存下去，互相包容、共同进步。

5. 这部电影也从很多细小的方面反映出社会对于老年人的疏忽。比如银行待客区域内白色奢华的椅子，老年人坐下后便很难起身；比如各类信件中渺小的字体 。。。

6. 这部电影中对诸多事物进行了讽刺：大银行，大机构，大公司，为了节省成本关闭了国内的制造业，电视节目中无脑的女性角色，不安全的街区环境，昂贵的医疗保险和开销。。。

【电影中不错的台词】

1. ""It is a culture's duty to take care of its elderly."" 照顾老人是我们应尽的职责。

2. ""Here you go, boys. Always have your pie. Life is short. "" 给你们的，派还是要吃的。人生苦短。（这个餐厅 diner 女服员的小善心很暖）

3. ""Lesson No. 1, never rob your own bank. Robbing a bank is an art form. Ten different people will take the same place ten different ways. You need to come up with a plan that is special for you."" 第一课，不要抢你自己的银行。抢劫银行是一门艺术。在同一个地方，会有不同的反应和动作。所以你们需要根据自身的情况制定出专属于自己的计划。

4. ""You are her father. You got to step up to the plate. Act like a man，even if you have to fake it."" 你是她的父亲。你必须迈出这一步，拿出男人的样子来，即使你必须装样子。

5. ""Show the person with the worst eye an image he can't forget."" 用最强烈鲜明的图像吸引一个人的注意让其忘却其他细节。

6. ""Let's say in life if you are lucky, you get a couple of great friends, the people who are right with you to the end. You grow old together, see it all together, do it all together, laugh and cry together."" 人生中如果你幸运，能交到几个很好的朋友，那些对的人会陪你走完人生的旅程。你们一起变老，观遍人间风景，做尽人间事情，一起笑一起哭。

7. ""There will not be many men like him, willing to risk all for others. "" 像他这样愿意担下风险为他人付出奉献的人是很少有的。

8. ""My face is killing me, I never had to smile so much in my life. (What does being married feel like?) I ... I don't know how any of this happened. I mean, I don't even remember proposing. I mean, I feel like a racoon caught in a bear trap with one leg stuck. She's a terrific person. I mean, she's sexy, we get it on. She's a great cook. Uh, she likes me the way I am . I don't even like me the way I am. Everything is terrific, but I got to tell you I'm experiencing this very odd feeling. I think it might be happiness. (Your glass is officially full.) "" 我的脸都僵掉了，我这辈子都从来没有要笑这么多次过。（结婚感觉怎样？）我。。。我都不知道这一切是如何发生的。我连求婚的细节都不记得。我感觉自己就像一只被捕熊器夹住一条腿的浣熊。她是一个很棒的人。她性感，我们也合拍。她会做菜，她喜欢我本身的样子。我自己甚至都不喜欢我本身的样子。所有的一切都很美好，不过我要告诉你们，我现在有一种非常奇怪的感觉，我想这就叫幸福吧。（你的人生正式圆满了。）",72.0,1.0,13
2,2,26266085,三个老枪手,1f871a4bb1817f5864b2692391d94bd0,f418858b631371bfb541b6ff6970ea53,3.0,2017-08-19 12:42:45,"1. Lesson#1. never rob ur own bank;  2. Plan: Different people, same place, different ways; come with a plan that is special for you.  3. Map, time, entrance, exit,  4. getaway car, find sth they never suspect;  5. Learn to Hotwire 6. Get in shape 7. Crucial to have solid Alibi 8. get supplies 9. practice",3.0,8.0,2
3,3,26266085,三个老枪手,713079148d485ab264b7718d395d7068,be06c4ad1c85b01b2815d72a7fb2af19,5.0,2018-02-24 14:21:39,可能这部剧的思路就是反应一些社会问题，表达下人文情怀。越是严肃的问题越要笑着说，不知道人生还有什么比老无所依更让人觉得沉重了。但是大家看剧情也知道，这种事是会经常发生的。依托退休金生活的人就这样失去退休金，也仿佛失去了生活的资格。        后面的剧情3人估计自己能获得寿命，被告知肾有问题的摩根弗里曼，直言自己只能活三年，这里的预判既包括对现实的估计更多是自己希望还能再活多少年吧。黑人老人独自一人，也就没有太多希望，他的舍友因为自己有了新女朋友想活一百岁，而最后的迈克尔凯恩因为有家人的牵绊还想活七年。最后的大结局也是对这一段的照应，黑人老人希望活一百岁，生活有希望真好啊。  不提电影对现实的控诉，对老人的关怀，我单单只想说一点，那就是外公和孙女的一段戏，这也是我为什么来写影评  先贴图。  抢银行的前一天，6点钟，老人就起床  开始做早饭  原来是教理解离婚的卖大麻的女婿做早餐，也是他的帮助才能去抢银  女婿说希望自己老爸也这样，可以看出他的原生家庭     老人在外孙女的关怀下，显得勉强，一段表现只是为了让孙女担心。              老人自己掌握自己的人生，也希望女婿能承担起一个男人该承担的东   这些为什么可以打动我呢，不是这些说教比较动听，没人喜欢说教，但是当老人真诚的眼神望着你，然后告诉你他自己的处事方式。这哪是说教，这完全是来告别的遗言。感情真挚的拿出自己最真实的想法，希望后辈都能做更好的自己。也用自己的行为告诉自己的女婿，像个男人，就像他自己说的，这是我的事不用你来管，哪怕是这般的年纪。照顾好自己，我不用你担心，一个长辈能有这样的行为，真让我羡慕，就像电影里他女婿说的，真希望我爸爸也这样。  可能是代入感太强了，看到这一段我哭了。不知道你们家里有没有这样的长辈，承载起自己的人生，人生到头心中只有自己的后辈。不说了，如果没有，那就成为这样的人吧，就像老人说的，你的身边还有很多人也是这么想的，像个男人一样，哪怕是装出来的。,28.0,1.0,3
4,4,26266085,三个老枪手,67e23dce1e6ce3a7954972bdd41df43c,bb67e57f374ece7a7c801bb61ba9371a,4.0,2017-07-27 14:31:17,被生活逼入困境三个失意的老年人，因遭遇一场抢劫冒出了一个大胆的想法：“自己去抢劫！”这个可笑的念头，起初连同伴都觉得不切实际但家庭的困境、公司的不负责任以及银行逼迫让他们决定反击！！！   尽管故事起因很黑暗换个方向分分钟是一部批判资本批判政府批判社会的现实题材但本片却充满幽默温馨甚至还有激情的黄昏恋。三个走路都摇摇晃晃的老头从一场笑料百出的超市试抢劫，失败之后寻找了专业人士重新认识抢劫，为了抢劫做好一切准备活动。   最后计划虽然不完美但成功了！！！片子其实剧情简单走向老套 ，但胜在三个老戏骨浑身都是戏撑起一部电影。,38.0,1.0,0
5,5,26266085,三个老枪手,a0eb2656f97bae315272710753fe5a63,4f575213568724328a01c2e0d7cf2c49,4.0,2019-09-17 05:05:51,"部分剧透

总体不咋地，冲仨老家伙，4星还得给！

况且，噱头以外，画面导出的价值观还是正的！

别的不评，就想说说戏份很少，但气场很足的拉丁裔劫匪捡狗哥（以下简称捡狗哥）！

这个角色总出场（露脸）时长大概不超过3分钟，出场（露脸）回合4回合（不算开头抢银行，因为只能看到面具）。

可牛逼就牛逼在编剧能给这个戏份少得可怜的角色赋予最鲜明的特色和最侠义的正能量！

这才特么叫“塑造角色”！

再好的演员，遇到个烂导演，兴许还能往回捞；要是遇到个烂编剧，不凉也得凉，例如：凯奇、史密斯、德普、梁朝伟、金城武……

反过来，好的编剧，即便只用一般演员，也能化腐为神，画龙点睛！

捡狗哥这个角色，100%印证了这一结论！

开篇，捡狗哥对乔说——我不要你的钱，照顾老者，是社会应尽的义务！随即抢了银行代理人私人的皮夹！ 二次相遇，在捡狗哥店内。乔怼捡狗哥——老子房子马上要被银行收走……blahblahblah，你要帮，就帮；不帮，就别哔哔，埋汰人的废话给爷咽回去！ 三次相遇，捡狗哥规划培训，帮仨老头准备抢银行大计。 四次相遇，捡狗哥店外，乔把银行劫来的赃款交给捡狗哥“洗”！ 最后，破馆子里，乔问——你那份（25%，约$60万）留了没？捡狗哥笑曰——我不要你的钱，照顾老者，是社会应尽的义务！ 简略讲，就5回合戏！ 演捡狗哥的拉丁裔演员演技忒特么一般，但是，高明的编排，让这个角色在他最后一场戏中，瞬间拔高，比仨老头还高！ 第一回，貌似不咋的。捡狗哥有所为，有所不为的底线虽然动人，也很狗血突兀！加之戴个面具，更是过目即忘！ 第二回，捡狗哥认得乔，乔却不识捡狗哥（观众也不识）。了解乔等仨人困境后，虽然好意劝阻被喷，捡狗哥还是决意帮忙规划培训。加上沟里捡狗，捡狗哥的善良人设立住了！ 第三回，捡狗哥各种谆谆教导，奈何仨老哥太老，各种掉链子。最后，捡狗哥摇头道——兴许那天条子来得晚些！为仨老头忧虑，又忍不住安慰，又暗暗希望仨老头成功——三个层次，一句话，一个表情，搞掂！ 第四回，捡狗哥没词儿，满脸喜悦接过钱袋！ 最后一回，那句讲过一遍的词儿，再次被捡狗哥说出，乔笑了，那是感激的笑、感动的笑、大恩不言谢的笑、天涯遇故知的笑！ 是啊，一切的一切都说得通了！ 银行相遇，我同情你；二次相遇，我理解你；三次相遇，我担忧你；四次相遇，我佩服你，为你们高兴；最后相遇，我相信你，暴露自己，坦白自己，不愿仅己知你而你不知己！ 这，才叫高能量密度！ 这个角色，才是这部电影真正的主角；关于他的剧情编排，才是这部电影的最佳编剧！其它，哼哼，白瞎了仨影帝级的老家伙！",7.0,,0
6,6,26266085,三个老枪手,319b85de68871cad2af6197fa43127e4,8e1b7b495c69c850e43d586ca7a65d33,4.0,2018-06-18 23:07:18,最近看三个老枪手特别有感触，随着岁月的流逝，当身体机能慢慢下降，到底应该如何面对老年生活。尤其是看到身边的爷爷常常住院出院，从原来可以一个人稳健得去老年活动室搓麻将，到现在需要奶奶照料日常起居，变成了小孩一般，庆幸现在他依然还能记得我们，也慢慢恢复了过来。但现实告诉我们，人终将老去，没有人能敌得过岁月，在年老之时，依然能怡然自得，那该是多么大的一件幸事。 回到电影本身，冲着摩根·弗里曼看的这部电影，情节也很简单。影片最重要的是要向我们展现老炮儿的那种精神。就像那句话所说，老兵不死，只是会凋零。,2.0,,1
7,7,26266085,三个老枪手,f88c3fdece77690dedaefba015cf69ae,57ee11a7b5bebc82c3f6afcd6b678da9,,2021-11-23 10:51:11,"7.8
犯罪喜剧，是我的菜
通篇看下来，可能观众会有不同的感受，有人觉得看的很好玩，很幽默，有人可能看到幽默背后的社会议题。
我个人的观点，我觉得编剧很聪明，其实就算主角不是老人，关于社会上因为一些功利之人对一些底层人民造成的伤害和压力也会是一个值得探讨的议题，但编剧更聪明，他又加了老人这层身份，让整个故事其实更加的戳人，也多加了一个关于老人在社会上经常被忽视的探讨。
主题是很好的，但是我个人的观点，这部电影采用的黑色幽默的方式以及片中各种层出不穷的笑料其实有很大可能会让观众忽视掉其背后的这些议题。虽然我喜欢这种风格的电影，但只针对这部电影，我个人觉得如果能拍得更加深刻一点，减少一些无意的笑料，会更好一点。
然后关于剧作方面，其实很明显的，片中关于抢劫的部分逻辑大部分都是不太通顺的，但我不懂这是不是按原故事来的，如果是那没话说 但是关于其他一些比如人体描边大师那一段就不是很合理。 其实这部电影是很符合商业电影的模式的，很标准，从主角陷入困境，决定打破困境，到遇到困难，到解决困难，每一步走的都是商业电影的固定套路，很多情节其实也能猜到，关于最后小女孩没有指认老人，我个人觉得没有很出乎意料，不是觉得它很明显或者怎么样，只是觉得在观众面前，小孩子做很多事其实都能被理解的，小孩子觉得你是好人，那也许就不会说你坏话，即使你做了坏事，还是会处处袒护你。其实就算没有女孩出来和老人的孙女对视那个镜头，我觉得也是合理的 其实这也是编剧很聪明的方法，用了老人和小孩这两个元素，片中老人抢银行，再加以之前老人所受的压迫的铺垫，观众并不会觉得老人多么地罪恶，反而会这在老人的角度去思考，为什么老人要这样做，进而思考到本片最大的议题。 然后从抢劫犯嘴里说出来的照顾老人是社会应尽的责任这个伏笔埋的是挺有意思的，与那个功利的银行工作人员的对比，以及从一开始老人在银行遭遇抢劫到最后，老人需要和抢劫犯来合伙，一起抢银行，这是多么地戏谑，也让观众不禁思考，社会上到底谁是好人，谁是坏人。 然后片中还有唯一一点最后有点不舒服的地方就是，片中特意安排了三个老人因为金钱所带来的各种困扰，并且在片尾都勉强得到了相应的解决，但是稍微让我有点困惑的是，片中安排女孩父亲的桥段，是想在最后安排一个比较相配合的美好团圆的结局的话，但是结果到最后女孩和狗一起的镜头里也没有出现父亲的身影，那这个父亲到底是来干啥的？这让我稍稍有点不解，包括那个狗咬警察的情节，也不是很理解，就算用来表现对警察的反抗，那这种会随便咬人的狗能放心给孙女养嘛？然后在经常逗狗的时候用的背景音乐和镜头的组接，是想说那个笼子有啥秘密吗？是放着钱还是啥意思，最后咋没交代一下（也许是前面有伏笔但我看漏了） 然后最后，我很喜欢那个葬礼和婚礼的反转，就是情理之中，意料之外的反传统的一个小反转，在外面传统的观影习惯中都以为是加纳死了，因为前面还有特别说那一下，我还真以为是他的葬礼，结果竟然是婚礼！很合理，也很惊喜！我个人很喜欢这种反转，希望喜剧片的笑料都能像这种方式靠拢！ 从一开始7.6写写写写到最后发现又提高了0.2分，还是要分析思考一下才能更好地了解到导演的一些想法和影片的主题。",,,0
8,8,26266085,三个老枪手,cdaadf88346cf20029a3e753ff156b30,7afe1e5f84e4c5fdb79be2787d43eaf2,5.0,2021-09-20 21:54:58,发现影评好少，那就凑一篇 这种温情真的打动我，最喜欢的是外公交代爸爸早餐怎么做怎么摆那一整个片段；善良的小女孩没有指认的那里；在餐厅发现那个老师就是前面抢钱的人- 照顾老者 都只是因为是善良温暖的人. 编剧漏洞肯定有，不过瑕不掩瑜. 皆大欢喜的结局 真好，希望每个人的人生都是好的结局,,,0
9,9,26266085,三个老枪手,04d516fee4bc946525d3f1ab039fba1b,d433c2bf2514d8ce5edbce92ac1af046,4.0,2021-07-26 13:04:14,,,,1
