,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26277361,黑暗正义联盟,99f9493787bf646b4549997ab470e972,87bb7428a421298c9fdd39190f4fda6c,5.0,2017-02-01 16:29:27,"看过DC所有的动画电影，《黑暗正义联盟》《Justice League Dark》（JLD）是其中相当优秀的一部。根据先前的新闻报道，这部动画所用的剧本极有可能就是当初本来给JLD电影准备的，所以某种程度上感觉有点儿可惜：故事和出场角色与目前DCEU的计划完美相符，还完全吻合现在一两个一...

                         ( 展开 )",36.0,4.0,13
1,1,26277361,黑暗正义联盟,66cb31e051b70bbc01130dffca8357c2,8cdb308d4a74faa121fe4ccbae497b63,5.0,2017-02-07 16:58:01,"每次看DC的动画电影，都要扼腕叹息：DC的漫画这么好，动画电影这么好，真人电影怎么就不行呢？     DC的动画电影出了多少精品啊，《黑暗骑士归来》、《闪点悖论》、《神明与怪物》、《正义联盟：毁灭》，都是可以反复看的好作品。《全明星超人》、《超人与蝙蝠侠：公众之敌》也...

                         ( 展开 )",23.0,2.0,5
2,2,26277361,黑暗正义联盟,caf5e389bb58c1b5afa1be614fec9cbe,0c4bc2791d4ec3549508e5ab14ec7106,4.0,2017-02-09 13:05:58,"本来想打3分的，扎康加一分吧。这部可以说没有让我失望，但是有《神明与怪物》珠玉在前，这部也只能算是差强人意。        先说优点，魔法阵特效不错，扎塔拉失控挺震撼，渣康咒语带劲（扎塔娜的反语不知道表现出来了没有，反正我是听不懂）。蝙蝠侠幽默不失严肃，死人嘲讽点满...

                         ( 展开 )",13.0,2.0,6
3,3,26277361,黑暗正义联盟,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2019-05-26 22:44:00,"今天介绍一部美国动画电影《黑暗正义联盟》。 片名Justice League Dark (2017)。 本片延续了华纳DC出品的动画电影质量远高于真人电影的惯例，讲述了发生在DC宇宙中的一起超自然世界，并由蝙蝠侠带着观众走进DC魔法世界。 海报中，蝙蝠侠站在C位，但观众们只要把蝙蝠侠当做一名...

                         ( 展开 )",,1.0,0
4,4,26277361,黑暗正义联盟,ed12c6580b92f8f8cb92a850d8bbcff0,04408b4a286211809ec141fd5286964e,5.0,2017-02-02 22:35:07,"刚刚看完暗黑正义联盟，老爷简直是里面的搞笑担当 康斯坦丁和扎塔娜进去别人身体里后 蜜汁沉默，只剩下老爷，老爷只能发出更蜜汁的Mmm~~~~~~~的声音 遇见来取灵魂的类似无常的东西（原来命长也能招死神恨！） 老爷表示有魔法有啥了不起的，看我一句轻声的Boo~~~~~ 死神就给吓跑...

                         ( 展开 )",13.0,10.0,1
5,5,26277361,黑暗正义联盟,4ad7f6b4b8cd87ce9800e7c6b5585251,55b73459d6bf72342e771ff31aa07475,5.0,2018-06-03 15:14:45,"实话说，我并不知道dc还有这种世界，在次之前，接触到的魔法超级英雄里面只有红女巫和奇异博士，康斯但丁在我印象中一直是个没什么本事的神棍。。。。所以说，这部动漫给了我一个全新的观影感受，几乎纯欧美魔法世界，各种魔法大战，场面华丽宏大，动作犀利赋有想象力，出场人...

                         ( 展开 )",3.0,3.0,3
6,6,26277361,黑暗正义联盟,6825b8008d45e0953eb48c0005357285,0473698d88827447f5bb579f448daa45,3.0,2017-03-07 17:11:09,"对DC的英雄团队不是太熟悉，除了正义联盟的几位，其余基本没听过。包括这次黑暗正义联盟的诸位。        一直以来都觉得DC的漫画更加成人化，虽然英雄团队不像漫威那样深入人心，但是他在超人身上体现出的思辨，在蝙蝠侠小丑身上对人性的反思和反射，对比漫威都要深刻的多。   ...

                         ( 展开 )",4.0,5.0,3
7,7,26277361,黑暗正义联盟,75e4e78dfeff1153260eab05772a7971,17c70d71a73c432e24e082a9db436abf,3.0,2017-02-02 14:51:18,"看过DC所有的动画电影，包括这部黑暗正义联盟，我觉得只有《蝙蝠侠:突袭阿卡姆》和《蝙蝠侠:红头罩之下》才算得上是优秀滴。 说回这部黑暗正义联盟，电影开头的那段算得上是惊艳，但是往下看就觉得平淡无奇，一直到电影结束都是，可以说是高开低走了。意料之中渣康、扎妹和蝙蝠...

                         ( 展开 )",2.0,7.0,9
8,8,26277361,黑暗正义联盟,a4190a271ed3edafeef47482e5dea242,0be38eaf1d9588eb1ca3f9879bcebdbe,3.0,2017-09-19 09:19:00,"2017-2-20 个人自用 非影评 一女子开车 看见的全是怪兽 冲撞怪兽 被神奇女侠阻止 她在一看 撞的都是人 一男子要杀妻子和孩子 他眼里看到的是怪兽 被超人阻止 一女子要把婴儿扔下楼 她看到是恶魔 被蝙蝠侠阻止 超人 蝙蝠侠 绿灯侠 神奇女侠 波士顿等人开会 正义联盟 康斯坦丁与...

                         ( 展开 )",,2.0,0
9,9,26277361,黑暗正义联盟,882277a9989360d870183ea7a738f943,aa524f63215bc1ce9a3c5823dcc5b354,4.0,2017-02-02 16:17:54,"真正的正义联盟成员从头到尾一直在线的只有蝙蝠侠，其他的偶尔露露脸，比如黑人版的绿灯，神奇女侠，超人。但是蝙蝠侠也是酱油角色。偶尔说说话做做酷炫的动作，对推动剧情发展起一下无足轻重的作用。 说了上面这些，并不影响电影的可看性。说实在话还是很精彩的， 电影开头的...

                         ( 展开 )",2.0,13.0,6
