,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26292682,神秘家族,671fe20d5c2d7c36885ff58ac9197a80,97e6f361e36e8f345584c51289a2f026,2.0,2017-04-25 14:44:01,我先说一下：这片子演员什么的都挺好的，我这篇评纯喷导演和剧本逻辑不通瞎搞好吧。 恕我直言，这本子真是脑子进了水才编的出来。 先剧透吧： 这个片子一上来就讲，女主苗苗因为“某个事件”好像受了什么精神刺激，然后就不会讲话了，好像还跟一家人有仇一样。早上她出门前，妈妈和她说：“今晚一定要早点回来，今天晚上我们一家四口一起吃个饭。” 然后爸爸和哥哥也不断暗示女主，这可能是全家最后一顿饭的样子。女主一脸没头脑和不高兴的样子就出门跑步了，这时我们知道，女主是练长跑的。然后训练完了，她的队员和她说，今天附近有个疯子一直在附近转，叫女主小心。 结果呢，女主也不知道在想什么，就去逛大街了，街上突然感觉有人跟踪自己，一般来说，这种情况下，你肯定是往人多的地方凑，寻求群众的力量对吧。女主不，偏偏和跟踪自己的坏人玩起了猫捉老鼠，两人一阵追餐就进了……小树林……？中间还接到一个妈妈的电话，和她说”苗苗，你现在千万别回家啊“。也不知道在捣什么鬼。 然后也不知道怎么回事，跟踪她的人就不见了！女主就回家了，这时她发现，家里灯打不开了。结果家里居然有个杀人凶手！砍了她全家，她妈死前把她推出门，然后一声爆炸声…… ”苗苗，今天附近有个疯子，你要小心点啊。“ 嗯？！ 不知道怎么回事，爆炸完了，女主就突然又回到了当天下午训练场的场景。原来是LOOP片，厉害了。这时女主想起刚才LOOP的全家被杀的事。于是赶紧回家，回家后发现父母和哥哥居然在地下室里绑了一个人，然后这个人突然就逃跑了。 然后你就知道了，全家又被杀了，死法还和上次不大一样的。 ”苗苗，今天附近有个……“ 好的这时电影院里已经响起了很多人嘲讽的笑声。 这次呢，女主角已经明白自己在LOOP了，也似乎有点弄懂游戏规则了，于是一回家就拼命喊父母赶紧离开家里收拾东西出去躲灾（对，女主很神奇的突然后面就可以说话了）。结果父母一脸不情愿，一路上各种找理由，一定要回家……结果你们也知道了，还是全灭。 当然这里导演也知道，不能光是LOOP，于是稍微交待了一点背景，说是女主几个月前被人跟踪欺负了，然后又因为证据不足还是什么的，犯罪嫌疑人就没有被绳之以法。有一天女主的妈妈发现这个嫌疑人还在跟踪女主，就绑了这个人回自己家地下室不知道要干嘛。（她妈打电话和她说：现在不要回家，可能是想趁这时候弄死这个嫌疑人） ”苗苗，今天……“ 不不不，这次女主醒来的时候发现自己已经在家门口了，结果一回家，发现父母都把晚饭做好了。地下室也没什么人……女主就惊了！然后就吃饭，吃完了还剩好多，妈妈就把一些剩菜盛起来放到冰箱里说，以后你慢慢吃……然后吃完，女主突然感觉自己看到一个影子，就追了出去，追到一个祠堂一类的地方，里面有一个老太太，用类似山东/河南方言一类的话说”真相就在你的脑子里，放过自己，你的家人才能安心“（不知道山东话是什么节奏，你们可以找个山东人来给你说一遍这句话，效果炸裂我跟你们说） 女主这才意识到！好像有什么不对！ 老太太又用山东/河南话说”事情已经过去一年了，你要正视现实，放下它，你的家人才能安心……“ 这时女主全想起来了！事实就真的是那个嫌疑人被她妈绑到家里结果逃脱了把她全家都杀了。最后她妈为了保护她，点汽油把屋子炸了和凶手同归于尽这样…… 终于！ 女主这次真的回到了现实，她在家里，打开了冰箱，拿出了妈妈最后一顿饭给她留下的那些剩菜…… 完。 不是等等，先不说”事情过去一年了“，除了腌咸菜还是什么能放这么久不坏的……刚才不是说家里房子爆炸了吗？难道你家的冰箱是高达材料做的爆炸都炸不坏的哦。 不是也先不讨论这个剩菜的问题。 事情过去了一年，难道你这一年都在梦里LOOP吗？好吧导演你要这么说也不是不行，但是能不能LOOP的有点逻辑，你这个LOOP我也能写啊，不就是家里人花式作死吗？ 前几次LOOP明显女主角不知道家里人是怎么灭的被谁灭的，后面女主就知道真相是怎么回事了。 那合着如果按导演的思路大概时间线是这样的：，家里人全灭之后女主就进入昏迷（梦游）状态，并且开始LOOP，并且LOOP了一年，虽然一开始不知道事件的真相，但是因为一年的时间都在脑子里不断的推理，终于上天不负有心人，在LOOP的过程中，她悟到了事件的真相，于是感动于伟大的亲情就醒了？ 可喜可贺。 你有这么多预算请这么多名演员，为什么不能稍微花10分钟思考一下你的逻辑在哪里？ 我怀疑这个片的剧本可能是这样的： 导演和编剧说：我要拍一个特别感人的惊悚片。 编剧：好好好。 导演：要有LOOP元素。 编剧：好好好。 导演：要有灭门元素。 编剧：好好好。 导演：要有死前（？）幻觉元素。 编剧：好好好……嗯……随便吧。 不是说你不能拍LOOP片，不是说你不能拍做梦片，但是你不能毫无逻辑难以自圆其说是吧？神说，要有LOOP，你就随便写个LOOP然后来一个”感人大合唱“就糊弄过去了。两星走好吧。 讲道理，你要拍亲情，要拍伦理，你就不要稿这种意识流的东西。你要玩LOOP，玩死前幻觉，请把自己的逻辑理清楚再说。,62.0,20.0,19
1,1,26292682,神秘家族,d55284cfc3d5b3d36e1be669871af9a9,b7d7b1ad3beddc810ded38d030d7650a,3.0,2017-04-21 17:12:26,说是神秘家族，其实一点也不神秘，就是普普通通的一家子。  女主苗苗，是个长跑健将，有一天晚上在公交车站等车时被一个坏人强奸。（注意：女主在这里犯了两个错误，一是她妈妈给她打电话时，她没有接，直接按了挂断，我不知道这是什么心态，难道是因为这个电话影响了她听歌？二是被坏人追赶时，过于慌不择路，跑进了芦苇丛，其实她直接沿着公路跑回家不好吗？）女主很作，我一度怀疑女主不是她妈妈亲生的，也不是她哥哥的亲妹妹，但是不是，看到后面，女主确实是亲生女儿，亲生妹妹。（注意：之前有看过说陈晓演女主苗苗的弟弟树树，但在电影中我怎么看都觉得陈晓应该是哥哥，再说树苗树苗，怎么可能是苗树。）  陈晓，陈晓饰演女主的哥哥树树，也是我购票入场看的动力。但是确实是扎实的打了一回酱油。我肯定的说，是酱油。不知道晓哥在如日中天之时为啥会把时间和精力扔到这么一部小众的电影上来。造型不能够美型，性格也不够突出，怎么样都不算出彩。  另外要吐槽的一点是，女主拨了NNNN次只接通一次的报警电话是110。这部电影在台湾拍的，报警电话也是110？好吧，刚刚查了，台湾的报警电话也是110。另外不是有短信报警吗？  女主是被坏人强奸后报了警，也找到了坏人，但是坏人拒不承认，坏人请的律师很厉害，因此女主受了天大的委屈也只是作罢。女主开始怨恨妈妈和哥哥，因为她被坏人压住的时侯，她妈妈和哥哥曾经提灯来找过她，也看到那个坏人的背影了，却以为是情侣错过了。三个月后，女主的妈妈开车上街，看到坏人喝醉了酒，把坏人撞倒，拖上了车，带回了家里的地下室。没想到坏人挣脱了绳索，先杀了女主的哥哥，再刺伤了女主的爸爸，正好这时，女主开门回家，女主的妈妈为了保护女儿，点燃了汽油桶，与坏人同归于尽。女主因为在屋外，受的伤比较轻，女主的爸爸妈妈哥哥和坏人都死了。  女主无法接受这个事实，她在脑中无限的把这个事情排练了N遍，但最终的结果都是“阎王叫你三更死，谁敢留你到五更”，总而言之，一切的努力都不过是徒劳的。  观看感想：其实用一句诗就可以总结了。  树欲静而风不止，子欲养而亲不待。,131.0,47.0,45
2,2,26292682,神秘家族,ec0d2636288760f38b4c3f77f1ccaa10,b10ccce86d95fe21a496dcda7a789d58,5.0,2017-04-21 18:22:06,我宁愿在这无尽的噩梦里一直徒劳地逃跑，只不过是想要把你们留在我身边多一天——讲述一个世界上最悲伤的女孩，从希望到绝望，再从绝望中吸取力量的过程。   首先，我先来说一下，电影可以分为两种电影，爆米花类型的纯商业电影（一个简简单单的故事，一堆花里胡哨的特效炫技，最好的举例就是最近的速8，观众最单纯的想看一部爽片看得过足瘾罢了）和小众化文艺电影（此类电影是需要不断多刷多看的，因为本身故事要告诉我们的道理可能不止表面那么简单，故事架构会很复杂，看一遍不一定懂得所有，需要不断思考的电影，不断的丰富自身），所以观众也就会因口味和观影时机的不同，分为了这两派观影。本身这两派是不存在冲突的，你喜欢看什么电影就选择什么类型的电影看呗，但是由于这部电影出现了严重的宣传噱头问题，一开始制造的宣传方式问题，造成了本身偏向于文艺片的电影推向了商业片的范畴，观影人群的矛盾造成了一堆准备看大电影大制作的人满心的期待，最后因为看不透导演编剧的用意而大骂上当受骗，大失所望的不理智差评，也许这也许就是这部电影所面对的悲哀原因所在了。 刷差评骂的要命的人的心态，就在于电影的立意与观影者所想象电影之间的不对等。本身观影者想看的是一部悬疑大片，想看的是如何智斗那个性侵犯，恐怖色彩浓重点，看到了片方的预告片之后被震撼的超级期待，以为就是破解谜团的单纯爆米花型商业电影。结果到头来看到的是四段一个小女孩的回忆——小女孩的家人四次被杀害，一次次的噩梦惊醒的故事，它已经不是商业电影了，它本身的故事载体需要太多的思考，也许多次回味之后你会发现，这个故事的主线是寻找真相，故事想要告诉我们的却是一个女孩子的如何一步步从黑暗中走出来的过程。观影人的观影角度和剧情内容不对等（打开的方式不对），所以出现了一群骂声，这就是宣传公司的套路和噱头问题吧。  如果抛开这些电影公司的套路和噱头，单纯从一部普普通通的电影角度，从一部文艺片的角度，又该作何评价呢：（以下内容只单纯从我个人角度讲述，我只写大概的剧情主题，更多的细节可以查看豆瓣里其他的大神们影评中注意到的细节，都十分的有趣） 首先，这是一部故事极其完整的影片，不存在虎头蛇尾，因为从性侵镜头之后，故事就开始讲述苗苗如何一点一点找回那些记忆，发现家族的秘密，最终慢慢从噩梦中苏醒过来。正如导演所介绍的：“想要给大家讲述一个世界上最悲伤的女孩，从希望到绝望，再从绝望中吸取力量的过程。”如果按照这个逻辑出发，你会发现这部电影的矛盾和不合理都完美覆盖了。因为，这就是一个小女孩的心灵成长之旅，四段故事，层层叠进，一步一步地发现原来家里人所作所为，慢慢走了出来。 站在小女孩的立场，这是一部开头和结尾都完完全全不同的电影。我们先说性侵这段戏，有人会注意到苗苗在性侵前直接挂掉妈妈的电话，这已经是一种预兆，青春期的孩子和父母或多或少都存在这种隔阂问题，相信大家都是过来人都深有体会。接着悲剧开始的性侵戏码，妈妈和弟弟路过草丛，误以为是情侣在野战，直接就走掉了。这个误会，直接造成了苗苗在事发之后对家人隔阂的一个超级强烈的升级，她已经不信任自己的家人了，所以，她只能活在自己孤僻的世界，一句话都没有，只有抑郁，只有冷漠，只有手机里不断播放的歌曲，甚至于面对母亲出事也一直冷漠。  但是她在追忆真相中，一次又一次地面对着家人的惨死，一次又一次地又从痛苦的噩梦中惊醒，一次又一次地不愿相信这是事实，她的心态已经转变了，只想着救回自己的家人——我宁愿在这无尽的噩梦里一直徒劳地逃跑，只不过是想要把你们留在我身边多一天。 而故事的最后，她已经知道了所有的真相，已经从前面三个恐怖的故事一步步拼凑出完整的真相：母亲和弟弟路过草丛并不知道是苗苗，又因为证据的不足而让性侵犯逍遥法外，同时苗苗患上严重的精神疾病。母亲一直觉得对不起女儿，所以一家人（瞒着苗苗）合计想在法外独自制裁这个性侵犯（神秘的部分其实就是指这里），却惨遭毒手被反杀，最后母亲为防止回家了准备进家门的女儿免受杀害，直接引爆油漆和凶手同归于尽，整个家庭就只剩下苗苗一个人。 小女孩不断地平行穿越，不断地追忆，不断地噩梦，用了四场梦，只是为了还原那个夜晚的真相，而这个噩梦中的母亲，在最后的一句：“醒过来吧，不要再活在噩梦里。”才真真正正唤醒了这个原本一堆怨念，活在痛苦回忆里的女孩。是她的家人，拯救了她。也只有家人，才能拯救她，这就是亲情的力量吧。可惜，故事的结局是那么的凄惨。不过，相信天堂中的这家人，看到最后苗苗的那一丝笑容，也就可以安息吧。故事其实并不复杂，主旨也算比较清晰。而造成很多看不懂的原因就在于观影者观看前的预估水准，是带着悬疑片的角度的看了第一遍，以为就是个斗智斗勇的悬疑片，只是单纯注意着死亡的手法的如何不同，人物为了要死那么多次，故事逻辑的大问题，而一次次梦醒时候的懵逼状态。而忽视了电影所要讲述一个女孩子成长的路，往往会错过很多小女孩改变的细节。所以，这就是我们有必要二刷，三刷的关键。（我记得电影主创接受采访的时候曾经说过演员自己看剧本都需要看好多遍才能读懂的剧，作为很多的差评影评甚至看到一半就可以直接打超低分的大扯瞎扯，这就是电影市场文艺片的悲哀）林依晨在采访时介绍影片的时候也曾经说过看一遍你是看不全懂的，所以——一刷看故事架构，二刷看细节变化，三刷就是从头到尾体会小女孩的心理成长了。  关于电影的配乐我是很喜欢的，除了为了渲染恐怖气氛和传递紧张讯息的背景音乐，开头的《la ronda》电影原声带是浪漫的雨夜气氛，和后面的激烈对比性，而第四梦中生离死别苗苗和妈妈对话的那一段凄惨悲痛的童声音乐，则是感染力最强烈的，最容易打动人心。 最后扯一下演技，这一套阵容一直都是宣传的大热点，在看完之后印象更加深刻了。特别是林依晨和惠英红两个的演技真的是爆表级别。有的人会说不喜欢歇斯底里杀猪般的叫声，那是因为他们并不懂得将自身带入此情此景中，一个因为性侵而接近极度抑郁症的女孩子，一个面对性侵犯因为证据逍遥法外而无能为力的母亲。两个人的内心戏又该如何演绎呢？（撕心裂肺的痛苦诠释起来也许让观影者反感，但是这就是当今社会中的现实，被性侵者如果一直走不出那个阴影，也就永远生活在黑暗的角落了，感觉被世界所抛弃。而作为母亲和家人却是最无奈的存在）一句“我自己的女儿我自己保护”诉说着母亲的坚韧不屈。关键在最后谜团解开两个人生离死别的那场戏，痛苦落泪的彪戏爆表呀，让我这个泪点高的人都湿润了眼眶。惠英红曾经提醒过依晨，演戏不要太过拼命，要懂得“借力使力”，而我们所见到的这一段悲情大戏就是两人对于这四个字最好的诠释。苗苗无助地的哀求：“妈妈，不要，求求你带我一起走！”而母亲泪流不止的表情，一句悲痛而又让人温暖的话：“不要乱讲，这一切都回不去了，不要再做噩梦了。”这是一段精彩的对话，所展示出的却是足以让你泪流的心酸。所以，要看到这里，也许你才真正明白，这部电影到底要讲的是什么…… （林依晨的歇斯底里，哭腔的说词，脸部无助的神情，双手不断的拍打的窗户，让我们仿佛看到的是和自己最爱的亲人的分别，这是一种绝望，一种想要了却此生的绝望之中的压抑，这是一种真正意义让人感觉到撕心裂肺的痛。这是极易被带入情绪的镜头场面，观影者会存在及其压抑的心理，代入自身，思考与反思自己很多）演技篇详解见：《震撼人心的生离死别——全演技派的神秘家族》 这是一部文艺片巨作，也是被大众和现今快餐化爆米花电影时代所容易抛弃的未来电影，以不同寻常的叙事方式讲述一段尘封的往事，在真真假假不断重复的死亡梦境中一次次轮回，并不断地还原出真相，而真相的背后却是一个令人悲痛的亲情大戏。这也是一个女孩子的成长之路，从最初的对家人的不谅解，一直恐惧抑郁的心理，到与家人生离死别的愧疚泪落，最后自信的奔跑，她真的慢慢改变了，真的走出来了。可惜换来这条路的却是三个人的生命，她最不愿意失去的，最爱她的亲人。所以，被留下来的人，虽然孤独，但是，请带着逝去者的遗愿——务必微笑着，活下去。  写在最后，4月27日，台湾女作家林奕含因年少时被性侵而一直活在黑暗的痛苦之中，她尝试着将故事写入她的故事《房思琪的初恋乐园》中。她曾经说过：“这个故事折磨、摧毁了我的一生。”也是因为这个故事，让她更痛苦的在发表两月之后依旧选择了自杀了却此生。这是我们所要面对的一个特别现实的问题，也是这部悬疑惊悚片类型的文艺片让我们去思考一个问题与面对的问题吧，无论是苗苗还是房思琪们，社会和家人有合理的方式让她们走出阴影，走出恐惧，共勉——真正微笑着活下去。,149.0,12.0,23
3,3,26292682,神秘家族,fb74e1b41c75cfffb24c55eaef91fd8c,e93389d74638d126d305b02fe2f31fe5,3.0,2017-04-21 00:38:16,"我对悬疑类电影情有独钟，所以一开始就对这部电影抱着期待，打着某福建姑娘被性侵的真实故事改编的噱头，想要来一场匪夷所思的悬疑电影，然而，并没有特别成功，导演各种模仿国外悬疑电影手法，剧情也是除了真实故事以外都故弄玄虚，而且导演自己也没有把最终想表达的东西表达出来，这就很可怕了。 
惠英红、陈晓一如既往地不错，林依晨演技真的不行，可能是她的湘琴太过于深入人心我总会出戏，而且这电影里一表达恐惧就尖叫，太歇斯底里，叫的我头痛。  看完只能说，不是一害怕就用尖叫来表达，这样只会让人头痛不会觉得恐惧，中国的悬疑电影还有很长的路要走，演员的表演也有很长的路要学，都加油吧。",28.0,5.0,0
4,4,26292682,神秘家族,2fdde75fcdf3a5668062c8e584d283fb,1e9cb3fb1dcd300197e94ab3df0bc0f2,1.0,2017-04-21 18:34:51,电影开场，林依晨听音乐等车，陌生男孩前来搭讪，哦，青春片。  画风突变，林依晨跑到荒草地，陌生男孩穷追不舍，哦，犯罪片。  画风突变，林依晨浴室里洗手，背后突然涌现血浆，哦，恐怖片。  画风突变，林依晨操场睡又醒，看一家人反复被杀，哦，大话西游2.。  画风突变，林依晨跟警察控诉，因为证据不足蒙冤，哦，反腐片。  画风突变，林依晨感受到亲情，和一家人生离死别，哦，伦理片。  最后，最后实在没看下去。。。  难为林依晨了，一部电影，从头哭到尾，从头跑到尾。  难为惠英红了，这么烂的电影都贡献了神演技。  至于另外俩人，感觉不是这部电影里的。,147.0,35.0,54
5,5,26292682,神秘家族,01071cbd868736ca19d85681e9d77e49,b123b32b60c3ce2e1782497944bb9088,5.0,2017-05-28 20:36:40,姐姐在一个雨夜等公交车的时候，被坏人尾随强暴。妈妈和弟弟路过，让姐姐一度看到了希望，但是妈妈和弟弟以为是小情侣野合所以走开了。 姐姐精神受到了极大的刺激，在警察局无法指控嫌犯。妈妈因为无法通过法律途径惩罚罪犯感到愤怒。而且姐姐又认为，这一切和妈妈有很大关系，从此不再讲话。 某天妈妈在刷油漆，摔倒之后吞进了油漆，因为没有及时治疗，导致病情严重，需要手术。并计划圣诞节后由弟弟陪着去医院做手术。 平安夜前一天晚上妈妈看到了在网吧的坏人，用车撞后把坏人弄回来家绑在了地下室。 平安夜早上，姐姐跑步回来，发现牛奶没了和弟弟争吵。同时弟弟拿了两个油漆桶放在屋里。警察来敲门，由于地下室藏着坏人，妈妈和弟弟才会如此警觉，并说爸爸不在家。 姐姐由于没钱跑到仓库准备跟爸爸要钱，进仓库看到了地上拖拉的痕迹，以及爸爸在殴打坏人的影子，并且给了爸爸沾满血迹的双手一个特写。 姐姐上学路上弟弟又追上去，给了姐姐一袋牛奶。 平安夜一家人准备聚餐，所以早上妈妈爸爸弟弟都向姐姐发出了晚上早点回来的要求。 姐姐在学校里跑步并且在操场上睡着了，16点醒来回家路上碰上了圣诞狂欢。并接到了妈妈说现在不要回家的电话。 因为当一家人在家准备晚餐时，坏人从仓库了挣脱出来，先将弟弟歌喉藏在柜子，并与爸爸妈妈发生了对峙。妈妈才电话姐姐说不要回来。 搏斗发出的声音惊扰到了旁边的奶奶并来按门铃。同时姐姐赶回家开门目睹了爸爸被捅刀，妈妈为了保护姐姐点燃油漆与坏人同归于尽。 家庭的惨剧，导致姐姐的精神受到了更大的刺激，一方面觉得是自己造成了这一切，另一方面一直在幻想能够让时间倒退解救家人，所以才做了三个梦。 导演正是通过这三个梦境半真半梦幻把事情的来龙去脉讲清楚了，由于是梦境所以观众才会觉得有点凌乱。梦境并且也是姐姐自我救赎的过程。 一年后的平安夜，姐姐跑步得到了第一名，打的回家，碰到了正在路边烧纸祭奠的邻居奶奶。姐姐回家开门坐在沙发上，陷入了回忆。正是邻居奶奶的帮助，才能让姐姐走出阴影开始新生活。最后姐姐开门离开。,46.0,1.0,2
6,6,26292682,神秘家族,13af56d8cdd9ec92e49ef06e7244c600,84e707bfb2ec2b9c9d8628e4a492fbc0,4.0,2017-04-23 15:45:03,看到豆瓣上很多差评，然后说林依晨尖叫，演得很差，贡献了海豚音演技法，我反而就越发好奇想看，因为印象中林依晨演技还是不错的。其实这个片子除了有的地方可以弄得很恐怖（尤其是那位老奶奶的存在）以外，觉得真心不错。看完全片对一些恐怖也能理解，这应该是描述被害人心理重建的片子。 一个经历了性侵、被灭门的人，生活对于她来说真的很艰难，充斥着不断重复的噩梦。在这些噩梦里，从目睹亲人被害，到渴望解救亲人，解救亲人无望再到渴望和亲人一起离去，最后释怀，这是完整的心理重建过程。这些是噩梦，其实在某种程度上慢慢的变成了她的渴望，她希望在梦里还能与家人相见，能说一句永远迟到的对不起。也正是在这个过程中她慢慢发现受害者不止她一个，还有因此受困的亲人们。也许重来一次她会像最后一次一样，珍惜和他们相处的机会吧。 说到林依晨，我觉得她还是演得挺好的，包括尖叫和哭戏。一个因被性侵造成心理阴影而不再愿意开口说话的人，在面临极端情况下也只有尖叫吧。 但是呢，我觉得老太太那个角色还是有些太吓人了，随时会出现，还给了特写。真的有恐怖片的感觉！对于犯罪悬疑片来说没必要吧。还有开头那里突然切换真的有点太突然。 整体来说这部片子我觉得还是很不错的。演员演技也都不错，推荐～,27.0,2.0,1
7,7,26292682,神秘家族,dd3f6b424bb9f14278c0498f2d2a5896,a172f3fb8d5116cb3d64297bf2528342,5.0,2017-04-22 19:29:14,这部电影可以说仁者见仁 智者见智，个人感觉还是很不错的，就是不明白排片为什么这么烂，而且评分也不够高。整部电影是在讲女主角苗苗心灵救赎的过程，从被强暴被母亲和弟弟看到，却被误以为是小情侣在打野战的坏笑离开，苗苗整个人都被打下了地狱，再到与坏人在警察局相见，母亲与律师的高声对峙讲出事实逼迫她说出嫌犯的特征，但是被经历施暴和强奸之后，苗苗失去了对嫌犯的记忆。苗苗与母亲的绝望，母亲崩溃的说，为什么做了却不敢承认。一切都很讽刺，长跑健将却摔倒，父亲每次和苗苗的对话第一句都是问吃没吃药，弟弟每次都会强迫苗苗原谅母亲，警察让苗苗一家快回家，苗苗和警察说家里有杀人犯在等他们，父亲却拿出了精神诊断书，说自己的孩子心情不太好，苗苗绝望地说自己没有疯，每一个小细节都处理的很好。一家人为了保护苗苗，因为法律无法让坏人得到制裁，采取了极端的方式，将坏人抓到了家里，却也把一家人得生命都葬送了，本以为的家庭冷漠，却一直为苗苗默默隐忍。母亲说自己的女儿她自己保护，真的很有泪点。剧情与恐怖游轮类似，四层梦境的层层递进，每一次都是对心灵伤痛的剥离。最后苗苗面对现实与梦境和二为一整个人得到解脱。这是一个创伤后应激障碍的患者，一开始没有接受及时的治疗，到后期没看到泥土，伤疤，芦苇，雨天只要与当天情景有关的都会勾起苗苗的恐怖记忆。苗苗最后一层梦境与家人平安夜吃饭的场景也表现的特别好，喃喃地说着别走。母亲最后和女儿的表白也让这部电影回归到了亲情。苗苗最后长跑赛舒心的笑容让影片戛然而止。里面有一些桥段也是细思极恐，老婆婆是剧中唯一的活在现实中的人，苗苗向父亲要零用钱，婆婆说你不应该向他们要钱，应该给他们钱，暗示了一家人被杀害的事实。苗苗最后冲到婆婆家里与婆婆对峙，婆婆问的却是你知道今天是什么日子么，有没有烧香。从影片最开始所有家人都在说他们要离开一段日子要苗苗好好过，也是说明全家人已经离开了。这部电影是让我唯一一次没有看手机的电影，拿出手机的时候电影已经进行80分钟了。还是值得推荐的好电影，每一个演员都很用心，老戏骨的眼神戏很到位，林演员的戏也非常让人震撼，陈晓得悬疑电影首秀也是棒棒的。,74.0,5.0,13
8,8,26292682,神秘家族,62c466020a85178393d83eb0e595e001,fd2ea96054635aa79112ef5558994cd0,5.0,2017-04-26 00:36:49,我发现很多人没看懂，其实这个电影是鬼片，而且情节中是存在平行空间的，只是结尾用了一些巧妙的处理使得看起来不像是鬼片。首先第一次发生的是梦，也可以说是本来要发生的事，即女主角全家被灭门，家里被烧，女主角一个人活了下来，其实这个和结尾女主角是同一个世界的。女主角梦中看到这些后醒过来，发现还没发生于是想去改变，但是失败了，这是第二个平行世界。女主角再次醒过来的时候，争分夺秒，终于把凶手打晕了，全家逃走又回到家里，基本算是改变了，但是接下来发生的一些事，发现还是无法改变，凶手还是逃出来开车了，家人在车里面被凶手劫持，于是女主角要拦住车子，结果被撞死了，这是第三个平行世界这个世界是真实的不再是梦。女主角再次回到家里发现家里父母给她送别后消失了，桌子上都是父母给自己的饭菜，这时候女主角开始穿上了红衣服，其实已经暗示女主角死了变成了厉鬼，根本无法再回去改变了，也就是第三个平行世界的延续，于是女主角跟着那个老太婆来到了荒野看到到处都是烧的死人用的东西，又来到了土地庙，老太婆让她放下这些，其实就是劝她不要再留恋人世间了。并且老太婆开始为她解密曾经发生的，她于是看到了以一个旁观的身份看到了第一个平行世界里的自己是如何被她母亲救出来并且放火把房子烧了（这时候第一个平行世界的女主角和红衣女主角同时出现，且她想开门也开不开更加暗示了红衣的她是鬼）。这样正好就衔接到了第一个平行世界，于是结尾又继续按照第一个平行世界发展。也就是女主角一个人坚强的活了下来。。。,5.0,3.0,5
9,9,26292682,神秘家族,5ea2e15269e519997945dcf6d428d654,f73378af760f070ddc8267d3c76fb9b8,2.0,2017-05-23 04:29:37,一帮人都没看明白就来评。   首先，女主是被qj以后嫌自己当时跑的不快才开始练田径的。  女主不接母亲的电话是她被勾搭也有意请看她当时嘴角的一抹笑。  女主被qj这件事不是她妈的错，但女主就是控制不住自己不怪她妈。这个很好理解，因为她妈确确实实在现场却没救到自己的女儿，女主本来还在挣扎看到妈妈的一抹笑就完全放弃了。也许生为儿女的确实在心里认为自己的父母可以为他们阻挡一切。而且女主本身已经抑郁她没办法正常逻辑思考。受创伤后的人各种各样不是每个人都可以理智分析抓到罪犯，大多数人还是想逃避的。   林依晨演技不错，她一个人撑起这部片子做女主没问题，嫌她声音尖锐的都忍着。    本片最大的毛病在于导演想表达的太多了，less is more. 你完全可以就林依晨一家在她被qj之后的生活进行描述，我相信这几个人的演技没问题，可以很细腻的表达。或者你直接搞一个灭门惨案让林依晨去救自己的家人。可你偏要qj后再来一个灭门，然后又无限循环，一都没表达明白就跳到二，二还没说好呢三四就来了。感觉这部片子就像导演的丝带儿被他穿出了100种颜色的感觉，眼花缭乱。   最后只能评价，全他妈是重点就是没有重点呀！,10.0,5.0,3
