,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26323026,临时演员,06389e22772a8f20c6b32ddb78c36f7d,21afbf61e0f67d8bc6414bbd69740d03,2.0,2017-09-11 09:38:56,梁丹妮（热依扎 饰）是演艺圈里冉冉升起的一颗新星，有着持续升温的人气和无量的前途。然而，一场意外的发生让狗仔记者们拍到了她和一个名为李非凡（郑恺 饰）的男子在旅店的亲密照，虽然这一切只是一场误会，但一切澄清和洗白都为时已晚。   　　实际上，梁丹妮已经有了一位交往已久的男友—— 地产富商石非凡（郭晓冬 饰），为了挽回女友的声誉，石非凡扎到了李非凡，给了后者巨额报酬，要求他成为梁丹妮的“临时男友”，经受不住巨大利益的诱惑，李非凡沦陷了。一边是养尊处优的女明星，一边是低眉顺眼的代驾小哥，这一对性格和身份迥异的男女凑到一起，闹出了无数的矛盾和笑料。    我很少看一部影片中途看不下去的，这部就是其中之一，真的很无聊，能看睡着的那种，且不说男女主演技怎样，光是这剧情就让人看得昏昏欲睡了，着实没有看下去的想法。真是为赋新词强说愁啊。,25.0,1.0,0
1,1,26323026,临时演员,e6b24bd6a92df47890a17845c160098f,20bb1ef0dfd9a630717421ce6de2b084,2.0,2017-06-02 16:22:46,整个厅就坐了六个人，全程没有一点交流的，真的是安安静静的看完了电影，超级平淡。   看电影的过程感觉女主好面熟，想了好久才想起来是甄嬛传上面的那个宁贵人，还是感觉她古装好看，不适合现代装。   那个男二真的很渣，最后还是和自己的老婆在一起了，敢情之前都是白忙活。一看那个女二就是女强人，气场很强大。尤其男二和女二破镜重圆那段我一口水喷出来，什么玩意啊！男主和女主在一起也莫名其妙的，还不知道怎么回事儿嘞，就喜欢上彼此了。。。尴尬，反正是很糟糕的一部电影。,7.0,,0
2,2,26323026,临时演员,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,1.0,2017-05-27 01:10:56,又是一部跳档的国产电影，我曾经说过，凡跳档的国产片，有99%的机会是大烂片。这一部也不例外。而且这个端午档期有个奇怪的现象，几部同时上映的国产片有四部是跳过档的，分别是《荡寇风云》（还改过几次片名）、《夏天19岁的肖像》、《黑白照相馆》和本片，而四部都浓浓的烂片味道。这不是巧合，越来越多的国产片跳档甚至失踪，是因为国产烂片太多！       这剧情，闹剧——胡闹一场。各种浮夸，各种尴尬。简直让人坐立不安，求生不得求死不能。 烂到一无是处，连提都不想提！  PS：而且这故事还是从一法国电影而来，不知道是抄袭，还是给了版权费的翻拍，抄袭的居多。    可惜了热依扎，在古力娜扎、迪丽热巴之后，她本是第三位走向大红的新疆少数民族女演员，但这电影真是选得不合，不过也怪不了她，毕竟拍的时候她还不算一线，有电影女主做当然不放过啦，就像热巴演《傲娇与偏见》时一样。不过热依扎应该没有热巴那么好运了，《李慧珍》等大热，加上《跑男》助势，档期上占优，所以《傲娇》虽然烂，还是卖了一个亿（这其实是很悲哀的一件事情，对国产电影而言，烂片也能赚大钱）。而本片在《海盗5》的碾压下，同期国产片对手又抢份额，票房要悲剧了。此处应该有掌声！烂片就应该没好报。       导演钱江汉，国产烂片十大特征里有一条就是：第八大特征，三流香港导演执导。,54.0,6.0,14
3,3,26323026,临时演员,b959fcd50ab0474384c0d111334be517,48b68ee55e07b7359938b980cb4d3ca7,1.0,2017-07-07 22:18:05,其实这部电影的剧情很糟糕，很杂乱，演员的颜也不属于我喜欢的那种，但是这里面所诠释的“爱情”我还是很喜欢的。 这部电影应该算是描述了三段爱情吧，第一是石先生和石太太的爱情。不知道当初石先生娶石太太的理由是什么，但是石太太的财富却成为了葬送他们爱情的坟墓。只是最后在石太太的努力下，又活过来了。第二是石先生和梁丹妮，婚外情，却从新鲜时期的恋恋不忘到后来的相忘江湖。最后一段则是李非凡和梁丹妮，从演戏到真爱。 其实这部电影中不难看出，男人的爱情附加了他太多的东西，而女人的爱情就只是爱情。,21.0,,0
4,4,26323026,临时演员,6017b08b1bbb184d3e2548c27ae2da1d,311af95bb0b5f4c1b9ba4cc5b1fe2775,3.0,2017-08-18 22:27:20,"《临时演员》的片名，令人误以为是个剧情片，结果收获了一个很浪漫非常浪漫超级浪漫的爱情喜剧电影。看完这部电影以后，好想好想谈恋爱。
　　片中的热依扎和郑恺用真春和颜值生生hold起了整片的惊喜程度。如果没有他们两个，从剧情线角色拟定名片，这片可以有很多名，比如：《专职司机的璀璨人生》、《被屌丝征服的拜金女》、《偷来的爱情》以及《我和富豪不得不说的故事》、《穷男人富男人》等等。
　　在影片中，梁丹妮 (一位当红的女明星，原本她喜欢的是已婚的房地产富商石非凡，正当她计划和石非凡恋情，却意外被媒体曝光恋情。石非凡的老婆—— 一个无可挑剔的老婆 (殷桃饰)，集名媛气质与商战智慧的女人。
　　比较有趣的是：两个极品女人同样爱着一个男人，却没有不择手段掠夺征服！这对于剧本的挑战是比较有难度的，当然也正是年轻人喜欢的追求爱情的方式。
　　不要一针见血，也不要涂满辛辣，我们喜欢爱情的方式就是爱情的样子！
　　从剧情线来看，《临时演员》有着大量信息化的内容。比如：偷拍明星、富豪与明星的往事、上市公司的婚姻等等。但是它没有去特别凸显这些猎奇心理的暗示，它用这些“圈内”常见的状况串联起了一段高甜的爱情。
　　相比其它电影，它的特点在于甜而不虐，看完整个恋情的过程中，更想多的是给予这段感情满满的祝福，它传递了爱情的精华！
　　另外，影片中描写明星和富商地下情的样子，与平常我们的八卦信息大相径庭，它是把焦点放在了爱的束缚上，(却不是女朋友和正室之战)，这样使《临时演员》变成了为爱勇敢一次的冒险之旅。
　　其次，这部电影对男配女配的挑选做了很高的标准。郭晓东、殷桃、林保怡，无论哪一位都是在偶像+演技的电视剧主角演员，由他们主演这部电影，无疑是为新人热依扎抬轿，也是为电影品质提供有力保障。
　　电影在制作的过程，有青春题材的私人订制特点，也产生了不同年龄段的爱情层递感。
　　《临时演员》不是一个搞笑爱情喜剧，也不是一个荒诞爱情喜剧，如果要给这个爱情喜剧加一个定语，浪漫之外，还应该是真挚。比如梁丹妮在跳阳台的镜头，当时在前戏中是不起眼的一个镜头，却也是命运转折的重大伏笔。一个是人到的中年男人，一个是正值旺盛年纪的女性，这段爱情不仅要考量的是勇气，还有家庭道德层面的种种阻力。
　　镜头并没有忙着渲染这段经历产生的情绪，没有推进这个过程的悲伤。相反，用一种圈内慌乱的危机去解散冲突情绪。因此，观众对女主人观没有表现出厌恶或不解的情绪，思维导向更倾向于梁丹妮娘经纪人的观念。
　　伴随着环环相扣的危机公关，富商最终被自己的职业套路输掉了这段感情的位置。
　　相比于前半场患得患失的游离在娱乐圈和情商圈，女主角下半场的感情走向更有代入感。
　　生活中，社会新闻曝光过太多太多明星和富商的真人真事。
　　结局圆满的，不免有一种撕逼夺胜的凌厉感；结局遗憾的，不免有一种豪门难进的怜悯感。在这个过程中，究竟她们付出了多大的勇气和变化，是不会出现在新闻之中。
　　我们羡慕高品质生活，美好的肉体，对哪些无法满足的疼痛体会不深。
　　后来的镜头里，再次浮现梁丹妮满脸泪水戴上他屈膝求婚的戒指，镜头语言层次感魅力就生动许多。
　　他是最好的选择，男主人设的光环本来是打在运气的节点上，但是谁又能说得清女主是不是更幸运。
　　老天爷，也许给她开了一个玩笑，但同时给她了最好的选择。
　　哪些女孩嘴里排出队要吐出来的爱情体会，怎么也比不上一个年轻真挚的心。
　　一段意外，套住了两颗心。
　　一个CP线，扩展成两个圆满的爱情。
　　对于观众来说，《临时演员》出现的时间刚好，不仅是香甜的夏天，也是香甜的爱情季。
　　毕竟李碧华说过：“人生苦涩，不免爱喝微甜的水”。",9.0,1.0,0
5,5,26323026,临时演员,ea4e2d4584bbfc527507dc9a440b41d9,898ff51115f5673d3b4784f923518b1c,,2020-03-21 10:46:19,演员的天职就是演好自己的每一个角色，让观众体会到不同位置的人们所经受的压力和打击，让观众相信。     梁丹妮是一位影视圈内炙手可热的演员，与石非凡进行秘密恋情，石非凡有自己的家庭，但是已经离婚了。由于某种原因，必须和前妻保持没有离婚的假象。一次误会，她认识了李非凡，由于名字相似，所以闹出来误会。石非凡的态度，让梁丹妮失望，提出分手，继续和李非凡演戏。戏终究是会散场的，结束后，梁丹妮和李非凡分道扬镳，很久之后，机缘巧合下，梁丹妮找到了李非凡，然后就是开发的结局，让观众想象。     没有承诺的爱情是一盘散沙，只会找借口，打着为我们好的借口，根本没有实际行动证明。坚持没有回应，每个人都会累。导演也说明了娱乐圈和经济圈内不为人知的秘密，也揭示了不同人不同的生活。,1.0,,0
6,6,26323026,临时演员,8428e6be44b361be022c60c2f0fe374e,9936ab8952b9ca221503ce9b9f13e118,3.0,2019-09-28 12:02:57,不是脑残粉，但觉得还行，没有让人感觉有很尴尬、起鸡皮疙瘩的点，虽然不是很火，感觉也不至于差到1颗星吧，客观角度，建议不知道看什么电影的时候。闲下来没事，不知道干嘛。可以看看，我大概看了2遍了，  还有郑恺演的电影基本都有看过一点，人设嘛都觉得当渣男会有点意思，但这部电影是个好男人的那种，让我会感觉到不适应，会比较喜欢前任系列的他，这部的人设会和私人定制的人设差不多,2.0,,0
7,7,26323026,临时演员,54fe82d0be038fc53cdd9a268ff985a4,602f13b27a4d6208ea8778c80100c389,2.0,2019-02-25 20:54:27,这部剧，大方向我不说了，以我的文学水平也说不清楚，开新闻发布会，记者不在发布会守着，守人家里干嘛？你平时怎么不守着？不然好歹也有些同居温馨照片，阳台分居的照片流露啊！扔鸡蛋，现在什么年代了，记者采访明星都知道来的是渣男，都是先知吗，知道是小狗的错？知道小狗会承认？顶包？还是某记者需要鸡蛋补补，采访前看见鸡蛋大减价，拼命狂购，刚好遇到渣男派上用场啊，这是文明社会啊，还有经纪人，别人都帮你们背锅了，难道你不该保障人家的人生安全及尊严吗？玩消失……我非常欣赏编剧，约吗？,,,0
8,8,26323026,临时演员,bfe0f96f617dc9d533237567f7058d47,a9fa8dabe5c73fe5f2d9a76c7a0ac46b,3.0,2018-06-17 11:21:40,打3分吧   故事的剧情描写确实挺不怎么样的   3角恋情很老套   但在一些方面让人感觉这样的爱情为对方的感觉还是可以的   其实男主演的也挺好的  只不过为什么天天都演这种剧情的电影   很没有新意   搞笑的部分我觉得经纪人演的还是比较有笑点  仅仅表现在声音方面   总体来说一般吧,,,0
9,9,26323026,临时演员,ef995b8955a097ab965eeeb8820ad221,d165c8becbcfa737f428ab758f60af7c,3.0,2018-04-10 09:53:31,"原本看到评分之后确实没报太大希望，也就是打发一下时间，看完感觉……好吧，也就这个分数了。
    首先，服装，造型和场景。作为女士，在影片中关注女演员的妆服再自然不过了，看到女主这个所谓的大明星穿着连我都嫌弃的衣服，我真心难以接受，就不说类似《星你》这种韩剧里一流的服装和造型，国内影视剧《克拉恋人》里面高雯那样的明星造型也勉强让人接受，可这部剧里的“丹妮”，以为起个洋气的名字就明星光环笼罩了？她的所有发型，居家休闲装以及拍摄时的衣服，豪宅摆设等等，真的low到爆，看得我一脸尴尬。     再说说剧情吧，完全没有悬念，看到开头就能想到结尾。除了几个实力派演员的演技还有点儿看头，比如殷桃，陈晓东，林保怡，郑恺勉强算吧。让我比较纳闷的是，女主的感情变化也太生硬了，就因为跟男主相处的短短几天就爱上他了？电影不断的在烘托一个主旨大意：如果你爱一个人，就不要让她受委屈。对比富商的做法，确实很治愈系。我只能理解女主在受尽委屈之后，看到男主为她做的事被感动了，从而移情别恋。还有一个想吐槽的地方，演员詹瑞文的声音分分钟让人出戏，放在偶像剧里真是让人鸡皮疙瘩掉一地。每次他出场，我的内心都会产生强烈的不适感。不知道导演怎么想的，就因为他的声音比较有知名度？额……     还是想说说女主，一眼就认出这是《甄嬛传》中的某个妃子，名字还不太记得了。但是对她那张少数民族的脸印象还是比较深刻的。甄嬛上也没觉得她的演技有什么问题，可在这部剧中，前半部分基本上都是一张苦瓜脸。到后半部分，每次笑的时候，感觉那个嘴都快咧到耳根子上了。真心没觉察出什么叫美感。感觉选角有点失败。     吐槽了那么多，还是要说说优点的。先让我仔细想想。电影的剧情比较完整，也不算拖沓，以明星的绯闻为主线，展开剧情，主旨大意的表述还算清楚明白。作为一部打发时间的爱情喜剧，还是可以看一下的。最起码不用太烧脑。",,,0
