,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26350968,苌山虎,8b03277041fe39f68c76903f7d60097f,7e35fe311599550f01a42b6caa3556be,2,2018-05-28 11:40:10,"这篇影评可能有剧透 

                        老实说很少看恐怖片我会看到后面替恶灵着急，盼着主角能尽早GO DIE的！！结果看完这部片来豆瓣发现评分居然还有5+？？？我就意识到这不是一部简单的恐怖片。 于是我认真的把剧情梳理了一遍，才发现之前果然是Too Young Too Simple。 今天我来教大家“正确”的打开方式，保证让...

                         ( 展开 )",34.0,,12
1,1,26350968,苌山虎,7ffa76c76bb550f9c810ceec9ce95f2c,3a49940d07d64cad15ac1327356c5c4b,4,2018-02-14 02:29:11,"这篇影评可能有剧透 

                        真是一水差评，其实个人认为没这么差。 演员没什么毛病，表演到位，音效视觉钱也都花在点儿上了，没太多硬伤。非要吐糟，剧本缺点新意，没玩出新花样，几个鬼片的常规组成模块对见多识广的鬼片爱好者来说简直就是老套路： 有着不幸经历的家庭 知情指路的老妇 永远最后到场的警...

                         ( 展开 )",18.0,2.0,19
2,2,26350968,苌山虎,c790ed6b419d828bcbeaa680b1a7f85d,a0ee760ceef3611064e7089851502493,4,2018-12-02 23:48:09,"这篇影评可能有剧透 

                        都说很差，我反而觉得还好。看似一部烂烂的鬼片，描述的却是那些曾经逝去或者失去的，并没有真正离开，而是在内心深埋下一颗伤痛的种子，被人们刻意掩盖着，极力逃避着。一旦被翻出，伤痛就会肆意蔓延，最终被黑暗吞噬。吞噬你的，片中是鬼，实际是心魔。在片尾争议性的环节上...

                         ( 展开 )",4.0,,0
3,3,26350968,苌山虎,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,2,2018-10-08 21:22:58,"这篇影评可能有剧透 

                        2017年，恐怖悬疑惊悚电影《 苌山虎   |  장산범》 这个题材相当不错，特意去看过漫画版，虽然是个比较老套的故事吧，在中国和欧洲也有类似用声音迷惑路人的妖怪的说。这里在加上模糊视线的技能属性，我感觉碉堡了有木有? 光想想就很恐怖了 有木有？ 可惜这个电影完全没...

                         ( 展开 )",2.0,,0
4,4,26350968,苌山虎,dea16a5fb977cb5fb103d6362dce1de2,c79553787c9bcaec91d09873f19cb7ca,2,2018-01-22 17:44:33,"首先，这并不是一部很好看的恐怖片，剧本也太差强人意了，和导演的第一部作品《捉迷藏》的确是差了很多。但其实这部电影的概念还是挺好的，那就是苌山虎这个设定，据说苌山虎是韩国传说中的一种怪物，善于模仿他盯上的猎物死去的亲人的声音，吸引猎物，进而将猎物吃掉。 但是如...

                         ( 展开 )",11.0,5.0,7
5,5,26350968,苌山虎,baaf9ac5ec27c04941b774cd58c7ad43,1bb0723d90a7147cfb06d761b627e3bf,5,2020-03-05 23:12:14,"迷惑人心的妖怪和血肉之躯的人类之间的battle，苌山虎能轻易找出每个人心中最脆弱的地方，生而为人必有软肋，这也是它屡屡得逞的原因。这部电影氛围很好，只是结局有点遗憾，我还是喜欢大团圆结局的，而且我也有一丢丢没懂，为啥女主还要折回去。电影整体还是很不错的，剧情环...

                         ( 展开 )",1.0,,0
6,6,26350968,苌山虎,cb2d2a3f7d9e2c63ea46d10d68ee040a,002eaba849e81741a785f06a9eb6831d,3,2020-02-02 15:56:18,"本片的设定还是不错的，但妈妈太傻蛋，恐怖画面虽然不多，但都可以把你吓到😜，不过开头来势汹汹，后面的剧情也慢慢的开始走烂片套路，如果里面的沙雕剧情改一下应该能上6分，不过，现实很残酷，这部好好的恐怖片成了烂片，而且有时吓人会用jump  scare ，所以不推荐胆大的人...

                         ( 展开 )",,,0
7,7,26350968,苌山虎,cb2d2a3f7d9e2c63ea46d10d68ee040a,002eaba849e81741a785f06a9eb6831d,3,2020-02-02 12:43:16,"本片可以说是吓到我了，jump  scare用的很少，恐怖画面不多，但个个都可以把你吓一跳，不过开头来势汹汹，后面就慢慢走向烂片的道路，女主也太没有脑子了吧！！！😓😓😓，而且后面吓人都在用jump  scare ，毫无体验观感。。。。如果把妈妈的逻辑改一下应该能上6分，不过...

                         ( 展开 )",,,1
8,8,26350968,苌山虎,6718cc164fced6c2972b83dec97bd07d,2b21df772b093ba3a1da1c3ce3fa2831,3,2019-03-11 00:04:13,"与充分利用了梦魇手法的同名漫画想比较，影片在惊悚度上并不能说是上乘之作，基本采用常见的声音、氛围、梦魇等元素，兽化人形也显得粗糙了些，但导演在影片中增加了更多的亲情因素，看似出人意料，实则意料之中的结局让人唏嘘不已。 离开意味着永别时，你会选择独立离开求生，...

                         ( 展开 )",,,0
9,9,26350968,苌山虎,5c9e1a828d5df3a4958f88294afcd43e,a022f0ac9d7ed620319bd5ef4aa0bdbe,3,2018-09-09 23:27:45,"总觉得电影叙述上有点虎头蛇尾。故事最后也没有交代小女孩是邪是正，按照剧情上邪灵应该在二十年前就转移到小女孩身上，小女孩的父亲更像是小女孩的傀儡，但是这就说不通小女孩为何最后要放过男主和女主的女儿。也没有交代为什么几个失踪的人有没有找到，神婆给的铃铛也没用上...

                         ( 展开 )",1.0,1.0,0
