,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26365022,完美音调3,47d09d6141843ebbc33f7b643c18563b,baa7443a125e6573e77f0e348748b72d,3,2017-12-27 18:57:19,满怀期待的去看这部电影，毕竟前两部真的还不错，歌舞上乘，剧情也还有意思。然而，这一部似乎迷失了方向，让整体显得有些不伦不类。     贝拉女团们这次从各自失败的社会生活中再次团聚，想最后再唱一次。看完整部电影可以很明显的发现这一部试图专注于不只有歌唱比赛，而是更多的将剧情发散到主要角色上，引发多条支线，并通过故事支线的营造去展现每个角色的成长与喜怒哀乐。只可惜，想尝试却力不从心，这不仅仅让原本的歌舞展现相比前作逊了很多，在剧情起伏的把握上也略欠火候，某种程度上将太多冗杂繁多的故事拼凑在一起走深度并不适合这个系列，但也不能完全否定其可能性，电影更需要做到的是保持原有质量的情况下加入成长内容。     不难看出，这一部电影里的对手们只有电影前半段占据优势，贝拉们急于展现自我追求名利的心情在看到史黛丝的baby后立马转变成只要享受歌唱就好，然后就是压制性的胜利，这种类型片我确实不应该要求太多心理描写和剧情多么多么好，但至少能够做到这样随意草率，成长的想法可以是一瞬间的，但真正成长不是那么一蹴而就。随后就是fat amy的Daddy issue，这一个事件成为贝拉们重拾自我的转折点，大家失败的生活一下子都变好了，甚至撒旦都离开了莉莉的身体让她大声说话了，然后“家人是支持而不是束缚”之类的核心烟花在各种爆破。说实话，fat amy是整部电影的一大亮点，80%的笑点都被她承包了，只可惜这一部的人物刻画和剧情设置真的就是一盘大杂烩，没有实打实的重点。     单论歌曲方面，也只有最后的大合唱最为吸引人，也十足将告别的情怀推上了最高点，歌词也很打动人。个人很喜欢片尾的黑白纪录片式剪辑，将三部曲的花絮镜头结合在一起确实让人有所感慨“这大概是最后一次看到贝拉们了”。     应该不会有第四部了，也请不要出第四部了，点到为止才是最好。另外，去之前我没有想到烂番茄新鲜度会不到30%，即便是现在我也还是觉得应该会有个50%吧，但观众爆米花评分相对中间一点。只能说至少在北美，这部电影并不成功。,10.0,2.0,1
1,1,26365022,完美音调3,de24de9b7af48a665d1a3d66437d043f,3bbb7cf52ecd9a7cebcfc007c14e8e27,3,2018-02-21 14:51:38,如果这是这个系列最后一部 那就算是最好的结局了 。不要再来消耗这个电影的热度了！好看不过1，最爱的还是第一部！这部虽说是原班人马，但是作为一个歌舞电影，主题稍微模糊，不如前两部，歌舞精彩程度也略低，尤其是那个绑架的桥段，真是尴尬啊！剧情虽说有些俗套，但是偶尔还挺搞笑，本来想给2星但是最后的那个合体值1星！ 我喜欢大团圆结局，虽说悲剧创造经典，但是生活从来都不容易，何不来点欢乐呢！如果你在闹片荒而且喜欢歌舞电影，只是想放松一下自己，可以粗略不计剧情，那么这算是一个很好的爆米花电影。,6.0,,2
2,2,26365022,完美音调3,daf48ef2c331a6ca5bbbf2d9f8a49722,b75e8fff4f2142c62c4e0559238a4129,4,2018-02-21 21:19:15,当看到这些青春片完结时总感觉心里不是滋味，让我想起了自己已经毕业10年了。。。翻看以前的时间表  第一部上映也是6年前了。。。。是的天下没有不散的宴席，女孩们也30了。。也该过自己的人生。。我们各位何尝不是这样呢？？这系列让我想起了   两部系列电影  都承载了我们的回忆我们的青春  歌舞青春系列也是一个校园电影结局也是那么的皆大欢喜。。。可是一看  原来第一部上映离现在已经有了12年时间了。。。  公主日记系列。。。。已经18年了。。。  时间你能慢点走吗？？？,6.0,,0
3,3,26365022,完美音调3,67d4de75c7c63e74946abd41bdb7ccc2,5f2641b74ec90e0eb3ded3925c2a78d9,5,2018-05-06 15:06:00,"""This really is the end of the Bellas as a group, but it's the beginning of the Bellas as a family"".                   —— Brittany Snow    从开拍起就一直等着这部片上映，上映后却一直不舍得看。看完这一部就真的结束啦……怎么能这么快就结束呢？！   终于有一天，我打扫干净屋子，买了一大桶爆米花，牛奶加热到55℃，拉上窗帘，半躺在沙发上调整到最舒服的姿势，狗狗安静地卧在我脚上，我深呼吸一口，仿佛完成一个重大的仪式。然后我打开了这部电影，把票房、评分或拿了多少奖全都抛在脑后，看Bellas再次聚在一起，站上舞台，乐她们所乐，哀她们所哀。在Beca上台唱《Freedom》的那一刻，我的眼泪夺眶而出，骄傲、欣慰、难过一瞬间涌上心头。我不自觉的点开了前两部，重温早已烂熟于心的台词和画面，和她们一起唱每一首歌。   从Aubrey疯狂呕吐搞砸演出到Beca被选中；从这些nerds聚集到一起成为Bellas到她们各自开始新生活；从我初入中学与周围一切格格不入到渐渐在世界上找到属于自己的位置……Bellas成了我青春的一部分，银幕里的不是明星，是陪我度过了这么多日子的好朋友。   看完电影后的很长一段日子，我都沉浸在分别的悲伤中，直到看到本文开头是Brittany Snow的这番话：""This really is the end of the Bellas as a group, but it's the beginning of the Bellas as a family.""从此以后，我们就是一家人了！    口碑扑街了？Who cares?我就是要打五星。   最后来个回忆杀 





 





 





 





 





 





 





 





 





  I love you awesome nerds.❤",4.0,,0
4,4,26365022,完美音调3,6e0d9b3fb49e62f130a4605c402de055,6e0d9b3fb49e62f130a4605c402de055,2,2018-01-21 21:36:53,如果第二部作为结局虽然不尽兴不出彩，但是标标准准已经很圆满了。 然而第三部作为收官之作，连狗尾续貂都谈不上。 我看第二部的时候有个错觉，当时以为如果第三部会让Emily的演员挑大梁，毕竟第三部里她也确实是学校里的Bellas的领头（学校里的Bellas已经不是Bellas了只有这几个固定演员才是¯\_(ツ)_/¯算了看电影算了就不这么认真了）。 说回内容，一开始倒叙，中规中矩。生活失忆，除了唱歌没有别的擅长了，每个人都很丧？更别提不来演的随便就被分手了，（很无力好吗第一部第二部有至关重要的剧情第三部说分就分了很无语，简单剔除男演员的设定让第三部和前两部联系不紧密了） 中间的剧情我都不想讲了，一些笑点同场的观众都有笑，唯一不能理解的是fat amy打戏那段，简直不可思议。救朋友心切？但是突出她深藏不露和主题有什么关系呢到底？Beca大变活人，反派智商夸嚓就下线了吗，不问不管老老实实听了一首cover就伏法了？？ 请导演把预告里有正片没有的片段吐出来谢谢！！！,3.0,3.0,0
5,5,26365022,完美音调3,0e6b5e657e8acf84ebd82d574c768dc4,b70e2a0d855b4dc7b1ea34a8a9d10305,3,2018-01-02 16:04:11,"作为系列片没能避开尬玩老梗的通病，作为完结篇真的是不够优秀。但是作为一个年龄基本完美跟上每一部里主角成长轨迹的观众，这一部里的""轻熟龄危机与尴尬""倒是同样能够体会。羡慕与怀念early 20s, 迷茫与焦虑于mid 20s，害怕又渴望未知的30s，但开始渐渐告诉自己要move on。略感安心的是好的朋友总会在那里～ BTW, Ruby Rose 要是只会演这种只会耍酷的鸡肋角色，请速速消失在大荧幕好吗",4.0,,0
6,6,26365022,完美音调3,dcf37d7e7257153266ba16fa1abb7b48,1c529e4b4545b7e59533dda85044fcf6,4,2021-03-07 09:56:00,对于结尾贝卡受到DJ卡勒的邀请，而没有邀请整个贝拉合唱团。合唱团支持了她并说真正的家人是不会拖后腿的，可以说是非常羡慕这种感情了。贝卡在后来的个人独秀freedom，把合唱团请起来一起唱。真的是非常感动！完美音调终于完结撒花啦 有一个非常奇怪的一点，豆瓣电脑版为什么字数要140个才能发表影评。这不是自己想写多少就写多少吗。真的是有问题。我想写多少就写多少,1.0,,0
7,7,26365022,完美音调3,55c68b0004b8a7db34944d6c11bf0bd8,c73651f934be82011ff743a432c652f3,4,2019-09-13 13:39:33,一直就很期待第三部，但是好像热度真的不高，作为完结，可能这也是最好的结局，大家都在自己的生活里往前走，虽然现实也应该是这样，只是每每看到这里我就很难过，怀念青春的岁月终究会成为常态，但是我们依旧需要前行。马上大学毕业的我，也深有体会，但不管怎么样，有美好的回忆就好了，永远记着杯子歌的那个夏天，那个贝拉的夏天,3.0,,0
8,8,26365022,完美音调3,becd439c38f57c540318559c2d1861a7,d5fdca5d0cb1e47e19906c339c480a11,2,2018-09-20 18:25:47,表示并不太喜欢这个剧情这让观众没有耐心继续看下去好几个人物的性格比之前还精神分裂表示非常的失望剧情的节奏有点杂乱无章结局也是非常的老套表示这次的音乐并没有我喜欢的跟之前的音乐比起来真的差太多了吧人物的形象也不太好比如那个因为长得没就经常换对象的Brittany Snow这样的形象不太好吧本人并不喜欢因为长得美就可以随便为所欲为的人这让别人怎么办是吧,,,0
9,9,26365022,完美音调3,5fb99543f5ae4f989bcfa696868cd11c,165e6a47c7b392cb0ba27106b0bc50e6,5,2018-08-12 16:37:38,"《完美音调3》是完结篇，但是还是希望有456... ，每次都看不够。每一部完美音调都能成为我的新歌单。   从音乐方面来说，3里的串烧要比前两部要好很多，尤其是加入了乐器的battle。""僵尸末日""那段，电音大叔一开嗓鸡皮疙瘩都起来了。但是结尾演出并没有前两部让人震撼，但是他们家人一般的感情还是很打动人的。   从情感方面来说，第三部依旧走了友情线，贝拉们都已经离开了大学，有了自己的生活。这次还加了亲情线和爱情线，但是感觉并不是很丰满。还有对手Evermoist 结尾对贝拉们的态度，转折很生硬模糊。不过这都不影响《完美音调3》成为一部好片子。   这是音乐，也是青春。   是该进入下一个阶段了，贝拉们。   你也一样。",2.0,1.0,0
