,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26389696,大闹天竺,31d772c89e4e9c239cdf67dbc7c7f313,94c80dc1506fae455a0bd383ebb862e2,1.0,2017-01-25 16:18:57,我在本片上映前一周观看了此片，在与媒体同行观影并交流后得出了以下结论，提供给广大观影人做参考。   1.本片有笑点，但都是尴尬得让人笑不起来的笑点。   2.王宝强和岳云鹏的表演做作至极，观看后可能会造成不适。   3.影片剧情不能说有尿点，应为整个片子的剧情就是一个尿点。   4.本片的拍摄手法极其诡异，多数镜头十分混乱，令人不解其意。   5.本片的画面感与地方台电视剧基本无差。   总之，现在阿猫阿狗都自称导演了，拍出的片子水平参差不齐，而许多烂片却能取得高票房，真是耐人寻味。最后祝大家新年快乐！,2490.0,271.0,296
1,1,26389696,大闹天竺,15451e39f2e0da1f808af63c4cd30935,ea5a19bd2e2b12457985d39401cf25ed,1.0,2017-01-28 13:48:03,"我叫王大锤，
我是盛唐集团总裁唐宗的儿子，
万万没想到，
我爹地姓唐我竟然姓王！

这一天，
我骑着通常在王晶电影里出现的飞行器，
来到一家钉子户的房顶上，
Biu！Biu！Biu！
我爹地的单子为什么我要管这闲事？！

没错，我就是要管！
谁让我是盛唐集团总裁的儿子，
上学神马的都太无聊了！
但是万万没想到，
我爹地就在这时嗝屁了！
爸！爸！
你不能死啊！爸！

爹地嗝屁前，
交代去印度拿遗嘱，
尼玛啊！
为什么要放在那么远的印度？！
就不能放在大陆、泰国、香港吗？
但是爹地拉住我的手，
语重心长地说，
“因为其他地方徐峥都去过啦。”

不过没关系，
谁让我是盛唐集团总裁的儿子，
我有钱，
我可以坐飞机。
但是……
爹地为什么非要我带着那个钉子户去？！

钉子户叫悟空，
万万没想到，
他不是在演《万万没想到》！
但是……
这货家里养那么多猴，
上飞机还带鞭炮，
不会是要组个马戏团吧？！
等一下！
我那么有钱，
为什么我有红旗车却没有私人飞机？！
噢……我是有私人飞机的，
但是我要低调，
因为我是盛唐集团的继承人！

画面一转，
我就来到了阿K库里过呀open，
啊不对，是印度。
咦……怎么跟我来的还有一对杀马特乘客啊，
不仔细看我还以为是唱《嘻唰唰》的那个呢！

噢！我的天！
来接我的竟然是那个之前在五环附近溜达
后来又到非洲去摆摊的猪头啊！
他怎么来印度了？！

初来乍到，
我对印度感到非常地因吹斯汀。
回想我过去的生活，
除了当上总经理出任CEO外，
我每天做的就是吃饭、睡觉、花钱、打怪。
所以我下定决心，
我要在这里寻找我的人生巅峰！
但在这之前，
我要先找个妹子，我要妹子，我要妹子……

咦？！
这染坊里的老鸨怎么是多年前撇下猪头的燕子？！
猪头！猪头！我找到燕子啦！

原来燕子过于貌美，
上了那辆出租车后，
就被没安好心的司机转手卖到了印度。
万万没想到，
经过之后几年的努力拼搏，
燕子竟然做上了老鸨！
这其中的故事励志的让人感动啊！

我以为我能在印度happy的玩耍，
可那两个唱《嘻唰唰》的是不是和我有仇啊，
总是要拿刀捅我。
好在有悟空的保护，
让我逃过了一刀又逃过了一刀。

原来，
那两个唱《嘻唰唰》的是我爹地的弟弟派来刺杀我的。
不仅如此，
他又派来了黑衣杀手——自带拐杖的村口大爷。
但是悟空不敌村口大爷，
被大爷打进海里。
悟空啊！你那么厉害都嗝屁了！
我这遗嘱是铁定拿不到了啊！

我叫王大锤，
万万没想到，
我还是拿到了遗嘱。
就在悟空掉进海里的时候，
发现这海底下还有景区嘞！
参观者还有机会获得一根金箍棒！

悟空拿着金箍棒，
打败了村口大爷。
伴随着“滴滴打的到地打单，滴滴打的到地打单”的旋律
悟空他的亲生老爸，花果山水帘洞美猴王，出现了。
美猴王给我了装在信封里的遗嘱，
便带着悟空嗖一声驾筋斗云远去。
我打开信封一看，
欸？怎么里面是张敬业福啊？
END.",2036.0,103.0,232
2,2,26389696,大闹天竺,f221935393a1b5acbf6678e3c1981741,8291b85600a890b12f4127a2215c1cfc,1.0,2017-01-28 02:53:26,公路片几乎是有模板的，中国的那些所谓导演毛手毛脚的套用着这个模板，乐此不疲。主角一般是两到三人，要共同去做一件事，但是性格不同，中间会有矛盾了然后吵架，分道扬镳，然后闪回过去在一起快乐的时光，好像领悟到了什么的，然后在反叛过来打某一个人的时候，另一个人会不知从哪里跳出来，参与打斗。最后当然是喜极而泣的完美大结局，我想大闹天竺肯定大九不离十。比较适合过年放，毕竟最基础的那群人都回老家过年了。他们不需要电影告诉他们什么，好看，带劲，带点感人的东西都加点普世的友情，爱情就够了。,261.0,51.0,23
3,3,26389696,大闹天竺,ba5cf9ec75fcb1a1d501c933320ca872,58c361b2e9b53825b0d1f54bd5e17e94,1.0,2017-01-28 02:48:03,实在不想写，但想想...，还是写点吧，原因有两个： 1、担心大家的同情心被践踏； 2、担心大家花了钱还找罪受。 给一颗星的理由有4个: 1、影片的硬伤是整体结构不清晰，多个片段“强奸式”插入； 2、画面太狗血，刚开始就乱，后面看着就想吐，最后还恶心了一把六小龄童； 3、本来一颗星也不想给，一星是给猴子的 ； 4、不要再为马蓉事件烧钱，毒害不浅.,695.0,92.0,123
4,4,26389696,大闹天竺,b608a6cf9b27b250ca4e34155cf84c63,822bfb61b8678de5db937cf540375dd0,1.0,2017-01-28 11:41:27,是的，正在看，但真的看不下去，所以开始写影评。虽说有执行导演，大部分演员导演多是挂名，但至少找个靠谱的吧！或者说这个就是导演的趣味，想表达的？如果是的话，那这个导演还真不是谁想当就当的！ 1.了无生趣的故事。 2.为了炫技而炫技，不断的毫无节制的无聊的展示主角功夫。 3.毫无笑点，全场秘制尴尬。 4.恶俗的审美，红黄蓝绿满屏飞。 宝强，有钱了不如去多读些书，有演戏的天赋和机会还是做本分点去作演员吧，这次真的成为了反面教材！看了才知道《我不是潘金莲》拍得多好，大导演是怎么拍戏的！ 同情王宝强的经历但是也不会因为同情就会给这样的作品评高分，给没看的人做参考吧。 看过觉得很好看我们绝对不阻止你去电影院二刷三刷，用软妹子投票绝对比在豆瓣撕逼更受王宝强欢迎！,428.0,47.0,62
5,5,26389696,大闹天竺,8bbc55ad2579f03fd5c0fad94d8ba00d,c16738a7a13f34cfbdf2ef7ec31a6d3a,1.0,2017-01-29 17:23:51,如果，平时有人约我看这部电影，我要跟他友尽！可是，这次大年初一图个开心嘛，我TM买了四张票去看了这部烂片，我对不起我的观影生涯，我对不起我发过的不给烂片贡献票房的誓。   开场没赶到，等我坐定的时候，是一场对剧情推进毫无意义的天庭打斗戏，当我看到王祖蓝那比六一儿童节表演服还艳俗劣质的造型，我大概明白了本片的审美，等我看到陈佩斯病死了，我大概明白了本片的演技已经下线了，当我理清剧情，了解他们要上路去印度，我大概明白了这又是一部模仿人在囧途的公路喜剧。    通篇人物形象毫无美感，林永健的造型简直辣眼睛 ，白客王宝强穿的什么东西我看都看不懂，服装道具粗制滥造，剧情苍白无力，闭着眼睛都猜得出，场景镜头调度混乱至极，经费预算可能都被用来排片了吧。结局又是致敬西游记，求求你们放过西游记吧，西游记那么好看，你们为什么要毁了它。在电影院里，对着这满屏尴尬的演技，真是欲哭无泪。    其实我对王宝强的好感仅止于士兵突击，人在囧途系列傻憨的形象让他大获成功，可是在我看来，他努力营造那种我好傻哦大家快来爱我吧的形象，令人生厌。高兴时，张开大嘴占据脸的二分之一发出令人尴尬的笑声，整个脸都快挤成一个失去水分皱巴巴的橙子了，难过时，更容易形容了，输出全靠吼，台词都不能好好说，再加上口音，没有字幕都不一定能听懂。     连演员都当不好，还想当导演了，不是科班出身，没文化不怪他，他能用的经验仅仅只有拍囧系列的积累，真不知道他哪来的自信揽下了这个瓷器活的。说白了，中国电影市场太乱了，什么阿猫阿狗流量小星都能当个导演圈圈钱。身上有任何爆点的更加不能放过了。      王宝强离婚事件为他博了不少眼球，不少人为了他义愤填膺，甚至有一部分人还会走进电影院为他贡献票房。这顶绿帽子挺值的。说实在的，谁是谁非，我们都不了解，我们只是看客，我们知道的都是当事人让我们看到的，事实真相谁也不了解，而且，这又关我们什么事呢？ 道德只能用来约束自己，不能约束别人。 这是我最后的倔强(╥﹏╥),240.0,26.0,66
6,6,26389696,大闹天竺,74380696f7d36ee9a13c2f2548c2ce24,330d6291ec5981d97c5b09e89b1b7dd5,2.0,2017-01-30 10:29:50,新年档上映了三部片子，昨天看了韩寒的《乘风破浪》和王宝强的《大闹天竺》，看完后却有一种一言难尽的感觉，但影评还是要做的，就先从《大闹天竺》开始吧。  影评系列总是要先说说看点，主要的看点……应该是演员阵容，王宝强，白客，岳云鹏，柳岩、黄渤等。嗯，其次……王宝强确实是很卖力的在演出……然后……我们先说其他的话题吧。  通常来说，一部喜剧评价它的好坏，有许多因素，但首要的是决定性的，那就是观众笑了没有。虽然从王宝强怒吃辣椒，岳云鹏被踩，白客装疯卖傻这些段落，我能够非常肯定的王宝强导演以及所有的主创，都使出了浑身解数来让观众笑，但这个努力的结果确实有点尴尬的。说完全没有笑也不至于，比如岳云鹏出场的时候，很多人就已经笑了，但当他做出各种夸张的表演之后，观众的笑声反而少了，倒真让人有点疑惑。我想起来大学时代我有一个会弹吉他的室友A，他弹唱了一首曲子大家鼓掌。室友B是一个不太会说话的人，他跑过去拨了几下吉他的弦，嘣嘣嘣响了几声，然后他说，这吉他还真好啊，你看随便拨几下声音就这么好听。然后大家就陷入沉默了……   这个是结果，分析一下这样的原因。感觉浮夸，可能是最明显的。比如通常来说，因为愚蠢或者偏执产生的痛苦，是常见的搞笑元素。但是如果要让观众因为角色的痛苦笑出来，就需要给时间或者故事让他们代入角色，还需要让观众觉得他们当时的决定是他们当下性格的可信选择。可是，这里面的角色总是做一些超过自己应有的反应，给人的感觉就是，为搞笑而故意做出种种夸张的行动。比如把白客锁在箱子里面，本身是一个搞笑的点子，但是王宝强当时明明还有其他更多的选择，却一定要这么做，就让人觉得出戏了。   此外，本剧情绪流也是过度饱满，每个片段都想着要搞笑，但却用力过猛，没有给出足够时间酝酿角色的代入感，也没有时间舒缓情绪。甚至，连讲故事的时间都不够，这也导致叙事跳跃不连贯的问题。从镜头角度来看，每个镜头的运动都非常多，但却缺少节奏的变化，颜色也都非常鲜艳，却至始至终没有让眼睛喘息的时候，所以整片看下来非常累。黄渤的扮相更是有点刷新我的审美的下限了，感觉这种化妆已经不是搞笑，而是恶俗了。看电影的时候，周围的孩子们多次提出好累，什么时候才能完，要求家长带他们离场。这或许也是节奏问题的另一个证明吧。   这种用力过猛的感觉，可能从另一个侧面反映出导演对于自己创作的作品的自信和定力不够。正因为如此，才想着把各种猛料往上加，直到做成了这样的片子。其实，从演员到导演，知识结构有非常大的区别。因为导演可不光是怎么指导表演，还要考虑剧本摄影美术甚至工期等各种元素，要为银幕上出现的一切负责。而这个片子的感觉是，王宝强导演还有许多方面需要学习。只是因为去年那个新闻，王宝强首次执导的这个电影获得如此空前的火热与关注，其实超过了它所应该有的。影片票房很可能不低，但长远来看对王宝强是好事还是坏事呢？   整个故事借鉴西游记的结构与人物，不过这个并没有看出对故事或者主题有任何帮助。当然，影片也看不出有什么主题。这倒没什么，毕竟这些没有版权。但结尾很奇怪的对六小龄童的致敬，却让人内心觉得不大合适。主要是他本人在片中只是饰演一个苦行僧，突然间变身孙悟空，从电影故事突然跳出到现实，但又保持了故事中的人物关系，最后还拉着武空往山上飞，真有点分分钟出戏的感觉。   木鱼的完全主观评分   让人尴尬的超过本身应有的浮夸的人物行为		4  过于疲劳的运动与视觉体验				        3  影片的审美有点超过下限					4  主题不明，片尾对六小龄童的致敬非常奇怪	        4    总评：3.7  别看了？   虽然影片相当一般，但看着王宝强那么卖力地演出努力地搞笑，和信息量丰富但却取得反效果的镜头，内心却有一种复杂的感情。我的感觉是王宝强是一个认真的人，只是有时，结果并不是因为态度问题，而是因为能力问题。如果王宝强导演能够更多学习相关知识，从头开始，以这种努力做下去的话，可能会有所进步。只是需要提高的地方，镜头，剧本，审美等等……确实很多，而在这过程中一直保持初心就更不容易了。,144.0,12.0,10
7,7,26389696,大闹天竺,5edd6b8512fa228f65e9ea769bb86b07,58de9c7853f25cee08064da9f0cc40c3,1.0,2017-01-29 02:58:29,大半夜恶心的睡不着觉得有公德心的我一定要给你们一点劝解，不管你身边的人对于宝宝王有怎样的迷思，请管住自己的腿，千万不要去看大！闹！天！竺！ 我原以为什么富春山居图、封神传奇什么的已经是烂片的极限了，看完天竺我真的要九十度鞠躬对以上两位导演以及演员说声对不起，原来还有比你们更烂的。本片从开始到结尾演技最佳可能就是片头的小猴和结尾的六小龄童，从人物到剧情，硬套西游，笑点真的好无趣，low到炸，整部电影总结一下就是个玄幻搞笑武打类的寻亲节目，最后的硬转折加上硬是致敬美猴王也让人好像喉咙里塞了一只臭袜子一样恶心，实在不是我毒舌我黑宝宝王，看这电影耗费了我的耐心就像看了几千张刘宝宝的芭比天团系列一样多，而且是一个半小时连续不断播，真的看完你就想把眼睛抠出来拿王水洗一遍啊……再这么下去中国电影真是迟早要完！以上都是我大半夜睡不着一个字一个字码的，愿大家引以为戒！,406.0,51.0,67
8,8,26389696,大闹天竺,6e30b13f8f4d15c8b7a936144ab054c2,0f1ff34a6cbcca78288a3bc39c354115,1.0,2017-01-28 22:25:12,刚看完《大闹天竺》，感觉这部电影完全可以入围2017年十大烂片之一（除非发生意外，还有比这个更烂的十部电影）。  其实《大闹天竺》完全用不着4个主演，只要王宝强和白客两个人演就够了（完全照搬《人在囧途》和《泰囧》；柳岩、岳云鹏、陈佩斯、朱时茂、六小龄童这几个人都是可以不出现的酱油角色。尤其是柳岩和岳云鹏，你们俩跟剧情的主线有一毛钱关系吗？忘了，这部电影没有剧情。  至于特效和武打我就不吐槽了，必竟这不是玄幻片也不是武打片，可是电影的情节完全连不上；看得我一脸懵逼，王宝强怎么就被黑衣人踢到了水里，还捡到一根金箍棒的？这才是最大的硬伤！  电影最后的彩蛋，硬生生地把六小龄童拉进来，是本片最大的败笔，今年是鸡啊！又不是猴年！,93.0,13.0,24
9,9,26389696,大闹天竺,3e2ea88ac65a0fbdc0631b52d0c724f4,7aab352356c8979f169f93d871692765,1.0,2017-01-28 21:36:06,其实今天刷完《大闹天竺》，   时光的内心是崩溃的。   很早以前时光就表示过一种观点：写书的唱歌的甚至演戏的，不要尝试去做导演，这是对中国电影的不尊重。   不过，依然有那些猛士，前仆后继，勇往直前，想在导演的世界里捞一杯羹。   于是，中国式烂片开始充斥电影市场，包括今天要说的这部《大闹天竺》。   喜欢王宝强，是从《士兵突击》开始的。   但是，从《大闹天竺》始，可能不会在喜欢这个原本单纯的农村男孩。   因为这部电影，差点就颠覆了时光的三观——   原来电影TM可以这么拍！   其实时光不想用一篇推送的篇幅来说这部电影，   因为——有那么点不值。   但是，鉴于春节档好片实在不多，时光还是来跟大家好好说一说这部——大闹天竺   总体来说，这部王宝强的处女座，承载了太多东西。   自从王宝强婚变，媒体炒作，名人站队，外加打官司，整个娱乐圈都沸沸扬扬。   这部电影，既是王宝强自导自演的第一部电影，又是他走出阴霾将心思集中到事业上的一个标志。   时光敢说，不少影迷是带着同情和支持，去看电影的，   电影本身占据的因素，可能并不多。   但，怎么说呢——   时光看来，这是一部集合了现代古装奇幻历史动作冒险爱情歌舞动画等所有元素于一体的，模仿公路电影和印度电影的“王宝强式”电影。   为什么呢？   电影涉猎的影视元素太过混杂，路子过于宽泛，手法过于多样，形式过于繁杂。   这样的“集大成者”，时光也不知道这是一部怎样的电影。   而刚刚上映一天，豆瓣急转直下3.8分也告诉我们，多数影迷的看法没有和时光相左。   在作品风格上，这部电影更加像是四位主演在印度的一次玩闹，   而残酷的事实是，人家在荧幕上玩嗨了，我们在影院里却如坐针毡。   来看作品。   《大闹天竺》并不是严格意义上的公路电影，也不是动作电影，如果一定要归门别类，可能只能算到喜剧的范畴中。   故事的情节设置简单到爆，就像一个孩子做的一个梦。   主题故事和《泰囧》没什么不同，   一个是一纸油霸合同书牵扯出的中年男人的心路琐事，   一个是一纸遗嘱引发的大闹印度惊动佛祖的奇幻历险。   唯一不同的是，前者算是一部电影，可后者……   影片讲述了富家子弟唐森（白客 饰）父亲盒饭，为了合法继承公司，在父亲陈佩斯的指引下，领着钉子户耍猴人武空（王宝强 饰）前往印度求取真经，哦不，追寻遗嘱的故事。   不论是从演员的名字——   唐森（唐僧），武空（悟空），朱天鹏（猪天蓬），吴静（悟净）   还是从剧情中的酱油——   耍猴人的身份，印度牛魔王等等……   都可以看出，王宝强对《西游记》的强烈的向往，或者就像片尾飞出的六小龄童一样——强烈的致敬。   甚至于，王宝强不惜牺牲故事的合理性和完整性，愣是硬生生把西游记的片段和美猴王的造型，强奸式得插入到故事结尾。   从故事叙事上来说，《大闹天竺》，嗯，怎么说呢——根本就没有叙事。   影片一开场，白客驾驶着飞行器驱赶王宝强，被打得只剩内裤，就雷到了时光。   《蜘蛛侠》中的绿魔，瞬间哭晕在厕所。   然后强行插入了孙悟空打到南天门，大战二货郎神和王祖蓝内裤版哪吒，最后被佛祖压在五行山下。   一来一回，时光感觉到智商受到了深深的蔑视和侮辱。   因为下午场，影院观众太多，不然真有起身离开的冲动。   紧接着，因为赔钱问题，白客胁迫王宝强保护自己，前往印度，可是黄渤饰演的反派，却派出两个走在人群中像灯泡一样的杀马特杀手，尾随追杀。   然后，一群人莫名其妙来到一个妓院一样的染坊，为了抓住他们，各国姑娘拿着刀剑长矛，一通乱打。   最后终于迎来了决斗，Boss是一个脸上没有褶子腿脚不利索但功夫极高的老头子。   王宝强被击落水中，不知道从哪TM抽出一根金箍棒，瞬间KO了BOSS。   然后就是感人至深的兄弟情感——原来白客和王宝强是失散多年的兄弟。   最后，二人在花果山见到了美猴王……   实在说不下去了。   没有什么科班经历的王宝强，单单凭借自己的演出经历，过了一把做导演的瘾，可把自己活活做成了反面教材。   古装也罢，奇幻也罢，功夫也罢，冒险也罢，   即便这些都能忍，但是动不动就出现的印度电影常见的集体歌舞，是怎么一回事？我的天   难道在印度拍电影就必须有带歌舞表演吗？   而且，可以看出，王宝强很有欲望扮演一回孙悟空。因为在电影中，他的角色设定，从头到尾，就是孙悟空。   时光根本无法从专业的角度去评论这部电影，甚至，在某种程度上，它都不能叫做一部电影。   就像一部100分钟的网络喜剧，没有人物角色的冲突设置，没有完整的故事架构，更没有内核和立意——   各种电影元素在小小的荧幕上纵横交织，杂乱无章。   任何时候的任何场景，都有可能插入进来其他的元素，就像凭空而来。   比如四人走不动了，突然就出现了一匹白马，再比如王宝强眼看要挂，突然就拔出一根棍子……   也许本片最大的意义，也就是能让不明真相的观众哈哈哈一会，仅此而已。   然而，不同于舞台剧和小品的是，如果电影的意义只在于哈哈哈，那么电影这种艺术表现形式，还有没有存在必要？   四位演员，王宝强依旧卖力，卖力得打，卖力得跑，卖力得上蹿下跳，就是只“窜天猴”。   白客依旧干起自己的老本行，怪异的表情和僵硬的神态，夸张的表演完全没有脱掉网剧的影子。   柳岩依旧胸大，依旧妩媚。小岳岳依旧耍贱，依旧卖萌。   这对cp从《全世界》闹到了《天竺》，说不定还要闹下去。   可四个人组合在一起，却变成了天竺取经的师徒四人——好尴尬。   虽然影片没有一点正常商业电影该有的优点，但并不表明，它没有任何可取之处。   作为导演，王宝强真的不称职，但是作为演员，他很有两把刷子。   这一点毋庸置疑。   而且，影片中的梗和招笑方式，确实有创新之处。   比如在影院，有两个镜头所有人都笑了——   第一个，是白客眉毛被撕掉。   第二个，是两个人骑自行车栽倒在仙人掌丛中，互相拔刺。   但是，努力了并不能成为我们拍出一部又一部烂片的借口。   如果不专业，请让开，让专业的来。    欢迎关注给你一个看片理由的公众号：时光电影铺子（sgtjmovie）,134.0,13.0,22
