,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26577180,叛狱无间,8b28e4a1810105e9dd2c9bb578497094,b153413eab00eea22716dcec85e20b4a,4.0,2017-04-26 21:03:42,"▶引子：前面的碎碎念（可直接略过进入第一节）  我总是对电影剧本偏科式敏感——这几年，个人向觉得剧本精彩的韩影不少，但像《监狱》这样，让我观影半途开始惊觉、进而惊诧的，则属罕见了。  就连之前大赞的《哭声》、《我们》，都没有让我在脑海里冒出「惊奇」二字。  既...

                         ( 展开 )",30.0,5.0,9
1,1,26577180,叛狱无间,b45d3f3b9e46b6aa27f58de865c98381,5922446bf1ee1b9c108a7cf1cfe38b7c,3.0,2019-08-19 22:57:05,"结尾不解气。我要是导演当如此设计： 主角跟老大在瞭望塔搏斗中，主角奄奄一息，而后抓住机会反擒老大。随后一句：中国古话擒贼先擒王，你只是学了一半，另一半是诛人诛心！ 遂主角拿着撬棍逼老大超塔下所有人下跪，老大当然不肯还牛逼哄哄想唬住主角（惯用伎俩），主角微微一...

                         ( 展开 )",5.0,2.0,2
2,2,26577180,叛狱无间,362d95a4aaf2a64610f37d29c38c1666,34d8ec77e37e455a5e16e87127e2fad8,3.0,2020-03-04 22:21:41,"只能说这部黑暗通天版的“监狱风云”把狱霸的力量意淫的过度了，想像力超出了边际！ 如果说在电影前半部，狱霸郑益浩的的电影定位还是十分清楚的，靠着自己的势力与监狱长勾结，不仅帮他维护监狱内部秩序，而且还狼狈为奸一起赚代为杀手的钱，二人在监狱中也是各自为政，相安无...

                         ( 展开 )",3.0,,0
3,3,26577180,叛狱无间,f863763afb66055d59ef15ab826a2587,eff28cfebd34fac256a3b4c8b6ae53f7,3.0,2020-12-17 22:44:47,"跑完步吃了一嘴灰回来 诱发鼻炎导致眼睛也挺涩的 看着下载清单只想挑一部轻松些的片子 整部戏最吸引我的大概是主角小蓝成为小黄心腹时一齐从8号楼出来的场面 很喜欢这种凶狠又带着些许酷劲的镜头画面，如上帝之城中小霸王团伙和警察街头对峙、豪勇七蛟龙初到Rose Creek时的场景...

                         ( 展开 )",,,0
4,4,26577180,叛狱无间,aaaed8eae15039222777efe1eabcc5e3,a510e10917512e92dda7127c1e5462ef,,2020-05-12 22:34:10,"主角光环太重，显得不合理！看不出没有多少深刻友谊的人，居然冒险去把主角救下来？身为老大居然还要亲自上去单挑？主角和老大的对白失败，根本体现不出你们有多深刻的感情，身为冷血无情的老大抓了主角就是不弄死！一切的一切感觉都是为了剧情设定这样，有点不怎么靠谱，让人...

                         ( 展开 )",,,1
5,5,26577180,叛狱无间,05f9f72e65053cffd1bcf6283d7be4ad,ef8286449ef43ee0e0b6d1427b8c2561,5.0,2019-11-20 01:48:52,"刚看完电影《判狱无间》 大体上不能说这是一部佳作，但也不能说这是一部不好的作品。 剧情很老套，音乐很加成，演员很加成。曾经觉得韩石奎就是《八月照相馆》中的宋正元。但他可以为了犯人的角色，学习一颦一笑，甚至细节到步幅的大小与频率。 韩国片有很浓的老港片色彩，甚至...

                         ( 展开 )",1.0,,0
6,6,26577180,叛狱无间,9bcb140d7820729f19603a9bfae6a348,9cb073d5208162d71991a6077288e01e,5.0,2018-08-06 11:51:20,"有人说，它是《监狱风云》+《无间道》的壳，古惑仔的内核。 有人说，它是韩剧《被告人》的番外篇，韩影史上为数不多的监狱题材动作片。 影片《叛狱无间》由韩国两大演技派男神金来沅和韩石圭联袂主演。韩国欧巴“笑容王子”金来沅，也玩了一把美剧《越狱》式的卧底。 孤胆生猛...

                         ( 展开 )",,,0
7,7,26577180,叛狱无间,9ef586dcbd2f9e654f03a4dd2d2cfe75,6f0c7bb3e030b0ffa1f95ce16ec5f9cb,3.0,2017-08-21 14:34:42,"节奏把握很好，就像我一直说的，拍得像极90年代的香港警匪片一样精彩。 属于可看的范围，但不能细看。这样的犯罪，有些情节较真起来，真让人害羞。 最后也是干掉BOSS结束，何不任由其被杀死呢，就算不杀他，也何必舍身去救呢。 而干掉BOSS那场戏，也让我吐槽，主角把枪丢掉，就...

                         ( 展开 )",,,0
8,8,26577180,叛狱无间,8308a3501b5112ee4203dcd3c45cf757,b6f6fc86cfaee00ce7e3981360e1b457,3.0,2017-05-20 22:03:29,"这篇影评可能有剧透 

                        电影《判狱无间》（也叫做《监狱》）感觉最近看了好多监狱题材的电影，警察卧底到监狱，这个不稀奇，不过监狱内的犯人可以出来作案，再大摇大摆回去，这个看点我是第一次看到。    真实的监狱是什么样我是没见过，不过通过电影书籍的介绍，也不可能不知道一二，只有更黑暗没有...

                         ( 展开 )",1.0,2.0,0
9,9,26577180,叛狱无间,873a318567ddb366c774f8fe5e15973c,64f02c510c4ecfe731f5b282d8860e68,3.0,2017-05-16 07:56:29,"電影以一名因記者哥哥被殺，為了查出兇案真相的警察，不惜深入虎穴，以犯人身份進入監獄臥底，一探外人難以想像的監獄暗黑風雲，故事發展一一點出讓人聞風喪膽的黑道老大，如何以金錢收買勾結白道，進而不斷擴張勢力，玩弄典獄長、獄卒於股掌之間的驚人黑幕。 片中多場讓人看得...

                         ( 展开 )",,1.0,0
