,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26634179,刀剑神域：序列之争,5ed8636f2a9e6843a3be8bae127c9532,3e905b1e5a1c2d49087045737690bdfc,3.0,2017-09-16 13:04:05,熟悉的配方。 一个想搞事情的人又又又盗用了茅场的SAO的体系弄了个看起来不一样的游戏，设计让亚丝娜强行受伤/下线，桐人为了救她开了挂，感情超越了系统的力量，一般茅场也会给男主帮助，打败SAO体系相关的boss，救了人，小甜蜜一下，结束。 有没有很眼熟！满眼的既视感！都是套路啊！ 看得时候充满了回忆，但终究不是那个中二的少年了，有的时候有点尴尬。 反派真的很蠢啊，不懂得复制记忆吗？一定要剪切？或者跟大众申请做调研，稳妥的提取记忆，一定要搞事情？我懂我懂，为了推动剧情。,74.0,22.0,29
1,1,26634179,刀剑神域：序列之争,d51e12f6defff502d791b5473b98f750,f4184c15af0c9fb90179253b66589239,5.0,2017-03-26 23:01:54,这剧场版中桐亚给我感动的点：  1. 亚丝娜在慢慢失去记忆时写下的日记中对于桐人无限的爱意；  2. 亚丝娜在终于连桐人在sao中的面目都记不清的时候那种绝望的表情；  3. 桐人在亚丝娜晕过去的时候那种愤怒的表情；  4. 桐人看到亚丝娜日记内容，感受着那种冲击心灵的爱意时所表现出来的对自己的自责；  5. 亚丝娜知道桐人看自己日记时的那种坦然；  6. 桐人终于强攻了一次亚丝娜之后对亚丝娜的道歉和自责；  7. 亚丝娜“喜欢”的告白后，桐人的“爱”的告白；  8. 桐人坚定地让亚丝娜相信自己一定会让亚丝娜恢复原状的决心；  9. 当游戏不再只是游戏，桐人为了亚丝娜，不眠不休地在AR中单刷怪提升着自己的排名，仿佛回到了sao中的独行者；  10. 桐人在进入100层前，放到亚丝娜手中的戒指；  11. 得知桐人为了自己，为了所有人在sao中战斗，克服恐惧，坚定与桐人同去的亚丝娜；  12. 最终的boss战。。。这段真是让我感动得无法形容。实在是太太太太太棒了。包括旧sao的一切，alo，ggo的一切，11连击创造者的她和，二刀流；  13. 流星下的约定终于实现。现实中，桐人把戒指套在了亚丝娜的左手无名指上，并且答应见父母。  14. 流星下拉长的镜头下，桐亚两人交融在一起的身影。  15. RATH!!!,269.0,14.0,17
2,2,26634179,刀剑神域：序列之争,3ee9691eebbcce431eb44cb4218f5638,091164b80b245631255b3896ebf303e4,1.0,2017-09-18 19:28:18,故事情节怎么样，我这里先不评价，反正我是看了一半就尿遁而走，没看完完整剧情，所以不在这一点上多BB，就来简单谈一谈它的设定问题。   AR，增强现实，可以进行BOSS战游戏。   这个设定，是我看整片时，见到的最违和的BUG——在战斗中，我们经常可以看到这样一个画面：巨大的BOSS爪子一挥，将几个持盾或贩剑的玩家击退，有的干脆打飞到天上去，还有玩家挥剑一斩，砍在BOSS身上……这一切所有跟物理引擎有关的东西，AR究竟是怎么完成的？   如果你带着AR眼睛，正在BOSS战，BOSS手一挥，你被打飞了，那么我想知道的是，你是怎么飞的？还有，你拿着剑，朝着虚拟的BOSS砍下去，当你砍中时，剑停顿在半空，它是被什么东西阻挡住的？   以上的这些先不算，那个天梯第二的老哥更是让我浑身尴尬，每次出现都在二楼就算了，你丫还不走楼梯，每次都用跳的，好几米高啊……你也不怕摔骨折，这样的身体素质跑到这儿来沉迷游戏，去奥运会拿几块金牌不好吗？   总之，剧情设定太违和，编剧在这方面一点都不走心，开头也没有什么爆点，桐人用废柴流就算了还全程没存在感，本子娜失忆那里更是让我菊花隐隐作痛，一股NTR的既视感扑面而来，联想到那段爆衣被舔的经历，直接吓得我仓皇而逃……   不说了，我去看点本子冷静一下。,15.0,16.0,4
3,3,26634179,刀剑神域：序列之争,06e772494381736e15ddfd36b13711d4,b430b636f9eed82fec88050c1c3eebd9,5.0,2017-09-18 04:15:42,我是一个中途路过进坑的刀剑迷，在最彷徨的那几年，偶然的一次贴吧回帖，看到对方的签名图，问了一句那是什么动画，对方说刀剑神域。那张图就是桐人在追查安全区死亡事件时的一张小小截图罢了，却正因为好奇心或者说缘分的驱使，让我变成了一个彻头彻尾的刀剑迷。   那时候看SAO的时候，25集TV已经结束了一段时间，彼时我还是时差党，多年下载党的我选择了囤片细看，因为那时候B站的版权被买断，国外被墙，我还不太会用Chrome插件破墙，但最主要的原因是习惯了这么些年的字幕组，感觉看上去放心，还有一点就是，在B站看片看久了会失去一个人安静看片安静分析思考的环境。   从第一集变一发不可收拾地连着三天看完了全部TV版。   可以说是热泪盈眶看完。   很多观众或者粉丝，在对TV版的上下两部分很不满意，但如果很认真的不看任何人的评论或者弹幕，就静静看下来，其实能够理解监督这样设置剧情线的目的。没有一周一集的等待和讨论，我觉得我是幸运的，得以在最饱满的情绪下完整体验了一把SAO的故事。   SAO是轻小说改编的，川原砾同世界观下还有一部加速世界，在SAO之前推出，我对于男主画风接受无能第一集就弃了，而因为SAO的原因，我重新去把番给补了回来。   很多人说这就是起点文的日化版罢了，男主龙傲天，开挂收后宫。   其实有时候一言以蔽之可以迅速引起一个人的注意，也可以很快否定一个作品的真正内涵。   SAO的成功之处绝对不止在于爽点，而是它对于VR概念的极大推广，还有对于男女主间爱情的纯粹坚持。   它其实讨论了很多的点，如果你认真细细地去品味，你会发现无数个小小的细节都能成为感动的点。   男女主其实都是普通人，桐人是个对计算机技术有极大爱好的学生，亚丝娜是个富人家里的乖乖女，即便有着经济基础上的差别，但这并不能真正意义影响到SAO的故事发展，只是辅助性的人设罢了。   桐人和亚丝娜这对CP，就像交响情人梦里的千秋和野田妹一样，遇见对方后成为更好的自己。   记得TV版中，桐人被公会成员恶意陷害性命危机之时，亚丝娜出现解救了他。之后两人的亲吻拥抱，我头一回看觉得感情铺垫不够，明明很有距离感的二人为什么就忽然感情迸发了呢。   后来我才明白，这就是SAO对于感情线设置的态度，和日常恋爱番不同，桐人和亚丝娜都是克制自己的类型，他们不给别人添麻烦，总是为他人着想，在SAO这种残酷的环境下对一个人完全地剖开心扉太难。正是因为这样的性格，含蓄成熟的感情发展便更适合这对CP。   经历了ALO的生死别离，GGO的适应现实之后，桐人亚丝娜的感情线仅仅是撒狗粮就够了么？剧场版在这里给出了比我想像之外更好的答案。   ————————————此为铺垫分界线—————————————————————————     剧场版是今年2月份日本首映的，根据以往的经验，一般6个月后才会有BD资源，出乎我意料之外的是，大陆居然引进了这部片子，在我脱宅了两年之后，SAO以一个很偶然的机会重新回到了我的生活。   SAO对于很多人来说可能只是一个热血后宫番，对我而言意义深远。TV版N周目，周边从PSV游戏到BD到其他各类资源几乎是出一个收一个。这样狂热，仅仅因为那里有太多和我共鸣的东西。   剧场版的设定有歌姬有AR，有过去所有出现过的人物，还有长大了的桐人亚丝娜。又是一次社会性事件，可以说SAO之后的每一个事件都是SAO本身事件的遗留问题。   在本次剧场版中，SAO幸存者对于SAO事件本身的不同处理态度，其实从侧面反映出了很多人性的讨论。   其一，对于桐人亚丝娜而言，离开了SAO的游戏回忆，他们的感情究竟算什么？   桐亚的感情用如今的话就是游戏情侣奔现，这其实算是一个不算小众的现象了，成为现实恋人，和游戏里不一样，而在回忆被夺走的时候，克莱因说，既然回忆那么痛苦，忘了就忘了吧。但对于经历了那样多磨难的桐亚而言，他们都是不愿意屈从这样安排的。内心的那股力量让桐人和亚丝娜不仅仅因为游戏这个媒介而去否定真实存在的感情，真的去拼命，为了对方而努力，在桐人看到日记本的那些话的时候，其实我也哭了，两个人对于感情的那份执着坚定，让人忘记他们其实只是17 18岁的年轻学生，这样的坦然面对，很多所谓的大人们其实都未必能做到。   其二，对于充满痛苦的回忆，你选择忘记还是铭记？   看到重村教授和艾基对于过去回忆的态度，我忽然联想到了日本对于本国历史的态度。那些主张掩盖的人们，就像片中的对立面一样，选择否认和忘记，似乎这样就能解决掉所有的事情。   但这只是个人的想法罢了，对于回忆，每个人都有自己的权利去对待这份记忆，而因为一个人的原因去否认所有人对于这个事件的回忆，是极度自私，不可理喻的。如同亚丝娜而言，这段回忆，尽管痛苦的时候比较多，但是正是由于那些痛苦，才让他们成长为现在的自己，否认自己的过去，便是否认你自己啊。   一味去遗忘并不能解决什么，反而只能将执念埋藏的更深，直至溃烂。    其三，VR和AR之争，究竟现实和虚拟，哪一个更重要？抑或应该混为一谈？   其实这是一个很大的命题。VR的完全潜行让人在虚拟中能够从容生活数年，但即使如此，还是要面对离开机器之后回到现实。而AR直接在现实中创造出虚拟的事物，从而对现实进行影响。   还记得SAO中，桐人对于那些杀人公会说过的话，这不仅仅是一个游戏，当你身在其中时过度放任自己，便会影响到真实的自己。对于越是对现实还原度高的游戏而言，玩家越是有那么一部分人在虚拟中无限放大自己的某一处特点，直至无法控制。   我的主张是，虚拟是虚拟，现实是现实，无论未来虚拟是否真的会等同于现实或者处于相同地位，你，依旧是那个你，而你选择做人并不应该因为现实或虚拟的媒介不同而有所变化。   在桐人看到亚丝娜那样的煎熬之后，决心拼命去清掉boss，有人说这就是个游戏，你至于这么认真么？真正把游戏玩魔怔的人是艾基这种无法释怀的人，而桐人无论是现实还是游戏，只要是为了所在乎的人，拼命是必然的。    再来谈谈歌姬yuna，在SAO ALO GGO种种事件背后，我们知道搞了半天还是茅场大boss这师徒四人搞出来的一系列事件，茅场年轻有为，老师不遑多让，两个学弟都是瞎折腾的类型。yuna的出现就像一股清流一样，虽然设定有些金手指，和结衣一样神开挂，在歌姬部分表现亮眼，歌甜人美三观正，对于上一个看过有歌姬主打的魔禁剧场版来说，虽然没有那么抢眼，但也足够有份量了。   结尾对于SAO事件第二本的补充，是人性的进步。并不是只有那些亮眼的英雄值得被记住，那些在SAO事件中同样是受害者的人们，他们都应该被记住，被提到，不被忘却。有时候，人其实就是挣一份存在感，对于悠娜的执着和对于默默无闻过去的自己无法释怀，正是艾基改变的原因。   最后的最后，我一直等到了片尾曲结束，果然有彩蛋，不过没有看完小说的我并不知道这个政府的秘密项目是什么，不知道跟加速世界有没有关系呢？   SAO会再度归来，看到这个结尾，我已经非常非常满足了。   在有生之年遇见你，真的太好了。,40.0,4.0,6
4,4,26634179,刀剑神域：序列之争,d155bb835f32720c277b19756def4518,5159112977900715068628ef1acf9a56,4.0,2017-09-11 12:27:42,"9.10 一刷点映感想（没接触刀剑神域的路人观众看这部分） 本来应该是9.9的点映场，结果因为事故临时改到了9.10。但是不仅免费看了蜘蛛侠，主办方刀剑神域官微也给我们现场发放了礼物：海报文件夹、卡纸和特典小说。挺良心。 特典卡纸 小说译者还是以前御三家字幕组的大佬。引进方是次元矩阵，上次Falcom音乐会也是他们操办，个人印象不错。 文件夹和特典小说 《刀剑神域：序列之争》剧场版本身是标准的商业爽片。很简单，看桐人一边和亚丝娜全程放闪光弹，一边和后宫团秀操作，一起通过AR设备玩MMORPG网游打BOSS，顺便打倒幕后黑手。 玩过《魔兽世界》、《最终幻想11、14》等等MMORPG网游的、或者其他打BOSS的ARPG游戏的玩家，看动画的战斗会比较亲切。本次剧场版画面和音效可以媲美好莱坞爆米花片，打BOSS的战斗场景魄力十足，在电影院非常享受。 这让我见识到，有Aniplex砸钱做靠山，认真全开的A-1 pictures做的动画效果是多么出色。在战斗场面上这两年能与之相比的，我看过的只有《火影忍者：博人传》剧场版了，而基于此次借鉴的是增强现实AR，结合了现代场景，华丽程度上《序列之争》又更胜过一筹。 而与画面特效相比，梶浦由记团队的背景音乐则感觉有点量产套路。不过也有一些其他好玩的地方：比如每次战斗开始前偶像尤娜跑出来说“战斗准备，开始放音乐！”然后BGM响起，还真有点下副本打关卡BOSS的味道，也是一个比较取巧的插入BGM方式；再比如AR头盔的UI界面，紧跟微软HoloLens潮流；再比如各种隐形广告，索尼大法、戴尔显示器啊等等。我已经看见豆瓣短评里不少人请求开发AR美少女了？哈哈。 人物方面，喜欢桐人和亚丝娜这对的可以被甜到腻死，反正我一个路人是快被所谓他们“互相拯救”的狗粮撑死了，日方当时甚至打出了“约会电影”的口号。只羡慕他们都是土豪家庭，桐人用的是三屏显示器，亚丝娜家就是海景房小别墅。这次剧场版的人设设计，比起之前的TV版，也更加时髦和成熟一点，上色很舒服。 其他后宫团成员也是安定的秀操作打配合。其实我最喜欢的是桐人的妹妹小直/莉法，可惜在这部剧场版里是酱油。倒是反派和最近看的《蜘蛛侠：返校季》电影一样，也是有关一个父亲为了女儿的故事，比较心疼。 总之作为一个在电影院上映的动画爽片，《刀剑神域：序列之争》肯定是值得去电影院看的，制作质量很优秀，包打得过瘾，路人观众不需要补习前作，就可以去看个爽。而闪光弹、高清大屏的亚总和致敬TV本篇的内容也能让粉丝心满意足。（比如亚斯娜使用圣母咏叹那招，一闪而过的优纪画面，看过绝剑篇的很泪目） 但比起之前引进过的火影剧场版，或者同期的《声之形》，刀剑神域剧场版也带有自身的深夜动画和轻小说属性（福利），也许是第一个在大陆上映的深夜档动画剧场版？就这个角度来说本作有里程碑的意义，希望不要有家长以为是个动画就是给三岁小孩看的那种吧。 最后的彩蛋有预告，有兴趣可以等ED留意一下~（ED本身，也有桐人和亚丝娜见家长的画面） ====== 优纪 9.19 二刷感想与SAO杂谈（没接触刀剑神域的路人观众不必看这部分） 这一周业余时间全神贯注在看刀剑神域TV动画。补完后今天二刷了剧场版。认真看过TV后，再看剧场版熟悉的人上镜，滋味又有不同。 片中有个环节，采访在AR游戏热潮下，那些留守VR游戏的老玩家们。这些人物都是TV中的配角，一方面感到亲切，一方面也颇有种“我还在辛苦组织魔兽工会，你们都跑去全民吃鸡”的即视感。
亚丝娜最后使用出了圣母圣咏的招数，出现了优纪帮助她的身影。第一次看剧场版的时候我不知道她是谁，只觉得啊两个女孩子的身姿在一起，真不错；现在看过了绝剑篇的剧情，心情就是十分感动。 没有看小说，SAO动画让我有兴趣的点，是基于网游+VR题材的“虚拟”体验，所调动的玩家亲切感。第二季的圣剑篇，完全就是魔兽世界的奥杜尔+冬拥湖宝库。也充分满足了一种幻想和憧憬。同时，也有对玩家的启迪。 比如游戏人生对现实自我的影响，游戏中真的就可以随便放纵恶习吗？有看法说游戏和生活是分开的，但是在游戏中放纵自己的阴暗面作恶的时候，真的对现实中的人格没有丝毫影响吗？至少说明“打游戏看人品”有一定道理；
再比如剧场版路人对桐人说了一句“打游戏这么认真干嘛？”让我想起绝剑篇亚丝娜母亲说“我看不出VR世界有什么价值”，而当时桐人和亚丝娜都有自己在意的理由，这都可以提醒我们，如果不是当事人，旁观者不可能有切身的体会，可能想法并不正确。 又想到，玩家玩游戏的动机，类似于男主妹妹小直这样，想知道他哥喜欢的世界是什么样的，对另一种生活的体验，以及更多的，找自己的存在感。这里说找存在感并不是贬义，往大了也可以说是寻找自我。
 桐人现实中缺少有话题的朋友，没法肯定自己，也对增强现实AR缺乏兴趣，只有在VR世界才能成为“黑衣剑士”收获快乐，有在意的对象和努力拼搏的目标，这有什么不好；
亚丝娜现实中只能当被安排一切的乖乖女，在VR游戏中才能做自己的选择，不管是闪光的亚丝娜还是支援他人的狂暴补师（又或者是一名人妻，划掉），都是寄托了她自己感情的活法；
优纪，她让我想起以前玩魔兽世界的WLK版本时，做过的诺森德一名被感染的银色十字军士兵的任务。他们是很不幸的，谁都救不了他们，但同时远比我们凡人更加充满光明，我既心疼又充满敬意，也告诉我们更应该珍惜自己的生命；
再比如这次剧场版的尤娜，之前TV中主角配角大多数耀眼的英雄人物，而尤娜只是一名和幸一样被牵连的受害者，默默无闻的普通人，就不值得被记住吗？很多人看完刀剑神域后，可能不大记得幸与桐人最初的工会了，而尤娜这名普通人的存在，是再次对TV版很好的补充。正面死亡后，我们怎么在有限的生命中对待自己对待他人。 SAO是一个轻改爽片，有一个好框架并活用，但也不止于爽片，我能理解这个作品为什么会比较受欢迎。
 （——不过以上都是扯淡，
我喜欢SAO最根本的原因是我喜欢桐人的妹妹小直/莉法，喜欢兄妹组两人线上线下不同身份的日常，一个妹妹可以当两个老婆，哎这样的妹妹哪里找啊咳咳，当被剧透下一篇章UW篇没有已经败犬的小直/莉法什么事时，我就丧失了追书的动力了。这次剧场版小直/莉法也只是个酱油，伤心。dog脸）",26.0,3.0,13
5,5,26634179,刀剑神域：序列之争,ae19c6c4cecd080dbca07c998ea99c47,0d65db7b6cfc3128b15e7c478c5897b0,4.0,2017-03-19 12:35:40,难得美帝这么快就引进了一部动漫电影（去年那么轰动的你的名字竟然四月份才会在美国上映），所以虽然不是SAO的铁粉，还是决定去影院看一下。         相比在日本相当不错的票房成绩，美国这边反响就显得很一般了。上映的影院和场次都非常有限，开车一个小时去了附近稍大一点的城市才有。         入场大概迟了两分钟，本来以为基本不会有什么观众，结果很意外地发现中等面积的影院坐了将近一半，非常有趣，果然也不能低估美国宅。            接下来进入正题。         第一次在影院看动漫电影，总体来说对观影体验还是很满意的。高分辨率大屏幕传达的视觉效果不是电脑或电视屏幕能比的，战斗时的音效也很棒，非常有实感和压迫力，战斗场景和动作设计也比TV版要好很多，总的来说，画面很不错，但是没有什么特别突出的地方，我对画面细节比较挑剔，感觉背景和人物的细节还可以做的更好，比如有几个画面人物的线条有偷懒的嫌疑，谈不上崩，但是感觉可以做的更细致。不过这些问题都非常小，完全不会影响观影效果。         音乐继续由梶浦由记负责，高质量可以保证，比较令人遗憾的是SAO剧场版没有一个像TV版或其他梶浦由记负责配乐的动画那样有一个具有代表性的主旋律（比如Swordland）。不过几首战斗时的插曲都很棒，甚至让人不禁怀疑这次的歌姬设定其实就是为了方便卖碟。         故事和第一季关联度比较大，没看过TV版的话可能会有困惑不过影响不大。剧情本身不复杂，电影叙述直白，节奏和剧情推进也比较顺畅，没有什么让人觉得突兀的地方，虽然故事性不强，但SAO本身也不是靠令人惊叹的剧情吸引观众的。要说有什么不足的话，就是最终boss战有些马虎。          最后总结一下，SAO剧场版是一部没有让人觉得特别惊艳，但各方面都达到期待且在水准之上的作品（我个人对TV版没有特别的喜欢或讨厌）。如果你看过SAO的TV版并且觉得还不差，那么你也可以尝试一下剧场版。          顺便感叹一下，如果TV版剧情方面一开始也可以像剧场版这么做的话，大概会好很多，也不会有那么多争议了吧。          影片最后有彩蛋。小小地剧透一下，SAO will return,38.0,9.0,4
6,6,26634179,刀剑神域：序列之争,2aff240fbee521d1509bf493daa4c6d8,74880a68e4527f2bd7da901ad2c3ff76,4.0,2017-09-15 17:59:17,作为一个曾经的SAO粉，再一次看到SAO（《刀剑神域》），而且是在大荧幕上。还会激动吗？  我会毫不犹豫的说“是的”。  毕竟是自己的本命作之一，荣幸地成为了内地首部被引进的日本深夜档动画剧场版啊！  兴冲冲上映首日跑到影院去看。  但在此之后呢？  一个套着VR，AR之类外壳的关于游戏的动漫作品，仍然是熟悉的轻改的王道后宫套路。为自己拯救女儿或心爱之人的私心而残害SAO幸存者们的重村教授和艾吉，使得女主角亚丝娜在游戏中失掉了记忆。为了拯救亚丝娜、恢复其记忆的黑衣剑士桐人君再一次走上了战斗舞台，和众多过去的伙伴们一起挑战艾恩格朗特的100层最终boss(结果我们知道的，他又开挂了)。  剧情极端套路，而情怀也不总是能够弥补人们的失落感的——坦诚地说，连一秒钟的感动都给不了我。充其量，也只是熟悉的人物出现的那种激动的心情而已。  在看过一定数量的番剧和剧场版之后，过去激动人心的很多东西看起来就变得清淡甚至索然无味——现在的我大概更喜欢那种日常轻松的或者深度内涵的，如《男高》或者《攻壳》之类。  虽说如此，看到流畅的动作场面，听到激昂的BGM的时候，还是有一点兴奋（以A1社这种忽高忽低的制作水准而言，这部剧场版真的算是巅峰了）。这种感觉，或多或少，有点像对于一个熟悉的老朋友的调侃了吧？  这个开启我人生追番历史的本命作之一，恐怕永远无法从内心真正打动我了。毕竟我早已不再迷恋那种骑士拯救公主的肤浅的套路故事，更不喜欢王道的后宫故事了。  这倒不是和现实离得太远的缘故，人类需要有梦，世界的色彩才能丰富，不然何来的人类精神、文学艺术？弗洛伊德在《作家与白日梦》里都论证了作家的作品就像白日梦一样——问题是如果这个梦本身太过于单薄，毫无内涵的丰富性，一下便看清这梦的结构的话，那剩下的大概只是离去的背影和无声的祝福。  就像高中时代看的《青年文摘》一样，曾经热爱到每一个字都要反复阅读几遍，到最后也只能放置在角落，任时光给它铺上灰尘。  当然，我不是否定这部作品对于我生命的意义。不，它在我生命中留下了很重要的痕迹。它曾经给予了我热血和对爱情和生命的热爱，我永远不会忘记一个名叫桐人的年轻的黑衣剑士为了拯救心爱的少女“闪光”亚丝娜而在游戏中披荆斩棘的努力模样。  我只是想要去探索一个更大的世界。就像沈从文当年从湘西凤凰走向北京踏上新的人生一样，我只是向往更大的世界，更丰富别样的风景和人生。  过去喜欢的东西，是人生的过客。陪我们走了一程，就够了。  但最后的最后，当我看到“SAO will return”这个已经被剧透过的彩蛋的时候，我还是充满了幸福感，忍不住鼓起了掌——周围有不认识的小伙伴也会意地鼓起了掌。  我想，能不能再战500年真的不重要。重要的是，作为一个作品，它曾经在一群人生命中是否留下了难以遗忘的痕迹。  以上。,5.0,,1
7,7,26634179,刀剑神域：序列之争,b764f0e632249c6300d2ee0e200e71fc,4825fa6a73e2171783fabe48150f705c,4.0,2018-02-02 19:52:17,作为一个商业电影，这个剧场版可以说非常到位了。 在原作的加持之下，故事很完整，叙述张弛有度；前面憋闷的部分，几乎都在打BOSS的团战中找回了场子——弹幕里来看，甚至不乏被燃出了眼泪的；关于失忆的梗，如广大群众所期待的那般，某些戏份服务得虽然隐晦也足够满足大家的心理；甚至还有那个一看就是要卖歌的架势，大神一出手确实一下子就成功抓住了耳朵…… 而除此之外，这个故事里确实还抛出了几个有意思的点。 1 VR和AR 如今VR的热度越来越高，立足于VR这个话题来衍生的作品，说实话要站到个独一无二的视角挺难。 然而SAO从最初就做得很好。它开篇就立足于VR将思维剥离于现实世界并强行监禁在虚拟世界这种可能性的担忧。虽然后来占了一季的GGO篇与其说是SF，倒不如说更像架空在未来背景下的变格派或社会派推理作品，但到了绝剑篇终于又抛出了一个有关VR实用性的刁钻视角，还顺便夹带了一个巨大的催泪弹。 到了这次剧场版，甚至撇开了VR，开始讨论起了AR。 就像故事开篇的新闻节目里主持人说的，“把amuspher的VR和aguma的AR当成完全不同的两种东西来看比较好”。故事里的完全潜行VR，抑或是如今现实生活中能够实现的那种VR，始终是一种“剥离”；而这种AR却是“叠加”。随时随地可以查看地图、SNS交流、安排日程，甚至“用意健身和健康管理的用户也在增加”。比起带上设备然后挺尸一样躺着干不了别的事儿的完全潜行VR，基于现实世界并且拓展了现实世界的AR要更胜一筹。 故事里也一遍遍地再对比两者的不同。譬如在VR里开挂开上天的主角，可能拖着属于锻炼的肉体，而一度在AR里无法施展。也譬如在VR里死一百次也不过重头再来的资深打手，可能会倒在AR环境里并不致命的拳头之下。 可惜的是，铺开了这么大一个背景，像是要再次提出什么有意思的论点的时候，故事突然一下绕了回去。搞半天这个那么不一样的AR还是和原先的VR有相同的算法，虽然出于不一样的目的但总之新boss要搞的事情和老boss差不了多少。 整个故事在后半程还是回到了一个中规中矩的勇者开挂杀巨龙救公主的老套路上。原本被撩拨起来了的兴致空落落地浮在半空中，说不失望肯定是假的。 2 记忆之于自我 记忆在心理学研究中占了很大一个方向。在有些学派看来，所谓的“我”，其实就是一个记忆和经验的叠加体：是至今为止的记忆和经验，在影响当下“我”每一刻的选择。于是，如果技术可以做到编织记忆，那么克隆一个“我”便不是什么难事。 事实上，或许技术早就已经做到了——谁知道会不会半个小时以前根本就没有“我”，而如今所有记忆全都是刚刚被灌进大脑的呢。那么这个问题反过来说，如果挖掉了其中一部分记忆，“我”还是“我”吗？忘记了艾恩葛朗特中记忆的亚丝娜还是亚丝娜吗？ “所有人不是都想要忘记那段可怕的过去吗？”这句话触动了桐人，他说某种意义上来看，这句话可能是对的。可是亚丝娜说：“也许发生过很多可怕和悲伤的事，可是正是在SAO两年间的回忆是成就了如今的我们。” 她说的当然不仅仅是两个人的感情。 不过，这个商业向的作品显然并不准备摆开架势聊这个三天三夜也聊不完的问题，于是适时地飚了个儿童车，在满足大家心中那点毫不掩饰的期待的同时，把问题给点到即止了。 不过记忆的话题并没有到此为止。 重村教授搞那么多事情，掠夺了那么多SAO幸存者的记忆，原来是为了复活女儿Yuna。这里面有两个很有意思的点：（1）基于他人记忆来还原的人格，真的是那个人格本身吗？（2）就算创造出了一个无限逼近真是Yuna的Yuna，那个Yuna真的是Yuna吗？不过对于一个失去了唯一女儿的痛心父亲来说，这些问题可能都不是问题，能创造一个类似女儿的替代品，无论如何都是心理上的安慰。 作品同样不准备深入探讨这种会把燃向作品拖入哲学向沉闷作品的深渊，于是没让主角去和教授打嘴炮，而是用一场燃到爆炸的卖情怀BOSS战直接搅和了教授的梦。 对于剧场版来说，在有限的时间里需要讲一个完整的故事，自然不可能面面俱到。 如前文所说，观影途中我是一度有种被撩拨起来后又被放置不管的背叛感，但回过头来看，燃的部分跟着燃了，该被安利的歌被安利了，卖出情怀都收到了，还能意外被撩到那么一两个点，便已经是一个商业作品的良心体现了。,2.0,,0
8,8,26634179,刀剑神域：序列之争,32773f8920114723d09e4964ab44e861,0d63a245d28206b1d68b87804b59ed47,5.0,2017-09-18 09:10:12,看完刀剑一二季再来看序列之争，感觉很多，剧场版当中有许多对sao的回忆。当初结识这部动漫还是从游戏当中的一个主题礼包了解的。剧场版主线还是桐人和亚丝娜的爱情故事，桐人还是一如既往的执着地保护着其他人。最后的战斗场面看得振奋人心，以前幻想着自己要是也能进去这样的游戏，体验下英雄主义就好了。现在随着年龄的增大心态也渐渐变了，剩下的大概只有回忆了吧。刀剑会一直追下去，期待爱丽丝和亚丝娜的争风吃醋,4.0,,2
9,9,26634179,刀剑神域：序列之争,914ae230dcd1dfef2221cbd57a8ddaf5,3b87c97d15e8eb11e51aa25e9a5770e9,3.0,2017-09-22 11:11:50,"1、SAO再次告诉游戏玩家一个道理：围观群众＜娱乐玩家＜重肝玩家＜开挂玩家＜利用系统bug还开挂的玩家。

2、序列之争，ARGAME，能力以现实打架实力为基准，几乎抛弃MMO中最重要的数值和招式，这真的好玩吗？在这个游戏里磨练剑术和在现实里磨练区别在哪？完全模拟的游戏最大的乐趣不就是做现实中做不到的事情吗。

3、中二度爆炸！在路人眼里和智障无异。剧情里野外刷boss人并不多说明这游戏也没火到哪里去。参考宝可梦go，人多的话boss出来就被踩死也不是不可能。

4、boss的仇恨机制和玩家的输出到底怎么计算片子里也没说，从剧情看远程基本是废物，用剑才是王道。

5、打boss时感觉大多数人都在发呆or围观主角装逼。相比wow这种吃团队游戏更像是洛奇英雄传这类以自身操作为主小配合为辅的动作游戏。

6、除了可以在现实里装逼和吃免费的牛肉面之外看不出相比深度潜行的VR有何优势。

7、在VR，认为自己被杀就真的死了也好（不是指SAO事件），亲情友情也好，网恋结婚也好，把刷怪当真也好，爱上npc也好，你玩的有多么投入都没关系。但是AR，脱下眼镜就什么都不是，特别是电影里这种随时能脱下且玩的人也不算多的类型，我是接受不能。（请试想一个场景，你们组团打boss剧情打到一半，NPC牺牲  ，大家都被剧情感动的要死要活，主T接个电话眼镜一摘，说句对不起，然后像个路人一样从马路边上打个车离开…",9.0,,1
