,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26657439,爸爸是女儿,70bea5bc0e23416fe7d83ba2f986311f,037b511eb55dc86c9d5bc0066c952ab8,4.0,2018-02-28 16:59:47,"这篇影评可能有剧透 

                        来自韩国的电影《爸爸是女儿》改变自日本作家五十岚贵久所创作的小说《父女七日变》，本土化的改编做的不错。之所以切合的如此之好，在于东方的父亲们大多具备相同的特质：内敛、严肃、坚毅、吃苦耐劳却不善于表达情感，对子女的爱意大多埋藏在心里，所谓父爱如山，爱也像大山...

                         ( 展开 )",4.0,,1
1,1,26657439,爸爸是女儿,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,3.0,2017-05-12 19:36:33,"这个是改编自日本的电视剧《父女七日变》，电视剧没看过。  上次看的韩国翻拍日本版电影是《幸运钥匙》（《偷钥匙的人》），看完再看日版，觉得韩版比较好看。  片头树叶飘下，一下让人梦回《阿甘正传》。  灵魂交换的梗其实真很老旧了，男女互换也很常见，不过父女互相印象中...

                         ( 展开 )",6.0,1.0,9
2,2,26657439,爸爸是女儿,16bbb2e7c4bc5a1fc1f4e7c296349624,8137d13e55397cf10c386a365f4b44cd,,2020-10-13 11:46:53,"人生中并没有容易扮演的角色，每个人都有自己的负担和难言之隐，但千万不要让这份压力变成彼此的枷锁，就像电影里面的爸爸和女儿那样，非要到亲自体会了别人的人生之后，才知道自己对别人的藐视有多不应该。父亲体会到了学生生涯的竞争力那一段其实挺真实的，现今社会的门槛和...

                         ( 展开 )",,,0
3,3,26657439,爸爸是女儿,312f718ebdd5050a99d885fec1aa327d,3928b92c42f1760e47c047b006c0494e,3.0,2019-10-10 23:55:33,"这篇影评可能有剧透 

                        人与人之间的相处，大部分都源自同理心的缺少，说白了就是很少站在对方的角度思考问题，以自我为中心，过度放大了自己的委屈和不易。 今天推荐的影片《爸爸是女儿》上映于2017年，片长115分钟，豆瓣评分7.1。 这种看到开头就能够想到结尾的影片，要想抓住观众，只能以剧情取胜...

                         ( 展开 )",,,0
4,4,26657439,爸爸是女儿,e779290a22cfd769548459b0067499a5,9dd77371abf1fa1ae725db56bd3f1f71,,2019-08-23 23:55:47,"我是从女儿帮爸爸公司的男同事追女同事那里开始看的。 感动的点很奇怪，比如常年倒数第一的女同学再次考了倒数第一后悲伤大哭，爸爸跑去安慰说“你很努力了呀”，当时听到这句话的我心里却觉得“那岂不是更悲伤了，已经很努力很努力了，却依然得不到好的结果，所以一些事就是不...

                         ( 展开 )",2.0,,1
5,5,26657439,爸爸是女儿,f0f825ebf970bf97a0e89d0fcea92f39,6c9e99b08e36bc83b4038054f253d826,4.0,2019-01-28 21:12:17,"人生中并没有容易扮演的角色，每个人都有自己的负担和难言之隐，但千万不要让这份压力变成彼此的枷锁，就像电影里面的爸爸和女儿那样，非要到亲自体会了别人的人生之后，才知道自己对别人的藐视有多不应该。父亲体会到了学生生涯的竞争力那一段其实挺真实的，现今社会的门槛和...

                         ( 展开 )",,,0
6,6,26657439,爸爸是女儿,c8b395bb6f42e4b165f4c84e509d6d7f,04e1e7dc212509e175202ecef6ac338b,3.0,2019-01-08 18:56:53,"这篇影评可能有剧透 

                        人人都说父爱如山，父亲在家庭之中似乎大多都是默默无言的守护者，子女们虽然敬畏，但缺乏亲近，一年到头恐怕也不怎么交流。更多的时候，母亲充当了父子、父女之间的传话筒，父亲愈发和子女的关系变得疏离。 在韩国电影《爸爸是女儿》中的父女，就是最常规的父女关系代表。曾经...

                         ( 展开 )",,,0
7,7,26657439,爸爸是女儿,a240a1931c0bc9952702be960ae01f5c,b2b6b23cc3a3c912beb2258f1b566bce,4.0,2017-08-02 15:57:09,"文/伍脊六兽特约作者：一张眼。 提到穿越题材的影视作品，或许你会想到在《时光旅行者的妻子》中，亨利和克莱尔之间那让你备受感动的爱情。 而大多数90后第一次接触到的国产穿越剧大概是那部《穿越时空的爱恋》吧，小丸子和朱允文这对cp也是好多人的童年记忆。 在韩剧风靡之际...

                         ( 展开 )",2.0,,1
8,8,26657439,爸爸是女儿,e2866a76a475f3984b643112b6765771,25e91d6996ff2c833c20ed0c23742628,4.0,2017-05-23 03:17:11,"这篇影评可能有剧透 

                        搞笑的部分可以全场（虽然上座率不高）哄堂大笑鼓掌，感人的部分也可以让人频频抹泪。一对矛盾多多的父女因为身体互换不得不过上对方的生活从而彼此了解体谅，说俗套也新鲜，说新鲜也俗套。而我作为观众，就愿意吃这一套。本土化改编做得很好，两主演的卖力演出，也为影片加分...

                         ( 展开 )",,,0
9,9,26657439,爸爸是女儿,2e7610a49aa4954c5c7b2bd61aeb4e4e,57f842286171094855e51fc3a541c1e2,4.0,2017-05-13 15:44:04,"这篇影评可能有剧透 

                        标题是插曲和片尾曲的前两句歌词 很巧妙，用作插曲的时候，是在女儿暗恋对象在唱片店向她表白时给她听的歌；到了片尾，看完整个父女灵魂变换的故事之后，又可以把歌词理解为父女之间的关系解读  故事情节相对简单，主要在于演员的倾情演绎 全程的笑点被女儿附身状态的爸爸承包...

                         ( 展开 )",2.0,,0
10,10,26657439,爸爸是女儿,0561d3f4acfe6154f088c79c1f40fdc7,57388d765e3007e84f930db4e276d3e7,3.0,2017-08-20 14:50:49,"这部电影看了真心有一段时间了，倘若不是放在迅雷已删除里没彻底删除，我几乎忘记，我还看过这部电影。我是又百度了，看了一眼剧照，才恍然大悟般，这部电影，已阅。说真心话，此类型韩国轻喜剧，有些还不错，这一部真心一般。出于2个目的，写下这篇文章。一， 就是单纯记录，...

                         ( 展开 )",,1.0,0
11,11,26657439,爸爸是女儿,50ef7eea984bec3078cf6532d5e1a74a,cb46ad0d7d42a0b7e34270b2138d808e,3.0,2017-10-20 15:50:04,"不得不说，伊宰文这样的韩国电影常见面孔，应该算是演技一直在线的电影演员把。无论韩国电影怎么样，但是演员的演技还是在线的。但是奈何这个片子真的很一般，喜剧效果很低，最多算个爆米花电影，看看就行了。身份的互换，然后一连串的事情，然后父女和解了解各处的痛点，很俗...

                         ( 展开 )",,1.0,1
12,12,26657439,爸爸是女儿,8350ee5f5e0dca98d3a963549ad2f40e,27083ffd480366aa6fe615d17fe14359,3.0,2021-10-21 21:15:39,"一部充满家庭温馨情感的作品，主要讲述了父亲和女儿奇幻般的交换了身体，不得不使用对方的身体生活，在现实中遭遇各种不便的同时，也逐渐更深刻地理解对方，重新找回被遗忘的亲情的故事。我看到这部影片的名字就想昂爸爸是女儿？我还真纳闷了是不是他俩交换了身体或者灵魂，然...

                         ( 展开 )",,,0
13,13,26657439,爸爸是女儿,2170cae63c759f739a86a9c15e7b4812,dda30ea942ab3b089de6800eefcb9c87,,2019-11-30 22:03:22,"这篇影评可能有剧透 

                        一部家庭温馨情感剧，剧情温暖又不失搞笑的成分，轻松简单。讲述了一场车祸使父女交换身体，不得不用对方的身体生活。父亲在体验女儿上学的苦与乐，如考试成绩大退追女儿的男神。女儿体会了父亲的职场不易如人际交往各种左右逢源。就这样彼此在现实中遭遇各种不便的同时，也逐...

                         ( 展开 )",,,0
14,14,26657439,爸爸是女儿,18a9ad940eb410f49f156df6f8ca8a54,545f89c7a5133b60ef540d0ffe5b1766,3.0,2019-10-10 17:38:04,"一部充满家庭温馨情感的作品，主要讲述了父亲和女儿奇幻般的交换了身体，不得不使用对方的身体生活，在现实中遭遇各种不便的同时，也逐渐更深刻地理解对方，重新找回被遗忘的亲情的故事…………………！！！挺好的一部轻喜剧电影，适合假期与小伙伴一起观看…………！…！！！...

                         ( 展开 )",,,0
15,15,26657439,爸爸是女儿,d59f1c5e3625a1d74666bb1b941e2406,581d922eee2b8f4fb659f3275047d44e,3.0,2018-01-28 12:33:12,"电影相比于电视剧节奏太快，温情不够，两个爸爸同样出色，gakki演的更好也更漂亮——谈谈自己的爸爸吧，最近他好像有心事，人生处在一个尴尬的位置，不喝酒就保持沉默，对任何事都没有激情，喝完酒拖着我说很多，关于工作，关于待遇。我知道还有很多话他说不出口，但是我能理解...

                         ( 展开 )",,,0
16,16,26657439,爸爸是女儿,560a61e89fad105a25436c5343a1a7ec,49843285633098f8c0d19378c90cf390,3.0,2017-07-23 15:54:43,"搞笑的部分可以全场（虽然上座率不高）哄堂大笑鼓掌，感人的部分也可以让人频频抹泪。一对矛盾多多的父女因为身体互换不得不过上对方的生活从而彼此了解体谅，说俗套也新鲜，说新鲜也俗套。而我作为观众，就愿意吃这一套。本土化改编做得很好，两主演的卖力演出，也为影片加分...

                         ( 展开 )",,,0
17,17,26657439,爸爸是女儿,8877363b553248f9d5428c6131e04ba1,f7115e4891ab41c009017e95f47eb6e9,3.0,2017-06-03 21:33:03,"影片是用的老梗，但是内核却不同以往，不是爱情，是亲情，国内看到这种片子真的很少，全都是粉丝电影，不然就是不停叠加大咖拍电影，类型片缺少。 笑点不大不小，但不尴尬。 还有爸爸部分也好豁的出去啊哈哈哈哈哈！所以看了下去。后来了解到是翻拍，觉得韩国有的时候本土化做...

                         ( 展开 )",46.0,,2
18,18,26657439,爸爸是女儿,a3adb5d03fc083c3f35bdf20bd45c33e,c28a797fce12c5f9fd7deda9086350e5,3.0,2017-05-18 10:26:20,"千万不要等到失去了才懂得珍惜！ 千万不要互换了位置才理解对方！ 千万不要冷落了亲情！ 生活和成长在不同年代的人，注定会有不同的世界观。 你的父母很啰嗦，让你好好学习，让你考上大学。他们是用你没经历过的宝贵人生经验来爱你。 你的儿女很叛逆，让你不要管他，让你给他空...

                         ( 展开 )",2.0,,1
