,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26661183,抢红,30f157d05a0eb0ea7521452399585d22,54167f84555e8498c2dede584d90cf58,1,2017-05-19 14:59:19,"抢红 1.0/10 今年看过的最烂的院线电影，甚至说我所看过的所有影院里公开上映的电影中都名列前茅的烂片。黎明自己当导演，编剧，演员，拍了部究极超能螺旋升天银河宇宙无敌神烂片。

这1分是给黎明的脸以及童年回忆的算是帅哥加情怀分，其他真的烂出新境界：剧本莫名其妙，节奏一塌糊涂，剪辑飞天遁地，运镜琐碎飘忽，调度七上八下，配乐乡土气息，特效五毛不到，要不是黎明长得帅，我半个小时都撑不到，中间有一段还是在无人的影厅里抬起扶手躺着听过去的。对了配音也是令人感到生理不适。早上看豆瓣还有几篇低分影评，现在几乎全是五星水军，真当观众都特么瞎子？

让我们来看看这片子到底讲了什么，剧透注意：

张涵予是个孤儿，跟黎明是孤儿院里的兄弟，后来黎明被法国阔佬收养，张涵予在东北给人当司机，娶了个aumi被绿了。反正最近流行戴绿帽，也不多他这一顶。张涵予被老板安排，跑去法国买一瓶红酒，跟黎明兄弟重逢疯狂搞基，这时老板带着老板的基友也来法国搞基，于是整部片子就看四个中老年男子玩四角恋搞基。

这个卖红酒的叫khan家族，简称看家族，跟什么皇族经红有血之类的杀马特家族差不多，元朝跑去法国的酿酒世家，有一瓶两百多年毁天灭地绝世神酒喝了就能原地爆炸一步登天修仙成功，为了争夺神酒大儿子杀了老爹后妈二儿子，把妹妹关起来调教，让妹妹卖假酒发财。

结果二儿子没死，跑到东北做了社会你gay哥，发了大财，带着基友和司机杀回来要把神酒买回去，顺便把妹妹救出来，毕竟哥哥都是妹控。根据我的观察，gay哥的身家应该在一亿欧元以上，完全可以把整个看家族都收购了，不知道为什么还要跑去参加什么鬼拍卖，可能他觉得这样比较gay比较刺激一点。

经过一番飞车爆炸枪战抢火车，最后所有人基本上都死光了，黎明这个跟剧情没什么关系的法国土豪成为最大赢家，娶了妹妹得到酒神还跟张涵予快乐地生活在看家族的古堡里，从此两男一女过上了幸福快乐的生活，全剧终。

我觉得这故事完全可以拿掉黎明这个角色，一点影响都没有。估计这剧本也不是他写的，别人写好了他拿来加点戏，把自己写成最大赢家。这个故事告诉我们，要做就做导演，这样可以随便给自己加戏，迎娶白富美走上人生巅峰，还可以让全国观众跟你一起happy。 最后上一张票根，用来回答某些认定我是“看都没看过就来瞎bb”的人。看这片子还花了我28块，想想就血亏好吧",84.0,14.0,54
1,1,26661183,抢红,f9f3ea7462d7f9cd1dc292dccdabf75f,aed1cc5941cc7f8e5ae34a8d63713faf,1,2017-05-20 09:35:51,《抢红》其实就是为了一瓶所谓的神级红酒从而引发的血案。而黎明拍这部电影的动机，也只是为了自己能一把过足导演瘾，要不然你很难再为这个完全没有剧情逻辑的神片为什么会拍成这样找到其他理由。  作为一部有着张涵予、黎明 、王耀庆三位演技担当的男性电影，也有着能比五毛多一毛的电影特效，还能不远万里飞赴法国取景。一切其实乍看起来《抢红》都至少会是一部诚意之作，但随着剧情的展开，黎明的执导真的是仿若拥有了一种将神奇化为腐朽的能力，在电影开始不到三分之一的时间其便已然让人对这个完全就是在胡说八道的故事失去了兴致。  在这部电影里有悬疑，有情义，有复仇，有火爆的场面，也有美丽的古堡华服，但却让人即看不到逻辑，也让人看不到这么一部东拼西凑的大杂烩有何意义，唯所看到的只有黎明沉醉在自己编织的这场导演梦中那尽情的自嗨。,36.0,5.0,1
2,2,26661183,抢红,09916ff7d36b5bed9ad8bd9890157ef1,94b2602c3f8ba77964843eac200a4ae3,1,2017-05-22 14:20:35,本文由微信公众号 不散（busan-movie）原创首发 文 | 谢谢你们的鱼 大家或许还记得前几年的中国电影市场刮起了一阵跨界导演的旋风吧，那些不论当红与否的演员以及所谓的畅销书作家纷纷拿起了导筒，向着电影最核心的部分进军。 当然啦，作为一个畸形的电影市场下的奸商思维产物，大多数的跨界导演电影都是相当糟糕的，前几年的时候因为观众还对于这个概念感到新鲜，所以倒也愿意捧场，大多数电影也都算卖座，但是随着观众的口味提高以及“跨界导演”作品逐渐变成一个烂片代名词的时候，奸商们的钱就不是这么好挣的了哦。  我个人觉得，中国的跨界导演作品其实分了好几个阶段，第一个阶段就是高晓松、姜文等人初当导演的那几年，那些具有文人气质的作品为时代所造就，不一定每一部多出色，但是确实看得到他们的艺术追求。 姜文 陈凯歌 冯小刚 第二个阶段，应该是从徐静蕾的《杜拉拉升职记》开始的跨界导演商业片的阶段，这个阶段基本上除了徐静蕾找不到更多的导演，而且因为其作品没有出现那种大卖的情况，所以，并没有太多的人跟风，只不过，慢慢的，大家也对于其“才女”的标签产生了质疑。 《杜拉拉升职记》 第三个阶段同样也是一个女导演打开的，那就是赵薇和她的《致我们终将逝去的青春》，本片的大卖让很多片商嗅到了跨界导演的号召力，当然，他们只是非常狭隘地把它缩小在和赵薇有关的艺人（比如苏有朋）以及青春片的类型中，于是《栀子花开》、《左耳》等粗制滥造的极品也就出现了。 《致我们终将逝去的青春》 当然啦，其实从另一方面说，2012年徐峥的《泰囧》也是开创了跨界导演商业喜剧的先河，直接影响了之后中国大陆的所有喜剧电影。 第四个阶段呢，就是一个抄袭跟风捡渣渣的时期，因为那些有号召力的大牌该导的也都开始导了，于是呢，片商们就把注意力引向了那些二三线甚至是有一些年纪的演员们，只要有金主，只要你想拍，我们就立马赶鸭子上架，说白了找演员当导演最好的好处就是他可以利用自己业内资源给片方带来利益，找演员客串也是方便。 《有完没完》 只不过，那些奸商们的算盘打错了，因为在2017年，大家对于这一类电影已经产生了相当的逆反心理，从大年初一王宝强的《大闹天竺》、王啸坤抄袭《土拨鼠之日》的《有完没完》、徐静蕾的《绑架者》到黄磊的《麻烦家族》等等片子都遭遇了票房口碑双重滑铁卢，而卖座程度最高的《嫌疑人X的献身》也只是一部票房表现不温不火并且没有超过《左耳》的苏有朋作品。 2017年就是跨界导演几乎每一个阶段的作品垮掉的一年，这一年几乎每一个跨界导演都在用自己的作品向观众证明着自己是多么没有导演的天赋，而在其中，黎明和他的《抢红》就成为了最耀眼的奇葩，见过拼命的，但是真没见过如此拼命的。  我看完《抢红》之后做的第一件事儿不是吐槽，而是在脑中勾勒出了一个个人觉得合情合理的电影立项过程： 记得那是一个不知道什么季节的午后，过气并且接不到好戏的黎明在法国游玩，无意中碰上了一个迷恋当年四大天王的土大款，这个大款在法国拥有无数的产业但是审美停留在煤老板的档次上，两个人一见如故，聊着聊着，突然土大款提议花钱给黎明投资电影，让黎明当导演，而条件也很简单，就是一定要法国拍摄，所有的场景土大款提供。 于是，过气的黎明抱着让自己再火一把的信念接下了这部戏，而土大款也是成功地拉到了一个明星为自己拍摄一部炫耀自己产业的宣传片。  不管你们信不信，反正我就是觉得这个是我唯一可以推测出本片的创作缘起了，因为我到现在都不会相信有公司会愿意主动找黎明当导演，也绝对不会相信这部电影的剧本会打动片商，更加不相信黎明一直都有导演梦，毕竟，大家不是智障。 《抢红》是一部看起来野心很大的作品，一部把动作、喜剧、夺宝、兄弟情还有所谓的高智商玩家的元素融合到了一起的商业电影，你要是看了预告片和设计感不错的海报还真的有可能被这片子唬住，可惜的是，这一部造价不菲的电影终究是一部智障的暴发户电影。 记得本片一开始第一次发布会的时候，片名还叫《啥酒神》，真的，看完片子之后，我觉得没有什么比《啥玩意》更适合做本片的片名了！  其实我一直觉得不论是中国还是外国的演员导演，大部分的人都会在导演的时候犯一个同样的错，就是不自量力。就比如大家非常喜欢的娜塔莉波特曼、西恩潘以及詹姆斯弗朗科等等一当导演拍得也都是相当思维混乱的作品，说到底，你作为一个演员并不是在片场混久了就具有导演的个人素养，做演员和做导演是两个不同的行业，你如果可以收起自己作为演员的傲慢和自恋，多研究剧作，多研究视听语言，你可能会有机会成为一个还不错的导演，就像本阿弗莱克，就像乔治克鲁尼，可惜的就是，你没有，黎明。 说到底，这个世界上根本就不存在演而优则导的说法。演戏演得好不好和你是否可以做导演没有任何的逻辑关系，演员的内心世界和导演的内心世界终究是两个不同的世界，如果你在用演员的思维拍摄一部电影的话，电影的失败程度也就可想而知了。 《抢红》这部电影最可怕的地方就是黎明用一种相当精神错乱，前言不搭后语并且无视台词逻辑的方式讲述了一个非常简单并且非常套路的故事。影片讲述的无非就是一群人围绕一瓶价值连城的红酒展开的各种勾心斗角，最后引出了一条复仇的故事线。 基本上对于大部分影迷来说，这就是一部等到了角色全部出场就可以一眼望穿结尾的电影，说实话，如果你认认真真说一个简单的故事，多在视听以及动作场面的设计上下功夫，倒也可能成为一部合格的商业喜剧，可惜的是编导过度的野心在剧情中加入了各种可预见的反转，无意义的人物前史以及非常无厘头的人物情感联系。  “幼稚”这两个字可能是对于这部电影剧本最好的诠释了吧。 影片中的张涵予和黎明是一对在孤儿院一起成长的好兄弟，当年，因为一个法国佬吃饱了没事儿去孤儿院挑选孩子，黎明被选中离开了孤儿院，无厘头的是，法国人仅仅是因为黎明的角色小时候挑了葡萄就选中了他，而忽略了那一个品学兼优把葡萄让给黎明的张涵予。 话说，看到这个地方我小时候被孔融让梨建立起来的中国民族传统美德基本上就崩塌了，当然啦，主要还是觉得那个法国佬有毛病。 当然啦，这个还不是两人关系最神经病的地方，张涵予饰演的角色去到法国找到黎明之后，两个人只要一有摩擦，张涵予就说自己当年要不是把两葡萄给了黎明，黎明也不会有今天。Come on，都这个年头了还玩这种道德绑架呢？一个大男人磨磨唧唧小里小气的是要闹那样呀？两个大老爷们儿天天为了这么一点鸡毛蒜皮的小事儿闹别扭真是让人看到生理不适。 另一边，张涵予作为司机和自己的老板王耀庆之间也有一段所谓的兄弟情，你说建立一个主仆之间的情谊我也就忍了，但是全片看来下，你基本看不到什么两个人之间的羁绊，甚至当两人在法国遇见之后，你都不觉得这两个人之间是朋友关系。  最可笑的是，王耀庆这个人物从头到尾的塑造都是不合常理的，就比如他作为一个寻找当年红酒的复仇者第一步是让张涵予假装是警察去法国竞标红酒而自己作为另一个竞标方，且不说他是不是财大气粗爱挥霍了，张涵予假装是警察你看完了全片都不知道为什么，直接说自己是一个土大款都不会对故事有任何影响，而且似乎张涵予和黎明两兄弟完全不出现，这个故事也可以成立，毕竟大家的智商都不高。  最后，影片中还加入了黎明和杜鹃的一条让人摸不着头脑的感情线，两个人就是这么毫无征兆的产生好感，站在一条阵线上，感情的起承转合通通没有，而且去掉也是完全不影响这部电影的脉络，甚至把这两个角色完全去掉也不影响故事的进程，尤其是杜鹃的角色，作为一个和其中主要角色有亲属关系的人在最后的大高潮完全缺席，任何的闪回和煽情都兜不回来这个角色本身的冷血与面瘫。  《抢红》还有很多让人哭笑不得的地方，就比如你明明是一个胡同的老北京，偏偏要装得自己特洋气，明明完全不懂调度，却一定要拍摄复杂的动作场面，明明爆炸场面以及枪战场面巨浮夸却一定要突出突出再突出。 然后，张涵予的角色一到法国就开车大声放《最炫民族风》，晚上在小酒馆和弟弟合唱《有多少爱可以重来》，这年头了真的很少能看到大投资的电影拥有如此低下的审美，可笑的程度就像张涵予角色矫揉造作的程度一样，把无知当洒脱，把撒泼当仗义，把低俗当幽默，一副爷最牛逼天不怕地不怕的样子。 到头来呀，观众在电影中丝毫感受不到任何观影乐趣，能感受到的只是一个智障在炫富，在装逼，这也就是本片某种程度上和《富春山居图》成为孪生兄弟的原因。  说到底，影片的土土到了每个主创的心里，它让你感觉即使找到了几个型男大叔喝洋酒开洋枪，骨子里面也是东北F4，大家就自己感受一下片中的那些什么“利芳”、“LK”、”韦利”以及“张水”这种名字有多傻，凑起来妥妥的一个葬爱家族。  其实说了这么多影片的缺点，我们也来罗列一下影片的优点吧！ 就比如，影片开头是苍井空老师的客串。 然后，没有了……  · THE END · 这是“不散”的 第 388 期 文章，想在豆瓣瓣嘴节目朗读全文。 关注不散微信公众号 busan-movie，发现更多好电影。,42.0,4.0,8
3,3,26661183,抢红,24111d1bef7d51866364bed51f610d00,8f264ff8b56a82cfde15c861aa4ba3fd,1,2017-05-20 10:16:59,此剧良心制作，情节跌宕起伏。每一个镜头都让人过目不忘。中间一度迷失，沉浸于复杂情节中推理出层层线索，黎明导演超前卫思想在全片中淋漓尽致的表达，真不敢相信是处女作，对比《富春山居图》、《大闹天竺》等华语优秀电影，此剧必须以压倒性胜利排首位。唯一的遗憾是，此剧只有90分钟，情节是高度凝华，看完后，真实不过瘾。涵予大哥在剧中表演也是刷新三观，身为本剧的唯一女主，在剧中颇纠结的“三角恋”，也诠释了最完美的女性心理。看后，深深的感动呢。。,21.0,7.0,4
4,4,26661183,抢红,16f65dcc87cce7b074931464600f25fb,6ebbdd31ab5569d32a81529e1ff04658,1,2017-05-20 03:38:43,前天看到抢红首映打折，10元一场，正好最近有篇文字要写到其中一个男演员，同伴也说想看，我就买了，还2张。同伴是个性格平稳的人，跟我说：“反正不要期待太高。”，我之前看到毒舌电影对片子的期待值是0，以为自己已经做好了心理准备，但我明显高估了自己，也低估了电影作死的本事。   黎明和张涵予对坐在一张餐桌两旁的那一刻，我就知道黎明从选角上就失败了，因为黎明老了，早就不是那个可以掐出水的黎小军，看着比张涵予年龄还大，角色设定立刻就瓦解一半，怎么都不能产生代入感。   当我好不容易把自己出戏的心思收回来，才发现这只是尴尬的开始。   黎明空降了至少5个小鲜肉充当配角反派，可能是想衬托主角们有演技，但没成想把黎明、张涵予、王耀庆衬托成“大叔”，大叔有钱，小鲜肉有貌，但集体智商欠费。   就举一个小例子，路非被小鲜肉挂掉时，我心里的呐喊是，反派为什么不绑架路非做人质当谈判筹码、在自己熟悉的地盘一枪KO王耀庆，这样还至少显得自己有智商，难道只是为了引出后面费尽周折的喋血火车站、结果还都挂了？直到复仇boy王耀庆两次密道逃走，才知道，原来王耀庆为了逃命连续两次把妹子抛弃在兔子洞（求杜鹃的心理阴影面积），怎么会管一个市井救下的义弟兼保镖，王耀庆这个角色还真是做到冷血前后如一，反派们可能是对他的人性绝望了杀掉路非，可王耀庆为啥又为了路非的死而哭（配了瞬间轰鸣的BGM，生怕大家听不出这段为了煽情）呢？片子里到处都是这种经不起推敲的情节，果真剧本只值5毛。   而角色性格表现、影片配件更是莫名其妙，这跟导演的理解局限有关。   主角被生硬地组成了2对男男cp，他们互相调戏，王耀庆雪茄不离手，黎明红酒不离手，较劲而低级的卖腐、浮夸、不说人话（比如，“给你100万...欧”），这是导演对“兄弟情”的误解。   开辽A车牌、在东北当司机的张涵予说的一口京腔，尬吵不离口，数场吵架戏，那大段大段不负责任的存在，可以拖长片长，又可以加口水词，看着张涵予那张卯足了劲抓耳挠腮、希望能贫出新高度的捉急的脸，观众也集体被憋出内伤，这是导演对“人物身份”和“男人味”的误解。   那个生命还有一星期的濒死“父亲”，嘴唇是红的，面色是润的，眼睛一睁一闭、手指一曲一伸都很有力，至少应该让这个“角色”死的有尊严一点，比如头发花白、面容枯槁，如果都做不到，至少嘴唇上可以多打点白粉底。这是导演对“死亡”的误解。   黎明挺会唱歌，不然也不能成为四大天王。上天真的是公平的，他会唱，但就是没有一首配乐是符合剧情需要的，如果你不会选，至少你可以不选。在法国诗情画意的小街道上飘来的是《有多少爱可以重来》或《最炫民族风》或者别的什么风格诡异的BGM，这是导演对“反差萌”的误解。   如果张涵予、王耀庆、杜鹃没有收“黑钱”，那么我真是被他们三人的倾情加盟给感动了，比电影里的兄弟姐妹情感动多了。    这部可以登顶的烂片告诉我们，饭不能乱吃，片子也不能乱看，哪部电影首映只要10元一场，那也不能去，因为这不是杀时间，这是自杀，因为我们可没有82年的拉菲压压惊。,43.0,7.0,5
5,5,26661183,抢红,8308a3501b5112ee4203dcd3c45cf757,b6f6fc86cfaee00ce7e3981360e1b457,2,2017-06-16 15:21:32,电影《抢红》究竟是为什么？为什么黎明非要拍个烂片，好好唱歌不好吗？本来觉得《抢红》的名字配上动作/犯罪的电影定义，演员又是张涵予，黎明，杜鹃，王耀庆，真的是很华丽的组合啊，谁能想到，抢红是抢红酒的简称吗？太无奈了，根本没有情节可言，特效也真的很烂，枉费了张涵予这个人，真的，最近看的最烂的一部电影，就是拿着明星跑龙套，真的，没有演技，情节老套又单调，要弄警匪枪战片就不要配个抒情歌曲，哪里跟哪里啊！！真的不值得看1个多小时，大片的演员，微电影的剧情，外加业余音效和三毛钱特技，这就是这不电影的总结。,1.0,1.0,1
6,6,26661183,抢红,59d01159fa3bfc3a47e65e669450e9b7,b956f7ab1021f0f967f4fdc6cf80eefb,2,2017-06-02 20:54:46,"看完只有一种感觉，这他妈什么鬼？
我怀疑我看了一部假的国产片，全片有一半以上口型与台词不对，全他妈后期配音改了？还是演员在拍片时说压根就是12345？剧情我就一个字，硬！硬扯，硬聊，硬转。涵予哥，你是差黎明钱啊，还是差他人情啊？咋就这么想不开要演这片子？我可是冲着你是主演才去看的啊。还有那个禁欲系的杜鹃，演啥都一个表情，不管啥，木有喜怒哀乐，说杨幂僵尸脸的站出来，来我保证不打你，你去看看杜鹃！
总之一句话，不推荐
另外提一下，明哥瘦了，比杨贵妃时瘦了好多！",2.0,1.0,0
7,7,26661183,抢红,7b8714553a0075bec0414d90918bb1b2,ff26e1d97e637587e7c230d4cd5ff227,2,2017-05-25 21:33:26,本片总体低分，那么这个电影的问题出在哪里呢，我认为就是如有些人讲的想表达的东西太多，编导们又不太懂拿放取舍，孰重孰轻，于是你看到一部什么都有的乱炖电影。而另一方面糟糕的是节奏完全不走套路，完全颠覆应有的观影感受。所以整体看下来就是这一秒你看到了沸腾的兄弟情，下一秒它就整一个烂俗的笑梗出来;这一秒男女有暧昧的情愫在游动，它下一秒就神秘兮兮的来点暗黑。枪战爆破它有存在的必要，开始的莫名其妙的美女戏水的香艳镜头它也不缺，各方耍酷扮狠有，可一会又冒出个方言俗语来。似乎可以看见导演的野心，他把舞台搬到法国，还城堡酒庄密道，可又处处小家子气，整片大家数数有几个外国人存在？（算你苍井空也是吧）。人物塑造上，黎明一贯表情不近人情，现在连身世身份都不近人间。于是连酒庄大小姐杜鹃这个角色都被传染，该有的喜怒哀乐完全没有。更想问问两位机械般狙击，张涵予的前妻，你们片酬多少啊。纵观全片，抢红酒的故事立项随意，编剧（怀疑存在否）随心，制片方真的有洗钱嫌疑。这部电影其实也不是彻底没救，，倘若能多给30-40分钟时间捋捋各位关系（目前是90分钟），倘若能真的有点多点制作费（别连一辆车都舍不得报废还要靠特效），倘若能多点国际范来几个外国咖，当然最最重要的还是导演黎明，这位实实在在在也该给换掉。,1.0,1.0,0
8,8,26661183,抢红,c417da349f0ebdb3fe56a1251511465c,913b04b8022346fbe1be650850f5ebb3,1,2020-06-22 09:01:15,导演黎明首次拍电影，张涵予，王耀庆两大实力戏骨出演，这本应该是一部让人期待，给人惊喜的电影。但这部电影给了我们一记重拳，不，是给了我们一套重拳。         导演黎明应该是想在自己的电影首秀中展示更多的东西，所以影片中出现了绝美的风景，华丽的服装，激烈的枪战，出现了姐弟亲情，兄弟感情，让人琢磨不透的爱情，出现了悬疑感，出现了复仇……         在短短的90分钟的电影中，导演想要表达的东西太多太多，然而所有的东西都是浅尝辄止，匆匆略过，看完电影，你无法揣测导演真正想要表达的是什么？就像是喝了一杯满是老鼠屎的汤，许多烂片是一颗老鼠屎坏了一锅汤，而这部片子像是多也用一锅老鼠屎加了许多精美的作料精心熬制的汤。浪费了那些精美的作料，也欺骗了观众的感情。         朝不保夕的司机张水（张涵予 饰），受上司方长方（王耀庆 饰）利诱，答应亲赴法国邀请义弟韦力（黎明 饰）帮忙参加天价红酒的竞拍。张水谎称为国家执行秘密任务骗得韦力的信任，一同前往品酒大会。拍卖现场，张水意外的发现指使自己来参加拍卖会的老板方长方也在现场，而此时的方长方好像从没认识过张水...品酒会的主持者利芳（杜鹃 饰）与各路买家逐一品酒，只有通过考验的人才可以参与到竞拍环节。 利芳同父异母的哥哥LK此时在众人之外静静的看着所发生的一切，谁也想不到，拍卖会的真正目的根本不是卖酒……         无论是电影中张涵予饰演的张水与义弟韦力从小在孤儿院培养起来的兄弟情，还是方长方与张水的兄弟情，再或者是方长方与他保镖之间的兄弟情，无论以哪一个为主线，都可以是一部不错的电影。然而这电影神奇的事让你根本找不到何为主线。加之剧情中，伟力与利芳有着莫名其妙的爱情线，毫无逻辑的两人相爱，甚至就愿意为对方而死;方长方于他的仇人之间互相算计，真正打起来确是像小孩子在做过家家，让人不由一头雾水;还有酒神的故事，家族之间的错综复杂的关系，让人看完难免恶心发晕。         无论是枪战部分，还是兄弟情义的表现，都浮夸而虚假。导演似乎认为有海量的红酒与雪茄可以让电影都变得高端起来，却不知更显示了电影都俗不可耐。         如果非要大海捞针的找出这一部电影稍稍的可取之处，那么如果去掉剧情，单单欣赏电影中的法国美景或许还能让人好受一点，可惜搭配上了剧情，再好看的美景都让人无力欣赏。,1.0,,0
9,9,26661183,抢红,81c65d6400eacf834cdc57fad5140c67,e05620225cb0b5f682ba8a8159350091,5,2019-05-02 16:21:53,简而言之，影片《抢红》其实就是一场为了夺取一瓶所谓的神级红酒而引发的血案。 这部片子的导演是黎明，退休的四大天王。这一次，是他寻求转型和突破的成功案例。而且他在片中的表演也可圈可点。 留意演职人员表，我发现影片监制是“第五代导演”。印象中他过去的作品多是关注城市青年一一那些生活中的普通人。他擅长从普通人的生活中以小见大，让剧情以平见奇。 难怪，这部黎明导演的影片，从普通人的平淡中出发，又回到平淡生活中去，过程中掀起千层浪，开启了一段夺宝之旅。 影片中众人抢夺的宝是一瓶红酒，酒瓶盖上刻有该酒酿造的秘方，谁获得了方子，那就等于拿到了金库的钥匙。正是围绕这瓶称为“酒神”的无价珍宝为线索展开了故事。而电影实际要展现给观众的是在激烈枪战、脑力对抗、夺宝旅程烘托下，表现出荷尔蒙爆棚的兄弟情谊。站着也要把钱挣了，赚钱也绝不出卖兄弟，这才是本片最打动人的地方。 这部片子好看的地方，我感觉在服装、道具、音效、剪辑上，加上几位演员的表现，观影效果非常不错。想必黎导也会很满意吧。 石头记  2019-4-29于宁波市一院,,,1
