,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26662798,京城81号2,f50cadb78e4a7903ea01dc5efdd762a9,4500117967f1dfae956d82e8ca848947,1.0,2017-07-06 22:27:04,如果不是电影院做活动8块看电影我绝对不会上这鬼子当，8块喝杯奶茶都比看这垃圾强百倍。  如果说第一部勉强还能看，而且惊悚程度也过得去的话，那第二部就是臭不要脸地把手伸到观众口袋里抢钱，先不要说乏味至极的剧情，就连基本的气氛都搞不好，整部电影下来仅有的几处吓人片段也是让人哑然失笑，五毛特效更是让人无语至极，女主角从头到尾就是在做梦，在家里做梦，在医院做梦，坐地铁也能做梦，整部电影就是用支离破碎的梦境来组成，最后男女主角双双沐浴在社会主义的阳光下面带微笑地告诉我们他们两个都是吸入了沼气产生了幻觉。我去你大爷的啊！编剧你是被关在厕所里吸入过量的沼气灵光乍现想出来这么一个剧本吧，第一部嗑药，第二部吸沼气，第三部肯定就是精神分裂了，如果你们还有脸出第三部的话。  编剧里面我看到了蔡骏这个名字，蔡骏何人也？乃是文学界的恐怖大湿，最擅长的就是各种迷幻药精神分裂，加上陈嘉上钱人豪二人，堪称豪华至极烂到极致。  制片方声称第二部要挑战十亿大关，如果这种垃圾真的破十亿，将是电影史上最大的不幸，冯小肝说垃圾电影是因为很多垃圾观众，我很同意，至少今晚我就是一个花钱看烂片的垃圾。,526.0,57.0,83
1,1,26662798,京城81号2,24dab0685f6d89b544b1703c3922496e,e4bab0dc77399372d29d1f996b9b10d8,1.0,2017-07-06 21:04:15,本片为亲子互动类-流产后遗症、精神分裂症、神TM沼气致幻症外加妇产科临床医学研究基础上的变态心理学延伸-同时承担了不孕不育家庭中如何进行夫妻关系修复、心理健康咨询、和谐男女、和谐社会建设之宣传教育片。请广大影迷谨慎观看，否则会有《公主坟儿82号》《五棵儿松83号》《高碑店84号》《灵境胡同儿85号》《三里屯儿优衣库之恐怖试衣间86号》等系列影片持续陆续继续挑战你的底线。,203.0,17.0,17
2,2,26662798,京城81号2,fd039ff62089b224579b2a48158e5ea3,77b9816529fba982a33977844b0e6fc6,2.0,2017-08-21 08:52:47,《京城81号2》取材自东方四大鬼宅之首的京城81号地宫真实故事。   　　民国末期，正逢乱世，京城军阀哗变，少帅张骘生（张智霖 饰）被逼迎娶大军阀之女纪金翠（钟欣潼 饰），随即府内怪事丛生，人心惶惶。不久后京城涌现大批“尸婴案”，一切矛头指向少帅原配夫人钮梦鹤（梅婷 饰），随后 钮梦鹤离奇失踪，一夜之间京城81号惨遭灭门，留下一座破败鬼宅。   　　百年后，文物修复师宋腾在修复古宅过程中挖出大量婴儿尸骨与诡异符咒，一桩桩血淋淋的旧事似乎要将所有人拉进深渊，前世今生的恩怨情仇都一一浮现，而地宫冤魂鬼门索命的故事也就此拉开,24.0,1.0,0
3,3,26662798,京城81号2,829f68a06742b37aed89bcb80ed2bab4,fa63997cb7548e3b8825b40d5b3766b1,1.0,2017-07-07 12:44:23,"北京，下着雨。  影院，吹着冷风。  膀胱，憋着一泡尿。（这是罗宾）    1   去往影院的路上，我的脑海中像放着幻灯片一样地闪回前作《京城81号》中青楼女子大战三兄弟的情节。    VS大娃    VS二娃    VS三娃   不过想来想去，还是觉得这第一部拍得好烂。可我就是还想继续看，因为京城81号不仅是房地产行业饥饿营销中的佼佼者，它也是国产恐怖片当之无愧的大IP。   看看国内工作者对这个题材的热情吧：《朝内81号》（《京城81号》曾用名）、《朝外81号》、《撞邪31号》等等。对比之下，是不是《京城81号2》是你最想看的了？    2   《京城81号2》（后面简称J82）中我比较期待的是导演。   J82的导筒从首部的叶伟民换成了台湾新锐导演钱人豪。他曾于2006年在台湾自编自导完成第一部电影《地下秩序》，之后获得曾志伟的赏识，得到编写执导电影《纽扣人》的机会。   这位看起来很B级的恐怖片导演，他在豆瓣最厉害的作品如下：      我们不能苛求恐怖类型片的评分会有多高，钱人豪其实很努力的，他曾开创过华语电影的历史。   《Z-108弃城》号称“首部华语丧尸片”，豆瓣评分3.5。       可怕。   钱人豪接手这么大一个国产恐怖IP，想必也会为华语凶宅片写下新的篇章。   换导如换刀，续集确实做出了不小的改变。本来昨天我就打算买预售的J82了，选来选去都没有上午排片，好不容易找到一场中午在国家图书馆的场次还满员了。直到下午罗宾告诉我才明白，原来J82的首映不是7月6号，而是7月6号18点。   华语首部18点档凶宅片，听起来有没有很仪式感？    3   再来讲讲J8系列强大的卡司阵容。第一部能创下4.1亿超高的票房成绩，与优秀的演员阵容是分不开的。   J81中有我非常喜欢的吴镇宇，他癫狂又霸气的戏路看起来也和恐怖题材很搭。另外女主林心如也堪称国产恐怖片的wonder woman。《绣花鞋》、《楼》、《魔宫魅影》等等，紫薇格格近年在大银幕的势头有点想成为内地“鬼后”的节奏。      不过到了J82我马上就打消了对林心如的恭维。   看到梅婷，我怎么还敢叫别人鬼后？      记得2012年看完梅婷的《笔仙》后手脚冰凉地走出电影院，她的特写镜头比笔仙还要恐怖出2.5部《咒怨》的惊吓历历在目。以至于后来我看《激战》的时候对她饰演的母亲还是有点怕怕的，更不要提同年阴影系列的《不要和陌生人》说话。   按照我的私人保镖罗宾的话说：   以后谁敢说梅婷不是内地鬼后，不好意思，我们不是朋友。   片中另一个印象深刻的角色不是主演张智霖和阿娇，而是——   耿乐。      比起沦为花瓶角色的张智霖和阿娇，耿乐饰演的神经病医生俨然是全片的搞笑担当。    4   搞笑？我不是在开玩笑，J82确实是搞笑的。   本片的喜剧风格也延续了前作。   回顾一下J81中对《唐伯虎点秋香》的致敬吧。          确实壮观。   而J82中最经典的搞笑段落则是梅婷因为在望京西地铁站的一个梦而跑去工地与阿娇撕逼的戏。    5   那么究竟是什么剧情使得一部恐怖片频频笑场？   接下来就讲讲剧情。看海报的时候就已经推理出来，J82是与J81一样的现代古代两条时间线并进的片子。      两款海报已经出卖了它的剧情套路   本片故事结构也与首部类似。都是现代戏夫妻感情出现裂痕，古代戏卖惨卖奇情。   不同的是，J81的重点是爱情戏，而J82的重点则是生娃。除此之外，两部电影的剧情智障程度不相上下。    6   影片主打恐怖元素，导演也是恐怖片起家。   接受采访时导演曾说过一句很触动我的话：   “我觉得有时候人比鬼更可怕。”   于是他请来了全片的恐怖担当梅婷，每每暗光打在她的脸上时，电影是真的吓人。   然后便没有了然后。影片其余的恐怖桥段全是凭借无时无刻不在的BGM和一闪而过的直白的暴力场景。除了低级的视觉效果之外，整部电影丝毫感受不到凶宅应有的惊吓气质。        7   J82也不算一无是处，导演又说了：   “这个大IP算是珠玉在前，我是在悬崖上，拍好是应该的，万一这个东西有任何扣分，就是你的责任。”   导演站在悬崖上放手一搏，开始撒钱。   很明显地感受到他动用了比前作更多的资金。无论是服装道具为影片所呈现的年代感，还是81号凶宅的还原都有了长足的进步。   同时导演也保留了前作的优点，比如小学课文级别的金句。   J81中是这样的：       J82中由梅婷说的是这样：   至高至明日月,至亲至疏夫妻。   加油，很文艺哦。   以上是我提到J82尚可一看的看点，其余便没有了（相信看过的各位也补充不出什么）。    8   那么J82究竟拍得是什么鬼？   鬼，当然是不存在的。主角只不过是吸入过多的沼气而已。   这也不能完全苛责导演和编剧，因为国内院线没有分级制度，为了照顾全年龄向的观众，影片只能将视觉上的鬼怪最后归类为幻觉、错觉。       上座率不错的影厅中，除了我和罗宾两个直男，其余都是出双入对的情侣还有带着孩子的家长。看过影片后那些小学生连连叫到害怕，其中还有几个看到一半就退场了。   这里我要对这几位学生的老师说一句良心话：   竟然让学生有功夫去电影院看这么烂的电影，作业还是少啊。   而作为心智成熟的我和罗宾看完电影则完全感受不到害怕甚至还有点想笑。    9   散场后罗宾与我交流了观影心得，收获颇丰。   他给我讲了一个故事：   之前他在家乡看过一场话剧，主打恐怖元素。不过东北人骨子里憨厚的幽默感和这个话剧幼稚的剧情竟然让整场的欢笑声多过尖叫声。导致最后谢幕的时候主创出来表示，之后的场次要把恐怖话剧改成搞笑话剧。   这个故事启发了我，既然京城81号这个系列故事被拍得这么搞笑，何不就拍成喜剧片呢？",94.0,17.0,21
4,4,26662798,京城81号2,ace4ae2190e6dc9c1331e3c6e97b4661,2c2c33058fdcfa2dbbfbcdc17e8761f6,1.0,2017-07-07 23:36:53,这是一部集齐战争片+科幻片+教育片+纪录片的恐怖片 👻这是一个大无畏的男主拯救自己产后抑郁症妻子的故事 这是一部全程记录产后抑郁症少妇的生活的纪录片 让我们感叹一下编剧的脑洞真的是好厉害哦😳       故事的开始男主带着蓝翔学员在81号挖出了一个旷世酒坛 哦不对 里面是个茅山道士镇压的尸体 😱蓝翔学员纷纷表示不祥之兆 当然我们的男主表示不信啦 只留一个学员跟着他 不知道是真爱还是看上了男主挖的古玉 🤔       我们的女主呢是男主的妻子 因为车祸流产 至今未孕 导致得了抑郁症 走到哪都能听到孩子的哭声 所以在81号里四处查找 然后突然81号就开始爆炸 👿女主在前面跑 后面在爆炸 活脱脱的抗日战争片啊 编剧牛 🙄找着找着找到了一本无字天书 啊呸 有字的 写着专治不孕不育的天书 😳于是觉得自己是女二说的故事的女主 觉得自己巨冤！       然后女主就失踪了……对你没看错 失踪了 😵于是接下来的故事就是男主开始找自己的爱妻 来到了81号地下层 开始和树妖大战 🤥正式进入科幻片 特效还是很厉害的 树妖的藤条做的非常逼真 就和我们去玩具店买的一样 着实佩服！🙄等等 哦原来不是树妖 是鬼啊😯 是81号前任主人 是死的巨冤的女鬼啊 女主：怎么办 男主：我来对付 男主：对不起 树妖哦不对 鬼被超度了🙏……........       结局：广电局表示要完美结局 要能治好不孕不育 要能治好各种疾病 要告诉大家教育大家 沼气是有毒的气体 🤧       最后表扬一下 导演 不给拍鬼 我们可以用气体代替吗 看到了没 那个黑色的气体就是鬼 对对就是那个杀死人的黑色气体 就是鬼！🙄🙄🙄,50.0,10.0,6
5,5,26662798,京城81号2,b19b8dd510284151f2ff258f4c57c1d8,793d3c82a920e5807a5013351f16c345,3.0,2017-07-08 18:09:22,北京大雨，黄色警报发了一轮又一轮，撑着伞，湿了鞋，走进影厅，去看一部还没上映很多人就直接打出一星的片子。  还好，厅里观众不少。不知道他们会如何评价这部电影，但看过了再发声是人的本分。要不然就是巴普洛夫实验，全凭反射弧，不用过脑。   故事   电影开始了，一个施工队在修葺古宅的时候挖出了尘封的婴儿实体，符咒随风飘散，所有的工人吓跑了，只剩下古宅修复师宋腾。   医院中，医生贺菲紧急救治着一起酒驾事故送来的伤病者，因为自己流产失去了一个孩子，她对事故中的患儿格外用心。  贺菲是宋腾的妻子，工作结束后去古宅找他，这一天刚好是他们7周年的纪念日，得知丈夫的工作遇到了困难，她无计可施，又见到了丈夫美丽自信的师妹林瑶，疲惫的医生感受到一种说不出的沮丧。  睡前，她说古宅离医院太远，通勤不方便。宋腾说，我还是希望你搬过来。两个人沉默，不忍伤害又不愿附和，夫妻之间那种尴尬的沉默。  贺菲还是搬进了古宅。饭桌上，大家聊起了宅子的前世今生。饭后她一个人去宅子里参观，走进了满是标本与古书的一间房，她打开一本被油纸包住泡在罐子中古籍，是一位民国时期医生的行医记录。医师王如恂，他想贯通中西医，解决帅府无后的问题。  贺菲跟着王医生走进了民国时的将军府。一场军阀哗变的逼宫大戏正在上演，满脸白癜风的军官和凶神恶煞的光头目露凶光，新近上位的少帅被他们逼到无力回击，矮个的老狐狸提出折中的法子，让我女儿和你成婚，我们是一家人，其他人出局。贺菲的前世，大太太钮梦鹤当即表示， 我没有一儿半女，为保一家平安，成交。  大婚，华丽得伤人，温婉美丽的二太太娶进门，恰恰是林瑶的前世纪金翠。少帅醉中走进梦鹤的房间，抱紧妻子的同时，无力又无奈地摩挲着两人定情的玉佩。  贺菲从梦中醒来，宋腾告诉她，要和林瑶去出差。入夜，她再次走进那个诡异的房间，发现还有一间地下室。地下室是王如恂的私人实验室。俯仰皆是血水池，婴儿标本。他在府上效力多年，一心想让少帅和大太太诞下孩子，中医无解，西医无解，只有邪术，活体取胎盘，带着婴儿的灵气令妇人服下，可怀孕。心智迷狂如他，认为自己研究出惊天秘术，告知大太太，被狠狠训斥。只得转投二太太，纪金翠为了换来少帅的关爱暗许了这阴狠的方法。  古宅突然塌陷，最后一名修理工人死亡。贺菲在医院被鬼魂缠上。  急匆匆赶回古宅的宋腾安慰贺菲。因怀疑他和林瑶的关系，两人多少生出些间隙。贺菲再次回到过去，京城无数孕妇失踪，查来查去，源头在帅府，传言梦鹤变成了魔鬼，残忍杀死了孕妇和未出世的婴儿。正想为自己辩解的梦鹤，迎来了怀着身孕的纪金翠，为了少帅的孩子，有一个人得牺牲，去赎罪。  于是，她站上驱魔台，被众人唾骂。  于是，她被囚禁在地宫深处。  于是，她被少帅逼问着要一个说法。  最爱的人不相信她。这才是真正的地狱。  年少时，少帅给她吟诵过一首诗：至高至明日月，至亲至疏夫妻。  残酷的在于，从至亲到至疏，深情厚谊灰飞烟灭。  更残酷的在于，从至亲到至疏，不过几日光阴。      于是，爱只能成为怨念。几世不散。  故事从这里起，急转直下，副官怕少帅心软，杀死梦鹤，再将尸体藏入墙中。纪金翠诞下一具死婴。王如恂因为实验失败，癫狂发疯。而一直孱弱的少帅因为找不到梦鹤，失手杀死仆役。  大宅被荒废，墙壁里的冤魂静静等待着，直至这一世的肉身回到了这座宅子···  这座宅子就是京城81号，而故事就是围绕着这个众所周知的小洋楼拍摄的第二部电影《京城81号2》。   女人  故事里有两个女人，一个因爱而忍，一个因爱生妒。大气的，没有了自我的边界，是那种传统文化认可的悲剧性女性形象。为了家的周全，为了男人的面子，什么都能牺牲。嫉妒的，没有了人性的良知，像藤蔓一般，为了获得自己被宠爱的空间，只有绞死别人。梦鹤因为爱别人，根本不爱自己。纪金翠爱别人实际是为了爱自己。太多的女人，前半生就是钮梦鹤，后半世叫做纪金翠。  从不顾一切的疯爱到借着爱的名义去收获，你悄无声息的将一个死去的梦鹤埋进了心墙里。那个曾经的你，一样无法烟消云散，午夜梦回或是恍如隔世时来看你。所以，你不会将梦鹤的孽魂形象看作是威胁，你同情她，甚至怜爱。因为扒开你的心墙，也会显现出她的模样。  从钮梦鹤到纪金翠，你也曾遇到过一个无力又无奈的男人。电影里的少帅虽是军人却在家族压力下不得不再娶一室延续香火，又在发妻被人陷害甚至被当做女巫遭众人责难时，转过身去逃避。这个男人最有力的时刻是发疯后的毁灭，悲剧又讽刺。  多少次，他可以挺身而出化解危机；  多少次，他就是矛盾的关键；  甚至最后一次的危机，他什么都不用做，只要坚定地相信你。  只是，爱人之间因误会与不信任而生发的疏离与怨念，这些只要一升华完全可以成为恐怖的幻觉。  世间再无其他关系，一步甜腻，一步怨恨，一念天堂，一念地狱，唯有爱情。  世间再无其他劫难，能让你从钮梦鹤变成纪金翠，唯有一个软弱的男人。  《京城81号》这个系列一直在告诉我们一件事：惊悚片不一定是鬼片，最重要的是人性的恐怖，爱情片也可以是恐怖片。  这恐怖不讽刺，不血腥，不黑暗，墙中的干尸连同怨念，只想要一句“对不起”，然后成灰。       电影    电影散场，走在雨后洁净的城市。仔细回想个中片段，不得不说，很喜欢它的精良，它的美。一想到恐怖片，不是血浆就是脏乱。这么干干净净，唯美东方的恐怖片难得一见。民国风情，玲珑旗袍，笔挺军装，精美洋楼，氤氲气息。片尾时，小哥费玉清的《回魂》小调响起，缠绵脆软，正衬年少时梦鹤与少帅“郎骑竹马来，绕床弄青梅”的意境。中国人是爱女鬼的，从《搜神记》到《聊斋志异》。女鬼像一种气体的存在，清幽，深情，因执念而可爱，也因执念而可恨。但自从学起日韩以后，碟仙、筷仙、笔仙、马桶仙都成了一身白衣，脸色铁青，披头散发的邋遢样，毁坏了从古人时留下的文化审美。《京城81号》中林心如一身红衣，化蝶而去，真好。续集也没有让人失望，少帅伸手去摸梦鹤的脸庞，她笑着变成了火焰，很美。我承认，我有私心，喜欢那些为美而存在的CG，而不只是打打杀杀的魔法。     恐怖片在流行文化的构成中有它特别的位置。我们这一代人小时候总是看过几部香港僵尸片，张国荣和美得不像话的小倩，后来从电视机里爬出来的贞子，以及杰克·尼克尔森拿着斧头到处砍杀的狰狞面孔。应该说，我们是爱恐怖片的，只要它足够吸引。然而，每周一部的国产恐怖片日常，真的令人头疼。成本低廉不是这个类型的原罪，反而应该是它给年轻电影人的机会。但粗制滥造，一惊一乍，无节制的大胸血浆，弱智鸡肋的剧情就真的让观众反胃了。渐渐地，这个类型成为了被嫌弃被透支最严重的电影。所以，不看直接给一星，也成为了惯性。     在这样的环境下，有且仅有81号系列在坚持吧。专业评分6.6，本周国产片质量第一。这样的电影应该得到更客观的对待。,95.0,13.0,14
6,6,26662798,京城81号2,bc64411df4dbf2c6a373ad7e25e537a0,2186d1dc738891ed7d11c66aa49e70e7,1.0,2017-07-08 01:46:03,"这部影片的宣传噱头是它带有东方惊悚元素的巫术求子题材,沿用了第一部的古今两条平行线的叙述手法，刻画了一对恋人轮回两世的爱与恨。     抛去其俗套的叙述手法、无厘头的故事走向、毫无新意的恐怖镜头、挂羊头卖狗肉的剧情本质，如果把这部影片当做是带有恐怖元素的爱情电影，而不是不伦不类的恐怖电影的话，观众反而更容易接受。     在全片中,只有一闪而过的活剖孕妇镜头，来自女主角幻觉的鬼婴画面，红衣小女孩的莫名出现在提醒着观众这是一部恐怖片。其余时候,整个故事都沉溺于叙述夫妻间的感情危机。可是坦白来说,如果仅仅是为了达到一部恐怖片应该具有的恐怖色彩，而在影片里添加突兀的情节、令人尴尬的特效、牵强的对白,那无疑是在戏弄观众的智商。     作为一部恐怖片,《京城81号Ⅱ》并没有非常出彩的音效 ,也没有足够骇人的画面能够让人念念不忘。如果非得找寻影片的亮点的话,也只能在故事情节里进行探索发现了。     女主角与丈夫由于各自工作的忙碌、先前的意外流产陷入了感情危机，本来只是小小的一场的风波,可随着女主角入住丈夫正忙于设计的81号旧宅,事情开始走向白热化。而那段民国的爱恨也渐渐被挖掘。百年前,深爱丈夫的钮梦鹤为了心爱的人能拥有属于自己的孩子，而担下了杀害8个无辜婴儿的罪名,最终死在了丈夫的枪下。今世,她恪尽职守做了一名好医生,却意外失去了自己的孩子，自此以后患得患失常常出现幻觉。两世为人,她爱丈夫爱得深沉,也爱得忘我,本着一颗奉献的心在世俗的尘埃里落定直至被遗忘……     算了,编不下去了,就是部烂片,贼几把烂!欺骗老子的感情,还骗老子的钱,我倒要看看你还有没有脸出第三部!颗颗!",9.0,4.0,3
7,7,26662798,京城81号2,39d057bbbfba30f5a6b2f422ec4a172f,00f8be340e2090cd2978e2dc3bef5771,3.0,2017-07-07 00:12:09,刚刚看完，一也是在电影院看的。两部对比起来觉得京城81号二增加了一些特效和音效，故事结构、人物设定与第一部相似。有几个情节也非常像，比如女主追着红衣小女孩儿跑那里，女主回来复仇、男主放火那里。但是因为是发生在同一个凶宅里的故事的第二部，两个故事结构相似也情有可原，并不觉得有什么太大的问题，而且看的时候也并没有跳戏的感觉。 演员演技都是在线的，整部电影中有些尬的是阿娇演的女二，具体尬在哪里的话，一应该是嘴型对不上，二就是…演技的问题？（可之前看她演的港片感觉都挺好的啊演技也在线 所以这一点可能…就是我个人的感觉吧）觉得张智霖还是好帅啊，很温柔的那种帅，梅婷也挺适合这个角色的，温婉大方的气质又自带一点忧郁感，古装很美。说到古装，第二部改善的部分还有古装的服饰，变得顺眼多了。还记得第一部的时候林心如古装出场的那一身大粉大绿的衣服加色调…真是想不出戏都不行。 总的来说可以给个及格分，国产惊悚片，加上广电在情节上的限制，能拍成这样已经算是可以了。还有就是真的很不喜欢那些没有两部都看、没有经过纵向比较就说“你还好意思拍二”的人。中国的电影产业这些年来可能的确是存在问题的，这当中，市场发展潮流的变化，演员自身态度的转变都是影响因素。但如果民众本身就已经带上了有色眼镜，那么国产电影或许就真的没什么希望了呢。以上都是个人观点，写的时候色彩也是往浓重了写的，不喜勿喷。(˶‾᷄ ⁻̫ ‾᷅˵),59.0,10.0,11
8,8,26662798,京城81号2,1dfe9c9fe33593e42274f80a8a79c736,0c890c2d2c8312ae8cb3bf7fb9958756,1.0,2017-07-08 22:21:23,逻辑狗屁不通。第一，被文物局保护的文物怎么可以住人？第二，见鬼的宅子是不是永远不会打扫，都住了人了你扫扫蜘蛛网会怎么样？第三，耿乐那一段我很好奇，你把一个抱着婴儿的女人放在水里这么久他们怎么都还活着，你这是在研究不孕不育还是研究美人鱼！第四，谁来给我解释前面埋下的伏笔，最开始的一幕工人挖出东西的时候，有一个工人吐了，呕吐物中有蚯蚓，你特么怎么解释，他晚饭吃的是生吞蚯蚓吗？第五，最后解释所有的东西都是吸入沼气产生的幻觉，那女主角的梦境是不是由于沼气产生的？如果是，为什么她在地铁上和家里这种没有沼气的地方还是会做连续剧一般的梦？最后男主角跟她一起产生幻觉为什么两人的幻觉的这么合拍，产生幻觉不应该是各自有各自的幻觉吗？这两口子默契到幻觉都能产生成一样的，夫妻关系不要太和谐好不好。我明白导演也许是想把恐怖片拍的恐怖一点，但是也要合情合理。本来想打两星，看评论里有人说钱人豪的导演功力直逼温子仁，简直叔可忍婶都不可忍，你是拿了多少钱说瞎话。我恐怖片看的不多，但是我喜欢的恐怖片不是靠血浆的堆积和一惊一乍的音效，而是紧凑的让人呼吸加速的情节。看81号的时候，竟然有了一种昏昏欲睡的感觉。,19.0,1.0,4
9,9,26662798,京城81号2,b5d688b166b1031dba50f0c61dcba065,4c8567a1568f9304a9b80fb377ea1e36,1.0,2017-07-07 14:14:52,我的妈，这辣鸡电影。看之前我还以为这部电影6的一匹，看之后简直无力吐槽。张智霖在里面的扮相我也是无力吐槽。整部片子剪辑混乱，不好看。不是我想象中的京城81号，真的很难看。开始我准备刷二场，看完之后，刷你妈的二场。这片子刚开始我就在想，恐怖在哪里？我朋友一直安慰着说不慌，恐怖的在中间，woc，，中间真的好恐怖啊，就一具尸体？一个孩子？恐怖？真的是恐怖死我，果然，国产恐怖片真的是无力吐槽,30.0,12.0,6
