,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26710371,酒会,5d3ea4bd20cc5c259ac3e6b67c2318a6,d432ee38d61da527e8e5f542d64cd43d,4.0,2017-10-26 12:10:58,"荣升卫生部部长的中年女人珍妮特，罹患癌症的大学教授比尔，灵修导师戈弗里德和现实主义妻子艾泊罗，在同性伴侣关系中处于强势地位的玛莎和通过体外受精怀了三个孩子的基妮，神志不清的瘾君子汤姆，全程未露面的玛丽安。一场庆祝珍妮特升职的party把这些人聚在了一起，在狭窄的空间里彼此试探、挑衅、周旋直至秘密被捅破，这部获得了第67届柏林国际电影节金熊奖最佳影片提名的《Party》通过展现巨大的冲突揭示了人们生存的荒谬性……

01

主要情节

影片的开始，门被打开，短发女人（珍妮特）举起枪，黑黢黢的枪口正对观众。而后，镜头一转，音乐响起，比尔（珍妮特丈夫）蜷缩在椅子里，眼神空洞地望向门外。正在厨房做饭的珍妮特的手机铃声不断响起。



客人陆续到来。


艾泊罗（珍妮特好友）和丈夫戈弗里德从进门就开始争吵，基妮（珍妮特好友）一进屋就迫不及待地要见玛莎（基妮的同性恋人）并告知了她自己怀了三个孩子的消息，西装革履的汤姆（珍妮特好友玛丽安的丈夫）一进屋就把自己反锁进了卫生间，掏出又放回了自己的手枪。



冲突开始出现。


当七个人同时出现在客厅，交谈中出现了第一个转折点——比尔向众人宣布自己患了癌症。各个角色的行为开始变得激烈，珍妮特表示自己很悲伤并提出要辞职照顾比尔。剧情接着发展，几个人不断就比尔的病情展开争论。

￼

汤姆质问比尔为什么不说出真相，这时出现了第二个转折点——比尔说他要离开珍妮特，和玛丽安（珍妮特的下属，汤姆的妻子）在一起。珍妮特一个巴掌打在了比尔的脸上，气氛瞬间变得十分紧张。在剧烈的争论间，牵扯出了比尔和玛莎在大学期间曾经在一起的情况，基妮瞬间爆发，声称要离开玛莎。汤姆把手枪扔进垃圾桶，珍妮特意外发现手枪。

￼

敲门声突然响起，珍妮特大步迈向门口，打开门，叫着，你说你爱的是我。手枪举起，出现了开头那一幕——珍妮特和玛丽安（汤姆的妻子，比尔的出轨对象）也有情人关系，此刻门外站着的正是玛丽安。

02

技法分析

电影充满了巨大的戏剧张力，70多分钟快节奏的冲突展现更多地带有舞台表演的风格。整部片子逼近镜头很多，演员脸上的表情清晰而准确，对手戏异常精彩，给观众以酣畅淋漓的观感。


另外，由于这是一部黑白电影，隐匿了色彩的场景对光线的要求很高，而这部电影精致的打光无疑是优秀的，尤其是玛莎和基妮最后发生巨大冲突的那一段，玛莎的脸在不同时刻隐匿在黑暗中的比例和部位随着二人对话的推进不断改变，配合玛莎细腻的表情变化，恰到好处地渲染了气氛。

￼

配乐也是这部电影的一大亮点。《道格玛誓言》中有一条：“不可制作脱离画面的音响，不可制作脱离音响的画面(除非存在于现场的有声源音乐,否则禁止使用音乐)。”这部电影严苛地遵守了这一规则。剧情设定比尔喜欢听音乐，因此房间里的留声机大部分时间都在播放着不同的音乐——包括爵士乐、迪斯科音乐、古典哀乐等。不仅音乐旋律根据剧情需要营造了不同的氛围，切换音乐这一行为本身也推动了情节发展。

￼

电影的细节一方面为情节做铺垫，另一方面充满了隐喻色彩。影片中出现的第一首配乐中有一句歌词：“你要成为一个真正的男人，”为之后比尔公布自己和玛丽安的恋情埋下伏笔；珍妮特窥视窗外玛莎和基妮的对话与之后她和玛丽安同性恋人关系的曝光形成呼应……在隐喻方面，影片名字“party”一语双关，既指庆祝珍妮特升职的派对，也有政党的意思；珍妮特跪在地上安慰比尔之后抬起膝盖，拔出扎进肉里的玻璃碎片，而这碎片恰好是开庆祝酒时散落在地上的，寓意珍妮特所谓的政治成就实际上也给她带来了巨大的伤害。……

￼

03

思想隐喻

“

《Party》在光怪陆离的情节中散发着黑色幽默，同时又蕴含了复杂而深刻的思想：对英国政治的讽刺，女权主义体系下的家庭状况，同性恋人的困境和矛盾，对现代婚姻意义的探讨，当代科学和宗教的碰撞，现代人感情的复杂存在形态。当珍妮特说出那句“我觉得自己自始至终都在追逐海市蜃楼”时，荒谬感从她挫败的表情里表露无遗。

￼

这也是现代人类的生存困境。一方面，思想的解放、文明的进步给过去所谓离经叛道的行为提供了存在的空间，大多数人身上都或多或少地有着一些“叛逆”行为；另一方面，“沉默的螺旋”（见文末注释）越来越快、越来越紧，使人们不得不伪装自己的“叛逆”，在“正常”的生活轨道里，“体面”而“自在”地活下去。而这种伪装，究竟能持续多久，却不在我们的控制范围之内了。",99.0,15.0,11
1,1,26710371,酒会,a47d14840a2fa7d72f67864a5f11dc04,b83389dc925188f9ab2d2c3de0f0b113,4.0,2017-12-20 09:47:51,"去年婊姐曾经推荐过一部刷爆朋友圈的神作《完美陌生人》。 这部高分神作讲述了一场由手机引发的撕逼大战，并以此探讨婚姻里的信任与背叛。  导演和编剧用角色之间「赤裸裸的撕逼」和「教科书般的互相伤害」，让观众看完之后感到不寒而栗。 甚至有网友把此类电影定义为： 爱情恐怖片。 今天婊姐要推荐的一部刚出资源的同类型电影；主角也是七个人，故事同样开始于一场饭局；一场「大型撕逼现场秀」，就此拉开了帷幕。  电影的卡司阵容非常强大，每一位都堪称是影帝影后级。 光看这一帮英伦老戏骨互相飚戏，就很精彩。 金球奖影后克里斯汀·斯科特·托马斯（《英国病人》《四个婚礼一个葬礼》等）  英国著名实力派男演员蒂莫西·斯波，他曾经凭借着传记片《透纳先生》荣膺戛纳影帝。  瑞士国宝级演员布鲁诺·甘茨，还记得他在《帝国的毁灭》中饰演的”咆哮帝""希特勒吗？  诺兰御用演员希里安·墨菲（《敦刻尔克》、《盗梦空间》）  故事只有短短的71分钟，但导演莎莉·波特在有限的封闭空间，内不遗余力地制造剧情冲突。各种意想不到情节反转，让整部电影看起来丝毫不觉得乏味。 酒会  The Party  伦敦的一所住宅内。 女主人珍妮特（克里斯汀·斯科特·托马斯 饰）是一名在野党的政客。  珍妮特刚刚荣升卫生部部长，遂叫来自己的好友们，打算组织一次庆祝酒会。 正在厨房准备晚宴食物的珍妮特的手机铃声不断响起，似乎正在联系一位非常亲密的朋友。  但是珍妮特的丈夫比尔则有些不乐意。 他蜷缩在椅子里，表情有些呆滞，口中一直念念有词。  晚上，客人们陆续到来。 首先是珍妮特的多年好友艾普尔和她的丈夫戈弗里德，从一进门就开始争吵着琐事。  丈夫戈弗里德（布鲁诺·甘茨 饰）是一名灵修师，嘴上经常挂着各种宗教式的说教。 但妻子艾普尔却对这些说辞很反感，两人正在遭遇一场婚姻危机。  随后到来的是珍妮特的好友玛莎与她的同性恋人金妮。  玛莎是一位知名学者，在大学任教多年。 她和对象金妮之间刚刚通过人工受孕成功，怀上了三胞胎。 两个人正处在幸福甜蜜的时刻，时不时想要撒一波狗粮。  最后到来的是金融才俊汤姆，她的妻子玛丽安是珍妮特的下属。  但他却神色紧张地独自一人先到了珍妮特家，一进屋就把自己反锁在卫生间。 他居然携带着一把手枪上门，为了缓解紧张他还在卫生间里嗑了点药。  七个人各怀心事，大家都互相分享着生活近况。 酒会看似在一片祥和的气氛之中顺利的进行着，但是实则暗潮汹涌。 起因是，酒会上一直闷声保持沉默的丈夫比尔突然表示自己有事要宣布。  于是，酒会上的冲突开始出现—— 比尔声称自己患了癌症晚期，已经时日无多。  作为妻子的珍妮特表示自己很悲伤，并提出要辞职照顾比尔。 毕竟，没有什么事业比自己深爱的人更重要。  好友都沉浸在巨大的悲伤之中，几个人开始针对比尔的病情展开讨论。 但珍妮特的好友们个个是戏精，而且每个人都是跑题小能手，分分钟把话题扯远。 先是从质问比尔为什么一直没告诉大家，然后又聊到比尔为什么选择私立医院看病，而没有接受正规的专科医院的诊断。  灵修师更是痛斥西医是伪科学，只有宗教才能够救赎世人。  于是大家开始就本国的医疗体制发表意见，甚至不忘督促珍妮特荣升卫生部长之后能够以身作则，改善民众医疗条件。  至于作为病人家属的珍妮特则悄悄地将铃声一直在响的手机关掉，并给对方发了条微信：： 比尔生病了，我们分手吧！  无论是多年的好友，还是最亲密的妻子，似乎没人真的在意比尔身上的疾病。 在场的人，唯一感到愤怒的是金融家汤姆，他似乎有很多的难言之隐。 





 随后，比尔又曝出了一个堪比“周一见”的大新闻： 比尔表示自己和妻子珍妮特的感情已经走到了尽头。  他现在要去追求真爱了—— 他的真爱正是珍妮特的下属玛丽安，也就是金融家汤姆的妻子。 所以汤姆从酒会开始就愤怒地快要失控一样，他当然不可能原谅这场出轨行为。 珍妮特更是瞬间影后附体，完全忘记了自己也在出轨这个事实，立刻一个巴掌打在了比尔的脸上质问丈夫： 我这么爱你，你居然背叛了我们的婚姻。 





 酒会的气氛开始变得剑拔弩张，这场好友之间的聚会瞬间升级为大型撕逼现场。 越来越多的猛料被挖出来—— 有妇之夫和有夫之妇之间的这场出轨大戏开始于两年之前。 而珍妮特的好友玛莎其实一直是知情人，并且主动为自己的丈夫提供了偷情的寓所。  理由更是清新脱俗： 你丈夫在别人家偷情，总好过在你自己家偷情吧！ 珍妮特崩溃了，我把你们当姐妹，你们却如此对我。  比尔则对妻子珍妮特会心一击： 她（玛莎），首先是我的朋友！ 我跟玛莎之间大学就分享一起拥有的东西，无论是爱情，还是物质……  得知自己的真爱居然和男人有一腿！金妮也瞬间爆发，声称要离开玛莎。 这对同性恋人之间的怀疑和矛盾，让这场撕逼不断升级。  一时间，剧情急转直下，将房间内的七个人推向了一场毫无退路的荒诞闹剧当中…… 《酒会》是一部用喜剧外衣包裹之下的中产阶级悲剧。 电影的整个故事都发生在主角一所小小的房间内，所有的故事和人物线索都靠演员的台词和表演来交代完成，颇有一点室内舞台剧的感觉。  整部电影以黑白色调构成，但每一个场景都显示出导演的精心设计和调度。 在这个密闭空间里的，展开了一场关于人性的考验，所有人都感受到了绝望，背叛，与恨意。  尤其是影片结尾的反转，不仅与开头呼应，更加令观众感到深思。 敲门声突然响起，珍妮特大步迈向门口，打开门叫着： 你说你爱的是我。  然后对着镜头，举起了手中的手枪。 这个主观镜头无疑是影片的点睛之笔，作为重要故事推动的玛丽安始终没有出场。 





 但观众却不难联想到珍妮特和玛丽安（汤姆的妻子，比尔的出轨对象）也有情人关系，导演以此撕开了每一个角色背后的伪装。 整个故事以玛丽安的电话开始，又以玛丽安的敲门作为结束。 婚外情、欺骗、背叛，一个个冲突就像连环杀人案一样发生，每个人和每个人之间都盘根错枝地交错在一  尽管是同样涉及到了爱的背叛与怀疑，但与《完美陌生人》更侧重于人性的剖析不同； 这部《酒会》则充满了英式自嘲与黑色幽默，以及创作者对于当代社会中的种种固化观念的反思。  影片的片名The Party，可以说是一语双关—— 表面上是指这场酒会，但从影片内容的政治隐喻来看，其实也意在讽刺英国的政党。  无论是政治、宗教、亦或是同性爱情和女权主义，导演都持有一种怀疑的态度，让观众在笑过之余感受到故事之外的辛辣的讽刺与批判。 电影从头到尾都似乎在讽刺着中产阶级的虚伪和市侩。 主角身份各异，包含了政客、知识分子、女权主义者、宗教主义者、金融家等。他们卖弄学识，卖弄权势，关于社会问题的观点和吐槽饶有趣味。  但当这一群彬彬有礼的“上层人士”撕破脸，每一个伪善之人都终将跌入自己的道德深渊。 就像那句老话一样： 爱情经不起考验，人性更是如此。",60.0,13.0,4
2,2,26710371,酒会,1cd03e8290969efcf845c521090a206a,6c5d50e7e28bf5b4319fa47c58e0483a,5.0,2017-11-11 00:04:49,这部70分钟的电影在珍妮特开门举枪的时候戛然而止，张力恰到好处，从中我们可以看到莎莉波特对美的追求， 就像她在探戈课中的雨中舞。也许在她心中，一切都是探戈，是激情与优雅、搏斗与妥协、披着现代文明的原始冲动。 本来不想写什么，只觉得电影近乎完美。但总有人恶言恶语，说这部电影怎能让“华语记者集体高潮”，忍不住回应几句。 电影篇幅不长，却涉及了现代文明的许多方面：浪漫主义、现实主义、唯物主义、唯心主义、女性主义、男权主义、女同、一夫一妻、友谊、爱情、生育的意义等等。导演并没有站在形而上的角度去讨论这些“主义”，她只是走下象牙塔，坦诚地与观众分享知识分子的困境。片中这些大学教授、政府官员、金融行业从业者，运用半生所学知识和思考，也无法解决“死亡”这个千古难题。 或者，是否上帝造就天堂，而人类只创造地狱。因为我们的思想，我们得以进步所依赖的知识，跟不上我们创造现实问题的速度，无论什么主义，也无法一劳永逸。作为“知识分子”，他们，或者我们，只能自嘲，轻描淡写困境与绝望，冲突与背叛，像一场杂乱无章的华美乐章。 正如伍迪艾伦所说：Everything is about sex except sex. 女同性恋隐藏的家庭冲突，出轨妻子对丈夫的误信，可笑丈夫合理的一面，都说着：生活并非是看上去的样子，我们其实一无所知，处处充满陷阱，又处处充满惊喜。男人和女人、男人和男人、女人和女人，他们之间的爱、恨、厌恶、报复、喜悦、无奈、感激和无奈无非都源自人类原始的冲动，是碰撞、激情、吸引、搏斗与征服。 实在不理解，影评为什么非要把导演拿来比较，写影评的我们并不比导演高明，也许你是，但至少我不是这样。导演将作品交给观众，你若欣赏，看到的是作品本身。在我看来，买白菜才会比较，因为白菜有好坏，吃了坏的，要不得。作品能打动你，让你笑，让你哭，让你能有所思考，就是好作品。 观众也许不懂什么“主义”，不知道波兰斯基，但我在影院听到不绝于耳的笑声，看到座无虚席的观众。我不知道你有没有高潮，反正我有。 谢谢导演对肉体凡胎和世俗生活的宽容和热情。 向你致敬！,24.0,2.0,3
3,3,26710371,酒会,0733c88235764e1f892e00d80587a5ce,99bf843bc5132202fbf211d32b605dd6,5.0,2018-04-21 21:15:04,你会好奇神秘玛丽安这个女人到底是什么样的女人？戏剧般的酒会每个人各自狰狞的真实的面孔淋漓尽致，唯独玛丽安只有其他主角的只言片语塑造出了一个模糊的形象。像是一个十分了不起的女人，拥有3个真心爱他的人（男人和女人），金融家丈夫象征金钱，思辨家比尔象征纯粹的爱情，政治家珍妮特象征着权力、地位。某种程度上玛丽安追求并拥有了金钱、爱情与权利，而一场闹剧之后一切都化为乌有。，最后就像bill说的“我们为什么会变成这样？“人性本贪懒啊……,7.0,,0
4,4,26710371,酒会,8d11c248e222de7b1d9f4eee0153b00b,66d95aae9849c383d3b8856fa3b43526,3.0,2018-01-10 16:34:39,银幕舞台剧，其实最早就是拿胶片纪录舞台剧的表演，外有《王子复仇记》，中有《茶馆》。后来慢慢也注意一些电影语言的运用，正反打镜头、推拉摇移。让画面不那么呆板。然后场景上也稍微改换，让观众在视觉上有点新鲜感。  《欲望号街车》、《驴得水》属于这一类。再往后，还有非改编的，直接用限定的时空拍摄的故事，我能想起来的比如《男人来自火星》、《慧星来的那一夜》、《梦想照进现实》等。   银幕舞台剧有如下几个特点吧：1.必须是在限定性的空间进行，故事通常发生在一个房间里，有时再加上厕所、厨房——像这部电影就是。2.时间限定在现在，几乎没有闪回、主观性回忆等方法。3.人物关系紧密，戏剧冲突强烈。4.表演上，演员情绪饱满，具很强的话剧表演痕迹。5.故事一波三折，结局反转。   纵观本片，也具有如上特点，它的好处是紧张而富有戏剧性的故事，容易吸引观众，一气呵成地观影，直到电影结束。但此类电影有一些技术上的难点，不容易处理得好：   1.强烈的戏剧冲突会让故事的可信性下降。一个人要升官了，她约几个好朋友来吃饭，结果正巧她丈夫得了不治之症，而丈夫女朋友的老公也刚好知道了此事，前来寻仇，而做为同性伴侣的另一个好友，马上要有自己的后代......太多的巧合，太多的交错的反转再反转，看着很热闹，但很容易让观众觉得这是一出不可能发生的闹剧。也必将削弱影片的严肃性。   2.想说的太多，语焉不详。女部长上任，对自己的政治理念的实现和现实政治活动的意义存在幻灭感，不知道自己工作的意义。好友女同就抚养子女的问题有所希冀也有所疑惑（这部分是全片表达最不好的，也不知她俩到底有什么矛盾）。老公的重病本来让女部长内疚于自己长期对家庭的忽视，但突然曝光的出轨事件又让她怒不可遏（拜托下次一定找一个稍微有点个人魅力的大叔来演这角色，现在这个形象也太邋遢了）。再加上一个嫉火中烧，熊心鼠胆，情绪极不稳定的带绿帽子的老公(现代版哈姆雷特)......故事主题凌乱，不堪疏理。   3.过于戏剧化的安排使故事走形。为了让女主最后拿到那把枪，电影是怎样安排的？首先，让金融绿子一会儿把枪从衣服里扔到垃圾桶一会儿又捡回来，然后又扔。然后，让关键性丑闻出现时正巧派烤糊了。再次，也是最搞笑的一笔，让正在焦头烂额，悲愤交加的女部长，突然去倒掉烤糊的点心，以发现那支她在片尾举向观众的手枪......   4.表演过火，夸张到失度。这种强烈的戏，演员的面部和肢体动作都会比较夸张，难免的。但要加上大特写来表现，观众就会觉得很不舒服，所有人好像都疯了一般。这在舞台上是不会出现的，毕竟只有一个第一排。而且观众在现场看表演和面对银幕，心理上的定位是不一样的。在那里是常规表演，在这儿就歇斯底里了。   总之是部过得去的片子，去掉所有外景，不加入抒情性的镜头，让我来给你讲一个酣畅的故事的冲动会一直有吧，不信看《狗镇》或者《穿裘皮大衣的女人》。这部只是稍差，我给三颗星。,7.0,1.0,2
5,5,26710371,酒会,9c5b1aa7fdcc4f81d0e93e60c2d40887,8f2b0cae1d8a4ff4c819615381855965,3.0,2017-11-22 22:17:43,维珍尼亚．吴尔夫(Virginia Woolf)的《奥兰多》(Orlando)，里头有一句话是这么说的：“因为她对两性同样吹毛求疪，仿佛她不属于任何一个；而且，目前她也的确摇摆不定。她曾经是男人，现在却是女人；她知道每种性别的秘密，也和他们有同样缺点。她的心理状态是最为难、最纷乱的。”   就在看完莎莉．波特(Sally Potter)的新作《酒会》(The Party)之后，脑海里浮现了这一段话；也正因为自己的确观赏过《奥兰多》，对于出现在她电影里那雌雄莫辨，身理是女性、心理可能却比男性还要刚毅的特征，显得格外眼熟。   对于一名女性主义、或称女权主义者，想借由一部电影来表述自身的观点，在今天看来并不困难；难却难在要如何藏匿于广大观众的眼皮底下，说一个只有少部分人明白的事情。这方法作为一名作家、编剧或电影导演，都需要一定程度的经验积累，与一身好功夫。   关于这一点，莎莉．波特(Sally Potter)的新作《酒会》(The Party)明显地作出了验证。用一场通俗的灾难性喜剧(有足够的英式幽默撑着)，包裹着一场对社会机制的测试性讽刺。电影名称The Party似乎再明显不过。表面是一场菁英、知识分子，所谓达官贵人的热闹聚会，为的是庆祝珍妮特(Janet)荣升影子首长；台面下却是暗潮汹涌，议题将出轨、黑金、同性的社会福利、议会政治的官僚体制做了全面性的批判。    电影的主题说穿了就是“貌合神离”。珍妮特与丈夫比尔(Bill)多年婚姻的貌合神离；执政与在野党的貌合神离，以及右倾思想与左倾同志们的貌合神离。我们当然也可以将《失控派对》拿来比做英国与欧盟的貌合神离(脱欧)。对朋友来说，珍妮特(克莉斯汀．史考特．汤玛斯Kristin Scott Thomas)是21世纪后现代女性主义的完美实践者，或梦想家。但是对于莎莉．波特的观众而言，《酒会》只是透过“派对”(Party)这个资产阶级的社会功能做出批判式的审视。想当然耳，珍妮特多年的艰辛与奋斗，实则得不到丈夫比尔(Bill)一丁点的体谅，甚至衍生出二者出轨、貌合神离的后现代婚姻生活。   莎莉．波特极擅用历史典故来映射剧中人物角色，《酒会》也不例外。其次是电影核心围绕着一对女同情侣，多元成家的身心理矛盾不胫而走。如果大家有关心去年英国人类受孕及胚胎学管理局（HFEA）在人工受孕上取得巨大突破这则新闻，便会明白莎莉．波特在这两个角色上的细腻琢磨。   有鉴于去年七月德蕾莎．梅伊(Theresa May)继任成为英国史上第二位女性首相；再者英女王伊莉莎白二世一甲子的漫长在位；你可以想见提摩西．司伯(Timothy Spall)这个女权者丈夫的角色有多么地传神。另外我对席尼．墨菲(Cillian Murphy)身处于政治圈这场聚会晚宴的突兀存在，或多或少仍保留一丝政治丑闻的影射与讽刺也说不定。   整体而言，七十余分钟，莎莉．波特点到为止；不把故事说尽说破，好留给观众迳自去思考与联想也不为过。电影的黑白镜像由俄罗斯摄影师Aleksei Rodionov操刀，光与影的精准拿捏也是值得赞许的。至于电影音乐，个人认为是一种刻意舒缓剧情冲突性的巧妙布局；倒不如过去那般出色了。(如《探戈课 The Tango Lesson》的精湛探戈舞曲),7.0,1.0,0
6,6,26710371,酒会,e20210326c830ad04aa6d00de1e7aab4,84926cd87928bc752fdd01376f2423f0,4.0,2019-12-05 12:42:16,"从人物着装的角度，或许也可以对《酒会》进行一定的解读：

着黑装的艾珀尔是冰冷的现实主义倡导者，表现在对英国议会和医疗体制的强烈不满、对宗教信仰的嗤之以鼻、推崇现世报而教唆珍妮特谋杀亲夫；

着白装的玛莎与珍妮特则代表着对乌托邦式生活的追求与幻想，表现在玛莎对比尔与玛丽安婚外恋情的理解与纵容，也表现在珍妮特对美好政治理念的追求；

着灰色马甲的戈特佛里德则是不可知论的推崇者：他一面笃定西医无用论，一面又认为西医确实能够治愈疾病；一面认为人体能够自愈，一面又承认一些事情人们力所不能及。他认为他的观念能涵盖世间一切，同时又将人类的求知欲全部抛给所谓的信仰 。这也是他的伴侣，极力追求效率与实用的艾珀尔所不能容忍的； 而比尔与汤姆曾是理性主义的拥趸（当然二者的理念又有所不同）。但在比尔被医生宣告死刑、汤姆遭遇出轨后，经过戈特佛里德的布道 ，他们的信念也遭到了极大的冲击甚至转变，因而影片中他们的衣服表现为深色与浅色并存；

影片后段，导演特意给了玛莎脱下白色外衣、露出黑色衬衫后开始吸烟的镜头。这影射出玛莎对于自己所做所为的反省——理想主义者在践行自己的信念时，时常不顾当下社会的一切理念与实际情况，进而导致或者加剧了一个家庭或社会悲剧的产生。 但现实主义就一定好了吗？正是因为艾珀尔具有现实主义色彩言论的推波助澜，珍妮特才在最后有勇气举枪射杀玛丽安；也正是因为有了现实主义悲观言论的负面影响，理想主义的政治领袖最终将自己的政治抱负停留于口号上，沦为了平民眼中所痛恨的政客。 到底如何才能阻止悲剧的发生？如何才能在乱序之中厘清思路帮助社会前行？在结尾处，导演将这一复杂的课题抛给了观众。或许这个课题永远不会有一个统一的定论——但当我们开始全面且客观思考这一问题时，我们就已经开始向正确的方向前进了。",2.0,,0
7,7,26710371,酒会,1dd5de4b4ed3b70e9afac8e6e6e7da56,95eb8b47510ba446053043078786152d,4.0,2017-10-25 20:50:37,sex knowlege polity economy 在自我认知领域范围内的作用，往往被自己忽视。性在人与人之间的交往中通常被忽略不提，由于传统或者由于自我意识。性与欲望往往被自己看作是内心最隐蔽的地方，所以不加审视便容易被误解为自我意识的真正面目。从而可能做出一些违背道德，不负责任的行动来。  换个角度，举个影片中的例子来说：Bill过去的一年和玛丽安偷情，自以为她喜欢思想，他们是为了爱情，而在最后一段当他活了过来以后对他的妻子的第一句话是：为什么我们变成了这样。表达了自己的后悔的情绪。他们做了不该做的事情。  这些不该做的事情为什么做了？因为他们错误的判断，认为其背后那些东西才是他们真实的自己。然而错误之处在于对日常道德的轻视和违背，以及由之而来的责任的缺陷。  怎么解决这类问题?我觉得还是真诚的互相表达，尤其是对自己亲密的人的坦诚是最为关键的。这样可以多一面镜子，更好的面对问题。还有，如果一定要加个保险杠的话，那么不妨使用政治类的思想，当二人结成婚姻的时候，放在桌面上约束或者称之为规定 虽然表面上显示是有悖爱情，然而深入思考的时候会发现这不过是让爱情更加甜美的一个工具而已。,3.0,,1
8,8,26710371,酒会,942f81d92bce05b2fb72dff2dd85d2b5,c2f467ba94d8bc6272f86b8f88f6dcfe,5.0,2020-01-27 19:27:55,The Party 这部片子真的从头到尾贯彻了讽刺的主题，就连片名都是双关，甚至是多义的。一方面，party是聚会，或者中文译名“酒会”的意思；另一方面，party是指这个小团体的分裂；最后，party还是片中反复提到的那个女主代表的腐败的，走下坡路的政党，往深了说，更是对英国整个政治体制的讽刺。 黑白片 为什么是黑白片？我们能够明显看出本片有很强的舞台剧色彩：大量的对白，各种对现实的隐喻，有限的空间。而黑白的设定能够更加突出光影，放大演员的面部表情。运用一些打光的技巧，还能突出人物的两面性，表面的光鲜和不为人知的罪恶。以上种种，更能凸显矛盾冲突，强化本片的舞台剧气质。 非常规的长宽比 在观影过程中，很难不注意到这一点：本片比一般的电影在画面上要“宽“一点。Think about it.这种长宽比能够容纳下更多的人物，利于群戏的发挥。当多个人物在画面中出现时，观众更能感受到这种强烈的，充满压迫的矛盾冲突。 非常规叙事 在电影开头，一户人家的家门被拉开，出现了一个愤怒的女人，她扣动板机，画面戛然而止。然后开始常规线性叙事。这个悬念让观众困惑：她是谁？她要杀谁？她为什么要杀这个人？第一个问题在之后的剧情中能够得到解答，而后两个问题直到影片的最后一幕才揭晓。结构上，首尾呼应，画面的反复显示出剧本的精巧；内容上，最后一幕的解答构成了剧情的反转，恰到好处的结尾留下了回味的余地。 关于人物的细节 Janet：她总是喜欢把手机放在自己的衬衣领口。这样的话，她就可以及时取用，她想第一时间check情人的信息，同时这个稍显私密的位置也让他人偷窥她秘密的可能性降到最低。 Tom：在他和Gottfried的对话中，他一直强调他是一个winner。或许，他之所以对被绿感到愤怒，不仅仅是因为对妻子的爱，还是因为被绿的事实让他这个精英人设蒙上了一层loser的阴影。 断断续续的音乐 为什么说断断续续？纵观全片，导演并没有特别加配乐。所有的背景音乐都来自Bill的蓝光播放器。这样可以增加电影的可看性。正如前文所说，这种大段对白的室内片，很容易造成观众的审美疲劳。这也是《十二怒汉》为什么神作的原因。 政治讽刺 片中角色时不时会cue到政治制度，这个时候结合时代背景就很重要了。《酒会》的上映时间是2017年，英国公投结束不久，公众对政府，乃至体制的不信任达到了顶点。也难怪April会说，“不是所有争论都可以用投票摆平的”。,2.0,,0
9,9,26710371,酒会,b728207d1afb75662d091f0d7b4c25c4,cb75ac3caaab242426f0715793a4a310,3.0,2018-04-11 10:02:24,"个人并不是很喜欢这部电影，有些桥段的转接其实蛮生硬的，有点像在看话剧。每个人的每一段台词都很有情绪的表达出来了，ZZ背景不同所以少了很多共鸣，只觉得每一个人都很浮躁甚至是暴躁，观影体验蛮差的。

情节倒是流畅的，环环相扣。主线是ZZ，副线是爱情，但其实更多的是关于爱与同性恋与性。八个人搞得友情爱情乱七八糟的，其实挺无趣的。剧中人探讨的人生我思想的觉悟、高度还没到那个层次，欣赏无能。",18.0,,0
