,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26711487,决战食神,c3c9c1f1e926f2e3b50ecb4a683b4f43,19d2e3c095d5c736da8022c2feed3cec,1.0,2017-02-14 21:54:36,周末刚陪老妈看了，趁热赶紧絮叨两句，生怕再过两天就忘了。   我还是挺佩服叶伟民导演的，能把这么烂的剧本来出来，并且能让人看完真是不容易。   这部剧想表现的东西太多了，明明是个长篇电视剧的本子偏偏压缩成部电影，所以你能看到很多交代不清、一笔带过、没头没尾、东一榔头西一棒槌的情节稀里哗啦的全放一碗里，按我们天津人说，这叫折箩。   这毕竟号称是一部美食电影是吧，那我就说（tu）说（cao）里面烹饪的部分好了。   刚上映的电影，也没什么高清食物剧照，我就从预告片里的几道菜聊聊吧。     看似煎蛋确又不是煎蛋，利用分子料理的球化技术和凝胶技术制作了百香果的蛋黄和椰汁的蛋白。如果这是一个10年前，阿不，哪怕是5年前的片子都勉强说得过去。可这是不16年拍摄17年上映的片子啊！做这个的是一个世界级的大厨呀，是给欧洲某国王室做过料理的主厨呀，用一个10几年前的技术做出一个烂大街的前菜（其实是甜品，你见过先上甜品的fine dinning餐厅么？）真是……说你什么好……简直是气死我了。     接下来这位主厨又做了什么呢？     这位主厨看了谢霆锋老师做的『葱爆牛肉』后就湿了，于是即兴弄了个牛排，用喷枪喷了一下嘛，原汁原味嘛，那你倒是说说下面的黄色和绿色的物体是什么？你什么时候做的？   好，暂停，让我们往前倒大概5分钟好了，这块牛肉和谢霆锋老师用的是一样的，都在水浴锅里sous vide的牛肉，当时我刻意留意了下水浴的温度，57°C……   怎么说呢，这是块A5的澳洲和牛（毕竟日本牛肉不让进口）就看起来似乎还是块rib eye，你本来是准备用来做牛排的，那么57°C大概是个什么概念呢？     考虑到还要二次加热，那么57°C的牛排大约是个medium的熟读，也是很多人习惯说的5成熟。怎么说呢……作为一个顶级的法餐主厨，不是说不能做5成熟的牛排，只是……可能会被一些同行笑话吧     从谢霆锋老师这份加厚的『葱爆牛肉』不难看出，谢chef的铁板烧功力还是不错的，嗯嗯。葱爆？我是没见过这种块儿的……也许是创新菜吧……   哈！接下来就更扯了，先是谢霆锋老师和上面说的主厨的PK     主厨现场做了一份鹅肝酱……现做的哟~棒棒哒，当然所谓规定时间在这场对决中基本上是可以无视的，你看看谢霆锋老师做的那个，更不用考虑时间了对么。   可是呀，作为一个这么厉害的chef竟然选择前菜来对主菜，这……挺不专业的吧，而且竟然因为底下点了片菠萝就被评委夸『这真是中餐与法餐的完美结合呀』……   哈？？？   紧跟着就是谢霆锋老师因为衣冠不整被判输了，然后超牛逼主厨莫名其妙的失去了味觉，接着被自己ib老板NTR之后，前女友变成了新敌人，于是他毅然决然的和谢霆锋老师变成了新CP，并一同前往挑战食神的比赛了，当然前女友也去了，虽然不知道how？   那我们就说说这个食神比赛吧，5组PK胜者与大魔王，哎不对，食神1V1   印度团队做了个奇怪的五色咖喱……   拜托，印度人是不用咖喱形容自己的食物的，masala就是masala，vindaloo就是vindaloo作为一个『美食』剧能不能稍微的专业点？   然后法国队做了个鸽子还是鹌鹑的东西？成品一扫而过完全不明所以，炮灰都灰成了这样也真是挺心酸的。   日本队做了寿司……    哎……用对温度如此敏感和及时性的料理来作为比赛菜拼不知道是厨师不专业还是这部剧不专业……     接下来就到我们两位主角好基友的料理了，分子冷麻婆豆腐。   现磨豆浆卤水点豆腐，然后加入豆瓣酱做成大理石花纹……估计谢霆锋老师是没自己做过豆腐，于是想当然的脑补了很多东西，如果用卤水点过的豆腐凝结后是成絮状的半液体，你这个时候加什么汁儿都不会出现这种大理石芝士蛋糕时的样子。   上面那个球我记得是油？还是汤汁？（有记忆力好的同学请帮帮我）如果这个液体里面含油脂的话，那么这个球（反向球化技术）是做不成的。   冷麻婆豆腐……你出门不怕被四川人用棒槌砸死么？   看来看去还就是我们韩国大厨的前女友那个东西还想回事儿，可惜呀，也没怎么说就过去了，  看上去像是用麦芽糊精和调味汁做的雪，配了黑色的鱼子酱（如果是真鱼子酱的话那可是够廉价的……）三种topping的另外两种不得而知……毕竟剧情也没介绍╮(╯_╰)╭     最后与食神的1V1更是可气。作为一个食神，比赛的作品是个糖艺……这是食神对决啊，不是【Top Chef Just Desserts】的录制现场啊，食神的儿子小食神谢霆锋老师做了碗面之后他就……走了……走了……简直是气死我了(╯‵□′)╯︵┻━┻   这部片子真是处处表现了不专业，里面充斥着中餐沙文主义的政治正确观点，我相信这部片子会火，毕竟他的受众就是多呀。           仔细看看中国这几年的所谓『美食电影』制作之糟糕，团队之不专业，真是让人心寒的很。想想当年的【金玉满堂】（或者叫满汉全席）和【饮食男女】不免叫人唏嘘呀。刻意看了下，发现『美食总监』就是谢霆锋老师他本人，难怪呢……和【金玉满堂】可怎么比啊。   和国外相比，【落魄大厨 】【大厨】【米其林情缘】这些剧情虽然老套但是至少内容是专业的，这些不比，看看【燃情主厨】虽然内容不专业，但是好歹人家能把话说利索了呀。   要我说这个【决战食神】真是……什么东西！简直是气死我了！,248.0,28.0,48
1,1,26711487,决战食神,bf73459f8bd002ff484428b2d35f8cca,0b2beb294e4a88447aed40b972892888,2.0,2017-02-09 23:44:03,"2月8号cbd万达看的点映。因为坐第二排，观影过程很痛苦，恨不得躺下来。万达的3d眼镜大概是给外国人设计的，我等塌鼻子全程只能扶着看。

题外话，见面会演员导演编剧都在站台，只有谢霆锋葛优被关注，全程导演编剧被无视。在此，明星效应固然重要，但希望大家能够给幕后人员给与更多的关注。

电影情节很简单，升级打怪型，一言不和就比赛，全程大概2分之一都被竞技综艺占据，看着恍惚觉得自己在看电视比赛节目。

主角高天赐（谢霆锋）在春风里弄堂经营着一家叫做七记的小店，手艺备受邻里推崇。男二安保罗（郑荣和），米其林三星主厨，为了向故乡介绍真正的星级美食，回国创业，在七记对面开了一家餐厅，叫摘星。全片主要围绕着两个矛盾点展开，主线是传统美食与星级美食博弈，及，高天赐为了保住七记以及传统弄堂而与安保罗的厨艺比拼。次线是父子的亲情博弈，高天赐为了证明自己，以及寻求父亲的认同感（这一点到后期已不重要）而不断升级打怪，最终挑战食神。

全片最让我印象深刻的场景是葛优和两个小和尚的对话。

葛优大爷一脸认真的评价的说，这个馒头，火候过了，揉面时间短了balabala。
小和尚一脸崇拜，施主神通，吃个馒头都能看出个前世今生来。可是，这麦子我自己种的，面亲手揉的，我觉得，这就是世界上最好吃的馒头。

我突然想到大一文学课提到过的一篇梨花体诗，
《一个人来到田纳西》
毫无疑问
我做的馅饼
是全天下
最好吃的
这诗被我们讽刺了数年，但当时我第一时间想到了它，不知道编剧的灵感，是不是来源于这首诗，还是来源于所爱的人亲手做的美食。

同理，最后时刻，高天赐与食神父亲对决，我一直在想要用什么鬼斧神工，奇形怪状，超凡脱俗的美食才可以镇住最后的结尾。曾一度以为，高天赐要做馒头一决高下。然而，意料之外也是意料之中，一碗小时候的拌面，化解了父子间的隔阂，也诠释了美食的深层含义，除了色香味俱全这些物理元素外，最打动人心的，永远是那些触摸不到的感性因子。

当然，整部影片逻辑混乱，（可以看出想表达的内容很多，但很多都是点到为止，没有深入细化，反而把大部分镜头都给了厨艺比赛）一言不和就旮厨艺也是让人无法接受。最后主持人问大家想不想再看一遍，离导演编剧再近我也没法违心地举手。",98.0,21.0,18
2,2,26711487,决战食神,7a58363246bec9da441e37fd297705fc,d5208384ad72e5199c68768e6c17594f,1.0,2017-02-14 23:23:42,～剧情梗概：谢霆锋--春风里的黑脸小厨神，深通中式烹饪之道，小时候被爸爸抛弃，于是暗暗发誓要成为食神的男人。男神郑容和--米其林三星大厨，看不起保守老派的中菜。     有一天，帅气的男神来到了小谢所在的春风里，开起了餐厅，挑战起了传统菜色。两人开始撕，然后和好，然后一起打怪兽升级，最后该赢的赢，该拜年的拜年⋯⋯  一波吐槽能量开始攻击⋯⋯啾啾啾啾啾啾啾啾啾啾啾啾啾啾啾   迟了十分钟  感觉也没错过什么  正好赶上刘昂星，不，小谢和男神在尬鱼🐠  一脸蒙圈，开场架也省得吵了？！  两人不分上下  只能约定在厨神大赛上一决高低。  赌输了的人要搬出春风里  ！！！我就气了怪了？！  一场比赛输了还不让我开店了？！  什么逻辑你说说你说说！！！  然后唐嫣作为出场镜头不超过三分钟的女一就开始不开心啦  小谢就要满满一碗心灵鸡汤一脸慈祥地安慰她啦：  （蜜汁尴尬的三分钟）  爱吃田螺的人不一定爱吃蜗牛  爱吃蜗牛的人不一定爱吃田螺  蜗牛和田螺，田螺和蜗牛，  又有什么可比之处呢？😀  大概女主也不知道他在说什么   此时男神请小谢和女一吃饭  饭才吃到沙拉，两人又尬了起来  小谢biubiubiu地弄了一盘葱爆牛肉  男神shuashuashua地搞来一盘和牛  小谢觉得输了，扭头离去。  ！！！EXO ME ?还没吃呢？这就输了？  此时男神吃了他的葱爆牛肉一口，脸上出现了耐人寻味的表情  ！！！好奇怪哦、后面明明说他失去味觉的  这个时候也不知道是不是被小谢的牛肉给毒到了  接着两个人上了比赛  ！！！所以前面那段尬牛肉是在凑时间吗？  既然尬输了中间不用穿插点什么苦练厨艺的镜头什么的呀喂  比赛上，想也不用想是小谢输了  理由不重要，反正他不输后面剧情没法接  反正评委是伊一！！是伊一？！！！   于是小谢就很低落啊躲着不出来啊  那群小坏蛋就开始逼着他们店铺转租啊：你们之前打的赌可是有法律效力的！  小谢那群人：别欺负我们不知道法律  这种赌根本没效的？！？  ！！！既然没用你们比的那么开心干嘛！  既然愿赌又不服输   那你们之前就别随随便便答应人家呀喂！！！  另一坑爹的一方，男神被发现原来没有味觉，被人踢出局，女友也转向小坏蛋老板怀抱  还要代替他出赛  ！！！我也奇了怪了！  姑娘啊！你长点心啊  他没了味觉厨艺还在啊！  没了厨艺颜值还在啊！  跟了筷子兄弟是什么梗啦！！！  然后伤心的男神和伤心的小谢走在了一起  决定联合参加决赛  ！！！所以前面男神带着他女友上不就行啦  他老板要炒掉他的梗到底有什么意义？！！！  决赛上，印度的-欧洲的-日本的-女友的-要和刘昂星，不，小谢和男神pk  菜色也没点评一下就把冠军给了他们😀  ！！！前面尬厨艺尬太多后面时间没剩多少了是吗？！！  尊重一下其他选手呀喂  大老远跑来的不用路费哦  最后女友那娇羞一哭是什么鬼啦  台上国内的三线主持人哪来的资格主持世界赛事啦  观众全程喊主持人名字干嘛啦  他又不是偶像明星啦  美食电影也没要求你有特技可是你后面观众用不用p那么假  看个比赛全场人晃一天不累吗？！  比赛后，男神就说我不参赛了  他把机会让给小谢  合着你前面参赛是为了什么？！  所以小谢从头到尾靠着蹭蹭蹭蹭到决赛的吗？！！！！   反正默默吐槽完   小谢终于迎来了他爸--食神  他爸从小不要他  他爸在全国观众面前不承认这个儿子  然后他爸还嫌弃他儿子：  你看看你那副臭脸   全世界谁不知道我们是父子？！  ！！！EXO me？我真的不知道啊？！  你不交代一下我们怎么知道嘞  煮个菜你还不认儿子了！？逻辑在哪  反正父子间决裂的感情终于迎来转机  别看我全程忍着笑  这一段我可是很期待的！  爆米花都不敢吃的！  然后小谢在赛场上开始了回忆杀  ！！！啊啊啊啊啊   作为一档正经的综艺节目，不，电影  回忆杀略显长呀喂！  也没什么营养啊这一段！！！  前面也没铺垫一下突然整了一碗面是怎么回事？！  周星驰的叉烧饭好歹也有前后呼应呀喂！！  谢霆锋的站姿敢不敢不要搞得那么酷啊！好chok哦  反正这b我不看  我还是专心看他老爸飙厨艺好了  只见他气沉丹田，嘴角微微上扬  然后掏出了一块⋯⋯⋯⋯  石头？！？！  没事的我安慰自己道  里面一定内有乾坤  他拿出一块啫喱状的东西  开始捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏捏  捏出了一盘风景盆栽来，  小心翼翼把石头放中间  不错不错 配菜都这么漂亮了  好期待内  然后评委开始品尝  于是大家开始掰他的风景盆栽！？  麦芽糖吗呀喂？！！  隔空都看到是色素呀喂'？！  那个女评委分明没有吃好吗？！  掰了一口放在手心而已好吗？！  敢不敢吃给我看啊！？  你们整盘吃下去后看你们得不得diabetes啊！！！  看不下去之际  小谢终于做好了他的面  然后  然后  然后  他拿到了他父亲面前给他品尝？！  按照尿路 父亲吃完很欣慰  啊 我的狗蛋儿子终于知道什么叫美食啦  于是小谢帅气的转身离去⋯⋯  所以全场虚拟的观众在欢呼什么鬼啦  所以你们花钱是看儿子煮面给老爸吃的吗？！  所以到底有没有尊重一下评委蔡澜先生！！？蔡澜先生！？！！  所以老人家一把年纪的拍个电影容易吗？！！！  所以屁股坐了两个钟等决赛你就让我看这个？  所以你也不biubiubiu在他头上冒点火花说面很好吃了？！  所以这样就完了？！   哦不 最后小谢那群人合家欢吃年夜饭  小谢喊了一句：等等  啊啊啊  迎回父亲是吧  还是很孝顺的嘛！！  然后他说：      咱们开始来放爆竹吧！！！！   ''剧终”       ～～～～～～～～～～～～～～～～估计父亲大人没出来是要第二部哦,16.0,2.0,2
3,3,26711487,决战食神,fd039ff62089b224579b2a48158e5ea3,77b9816529fba982a33977844b0e6fc6,3.0,2018-03-05 17:02:50,从总体来看在这部美食与情感本当如鱼得水的化作一体的电影中，二者其实是断层的，一言不合便开始做菜比赛，一言不合又开始洒背叛狗血，一言不合在最终决赛上被父亲抛弃的天赐便用一碗面煽起了亲情的情，整部电影大幅跳跃性的用几个大张大合的转折完成了故事，却难见于何般细腻的情感勾勒，这使电影最让我记住的其实并不是那最后一碗煽情的面，反而是葛优与两个小和尚间的插曲故事，主线架构的牵强附会，令本当感人至深的故事变的宛同儿戏。本片最大的亮点就是浓浓的港味，当我看到詹瑞文操着不标准的普通话插科打诨，当我看到“鬼婆”罗兰又如约出现在街坊的队伍里，当我看到黄秋生留着和当年《伊波拉病毒》一样的发型重新回到我们的视野，心里还是非常感动的，这些配角才是港片的精髓和脊梁，也是真正能触动我们情怀的地方。  忧伤的是这时的谢霆锋已经不再年轻，曾经所有的聚光灯与报道风向都集中在关键词，叛逆，青春，等等词汇，在经历了人生大起大落，被陆续贴上星二代、叛逆偶像、绯闻男主标签而不断质疑后，谢霆锋似乎终于迎来了名利双收的时刻，看起来依旧犀利但是不乏温柔。在“父子情”的部分，谢霆锋饰演的小厨神高天赐，从小被父亲高峰托付给友人，孤身追寻自己的食神梦想。但与父亲不同，他认为“人并不一定非要那么冷血才能成功”。最后与父亲赛场相见，高天赐征服父亲和观众的不是外表惊艳的菜品，而是一碗再普通不过的猪油面，这让人想起周星驰电影《食神》中的那碗叉烧饭。这是一个阐述男人成长蜕变与亲情，父爱的故事。,36.0,1.0,0
4,4,26711487,决战食神,b8d8fc508c8c2bb9f469b7ea8ada322a,109c9219d00af35c46de8a2e8144d782,4.0,2018-10-08 11:37:43,没想到评分这么低，有点小惊讶，我到觉得还可以，观众们的角度也许不一样，我看的是粤语版看完第一遍马上就看了第二遍，第一反应这部片子完全是一部老中青少四代演技教学影片。以老葛为代表的老戏骨虽然处处都是轻描淡写但是经验老辣表情眼神节奏犀利干净利索，对全片有点睛的意义；以霆锋为代表的中年演员虽然明显不及阿黄他们，但是能让观众看出有演技了，还可以和当年的青云和朝伟相比拼，虽然还不到一决高下的地步，但是还有上升空间；以胖子（不好意思不知道名字）为代表的青年演员，观众们一目了然零演技，与演员比像龙套，与龙套比多了片尾字幕，可毕竟年轻啊观众们要理解演技谁都不是与生俱来的，要给年轻人学习的时间和机会，也许再过50年就能自成一派；最后是以小和尚为代表的少年演员，演技青涩稚嫩本色出演不失可爱，和前两代演员相比已经是很了不起。所以我个人觉得片子好不好和吃虾仁一个道理，都知道虾仁又大又好是靠火碱发的，宫保虾仁饭店卖一盘至少也要80多，但是不都吃的高高兴兴且也没吃出病来，所以作为能吃虾仁的各位观众不仅要有个好身体也要有个好心态。,1.0,3.0,0
5,5,26711487,决战食神,079e6ff94191a4f689c22026c4d9d77d,c6a434c5436c4bb43b421f568bdba15b,4.0,2018-06-10 14:12:22,不错的电影，值得一看。尤其是最后电影结局的时候，还是能给人带来不小的心灵震撼。在电影结尾，两大厨师高手对决，高天赐和他的老爸。高天赐最后只做了一碗面条，而且这碗面条他给了他爸爸吃，他爸爸吃了一口后就惊呆了，然后默默注视他，说了一句做得好！然后狼吞虎咽的吃完了。此时这里才是电影的最高潮部分，给观众留下了无限遐想的空间。面条只是一种很普通的食物，即使做的再美味，也是十分普通。为何能得到食神的最高评价？高天赐赢了吗？毫无疑问，高天赐赢了。因为他达到了厨师的最高境界。就是厨师就是要带给人们幸福。一个厨师拥有高超的技艺，是远远不够的，而且还要有一颗对世界充满热情的爱心。,1.0,4.0,0
6,6,26711487,决战食神,26ca9079fb00446840192314ddfad0c4,deeb28d96498a6030db90a8f550083fb,2.0,2017-02-10 17:27:50,剧情很平淡，美食很好看，道理很敷衍，情节很突兀。 剧情老套，没有创新，人物塑造也很脸谱化，故事说的不够精彩，不够深入。 美食看上去很可口的样子，但毕竟这是部美食电影，这是唯一的亮点了。 弄几个很平常的事，道理就算说完了，嗯，竟然不想说大道理，那就闭上嘴好好拍美食吧。 优美的那段，编剧你是不是有点太随意了，事情发生的也太突兀了，不带那么整男二的，你只有一个小本子的细节铺垫，最后硬生生的让女主（姑且算她女主，唐嫣我实在没感觉到她有什么存在感...）无情无义的抛弃男二还让男二失去味觉跌入人生低谷，这种转折有点生硬，有点强行转折的感觉。 电影虽然不是综艺大电影了，当然他们也不敢了，但故事依然大街化，老得不能再老的故事套路，关键是还没很好的说好这个故事，电影里面还说做菜要有创新，但电影本身却没有创新，这有点讽刺。 里面是有说些大道理，但没有一个说的深入动人，反正我走出影院是什么感触也没有。虽然里面那句“美食就是让人吃的开心，觉得好吃，这就行了”我是无比的赞同，但这只是这句话自带的认同属性，跟电影故事无关啊。 还有，最后我发现我带着一副3D眼镜，我这才恍然大悟，原来我看的是一部3D电影啊！！！,7.0,,0
7,7,26711487,决战食神,48b31c87fcfcee51c696d29d0ce5284d,2d79d01acbaf39338803013f394a5f01,1.0,2017-02-11 04:22:23,这部电影刷新了我对于电影的认识。   首先，当看到一边是黑面小厨神身边大黑框方便面头青梅竹马，另一边是摘星小白脸身边疑似白富美女友时，我内心嘿嘿一笑：  “导演导演我猜到了后面一定有三角甚至四角关系小白脸的温柔洋气为方便面打开了新世界的大门其实方便面好好打扮也和赫敏一样是9分美女小黑面的野性不羁让白富美意动神驰一直循规蹈矩的她尝到了打破规矩的刺激他们眼看就要交叉NTR了结果走了一圈发现只不过是太过熟悉偶尔会让人倦怠自己身边原先那个才是真爱最适合自己”  导演：“呵呵”   之后我发现，这里是美食一条街，小黑面和街坊邻居早已如同一家温馨和睦，而大资本家却贪婪地盯上了这里，这是新与旧商业与文化现代与传统的冲突，开发商大老板是欧美电影里的典型反派了：  “导演导演我又猜到了小黑面年少气盛毕竟图样在大资本家的老谋深算和代理人小白脸奇技淫巧攻势之下内外交困迷失自我但美食街藏龙卧虎老少爷们姑婆姨嫂轮番上阵鼓励开导赞扬他打小为街坊四邻做的好人好事堪称劳动模范顺便教了他好几手绝活儿这是他应得的毕竟好人有好报小黑面也终于领悟到人与人之间的羁绊才是他强大的来源重装上阵进化为完全体教会了对手什么才是真正的力量传统现代不可偏废利益替代不了情感人性万岁”        导演：“呵呵”    于是就很尴尬了，以上大概就是我作为观众一路上囧迫的心路历程的缩影。   神一样的编剧和导演，成功地避开了一切可能存在的套路，让我八心八钻计算出来的一切可能性都打了水漂，没有任何预料之中的转折，然而意料之外的几乎也没有，就用一招黑虎掏心从头打到尾，没有多少转折也就没有冲突，没有冲突就剧情乏味人物扁平，全片没有一个让我感觉舒服的人。   你看不出小黑面到底有没有什么实质成长，人物弧是杂乱且模糊的，打一开始他就一副“全在我掌握之中”的蜜汁自信，明明说了小田螺和大蜗牛没法比，结果炒了个葱爆牛肉、看了个明明自己也懂的低温烹调牛排，尝都没尝就莫名其妙黑着脸走了。这黑脸也贯穿全片，本来不喜小鲜肉的我本指望小谢这老腊肉好好教育一下小鲜肉们，毕竟曾经也是一顶一的小鲜肉，比那些后辈真材实料多了，结果这演技好像还倒退了，再加上那口音真的很醉。。   混蛋老子对叛逆儿子，经典CP，然而老子混蛋的毫不可怜莫名其妙你当个厨师还得绝情断欲堪比出家？比隔壁彭于晏差了十万八千里；儿子也是一口一个我恨你堪比言情剧女角，但以他的冷静成熟来看总给人一种其实他看得开只不过剧情需要装一下的尴尬，总之连混蛋都混蛋得这么无聊，叛逆都叛逆得这么无趣。    唐嫣演技或许不行，可请让她站着死，给她一个证明自己的机会，身为一个女一，感情戏份不如小白脸和男主他爹，存在感堪比杜海涛，她连被观众喷死的机会都得不到，稀里糊涂就过去了，连外在都是大黑框方便面到底。以主线带动爱情线变化，爱情线再反作用深化促进主线，美人美食相映成趣，爱情副线难道不是美食剧的标配么？     或许他们以为可以靠男二女二的感情戏来弥补缺失，但这段感情发展阶段几乎没有任何波澜，所以在剧情上作用不大，而后期又一个生硬的强行转折直接中断，拜托你前面塑造的温柔大方理性的人设崩了啊！学烹饪的留学生基本上得自费且价格不菲吧？你个海龟白富美看不到那个土鳖老板穿的大花衬衫有多丑么？还不如隔壁甄子丹呢！而甄子丹那身是隔壁鄙视链的最底层了亲！   小白脸来华的动机让人存疑，你不好好待在米其林当你的行政主厨、不时伺候个皇亲国戚首脑政要，跑来这个小餐馆给这种土鳖老板打工？嘴上说是融汇东西，做的东西有多少东方料理元素？他真的不是因为自知味觉丧失无力胜任职位，于是在大家的掌声里装了逼就跑么？   还有还有，到底全国挑战赛赢的算个人还是餐厅？怎么就俩拨人都去了呢？真的不是在黑我中国主办方乱改规则以自利么？  。。。  。。。    曾几何时我以为——食色，人之大欲，想把一部美食电影拍得让人没有欲望是不可能的。  我以为美食文化作品大概是这样     或者这样     又或者这样         （大雾。。）   然而这部片子又一次有力地回击了我，它除了某些慢镜特写还有点镜头表现力，最核心的美食看起来根本没有多么美味，不仅中餐大多寻常，小白脸做的东西更没看出是一个立志融汇中西、厨艺创新的三星主厨应有的水平。  烹饪过程还不如有些烹饪视频有趣，介绍和解说也平平淡淡，评委点评还不如美食综艺呢！每段厨艺比拼都流水账一般让人想快进，悬念呢？！我们都知道谁会赢了，拜托下一个~  而不靠夸张表现与视觉奇观，一部商业片该如何短时间内把抽象的味觉体现？又怎么能让观众感同身受投入进去呢？   曾几何时我以为那些充满了雷人和狗血桥段的片子才是最烂的，比如富春山居图、比如木星上行、比如封神传奇、比如无数国产尤其是喜剧和爱情片  然而这部片子用一个有力的事实回击了我，告诉我差的极致其实是无聊到极点，无聊到和摘星小白脸的舌头一样乏味，让你连愤怒的机会都没有，相比之下过去的雷人和狗血都仿佛可爱起来。   美食和电影都有触及灵魂的可能性，然而你在这部片子里看不到灵魂。,8.0,2.0,0
8,8,26711487,决战食神,7d6bfece69da7b3d8eaf3c738af16664,5030173e64543e7d31aaf55eb198dc1a,2.0,2017-02-10 19:19:49,文/梦里诗书   在美食竞赛中注入爱与亲情，早已并非是《决战食神》的奇想，而在这样一个本就前有朱玉可供借鉴的电影中，生硬突兀的转折透过预想高大上的国际化，却使这个故事变的即无从接住温情的地气，看似国际的赛事更是倍感虚假浮夸，让人无所适从。    其实对于叶伟民来说拍美食电影在前有徐克《满汉全席》和周星驰《食神》的功成面前本就有着不小的挑战，而他在拍《决战食神》时，除了凭借技术让美食变的仿若触手可及外，并没有太大的可取之处，整部电影就像一个不断升级的闯关游戏，一路走来几乎全是难见新颖的套路，而为了使电影变的看似高大上起来，一个让欧洲王妃都赞不绝口的米其林三星中韩混血主厨成为了谢霆锋饰演男主天赐的对手，正是这种刻意拔高突显的剧情冲突，使电影写满了浮夸的尴尬。   当我们看徐克的《满汉全席》或是周星驰的《食神》之时，不论电影是如何曲折或是无厘头，它所能接住的都是一股厚重源于真实的地气，这种地气虽然《决战食神》也在意图塑造，但无论是看似老旧的七记大排档，还是一众带着港式气息的配角人物，其实在镜头前都变的尤为刻意做作，这源于一个香港导演只是去主观性的将香港移植到了广州，谢霆锋在这部电影中也更没能生动的刻画出一个被父亲抛弃逆袭米其林三星大厨的小人物。   从总体来看在这部美食与情感本当如鱼得水的化作一体的电影中，二者其实是断层的，一言不合便开始做菜比赛，一言不合又开始洒背叛狗血，一言不合在最终决赛上被父亲抛弃的天赐便用一碗面煽起了亲情的情，整部电影大幅跳跃性的用几个大张大合的转折完成了故事，却难见于何般细腻的情感勾勒，这使电影最让我记住的其实并不是那最后一碗煽情的面，反而是葛优与两个小和尚间的插曲故事，主线架构的牵强附会，令本当感人至深的故事变的宛同儿戏。   这是一部有着亲情、友情、爱情等太多想要表达的作品，也有着葛优、黄秋生这样老戏骨的演技担当，但导演编剧却显然并没有足够的能力来与之呈现，终让人痛惜的只是电影浪费了一堆好“食材”却做出了这样一道夹生的菜。    （更多精彩内容或交流欢迎关我的注微信公众号）,11.0,4.0,0
9,9,26711487,决战食神,d2f06cb5fe400ce282f48ed37fb3ebf8,f4d0f4d47c974bb4f06ba31dca122e79,3.0,2021-02-21 10:57:02,美食治愈的电影啊！老百姓评论不了老演员的演技，都是演技派，肯定都不错！过年了，给观众们奉献一桌色香味诱人的菜，肯定是美美的，也象征着团员！电影院看的话效果应该好一些，我在平板上看的，美食诱惑效果弱点。如果心情不好的时候，看看这部电影还是不错的！葛优演的蛮好的，不愧是老戏骨呀！这电影没有评论里说的那么不好。还是值得一看的。,,,0
