,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26724807,24小时：末路重生,16c2a303b07154c1fd5799cb9a3e001e,1ef6169344c119ff2f811fa3bf030d42,2.0,2018-01-26 22:42:24,1）看完第一感，这片更适合的男女主角人选，恐怕是杰森斯坦森和舒淇，有点像《非常人贩》那种即有复仇情节，又有冤家路窄逐渐生情的戏码。这个框架谈不上新意，但也不难看。这周片荒，除了《移动迷宫3》一家独大外，这部可能算是勉强能算大片的。   2）男主伊桑·霍克大家对他的印象当是《死亡诗社》、《少年时代》那样的文艺男青年，女主许晴，大家对她印象最深的当是《笑傲江湖》里的任盈盈、《建国大业》里的宋庆龄，以及《老炮儿》里的话痨，年轻时确实漂亮，我幼儿园的时候就收藏她的明信片，人家问我为什么喜欢这个，我说这是漂亮姐姐。不过如今，俩位似乎都有点过气，能同时当主角还是有点出乎意料，特别还是都不是很擅长的动作枪战电影。   3）由于剪辑问题，加上可能还有所删减，导致情节看着不是太连贯，甚至看完了有些地方都不容易理顺，这里还是剧透一下算了：红山公司拿活人做实验，尸体被运送到南非与纳米比亚的边境地带火化，红山一保安员无法忍受这一行径，准备向警方透露关键证据，但保安员遭到红山的追杀，幸好在许晴的保护下逃过一劫，红山派出职业杀手特拉维斯，特拉维斯却在最后关头放过了许晴，但反遭许晴识破并受致命伤，利用红山的新技术，特拉维斯暂时保住一条命，但仅有24小时，之后特拉维斯了解的红山公司的真相，和许晴化干戈为玉帛，并救下她儿子，时间紧迫，他还要深入狼穴刺杀红山老板……   4）我给这部片的分数在4.5分-5分之间（满分10分），因为其中有非常多的问题，比如男女主仅仅邂逅一小会，两人就亲热上了，许晴你演的是国际刑警诶，能不能矜持一点？之后又看破男主是杀手，怎么看破的，没表达，这是怎么回事？男主拿了两瓶清洁剂一样的东西混在一起扔进厕所，顿时烟雾腾腾，这是怎么回事你懂么？还有比如接头暗号，一个说洋基队、一个说红袜队，好像还有故事，这种梗中国观众能懂？男主历经险阻到最后能干掉老大时，却突然停手了，你能理解？当然我最不能忍的是，男女主就好好发展关系，女主到最后关头也该挺身而出，最后相拥离去，这才合理，但导演并不是这样想的。加上剪辑跳跃，可能有点删减，很容易就跳戏。   5）最后说说福利，大约在20几分钟的时候有个许晴洗澡时镜头，有个较远且模糊的背影（图1、图2、图3），不知道是不是替身，还有图4，印象中没有，似乎是被删减掉了。我好像说多了，反正我看电影很少看福利，比如这次福利的时候我就在看男主的消声枪。,19.0,6.0,5
1,1,26724807,24小时：末路重生,69aef8947870983913ce0ebfbac044d5,244c1ca795fc6848b5648d3c95619188,4.0,2018-02-02 20:22:50,这电影的主题就是红山公司花了240亿，搞死无数人，研究复活技术。除了男主角，其他人都死了。他们本以为男主角也会很快就死的，二十四小时其实不是他可以活的时间，而是人为设定的一个开关，估计目的是为了让战场上死去的优秀士兵复活以后有强大的紧迫感去完成剩下的任务，并且可以在完成任务以后完美的死去，免得泄露信息。         但是男主角没死啊？没死说明什么，说明技术成功了啊，唯一的活体啊，地球上唯一一个价值240亿的活体。按照红山公司电脑的尿性，他这一天的每一个细节都不会逃过记录的，他这一天完美呈现了技术成功以后所有应该表现出的价值。洋葱爵士只是红山公司的一个高层吧，高层之上还有董事会呢？难道眼看着这个耗费无数金钱和时间的实验结果死去吗？      国际刑警组织？可笑！！！！！！国际刑警组织能值240亿美元吗？国际刑警组织能抗衡半个国会山吗？即便是成功揭发红山公司？人家能花240亿，就不能再花240亿换个豁免权吗？      所以必须有续集啊      男主为毛不会像其他试验品一样很快就挂了？因为他没有灵魂啊，开头他岳父就说了，鱼恨你，鱼可以看到，听到，闻到你没有灵魂……于是这种没有灵魂的特殊体质造成了他可以活过来，而且活很久，于是24小时结束以后，他又被那个女医生用同样的技术复活了。男主做事的风格也说明他没有灵魂啊，第一次复活逃出来以后，他给岳父打个电话，人之将死其言也善。他怎么说的：去找岳父度假，不是为了为了他的妻儿，毫无借口。他本来应该打死许晴的，也没有。他复活以后应该复仇打死许晴，打死所有人的，他也没有。他也没杀亲手干掉他妻儿的好朋友。反而是他的好朋友替他杀了洋葱骑士。这人就像他自己说的，确实没有灵魂！！！！,16.0,6.0,4
2,2,26724807,24小时：末路重生,da552355df18d706b1cb44aad2699661,89781d17be1c7de8e498f3d47f4ba1a4,3.0,2018-01-19 00:56:50,"提前观影场，电影开始前放了伊森和许晴的小短片，作为想要看被时光摧残的霍克的颜的黑粉跟旁边的许晴的粉丝吐槽，十几年前看伊森，他是那样的，现在这样了。许晴十几年前是这样，现在还是这样。许晴粉丝说可能是欧美男星追求那种糙的感觉，比如皮特，比如小李子。 影片开始伊森出场第一个镜头在海边钓鱼，不知道为什么我就想起了看的第一部他的电影《烈爱风云》，也是美国的海边，夏天只是那时候他狡黠地年轻着英俊着，有某种笨拙，某种粗糙（基友一度吐槽伊森一身的屌丝味儿）。但是这个片子里，他没有能够直接穿背心的少男的匀称身材了，成为了凸肚大叔，胡子拉碴，头发凌乱，一副所谓的中年油腻感。不免让人再次老套的喟叹时间。虽然在爱在系列的第三部里，伊森霍克已是老态初现，但是那部没有让我直接联想到烈爱风云里的形象，所以冲击不如这一部大。现在连他一个特写，眼睛都无法重现当年金色的头发眉毛映衬下的蓝色眼眸的动人了，只有角色要求他的一眼心如死灰。这种感觉特别像小说call me by your name开头写的闭上眼睛，说出那个词，就立马回到那个意大利的夏天的感觉。就是镜头一到伊森霍克，我就想到了他在烈爱风云和千钧一发里的样子。  后来头发收拾利索了之后，伊森霍克还是帅了起来。就像烈爱风云里，渔民时代和成为知名画家之后的西装革履“头发梳成大人模样”的区分。油嘴滑舌又轻挑的样子，很像磁带里的表演。 后来几个杀手（雇佣兵？）造型，会想起战争之王和布鲁克林警察…… 就像烈爱风云里的台词：
It was past.
It was as if it had never been.
There was just my memory of it.  有几个梗，洋基垃圾；导演作为导演了金刚狼的导演日常黑浩克；为了体现科幻电影，用了智能家居设计？（红山总部的总控系统？）笑哭。 电影的闪回太过分，感觉是重复播放，于是自行脑补添加了属于我自己的关于伊森霍克的观影记忆。故事立意（要有灵魂，珍惜家人，反对非人道的人体试验等）和设定（官商勾结进行人体实验）其实都没有太大的问题，但是节奏太奇怪了，一些情节还比较生硬，比如接近许晴，莫名其妙的就一夜激情之后放弃了任务。如果说考虑到可能他是将对儿子和妻子的感情投射到了有一个儿子的许晴身上，还是觉得导演和编剧的设定没有让我相信这个。伊森霍克杯打死的时候，还以为跟前一个浴室射杀许晴的i情节一样是设想呢，结果不是。还有24小时最后生命的设计之下，拍的一点都不惊险紧张，可能是所有的紧张都被在动作戏上了。奇怪的慢镜头好几次出现，一些逻辑坑就不揪了。各种都不是所谓的流量演员，却演了个这样的片子，只能说这个年纪挑战打戏和外语，对于演员自己是某种类型片的突破？ 所以就可以放松对剧本的要求了？ 突然又想到一点，片尾曲不错。 总体说来，电影能看但不能想，推荐粉丝观影，好歹是大家爱豆那么努力拍出来的。",9.0,1.0,0
3,3,26724807,24小时：末路重生,b26bdeefe74c77f1f0be97367251652d,bf88526032d68baddd369a076e748daf,3.0,2018-02-15 15:52:52,作为在内地上映的爽片，能拍成这样，而且接近豆瓣及格线，只想对导演说你费心了。《24小时:末路重生》 #jerry movie 152#（推荐指数：3星） 这个片子当成爆米花爽片看看就得了，剧情什么的没必要深究。就说说好的地方：1节奏带的不错，毕竟只有24小时能活，该打就打该杀就杀不拖泥带水（这个片子会让我联想到杰森斯坦森《怒火攻心》系列，那简直是爽片的楷模啊，不过要想内地上映再等个一百年吧，确实是没得比但有相似的地方）2几场动作戏很懂观众的心和燃点，酒吧巧逃，集装箱躲避战，闹市飞车，平民窟抢人以及最后的独闯总部大楼，都是很容易拍热血刺激的戏份，导演比较聪明。3许晴这个角色的加入是为了情感这条线，她和儿子之间的亲情戏别说还真挺细腻感人，用来中和打斗后的视觉疲劳，效果不赖，给电影加分了。4最后决战圈，男主一个人杀进去还蛮帅，一路上去的动作设计也算行云流水一气呵成。在面对也是有苦衷迫不得已才为敌的杀手放下枪的行为很正能量，男人何苦为难男人。虽然那家伙逃不掉一死的命运，不过死前杀了大boss超man，敬你是条汉子。结局导演皮这一下很开心，之前放走医生的铺垫，又被救活给了24小时，有续集的话我会支持。,4.0,1.0,0
4,4,26724807,24小时：末路重生,cc8960ac285cd783b0742fd6e772a51a,d35e2da89bc6896e5acc0f716fa6bbb9,3.0,2017-11-10 10:39:42,"赵本山在他的小品《心病》里说过一段很经典的话：“人生在世屈指算，一共三万六千天。家有房屋千万所，睡觉只需三尺宽。”  二十多岁的我们还感觉人生还有好久，殊不知细算一下也只有两万多天了。两万多天…过一天就少一天，知道真相的你们慌不慌？！  但如果你的生命只剩下24小时，你会怎么过，你会最想去干什么事？ 伊桑霍克用他最新的电影告诉你，当他的生命只剩下24小时，他会干什么。 《24小时生存》  电影的故事情节比较老套，讲述了伊桑·霍克饰演的职业杀手在执行任务时失败身亡，复活后被告知仅能生存24小时。在许晴饰演的国际女刑警（伊桑的目标）的影响下，伊桑·霍克重设了任务目标，最后孤身复仇完成自我救赎的故事。 初看预告片，电影中伊桑死而复生的故事情节还是很吸引菌叔的，再加上枪战元素满满的宣传海报，一种伊桑要化身超级英雄的感觉扑面而来。  可惜，全片看下来，伊桑的演技那是没的说，能文能武，但片子中的几个硬伤还是让电影没能跻身经典之列，顶多算差强人意吧。 电影中的枪战动作戏是该片的重头，另外导演还以回忆闪回的方式插叙了伊桑死去的妻儿情节，以此想塑造一个有故事、略显悲情的超级杀手形象。  如果全片重点去演绎伊桑重生后从疑惑到惆怅到挣扎最后再释然的行为举动和内心情绪变化，那一定是一场飙演技的视觉盛宴，但全片看下来，电影是“挂羊头卖狗肉”了。 电影中，24小时的生存时间没有发挥出它该营造出的紧迫感和分秒必夺感的作用。它好像只是电影中一个道具一个噱头，伊桑也只是抬眼看了几次剩下的时间，出现了几次幻觉，然后就继续各种枪战飙车了。 





 这样无所谓、神经大条的表现，完全不符合一个人面对一点点消逝的生命所应该有的表现。 如果单纯想拍一部枪战动作片，去掉这种“24小时生存时间”的设定会让整个片子更加流畅完整，单单加一个噱头却不补完它，只能说是“画蛇添足”了。 





 另外，电影中的一些其他小细节也让该片减分不少。 比如在机场中伊桑初次与许晴相遇，伊桑拿填字游戏搭讪不失为一个好办法。许晴不理伊桑高冷地离开座位后，因为飞机延误，立马就返回座位上钩，然后一起晚餐、睡觉…… 





 这样的安排很让人错愕，首先许晴经历了开头被暗杀团灭，只剩一人与证人的情况下，应该是时刻保持警惕，说惊弓之鸟都不为过。下一秒就放松了所以警惕，虽说是套路之中，但又是逻辑之外。 接着这个镜头，第二天后，许晴莫名就发现了伊桑是杀手。随后两人的一段枪战可以说是精彩至极，但帅不过三秒，下一刻伊桑就被两枪毙命了。 





 这是顶级杀手该有的表现？说你因为妻儿的去世而放过杀死许晴的最好机会还可以理解，但正面刚的时候还技不如人，这就说不过去了，没办法，只能说一切是剧情需要。 此外电影中像这样的槽点比比皆是，比如：每次遭到暗杀前，许晴总能提前一秒钟发现，然而却并没有什么卵用，最后全队的人除了她都会死。 





 许晴你是扫把星下凡吗，走哪死哪。 再比如反派们也是脑残，除了话多的惯有毛病，都21世纪了，你们还能死在非洲兄弟冷兵器的斧头锄头下，手里的枪都是烧火棍吗？战术配合不会吗？ 





 吐槽了这么多，当然这部片子也不是一无是处。首先伊桑·霍克凭着无可挑剔的演技还是为我们演绎了一个很有味道的温情杀手角色。  导演方面，担任该片导演的布莱恩·史莫兹曾掌镜的作品有：《猩球崛起》、《钢铁侠3》、《X战警：逆转未来》、《终结者：创世纪》等。电影中的枪战、动作戏还是很合格的，一些航拍、镜头切入感也很有大片的既视感。  出品方还特意请来斩获了奥斯卡最佳美术设计奖及澳洲学院奖的《疯狂的麦克斯：狂怒之路》的美术科林·吉布森担任该片的视觉指导。对比同样在非洲取景的电影《战狼2》，《24小时生存》还是保持了好莱坞水准的视觉效果，这也在一定程度上弥补了电影的弱势。  这部片子菌叔打分3星，其中一星还是因为有伊桑霍克的存在，对比他在16年的电影《莫娣》中表现，看来伊叔还是更适合演爱情题材的电影，毕竟有谁能抵抗那个慵懒又痞帅的伊桑霍克呢？  另外，伊桑·霍克在宣传电影《莫娣》时曾接受采访表示：下一部《爱在》系列电影仍有希望。 你期待吗？",6.0,1.0,0
5,5,26724807,24小时：末路重生,82ca872af9af1029b0e24a30e769d6e7,36daecaacf19e8f4138cb9f133a3e42c,1.0,2019-03-11 14:22:24,作为一个时间为噱头的合作片电影，里面的bug也不要太多，叙事凌乱节奏断片。有时候很多电影都会刻意的突出主角的无所不能的光芒形象，但主角不是超级英雄不是吗？为什么能在险象环生中保全自我？为什么能比猫的生命还跳跃厉害？有时候编剧突出的不是主角光芒，更是一种无法让人信服的瞎编瞎写。天马行空很重要，但逻辑是构成一个电影一个故事最起码的要求不是吗？ 喜欢电影里面这句话：自然界的动物会被人类的灵魂所吸引、它们能看到我们身上散发的光芒。对于电影并不想做任何评价，就是好电影和烂电影给人的冲击是一样的，都是难过和惊奇的，但无妨在烂电影里找到一句喜欢的话。男主角最后那句我不想被动物讨厌虽然矫情但也有点可爱，人和动物本来就是一家人，互通互懂感觉应该还是能成立的。现在人伤害动物的案例太多，更多的人再变成动物讨厌的动物，真是让人感伤。,1.0,,0
6,6,26724807,24小时：末路重生,40f110967389619428e16ddf46269b25,4c39020edf29a0b43c62d01d8315144f,4.0,2019-01-10 17:38:08,情节和打斗场面还是不错的 ，在拦截人质那一段，不知道是不是真是的南非，和里约的贫民窟有的一拼。没有许晴可能我也不知道这片子，也不会看。 为什么要写140，难道我不能想想，以后再补充吗？ 为什么要写140，难道我不能想想，以后再补充吗？ 为什么要写140，难道我不能想想，以后再补充吗？ 为什么要写140，难道我不能想想，以后再补充吗？ 为什么要写140，难道我不能想想，以后再补充吗？,,,0
7,7,26724807,24小时：末路重生,0292c711312676e82ddfe36d05abd93a,0e898c035da956e1c8da939100db3d5e,,2019-01-08 11:40:00,偶然翻到这部影片，多半是为了缓解一下多日郁闷的情绪，找点眼球的刺激。 标准的警匪片。红山公司暗中找了一批人在南非抓一些低端人口供他们做医学实验。其中一个叛变了，向警察供出了内幕。红山公司雇佣一个老牌杀手特拉维斯，追杀这个证人。特拉维斯在得知内情后幡然悔悟，配合国际刑警粉碎了这个阴谋，正义得以伸张。 影片中，伊桑·霍克扮演的杀手特拉维斯身手着实了得，动作轻盈敏捷，虽然只有24小时的活头了，仍然是百万军中取上将首级的角色，枪林弹雨中毫发无伤，最多是脸上带点血，以突出战斗的惨烈。他做了一辈子杀手，把挣钱看得比生命还贵重，只要给钱，无问正义，不管是非，把老婆孩子的性命都搭进去了。只有这最后一次，有感于心底中残存的那点人性，悲伤于老婆孩子的惨死，动心于女刑警的美丽，终于促使他做了一件好事。 给了女一号一个国际刑警的身份。虽然在好莱坞眼中，警察并不一定是真正的好人。不过在观众的习惯意识里，警察总是和法治与正义靠上点边了。这样，观众有了倾向性，就至于在银幕外看着这场热闹的打打杀杀了。他们会把自己也代入到角色里，想像着自己就是那个匡扶正义的英雄，跟着杀手特拉维斯把一帮子恶棍打的鲜血涌出脑浆迸裂。 说到代入感，实际上也是支撑票房的重要因素。各类影片针对着不同的观众群体，如《哈利波特》对于中学生，《飙风营救》对于硬汉父亲，《老炮儿》对于北京老年胡同串子，诸如此类很多。人们随着影片情节的发展，与角色同呼吸共命运，那些只埋藏于自己心里的梦，在银幕上实现，那些很难对人阐述的情感，在银幕上得以发泄。编导在塑造人物时，通常归为极端的两类，一种是人物和情节远离生活，如《超人》《蜘蛛侠》，任由人们去虚无缥缈中去遐想，编造出一个又一个梦。另一类是贴近生活，让人们感到剧中人物就生活在自己身边，走在大街上随处可见，甚至我就是他。如《芳华》。但无论是哪类人，做了何种事，归根结底不会脱离人性。无论你是他或者不是他，你们都有共同的爱和恨，对生活对亲人的爱，对邪恶对伪善的憎。高明的导演，会努力挖掘各种人物的人性本质，赢得所有观众的共鸣，无形中起到教化的作用。 影片的女一号由许晴扮演。除了使影片多一些异国情调外，也展现的中国近来的影响力。最早看许晴是在早年的电视剧《皇城根儿》里，那时的她还有些青涩的样子。没想到老了老了倒杀向了国际。记得她演《环形使者》时是个小角色，曾得到布鲁斯威利言不由衷的赞赏，在这部影片里，她可是扎扎实实的女一号。不过银幕空间的扩展未必代表演技的增强。在国内，大家的演技都差不多，无可辨别。和伊桑·霍克搭伴就立见高下了。听到儿子被绑架，咱们的林大妈不出所料的一是大惊失色，二是痛不欲生。人物复杂的情感变化没有体现出丝毫。再看看伊桑·霍克的表演，特拉维斯想到老婆孩子的惨死，双眼微闭，慢慢睁开，嘴角动了一动，又松开。无需一句台词，那种痛苦、惋惜、痛悔，又要在人前表现的坚强的感觉，演绎的淋漓尽致。相比之下，咱们还得练啊。 好莱坞影片有个特点，就是简洁。影片开始时，那个证人在向许晴叙述他被红山公司招募的经过后，轻轻抚摸着无名指上的戒指，说：“到此为止了。”看到这里，观众或许基本弄清了人物关系：他是杀手之一，为了家庭和正义，向警察归顺了。这情节要是放在咱们这里，恐怕要连篇累牍的介绍个半小时。 整个影片看下来，虽然导演比较弱，情节也很烂，但是南非的风光拍的很美，大漠风尘，连绵山脉。如片中所说：“美得让人不能呼吸。”给个赞！ 本人评分：5.5。,1.0,,0
8,8,26724807,24小时：末路重生,c8906e838e0cadd7b1531476b0d47a7b,8503c4eda24f7947dcd317d3509794d2,2.0,2018-09-29 23:33:04,这样的电影，不管找谁来拍，都不会有好口碑和好票房。不过庆幸的是，许晴真的是女主，我为许晴而看的目的算是达到了。本片的动作戏还是算及格，各种枪战飞车都有，而且也有模有样，导演不愧是动作指导出身。许晴饰演的国际刑警特工，也表现得干练硬朗，一头短发，单手开车追逐，枪战戏等等。除了许晴，其他就是槽点了。第一个槽点就是故事情节，片名叫《24小时：末路重生》，听着因该是时时刻刻都让观众感觉紧张的剧情。然而，过了三分之一时长，观众才知道为什么要和24小时扯上关系。电影90多分钟，进入剧情就花了三分之一，剩下的时间，枪战和动作戏估计又占了三分之一。第二个槽点就是，伊桑霍克饰演的这个男主特拉维斯。这个人很厉害，一个人挑了整个红山组织，把红山的基地都掀翻了。第三个槽点就是许晴和伊桑霍克的感情，第一次见面没一个小时，就已经到酒店开房了——《24小时：末路重生》 首发于微信公众号“看世界电影”，欢迎更多朋友关注我,1.0,,0
9,9,26724807,24小时：末路重生,a4190a271ed3edafeef47482e5dea242,0be38eaf1d9588eb1ca3f9879bcebdbe,4.0,2018-07-12 20:04:46,2018-7-12  个人自用 非影评 女主是国际刑警 在非洲护送证人被雇佣兵伏击女主手受伤带证人逃离 男主与岳父在海边度假聊天二人都喝醉了 男主来到一酒吧卫生间制服两个来找他的人后与他曾经的战友在吧台聊天 战友告诉他红山有新任务给他目标就是证人 男主来到香港找到女主家看到了女主的孩子 男主在机场遇到女主航班延误男主与女主搭讪并睡了女主 女主洗澡男主拷贝了她手机 男主离开女主拿枪出来 男主被女主开枪打中 男主本已死被红山研制出的项目救活但是只能活24小时 红山因此项目在非洲杀害焚尸70人 男主说出证人藏身地后被关押男主挟持护士逃出 证人被审问说出红山集团的罪证并录像 红山让战友去杀证人 证人狙击枪打死多名警员 女主带证人逃离男主开车来接 一番车战 证人被战友狙死但是证人拿着储存卡 战友让人绑架了女主的孩子 男主回到秘密地点拿了很多武器炸药带女主找到一黑人告诉他他们贫民窟的很多人都是被红山当试验品杀害的 人质的车经过贫民窟 黑人带人拦住车队 男主因为药物副作用总出现幻觉看到他的儿子 雇佣兵与贫民窟黑人打起来 一车辆被rpg炸毁 男主带女主撞向一辆汽车汽车里是女主的孩子将孩子救出 男主独自来到红山公司 开车撞入公司 大开杀戒血流成河 战友在吧台独自喝酒 红山告诉男主是他战友杀的男主母子 因为红山也绑架了他战友的家人让他二选一 男主没有杀战友 战友举枪要杀红山此时雇佣兵前来 战友仍然开枪雇佣兵也开枪 战友选择了友情而死 女主把证据交给警局 男主时间到了 突然睁眼发现自己躺在病床上醒来旁边女护士说你放了我记得吗,,,0
