,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26732578,王牌保安,7bcdc59fd459e8e6de06caa1e14a501c,521cff9cf12a3e2b13fa143d25d69162,2,2017-08-19 10:04:07,"小白文难看的根源在于不做思考的堆砌套路，导致逻辑难以自洽。 看这部电影是看到安东尼班德拉斯主演+动作这两个标签，过程也全程感受到这种主打明星的小制作套路明显  1、A级片会率先引入矛盾——事故发生，故事开始，主角从普通身份卷入，改变故事的走向； 肌肉型动作片会采取...

                         ( 展开 )",12.0,2.0,5
1,1,26732578,王牌保安,3e9115a902e58ccaf2561e7b99604656,4fa44fd91a20a8db2ba4541101bc4ef5,3,2017-12-20 18:41:11,"这篇影评可能有剧透 

                        没啥说的，安东尼奥今年我看了他三部电影，其中一部是个律师那个还算可以，另一个摇滚救老婆纯为了看电影必须看完的个人原则，分了好几天看完的，这部刚看到小女孩子进超市这里，还是看完的原则，但是说实话，没瘠薄啥意思，不是说主角，因为我喜欢主角，敢死队三部我都爱看，...

                         ( 展开 )",3.0,,1
2,2,26732578,王牌保安,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,1,2021-06-28 13:08:45,"1星，故事一开始还行，后面直接拉胯。 原本就是奔着无脑爽片看的，但没有爽，无脑倒可以满分。 男主那么厉害早点出手就完了，非等保安队友全死光了再出手，需要队友的死来给自己充能。  黑帮装备很神，赶上特种部队了，但动作戏也拉胯，没什么大场面，主角更神，哆嗦几下对面就...

                         ( 展开 )",,1.0,0
3,3,26732578,王牌保安,a4190a271ed3edafeef47482e5dea242,0be38eaf1d9588eb1ca3f9879bcebdbe,2,2020-05-01 22:12:15,"2020-5-1 腾讯视频 埃迪是退伍军人 一年都没有找到工作因此也不敢见老婆和女儿 埃迪来到职业介绍所找工作不计报酬不计工作性质 工作人员给了他一份保安的工作 埃迪雨来到商场 结识万斯 露比 韩国人强尼 胆小的梅森 杰米是被保护的证人 第二天要上庭 警方车队被查理带领的杀手设...

                         ( 展开 )",,,0
4,4,26732578,王牌保安,39a122a27243158e300fcdf4b4444deb,e5c935f5db03a7500766a44872ff7b3c,3,2018-05-09 11:26:52,"影片讲述退伍老兵(安东尼奥·班德拉斯饰)在一个购物商场当保安，然而他工作的首晚，一个被歹徒追击的女孩跑到商场寻求庇护。 本片的故事其实挺“狗血”的，安东尼奥·班德拉斯饰演的退伍老兵力挽狂澜，对抗职业雇佣军的这种典型个人英雄主义的故事在上个世纪8、90年代曾经风靡...

                         ( 展开 )",,,0
5,5,26732578,王牌保安,19bca3db59ad0fd93b059563fe821853,c708a1ea85c4c2e1227ecf42a35e07b8,1,2018-04-24 11:25:10,"平时很少写这么长的影评，看到一半多实在是看不下去了，有感而发。 垃圾电影，几个商场保安把20多全副武装的职业暴徒打得落花流水。男主一年多没工作，意志消沉，也没见训练，第一天上岗就战斗力爆表。1个12岁的小屁孩，凭什么给陌不相识的人讲条件，保护她。1个12岁的小屁孩的...

                         ( 展开 )",3.0,,1
6,6,26732578,王牌保安,8cfe07150555ac1873eee6a8208e243d,291755357c76c19359d59bd1e756a8a9,3,2017-11-12 17:27:24,"又是安德尼奥班德拉斯，两天两部你的电影，真的不知道该说啥好。终于没有“王牌保镖”的逗比了，情节也相对来说紧凑了不少。不过怎么都没有高潮的感觉呢～剧情老套不是致命伤，半温不火才是最要命的。从开头就看到了结局，中间过程没有点什么能跌宕起伏的部分。中规中矩不说，...

                         ( 展开 )",,,0
7,7,26732578,王牌保安,7b7837c7ce31ab4adc4967054a961ca2,10a2f9cee07455291b9a202fb7bef563,2,2017-08-27 00:51:33,"这篇影评可能有剧透 

                        在阿富汗服役的美军海军陆战队上尉艾迪退役后，一直找不到工作。急需谋职的他不择好坏，找到一低工资的商场夜班保安，搭档是万斯、梅森、露比、强尼。          FBI护送一即将上庭作证的目击证人小女孩杰米，途中遭黑帮雇佣杀手的袭击，特工顷刻间全部挂掉。杰米慌乱中逃入艾迪...

                         ( 展开 )",4.0,,7
8,8,26732578,王牌保安,6de7a415157bb16838cf44d4b2f79b3e,3262ce6bad5fd6c911d9dbc0a4ea34dd,4,2021-10-14 05:51:46,"这篇影评可能有剧透 

                        对 如果你有看过die hard 或者24。都是差不多的剧情。 一个不怎么高大威猛的退兵。妻子女儿关係扑朔迷离。连洗厕所都可以的中年男人。竟然找不到工作。所以现在美国连洗厕所都不缺人了？ 想想也是，很多退兵晚景堪虞。 这是香港今天排第四的电影。我还以为是新的。 剧情很奇怪...

                         ( 展开 )",,,0
9,9,26732578,王牌保安,15d64c8c046b2a3bb6b9a1bc4dd469e2,b835fa343d004c356420e71043fda1f1,3,2017-07-12 01:22:18,"这篇影评可能有剧透 

                        一般般的电影。电影开始二十分钟左右我已经把本片剧情猜个大概了，很套路，剧情很简单，部分剧情衔接过于突兀。 片中反派技能有点bug，反派乍一下看上去装备齐全，然而关键时刻遇见主角技能立马下线。主人公永远不死小强自带返伤刺甲，喽啰们永远先后一命呜呼，所以观看本片不...

                         ( 展开 )",4.0,,2
