,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26747836,喵星人,3abdfc164fa6c73581e206324d9fc713,246088ef3cb0ef59e0bdb3633a5baac0,5.0,2017-07-14 23:05:21,今晚看了这部电影，说实话本来开始以为是烂片，纯粹为了看古仔，但是看了后真是出乎我的意料，全程有笑点有泪点，影院几乎满座，大家都笑得很开心，我男朋友也笑得像傻子，后面感人的地方我也眼里有泪，明知道是煽情了但真的是有戳到我内心，后排小朋友都哭出来了，看完后真的觉得是一部非常不错的片，美团也上了8分，所以兴致勃勃来了豆瓣，真是简直了！！！看了那些短评自以为是的人，对不起，你们智商太高了，看这种你们所谓的“弱智片”真是玷污你们的智商了，明明就是一部单纯的喜剧片，也很有意义，不知道怎么就被你们说得一文不值了，是我们影院的人都像智障所以觉得好看，还是你们内心真是太成熟了所以完全get不到点，谁说get不到小朋友的点，至少我那场的小朋友笑得很开心，哭得也很伤心，所以真是不明白那些一星差评的人，你们到底是想怎样，客观来讲这部片可以值四颗星，但是看到那么多一星的我多加了一颗星，至少我觉得看这部片……值！！！还会介绍我周围的朋友去看！注：那些说古仔沦落到演这种弱智的人注意了，我没有看到弱智，我看到的是一个很好很好只是有点老实傻傻的爸爸，有这样一个爸爸我是非常幸福的，这部片让我更爱古仔了！！！,31.0,8.0,5
1,1,26747836,喵星人,369e1c6a787de6a47a9a597a83ca8d1c,f38fa0fa951a84dbe9e28968f381dddc,5.0,2017-08-21 18:18:03,喜欢猫咪，而且喜欢动画电影或是奇幻片，被片名吸引来看的，相信很多人也是出于这个原因，但是更多人应该是看到古天乐主演才来的，我觉得评分拉低应该是这部分人由于个人不喜欢这类片而不理解觉得古天乐拍了个烂片，我要为古天乐为这部片子喊冤！ 这部片子我想给七分，但是评分居然这么低我只好给五颗星均衡一下，一颗星给肥猫，一颗星给古天乐，一颗星给他们一家人的爱，一颗星给编剧和造型师，人物造型都是符合人物形象性格的。 很多人说烂大概是因为他们没有童心吧，所以他们不觉得巨猫可爱也不理解这个剧情，首先，它的标签是喜剧奇幻片，不是现实片，不应该用现实角度去批评它，它是一个很温馨很纯真的片子，可能更适合年龄小和童心未泯的人看，就我本人来说，比起现实的谈情说爱和打打杀杀的雷剧，我更喜欢动画电影和这种有爱的片子。 我看了很多差评， 有人说“太烂了，成人看着一点没有意思，如果是给小朋友看的，但我又get不到小朋友的点也不适合给小朋友看”，你是个成人，已经没有童心的成人，你怎么可能get到小朋友的点，真是呵呵了，这个差评真是莫名其妙，明明电影院里前几排的小朋友看的很开心，一直哈哈笑，自己想不通就算了，居然用自己想法臆测小朋友的想法。 有人说“这就是个烂片，我从未见过如此丑的猫”，我不说这个猫到底丑不丑，就说你这个差评给的真是任性，你不喜欢这个猫的形象不应该成为给一星的理由吧。 有人说“古天乐又没钱了吗？来拍这种烂片”“古天乐又缺钱盖学校了吧”说这种话的，你真的认真看了吗，怕是只为了针对他个人吧，古天乐有没有钱我不知道但他是在认真的演戏我看到了，而且，现在做公益也变成人们的笑点了吗？他盖学校是真的帮助到了很多贫困的小朋友，不说什么大大地赞扬，怎么也不该是嘲讽吧？把这两个联系起来过分了吧。,137.0,20.0,32
2,2,26747836,喵星人,20d9825fa1c895a97ddca46cebfeff0e,95329286fdc0020049971c4ef8fc0b7e,1.0,2017-07-18 23:16:46,"一、和几天后的一张电影票把时间弄混了，到影院时间晚了十几分钟。
二、到影厅时，蓝猫刚好爬出飞行器？，第一感觉，谁家的劣质染色剂，这毛一看就是假的，差评；第二感觉，这猫好丑；第三感觉，这是反派？
三、整体感受很不好，非常极其之不好，或许有偏颇，但这是我真实感受，接受相左意见，不接受反驳。 四、不明白男主为什么要一直眨眼睛，这个设定对人物塑造有帮助吗，好像爸爸还是个足球运动员（以前），这样老是眨眼睛能踢球吗，严重怀疑。 五、男主太傻，傻成这样，很难说是心地善良容易被骗可以说的通的。 六、犀犀利的主人最后也没有来找猫，是把犀犀利（地球的那只）忘了吗。 七、喵星球来的猫，西米露？配音太失败，旁白差评。 八、真没看明白，大喵（外星猫）是怎么就转变了态度的，一秒钟转变？ 九、女儿很可爱，老觉得很熟悉，可年纪也不大，想不起来在哪个综艺或电视剧里看到过她，还给我留了印象。或许我记错了。 十、哥哥喊爸爸时感觉有点违和，太客气，如果是配音，嗯，没配好，如果是自己配的音，我接受。 十一、看到还有四十多分钟结束时，我开始时不时的看手机，编剧，你出来，我绝对不打死你，毕竟，我很珍惜自由。 十二、整个影厅有五个人看，我去之前有俩人，我去之后几分钟，又到了俩人；我看到了最后，还看了彩蛋，最后一个走的，有俩人影片没结束就走了，在我开始看手机之后一会。 十三、喵星球，有宇宙旅行的能力，整个星球一点绿色也没有，整一个荒芜星球，你搞笑呢；吃的还是生土豆，土豆长在地下，这没错，但你告诉我，地上的叶子呢；汪星犬，对着生土豆流口水，我想打人。 十四、我一度怀疑古天乐和玛丽被制片人和导演绑架了，表扬一下两个小演员，最起码，养眼。",21.0,14.0,12
3,3,26747836,喵星人,b6f2551c5d3ef78a7f369ed4cfc3ace9,4bf8c839351ea15a2dfeab7fd202ce07,5.0,2017-07-15 06:21:05,说这个片子幼稚的人，是不是内心已经老掉牙了？中午看到评分也是醉，心想这究竟是有多烂？喜欢萌猫的我晚上拖着四岁的儿子一起去看，影院里坐着的观众从60后～2010后都有，全程笑点无数，犀犀利的大眼睛很像怪物史莱克中的那只穿靴子的猫，性格也真是又贱又萌肥坨坨还傲娇，这很猫咪呀！剧情很温馨，马丽演的妈妈，除了上班还需要操持一家大小的日常，非常辛苦的时候难免脾气躁，这很符合现在很大一部分妈妈的现状！哥哥和妹妹都好乖，小芈月的表演灵气十足，特效也还不错的！唯一要吐槽的就是男神的发型，古天乐你这个抹布头真的丑爆了哇哈哈哈，我那少女时代的杨过只能留存于记忆了（泪奔～）那又怎样呢？剧中的爸爸就是这么个傻不拉叽老被骗的但又耿直憨厚的铁闸门啊！反正大家都笑得座椅打颤，我儿子回来也是念叨犀犀利，能带给观众久违的童真童趣和无压力的快乐，就是这部片值得赞扬的地方啦～,20.0,10.0,16
4,4,26747836,喵星人,da0e330675f64ff779e9f058dfa8a488,39376f8c9f3f981d9c6cd99e8c823d53,4.0,2017-08-23 00:47:34,嫌弃古仔拍这电影的大多直男癌吧，认为香港男演员就只能演硬汉？ 影片用童趣的外星猫元素通过表现喵星人与这一平凡的一大家子善良单纯。虽然房子一看就知道是家有儿女式的布景，整体暖色调能烘托出这家庭氛围的温馨简单。也符合影片诙谐逗趣的风格。都说里边的男主傻，我倒觉得他不是傻而是太善良，而最后发现藏宝图是真的也点出了傻人有傻福的简朴乐观的一面,20.0,4.0,2
5,5,26747836,喵星人,383cc06e47181f4e1fa698499de8eb65,635724bf659742d0e51d60a393515f79,5.0,2017-08-24 00:35:02,晚上吃完饭，我们一家人坐在沙发前，一起看了这部喵星人。 电影意料之外的好看。之前我一直以为豆瓣6分以下全是烂片，没想到这次万能的豆瓣也会有不准的时候。 剧情逻辑还算过得去，古天乐，玛丽都算是正常发挥，大部分的笑点都很自然，没有那种强行挠咯吱窝的生硬。儿子老婆看的都很开心，全程都在笑。结束的时候还有点依依不舍。 特技也很不错啊，在水准线以上。 作为一部偏儿童化的家庭喜剧，这部片子算是很不错了，最起码比国内很多同类型片都要强很多，没有洗脑，没有说教，没有少儿不宜，没有尴尬，但是全片都有一种家庭的温馨在环绕。 凭良心两讲，打三分都算是有点低估。 但是豆瓣里面一面倒打一星的，我实在看不懂，难道豆瓣这些观众审美就有这么高？高到我们普通观众都高攀不起？ 有些上来就说片子低幼，弱智的，这本来就是儿童片，你一个大人跑到小孩子面前秀智商，有意思吗？ 为了这部被严重低估的喜剧片，我打五分。,11.0,2.0,1
6,6,26747836,喵星人,62807546acdb68becf28a5971302a27c,fcad230655089cfd2cabbbde3673612a,1.0,2017-07-17 13:41:58,上映之前猫眼上评分8.4分，看着这个我才买的票，但是根据观后感来看，建议大家上映一周之后再看豆瓣或者猫眼的评分，上映前的评分多半都是通过水军吹上来的。      言归正传，我先说一下这部电影好的地方：      （1）画面做的还算细腻，当然不是说的特效部分，而是说的那种温情的正常画面，很有那种欧美叙事电影的风格，其中的画面我觉得还算是世界级的。      （2）想法还不错，能够通过大开的脑洞叙述了一个还算说得过去的故事。      （3）主题反应的就是温情、人间的爱。总体思想还不错。     这部电影 不好的地方：      （1）受众不明确，这是中国电影最大的毛病，受众不能明确，整部剧有的片段是小孩看的，有的地方是大人看的，像日本动漫（龙猫、千与千寻等）老少皆宜；      （2）主题生硬，我一直认为一部优秀的电影，其表达的主题一定要贯穿整部剧里面，比如千与千寻、龙猫等电影主题都是贯穿全剧，而不是像中国电影一样主题都是在最后强塞进去。      （3）特效太假，一直搞不懂为什么中国的特效都是如此之差，是因为技术原因还是资金原因？喵星人里面那只犀犀利造型也实在是太难看了，一点都不萌。      这部电影作为香港影视作品，感觉到香港电影已经停滞不前了，仍然停留在星爷那个年代，里面的搞笑剧情、语言、表情都是非常生硬的，感觉不到自然的流露。      总体来说，这部电影我觉得10分满分的话，豆瓣评分4.4分还算是比较中肯的。,12.0,9.0,7
7,7,26747836,喵星人,2e86ef348001738ff5afb7ae31e7837f,934428e12d75f9ffc7bf630408669cc8,2.0,2017-07-15 10:25:21,作为以猫为主的一部电影，猫真的太丑了，我的审美告诉我不能接受。。。两个小孩倒是很可爱。 搞笑电影嘛，就笑呗，古天乐是一代男神，马丽称得上是搞笑女王了，这两个人的组合可以说是天马行空的尴尬。 怎么说呢，可以说是小孩子电影了，逻辑简单，没有新意，不知道拍这部电影来干嘛？ 中国电影什么时候能给人希望。😞,16.0,4.0,6
8,8,26747836,喵星人,2e32f680abe1e4c92a0539554f1263b7,54397fdfdc3ec6fe38b764e56e4a322e,5.0,2017-07-14 23:36:13,看了豆瓣那么多负面评价！今天全家出动看了犀犀利，这是一部很赞的合家欢电影，有点超出意外！所以你们买票前要慎重！ 合家欢电影！合家欢！合家欢！重要的事情讲三遍！无论什么电影都不能满足所有人的爱好，所以买票前请慎重！！这不是烧脑片不是科幻片也不是浪漫爱情片，导演也说了这是一部合家欢！ 古天乐在剧里不是男神！他只是一个很疼家人但是心底善良容易给人骗的爸爸！为了给女儿治疗天生残疾所以拼命想挣钱！！“我就算再没用！我也要守护这个家！做这个家的铁闸门！”只是想看男神盛世美颜的请去神雕、寻秦记、创世纪、圆月弯刀…… 划重点！古仔和恬恬演技很爆炸，赞一个！恬恬和古仔哭的时候我都心酸的要哭，马丽和开心麻花的成员也增色不少！靠颜值维护地球和平的李老师让全场爆笑😂主角犀犀利蠢贱萌肥浪到我想回家马上再做一只粘土犀犀利！！！有小朋友的各位一定不要错过了！一定可以让小朋友留下一个美好的回忆！！建议全家出动去看！好了不剧透了周六周天大家一起去看哇！,11.0,6.0,0
9,9,26747836,喵星人,214f24fdd3dcf8e5d5900f28953d9df4,51dc2c24c4bd2408a2b4b6dd385bdf94,2.0,2017-07-11 13:51:02,这是一个喵星人想要侵略地球，却被地球（人）反攻略的故事。   此片南北不调，水土不服，香港的背景加上了马丽，艾伦等一众北方喜剧演员，强行植入，南不南，北不北，古天乐和马丽这对“天马”CP是集聚了人类之想象，尴尬程度远超《拆弹专家》里刘德华和宋佳的“佳华”CP，再搭配两人的几次吻戏，真是世界玄幻，无法直视(๑⁼̴̀д⁼̴́๑)ｯ   剧情套路套路套路，看了前面猜到了后面，关键是剧情如此套路的电影，你却会觉得逻辑清奇，不要说bug了，这整部电影就是一个bug。主角那只猫“犀犀利”那么大只，我实在是get不到它的萌点。其实电影的核心感情是很动人的，可惜电影完全传达不出来，成功达成了看完整部都没有入戏的成就，还是让那些小朋友看吧。   再说一句，陈木胜导演的动作片可观性还是很强的。此等魔幻喜剧还是再考虑下吧……,21.0,5.0,0
