,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26759783,救僵清道夫,6b7486e7023eb532e25b55cf17c7f500,e927286869de16df65a4c026dd88ddac,3,2017-06-24 23:07:25,"这部救殭清道夫还算可以，能看的过去。
大概是因为两名主演都是新人的关系，演技略有些生涩，不过没什么关系。林明祯演的不错，以模特出道的她应该是用了较长时间琢磨如何演好一个僵尸了吧。
不过这部电影硬伤是在剧情部分，开头介绍张春天的经历用的很生硬，似乎是故意插入一个曾志伟扮演的警察的角色，而且如果要张春天来慢慢解释自己的由来的话会耽误很多时间救人，所以开头减了分。 其次，可能是由于要压缩影片时间的缘故，里面很多转折都来得比较生硬，在张春天与其奶奶的情感处理上篇幅过少，这就导致了看完有个疑问，为什么张春天的奶奶在他需要装备的时候突然恢复了神智？他奶奶到底是装糊涂还是真糊涂？影片都没有给出细节解释。 第一次写影评，想不到太多的话。 总之，这是一部尚可的现代僵尸爱情片，演技中上，剧情中等，细节中下，总得评论是可以看，尤其是对我们这些僵尸迷来说，个人感觉6.0分左右。 在僵尸片没落的现在，随便一部外国丧尸片都能在大陆圈几亿十几亿的票房，而香港僵尸片由于政策，不能在大陆上映，也许没有这些拍僵尸片的电影人，以后我们就再也没有僵尸片可以看了。 导演如果有意拍下一部僵尸类型片的话应该多找几个编剧，好好商讨如何处理细节部分，这种片子大纲基本都是差不多的，差的大多数在细节，细节太粗糙的话会让很多人失望。 希望港片能不断进步，起码比现在中国大陆的那些垃圾片好太多太多。",15.0,3.0,10
1,1,26759783,救僵清道夫,c3710d50873d8eea2c11aa63e9de7fa7,3416c83498dfc14c1059c089a66fa8a4,3,2017-06-27 17:29:29,"不同于四年前那部重温港影腥风的『僵尸』，『救僵清道夫』的故事亲和寡淡了许多，前者以文艺的笔触揽来浮屠魅影，后者却只有爱情的浮光扫过了前尘与旧梦。朱砂红被女儿家面上的脂粉搁浅，符纸黄若将要殆尽的残阳，桃木剑指青天却没有熟悉的道袍重披上阵，膝下的合体长衫终究还是换作了躬身的荧光马甲。圆月对影成双、日照烟消灰尽，正如时间的齿轮将经典的棱角消磨碾去。
影片尚有令人中意的地方在：鸽楼里食粥看戏，夜湖边符扇拳脚，以及最后一场动作群戏的招式花架搭得略有些味道，邵音音亮出斩妖长剑与钱小豪揭开决斗幕布，还是颇为撩动了港影迷捏拳拊掌的心情。",17.0,3.0,2
2,2,26759783,救僵清道夫,f10d39c86f9e2defab906bbbc12711fd,49f91b10c651440c1b13538a60ba9e76,1,2017-07-09 01:03:38,"看新闻报道说此片超麦浚龙的《僵尸》，真是无良小编。故事情节说不清楚，人物性格转变莫名其妙，影片毫无新意，看到开头就能猜到结尾。僵尸反派是目前看过战斗力最差的，可惜了可爱的女主僵尸。

男主说不用杀僵尸，最后也没有坚持自己的看法，挺好的一个点，就不了了之了。还有开头说僵尸里百年一遇的，还以为可爱的女主僵尸不用死呢，最后看到女主从小夏过度到冬冬，真是让人累觉不爱。",4.0,,1
3,3,26759783,救僵清道夫,d4b8a04bf085c338fa3c380b3e1d8d58,f15c42e1b14e315bed5d54db87245728,4,2017-04-11 22:44:23,看电影前不小心看到一个小豪的访问  他提起重看以前自己的僵尸片，看到林正英和许冠英  “又想起当年那时，可能拍这个镜头可能用了三天三夜……又过了那么多年头……”  “回头看，有一番趣味，有一些……”话没说完，他已哽咽到无法继续，拼命忍住泪，说  “有一些怀念……真的……”然后羞涩笑了，说“不好意思。”   “好像是昨天发生的事情，今天却已经十多年不见了，他去了另外一个地方，许冠英也是。  已经不可能再有这个人存在了，是不是？想起这些东西，就有些，不好受。”   然后在电影里，音乐响起来  “难道我可以扭转宿命，重遇你一次，难道故事终结早已注定，没法制止……”  一页相簿翻过，是当初林正英与他们的合影  我，一个从未看过僵尸片的新晋港影迷  在电影院里哭到崩溃了。   他再也不复当年的青春靓仔、顾盼生姿  他教后生仔斗僵尸的身体微微有些肚腩  我又想起小豪的那个访问，想起小豪无法控制的泪涌  想起他执着地拍僵尸片，想起他一个人站在银幕前，心中却始终带着师父和师兄。   这个世界那么多真挚的情感  多有幸我又见到一番。     湖：  男主的爸爸叫 阿龙，男主的爸爸有个同事叫 姜师傅（老姜）。,26.0,2.0,5
4,4,26759783,救僵清道夫,d1d59be867a017b2ad049fdbcc64a2f2,cf3c56d4da308b159e1a019c056f5640,3,2017-06-27 16:58:47,不如开门见山的说，满怀期待的迎来这部片，但却只遗留下遗憾。        也许对于新时代的观众来说，这部片子还能算有趣，但对经历过香港僵尸电影黄金年代的人们来说，这部片子连新瓶装旧酒也算不上。        传统僵尸片里，总有一个像许冠英，楼南光扮演的蠢笨萌角色，但这部片改变了这个结构，让一个靓仔扮演这个角色，还顺势成为了男主角。本片最大的诟病，就是让这个靓仔和一个女僵尸来了一段爱情戏，而且这戏份太长了，仿佛是用僵尸类型片来打造不一样的爱情片。顺应时代的代价就是丢失了传统。仅仅启用这个男主角，就已经背离了僵尸片的核心。         钱小豪上了年纪，但还是成不了师傅。他同林正英的距离，就是对于道长这两字的理解。简单的来说，有林正英在场，再惊险的场面也能令人安心，但钱小豪还不够令人放心。         从上一部《僵尸》开始，创作组就有意往影片里加入一些伦理道德的讨论。到了这部影片，加了更多的戏份来探讨僵尸的好坏，捉僵尸的意义，亲情的认识等等。乱了，太乱了。这就像是给正宗四川回锅肉加咖喱，给叉烧饭加豆瓣。        对不住，我真的很想支持香港僵尸片，但这部片子，我的内心讲，不好看。,6.0,,0
5,5,26759783,救僵清道夫,aabb809d76c0901dc60bf7d1a034a401,cde7b9c95e9c399086fa855a0b0fd167,3,2020-06-20 21:48:34,"电影名取了个谐音双关，救僵，就是救僵尸，也有“够姜”，够狠够辣之意。吴耀汉，钱小豪，袁祥仁，邵音音，曾志伟…一群甘草老演员客串，港味纯正。名字有个“清道夫”，是因为这是一群外表打扮神似环卫工，实际上是捉妖的秘密组织，还是公务员。平时身穿荧光马甲拿着竹扫把，工作时反转马甲用来当道符，打开扫把里面藏着是把桃木剑，走的还是轻松搞笑路线。

捉僵尸不再是重点，和一副靓模造型，童颜巨乳的女僵尸如何一吻定情谈恋爱才是主题。剧本实在太弱了，基本上就把八十年代的那些人鬼情重新包装一下草草了事，不知道是不是预算不够的缘故。观众想看的，当然是如何捉鬼降妖的过程，画符啊打斗啊暴走啊怎么也得来点，而这一切通通的化繁为简。大概正如男主角剧中所说，这年代谁还手动画符，用手机拍一拍不就得了。僵尸片，就变成了不伦不类的人僵恋。大BOSS身为地主却穿着一身官服，血不够厚来战斗值也够呛，没两下就GG了。加上男主角蔡瀚亿本身就不是一个能打会闹的角儿，一脸柔弱的小生让他斩妖除魔，总不能唱唐诗三百首吧。这几年电影演了不少了，好像也是没什么名气，混个脸熟而已。

大概就这么回事，僵尸片早没落了，即使前两年麦浚龙让它续了点命，但也始终逃不掉封进潮流的石棺。大陆又不给拍真的鬼片，只能眼睁睁的看着它日渐干涸成了旱魃。或者等过多十年八年，风水轮流转，会再有人把它翻出来，喂它影片投资商的鲜血，帮它还魂呢。",1.0,,0
6,6,26759783,救僵清道夫,42bd03ed9b852e2cfbaf9c7418643c39,9035e4f40cdb0503476a89e414254347,3,2017-07-10 17:16:57,文章首发于奇遇电影（题目有改动），2017年7月2日   又逢周年纪，关于香港电影的一些老生常谈的话题再次进入视线。20年间，时事变迁，可以探讨的内容真的太多。     回到1997，这一年，很遗憾，有两位重要的香港电影人在年初和年尾相继辞世。   其中一位是闻名世界的武侠电影大师胡金铨，另一位就是香港僵尸片的代言人——林正英。   从1985年《僵尸先生》开启风潮到1993年《驱魔道长》的独力苦撑、再到1995年亚视剧集《僵尸道长》的荧幕重生，从他一个人身上我们便可以看到一个片种在香港由兴盛到衰落的发展弧线。     用“一个人撑起一个类型”来评价林正英，的确不为过。   今年3月份，一部为纪念林正英逝世20周年而制作的香港本土僵尸片《救僵清道夫》上映，最近也出了资源。好多熟悉的老面孔如钱小豪、吴耀汉、袁祥仁、罗莽等都在片中出现，无疑又是一波回忆杀。     其中钱小豪与吴耀汉均为林正英僵尸片时代的重要演员，这也是二人在《僵尸》（2013）之后的再度合作。     谈《救僵清道夫》，还是要再啰嗦一下麦浚龙导演的《僵尸》，两片都是主打对传统港产僵尸片的怀旧/致敬，将这两部具有一定承继关系的僵尸片放在一起看待显得很有必要。  四年前的《僵尸》集合了钱小豪、陈友、吴耀汉、钟发等80年代僵尸片的代表演员，但导演又用一个反类型的定位彻底将其颠覆。   浓烈的迷影气息、电影类型和电影人在戏里戏外的高度呼应让观众回味无穷。     《僵尸》在香港取得了票房和口碑的双重成功，甚至刺激了僵尸类型片的小幅度回潮，紧接着就出现了《天师斗僵尸》（2014）、《尸城》（2014）、《天师归来》（2017）等片。   可惜的是，这些影片中没有一部为用心之作，而更像是借着《僵尸》掀起的怀旧风来继续榨取剩余价值，终究不过是纯商业居心的跟风投机。     在这样的形势下，再度打着致敬／纪念旗号，并且主演又包括钱小豪与吴耀汉的最新香港僵尸片《救僵清道夫》难免要背负质疑。     对于当下更年轻的一代观众而言，这部没有名导演与名演员、剧情套路、类型有些含混的僵尸片可能真的没什么特别，搞不好还以为又是一部网络大电影呢。   可是对于那些从小看港片、长大后还念念不忘的广大“中年人”来讲，《救僵清道夫》在意义层面上的东西已经超过了本身的质量而成为一部话题性电影。   从个人角度讲，它的剧情完全无新意，人物关系也很常规，可是若放在香港僵尸片历史与当前创作环境中来看，所有俗套的设置又都带上了一点互文和双关意味。虽然依旧有老影人面孔，套用的也还是传统的类型框架，但《救僵清道夫》不论在角色设置、故事走向还是主题上都与《僵尸》有着本质的区别。   这种区别是在项目酝酿和电影拍摄之前就已经决定了的。   《僵尸》几乎是麦浚龙个人化的作者电影，它不是类型不是模版，而是要表达基于导演自身成长经历和电影喜好的私人情感。   所以麦浚龙说不会因为票房口碑的成功而去拍续集，因为他的某一种情感已经在这部电影中宣泄完了（与此类似的还有郭子健的《打擂台》）。   而《救僵清道夫》是为纪念林正英逝世20周年而拍摄的电影，这种“主题先行”的既定性使得影片超出了私人意志而具备一些更宏观、更现实的意义。   整部影片处处都是对香港电影的自我指涉，“传承”成为了一个核心主题。   大量的有意突出的情境与符号让这部本身质量并不出众的香港僵尸片具备了类型自觉意识，熟悉这一类型的观众也会收获迷影层面的观赏乐趣。   从故事和角色设置上看，《救僵清道夫》与《僵尸》最大的不同在于蔡瀚亿饰演的男主人公是一个生活在当下的普通香港青年。      影片围绕着这个稚嫩的年轻人讲述了他如何从不相信僵尸、不认同僵尸猎人到一步步融入组织并成为新一代僵尸猎人的成长故事。   包括钱小豪、吴耀汉、袁祥仁、罗芒在内的老一辈电影人作为配角出演了主要的组织成员，同时也都是教授男主角如何捉僵尸的导师。   借用传统港片（比如成龙电影《醉拳》）中经常出现的“学艺”模式，以及钱小豪、吴耀汉为代表的港产僵尸片力量，《救僵清道夫》用电影化的虚构故事寄托了对重振香港僵尸片的一种美好希望。     当然，由缺乏经验的年轻人担此重任肯定不能一蹴而就，代际之间产生的沟通隔阂也是一大难题。   所以影片在表现蔡瀚亿首次进入组织内部时突出了他的种种不解与试图逃避。   例如他在听吴耀汉介绍香港僵尸出没以及组织历史的时候说“我根本不相信有僵尸啊！”。     此外，组织内部之间为是否招新人而产生的争执也正对应了当前香港僵尸片创作的老化和人才断层现实，比如下面三位演员之间的这段对话：   赵学而：上面削减了预算，哪有钱请新人？  （僵尸片大多成本低廉，如今更甚）      吴耀汉：不请这些年轻人，将来我们这群老家伙死光了怎么办？  (港产僵尸片面临后继无人的现实）   钱小豪：也不行，万一他出事了，你心里过得去么？  （新人培养不好的话会自砸招牌）     影片中蔡瀚亿在一次捉僵尸行动中巧遇了林明祯饰演的女僵尸（由马来西亚90后歌手/模特林明祯饰演，兼备身材与颜值），因不忍心杀害而将她保护起来，在相处的过程中人与僵尸产生了情感联系。      这样的设定如今看来很套路甚至已显滥俗，早在此前就已有《暮光之城》系列以及《温暖的尸体》等好莱坞热门电影涉及此类话题。     《救僵》在这一点上确实缺乏新意，在漂亮女僵尸出现后大家基本上都可以猜出影片接下来的故事走向。   所以，这样的设计到底还有什么意义？还是要回到前面的话题——将电影里的故事、人物与影片制作的先行主题相参照。   片中作为师傅的钱小豪一直向蔡瀚亿强调，僵尸一定要杀。但蔡瀚亿却向袁祥仁表达疑惑：“僵尸一定要杀么？真的就没有其他的路么？     袁祥仁回答道：你既不是人也不是尸，就看你能不能走出自己的路了。   其实，这个基于电影本身的剧情而提出的疑问也是幕后人员对于当下僵尸片创作的自我发问。  之所以说男主角“既不是人也不是尸”，是因为影片中他独特的血液能够抵抗尸毒。   以此作为比喻，可以理解为新一代的香港年轻电影人已经与老一辈电影人有很大的不同。   前辈的经验固然重要，但他们的未来，香港电影的未来，还是要靠自己去摸索和探路。     片中出现的另一幕则可视为男主角为代表的年轻人的回应：他不仅固执地选择保护女僵尸，还试图让她融入世俗生活。   比如教她学走路，并对女僵尸说“我们一步一步来”。   这正是透过电影向年轻的导演以及观众们传达的信息——走出新的路的确很难，但不要着急，去尽力尝试吧。   片尾，已成为新一代僵尸猎人的蔡瀚亿在为新加入的组织成员讲解时，影片用一个面向观众的仪式化的镜头让他说出了下面这段话：   “其实每个人的路都是自己走出来的，好或坏，就看你自己怎么走”。   这不就是一种自我砥砺和想象中的圆满结局么。   《救僵清道夫》是由甄栢荣、赵善恒两位香港新人导演执导的尚显生涩的作品，成片品质虽然不算优秀但也保留了一定的香港本土味道。   关于V.C.D特别行动组（Vampire Cleanup Department）的设定、现代与传统的对比也挺有意思。不过在漂亮女僵尸出现后整部影片基本上滑向了爱情片，僵尸元素以及大反派的线索突然消失又突然出现，断裂感明显。      影片并不旨在展现僵尸的类型化场面，而就是一次借类型之名而为僵尸片、为香港电影所作的一本纪念册和励志薄。   与《僵尸》相比，它更直白、更加主旋律，也更带有一种明亮感与乐观精神。   一两部新的僵尸片、几个新的电影人并不能挽救一个业已衰落的类型，或许香港僵尸片在短时期内真的无力回天，但香港电影还是要走下去。      文艺一点的话，就借用《一代宗师》里的那句台词：留一口气，点一盏灯，有灯，就有人。   通俗一点的话，就是本片中邵音音老奶奶对孙儿讲到的——“你想这个世界变成什么样，你就努力喽，阿天，努力一点！”。,1.0,1.0,0
7,7,26759783,救僵清道夫,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,3,2017-06-25 19:25:00,片名不好，不如干脆叫《救僵》。       僵尸题材在香港一向有市场，不说林正英年代，就算偶然拍一部新颖一点的僵尸片，都会有好的回报，像《千机变》、《僵尸》等，电视剧《我和僵尸有个约会》、《僵》等也是大受欢迎。但好的点子不多，像之前一部《死开D喇》与房地产结合，还试图加入喜剧元素，结果却是不伦不类。   这一部也试图玩点喜剧，但很可惜编剧水平有限，笑不起来，而《人鬼情未了》式的煽情也因为前面对男女主感情的铺垫不足而让人觉得尴尬。而对大BOSS的凶猛营造也不足，让人对最后的大战没什么期待。又整体恐怖气氛上远不及《僵尸》，使这片子掉入了《死开D喇》一样的两头不到岸局面，既非喜剧爱情僵尸片，也不是纯正的恐怖片。什么都想要的结果就是什么都得不到。这片子还加入了点情怀元素，但于事无补，弱剧情神仙也救不了。       蔡瀚亿真是没什么存在感啊，脸盲症的我看了N部他的片子也记不住他的样子，看来他要成为一线的唯一途径就是跑到大陆拍电视剧了，香港真的没有堪大用的新人！女主林明祯胸器十足，但演技业余。一帮老戏骨里除了吴耀汉，邵音音、曾志伟、罗莽都太应付了，尤其曾志伟，感觉像中午过来蹭个剧组的饭盒，顺便用了十分钟说了几句对白就拍拍屁股走人了，支持新人导演不是这样的。       导演编剧都是新人，编剧之一还是香港新浪潮代表人物章国明的女儿，但只能说这几个新人才华有限，完成度只能打60分，没什么惊喜。,6.0,3.0,5
8,8,26759783,救僵清道夫,3e1605682ff7ac6f0ddb574a3517fe68,cfd698c1d81eb563ad7a197529133617,3,2017-07-17 19:52:46,香港開埠以來，一直有殭屍出沒。城市隱藏著一個捉殭屍的秘密組織— 食環署特別行動組，簡稱VCD。半夜掃街的清道夫其實是殭屍獵人，巨大的垃圾桶裡藏著剛收伏的殭屍，旁人避而遠之的垃圾房…正正就是他們秘密基地！   　　善心宅男張春天（蔡瀚億飾）偶然被VCD打救，組織領頭（吳耀漢飾）發現他的血能抗屍毒，認定其潛力無限，要武功高強的打手葉之秋（錢小豪飾）、技術支援組老姜（袁祥仁飾）與大舊駒（羅莽飾）向他傳授畢生所學，繼承組織使命﹗   　　一次組織行動，張春天不忍傷害漂亮女殭屍小夏（林明禎飾），違反命令與她共住一室，引來百年老殭屍王的致命攻撃……,3.0,,0
9,9,26759783,救僵清道夫,ee41ca6cb2acea07c644e1dfcdc21fec,4b90efb32e0940328f8bd163dc9c6a66,2,2017-06-26 14:42:59,本着纪念林正英的缘由给了一星，另外一星给钱小豪。  【演员】  主要演员         香港这二十多年来，极少再有60-90年代初的那种武打身材的演员。只见过一个向佐。钱小豪也已经是人到中年胖大叔，打得某睇得。电影中张春天由蔡瀚亿饰演，出身爱好音乐而投入表演系。对比起来，钱小豪第一次和林正英拍戏时才23，加之是练武底子，正是样子和身材风华正茂之际；而蔡瀚亿30正，样子虽年轻，但是身材和身手远远不符合一个年青的武打主角。林明祯，只能是说除了演可爱就没别的了，更不用说跟李赛凤这种去对比武打技能。  其他演员         角色设定都太多余。连可圈可点的都没必要。   【剧情】         一个字，烂。一看到张春天的血是抗尸毒，马上沉闷。这年头动不动主角有主角光环是正常的，可每一部的影视里主角连血都是无敌的，实在闷。看到林明祯饰演的女僵尸小夏出场就已经知道人尸必定不能在一起，而反对最强烈的必然是叶之秋，最后不能在一起的因素只能是小夏去和大BOSS同归于尽，结果不出所料。就因为这样固定的套路，结尾实在感动不起来。另外从开始交代张春天的背景到后面人尸谈恋爱到小夏被叶之秋反对情节，足足占了3/2。说实在的，这部戏里竟然有3个编剧……这么普通的剧情，真的是随便一个路人都够了。   【配音】        粤语的配音总比国语的好，感情到位很多。   【结语】        香港趁着现在还能拍灵异的内容，希望编剧们都能用点脑子多想点曲折点的剧情出来。别到了以后像大陆这不能拍那不能拍的时候就更不可能写得出什么剧情。演员……新生代演员都不锻炼身体的么？武打元素也就没什么能指望。,11.0,2.0,3
