,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26761688,生死之墙,67e6e65c196e10a424901fc9814406ca,08e7e64ed3b67bf19145b59666cfbdb6,2.0,2017-10-17 21:27:00,影片使用了一处被美军轰炸的学校废墟作为一个象征性的场所，来展现一个曾经受过美国教育的的狙击手后转职伊拉克小学教师的复仇行动。先不说一个受过美国教育和培训精通美语的狙击手成为一名伊拉克小学教师的的几率有多大，也不说他能成功破译美军无线电通信的几率有多大，就说推动剧情发展的一个重要技术指标，牛逼的狙击。牛逼到啥程度，牛逼到死神一样的高度。      影片开篇就描绘了其一个人单枪匹马干掉一整个美国保安公司武装小队的牛逼程度。后来进一步升级，1.5公里以外，一个之字形快速奔跑的目标，可以做到连续3枪，一枪不漏，一枪不偏，接连打坏无线电台，打破腰上水壶，最后打中膝盖，就是指哪打哪。试问在沙漠环境下，在风速、弹道的诸多因素的影响下，1500米以外狙击枪就是打静止的目标也不可能在无修正计算的前提下一枪不漏打中以上目标。就算真打中了电台和水壶，以狙击枪的子弹口径和速度，早就重伤或者击毙目标了。      这是没有深度，没有复杂性，一部完全宣泄自我情感和价值观的片子。      为何白左为了自己的左派观点，就可以不惜抛弃必要逻辑的合理，霸王硬上弓，这么刻意和肆无忌惮的美化和神话美国大兵的敌人，丑化美国大兵使其成为了可怜虫和牺牲品，用以反衬美军或者美国在伊拉克的不正义？白左的这种行为就注定了其是烂泥扶不上墙。,49.0,31.0,24
1,1,26761688,生死之墙,93f854a4154173e466ea6a1ba225e03f,8b72df3897cedee0828738d1823df43f,5.0,2019-06-09 16:50:35,"在战场上，狙击手的作用不容小觑，他不仅能引起恐慌，也能迟滞部队的进攻。所以找出敌人的狙击手成为了关键。 一个美军狙击小组接到通知，调查一名活跃在输油管基地的狙击手。等待了第二十个小时后，他们放下了戒心决定深入基地内部查看。这时候，敌人开火了……  一定要找到狙击手的藏匿处。《CQB近距离战斗：波士尼亚战争》里介绍了一些基本的步骤 受到攻击后，立即寻找掩护。观察敌人继续射击的结果，人被击中后往哪个方向倒地，也显示出子弹发射的方向。此外，一些当地的平民也能提供狙击手的信息。确定大致方位后，呼叫炮火将整个藏匿点夷为平地。 现在，让我们来看看电影中的美军是怎么做的？ 以下内容来自《终极狙击手》，作者 约翰·普拉斯特
 第一，反狙击的首要任务是认识到狙击手的存在。 马修深入基地后才意识到狙击手的存在，可是一切都晚了 狙击手存在的主要特征是： 每个人都是一枪毙命没有一具尸体是靠近有掩护的地方，说明他们都是在很短的时间内被击毙的。被击中的都是领导，或者技术服务人员。尤其要注意附近的制高点，它具有非常好的视界。 一枪毙命，而且马修在敌人的视野内  第二，因为子弹的运行轨迹是抛物线，所以根据子弹射入的角度来确定敌人的距离。 如果子弹路径平坦的话，说明敌人的距离小于250码。如果呈弯曲状的弧形，说明敌人的距离是250到450码。如果是陡峭地向下倾斜，说明敌人的距离在450码以上。    使用这种方法的时候要注意，你正在敌人的视野。   第三，用三角定位法，确定敌人的大致位置。 三角定位法是通过远处两点位置取方向线来确定自己所在位置的方法。在这里，他在假设自己是敌人。     最后，一次射击会出现枪声和子弹声。因为声音在空气中的传播速度是340米/秒，所以能够大致推算出敌人的距离。 用“一，二，三，四，五”代替一秒，数到五大约是400码。",48.0,3.0,15
2,2,26761688,生死之墙,73241c41c29ea895d57eb08d4be82420,1c0a11cc4ddc0dbd3fa4d77232a4e22e,,2020-01-30 03:54:35,本片貌似逻辑严密，其实技术上根本做不到，漏洞也很多！ 漏洞一：艾萨克、马修斯又专业又业余。如果狙击者掩护，观察者上前则根本不会发生这种事。在马修斯中枪时，艾萨克应该找狙击手位置。并且对手是在一对二，正常情况没有有把握一次干掉两个是不会开枪的，对手在这个过程也显得业余。而且专挑了个风沙时刻开枪，是能起到掩护自身作用，但能命中么？ 漏洞二：对手对讲、电台都有，而且还能调通，我想军用电台不可能拿来就用的。艾萨克呼叫直升机支援时也是要拨号（或输入密码）的，这些对手都清楚！ 漏洞三：对手的枪法简直无法理解！1500m的运动躲闪目标三枪分别击中电台、水壶、膝盖。对手冒着生命在“玩”，还射击水壶这个不影响最终目标的东西，过分心大了。连续命中直升机上的人员也是神奇！直升机坠落后机体也几乎无损伤。两架直升机，只击中一架却还用老套路诱敌。 漏洞四：艾萨克拿上电台的死亡士兵是自杀、右腿膝盖也有绷带、也未穿上衣、背心也满弹夹、发型形态和艾萨克一样。这不能解释为巧合或对手神奇。 漏洞五：艾萨克在墙后的表现很奇怪，认为对手一定在垃圾堆，马修斯反击时的暴露，自己反击时只射击一枪，而后又要直升机还击。矛盾重重 漏洞六：大家一起补充吧 上述的漏洞其实可以用《搏击俱乐部》来解释。艾萨克在战争中换上了战争综合症，表现出了精神分裂和战场依赖心理。上一个战友、马修斯、救援直升机都是他射杀的，他后来也自杀了。影片展现的是他真实人格的想象。,20.0,4.0,14
3,3,26761688,生死之墙,de65665c881ab8b01dcece30eb102b04,ebf75e3dca461f071e3cd73e7defeeb9,4.0,2017-12-12 01:03:22,也是在南瓜🎃电影推荐上看的…我印象中电影时间不是很长，看完之后，一气呵成，有点惊艳了！很写实的拍摄手法，带着悬疑，引导你。和最近大火的吃鸡游戏类似，是狙击手之间的较量，你要是以为只是对对枪，加上几个手榴弹的五毛特效，你就大错啦……电影给你一种真实战场的感受，我个人从开篇，循序渐进被吸引的～强烈推荐给你们哈,1.0,5.0,0
4,4,26761688,生死之墙,0b9b3e818fde0dd6e69e386e07106797,fe0da99796ca0f68199437983cf90b74,4.0,2021-09-16 01:59:30,对面的整个操作是先干掉所有建筑工人，然后用工人的无线电呼叫安保，干掉安保后冒充安保呼叫上一批美军。把美军杀剩一个的时候同样打坏无线电然后用骗主角的方式用近处的无线电把联系总部的无线电通讯需要的口令密码姓名军衔都骗到，所以这个人不是被爆头而是抱着坏的无线电台自杀，右腿打绷带之类和主角状态完全一样。之前说过了他已经杀了75人，搞一个单兵用的无线电和联系总部的无线电台根本不难。用骗到的无线电使用方式请求援助之类，让总部把主角两人派来。下来用开头从主角口中套出的信息继续呼叫直升机救援，被主角还击后装死，但这里很冒险，从最后破碎的狙击镜也可以看出很狼狈。射杀直升机驾驶员后继续欺骗下一波救援，不知道他可以持续多久。,,,0
5,5,26761688,生死之墙,bf9aa314195bb1caa8c953019d4b6805,1abcf1622371d03f992001cb6cd78919,3.0,2021-08-23 19:39:10,影片一开始，就是狙击手（马修）和观察员（伊兹）在瞄准一堵围墙，危墙周围有友军以及美军雇佣工人的尸体，有趣的是，6个建筑工人和2个护警全部在远离掩体的地方被一枪爆头，而友军通讯员却没有，这很反常，伊兹提了出来，但是马修表示不以为然。这里是导演叙述的一个小伏笔，看到最后才发现，这是敌方狙击手的策略。马修和伊兹已经潜伏了20个小时，这个时间对于一个狙击手来说也是异常漫长，并且潜伏地点还是在干燥酷热的戈壁上。于是，一番对话后，马修认定敌方狙击手已经死亡或者友军只是被小股敌人队伍给歼灭，不顾伊兹阻拦，大摇大摆的走向危墙，一番得瑟后，果不其然被隐藏的敌方狙击手打中腰部，倒地不起。伊兹见状立刻冲去支援，遭到狙击手拦截，被打中水壶和无线电（也是敌方狙击手有意为之），膝盖也中了一枪，血流不止，但勉强躲到危墙后，保住一条命,1.0,,0
6,6,26761688,生死之墙,f7c682cc4c7798e312617c5282c7ffd5,04254644fb0b2c45e241c9acab5fd36c,4.0,2021-07-11 06:55:55,"原本以为会是反派死于话多的套路，结果出乎意料，反派冒充救援人员，反复钓鱼，当然了，最重要的一点是切断通讯，不光要打人，还要把通讯设备打坏，躲在墙后边的大兵失血脱水睡着之后居然还能够醒回来。像他这种样子的居然还是特种兵，心理素质太差了。

四星8分，如果反派最后被翻盘打死了，打一星，但是最后反派成功了，很好，算优秀。侵略者就该有这样的下场，死不足惜，死得越多越好，越惨越好。",1.0,3.0,0
7,7,26761688,生死之墙,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-05-26 20:03:24,故事围绕驻扎伊拉克的两名士兵展开，队友受伤，神秘狙击手的穷追不舍，矮墙铸成最后一道生命线。两人将何去何存？一场猫鼠游戏在所难免。破坏了不少狙击手战场上的准则... 当然这两个美军士兵也是太随意了... 死了也应该。与敌人之间的对话，算是为影片打开了一个不寻常的交流通道了。 战争都结束了，为什么你们还在这里？？？,,1.0,0
8,8,26761688,生死之墙,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,,2021-05-13 16:32:54,除了艺术电影和导演自嗨，一部影片的开场很重要，本片开场的几个问题就影响了观感。 其一是用这种固定单一小范围场景讲故事，只有观众熟悉场景，才能跟上你的故事，你最好交代清楚。可惜导演一直舍不得给个俯视整个场景的画面，第一埋伏点的山丘、管道、死尸、车辆、矮墙、敌人可能位置的相对位置和方位一概不知。 其二是突然遭遇攻击，美军狙击手的反映情绪过于强烈，演过了。这些战场上的老鸟杀人如麻，早该有被杀的自觉。被敌人狙击手盯上了，第一反应就是设法逃避敌人枪口，然后考虑反击。而不是惊慌失措，手忙脚乱。美军狙击手被对手打伤，丧失移动能力，对手明显就是最基本的围点打援战术。这时候，美军观察手首先还是要考虑找到敌人，设法击毙，否则战友必死无疑。但是，情绪激动的观察手开始呼叫直升机救援，没死的美军狙击手还打算拿枪反击。这些设定比较业余。 其三是一旦躲开了枪口，首先考虑就是判断敌人可能位置，谋划反击。他们在这里趴了20小时，又受到了攻击，都是高手，应该很容易判断敌人可能位置。但是，好像两个两眼一抹黑的菜鸟。 这个开场让后面的高手对决和深刻内涵大打折扣。一部伊拉克版的《兵临城下》愣是拍得旦腾不已。 接着观察手和伊拉克狙击手开始了对讲机聊天模式，为了剧情，用这么生硬的方式推进故事，实在太扯，难道还奢望聊出一个兄弟一笑泯恩仇？战场上这种狠人的对话模式就是子弹说话，你来我往，你死我活。尤其狙击手这种职业，孤魂野鬼一样，哪有话痨？ 趁着起沙尘，观察手第一优先是伏身向对手大致位置随机连续射击，扰乱压制一下对手，掩护狙击手拿枪并脱离敌人视野，而不是眼看着战友死掉，再向敌人忏悔自己的内心阴影。遇到这种猪队友，不死才是意外。,1.0,,1
9,9,26761688,生死之墙,5fa8c8ea3dab7145a8d7d3ed65403685,388cf6c90819f0c887143ccae8dcc8d2,5.0,2021-01-31 14:26:47,与我而言，是一部非常深刻的反战片。看完众多认为本片不严谨的评论之后，我依然觉得很多对话让我反思。 他们是经过严格训练的士兵，有傲人的耐力。在漫长的20小时之后，自大的心理暴露无遗。在队友中弹、自己腿部、无线电、水壶中弹之后，内心崩溃。 对于Issac而言，战场就是引起PTSD的地方，每次枪响，都无法抹去对Dean的记忆。Issac在对方强大的势力笼罩之下，似乎已经暴露了。暴露了位置、怯弱、内心挣扎。 “战争都结束了，为什么你们还在这里？” 每一发子弹背后的人从来都不是正义的。,,,0
