,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26771100,星游记之风暴法米拉,cc6e741a52ff1070a03354349d1b2cee,6c7c8b16d921fbf3394e228f1554ef5e,5.0,2016-06-11 20:58:04,第二季还没出，所以我想先写下这些话。  先说第一季吧。我清楚地记得，我第一次看星游记是在初一的时候，cctv银河剧场播的，当时已经放到第18集，盖亚对笛亚说：“找到和自己一样的星星，把通往自由的路，照亮吧！”听到这句话真的被震撼到了，我当时还没有入日漫的坑，所以没想到动画片里也能有这样的话。仅仅看了几十秒，在不知道前情的情况下，那个小小的我就被这部动漫（不是动画片）折服了。然后，，，，额，这集就结束了，再看就要等到明天，但是第二天我就没看了，因为我并不喜欢从一部作品的中间看，但由于没有手机、电脑，所以那之后很长时间我就没再看星游记了。  一直到高二，我有了自己的第一部智能手机，我终于有机会把星游记26集看一遍了。我那时还没看过海贼王，所以被星游记里那种大胆夸张又很有魅力的世界观深深吸引。（后来我看了海贼王，知道了星游记故事里有很多海贼王的影子，但我个人认为，即使星游记和海贼王都是日漫，我也觉得星游记质量更高，因为海贼王太阳光了，星游记明显更加至郁，更阴沉，相比较，黑夜给人的触动会更深刻。）  值得一提的是，星游记第一季画风很有意思，人物对白、设定、故事情节、伏笔很有诚意，绝不是一般人可以写出来的（刘北，爱的战士）。如果要说星游记对于我的意义，那就是它真的带给了我希望。  “相信奇迹的人，本身和奇迹一样了不起！”  “世界对弱者的无情，比任何盾牌都要坚固，如果被区区一个角盾就挡住脚步，我将永远无法堂堂正正地站在世界中央，让那个重要的人清楚地看到。”  “让这个名字穿透宇宙，就从今天开始吧！”  ……  我喜欢电影、漫画，而星游记是我看的这些作品里最特殊的一部。即使是海贼王，在我心中，最多只有四星半，而星游记则是我在豆瓣里给出的第一个也是目前唯一一个五星，因为它当之无愧！  这篇评论也许更适合发表在第一季下面，但我还是选在写在第二季，因为我对这个未出生的孩子充满了担忧。  首先，第二季编剧换了。我记得刘北在微博里贴过一张星游记第二季剧本的电脑截图，但他后来又发博说不再向星游记工作室提供后续剧本。新编剧真的能驾驭好星游记吗？  第二，居然连星游记官博都在转发米龙和麦当搞基的图，这么不要节操还能当官博？  第三，官博评论下那么多刷星贼王的，真的好吗？  第二季给我的感觉是要崩坏了啊！  但是，我依然坚信，曾经的王者，是不会死在病榻上的，唯有战场，才是他的归宿。所以，我期待着星游记以王者之姿，再临！  加油！,309.0,20.0,72
1,1,26771100,星游记之风暴法米拉,2bbd2ac78eae283c0128f49944cbf535,89b63e943745b874f96dd3c183876747,5.0,2017-08-14 15:06:39,苏格拉淇 作   8月11日，万众瞩目的中国首部动画网络大电影《星游记 风暴法米拉》在爱奇艺火热上线。短短30小时之内，达到了1430万次的播放量。豆瓣更是打出了8.5分的高分（超过了此前的《大圣归来》《大鱼海棠》），众多豆瓣粉丝更是打出了【最燃国漫】【国漫崛起】的标签，对于仅仅66分钟的剧情，粉丝们大都高呼意犹未尽。      苏神作为6年资深老星迷，今天为大家分析星游记大电影的隐藏剧情。   特别发现！52分25秒，米龙二代在西区比赛 登场 ！      一、	去木星前的隐藏剧情（第一季过渡）        根据胡一泊导演的微博，在去木星前有一段独立剧情。而通过后续剧情，我们可以推断出这段时间，发生了至少两件事：  1.	笛亚和唐伍德的交易。唐Sir追击红眼，帮助解除麦当身上的红眼蔓影术，作为交换，笛亚交出黄金魔方给星际联盟（魔鬼脚印坐标）  2.	改变航向。在第一季的最后，主角团的航向是直接到达水星附近的魔鬼脚印入口坐标。但在大电影中我们得知，达到魔鬼脚印还需要引擎“朱庇特之心”。（第一季中，提到水星附近有小行星带。以及追击红眼，都可能成为改变航向的原因）   二、	关于“风暴法米拉”大赛  风暴法米拉大赛每5年举办一次，奖品引擎“朱庇特之心”是唯一能进入魔鬼脚印的引擎。第一季中，麦林与彩虹海传说发生在10年前。由此，我们把时间线回倒一下：  10年前，麦林参加风暴法米拉大赛，夺得冠军，用引擎制造了无限恒星号，进入彩虹海。同时，第一季中哈马也参加了此次风暴法米拉大赛，导致双腿残疾。       （第一季中，哈马留下的字条）  5年前，“方糖十字星”夺得大赛冠军，引擎卖掉。但卖给了谁是未知的，有可能成为后期一个隐藏细节。     此次，麦当一定会最终风暴法米拉的冠军：因为引擎，是进入魔鬼脚印，寻找彩虹海的必须道具。  三、隐藏人物：恕  在电影发布之前，官方发布了“星游记世界观”海报和一组塔罗牌人物卡          而在海报的左上角，出现了疑似“米多星”的星球（米龙一代的护目镜，花园）。米多星的另一个物品，恰恰与恕身上的标志物相同。从恕的眼瞳色可以看出是粉色，而她头发的左下角有隐藏的粉色发色，黑色疑似是后面染发盖住的。          由此可见，恕很可能是米龙一代的妹妹——米吉。塔罗牌上恕的那句，“男人，都是骗子”，指的是小时候抛下她独自逃走的哥哥，一代米龙（也照应了第一季中，英雄米龙是个谎言）。而米吉当初被星际联盟救走，现在的身份有可能是联盟执法官。  而【恕】这个名字，更像是在预示结局：也使得米龙二代在木星出现，成为了一种必然。  对于妹妹来说，只有知晓了“下跪的米龙”的真相，才能真正宽恕哥哥。而对于米龙二代来说，身上背负的太多：除了自己画画的梦想，还有米龙一代找到妹妹的夙愿。只有放下了一代的包袱，他才可能真正登上麦当他们的船，去追寻自己的“彩虹海”。   四、白眼的出现——太阳系的危机      在第一季18集中克拉失败后，蓝眼与大头钉的对话“有两位大人恰巧在附近”        而现在，我们可以得知，太阳系的两位大人：指的是现在冥王星的红眼，以及木星周边的白眼。而其他五色眼很有可能不在太阳系内。      白眼此行的目的猜测：  1.	毁灭（或冰封）太阳系  白眼的能力与【冰】有关，此行在寻找某种元素。台词：“是时候和这个闷热的星系说再见了。”       2.	与恕有关  在官方发布的赛制图中，我们看到了被白眼干掉的“多啦A梦”——叶叮当，是99马赫队与恕一组的，叶叮当抓到了某个人，得到了某种信息。这里很可能指的是恕。       3.	摧毁引擎，防止有人进入魔鬼脚印。  这个就很好理解了。银河眼一直防止有人进入魔鬼脚印，而引擎是进入脚印的必要道具。   五、梅帝奇的真实身份         梅帝奇先生的黑化     很多人猜测，梅帝奇先生是紫眼。但苏神则不这样认为，  首先，紫眼的初期设定图为女性，并且在世界观图中，保留了这样的设定。其次主角团的实力，很难同时对抗白眼+紫眼。  “星际联盟，银河眼，压哪一边会更高呢”——更倾向于第三方势力，苏神在此认为，梅帝奇先生更可能是黑旗海盗。  （有星游记吧网友据说找到了梅帝奇先生卧室有一代米龙电影海报，梅帝奇传媒公司疑似一代米龙电影的出品公司）   六、隐者是谁？      在官方塔罗牌和赛制图左下角，出现了隐者2人队。这个其实很难预测：  1.	新人物（或新Boss）——可能性不大，因为如果是新人物，没必要用？表示，很可能是已知人物  2.	米龙二代——可能性也不大。因为以米龙的实力和个性，一个人参赛的可能性更大，而？是两个人组队。  3.	马马卡和贝贝里——在世界观海报中，木星出现了大罗罗族的标志。（也可能指红眼在巴士地狱释放的大罗罗族）   七、剧情走向预测：米龙登场，麦当夺冠，白眼战败  米龙二代的出场，在恕的部分已经分析过了。而在之前的海报中，也出现了4个人在吃饭的场景（最下方），米龙很有可能在木星篇结束后，真正上船。       （下方，有一个拿筷子的人）  而麦当夺冠是必然的，因为只有这样，才能拿到“朱庇特之心”，进入魔鬼脚印。而由于恕的队伍，叶叮当被干掉了，这样复活赛后有三种可能，重返赛场：  1..加入马赫99，与恕组队 2.与米龙组队 3.与隐者组队   关于“白眼战败”的预测，首先白眼的人设以及与【冰】有关的能力已经很明确了。在克拉之后，麦当他们需要一位更强的对手。那么，麦当的实力足以单挑白眼吗？显然是不能的，但如果是 米龙+极光+麦当的组合，很有可能达到这一目标。  再加上近在咫尺的“毁灭太阳系”危机，都很有可能使其成为“领便当”的第一位银河眼。   第一次写分析，感谢大家对小苏的支持，支持国漫！  星游记，高高飞起来！,190.0,9.0,36
2,2,26771100,星游记之风暴法米拉,84db97b8d5e9bc11b5b92c342e8e7066,95f3d9d40a0c04067146e7a3e52807bc,5.0,2017-08-14 14:19:39,国产良心动画剧集《星游记》出了第一部剧场版，不是选择进入院线，而是采用了网络大电影的放送方式，无限期线上付费点播，这样既不会出现国产动画电影在主流院线排片少、七日游的窘况，质量好了可以在网络上发酵扩大影响，粉丝不必担心错过它了，现在想想《魁拔》这片子如果当初选择网络首映，走小众付费扩大影响路线，何至于死的那么惨呢！国产动画崛起之路不在院线不在电视台，在互联网，正如国产剧周播的国际主流模式诞生兴起于互联网一样！,5.0,1.0,0
3,3,26771100,星游记之风暴法米拉,de98ca253ec2575fee72ca9db4523058,a2e140e643b556ce9dfadf2f74abc9fa,1.0,2017-08-12 02:36:40,（2017年8月） 回顾第一季无论是咕咚、迪亚还是其它伙伴陷入绝望时，都是主人公麦当拉着他们再前进。而大电影则是麦当陷入困境，这次轮到同伴们拯救他了。 奇怪的是麦当并没有为自己争取解除蔓影术的机会，而是想用自己剩余的时间去参加法米拉大赛，为同伴赢取最终奖品也就是可以能让飞船开往彩虹海的引擎。同伴迪亚则是为解除麦当身上的蔓影术努力着，麦当为同伴热血拼搏看似很伟大，实则是自己对解除蔓影术不抱有希望，是一种放弃。所以看电影时很难再有像看第一季时那般热血沸腾。麦当似乎忘记了一起去彩虹海的约定，只是想着将希望留给同伴，让他们继续前行。 一起去彩虹海的约定则由麦当变成迪亚和咕咚在坚持。故事变成了同伴拯救主角了，所以主角的热血属性就没办法完美地发挥出来。咕咚的卖萌属性一直在，这个就不用说。然后在团队中担任智慧大脑的迪亚就还要发挥坚持不放弃的执着精神（这种执着在第一季中是麦当给了她，算是热血的延续吧。）。过去这团队主要靠麦当的一腔热血对信念的执着来冲破困境，而现在是要靠对同伴的珍惜、同伴间的羁绊来打破蔓影术这个困难。 这部电影描述的重点就不在于一腔孤勇的热血，而是在于同伴的不抛弃不放弃的执着。 迪亚与麦当的相遇，就像一颗发光的星星照亮身边的黑暗，发现在黑暗中另一处，有一颗与自己同样在发光的星星。星星与星星连起来点亮了前行的方向，一起去彩虹海的约定的重点可能不在于目的地，重点是在于要一起去。所以去彩虹海不能光有热血更要有同伴。 —————————————————— （2021年6月） 等了多少年了？初中毕业，高中毕业，现在大学也毕业了。当年的这部网络大电影其实就挺烂的，但因为情怀和抱着鼓励的态度给了五星。时隔四年又出了一部电影叫什么《冲出地球》，我的海虹海和红魔鬼呢？这么多年又回到了原点，着实被恶心到了。 离开了原作者，没有了世界观框架和后面的故事发展。只有版权的资本方，实在是太菜了，有钱也编不好故事。 你们已经把我的情怀消磨殆尽了，借用B站评论区的一句话，“你《冲出地球》关我《星游记》什么事？”,71.0,11.0,6
4,4,26771100,星游记之风暴法米拉,238a75be6915c27f3d51cad369ac8b29,66c8771365673136e26ff86ee46b9d3e,5.0,2017-08-13 22:04:39,周五下午刚迷迷糊糊的从午睡中醒来，一眼看到手机上《星游记》的推送，瞬间醒了。 一口气看完后，却感觉有些压抑了。也许是因为当年无知，看第一部的时候总带着一种有恃无恐的自信：麦当是不会输的！在地球的飞船焚化厂、在月球、在火星，甚至在面对强大到恐怖的克拉几次绝境最后惨胜的时候，我也是这么认为的。最后麦当中了红眼的蔓影术的时候，我依然是这么认为的。 可是第二部的时候，我怕了，在看到麦当给咕咚和迪亚准备出足够到魔鬼脚印的便当时，当我听到麦当的留言时，我是真真切切感受到：麦当有可能会死。 麦当是个多么注重于承诺的人啊，当迪亚从克拉手中救他时，他的第一反应居然是愤怒于迪亚没有遵守与父母的约定。可是这样的麦当，居然可以说出“到彩虹海替我向爸爸道歉吧”这样的话。蔓影术的恐怖，不，红眼的恐怖不言而喻。很让人难过的是，咕咚被嫦娥困在月球时候，麦当强行打开月树拯救了咕咚。迪亚抱着必死的决心想和克拉同归于尽的时候，麦当也是几次绝境明知道打不过却依旧不放弃，小强似的惨胜。可他却干净利落的抛弃了自己，放任甚至加速着自己死亡的到来。虽然理智说这是很合理的选择，可我仍然无法接受。 麦当，你为了和爸爸的失约而道歉。那你和包子妹的约定呢？你还没把你们的爸爸都带回去呢。你和咕咚国王的约定呢？拉过勾怎么不算数了呢？你和某个人约定过要当很厉害的厨师的，你忘了吗？你和迪亚的约定呢？一定要一起去找雪流星不是吗。还有，你和我们的约定呢？ 但是不这样又能怎样呢？让他在明知道打不过的情况下带着咕咚和迪亚送死，还是为了自己。这是长大以后的麦当无论如何都做不到的（小时候的麦当估计不认为自己打不过），所以他认定了牺牲自己成全队友并坚持。 我知道主角不死定论，但看到这我有一瞬间是讨厌麦当的，讨厌他的固执。他不知道如果他不在了，剩下的人该有多难。 幸好有迪亚，我真想把所有美好的词都送给迪亚。她永远理智，却为了麦当抛弃了理智，明明胜率小到麦当都放弃还要坚持，最后竟然可以剑走偏锋想出那么绝的方法。彩虹号上的智慧担当！ 总是有希望，希望是坚持出来的；总是有奇迹，奇迹是创造出来的，这就是我心里的《星游记》。 最后，向高贵却总是被当做好吃的动物、储备粮、宠物、兔子的咕咚国王致敬！ 最后的最后，顶着锅盖吐槽下部分配角（龙套？）的配音，不用每句话都要在句子中间故意顿一下的真的。     ps：米龙米龙我没找到你.(；′⌒`) 咕咚萌~西国王的正太模样我可以舔一百遍(•̀⌄•́),13.0,3.0,12
5,5,26771100,星游记之风暴法米拉,2235b4a7dd0d53b307a9378ef1ccd66a,6593698124fabcbc42aec92f95cc6691,1.0,2018-04-20 07:18:34,麦当的存在代表奇迹，奇迹和妥协不能并存。 给大家希望的并不是彩虹海，是永远相信，永远要去黑洞后面彩虹海的人。 世界的魅力就是这样一些真心做“大傻瓜”的人。奇迹就是为他们而发生的，奇迹不会给不相信它们的普通人。 难道期待的只是一个名字叫“麦当”的人吗？他完全丧失了那种介于孩子和少年间幼稚，笨拙，然而无畏，无限的美丽。并不是长大了，只是被毁了而已——是编剧懒惰又无能的牺牲品。 麦当是个很温暖的笨蛋。 为什么连他都学会说不去彩虹海了？ 为什么要“现实”呢？他要做的是超越现实。别人的风筝离不开地球，因为是麦当说可以，所以就可以。因为是麦当相信，大家才相信彩虹海是可以到达的。真正的麦当到达的彩虹海才是真正的彩虹海。 并且真正麦当一定会说:“敢拦我就打你，去他的不可能吧！！！” 也许后期剧情会有再发力，反转，但是只要那句放弃一出口——以后所有的旅程都要带上“曾经说出过放弃”这个印子，当“不放弃”咒语的魔力消失，星游记信用就破产了。 毕竟连编剧自己都不相信大傻瓜是可以去彩虹海的了。 一星全给情怀。（还因为豆瓣打不了负星）。要是不是星游记这个情怀在我想它可能会淹没在广大国产里。 第一部的内核，情感，经典台词创造，第二部全没有，像是披着一张皮，里面空虚得很。假设换个名字，都不用叫星游记了。别和我说这是第一集才开始，所以这么快就让麦当说出放弃吗。况且这个时长够普通三集了，完全够讲点东西。 个人并不希望一个作品做出来后续换编剧，构架和幻想已经好了，换编剧就算按照原先的编剧思路写，因为不是那个人，再怎么样都不是原来那个故事了，显然刘北更具有编剧的才气——但是没有办法。 主创们辛苦了，但是这是没有麦当的“星游记”。 ————————2020年补充—————— 和我看第一部时候一样大的弟弟说:“姐，红眼怎么变丑了……”,20.0,,8
6,6,26771100,星游记之风暴法米拉,10990782726da7dcf0e14fe6dfb980c1,8def05312364bacf35de293ed9b31758,3.0,2017-08-15 23:23:25,星游记的第二季承接第一季可以说很失败，用狗尾续貂来说也不为过。     人物的性格上，麦当失去了相信奇迹的信念（对曼影术的自我放弃），相较于相信用风筝飞向太空，相信能拯救陷入绝望的同伴，相信在绝对的实力差距前也能赢的信念的麦当去相信能解决曼影术简直是无比正常的事情。而第二季中，麦当竟然自我放弃了。     迪亚的冷静承接了第一季，可是却被强加了娇羞这种性格，若是在第一季中，迪亚麦当二人就算同床共枕也不会感到丝毫害羞，麦当会哈哈一笑而过，而迪亚肯定是冷漠脸，绝不会出现像现在这样的害羞表情。我并不是说这样的性格有什么问题有什么不好，我想表达的是这样的性格比较起第一季中的人物性格差距感会很大，感觉主角换人了一样，失去坚定的信念。      剧情上面基本没有可看性，更没有了第一季中的感人小故事。逻辑上漏洞比较第一季差距也很明显，这么宏达的一场比赛，参赛的都是些什么歪瓜裂枣，在这么多星球的庞大背景下除了银河眼和星际联盟外就没有其他的高手？      已客观的眼光来说星游记第二季缺点多不胜数，但在国产动漫中也已属中上游。但它作为“星游记”的第二季来说可以说是差的一塌糊涂。星游记第一季让我找到了龙珠的热血，可第二季缺让我感受到了国产动画的套路与恶意，那卡卡罗特般的热血一去不返。曾经的我还以为麦当能一直续写奇迹，可如今麦当也已失去了信念。那不论遇到何事都不会言弃，遇到何种强大的敌人都不会退缩的麦当已经消失了。现在的麦当不过是导演为了圈钱写出来的狗尾巴。和龙珠超的性质一个样。      对了，如果有反驳我的观点的观众，请不要举出成长为青少年就会产生害羞这种情绪，人就该经过坎坷才会成长这样的拙劣反驳观点。龙珠里的悟空多少年了性格都是那样的单纯善良纯真毫无改变，第一季中的麦当性格和悟空在这方面其实很像。另外在第一季中麦当无论碰上各种各样的绝境他都不会失去信心。而这里的麦当竟然因为一个曼影术就失去了他最重要的东西。      其实我是相信导演可以做出更好更优秀的动漫的，可在国内这样的环境下，迫使的人们不得不去做一些低龄化的动画，因为只有这样才能挣到钱。星游记第一季那么优秀的一部动漫出品后竟然因为缺乏资金一度放弃了第二部的制作，我相信主创团队们也曾相信过奇迹会发生，可他们终究败给了现实，官博为了迎合大众甚至都放出人物搞基图片，现在为了圈钱而制作出这样的第二季也是在情理之中，甚至都写明了，先看看这个能不能赚钱，能赚钱就继续出，不能你们就没得看了，愿者上钩。     最后的最后，写出这样的一篇影评我是冒着送妈的风险，我相信如果有人回复我也大都是把我的家人位列仙班一波后再作评论，毕竟他们的“童年”不能给差评。但我真的很换怀念当初的麦当，不忘初心的麦当。     奇迹...果然是不会发生的东西啊,49.0,5.0,12
7,7,26771100,星游记之风暴法米拉,8670238073fe6fbced4b0f69b2d9c8ad,df3861268b7e0c7d86d13f0ee4443535,3.0,2017-08-13 23:36:55,"首先对于星游记值得说的是网络大电影的模式，从电影的内容来看，大电影也在刻意的迎合老粉，挖坟填坑，莫名地给麦亚党发糖（虽然我一直站这对CP，但是我完全没想过他们在主线中有太多的感情戏），创造各种机会喊出那些依旧热血的台词。但是在宣发的时候，我不认为星游记的所有老粉都能来为星游记贡献5块的网络点播费，除了预告片，自媒体的推广，星游记的宣发推广很多都被湮没，目前从爱奇艺的播放量来看为1685万，实际又是多少不得而知。
从制作来看，变化很大。迪亚和麦当的人设在两年的剧情时间里长大了不少，整体来看更加美型，独有的画风在这部大电影中偏向了日系，反而让我觉得缺少了一些灵性。在一些动作情节的制作上，张数明显不够，动作的表现力不足，反观当年的星游记则是靠着自己热血的战斗场面带动了无数少年的心。
从剧情和内容来看，有些失望，借助一个不需要耗费太多编剧精力的比赛形式撑起了整个剧情主线。我想起了同样有星际，犯罪主题的动画《星际牛仔》，spike有着自己的温柔，又展现着自己的魅力，整合起来可以说是男人的浪漫，而星游记在这部剧场版的主题选择上则难以做到权衡，一方面是热血，一方面是温柔，这两者并没有很好的糅合起来，反而通过了不同的剧情来展现，落入下乘。（剧透向）被预告片吸引的朋友可以散了，主线故事并不如预告片那样让人激动。一方面红眼那边只有伍德独木难支，一方面主角队内部又用了极大地篇幅相互展现亚萨西。迪亚为麦当考虑，让麦当失去资格去找红眼；麦当为迪亚考虑，想尽办法参加比赛赢得奖品……我有一句mmp要讲。最后的热血竟然是靠麦当一个人迎战30人来表现。我可以认为这部大电影未完待续，这对星游记的故事，仅仅是一个延续和新的开始，但是谁知道下一部星游记又会不会是有生之年呢，那时的我们，归来仍是少年么？",11.0,,3
8,8,26771100,星游记之风暴法米拉,0d6070dff7e30afc047b5898aaf97488,ccac9c10f5df3a0c83ed5e860b2edc58,5.0,2020-08-24 14:42:24,我实在很多年以前追的星游记，那时候还没有自己的手机，只能在电视上看，第一次看就是中间的剧情，前面的后面的都没看过，但是我看哭了！！音乐太感人了，每次音乐响起，我的生理就会有反应，汗毛都竖起来了。😭😭😭😭大爱！❤❤❤❤❤❤这些年也看过不少的电影电视剧，也没那么爱哭了，但心里还是有感触的。,,,0
9,9,26771100,星游记之风暴法米拉,922fc93705afc637ab1b360750f12d9c,68771d3ed0e73247998fcb577d9ba2ea,,2020-05-07 19:55:57,也许从一开始星游记版权被全擎从原来的创作者手中抢走后，国王号就已经飞不起来了！ 当资本看中的只是星游记这个ip的时候，麦当就已经死了！他只是为资本圈钱的工具人罢了！ 当那个喊着“如果黑洞能够吞掉一百亿个太阳，我就是一百亿零一”的热血少年喊出“我想……活下去！”的时候，那个少年已经不再是他自己的，他只是一个被蔓影术吞噬的影化人而已！  当那个“太空大冒险”变成了“中国人的航海王”，那这个冒险也没必要进行下去了！ TV版的星游记给我留下了太多的热血和震撼，以至于到如今我听到第一季中那熟悉的台词还会浑身一颤，还会热泪盈眶！ 抛弃了原作者、由资本做出来的法米拉系列，我只能说意难平！如果不是标题上“星游记”那三个大字，如果不是“麦当”“笛亚”“咕咚”这熟悉的名字，这部电影真的让我不敢相信它是星游记续集！ 麦当从那个每一次战斗都能靠自己的领悟而创造出新招式的热血少年，变成了一个被人踩在脚下只能靠想爹来学招式的废物！笛亚从一个智慧、腹黑的小萝莉变成了一个靠卖肉和炒cp来吸引眼球的道路！米龙从那个打破跪在地上的命运的英雄变成了一个被一招秒的拉出来溜一波情怀的工具人！ 资本呵！你连星游记的真正内涵、每个人物的个性都不了解清楚，就这么急着做出来圈钱！你可知当年在国际动漫节上打败两千多部同期日漫拿下国际动画最佳创意奖的作品，如今被你毁成什么样了！ 还有那些把饭圈带进星游记的脑残粉，你们也亲手撕碎了风筝啊！法米拉是真正的星游记吗？法米拉真的好看吗？你真的想一辈子就看着这个虚假的彩虹海吗？ “什么样的观众催生出什么样的作品”这句话用在这里正适合！正是有一群“有的看就不错了，你管他做的怎么样”的脑残粉，才导致了这只风筝逐渐堕入深渊！ 我们要的是那个热血少年征服黑洞、寻找彩虹海的故事，而不是什么“中国人自己的航海王”的故事！ 我们要的是那个喊出“管你什么乱七八糟的，我就是要往前走啊！”的热血少年，而不是喊出什么“替我向我爸爸说声对不起”的废物！ 我期待着有一天，那个爱的战士捡起被资本撕碎的风筝，用彩虹般绚丽的丝线把它重新编制，让它再次高高的飞起来！,4.0,,1
