,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26787124,青禾男高,88e9888736ba89b299a5a5a0fa55876a,ce37e68e96a95101c1e43a7b3046ad50,1.0,2017-07-12 22:26:26,本文首发于电影公众号《云何电影》   中国警察不能黑，但可以黑外国的，就有了《唐人街探案》，中国zf不能黑，可以黑民国的，就有了《驴得水》，中国不让宣扬校园暴力，但可以对日本人使用暴力，名曰抗日救亡，于是有了《青禾男高》。 一个宣扬校园暴力，宣扬软色情，宣扬师生恋的电影，只要跟抗日搭上，好像全都百无禁忌了，里面的学生们打架，抽烟，喝酒，烫头，放学后隔壁女校看“球”，上世纪三十年代的大学老师夏天身穿半透明雪纺衫透着里面的深蓝bra给学生们上课，幸好景甜老师不够胸狠，不然这剧情走向真的要把持不住了。 裤裆藏雷，八百里外打死一个鬼子，包子雷，手撕鬼子，要说雷人可能本片还没有那么雷人，不过东北抗日都要靠一群不学无术的小混混，不知革命先烈作何感想，导演对的起杨靖宇将军曾经吞下的树皮草籽吗。当然说这些不是说小混混就不能抗日救亡了，毕竟土匪还能弃暗投明呢，可是一帮安安心心成长于日本统治之下，甚至对自己满洲国身份都有所认同的青瓜蛋子，就参加了两场读书会，和日本人干了两架，就民族意识觉醒了？ 这样的设定，甚至还不如小林子饰演的家道中落的日本武士家族继承人，他身肩家族继承人的重任，却又生活于强势姐姐的阴影之下，他答应日本军部的请求一方面是有振兴家族的雄心壮志，但同时他又敬佩身为老大的欧豪，所以始终生活在矛盾之下，而随着人员伤亡的出现，事情向着不可控制的方向发展，他才知道选错了道路，然而已无路可退，这样的设定比欧豪复杂多了好吗。反观欧豪饰演的老大，除了犯花痴，装酷，抽烟，打架，还干了点啥？小林子才是本片真正的主角，其表演也真正有了《热血高校》的味道，而且有开有合，虽然谈不上出神入化，起码是合格的，而欧豪，除了中间有一次蔑视一笑，剩下的不是面瘫就是傻笑，不要说去和源治芹泽比较，你连人家拳哥的演技都比不上啊，我们的大女主国际甜，居然给欧豪当了一次绿叶，敢问欧豪是什么背景啊？国际甜依然奉献了看不出演技的演技，刷出了和《金刚骷髅岛》一样几近于零的存在感，连贩卖软色情都让人兴味索然，希望你在《环太平洋2》的机甲里别被人当成是单人驾驶。 本片开始的时候还打着《热血高校》的旗号，海报里也是满满的日式风格，景甜在电影里明明就是黑长直，在海报里搞个泷谷源治的发型也是很无奈，你咋不把小栗旬的脸也p上呢。更不要说，全片满满的日式风格，还有尴尬到爆炸的日漫分镜风，人物打架还要在画面里配上文字“啊啊啊”，你的bgm干脆换成土拨鼠得了，或者我进去给你喊个666呗。以及那让片长延长了三分之一的慢镜头，请问这是致敬《西游记后传》吗，亲爱的导演，《黑客帝国》看了你的慢镜头都要给你跪下，要不要我送你一本《电视电影剪辑学》，你再回炉重造一下？ 就算是拍中国版的《热血高校》，为什么不能拍一个小人物从麻木不仁到民族意识觉醒的过程，同样一个心怀正义的日本青年，又是怎样一步步滑向自我毁灭的深渊，时代背景下，普通人的命运又是如何不可琢磨，哪怕说，能力不足，拍不了这么深刻，却连尝试也没有，如果只是想要拍个爆米花电影，就不要搞什么国恨家仇，不要为了过审而过审，抗日始终是个严肃的题材，我们守住的，不仅是一个电影人的底线，更是民族的底线。,257.0,18.0,66
1,1,26787124,青禾男高,e533aaa3e3b164a6f816ffdec8ef2c98,868a7d1f2ba750392a3a61665422e575,1.0,2017-07-08 16:57:20,"刚看完点映 但是开场十分钟就看不下去了 感觉9.9的票价都不值 你不如搞成网络电影还能省点宣发费用 没看之前我以为这是部现代戏(以后一定要看下预告片啊 好带上避雷针去看)  但是开头的背景简介让我有种不好的预感 果然正片开始就不行了 非常偶像剧的置景 偶像到让人反感 然后又是现代的造型 对白 虽说时尚是个圈儿 但语言从来就不是啊
好了我忍着看完了 并不是想说抗战背景不好或者怎么样 抗日战争版《热血高校》处理的好应该…可能…大概…也不会太尴尬 毕竟不这么拍也不可能过审对吧
但《青禾男高》怎么会如你所愿呢？整个观影过程我大概说了有十次WHAT THE HELL  本来这样背景下的偶像热血题材就很难把控了 再加上演员糟糕的演技 生硬的台词 还有估计是经费不足的漫画的插入都让全片不伦不类 可能剧组挺缺钱的 有些场景的抠图简直不忍直视 最让人无语的就是大甜甜和欧豪离别那场戏 卧槽 这你都能抠图 
还是啰嗦一下造型问题 森田头上是带了个发箍吗？后面的头发打了多少发胶定型啊 还有欧豪的连帽衫 阿屁的镂空T恤 还有一个男演员的耳钉 分分钟让你忘了抗战背景 最后想说剧情简直傻的可爱 这难道是广电想出的爱国主义教育新招？偶像+爱情+漫画+热血最后再加上爱国好让广大青少年铭记这段历史？",62.0,21.0,18
2,2,26787124,青禾男高,c1c82415b292fdb2b3e1d70aba855d57,6619dc7cab929ca75b418d7ccb9acd73,1.0,2017-07-08 21:43:35,今天看了《青禾男高》的点映后，我感觉就好像去了南美大草原，在万（羊）驼奔腾中头晕目眩，傻在原地。   其实我有个小心眼，还以为“大姐大”景甜姐是那种绝不会轻易出手，但一出手就是名导、大卡司护驾的王牌保证，比如《长城》，虽然有着种种瑕疵，但还是比其他国产电影要好看多了。可惜，人都有看走了眼的时候，也只能自认倒霉。景甜接的这部戏就好像一场行为艺术，她竟用实际行动坐实了烂片女王的称号。   《青禾》的剧本简直是一堆垃圾！为了照搬《热血高校》等日式校园电影的模式，主创竟然“别出心裁”，将时代背景设置为二战满洲国时期！这样，校园斗殴就成了中日敌我矛盾，撕逼群架就拔高成为了民族大义，一切就“顺理成章”了！   可惜该片虽然披上了抗日马甲，但内核还是《热血高校》。一场又一场无聊的群架打得让人昏昏欲睡，动作设计一塌糊涂，而且还滥用慢动作到了半身不遂的地步，让人想快进。慢动作这一招其实1999年的《黑客帝国》就已经玩的臭死狗了，没想到过了这么多年还有人在模仿，真是该退休了！   好的导演能展现演员美好的一面，烂的导演只会放大演员的缺陷。景甜在《长城》里还有一丝御姐的英气，但在《青禾》里却像村姑路人甲，还在那死乞白赖的卖弄纯情，更可怕的是，迷恋她的竟然是欧豪同学！多恐怖的组合，也不知道是谁想出来的CP，真是见了鬼！   欧豪在片中演大哥，but give me a break！此人一看就是小弟像，他举止轻浮，毫无领导派头，毫无担当，毫无威严，他怎么能服众？怎么做老大！   为了骗取无知青少年的好奇心，片中还弄了大量flash水平的漫画镜头，让人看了想骂街。可以说，《青禾》中只诠释出了一种人类的情感，那就是尴尬。    奇怪的是，片中的几个日本演员反而演的都特别走心，他们诠释了正宗《热血高校》的精髓。我替他们感到委屈。   《青禾》是一部没心没肺的电影，情节不合理，人物不突出，故事发展不合逻辑，等等等等可谓一无是处！剧中欧豪的妹妹在冲突中被日本人强抱走，竟从此消失，没给出任何结论！这也配叫电影？！   心中的羊驼还在继续奔驰着，它们就好像吃了国产烂片发出的毒草一样，统统得了羊角风，看来不到抽死的那一天是不会消停了！,63.0,15.0,11
3,3,26787124,青禾男高,416f6d04f1c47429a9a5e0275a25bea3,edf6db26bc5a7dc60e91a38e1dad4a9e,2.0,2017-07-14 17:02:53,看片名我实在不知道它要讲的是什么，完全无厘头，热血高校？青春爱情？一看原来是和热血高校差不多的剧情内容，想表达什么呢？  《青禾男高》将故事放在伪满洲国时期的东北，有人说它作为一部抗战题材的青春片，立场过于模糊，这种批评是不合艺术规律的。我们平日总说抗战八年，然而对于1895年《马关条约》之后的台湾，以及“九一八”事变后的东北，抗战史岂止八年。日本人在这两区推行了十多年，甚至是半个多世纪的奴化教育，殖民烙印是很深的。《青禾男高》讲的就是伪满洲国时期一代青年的挣扎与觉醒，抗战意识的模糊是一时，中国学生对日本学生压迫的反抗与制衡。这是什么，硬生生给套上抗日的头套？,41.0,,1
4,4,26787124,青禾男高,67e23dce1e6ce3a7954972bdd41df43c,bb67e57f374ece7a7c801bb61ba9371a,2.0,2017-07-13 20:36:26,假如片名欺骗了你？我选择继续看下去，但事实告诉我最初应该选择调头就走！！！  满满的热血高校日系元素，但不仅仅局限于打群架、校园内  它更是中日之间的战争、 对日的反抗！！！日系 抗日 总感觉满满的违和感！！！更别提搬日系元素不成功，日本演员还好我们中国演员就相当的水土不服，尴尬！,41.0,1.0,0
5,5,26787124,青禾男高,91cca9cb06285eb9a1b6eb481889843d,e95070267fbea6eef246957b2108c060,,2021-02-17 10:03:44,"Just looking at the cover of this film, I can feel an inviolable momentum. It is not only a school film, but also an anti-Japanese film. The content tells that the Japanese want to persecute students in Manchukuo, which is in the way of others, so they leave this task to Shibata, who is eager to prove himself, but her sister does not want him to accept this task. As the Chinese student leader Jing Hao led their group, including a fart, Yaoji, two cakes and Tan Jiamu and others to resist their attack, protect the Japanese LiuHe in the reading party to remind young students not to forget the national humiliation and history of the activities. the campus because of the emergence of Liuhe broke the original temporary peace situation, led by the Japanese students began to attack the Chinese students, and Jing Hao led the Chinese students to see the move. After a few times of contest, the Japanese sent three master to help Japanese students harm Chinese students. They went into the shop to kill Jing Hao brother and strategist Tan Jiamu and Jing Hao sister, after a fart came to kill Japanese officials for brothers and love revenge, but he just stepped out of the door was shot by the Japanese. The death that Japanese borrows a fart blames Chinese student falsely, threaten the daughter Liu Wo of traitorist home again, and Liu Wo father points at Japanese with a gun because protect a daughter, let a daughter drive to escape here, and then the father body dies after several gun. after Jing Hao revenge Shibatan, and Shibatan sister revenge and JingHao launched a movement of swords. The whole play of the anti-Japanese passion strong, let a person's blood boiling. The play has LiuHe father and daughter affection, JingHao and LiuHe love, JingHao, a fart, chicken, brothers between the Tan family wood, Jing Hao sister like Tan family wood, a fart like Jing Hao sister JingHao feelings, and chai Tian sister and chai Tian between the siblings. The whole film is rich in emotion, with some elements of quadratic element, and its type is novel.",,,0
6,6,26787124,青禾男高,b38fac2fee6285145c40094139d6d062,75fe2bae8013252a8129a1550c3cd0e8,1.0,2021-01-18 09:02:32,在看《青禾男高》这部电影，反正就是从头到尾就是一部烂片，看得我整个人非常非常急躁，因为这部电影真的是一部烂片。因为我又想要偷懒，所以说我才选择了这部电影。怎么说呢？这部电影真的太让我生理不适吧，电影里面欧豪饰演的是一个大哥。        但是，Excuse  me？你告诉我大哥长的是欧豪这样吗？欧豪这个人长得就像一个小混混好吗？大哥可不是这样子的呀，大哥一点霸气都没有，我可是不喜欢这样又没有文化，又没有能力的大哥诶，所有的动作全部都是打架打来的，整个打斗的过程看上去也像是假的，整个打斗的过程就像是在作秀一样。       而且整部电影定位于民族对立这个语境，是不是感觉定位成民族对立这个语境特别有成就感？而且一到了民族对立这个语境之中，怎么打斗也合理了，然后围在路边看美女这样的场面也合理了，师生恋也又合理了。        这个场面真的太让人震惊了。        我真的疯了，这是我第一部看完之后不想说一句话的电影，只想要吐槽。电影里面演技最好的人就是小林，小林同志表现还很不错的，因为小林的演技很好，演出了一个被强势的姐姐压榨， 自己又要依靠自己的势力和努力振兴自己的家族，这样的状况实在是让人觉得五味杂陈，看完之后只想要感叹一句。       周末两天过得非常不好，没钱这件事情真的让人无所适从，没钱让我觉得生命很痛苦，但是我又不知道我可以依靠什么样的方式多赚点钱，所以说整个周末都一直宅在家里面，好痛苦诶。        总之，怎么说呢？这部片子已经烂到我说不出话来了，烂的要死，就这样吧。,1.0,1.0,2
7,7,26787124,青禾男高,2a75bd58e5fc1d3b3e37060560737a57,cc52887b513bb027172893a3e44bcf00,1.0,2020-11-05 20:04:37,"我自戳双目 尬到看不下去 用倍速看的
剧情尴尬到不行 完全不知道编剧想表达什么 也许是热血的校园+抗日题材 但是你这个剧本我真可以理解为是在宣传校园暴力 整个剧情也是非常之乱 跨度极大 刚开头看了十几分钟就被尬的不行 这油腻且中二无比的台词？？？完全让我忘了这是一部热血青春校园题材的电影 杀马特非主流电影鼻祖就是你吧？？？全程把观众当傻子 我真是尴尬到脚指能把地板扣穿 想盗版热血高校但是又拍不出人家的感觉 恶心到不行 演员演技差的不行 跟念剧本一样 表情都不带变的 呵呵 真是长见识了 全场的演技基本上是林遣都撑起来的 前面开倍速看 到林遣都部分才用正常速度看 到后边直接跳过其他人 只看林遣都 要是没有林遣都我一分钟都看不下去！实在垃圾 真就世界之大无奇不有 豆瓣3.9评分都给高了 浪费人生的一个小时",1.0,,1
8,8,26787124,青禾男高,268c3f794626b5509e11b6e500e5c066,4930cfc30bfd7935706323236d62399b,5.0,2020-03-13 12:32:47,看见这引人注意的名字 再一看配置 哇塞应该不错诶 看起来好好看的样子  满怀期待的打开 嗯？？？怎么还有漫画结合   屏幕前的我嘴角的笑容凝固了  算了算了  后面应该不错 几分钟之后     这啥玩意  咋就糊里糊涂表白了啊 果然人长得好看是硬条件    但这剧情确实一言难尽啊。。对电影条件不高的一个人 咋就是入不了戏呢   害 不强求 不强求    算了算了 希望二位越来越好吧,,,0
9,9,26787124,青禾男高,a09f7d790ef686263a7f01b59a6ebd9b,d966ba3b94cb05b882220eeb0dcc34a0,,2019-12-09 03:00:28,一开始看名字《青禾男高》，嗯！很热血！很中二！还以为是一部低成本热血网络大电影。但是我没想到，它！有！龙！标！。。。既然有龙标，呢可能还不错？才怪！！！！！在看这部电影之前我天真的觉得我接受烂片的能力还算比较强，但当我点开看了都不到十分钟的时候，我就发现我错了……我太高傲了……我不应该怀疑中国编剧的能力……这部电影真的是太！毁！三！观！了！！天真的我在看以前以为他最多就是尬了一点的热血高校，可我真的没想到编剧是真的在把观众当傻子哄啊！！！！！！！        你以为你能看到欧豪和林遣都帅气的一绝胜负呢你就真的想 。太。多。在我忍着尴尬和尴尬和尴尬，看完这部《青禾男高》以后，我不仅开始怀疑人生，我都开始怀疑林遣都了。。。国内演员为了生活接烂片也就算了。。为什么？？？！小林子你为什么？？？！！你可是演过达摩老大的男人啊！！！为什么！！！！！你真的不考虑一下我们中国迷妹的心情嘛？？！要不是我对小林子爱的坚定！！！！！！！我可能连开头都看不完就脱粉。。。。。。         嗯，废话讲了一大堆，现在就是进入主题的时刻了！《青禾男高》它到底烂在哪？？！……说真的……这个问题真的不好讲，因为……我觉得它哪都烂……完全就是一部标准的国产烂片，强到能得金酸梅奖的内种。它是一部从一开始就尬得人难受的旷世奇作！！开头前十分钟基本上都是连五分钱可能都不到的低水平特效背景，然后再配合上尬破天际的旁白。用标准烂片的开头介绍了几位为了中华崛起而奋力打架的不良以及他们的老大——欧豪。。。和日方反派小林子，伴随小林子的出现，本片最迷的一句台词“刚上大一的新生”也出现了……编剧你醒一醒啊！！！！！看看剧名啊！！！《青禾男高》！！！男高！啊！！难道是我对男高的理解是错的嘛……为什么男高里面会有大一新生……当看完这些，你以为尬完了？不啊大家！！！！这只是编剧侮辱观众智商的开始啊！！！！        接下来编剧开始讲述了在伪满洲国时期日本人企图从教育开始在中国东北地球进行文化渗透，由此就有了中日学生一起上学的情况。由于日本对伪满洲国的控制，使得日本人在伪满洲国一直是以强权压制着中国人，在学校也是如此。但是！！！！哪里有压迫！哪里就有反抗！！！在一声“中国人不打中国人”的油腻台词中，男主团结了校内的中国不良准备以前干翻日本不良。就在这热血的氛围下，女主角登场了。然后编剧的幼儿园故事写作能力也开始展现的淋漓尽致。。。。看名字，看简介，按道理我看的应该是一部热血青春主题的电影吧。开头，抗日我忍了，也能算上个热血，抗日题材再次你好歹也像点抗日神剧吧。唉，但是编剧他不，他就要热血，就要青春，就要家族使命，就要为了爱。爱就算了，还是师生恋。醒醒吧女主，你是要做红色斗士的女人！不可以退缩！！不可以为了爱情放弃你红色的理想！！！你是中国的希望啊！！！然后，希望她在反派姐姐的一段毫无威胁和智商的谈话中妥协了，这个红色的斗士她为了爱的人，妥协了……这是多么伟大的牺牲！！终于在这样的情情爱爱和各种讲道理，打架以后，本片迎来了高潮和结尾！！！——……莫名其妙小弟和妹妹被打死了，莫名其妙把日本不良老大打死了，莫名奇妙男主变成了通缉犯，莫名其妙女主也逃了……你们是红色的斗士啊！！！！革命的同志啊！！！！有血有肉的中国人啊！！！！！然后，斗士们一个不管老爸死活跑了另一个找反派姐姐决斗去了。然后，全剧终。。。。。         在看完这部编剧智商下线的电影以后，我发现我真的，夸不出来，即使有我可爱的小林子，我还是。。。。夸不出来。。。。         整部片子除了强行热血高校，强行打架以外。还非要在这上面套上抗日，套上爱国。。。。这真的仅仅只是为了片子的强行热血高校好过审吧？？？！在自己的烂剧本上强行套上一些情怀然后再去消费观众的情怀，这根本不是爱国。。。这是在玷污那些为了国家真正在奋斗努力的人。不过介于编剧智商不在线，估计什么是爱国，什么是热血他可能也理解不了吧。,1.0,,2
