,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26799232,西小河的夏天,c951ab33be4b77eb7cdb95d0fdf2eec0,f35a09cab4dcc1bdd50620a3e8644d63,5.0,2018-05-18 01:15:18,台门：90年代末期江南最后的名片      作为一名生在江南水乡的90后，我有幸在童年时期经历过影片中的台门生活。因为大人们工作繁忙，上幼儿园的我放学后就由一位婆婆接到表哥家的台门中一起照顾。晚饭过后，大妈们会乘着晚霞从台门中央的井中打水洗衣，而邻家的大叔则会邀请我哥俩去他们家做客玩耍。直到星月升上夜空，路灯替代霞光，我爸才骑着28式自行车姗姗来迟。回家的路上，昏暗的路灯相隔甚远，闪着波光的河水对那时的我来说简直是深不见底的黑洞，车轮驶过坑洼的青石板路本已颠簸，而我爸为了逗我更是神烦的故意贴着河边骑还不时摇晃把手，那一段原本不长的路途简直是坐在前杠上瑟瑟发抖的我童年的噩梦。台门之旅的终点定格在眼前逐渐明亮开阔的视野，伴随着马路上汽车驶过的声音，以及工地施工的轰鸣声，之后的记忆就仿佛被白光渐渐笼罩，再也记不清了。      我未曾意识到那也是我对台门最后的记忆。千禧年后，表哥一家就搬出了台门，住进了新完工的崭新小区，而我家也在不久后搬到了一墙之隔的楼盘，从此台门的记忆就被渐渐封存。那正是南方经济飞速发展的年代，高楼不断拔地而起，迅速侵蚀着台门的空间，我记忆中的水乡台门，就如同一张缓慢递出的斑驳名片，瞬间被车水马龙所吞噬。 男人们：互相影响共同成长       作为影片的主线，三代男人的成长故事是导演着重刻画的，而其中更以晓阳作为主视角，用孩子的眼光去看90年代背景下时代的发展和成年人的世界。晓阳是80、90一代典型的缩影，改革开放后经济的飞速发展迫使着父辈们积极投身于社会建设，适逢独一无二的独生子女政策，造就了这一代人的童年虽然物质条件充足，但充满了孤独。精神需要寄托，晓阳在1998年认识了他人生中的第一位英雄皮耶罗（而正是经济的发展以及父辈的努力换来了孩子童年的电视、游戏和足球）。孩子的梦想是最简单直接的，他们的世界中非黑即白，像皮耶罗般踢球就是目前最大的梦想，阻挠自己踢球的爸爸就是最坏的boss，同样喜欢足球、一样看不惯中年人为人处事的郑爷爷就是最好的伙伴，和爸爸搞暧昧的沈老师就是最讨厌的妖女……而简单的梦想也是最容易破灭的，男人不正是在一次次的梦想破灭中成熟起来的吗。随着一起“出生入死”的郑爷爷的离开，晓阳的世界观崩溃了，以此为时间节点，晓阳作为一个无忧无虑的孩子的日子结束了。从此晓阳痛定思痛，慢慢懂得了这个社会中的一些道理。在梦中，他攻破了爸爸把守的球门；现实中，他向爸爸打开了心扉。尾声中，晓阳在空无一人的台门中独自练球，孤独的背影伴随着台门外的施工声，影片戛然而止。十岁的晓阳在那年夏末成长了，这代人的孤独让人感触，这代人的早熟让人心疼。      个人认为本片中演技最好的就是饰演爸爸顾建华的张颂文老师。为了更贴近角色形象，张颂文老师不惜增肥20斤，而惟妙惟肖的演绎更是让人在笑过之后不禁感慨。作为经济迅速发展的90年代的中流砥柱，家庭的重担、工作的压力、感情的淡化外加中年危机同时摧残着这个表面无比严肃的男人的神经，经历过最糟糕的年代后仿佛被赶鸭子上架般搭上改革开放的列车，他的心智其实是被催熟的。他唯一能做的就是相信心中的道德标杆，用近乎顽固的思想在工作以及子女教育上坚持自己的原则，哪怕被自己的妻子埋怨不知变通。而沈老师的出现正是压垮顾建华神经的最后一根稻草，初恋般的感觉是他从来没有体验过的，这能让他奋不顾身抛弃一切，用他认为的最浪漫的方式一步步大胆的进行钢铁直男式的撩妹，这时的顾建华是一个比他儿子还要天真的孩子。所以在失恋和失去副校长职位这两个结局面前，顾建华也哭的像个孩子。 日子还要继续过，经历了这辈子第一次也是最后一次的疯狂，顾建华对孩子改变了态度，对妻子感激与理解，对工作有了认知，在这个夏末他也成长了，只是这代人的成长有些让人无奈。      也许人老了就会拒绝改变，而更偏爱守旧。郑爷爷就是一个在外人看来异常顽固的古怪老头。他讨厌儿子这一辈人只知道外出赚钱而忘本，他拒绝自己的旧工厂和老台门被历史淘汰，他不想去面对心中的痛。同样的三观使得郑爷爷和晓阳这对奇怪的组合搭线成功，在经历了一个夏天难忘的回忆后，郑爷爷终于在晓阳的帮助下解开了心结。然而就如同夏天终会过去一样，离别也是必然的结果。心结解开了，儿媳也重新怀上了孩子；儿子赚了钱高价回收工厂机器安顿了老同事，让郑爷爷对儿子有了新的认知。一直纠结的问题都不存在了，老人才发现自己原本想守护的东西，都已慢慢被岁月冲散了。工厂最终还是关了，台门老家的大门永远闭上，郑爷爷最终还是去了深圳，而更多的郑爷爷和他们守护的台门也在历史上被翻页。 女人们：理想与现实的对手戏     妈妈是全片中最“成熟“的一名角色。妈妈所承受的压力一点也不比爸爸小，为了这个家，妈妈不仅要努力工作，顾及家庭，还要经常帮榆木脑袋的老公擦屁股。不像不懂人情世故的爸爸，妈妈深知“做人留一线“的道理，然而多次暗示爸爸未果后，却也只能选择隐忍，什么都懂，却只能装作糊涂，一切都是为了这个家。在得知爸爸出轨后，妈妈只能独自一人寄情于越剧发泄，第二天还是只能”当然是选择原谅他“。当爸爸靠在妈妈小腿上痛哭时，我们都庆幸还好妈妈原谅了他，但其实在现实面前，原谅是唯一的选择，这正是最悲哀的地方。      以我们现在的眼光来看，沈老师对爸爸的所作所为，也许是抱有某些目的性的故意而为之，故意将他吊着，颇有“绿茶“的味道。然而，窃以为沈老师在片中所代表的，正是具有朝气和理想的青年形象。在英语教育刚刚开始施行的年代，沈老师却已具有前瞻性的提出家长和孩子进行英语交流，这在26个字母都不一定认全的家长们看来是完全不可理喻的。顾主任对她而言也许只是一位对她关爱有加的前辈，她对师母的示威感到尴尬，更被顾主任的突然示爱搞的惊慌失措。最后沈老师选择了离开，她应该能从短暂的实习生涯中学到不少的人生经验，至于能否坚持她的理想，就不得而知了。 西小河：不断流淌的历史之河      就在《西小河的夏天》开拍前不久，表哥告诉我小时候照顾我的那位婆婆去世了，直到这时，我才发现记忆中婆婆、邻居们的脸早已模糊。为了找寻儿时的台门记忆，我又走回那段童年回家的路，紧贴着河沿行走，发现为了游客的安全河边早已加上了护栏，因为污染变得漆黑的河水反倒和记忆中的印象吻合了。踩过一块块老旧的青石板，记忆中漫长的路程很快就走完了，前面一半的台门已被并入景点，剩下的台门中也已鲜有人居住。走进表哥一家故居所在的台门，原来印象中宽阔的天井原来也不过弹丸之地，只有那口井还伫立在那里。当我感慨之时，隔壁走出一位大妈来井里打水，我已不认识她是哪位邻居，而她诧异的望了我一眼后，估计当我是一个迷路的游客，也自顾自洗衣服去了。      城市的发展逐渐进入稳步阶段，这里的旅游业和轻纺业迅速发展，新的名片俨然生成。大部分台门的下场同样不是变成景点，就是被拆除，导演为了将儿时的记忆保存下来，找遍整个绍兴区域，最终找到了两个符合电影需求的台门，其中之一便是西小河畔的这个。远离城市的喧嚣，台门的故事在这里延续，西小河依然清澈，它将会把这座城市成长的故事一直流传下去。,131.0,10.0,15
1,1,26799232,西小河的夏天,402bb0b3fcf3776c3e1c85b09b779e55,bea1cc796243d9894bd3915d66854994,5.0,2018-07-10 00:14:12,影片中的晓阳，其实内心世界有些封闭，所以跟徐梁闹变扭，有误会他也事后没有主动去解释，他不善于表达自己的情感；在他爸爸取消徐梁资格的时候，他明明很想在他爸爸面前替徐梁求情，却硬生生的只喊了两声爸爸，第一声里有他想为义气呐喊的勇气，第二声里有他对父亲的畏惧及他性格里根深蒂固的乖巧。后来终于遇见一个可以让他从禁锢的世界里感受新的世界的领家爷爷，他终于可以把自己的小秘密透露在空气下这样的毫无遮拦，这也是他人生中的一次英勇，敢于违抗一直压抑着的世界的一次抵抗，但是带他呼吸这个世界第一口自由的气息的人终究还是离开了，他无法直面爷爷的离开，一直不敢面对分离，直到人离开他才奋力追赶，但是看着那辆黑色的轿车离去的那刻他却停留在那里，没有再追赶他只是目送，他节制的表达着不舍的含蓄，然后对爷爷说，其实更多的是对自己说，会等他回来。虽然不知道后来他们是否相遇，至少小阳遵循了自我的内心，最后也坚持了自己的足球梦，即便小阳又回到了一个人的孤单里，或许孤独最终会成就小阳的梦想，就像有人说梅兰芳的一切来自孤独一样。,6.0,,2
2,2,26799232,西小河的夏天,69b1406f82e990d4ac93fb0f043cea20,6d9d799892f3f6da65605638212a58a8,2.0,2018-06-29 16:47:20,关于孩子的成长，炎热的夏天，足球，江南水镇，绿色植物和台门的青色建筑，建构起一个南方城镇小孩的成长环境。邻居爷爷的孙子、儿子的故事，晓阳父母的工作，晓阳的足球伙伴和英语老师，看着单纯的人物关系，却牵扯出很多困扰。城市化过快小城镇要拆迁，老厂要卖机器工人下岗，父亲升迁却不得，喜欢新来的下属想出轨而被拒绝，母亲想获奖住大房子，邻居爷爷失去孙子不愿和儿子儿媳一起的空巢生活…… 好像一场大雨后所有的烦恼都可以慢慢解决了，晓阳的一次出走好像使得身边人都想开了？爷爷搬去深圳和儿子住，晓阳的爸爸妈妈也因为儿子的出走而形成共同体，晓阳可以和伙伴一起加入足球训练队了…… 可是，夏天过后，一切真的会好吗？ 那些生活中的困扰、矛盾、烦恼看似解决了，可还是真真切切留在大家心上了，一种惆怅，一种怅茫，只是大家还要继续往前。郑晓阳可再也不是那个郑晓阳了，他会开口要求了，他会争取了，他长大了一点点。 看的时候也想到《八月》，同样也是夏天，小朋友，长大，也有厂子的变化，父母的吵架。被大人带着的离家出走，明显借鉴了《菊次郎的夏天》。 电影有些部分还是显得僵硬不自然，比如英语老师的美丽多才和演技就让人奇怪，穿插母亲角色的舞台表演也生硬突兀，还需打磨。,2.0,1.0,1
3,3,26799232,西小河的夏天,7136102dd58f9745d55509847cc76e73,a246cf999e22164b9072041c88b896ba,4.0,2018-05-24 10:38:48,人的一生能有多长。斯芬克斯谜语里，早晨用四只脚走路，中午用两只脚走路，傍晚用三只脚走路的怪胎的一生，不过是从爬行到蹒跚的过程。儿时的天真稚嫩，少时的壮志难酬，中年的生活危机，暮年的垂垂老矣，在抵不过三位数的短短一生里，你在哪一个春天自缚，又在哪一个夏天破茧，那些成长带来的欢悦或是阵痛，在哪一年随记忆里的你远去，成就了当下的你。面对成长，是在一生中一刻不停的奋进。 《西小河的夏天》是一部儿童视角的影片，故事发生在二十年前的夏天。1998年，皮耶罗决战世界杯，10岁的主人公晓阳怀揣着一份足球梦想，却只能小心翼翼的隐藏。这是记忆里最初属于自己的秘密，一个装满了梦想的铁盒子。每晚在父母睡后蹑手蹑脚的打开，一件一件的端详，再一件一件的收好。孤独的成长之路上，这些都是珍宝。 导演在提到这部处女之作的儿童视角时谈到，“成长就意味着‘纯真丧失’，儿童视角就代表了这一份纯真。这份纯真在面对成人世界时是懵懂的，而在面对自己本身的情感时又是那么直白真切。”每一个阶段的自我都应当被重视，面对足球的热爱，友谊受挫的痛心，对成人世界的不解……这些对于儿童来说大过天的情感体验，是飘散在每个人童年记忆里的情结。大多数人已经忘记了的儿时珍重的那些，在这种回忆的共鸣里被一缕一缕的牵引。你是在哪一个夏天长大的，那些曾经重要又细碎的情感，跟随着哪一年夏天蒸腾的露水消逝了。  面对成长，绝不是字面意义上那么简单。晓阳的父亲在学校里做了十年的教导主任，谨慎，一丝不苟，小心翼翼，为人师表的道德约束和时代洪流的不断翻滚，他感到自己在停滞。这种停滞让人到中年的他几近窒息，已经没有初入职场的志气，没有如胶似漆的爱情，妻子的不断攀升与成就更让这种压力如影随形，在轨道上运行着的一切看似平稳却也最易破裂，这种透着压抑的生活逼着他想要打破，又告诉他不能放肆。他可悲又可怜，全场所有的戏里，最令人五味杂陈的一出：那一幕歌舞厅里，肆无忌惮地蹦着的那个人，是久违了放肆的他自己。  时下，人们常常讨论中年危机。上有老下有小又无力与青年人竞争的处境让很多人不断的禁锢着自己。这种禁锢不是说情感出轨意义上的禁锢，而是全方位的无时无刻的谨慎。工作上晋升变慢，容错率需要压缩到最小，家庭中父亲的形象不可侵犯，一家之主的责任更监督着他生活中每一刻的言行。人是需要妥协的。正如导演在访问中谈到的“中年人的和解”。影片的最后，这位高大严肃的父亲与自己和解了，向妻子展现了自己的脆弱，向孩子下放了自己的权利。他也成长了，是一出闹剧后的成长。回归到了自己本来的位置，一切却在悄然改变，原本自己都默默承受着的，变成了一个家庭共同努力着的。闷热的夏天就要过去了，秋天的空气不会再让人透不过气来。   顾宝明扮演的爷爷形象也给人留下了深刻的印象。爷孙一起练足球，看世界杯，逛球场，爷爷既是训练晓阳足球的教练，更是倾听晓阳烦恼的朋友，同时也在一步一步了解晓阳的过程中放下了自己的执拗。80后、90后的独生子女在成长过程中，常常是孤独的。虽然晓阳生活的台门还保留着群居的生活，但却没有年龄相仿的小伙伴能够代替兄弟姐妹，爷爷似乎就是这样一个陪伴的存在。在不断的相处过程中，晓阳的纯真打动了爷爷，也让爷爷有了对于生活的新希望。即使是已经暮年的爷爷，内心也在不断的成长着。又回到了关注自我的那个话题上，人已暮年的自我感知一定是孤独的，看着爷爷每日悉心的给黑白照片上的爱人换着桌上的鲜花，梦里不停念叨着的宝贝爱孙小宝，就知道这段孤独的日子就是老人心中最重的心结，解开了放下了，也就真的能走向下一段旅程了。  夏日的西小河宁静的流淌着，氤氲着的湿气和满眼的葱绿诉说着这个夏日的故事。成长是痛也罢欢愉也罢，都会流逝在时间的长河里，随着河里的水汇进记忆的海里。这片海里，一定也有你。 文／笑傲江湖,11.0,,0
4,4,26799232,西小河的夏天,ca96403d31969e237eb5d1bc8e1924a5,6358f2468ec8a36950912d4a8229a77c,4.0,2018-08-05 21:43:41,一直都特别羡慕那些生活在江南水乡的人，羡慕他们可以踏着青石板去学校，羡慕他们可以撑着船走街串巷。那泛着光的河水，就好像是精灵的家，夕阳斜照的时候，波光粼粼，想想就格外浪漫。  遗憾的是，我出生在陕西南部的小城，这里虽然也有碧水环绕，但却是条大河，虽也是风姿绰约，但少了几分格调和婉约。在这样的江边长大，人也像这条江一样，表面平静，心里波澜万千。  小的时候，住在一排小平房里，四周都是熟人。但我却特别不喜欢，因为家里的事总能被别人知道，挨打了、考试没考好、偷吃零食了......后来，伴随着马路上不断增多的汽车轰鸣以及工地的嘈杂声，我的记忆就逐渐消失了。  再后来，我们都搬家了，小平房也不见了。  时代的发展从来都不会考虑到个体，我们每个人只会被时代裹挟进滚滚洪流之中，变成其中的一份子。有越来越多的人住进单元楼，从此，关于小平房的记忆就被封存了。  那个时候，还不知道所谓的经济腾飞，只记得小城变了，到处都在建房，到处都在搬家。记忆中的小平房成了一个小黑点，瞬间被这些变化吞没了。  今天，看了一部电影，《西小河的夏天》，虽然是水乡的故事，但却和很多地方的故事都很相似。三个时代的人贯穿了整部电影：  物质条件充裕，但精神世界孤独的晓阳。 工作认真，刻板执拗有不太安分的晓阳的父亲顾建军。 邻居郑爷爷。  每个时代的人都有每个时代的孤独。  晓阳是典型的独生子女，这是八九十年代的缩影，这一代人，童年的物质条件比较充裕，但是精神却格外孤独，父母需要投身进改革浪潮和社会建设之中，用“抢夺”的姿态来积累资本。晓阳喜欢足球，却被父亲反对，简单的梦想就这样破灭了，形成了小小的故事冲突，父子之间的对立。  顾建军，人到中年，事业稳定，家庭幸福，却少了那一点点激情。年轻的沈老师唤醒了顾建军沉睡的激情。他在沈老师的身上看见了年轻时候的自己，也喜欢上了这个年轻的女老师，她就像一块打乱湖面平静的石头，在顾建军的生活中荡漾起了无限涟漪。  郑爷爷的孤独是来源于亲人，老伴的去世，孙子的去世，儿子的南下，他固执的守着台门的一亩三分地，因为这里有他过去的一切。所以，当规划局的人来的时候，他才会怒不可遏。  三代人，三种孤独。  晓阳的孤独是成长的必经之路。 顾建军的孤独是无可奈何的痛定思痛。 郑爷爷的孤独是空巢和远走他乡。  当然，每个人也有守护的东西，这些守护的东西则是电影中温暖的所在，晓阳的足球梦，顾建军的回归和醒悟，郑爷爷的释怀。  其实，关于这部电影的结局我们是可以预见的，城市的发展将会逐渐步入正轨，个人的反抗和挣扎总是无力而多余的。这样的戏码，经常上演，只是这个时代的人学会了妥协和沉默。  导演周全在这部电影中加入了很多儿时的记忆，说起来就是一部拍给自己的情书。  童年的故事，时代的变迁，台门的消亡，记忆中的童年和成长伴随着时代的发展逐渐消失，让这些故事成为每个人的回忆，在清澈的西小河流淌下去。  本文首发于个人公众号：自由与爱之地（F-and-love）,4.0,,1
5,5,26799232,西小河的夏天,ec8fce6b7c6103fd542fcf134b3cdbd1,01c6216c48a2ebc55905eb19d5003c24,4.0,2018-05-25 21:19:26,看一部电影，也需要一些执念了。 要不是上周在腾讯视频偶然看到《西小河的夏天》的定档预告，要不是因为被预告片里的这首《游夏》而吸引，我是不会费了些周折去包场看这电影的。 在线购票APP里我划到底还没有找到这电影的信息，要不是我看到“查看更多”而点击进去，就以为这电影不在我这里上映了——事实上与没上映也没多少差别。 本市就一家影院在今天放映这电影，只有一个场次。我点明天的放映信息，一场都不放了。 相比那些动不动就搞19.9甚至9.9票补的电影，这电影能上映都不错了，就别指望片方在已经赔本的前提下再票补了。 要不是我今天闲的有点蛋疼，我才不会跨区在大下午去看电影——我家楼下附近的几家影院很明显抛弃了这电影。 当我一个人包场看完这电影出来后，看到影院墙上挂着“中国艺术电影放映联盟”的牌子——要不是这牌子的存才，可能这一场都没得看了。 电影的情节简单而舒缓，没有很大的戏剧冲突，很多矛盾最后的解决甚至显得有些云淡风轻——这也挺符合影片的基调的。 当郑先生答应顾晓阳做他的足球教练时，我暗自感叹：难不成要拍成老爷爷带领小男孩实现足球梦的套路励志片？——幸亏不是这样的套路，如果影片围绕这样的套路展开，我就会开口骂导演了。 小演员的选择我认为是不够成功的。我不否认顾晓阳扮演者的灵气与童真，但是当他说出生硬的台词时，我依旧觉得他表演的痕迹略重。想到那年看《百鸟朝凤》，被小正太郑伟的纯属演技而征服的感受，如果《西小河的夏天》的小主演能达到那时郑伟的演技，这电影就非常出彩了。 我姑且将顾晓阳父亲遇到的事情称作“中年危机”。一个在学校里严肃的有些变态的教导主任，一个在家里高高在上的严父，在遇到事业的转折期，在碰到刚毕业的年轻漂亮英语老师，在面对妻子即将迎来事业巅峰的空档，他是焦虑的、胆怯的，冲动的、盲目的，自卑的、脆弱的。而当他没有当上副校长，与年轻英语老师的事情只是一场夏日的雷雨似的过去，同妻子的关系面临严重危机之后，他用一场倚靠在妻子身上的痛哭而宣告自我挣扎的瓦解——这意味着他新生活的开始。 郑先生对于顾晓阳的关注与疼爱，更多的可能是来自对于他去世孙子小宝的移情。他与儿子的矛盾影片中展现得不多，但通过他儿子在面对郑先生冷漠态度的体贴反应，他儿子收购棉纺厂设备时的慷慨以及最后郑先生随儿子与儿媳妇去深圳的情节展现，郑先生最后是与自己达成了和解——他与儿子的矛盾更多的是源自自己的心结。郑先生与儿子儿媳妇离开自己的老屋的路上，我看到他儿媳妇隆起的腹部。小小宝将要在不久的未来降生在这个家庭，郑先生终于迎来了他想要的幸福。 “青石板的街，老房子的夜，你陪我静静谈了一些”。顾晓阳在他十岁的那个夏天，用懵懂的眼神似懂非懂看到了大人世界的一些纠葛与矛盾，而他也在夏日时光的流转中，最终实现了自己进入足球队的小小梦想。夏天过后，顾晓阳又长大了一些，他身边的那些大人，也改变了许多。 时光荏苒，1998年的那个夏天属于二十年前的回忆。而在淡淡蝉鸣中的夏天，注定是无法复刻的。唯有记忆，才能在时光的咀嚼中不知不觉发酵成了一丝我们现在以为的模样。,5.0,,0
6,6,26799232,西小河的夏天,040f492a775056666cefc5b73d4f3b5d,212759c3b15a5fb17755a99cde0f4e3a,4.0,2021-11-23 08:49:39,平平淡淡的 对我来说还蛮有感觉的。                 让我想起了一段 可能是梦又可能是真的 模糊的记忆 是小时候 还没有那么认识路 但是一个人 从不知道哪里想要抄近道回家 我要路过一片水塘 周围都是绍兴的老房子 可能还可以看见船 我还会遇到一棵树 它在地上突起的根是我要转弯的标志 绍兴好像已经不是我小时候那个样子了 回忆起来的路 怎么想也对标不起来现实,,,0
7,7,26799232,西小河的夏天,3b4e5839e7f23341da2804d2cd70a687,9be2b32d52f2f89b3d86c56f074bf1bc,,2021-05-24 12:28:59,"还挺喜欢的，大概是导演用了潺湲舒雅的文艺皮来包裹一件弓马娴熟的手艺活儿，私本位谨慎地低伏于情节后，看起来闲庭信步，实则步步为营的缘故罢。
镜头捕捉到的绍兴极美，玉带弯桥，垂柳若抱，四合院儿檐色幽深，巨蹲狗似的，居高掷下大朵大朵黑云，喝开了如火骄阳。
人物一开口，不论主角配角，群演龙套，声音都像水洗过杨梅，半拍慢，清凌凌。无端想起高中时隔墙听苏杭籍（大概）母女对话，莺莺呖呖，自然连韵，我以为阿姨在轻声唱歌，同窗却说她在挨骂的往事来。一笑。顾老爷子台湾腔算少了，倘若是其他普通话片子估计也够使，可惜放此区间，依然朱鹮间鹤，一望出离。
故事并不复杂，四合院儿老中少三代人各自生命曲线的节点横剖，再纵横交错。少年人要反抗父权坚持梦想，中年人要身份认同解决危机，老年人要勘淡死生自我和解——探讨范围不可谓不广，导演入刀的气力却很克制，叙述也很温情。
顾父再怎么古板专制，未曾碰小孩儿一根手指，也未曾说什么不堪的重话，实在“两害相权”，唉声叹气也就取其轻者也了，倒是他自己的问题麻烦许多。说到这里必须夸张颂文老师演得俏。增重二十斤使灵魂灌了铅，行动都是不合时宜的磕碜和不安于室的骚乱。最终，青春梦幻和升迁热望都是泡都是影，扎破膨胀放出脓血，踏实过活才是老实人获取尊严的不二法门。
喜欢杨惠芳冷月花影，背人处流泪的设计。“常言道结发夫妻到白头，看来你我今生无缘配”，到白头也不是自己能定，无缘配也不是自己能定。呜咽五秒钟，擦干脸又是没事人。
整个故事走完，只有一老一少完成导演赋予的使命。老人无求，少年无畏，中间尽是苦酒微醺的苟且，那似乎也很合理。",5.0,,0
8,8,26799232,西小河的夏天,91b8e6170601584e8a0a0c7945298baf,ab7156954fc4850b710e672b73def0a1,,2021-05-10 19:22:52,童年：顾晓阳和他的同学们 青年：沈老师 中年：顾建华和他的妻子（抱歉只是看的剪辑所以不晓得名字） 老年：郑老爷  当然，影片是以一个孩子，也就是顾晓阳的角度拍摄的，观影过程中很自然会把他当做主角，带入他的身份和立场，去支持或者抨击什么。小时候，我看电影都是这么一个路子：完全认同主角的价值观，给每一个人贴标签，他就是坏的或者她就是好的，诸如此类。后来随着长大，我发现自己开始有了一个很宽恕的心态，不再只把目光放在拥有最多镜头的角色身上，而是把自己带入到每一个人物之中，不断切换身份和立场，感受他们的喜怒哀乐，也尝试探寻人物的动机和故事背后的故事。有时候，整场片子看下来，最打动我的，给我留下最深刻印象的，反而是那个仅仅出现了几分钟的不知名小人物，这很棒。 ⚽️亲情困局（童年）： 顾晓阳在尘土飞扬的操场上肆意地踢着足球，就算是和人打架受伤、装满有关足球的宝贝的小盒子被爸爸扔掉，也依然热情不减。 即使是这样，每次面对爸爸反对他踢足球，他依然很顺从，很乖巧，不会当面顶撞，转为地下战。 他从什么时候开始明目张胆叛逆起来了呢？从发现爸爸和沈老师暧昧的关系：他们一起在办公室里说说笑笑、沈老师穿着白衬衫弹着吉他看着爸爸唱有关于青春的歌、他们一起去舞厅……晓阳厌恶这样的爸爸，那个从前无比高大正直的形象轰然倒塌，光芒不再。父亲这个词汇，从此变得复杂而令人难过、困惑。 于是乖巧的他开始变得叛逆：爸爸不让他穿着球衣去上学就干脆不穿衣服，挺着小小的胸脯一路光不溜秋地走到教室，爸爸只好妥协；被爸爸满球场追着跑，会跑得更快让人追不到…… 这是童年的我们大多会经历的事之一：父母形象的坍塌以及相伴而生的对其管束的反抗，同时还有内心的惶惑和迷茫。 🥀婚姻困局和事业困局（青年和中年）： 顾建华，十年兢兢业业的小学教导主任，前方的职业生涯正一点点变得晦涩难懂起来；而妻子却要“飞黄腾达”了，角逐梅花奖胜券在握。夫妻两人的事业发展对比鲜明，而在东亚文化语境里本应是家中顶梁柱的丈夫反而是比较落后的那一个，而且还是在98年。所以顾建华自己也不太能够接受这样凄凉又令人愤懑的事实，似乎是不由自主地，想要在另一个年轻稚嫩的生命身上，寻找作为男人的尊严和逝去的青春。 沈老师，一个初出茅庐的年轻老师，文艺青年，喜欢唱歌和弹吉他，去舞厅跳舞和喝咖啡。在这场两个人的戏份中，她唱歌时有意无意望向顾建华的迷离眼神、夜晚在办公室里和他交谈时露出的星星眼、找演出道具时过于近的距离和肢体触碰，都给了顾建华一些隐隐约约的暗示，让他一步步靠近自己，在那个最为暧昧和几近失控的时刻却又飞快退出，转身离开。 也许，她是一个边界感不强的人；又或许，她是一个走钢丝的人，明知山有虎，偏向虎山行。 是青春时期荷尔蒙作祟吗？是夏天闷热的天气让人头晕脑胀吗？不得而知。 妻子知道了，然后是长时间的争吵、冷战，或许也不是没有过分开的念头，不过最终这场偏离正轨的事件随着沈老师的离开和时间的流逝，慢慢隐去，成为两人婚姻里的插曲。  最后来说说郑老爷： 他是早夭的小宝的爷爷，是在深圳打拼的儿子的爸爸，是顾晓阳的朋友，是顾建华的邻居…… 他守着老旧的台门不肯离开，实际上是守着孙子的痕迹，守着自己心里的挂念，在和晓阳相处的那段时间，他陪他追逐足球梦想：在桥上练习、去杭州足球场、送他皮耶罗球衣；陪他一起直面成长的困惑：跟踪爸爸和沈老师去舞厅并拍照取证…… 因为这段上天恩赐的缘分，郑老爷放下了心里的执念，与旧时光做告别，然后好好开始新的生活，去了深圳。 而晓阳，也第一次，感受分离。 🌱成长的主题？ 晓阳的成长，似乎是最直观的。但其实，顾建华也在成长，沈老师和郑老爷又何尝不是呢？没有圣人，没有天使，不断经历，不断成长。原谅，是软弱还是理解，人人都有自己的答案。,1.0,,0
9,9,26799232,西小河的夏天,19c23055f3c72a47b30b357cdeab5ad6,25ed12cd80dc2bc57d7160f7d24e82b1,5.0,2021-04-25 15:13:04,"优点:
①影片的取景很棒，盈满江南水乡气息。阳光淡淡，微雨蒙蒙，鞋子湿了，连太阳都有些黏腻。惆怅的味道妥帖不腻。
②郑爷爷和晓阳的感情很真挚，在和家人都存在矛盾的境况下相互共情结为忘年交，通过这两个视角窥见了中年人的生活压力和复杂的世态人情。
③虽然时代背景没有特别明确，但仍旧照见了一定了现实意义。工厂的倒闭，青砖黛瓦的湮灭对乡民的伤害是可感知的。
④细节感人。很多台词很精彩，编导会在很多场景里面安插很多看似平淡却非常精妙的小转折，爷爷和晓阳的辞别，不舍，有点像余华写《活着》的那种设计，既真实又有情感浓度。

缺点:
①晓阳爸爸的行动线过于顺畅。故事里头，晓阳爸爸是一个古板墨守成规的老师，又是在那样一个保守的年代，要想做出出轨这样的事情一定是要经过激烈的思想斗争的。而故事中越界得过于容易。张颂文的表演很尽力，但仍然无法掩盖编导的瑕疵。 ②晓阳爸爸很古板，一直不理解儿子对足球的喜爱，最后两人看似达成和解，实际上只是因为晓阳爸爸感到愧疚而已，他并没有真正理解晓阳，实际上仍是个悬而未决的结局。 ③这样一个题材偏文艺的片子，仍然采用了一些非常商业化的处理手段。呆板的三幕剧结构。以及一些没有充分合理化的矛盾，晓阳光着上半身去上学，晓阳爸爸不顾及妻子参加舞会等等，给影片减了分。 ④有些地方的应该有更多的展示。晓阳爸爸和妻子闹了矛盾，两人的关系发生了什么变化在后半程没有体现出来。郑爷爷踏上归途复杂的情绪也是很简单的感伤。尾巴收得有点潦草。  总的来说还是一部很不错的片子，不知道为什么有人要打两星甚至一星，多给一颗星平衡一下分数。",1.0,,0
