,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26809007,奇迹，那天如此重要,4b4ae8b967977c5d51b6ecdcecfd8f68,9f1ebf5f04d7fd557cebda47cddd4c46,4.0,2017-06-28 21:44:56,GReeeeN乐队是一支实际存在着的乐队。   看到有人在问电影名称中的几个假名什么意思，我自己也不认识所以查了一下，结果字典里也没有，在搜索引擎里得到了答案。  ソビト —— 日语“素人”的音读读法。素人在日语里一般是使用训读读法，读作シロウト，这里可以理解为GReeeeN乐队为了表达与众不同的感觉？总之，这个词是GReeeeN乐队自己独创的新日文。   GReeeeN乐队简介：  福岛县郡山市的4人组成的JPOP乐团。  从2002年起开始活动，2007年在十多家音乐公司的激烈竞争后，最终决定与环球音乐集团旗下的NAYUTAWAVE RECORDS签约而正式唱片出道。全员都是大学齿科部的学生，不露脸的原因与电影剧情稍有不同，现实中的解释为“在国家齿科医师考试合格前就决不露脸”。   不过，大学毕业以后，这四人也没露脸，很多媒体人和音乐人做了一些分析，总结如下：  1、露脸后暴露身份的话，他们这么有名，就会有不需要治疗也赶到医院来的人，从而给其他有治疗需要的患者带来不必要的麻烦。  2、不露脸的话很容易成为一个流行的梗，事实上也确实如此，在很多时候这会成为大家谈论的话题，对乐团知名度有帮助。  3、不露脸代表着同时兼顾好牙科医生和乐团活动的GReeeeN乐队的信念，对于媒体和公众而言，这也是他们独特的形象定位所在。   乐团的四名成员是：HIDE、navi、92、SOH，音乐制作人JIN如电影剧情，确实就是HIDE的大哥。  乐团的LOGO就是电影里那个，用人笑起时候四颗牙齿的形象作为乐团符号。   从08年起，断断续续一共发了30首左右单曲。查了一下资料，只有一首单曲拿到了Oricon榜排名第一，就是电影名称的那首歌曲，叫「キセキ」（奇迹）。   电影剧情中，妈妈曾经开玩笑说，“是不是能拿日本唱片大赏了？”  实际情况是，还真的拿了，还不止一次：  2007年，年度最佳新人  2008年，年度十大畅销专辑（「あっ、ども。おひさしぶりです。」）  2009年，年度最佳专辑（「塩、コショウ」）   乐队的官网，有兴趣的可以看一眼：  http://greeeen.co.jp/   ps：四人都表示，电影里演员的造型和自己的形象真的十分接近。,148.0,4.0,9
1,1,26809007,奇迹，那天如此重要,e21c1b6b61e63423c8e801e2175860c6,f835344a92322dd3dfec2d9cc924c7ee,5.0,2017-06-24 00:49:23,"电影处理3.5分，歌值5分！

2017年6月23日修葺一新的天山电影院，
借着上海电影节，我独自一人穿越半个上海只为来看我爱了8年的组合有关的电影，
就在前几天我因为鬼使神差的乌龙搞错了观影时间而错过了大光明影院的那场，就差没吐血了，经历了不平静的几天，终于还是不甘心，再度斥60元巨资咬牙入了一张天山场的（在这里感谢豆瓣好心人的转让），就怕人生留下遗憾。
然后我发现也许真的是注定的，竟然天山场有主创见面会，哈哈，人生总是不知道什么时候会有惊喜的。

电影的前半程，是让我感觉有些拖沓的，因为我以为电影的主旋律会像GReeeeN的歌，燃、青春澎湃、紧凑、激荡。
但是仔细想来生活不就是如此，电影就好像CD的反面，跟歌曲呈现的截然相反，而是背后的故事，青春也并不总是高潮迭起、激动人心、挫败、徘徊、迷茫、无聊、心酸都不会缺席。

这10年来我的华语歌曲曲库就没有更新过，后来都是听一些J－POP，而80%都是GReeeeN，是一首歌反复听的那种。当身边的人听着摇滚、爵士、民谣、电子，我听的音乐叫“少年”，也许外表丧如我，完全看不出是那种会沉迷这种”阳光”“元气”歌曲的人!恩，缺啥就要补啥。
最早听的《旅立》，被魔怔了，接着《奇迹》、《刹那》、《爱呗》、《歩み》、《恋文～ラブレター～》、《Every》…一发不可收拾，为什么可以每首歌都那么好听陪伴我度过平凡、开心、不开心的每一天。

果然在电影的高潮，当KISEKI的音乐响起的时候，我就料到我会泪目，而在现场何止我一个人这样呢？当电影里的绝症女孩听着《キセキ》哭着说出”我想活下去“的时候，其实我们看到的又何尝不是这些年曾经被牙医的歌治愈的自己呢？在绝望、受伤、疲惫不堪、孤单的每一天、每一刻，牙医的歌就是支撑走下去的力量。

电影里，HIDE说过很多次“我是要当牙医的”，这句话更多的是使命感还是认命感呢？
而生活都被音乐填满，不惜为此与父亲反目、离家出走的哥哥JIN，没能成为主流歌手，做不了自己喜欢的音乐，费力妥协甚至与队友分道扬镳换来的只是一句“重金属”已经不流行了。最后，意外成为了弟弟音乐道路的“伯乐”!   考上大学，拾起音乐旧爱的弟弟，随随便便就拉到了同学搞起了组合，”随随便便”创作了歌,唱着轻轻松松的元气歌曲就能”轻轻松松”走红，对比JIN把音乐视作生命，追求音乐梦想道路的沉重，电影把GReeeeN的诞生到走红都处理的非常顺遂、甚至有些轻描淡写，对比起来JIN的“壮志为酬“似乎带着玩笑和嘲讽，可是人生就是如此，幸运、有才华的人，同时兼任都轻松赢赌上一切的你。而所谓“千里马常有，伯乐不常有”，如果没有JIN也就没有GReeeeN，最后JIN也和自己和解，认清了自己该走、适合自己的那条路。 

不管在哪条轨迹，怀抱希望，就会有奇迹发生。

恩，希望奇迹能发生，有生之年能看一场利用全息投影之类的GReeeeN的LIVE，跟所有跟我一样爱着他们的人一起。",40.0,3.0,9
2,2,26809007,奇迹，那天如此重要,e642da1038ba45e33f629cebe001380f,f742834aa5f17fe635913c7e4efe01bd,5.0,2017-02-23 03:01:29,"不知道什么时候开始，选择这个词成了我的一切借口与理由。“我只是选择和其他人不同而已”“没什么不能理解的，每个人的选择不同而已，而我选择这个”。在我这里选择这个词成了一切的理由。也成为理解一切的源头。

这个世间总是对「歌手」「演员」「偶像」存在一种坏的印象。“不就是搞音乐搞band的吗，轻浮，有暴力嗑药倾向，听不懂的歌，搞不明白的装扮”。世间总对「医生」这个职业有个好的印象，可以救人生命。但世间似乎又忘了这个世界上还有很多救不了的“命”——心。医生可以救一具身体，但却救不了心。当然心里医生没准可以，除了心里医生，这个世间还有很多职业没准可以救心，例如书、画、音乐。是的，音乐的力量有的时候是无穷的，它有时能救治医生救不了的命。有的人活着却和死了一样，有的人死了却依然活着。音乐和医生一样拥有治疗的力量。

人生到底要如何选择？
HIDE选择了父亲的路当了牙医。JIN选择了音乐的道路。JIN问HIDE你怎么想，HIDE非常坚定的说我要当牙医。看似HIDE选择了父亲的路，但是何尝这条路不是HIDE主动选择的呢？而选择音乐道路的JIN似乎迷失了方向。迷失在了反抗父亲，但同时又想要被认可的心。最终HIDE帮JIN找到了他的路，JIN成为了HIDE的制作人。看似父母定的路胜出了孩子自己选择的路，但是这何不是孩子自己选择的路胜出了被欲望迷失的自我呢？跟着心走，没什么合适不合适的，只有想不想。坚定自己的心，不要被欲望打败是多么的难得。

剧情的最后父亲说“你们要做GReeeeN一样的音乐（给人希望）”，不知是父亲放不下面子还是不知道HIDE就是green。被认可的兄弟，最后开心的笑了。也许没有认可他们依旧能做出有爱的音乐，但是被认可后的痛快也只有他们知道，这个被认可的重量。

一部看似音乐也青春的电影。却充斥的教育观念与有色眼镜与选择。也许这并不是导演想要直接表达的，但是这却是这部电影最精华的部分。青春的烦恼与美好。
 --------------------------------------------------------------------------------------------------------------------------------------- 好久就没有上豆瓣写评价了，这片子真是太符合我口味了，这么多年没有动笔，今天居然动笔写了影评(*/ω＼*)",16.0,,3
3,3,26809007,奇迹，那天如此重要,b528615a3a70625e8c8ee1baf38a86ab,cd9d5105bca2fe6dd9ca4e28de87414e,5.0,2017-10-07 23:40:09,"音乐和理想一次次被表达，但上一次在电影中真正感受到音乐的力量的，应该是四年前的《MONSTAR》。被《奇迹》打动，真的不是因为国庆看了同样讲述音乐故事的《缝纫机乐队》，窝在沙发上，断断续续看了两三遍。

【医学和重金属】

电影一开场就是JIN（松坂桃李饰）的乐队的地下演唱会，不优美不悦耳，但一首《UNCHAINED》足以给很多踽踽前行的人以力量。嬉皮士用重金属音乐标榜自己的放浪形骸，其实并不是它的唯一面貌，释放和本真有时候真的太过吸引人，我敢肯定台下躁动不安的人群有一个一定是在某一场live中的忘记一切的自己。  在把拯救病患当做神圣事业的父亲森田诚一（小林薰饰）看来，乐队不过是玩玩罢了，没有意义也无法谋生。  重金属和医学事业，自由和严谨，对比鲜明。

承担着家庭的物质生活来源，在餐桌上没有只言片语，掌握着家庭的绝对话语权，和儿子发生对垒时忍不住拔出尖刀，森田诚一是现实中绝大多数亚洲家庭中的父亲形象。  叛逆”反骨仔“JIN坚定地站在“父亲”的对立面，选择离家出走继续做自己的音乐。

只不过，JIN的音乐道路也并不好走。乐队被唱片公司制作人卖野（野间口彻饰）相中后，却在不断的改曲中渐生摩擦。  贝斯手TOSHIO（奥野瑛太饰）对待音乐的态度要比很多流行音乐人认真，投入更多的精力付出更多的努力，对于他来说为了出道而不断地揣测和迎合大众的口味，要比拮据的生活更难以接受。  此时，想自由地做自己喜欢的音乐的JIN却能几次都容忍下来，“唱片大卖“绝不是想成功那么简单，获得父亲的认可或许才是无法逾越的目标。  【牙医和乐队】

想比于反叛精神十足的JIN，同样喜欢音乐的弟弟HIDE(菅田将晖饰）可以说是一个乖乖仔了。想着医生是一个受人尊敬的职业，父亲即使到了这个年纪也一天扎入诊疗室，考入大学进入医学系没有什么不好的。后来发现自己的成绩进入医学系有些困难，挂念着母亲的牙病再加上考友NAVI（横滨流星饰）的安利，成为牙医的目标也就顺理成章了。  即使在日复一日寒窗苦读的时候，花上3000日元买一张自己喜欢的CD可以说是HIDE最幸福的时刻，这跟多年以前年少的我们又有多少不同呢？  进入大学之后，HIDE会和朋友一起唱唱歌。回到家中重新拿起吉他，安安静静坐在地板上的HIDE不知不觉起了波澜，弹出一首清新的曲子。  几个好友一起哼唱一起定调后，他还把这首demo送到JIN那里希望哥哥能够把曲子改得酷一点。  HIDE、NAVI、92（成田凌饰）、SOH（杉野遥亮饰）在舞台上真声演绎GReeeeN最有名的单曲《奇迹》，溢出屏幕的青春和温暖大概很难不被接收到。  在JIN的帮助下GReeeeN推出的专辑大受欢迎，然而当唱片公司提出让他们出道并公开宣传时，他们却拒绝了——我们是要当牙医的啊。  “我是要当牙医的。”每次HIDE这样认真地说时，大家都会觉得他只是一个知道应该做什么，却忘记自己喜欢做什么的人。其实他只不过不是最反叛也不是最安分的那一个，也许有趣得刚刚好。  世界上有很多喜欢是无法穷尽罗列的，JIN忠于内心的音乐和父亲神圣的医学，但不管哪一种喜欢都是平等的。以父之名的外科医生和以音乐之名的乐队出道，说到底都是为别人的人生做主张。  但HIDE恰恰是一个不太固执的人，爱的名义在他这里都不会轻易上升到人生信条的高度。JIN和理香都在帮助HIDE看清自己的兴趣和热情，试图让他清楚自己相信怎样的价值，但最终HIDE没有选择哪一方，在成为自己的路上，他不断遇到新的有趣的事。  【写在最后】

想比于菅田将晖塑造的作家、弱智、小混混、施暴者、政治家等其他角色，普通大学生肯定不是难度最高的一个，但他依旧通过表演细节让观众更好地理解角色。挑剑眉透露出隐藏的锐利感，清新笑眼诠释少年的单纯善意，菅田将晖塑造的HIDE干净不失趣味。总觉得这是一个天生的演员。  在影片中，GReeeeN因为音乐本身鼓励着每一个前行的人，而HIDE还是成为温柔的牙医叔叔。  对于做音乐这件事，菅田将晖说：有些是只有现在的自己可以去做。作词、作曲、演奏他都想去尝试。  四位男孩演唱了影片中的插曲并以“Green Boys”的名义发行了CD，菅田将晖说“我们缺少技巧可能做得不好，但抱着享受音乐的想法在做歌曲”，成田凌说“一直对自己的声音很自卑，现在真想把这件事说给那时候的自己听”，四位少年的幸福和影片中欣喜若狂喊着“好厉害”的样子并没有什么不同。  会想在现实生活中，父亲站在兄弟的面前说“请写出像GReeeeN一样的音乐”的一幕很少出现吧，同时拥有并守住两个梦想也会更难一点吧。  但这确实是一个真实的故事，GReeeeN确实平淡又热血，《奇迹》确实治愈又快乐。  值得一听↓",12.0,2.0,0
4,4,26809007,奇迹，那天如此重要,c9e70dc7b581149fa4fc2e710cc68055,0ccbccedff7107730b34226103ffa592,4.0,2017-08-02 09:08:34,电影的前半程，是让我感觉有些拖沓的，因为我以为电影的主旋律会像GReeeeN的歌，燃、青春澎湃、紧凑、激荡。  但是仔细想来生活不就是如此，电影就好像CD的反面，跟歌曲呈现的截然相反，而是背后的故事，青春也并不总是高潮迭起、激动人心、挫败、徘徊、迷茫、无聊、心酸都不会缺席。这10年来我的华语歌曲曲库就没有更新过，后来都是听一些J－POP，而80%都是GReeeeN，是一首歌反复听的那种。当身边的人听着摇滚、爵士、民谣、电子，我听的音乐叫“少年”，也许外表丧如我，完全看不出沉迷这种”阳光”“元气”歌曲，恩，缺啥就要补啥。  果然在电影的高潮，当KISEKI的音乐响起的时候，我就料到我会泪目，而在现场何止我一个人这样呢？当电影里的绝症女孩听着《キセキ》哭着说出”我想活下去“的时候，其实我们看到的又何尝不是这些年曾经被牙医的歌治愈的自己呢？在绝望、受伤、疲惫不堪、孤单的每一天、每一刻，牙医的歌就是支撑走下去的力量。不管在哪条轨迹，怀抱希望，就会有奇迹发生。,13.0,1.0,0
5,5,26809007,奇迹，那天如此重要,3e1605682ff7ac6f0ddb574a3517fe68,cfd698c1d81eb563ad7a197529133617,3.0,2017-07-17 20:26:23,仁和秀是一对兄弟，仁是一名乐队主唱，而秀正在备考医科大学。两人虽然同在颇为严格的家庭环境中成长，选择的道路却大相径庭。仁不顾父亲反对一心投入音乐世界中，而弟弟秀选择继承医生父亲的衣钵，成为一名牙医。其实，他们都无法抗拒音乐的魅力。在秀决定复读的这一年，仁的乐队被唱片公司发掘，出道在望。但是由于父亲的强烈反对，仁为了乐队离家出走并不惜与父亲断绝父子关系。第二年，秀如愿考上了牙科大学。他回到家中顺手弹起了仁留下的吉他，意识到原来音乐可以让自己忘却一切。于是秀也与朋友们组成乐队，开始写自己的曲子……,3.0,1.0,0
6,6,26809007,奇迹，那天如此重要,8c7d8e029ced5981f25eabbf1708972a,00521ddd77717e4ec259442223840358,5.0,2021-11-13 17:21:45,"一. 我想，这部电影想说的是，坚持就是奇迹。
GREEN BOY 乐队的第二张唱片歌里有这句话“奇迹那天如此重要”。
这首歌激励了患有心脏肥大症女孩相信奇迹，让她鼓起勇气，对医生说，请给我做手术，我想要活下去。
也正因此，让爸爸知道了，心脏医生是可以救人的心，但音乐同样可以。音乐并不是什么愚蠢的游戏。世界需要音乐，音乐是有价值的。古板的爸爸认可了音乐，也认可了喜欢音乐的两个儿子，这也是奇迹。
然而奇迹不是那么容易发生的。
如果没有哥哥的坚持反抗，我相信爸爸依旧是难以转变的。撬动所需的力量太大，没有什么是徒劳的。
弟弟也在咬牙坚持，不是每个人都能兼顾牙医和音乐。他付出的是比常人更多的努力，但他也坚持下来了。
二.
我起初以为弟弟说他想做牙医只是安慰自己，想尽孝道也只是一种阻止自己勇敢追梦的苍白无力的借口。然而，他最终依旧选择了兼顾，他并没有屈服于父亲——因为父亲其实是希望两个儿子做心脏科医生，他想做牙医，其实就是一种小小的反叛。他是真的担起了责任，一方面来自梦想，一方面来自家庭。他既孝顺了父亲，从事医学方面的工作，又孝顺了母亲，希望能帮母亲治牙。
三.
当看到弟弟在大学如此沉迷于音乐时，我为他捏了一把汗。他知道音乐之于他是什么吗？他能经受音乐对他的诱惑吗？他竟然敢在音乐与学医之间反复横跳。他不是不想暴露吗？果不其然，他只有一个下场，就是折服于音乐——他的梦想，他自己。这是音乐的魅力，是梦想的魅力。
四.
哥哥坚持音乐到底给了弟弟什么？
弟弟认为他是自私的，因为这个家里有两个儿子，其中一个已经不管不顾地奔向音乐，作为剩下的那个，他怎么还能那样做。于是家庭和自己给他套上了枷锁。乐队名GREEN BOY，然而就是那么巧，哥哥就是一头绿毛，弟弟是不是在嫉妒哥哥，希望能像哥哥一样不管不顾地追梦。
无疑，哥哥这个green boy在音乐上指引了弟弟，无论是在小时候——弟弟会吉他；还是长大后——哥哥让弟弟在音乐方面的天分得以发挥和施展。
其中有两个片段很打动我。
一个是弟弟要放弃时，哥哥说你不想和我工作也可以。情节发展到这里，我们不难体会出，哥哥对音乐的爱已经从台前转到幕后，他希望成为音乐制作人。而对音乐的爱也投射到为弟弟制作歌曲当中。但误认为弟弟是因为他才不继续音乐的，他竟然主动提出抽身。
一个是哥哥去找父亲，对他说弟弟需要你的支持，为此他竟然情愿屈服，说要做一名心脏科医生——言外之意，让父亲放过弟弟。
我实在分不清哥哥是对音乐的爱多一点，还是对弟弟的爱多一点，但好像也没有必要分清楚。
因为弟弟本身热爱音乐，他能够也愿意同时承受哥哥的这两份情感。所以，他们是彼此成就的关系吧，我想。
五.
在家里，永远是黑的，难以看清什么，充满了压印，这是来自父权的压迫。母亲仿佛微不足道，在家里没什么发言权，只能在儿子被打时，跳出来拦一拦。当父亲同意儿子玩音乐后，家里才真正明亮了起来，观众也才看清楚那个家，原来家外有很多绿植，原来弟弟的书桌在明亮地窗边，原来这个家并不逼仄和昏暗。原来这个家这么美好。
六.
电影中，弟弟的音乐真的很好听。
七.
我始终认为创作最终需要的还是忠实于自己。有些东西就是小众的，而小众和主流没有本质上的区别，都是文化多样性的重要组成。",,,0
7,7,26809007,奇迹，那天如此重要,80f80002b0d11d419a8faa3b3270d5d7,14daad16e81807f688c254d294a3231d,,2021-11-05 11:03:14,"《奇迹，那天如此重要》是根据GReeeeN乐队真实经历改编。
       GReeeeN是我最喜欢的日本乐队之一，这是一个神秘又独特的乐队，开始活动以来乐队成员都没有在公众露过面，但GReeeeN告诉我们，音乐本身就足以触发人的内心。
       接触GReeeeN由《道》开始，青春，激励，阳光是我从歌里感受到的，歌词是如此直白地道出即使生活充满挫折，在独一无二的时刻会找出自己的答案，就算生活困难只要出发就在路上，相信听歌的人都会多少想起或身处人生困难的阶段，与这样的曲子产生共鸣，在陷入绝望，疲惫，孤独的时刻，牙医给予了我们力量继续走下去。
       这样阳光向上的乐队背后也经历过不知何所从的时期，现实与热爱是我们多少会挣扎选择的分叉路，而主人公JIN和HIDE在从事医学的父亲的期望与热爱着的音乐两者之间有着不一样的选择。
     哥哥JIN用重金属音乐来标榜自己的放浪形骸，与父亲站在对立面，选择离家出走来继续做自己的音乐，意用音乐上的成绩来向父亲证明自己的选择，但过程中发现自己的音乐道路并不好走。
     而弟弟HIDE选择听从父亲的期望，选择考医学系，但发现自己的成绩进入医学系有些困难，决定第二年时选择考齿科系，进入大学后，HIDE会与朋友一起拿着吉他哼唱着歌，还求JIN帮忙改曲，在JIN的帮助下GReeeeN推出的专辑也逐渐被大众发现，在这个时候，HIDE面对着牙医与音乐之间的选择，但HIDE在这两条路中选择了平衡，在影片最后，HIDE成为温柔的牙医，而家中摆满GReeeeN发表的专辑。
     影片中讲述的是GReeeeN诞生的时期，也是HIDE与JIN陷入面对人生选择的时期，所幸在关键时候，他们都做出遵从内心的选择，才有了GReeeeN后续的发展。
     没有JIN挖掘出弟弟的音乐天赋与放下面子求经济公司求全，就没有GReeeeN的存在，JIN因HIDE认清自己适合的道路，HIDE因JIN的支持在音乐中走下去，在我们生活中，很难遇到JIN这样的伯乐，而更难的是找到适合自己的道路，这个问题或许有人从小就明白，也或许有人穷极一生都没搞清楚自己想要做与自己擅长的事，但正如《道》中所说：“明日へと続いた道は，いつも君のそばにあって”（通往明日的道路，一直在你身边），去发现，去实现，这条路上有GReeeeN陪伴，就不会孤独。",,,0
8,8,26809007,奇迹，那天如此重要,1a0e2cd4e8fa83e28bb0f3ac73dd17c8,5e2b3ce46f8e360e9b041001f9560d9c,4.0,2020-07-18 15:04:55,"看过之后还是很感动。非常日系的一部电影，带着典型的那种我说不出来的感觉。冲着苏打来看的，苏打演技真的很棒！
他总是能成为那个角色，把自己沉浸进入，让我看到了一个活生生的秀，一个在音乐中找到自己的少年。啊啊啊我想说一百遍苏打好帅！我身边有人就get不到他的长相，像我们get到的就特别喜欢！！ 松坂桃李也好帅，几个演员也都很自然。另外这个歌真的好听，那段时间天天循环。",,,1
9,9,26809007,奇迹，那天如此重要,2bfa6afd604619cc6defd1390b154896,64a01245b217fc4764464fea7b46f801,5.0,2020-06-08 19:47:08,不论是昨天看的《风柜来的人》里海边的少年，还是这部电影里玩音乐的少年，所有的故事都发生在夏天，也最适合夏天看，也许电影真的是分季节的，就好像《情书》就适合冬天，最好是下雪的时候看。 是非常典型的片子，但是我很吃这一套，甚至看完第一反应是为什么豆瓣评分才7.7！想大声呐喊都给我打五星好嘛！！！ 但是平静过来其实有很容易理解，它太完美了，太符合励志剧的套路了，太干净又顺利了。 当医生的爸爸期待着两个儿子也同样学医，医学对他来讲，是唯一符合他的价值观的事情，对于儿子选择音乐作为职业方向，被他认为仅仅是种游戏。 但最终固执得甚至抽出武士刀冲着儿子的爸爸，态度还是转化了，因为他的一个病人，心脏肥大的一个小女孩，在音乐中找到了生活下去的勇气和期待。 人有时候就是这样，需要治愈的不只是身体，还有心灵。 热爱着音乐的哥哥，最终也没有做出有市场的唱片，但是无意中挖掘出弟弟的音乐才能，转而当了制作人。 是真的热爱音乐吧，热爱到可以完全沉浸在做音乐这件事情上，而不仅仅是表达自己。 弟弟在才能和爱好上偏向音乐，在责任和生活上偏向当牙医，当然他也出了很多很棒的唱片，确实的鼓舞了许多人，最后的最后选择了成为一名牙医。 选择当牙医的契机，是因为爸爸希望他当个医生，也因为妈妈说每次生孩子，牙齿都要变得更糟糕一点，也因为一些自己也说不出来的原因。 说到底弟弟是幸运且努力的，放在眼前的路，任何一条，都还是能坚定前行，从中获得肯定与内心的平静。 这对一个普通人来说太难了，通常我们没有那么多天赋，也不够努力和好运，有时候它就显得有一点残忍。 包括之前b站被骂的很凶的《后浪》视频。 但其实我看完那个视频，第一反应也是有被鼓舞到的，不过大家骂太凶了，当时我没敢冒头说。 总体来说，我们，或许就直说是我吧，需要这种鼓舞，需要看见生活的可能性，才能鼓起勇气，给自己安一个主角光环勇敢去跟着内心去做一些没有底气的事情，去披荆斩棘，去趁着年轻做一些别人看起来很蠢但是很热血又投入的事。,5.0,,0
