,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26817016,东京食尸鬼 真人版,6b69283c47179d8c2651822ea04039f3,a14292dadcd7fbc74ff05622381448c0,3,2017-08-10 23:10:05,漫改连载中的真人版电影一定会有剧情节奏硬伤，演员方面没人拖后腿，硬要说的话，佐佐木希一共四个镜头且都是群像或背影，想多看几眼的机会都没有。苍井优和masa最开始15分钟对戏太精彩，之后电影名字才现出，直到最后决战都没有比这15分钟更诡谲乖戾。无论是爱读高槻泉的大学生还是带上面罩的growl，masa的完成度都很高，刨冰箱自虐那段，唉。俳优里抗票房有烂戏没有烂表演的，一个是他，一个是砂糖。染谷将太和柳乐优弥以及神木DD就不用比较了人家起点是童星神演技，谢谢。,25.0,8.0,8
1,1,26817016,东京食尸鬼 真人版,356a1f20ff9e3d0c33810967d89ecccd,25bafe77979f4e2489bdb0cd5ee7ad66,4,2017-07-29 17:22:22,今天首映场给发了礼物，包在银色封口袋里的惊喜（？！）人物卡，用了优惠券来看真的是对不起了_(´ཀ`」 ∠)_   对原作的热情不足所以动画也没去看——不过情节和音响的高度一致，差不多刚刚好拍到我看不下去的位置：除了动作戏大部分重要细节剧组都有非常认真地进行还原，演员非常有奉献精神，打斗戏眼神戏都非常足。让人意外的是呕吐戏非常多而且非常真实，催吐什么的有多痛苦大家都知道，有几个长镜头masa连着吐了好几次路人粉都有点儿心疼了。   董香的这一角色千眼美子（！）给出了相当亮眼的动作戏表演，同时个性和我印象中时不时有可能会热血冲头的董香高度重合，确实算得上是可圈可点。不管这姑娘信什么，作为演员的才能还是应该被肯定的。   苍井·小清新·优出演利世我最开始是拒绝的，感觉年龄对不上，而且太大只形象不符。演出来觉得果然还是形象不符——邪魅狂狷十足霸气破表分分钟穿越到驱魔人的表演居然就这么被钢筋解决了果然还是好意外好伤心……不过演员牺牲形象演出的精神值得嘉奖，也许可以成为她突破现有戏路的一个契机也说不定。   铃木·不伦入戏颇深·伸之真的是锻炼出了很好的体格，感觉看到了masa之后第二个低体脂狂人。有两个出戏的点：总觉得特写给到他那里他手机就又要震动了，完全不符合耐用标准的灰白色羊毛大衣以及上面的两个外垫肩（？）。当然，这俩都不是演员的错——戏演得好肯定是看戏的我们入戏太深，衣服那绝对都是服装的锅：漫画就算那么画了，实际的材料不见得非得选出最后的这个效果吧……而且这大衣貌似有非常强横的自清洁效果：两次染血居然之后都焕然一新。所以阿门您到底是买了多少件同款的大衣？   先写到这里去躲雨的分割线……………,2.0,5.0,0
2,2,26817016,东京食尸鬼 真人版,6edae55deee976cab4e5569d935ed69c,7acc88e23949db291311ffeff12880a7,4,2018-01-22 19:56:32,虽然是和漫画有点差距，但是有些点挺好的。本来觉得洼田正孝不太适合当金木但是看的时候觉得演技挺到位的，那种在人类和喰种之间拉扯的性格，无奈还有绝望，到后面和亚门对决的时候那里演技炸裂啊!还有一些变成喰种后变现出的眼神，表情与神态把控的挺到位的。还有以为苍井优演不出喰种的感觉，但是变成喰种那里着实吓到我了，一下子转换的好快啊，很赞!还有演亚门的确实挺符合漫画里的正义感啊，期待真户晓是谁!特效的话还可以吧，就是西尾锦的赫子略假啊。配乐的话觉得后面金木与亚门说话的时候应该用主题曲比较好。全程配乐还欠缺点起伏感。,1.0,,0
3,3,26817016,东京食尸鬼 真人版,6e5955104b119f130c720e3a54c95824,5fbfa40f4c9571923deeb4d3de8dce91,5,2017-12-28 23:13:24,之所以给这么高的分，完全是冲着想看第二部去的。女一女二选角问题太大了——我同学都在说“女神利世完全被毁掉，要是第二部还选个残疾人来演就买张飞机票到日本去锤死导演”——这句话足以说明这次的选角问题多大。  打光和特效也有问题，等会儿再讲  打高分并不能说我就是视障影评，这部作品的缺点和他的优点一样明显：  1.女主的选角让我一度怀疑那个女主角谁谁谁来着（清水富美加）还有男二谁谁谁来着（铃木伸之）是不是给导演塞了钱才拿到这个角色的。讲真的，英是金木呼声极高的好朋（基）友，他们俩的故事曾让我的腐女朋友撑住看完了第二部的东喰，而现在，她在附二洗眼睛。  2.镜头能不能好一点？董香与泡面头干完仗之后，的确是极其狼狈，不过……算我求你，欧巴桑，别抬头好不好……战斗场面的剧情可能是为了突出金木那边吧，感觉董香这边完全是被（在）压（划）制（水）的状态——打到一半的时候，董香眼前有个洞，明摆着像陷阱，你还非要去钻，你这是在干啥？生命最原始的冲动吗？？？  3.伏笔过少。有的伏笔，你加句台词，多摄一个镜头就可以让看完第二部的人在二刷第一部的时候有莫名的爽感，并且也能让人期待一下第二部。然而呢……导演可能是想着，第一部已经这样了第二部就不会再有了是吗？= =凸  高分理由很简单：  1.对于我这个死忠漫画党来说，改编的非常好，因为这种改编把一个故事讲好了，讲全了，并且让人有一种想二刷动漫然后再回来作比较的冲动（并且我也的确这么做了）！唯一遗憾的就是没有揭示金木的使命（让人理解喰种，也让喰种融入人类，找到适合喰种生活的方式，寻找人与喰种之间的平衡点以达到和平，停止争斗）。动画中，金木就是在与亚门的打斗中顿悟了这一点。然而在真人版中却没有体现  2.文章的主旨还是很明显的：和平——找到人与喰种之间的平衡点以达到和平，停止争斗  3.最后与亚门的打戏  不！是！一！般！的！燃！讲真的这个结尾让我联想到了第一季动画的结尾，主角与壁虎之间那段燃爆了的打斗！并且里面有很多镜头也是借鉴了动画的镜头，  看这个尾赫的张开状态，有没有觉得特别熟悉？  电影：    动画：    还有就是“骨折的正确用法”：  动画：动画中金木的脚被抓住，然后直接来了个托马斯回旋骨折一脚爆了壁虎的头      电影：在电影中金木被亚门的库因克压制，也是用将手臂骨折的方法脱离禁锢    总之，电影中还有很多挺有趣的地方和细节，需要发现   总结：革命尚未成功，同志还需努力，加油啊！！我是真的很想看到第二部！！,11.0,3.0,1
4,4,26817016,东京食尸鬼 真人版,7f0b87454c370490c48b8d9da1b8fe88,6534cf571660c0b8ae5c333cb7c63b7d,5,2020-11-24 13:30:35,必须五星啊，其实东京喰种这部原著就很好发挥，它本身就给了一个很大的对立矛盾，真人改电影本身其实缺点挺多的，最大的缺点在于剧情太拖沓了，但想想还有好几部要演，就觉得这也不是什么缺点了，跟着漫画原著来也确实是很有细节，几乎没有漏洞，还原度高，细节也圆得很好，masa的演技我真的吹爆，他和角色的共情能力总是这么强，太有感染力了，金木刚成为喰种的那一段演得真的是让人浑身鸡皮疙瘩，头皮发麻，活生生的把我拉进了喰种的世界，我能感觉到喰种吃人类的食物有多恶心，喰种在人类世界生存有多难。和看动画、漫画是不同的感觉，我是作为上帝视角，而电影硬生生的把我拉入了金木视角，可见masa功力有多足。,1.0,,0
5,5,26817016,东京食尸鬼 真人版,84937668161b11de26772db708b3609d,6f698092a366e8486806b978eb487511,5,2019-09-27 22:13:52,我想知道能看不能看，能不能看能不能看能不能看能能不能看能不能看不能看能不能看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看我想知道能看不能看，能不能看能不能看能不能看能能不能看能不能看不能看能不能看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看我想知道能看不能看，能不能看能不能看能不能看能能不能看能不能看不能看能不能看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看在哪看,1.0,2.0,3
6,6,26817016,东京食尸鬼 真人版,1dcff5c70d978a9a86f79efafc460577,920ce8ad08c886b9fea20d8d83187a93,4,2019-01-01 01:32:39,①. 同是改编作，开头一些细节修正可能还比动画版好一些，一些吐槽挺好玩，但后面就能看出时长对改编的巨大限制了，删角色移场景拼台词改戏份，很多情节更加经不起推敲。 ②. 场面也就并没有多刺激啊，最多也就是血啪嗒啪嗒舔来舔去的(第一次：呃…这…也算吻戏了？第二次：等等这真的不是bl？)，搞不懂一些人的承受能力。 ③. 最大的问题还是，剧情节奏太慢，这么个时长连动画第一季进度都没拍完，没有高潮点，最动情的戏份居然搞场景切换，伟大的母爱死了也请铺垫一下好吗感动不了做不到啊？最后那场大打戏倒是铺垫了，铺垫到过于刻意仿佛天选的对手一切都是为了接下来的跟这个人大打一场。连几场打戏都慢，靠特效，动作感不明显，最后一场我都能直接出戏到“喂你们在搞五金切割作业吗？？？”可能也有知道了剧情的原因。 ④. 监督依然没有公平公正，CCG依然洗不白那么讨厌。而且，监督连讨论另一方为什么活着他们内心的挣扎都没有做到，突然抛结论，接受不了。 ⑤. 配乐自然不如动画，但片尾曲差点要对illion深度圈粉。(也是没见过如此从容黑灯到听完片尾曲最后一刻的，孤陋寡闻的人赞一下HK的场 ⑥. 优还是那样的两极分化表现方式，但这次因为另一面形象挺血淋淋鬼森森的，居然还挺好，可能最能看出来演技的就是她。四方比剧照帅，就是不攻了，亚门也比剧照帅特别是西装，不过不是我钟意的款咯。雉实的演员其实应该再找小一点的，当然不论怎样都很没事找麻烦。,,,0
7,7,26817016,东京食尸鬼 真人版,4dc43556b0cbe156033b8b92932099bb,7b87faf1fa4b8d204321f09107fab7cc,4,2018-09-29 08:01:56,因为一次意外，一名叫做金木研的上井大学普通学生遇上了某位神秘女子神代利世，又因为偶然，金木移植了神代的器官，而变成了“喰种”。喰种他们外表与人几乎没有差异，但他们不能吃人类的食物，只能吃人。                而他在生存还是毁灭之间徘徊，在人与喰种之间艰难选择，很有戏。尤其是想强行吃人类的食物而感觉恶心吐出来的时候，他忍着饥饿，更因为已经回不去了感到绝望，他感到孤独无助，他不能和任何人说，甚至是唯一的朋友永近，他感觉陷入了地狱般浑浊的黑暗。我当时看这段的时候，隔着屏幕，都感觉到了他真的很痛苦啊！  但是虽然已经变成了喰种，但是他仍然为了自己保持了“人性”，他还是很珍惜唯一的朋友永近，他会为了保护朋友不被西尾伤害而变得强大，拼命的杀死西尾。他很照顾朋友，会为了雏实，一个人冒险去雏实的父亲的墓地，只为了实现小姑娘的愿望。而在最后的时刻，对要拼命杀死自己的CGG人员，扔放下最后一丝杀心。  听说这部电影是漫改的，作为一个没有看过漫画的观众，我关注最多的还是演员的演技。整部影片下来，感觉里面的主角演技都很不错，男主角将由人变成喰种的过程演得很有层次感，而配角西尾也把喰种的一些血腥的一面演得让人害怕，另外的芳井学生和四方，董香，他们的相处也有一丝喰种令人害怕之外的温馨，尤其是雏实妈妈保护女儿，让人感觉到他们生存下来的不为人知的故事。,1.0,,0
8,8,26817016,东京食尸鬼 真人版,8d95998c12fab983c053103bd07012b5,c5ae82c40ab4d8c569a6e1fff90ccf49,3,2018-05-19 02:47:40,"「东京喰种」（东京喰种トーキョーグール）以现实世界为背景，架空了日本首都东京的现况以及人类发展史，漫画原作者石田翠设计出「喰种」这种只能靠吃人维生的生物，他们外型与人类无异，多数甚至隐藏在人类世界之中，过着日复一日的平淡生活，不见得每个喰种都想杀人，但为了活下去只能吃人，人类食物对他们来说是恶心到不行的东西，喰种因为饥饿而产生的煎熬发狂是人类所不能想像的痛苦，饿疯了的情况，人类得要自求多福。 当然，大家看这部电影绝大部分原因是因为前身的漫画 动漫。前年看完漫画第一部以后，我就觉得自己胆子有一点点被打开了，可是看完真人电影版，我开始觉得恶心，关于吃肉。  这部作品并非旨在阐扬肉食或素食，却很容易让观众朝人类若能任意杀害其他生物来食用、为什么不能被猎杀而食的方向思考之，如果喰种只能吃人而活，怎能要求他们改变这等天性？反观可以选择怎么吃的人类，怎么宁可选择畅快吃肉？ 

杀与被杀、吃和被吃的抉择，在很多漫画都出现过，却很少有如「东京喰种」这样具有强烈的威迫感，真人电影版改编漫画第一部的前半段剧情来拍，当然也不是原作全貌，很多粉丝会觉得电影怎么改编精简那么多东西，包括亚门钢太郎和金木的对战、真户吴绪的追杀以及董香的觉悟，要在有限时间内拍出原作精神着实不易，但若还有续集，真希望看见枭的威力 总体来说改的不够惊艳，拍真人版确实是有难度……最后再说文解字一番，「喰」官方发音同「餐」，据称是漫画原作者石田翠自创的汉字，其实中国辽代「龙龛手镜」已有收录这个餐的异体字，音同盘中飧的「飧」；此外，宋朝官方韵书「集韵」也有收录这个字，音有「飧」或「餐」。这个字在中文里虽然只做为餐或飧的异体字，唯日文将之解释为本能性的进食，可以说石田翠选择这个字来当作品名称确实有其用心了。",,,0
9,9,26817016,东京食尸鬼 真人版,8e39e882d65dd2a3c6e92596987eecd7,56a958b03ccb06c7391990ff5dd20f7e,3,2018-03-28 01:02:17,“站在食物链顶点的人类”和“以人类为食的喰种”，一直很喜欢作者针对故事中敌对的双方所下的定义，即便就此没了下文，通篇肤浅的争个对错，这两句话依然值得玩味：顶点和为食是否存在因果必然。金木研总是在强调“我和你不一样”，对喰种的败类如此，对人类的清道夫也如此，而对于安全区的隐者，曾经完全为人时的朋友，那些不极端的不知情者，他又有什么感受？他没有感受，他没想到那么多，或者说他并没有引导我去想那么多，所以高潮处的茹毛饮血，我只能赞叹血浆很真，但味道却没那么深。故事描写的不是一个相信一见钟情的世界，只是刻意的安排了一个相信一见钟情的男孩，并让他的种族转化源于一次艳遇，把一个仅剩的干净的人放到了不得不脏的位置，其结果没有顺着创作者的算盘，只是满足了包括他自己在内的一部分观众对“曝光”的意淫，否则我们所津津乐道的桥段不会是金木研如何觉醒啥天杀地，而是在他忍不住的时候到底吃没吃人。比起大泉洋的假发和被砸死的阿优，更让我难以接受的是主创们对于喰种世界的认知，在一个邪压正的前提下，把角色就好人坏人的标准一一对号入座，所以就算你在赫子上花再多的钱，我也不会相信这是真的。,2.0,,0
