,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26817018,今天的吉良同学,513e7aee4ee62269f09d28e3d4586e3a,3be550a705fed6037b724e0e1ac905e2,4.0,2019-06-12 23:51:44,"今天的吉良同学，我是从漫画开始就很喜欢了。最初的喜欢来自于“今天”这个限定词，很新鲜，有朝气，想必剧情一定是阳光愉悦的。虽然和所想有点偏差，但是一部很治愈的青春物语，每一天都是不一样的，努力活好今天。 1月5日，我决定和吉良君要永远在一起。今天开始恋爱吧，今天...

                         ( 展开 )",2.0,,0
1,1,26817018,今天的吉良同学,2dff169c18d9a6fe69e05ae415a799ab,aeb9826eeacf2c95beda44e390dbae18,,2020-02-08 12:36:07,"女主有种日版李圣经的感觉，电影剧情一般吧。没有太甜的感觉，以为两个人刚在一起没开始甜，后来就直接到婚礼这一步了，吉良做完手术回来可以甜吧但是故事结局了。可能女主一直有被欺负的经历感觉她跟吉良在一起很卑微。爱情是两个人的事，首先双方应该是平等的才可能谈其他的...

                         ( 展开 )",,,1
2,2,26817018,今天的吉良同学,3c47e492bbb42b0598d047165f6d3850,0829cbe77ee37b872e1e9d85efc0572d,4.0,2018-07-27 16:55:00,"一开始看电影还没有进入状态的时候 我总是会格外认真地集中于电影的每个细节 不仅是剧情还有服饰、电影画面、音乐、台词等等 这部电影一开始对于剧情的交代比较晦涩 我的注意力被电影画面所吸引 发现其实电影的拍摄角度就像是在进行日系摄影教学 kira趴在桌上看向nino的这个镜...

                         ( 展开 )",29.0,1.0,1
3,3,26817018,今天的吉良同学,608632816737db30015146b9e90acfa0,9925bdaad483c010e42a56975bad4cb3,2.0,2018-04-30 23:09:07,"今天看了今天的吉良同学，啊，内心有点些失望，难道是我上了年纪，之前在微博刷到花絮的时候真的非常甜了，少女心砰砰跳呀，但完整的看就觉得内容有点老套，同时，插叙加上倒叙的影片安排使得电影整体看上去有些杂乱，我看了50分钟吧大概，实在看不下去了，最终的结局也知道，...

                         ( 展开 )",3.0,,0
4,4,26817018,今天的吉良同学,7c9b11d046eff60901ae74e7c9386c38,896a663fcd4b3392a6936139f0ee9896,3.0,2018-04-15 12:15:31,"这篇影评可能有剧透 

                        太正统的校园纯爱漫改，还挺不错的！ 男二对男主的回忆杀居然是我唯一感动的点，因为有像男二女二这样好的朋友，男女主的人设才丰满了起来。 反正校园纯爱看到后面总是会被友情打动…纯爱的部分反而…内心毫无波澜…… 不管是剧情还是人物都比较完整了，除了直到看完都没弄懂男...

                         ( 展开 )",,,0
5,5,26817018,今天的吉良同学,ea0ae8e82f7842566e3e0774b083d6d4,8ee5a487834b1bb676d07e6928c5eb24,1.0,2018-04-08 03:06:31,"18.04.08★★ 鸟妹在天台上吞吞吐吐以为要说喜欢你，结果爆出一句”你会死吗” 我:.... PS:这么白皙高挑的妹子既然说没存在感?我看你们才是没眼睛吧! 故事演绎的比较难以下咽，顶多两颗星,最烦的就是情不知何其又莫名理所当然的情深，假的特别尴尬。 PS2:这么年轻的爸爸，一点...

                         ( 展开 )",,1.0,0
6,6,26817018,今天的吉良同学,fd2ea4ba79e02d56f66e5a20150ee1df,fb0535ab6b9b9da51398064880c41c21,3.0,2018-03-13 12:02:20,"这篇影评可能有剧透 

                        中川大志全程演技在线，他就是我们年少时常见的那种中二男生。虽然外貌出众而受到同学们的欢迎，但是也会因为怕死而像个小朋友一样哭，会为了显得自己很厉害的样子而去当小混混，问女朋友能不能亲亲的时候，还要先转过身去深呼吸一下，在同学们面前宣城自己谈恋爱了（其实你恋...

                         ( 展开 )",,,0
7,7,26817018,今天的吉良同学,a76168b3bb91e8eae350ec2749808b63,328dcec7ed9cbefbf25f6b0e8705bd0b,5.0,2018-02-12 00:17:38,"在哪里可以看到全部在哪里可以看到全部，在哪里可以看到全部在哪里可以看到全部，在哪里可以看到全部在哪里可以看到全部，在哪里可以看到全部在哪里可以看到全部，在哪里可以看到全部在哪里可以看到全部，在哪里可以看到全部在哪里可以看到全部，在哪里可以看到全部在哪里可以...

                         ( 展开 )",4.0,1.0,1
8,8,26817018,今天的吉良同学,9b7f132e01050952dfc15f1bfff3ee3f,33fa9e29e88143734eea2ef373c29c85,5.0,2018-01-31 14:58:16,"在萌点和暖点中遇见了隐藏最深的彼此，剪掉刘海就像是一个故事的开始，我愿意为了你而去努力变成更好的自己。感谢你让我遇见你，也感谢你愿意陪我走下去。 不知道是多大的勇气才打开了闭塞了很多年通往你心里的路，我才明白自己没有放弃生命的理由，相爱永远不是问题，问题在于...

                         ( 展开 )",,,0
9,9,26817018,今天的吉良同学,9b7f132e01050952dfc15f1bfff3ee3f,33fa9e29e88143734eea2ef373c29c85,5.0,2018-01-31 14:57:59,"在萌点和暖点中遇见了隐藏最深的彼此，剪掉刘海就像是一个故事的开始，我愿意为了你而去努力变成更好的自己。感谢你让我遇见你，也感谢你愿意陪我走下去。 不知道是多大的勇气才打开了闭塞了很多年通往你心里的路，我才明白自己没有放弃生命的理由，相爱永远不是问题，问题在于...

                         ( 展开 )",,,0
