,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26828019,有完没完,b1acd79650770cf08c0aa0f28572e8b3,4d1cc4af3ae5a34bf36fb2ce3a917048,3.0,2017-04-05 00:26:02,故事的框架与脉络应该是借鉴了《土拨鼠之日》，因为原版太经典以致于看完电影所有人都能猜出这似曾相似的桥段。虽说换汤不换药也不算完全抄袭，但最经典的部分借鉴了，对于受众观感来说，还是有些减分的。于是乎，这部电影只能靠范伟老师的演技来支撑了……  生于愚人节，本就是挺讽刺的，作为一个快递员的老范，本以为自己跟儿子代沟重重甚至儿子看不起自己。不料彩票中奖后的他，居然陷入了人生愚人节这一天的“死循环”，不论这一天发生了什么，起来后一直都是4月1号。 不知怎么和儿子相处的老范，通过千姿百态的生活，逐渐找到自我也找到了和儿子相处的平衡，最终走出这“一天轮回”的命运。   简要说来，就是范伟老师的百态人生体验记，既然是百变人生，每一天的他都是不一样的他，这就全靠演技撑了。不得不说，范伟老师演技功底很强大。  电影里面的笑点也时有发生，整体说来，不尴尬、不烂俗。薛之谦范湉湉Mike隋的客串也都挺本色，贾静雯女神打了个连贯酱油也不违和。比较惊喜的是，演老范儿子的那位盆友，虽然之前不认识，演技还ok，起码不尴尬，这也要感谢搭戏的演员，因为演技的发挥在一定程度上也要看对手。,27.0,5.0,5
1,1,26828019,有完没完,c64142a257acd631d559ad0a60f561c6,73dd4e3bc6680ad279729dff6078a3ee,3.0,2017-07-23 10:12:20,本电影讲了一位平凡人范矗生日是在愚人节4.1那天，同时，他的确也觉得自己的人生就像一个玩笑，要钱没钱，要才貌没才貌，要能力没能力，反正就是要什么没有什么，最关键的是还不思进取，整日想着摊小便宜，想着中彩票，发大财。 于是就在他过生日那天，这一切都实现了，他中了5千万的彩票，卡里有取不完的钱，工作也不用做了，整日只享受生活……这样的日子一直一直轮回，他永远活在4.1那天，出不来了，最终是他的儿子唤醒了他。 表白一下小哥哥刘俊豪😍😍,3.0,,0
2,2,26828019,有完没完,0396492a7aafb168acab3a58a333c4e1,0cfcac6d8d284fef1cbca80b2ba26522,2.0,2017-04-01 23:52:28,很喜欢《土拨鼠之日》中重复过同一天的设定，也很期待有个中国版本的故事，但是这片很让人失望。   首先说导演的节奏把控。一个影片的激励事件，如果不是特殊情况，要在交代完人物前史的时候迅  速展现，而在本片中，重复过同一天这个激励事件出现之前，大概有半小时的时间在讲述老范的生  日这天的事情，比如儿子要参赛，买彩票，遇见跳楼的和遇见撞老太太的。这些事情讲的很啰嗦，  加入的很多尴尬笑料都拖延片子的节奏。这就导致观众在这段时间不知道这个影片的主要讲的是什么事儿，观众想睡想尿也就不足为奇了。   然而，激励事件出来之后，导演并没有很明确地展现，直到老范看电视报日期，一些观众才真正明白老范陷入了重复过同一天的情况，叙事不明，效果自然出不来。   当然，影片中让人过点瘾的就是老范跟儿子的老师相亲，每天不断地根据老师前一天的话修改自己言行，产生的笑点很足，这一点对《土拨鼠之日》的借鉴还算成功。还有老范去打流氓这一段，也让观众很过瘾。   再谈谈影片的人物，人物设置的极其单薄，影片想讲老范最后的成长，但是对老范的缺点渲染不够，父子之间的隔阂设置的也不够，这就导致在影片结尾时，老范的成长不够触动观众。   最想吐槽的就是片子的摄影，构图不讲究，在麦克隋那场戏里还有几次虚焦了，而且在楼顶上的几场戏，不知是不是因为镜头加遮罩的原因，片子出现了纱窗状的网纹，简直不忍直视。一个导演能力可以有限，但是摄影这种事情是努力就可以做到及格的，这些事都做不好，真的很浮躁。   再谈谈演员，范伟的演绎还是可圈可点，对人物认识非常到位，在剧本不好的的限制下发挥的还不错，但是其他演员大多很夸张，比如范湉湉，演的简直浮夸，看的尴尬到爆炸，建议她以后要么去演无厘头，要么还是回《奇葩说》。   总之，混乱的故事看的人没什么感触，但我依旧喜欢重复过同一天的这个设定，其实很多人真实的人生很像这个设定，每天几点一线的生活，重复工作，吃饭，睡觉，啪啪这几件事。想想真是无聊啊。这个设定恰好提醒了我们，如果每一天都过得很重复，那索性他妈的多干点疯狂的事情，多去尝试创新。  生活既然很无聊，那就别让无聊去打败另一种无聊。,32.0,25.0,5
3,3,26828019,有完没完,446890424e508686e8d9363df36f50a4,02700e454d679f31f27c6f0768986dd1,3.0,2017-04-13 21:05:28,《有完没完》虽然剧情设计中有着一些严重的BUG，虽然全片除了范伟演技都不在线，但这部片子仍然给抱着看国产闹剧心态的我带来了一点惊喜。整部片子对老范生活态度的转变的描述是完整饱满的，对父子感情的刻画是真实的，这对于王啸坤这个非科班导演来说已属不易！ps：全片给我留下印象最深的竟然是就那么几句台词的林更新！,2.0,,0
4,4,26828019,有完没完,3e1605682ff7ac6f0ddb574a3517fe68,cfd698c1d81eb563ad7a197529133617,3.0,2017-06-11 23:31:44,生于愚人节的老范（范伟 饰）是一个典型的草根直男，离异多年的他干着一份平凡的快递员工作，身边带着一个二次元性格的儿子小范（刘俊昊饰），爷俩生活美满，无奈囊中羞涩。这一年老范的生日过得很悲催：丢了客户的包裹被老板（范湉湉 饰）索赔，遭到彩票店老板（孔连顺 饰）嘲笑，得罪了广场舞一哥（Mike隋 饰）被恶搞，迟送了奇葩客户（薛之谦 饰）的情书导致人家跳楼，在儿子班主任（贾静雯 饰）面前吹牛沦为笑柄，目睹小痞子（宋阳 饰）仗势欺人，想要打抱不平却临阵退缩落得个两面三刀的恶评……更让他没有料到的是，老天故意跟他开了个巨大的玩笑：他的人生意外陷入了“死循环”，困在同一天里出不来。   　　身处日复一日的时间困境，老范从情绪沮丧到突破自我，在迷之男子（林更新 饰）的指点之下，开启了“花式自救”模式，体验人生的千姿百态，一步步进化为让人刮目相看的“一日赢家”。,3.0,,0
5,5,26828019,有完没完,2d3a845c4a7928df82a23e25007b7fd6,733dadb38febf4a1eef2a5ada33e27e8,,2021-10-11 15:40:51,普通人的日子，给予孩子能给予的，也是英雄。老范是我们自己，内心🈶️美好也有不劳而获。最终孩子对父亲的爱救了他。  我们每个人心中的执念是什么，如何跨过去。还是老范心中的善良救了自己，普通大众，要躺平。 可能有责任感的人才能活下去。 是一个救赎自己的故事。 没有人能够陷在无限流中完全靠自己挣脱出来，那是心魔。 平凡的活着。对孩子尽可能予以情感陪伴。,,,0
6,6,26828019,有完没完,4dbba7992bee04237438a060f3eb25e4,5942849d12dad9fc801df8345af3c93e,2.0,2021-09-01 15:11:14,首先澄清几件事情。 一是范伟是一个好演员，即使身上有着小品演员的痕迹也不影响他是一名好的电影演员。 二是贾静雯是真的很漂亮。 三是以上两者不构成本片的好看。 在结构上还是有一些惊喜的，混沌无谓的离异中年男，与青春期的儿子有着天然的隔阂，对社会后天的漠视，从送快递的细节看，老范是有着自己做人的态度与坚持的。 当有了近似重生能力后的老范却俗套地落入了花天酒地的生活循环之中，继而追求漂亮的女老师，从逻辑上说，好像能通。因为压抑太久后，必然追求自己得不到的特质与情感生活。 可是，这与最初的离婚后省吃俭用供养儿子的人设发生了冲突，无限循环的老范为自己做了这么多，不为儿子做点啥么？以至于女老师都有疑问，有时间相亲没时间管儿子？ 这其中让我最疑惑的是，五千元真经花。 儿子的漫画内容一会是英雄，一会儿没向观众剧透也是挺吊人胃口。不过，对每一个父亲而言，却真的是警醒，画布上的主笔人可是自己呀。,,,0
7,7,26828019,有完没完,f6f9c69097dbd64e7b285b9cbc9087f6,9123b0442c399f8c2e7764e651b8861f,3.0,2021-08-04 23:18:52,"电影名称：《有完没完》
观影时间：2021年7月13日
这部电影在我看来还是非常的讨巧的，拍摄的是最近新兴的无限重复一天的题材，主角也因此获得感悟，重新来过的故事，找到了人生的最优解。
这部电影实际上也是在反复地去询问观众，什么才是人生的意义？是有着数不清的钱财，还是无数拥有的美女……在这部电影中给予了我们答案：不是每个人都是绝世无双的大英雄，但是只要每个人能够做到自己力所能及的事情，将它做好，那么每一个人都是英雄，从男主儿子里的漫画就可以看得出来，在他的眼里，这个独自撑起这个家的父亲，在这个家庭里面就是英雄。
不仅如此，主角还在不断地时光倒回之中发现，自己的工作要是本分的做好了，甚至可以救人！
薛之谦在电影中演的是一个郁郁寡欢，因为爱情而觉得自己人生没有意义的寻思青年，在之前几次的重复轮回之中，主角并没有管这个失爱请你那，甚至还在底下大声的嘲讽：又是一个作秀的，怎么不直接跳下来呢？
到后面洗心革面准备结束自己的人生时，才发现自己这个看似平凡的职业，实际上也是可以做出一些了不起的事情。（快递中有薛之谦扮演的小哥的情书，由此小哥知道自己爱情还在，也就不自杀了。）
总体来说一般，剧情一般，都比较普通，甚至在看的过程就猜到剧情的走向，虽说不烂，但也确实比较乏味。",,,0
8,8,26828019,有完没完,03a0c5d49960ad0b551335cd5750ebc5,03644e9a2c583cea3aa755f21deb01a0,2.0,2021-07-17 17:36:26,"快进看完了范伟的《有完没完》，感觉除了范伟的演技，其他确实一般，基本上就是模仿《土拨鼠之日》的无限循环设定，在一天的时间里面不断升级打怪刷经验，最后终于醒悟，一举成功破除时间牢笼。
看到这种讲述中年失败男人的电影，总是有种别样的感触，也能看到喜剧背后的悲剧内核：
1、如果假定每天都是新的一个平行宇宙，那么每失败一次，就诞生了一个新的平行宇宙，主人公跳出了平行宇宙重新开始，而其他平行宇宙中的主人公还是把生活过得一团糟；
2、如果你的人生是通过无数次失败的练习才能获得好的结果，这本身就是一件令人恐怖的事情，有的事情有些人天生就会，有些人却需要后天学习很久，可能还学不会，而生活不会给你那么多次机会的；
3、故事到最后，走向开始变得混乱迷惑，甚至往魔幻的方向发展了，这可能是导演开的玩笑（在愚人节上映，讲述愚人节那天的故事），告诉你这是虚假的，是对生活的嘲讽，对比现实，结局不过是美好的愿望，毕竟没有人能重复练习一百天。
但故事还是有正面内核的：很多人的生活是固定的两点一线，即便没有时间陷阱，还是每天都过得像同一天，所以人需要不断提升、不断学习，在有限的生命中活出自己的一点点精彩。
人也都会犯错误，但是能意识到错误是改正的第一步。既自以心为形役，奚惆怅而独悲？悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。",,,0
9,9,26828019,有完没完,3cfee3ec7c3c9ab1ead67041819a88d7,fc45ba1b2bf9260363e58d73436a1dc0,,2021-07-14 21:54:34,觉得还可以啊，虽然导向想表达的，表达的不行，水平有限吧估计……不过电影还是挺有意思的，值得票价……看了豆瓣的分数，真是有些不应该的低了…… 哎哟妈呀，本来想写一篇短评……结果说我字数太少……呃…… 好吧……这电影吧，你不能比着那些豆瓣er喜好的那些深层次来看…… 脑袋放家里，思想简单点，多注意感官体验…… 咦……是不是觉得这一部，还可以，值得一看？ 嘿嘿嘿……,1.0,,0
