,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26844764,困斗99号囚室,2a3d407fc88ed23c3bfa5da569c6e930,601ba717a4ead7d3eb78d90e80965193,4,2018-03-08 09:52:27,这是部难看的电影，这是部销魂的爽片！   它是刚刚拿下奥斯卡最佳影片，最佳导演，《水形物语》导演吉尔魔·德尔·托罗心中的年度十佳之一。   对怪兽和暴力有着执念的陀螺自然会爱上这样风格突出的电影。   它就是去年cult类型片的遗珠，太容易被人忽悠的猛片——   《困斗99号囚室》（ Brawl in Cell Block 99）    该片一副老派犯罪类型片的外貌，内核却凶猛到吃人。   缓慢的叙事节奏带着导演的傲慢，影片以极其不友好的方式开始了第一幕，漫长的人物铺垫，迟迟没有到来的激励事件，这种坚持贯穿全片，将导演的作者性推上了神坛，压倒了其他一切电影叙事法则。    他的影片，他做主！   影片的第一幕太过耐心，但耐心看下来，你可以分明的读出影片整体的叙事风格、电影元素，以及人物形象。   开片就是一个火车碾压罐头的隐喻性镜头。    很快，男主角，高大的壮汉，光头后面纹有硕大的十字架的退役拳手，遭受了生活的碾压。   被修车厂解雇，   回到家，发现妻子出轨，   工作和爱情双双背叛了他，他必须奋力一搏，触底反弹，夺回一切。   整个第一幕塞进了太多细节，透露出浓厚的作者性。   男主角在被解雇后，独自开车回家，这个场景持续了几分钟，    心不在焉的开车，   烦躁的拔出车载播放器里的卡带，   遇人挑衅，心中不快，但依旧隐忍。   影片节奏感，质感，风格在这几个场景中显露无疑。   接下来一个场景，更是凸显了影片的精髓，那就是突然而来的极致暴力。   如野兽般凶猛的男主角有着柔弱的内心，面对妻子出轨，堕落酗酒，他没有发泄于爱人身上，而是空手砸烂，拆毁了自己的汽车。    缓慢的节奏放大了暴力的细节，让暴力如雷鸣闪电，迅猛且致命。   傲慢的第一幕完成了从类型元素，人物到故事的风格铺垫，接下来，导演毫不犹豫的开始发力，并且将风格执行到底。   男主角被迫找到故人，为其贩毒自私过活。   妻子怀孕，生活上升，眼看家庭美满，危机轰然而来。    愚蠢的帮手，让他被捕入狱，被判7年不说，合作的对手老大眼看百万毒资打水漂，自然无法忍气吞声。   绑架了男主角的妻子，要他为其卖命，去到最危险的监狱杀一个人。    否则，对方将会用特殊的手法，让他收到已经成型的孩子的身体的一部分。    随即，男主角进入了闯关，打怪，升级的剧情冲突里。   从一般戒备的监狱转入臭名昭著的红叶高戒备监狱，他打断了狱警的手臂，触目惊心的断骨极为扎眼，流畅的镜头加速了故事，人物逐渐进入无法回头的命运窄门。    来到地狱般的红叶监狱后，他终于可以靠近99号囚室，完成刺杀任务。    可在这之前，考验还在升级，凡人正在蜕变为英雄，英雄正在被恶魔附体。    肮脏的囚室，残酷的电击，羞辱的围殴，身处危险的妻子，在肉体和精神上磨砺着男主角。    渐渐，他成为了堕落的天使，头上的十字架，是他负罪的伤痕，也是他赎罪的勋章。   在这个绝望的死亡之地，暴力是他唯一的武器。   傲慢如果成为了坚持，最后依然能感染人心。   男主角用脚踩烂对手的头颅，然后狠狠的拖拽至脸皮脱落，    用肘部狠击对手的颈椎，直到颈椎尽碎，   或者，用脚剁到对手下巴脱节，齿骨横飞。    以暴制暴，是全片凛冽风格的最佳注脚。   《困斗99号囚室》是近年来罕见的老派cult影片，温厚的情感与锋利的镜头调和出令人难以抗拒的厚重口味，    一边是毫不避讳血腥和暴力画面，一边是对情感毫不吝惜地尽情释放。   最后一组镜头催人泪下，也解气异常。   男主角与重回安全境遇的妻子在电话中最后的告别，妻子通过手机让他最后一次与成型的胎儿告别。    随即，他掰弯手机，走进牢房，把大佬的头颅狠狠剁烂，踩断在粪便外泄的马桶里。    最后，他迎着子弹，被爆头，被解放。    子弹打穿了他的头，头颅上的十字架纹身碎了一地。   导演在风格上的一意孤行获得了观众的掌声，也赢得了风格的回吻，在蓬勃的生命力，炸裂的荷尔蒙前，什么电影法则，让他们见鬼去吧！    当魔鬼般的男主角，最后因为不舍妻儿，落寞地在监狱里落泪时，那种善恶难辨，复杂难解的人性就足以打动每一位观众。    为了家人身陷囹圄，视死如归，   与命运斯磨，你死我活，    这即魔幻，又真实。,37.0,4.0,6
1,1,26844764,困斗99号囚室,5157e2bd78850288bb69dfa7c34212ce,14af1b8372e6d9201b667fd5922b9101,5,2018-03-04 03:58:58,很推荐看一看  男主同女主就婚内出轨的问题处理，有怒气的男人对着车子发泄，而不是直接迁怒女主，发泄之后能坐下来心平气和的沟通，沟通之中互相坦诚，我认为婚姻理应如此，而不是猜忌与让他去吧  沟通之中男主说了一段鲜奶油·脱脂奶·牛奶的故事，我听起来很像等公交车，你永远在等公交车的时候抱怨公交车怎么还不来，当你到了站牌公交车来了，你不会抱怨，你也不会记得，选哪种奶只有在你选错了的时候抱怨  成年人的事情要用成年人的思维思考，拍电影的几乎全是成年人，但好多都在用哄骗小孩子的方式，所以推荐这部  我认为男主是真正的大男子主义，而不是那种假装大男子主义而实际小肚鸡肠的人，让大男子主义蒙灰,25.0,3.0,2
2,2,26844764,困斗99号囚室,2d6a20420b1bf50f84ca352932c9cab8,9e672cf92d12596d522149c40f8ddcac,4,2017-11-16 05:02:05,这是一部暴力电影爱好者must see 。   我推荐这部电影给所有类型电影爱好者，影片不拖泥带水，对白精炼，空手对峙打斗血腥、暴力。剧情合理，男主角演技优秀。后三十分钟高潮迭起，结局明快。开剧铺垫足，感情戏到位，血浆适度，真实性也因此大大加分。监狱系统也让人眼前一亮。   从男主入狱后，就不尽去想作为一个父亲能为了自己的孩子牺牲多少，最终在影片结尾我们得到了答案。   imdb7.5星，看了部分影评。好评居多。我给7分。老爷们自行决定观看与否。,7.0,4.0,0
3,3,26844764,困斗99号囚室,a4190a271ed3edafeef47482e5dea242,0be38eaf1d9588eb1ca3f9879bcebdbe,3,2020-04-15 16:19:21,2020-4-14 男主布拉德利被开除 老婆出轨 男主徒手把车盖反光镜车灯等拆散 男主原谅了老婆 男主去找吉尔 吉尔是毒枭 男主老婆怀孕了 男主换了新车住到了别墅 吉尔跟一墨西哥毒枭交易 墨西哥毒枭让两个手下跟随男主一起去 男主不愿意 吉尔说成功后给他三个月假期  男主带两个墨西哥人来到吉尔的游艇 游艇开到海面 墨西哥人穿潜水衣从水下剪断铁链 箱子浮出 拿走毒品 上岸后墨西哥人与警方枪战 男主开枪打死一墨西哥人 另一个受伤 男主被抓  男主被判刑七年 监狱是单间 墨西哥毒枭派人探监给男主看手机 墨西哥人绑架了男主老婆并威胁让韩国医生把胎儿的四肢剪断 墨西哥人让男主去另外一个监狱杀一个人 男主在监狱为争健身器材把几个犯人打了 男主打了一黑人狱警 男主被换了监狱  男主的牢房马桶很脏 没人知道男主要杀的犯人是谁 男主又打了几名狱警被关到墙后的秘密监狱 男主腰部被戴上通电的腰带 有人要见男主 来人是墨西哥毒枭还有未被打死的毒枭手下  男主把鞋垫放在腰带防止被电刑 男主用监狱铁门掩死一狱警 把另一狱警关进牢房 男主把打手的脑袋踹烂 掰断毒枭的腿 让毒枭打电话把老婆送到吉尔家中 吉尔用狙击枪打死毒枭手下 男主老婆开枪打死韩国医生 男主把毒枭头部放在坑里用脚踹 头部掉落 监狱长开枪把男主爆头,1.0,,1
4,4,26844764,困斗99号囚室,4e4b5a370081924125aedfeb14b9bb60,1d7c2923c1684726dc23d2901c4d8157,5,2018-08-01 10:04:59,真男人就应该这样为了老婆孩子死磕到底！真男人就应该这样为了老婆孩子死磕到底！真男人就应该这样为了老婆孩子死磕到底！真男人就应该这样为了老婆孩子死磕到底！真男人就应该这样为了老婆孩子死磕到底！真男人就应该这样为了老婆孩子死磕到底！ 真男人就应该这样为了老婆孩子死磕到底！ 真男人就应该这样为了老婆孩子死磕到底！ 真男人就应该这样为了老婆孩子死磕到底！,2.0,1.0,0
5,5,26844764,困斗99号囚室,0594ffe171eec5f775d1ea11a0bb62a8,ff888f3f01af90578635c9f7e5343a6b,5,2019-04-19 11:04:22,再次回看《激战99号监狱》这部影片，触动很大，这里把一个男人的责任，力量，忍耐，柔软，残忍，狠毒，智慧，不急不躁，忍受屈辱的一面体现的淋漓尽致。 男主失业却发现妻子出轨，他冷静的找妻子聊天并找出原因，因为第一个小孩流产导致妻子精神不佳，他也没有给足她关心与呵护，彼此都沉浸在伤痛中导致这件事发生，男主没有过度的抱怨发泄，而是检讨自身不足，为了给妻子更好的生活他重操旧业去运毒，在他们与警方枪机的过程中，他射杀了同伙并被警察抓住送进监狱。这个时候老婆刚好怀孕等待着小女儿的出生。 他高大威猛，羁傲不逊，不愿被降服，他沉着冷静，下手狠毒，在监狱的时候他不畏惧检查人员的羞辱，不忘给旁边的说说句早安，也没被牢头的恐吓镇住，，他老板的经纪人探监的时候告诉他需要去99号监狱，不然他的女儿会被从肚子里剪断四肢，他只能惹是生非，他下手打伤了关押他的人，他一步步的被引导去了99号监狱，那里的伙食与环境根本不是人生存的，但他还是寻找到了目标，原来是男主的行为让老板损失惨重，去99号监狱只是为了打死男主，他忍受着屈辱，疼痛，臭恶黑暗的环境，里面人员的勾结，只为让妻子女儿安全，他没被吓住，也没放弃过拯救妻女的安全，他的生命被自己放弃了，但也没放过伤害他的老板，最后男主虽然被抢射杀，但他不后悔，因为他尽到了做为一个男人，一个老公，一个爸爸的责任。 一个男人的底线是不能伤害他想守护一生的人，那是比他生命还贵重的东西，每个男人体内都住着一头野兽，不轻易显露，不轻易释放，所以他们需要尊重，也需要被关怀疼爱并不断的引导。 这部影片值得很延伸，想要守护最疼爱的人，必须努力让自己强大，想要保持强大的内心，就必须经历惨痛，想要不在乎别人的任何挑衅，你就必须有深埋内心的底漆，不要轻易发泄自己的情绪，也要学会谅解并疼爱身边的人，学着让自己更有智慧，更冷静，理性的处理每件事。 自尊，自重，自爱的时候，不管外界多么糟糕，你的内心依旧美好如初。,3.0,2.0,1
6,6,26844764,困斗99号囚室,205ee715de28a6468d244c0528b64016,104e4170acb344ffb586aeb3283e2969,4,2019-01-05 00:19:04,"刚看完这个电影，开始一个落魄的男主丢了工作老婆又出轨，让我觉得是一部生活片。评分不高和开场慢慢的节奏本来我是没信心看完的，但男主进去监狱后走暴力路线了，其实前面砸车有铺垫，男主除了个头大，身手也不错。
电影在男主开挂的地方比较夸张，但总体我觉得还是比较写实。像记录片，男主一点一点把自己送进99号监狱，才发现是一个圈套。而且每个细节和对话上也能看出，男主是一个搏击能力强的普通人，监狱的生活不好过，他也吃尽了苦。结局我觉得还算完美，至少我是这么认为！
中间几个没明白的地方，为什么男主贩毒杀人才判了7年？他本来以为是4年的，还比较气氛。是应为他救了警察？
还有他为什么要去杀那俩毒贩，跑了不没他事了，是害怕连累他的老大，还是真的想逞英雄主意？没明白。
再有就是99号那个猥琐狱友问男主要电池干嘛？自我安慰用吗？",,,1
7,7,26844764,困斗99号囚室,8849562483c2f2750f7148fe32f9b256,492fc0a8f9caab3d1dcb605cdbdb3547,4,2018-01-27 21:29:04,有一種老派的從容，和滾蛋的魅。 導演就像一個自閉症患者，一點都沒想過取悅觀眾，前面的鋪陳，波瀾不驚。近了fridge以後，也是一副漫不經心的樣子。Bradley倒是一個非常清楚知道自己需要什麼的人，所以果斷行動，襲警成功。到了Redleaf，打聽了一圈，發現還是沒有要找的人，於是知道那個所謂的任務，祇不過是一個圈套。於是從那時起，就沒想著要活著出來。手下絕不留情，黑啊！黑的背後，是一種怎樣的決絕。,3.0,,0
8,8,26844764,困斗99号囚室,782ebc5c674a36c33748587468af3cac,18bed39826e46019732f64c00244adcd,3,2017-11-02 15:49:41,这导演还挺特别的，克制的同时很激烈。情绪克制的导演蛮少见，最近总感觉看到很多。 这片子风格很专一，“极简暴力”，估计因为编剧导演都是他自己，所以没有沟通壁垒。不过他写故事的水平太次了。他有想表达的东西，已经胸有沟壑，所以很难接受完全陌生的剧本，那是“为他人作嫁衣裳”，不过他自己又写不出合格的故事。这时候心灵相通的合作编剧就很重要了。不过作为写故事的人，其实我也挺讨厌帮别人写他的想法，我也会觉得“为他人作嫁衣裳”。所以这种导演要遇到一个刚好符合他想法的好本子/合作人还挺难的，磨合期可能会挺长。 关于电影本身： 1.整体故事节奏失误，这是从剧本上就有的根源问题。假如他的水平高，这个剧本也不是不能拍，不过他这种风格的很难处理好商业节奏，所以会比较依赖剧本原生节奏。 2.风格很明确：克制，激烈。可以把暴力题材拍成这样，这很赞。这导演假如遇到好本子可能会拍出很惊艳的东西。 3.还是故事问题，太压抑了，高潮不够炸裂。没有尽头地折磨观众是不明智的。,1.0,2.0,1
9,9,26844764,困斗99号囚室,1a8ebe4d40c14de1b0b9281bab43e62e,5e724ee8fb47ae2aeb061df520111832,4,2017-10-27 07:48:19,若有人要跟从我，就当舍己，天天背起他的十字架来跟从我。 ——《圣经》路加福音9：23 十字架，一个宗教符号，代表救赎与爱。 今天，个人想以这三点（十字架、救赎、爱）为题与各位分享一部新晋暴力美学影片《99号牢房内的博弈》，让我们一起探讨下“十字架之路“。  美国电影《Brawl in Cell Block 99》 作品类型：犯罪、动作 主要演员：Vince Vaughn（饰演Bradley）、Jennifer Carpenter（饰演太太Lauren） 故事概述：讲述贩毒被抓的前拳手Bradley，为了拯救独自生活的妻子与未出生女儿的性命，与毒贩老板达成协议，以除掉”红叶“监狱的某人作为交换条件来换取妻女的平安。 上映时间：2017年10月6日在美国上映    不多闲话，简单、粗暴，直接进入影评，让我们一起来看一看主角Bradley走过的十字架道路！ I，反主流新乐章 暴力美学 影片从开场到最后，暴力的画面比比皆是、血腥的镜头鳞次节比！ 徒手砸车窗、敲车灯、拆发动机盖 ↓↓ 暴击、折断狱警手臂、K.O.持枪警员 ↓↓ 海扁囚犯、踩断Eleazar的人头 一个个场景、一幕幕画面，看得观众心惊肉跳却又欲罢不能，爽爆了！      II，饱受争议的剧情架构 故事简洁、带感！ 叙事过长，昏昏欲睡！ 以上两个观点，是个人在观影后对于本作的第一感受，很直观，很刻薄！ 故事简单 简单易懂的主线。 Bradley为了让娇妻过上幸福生活，铤而走险，重新走上贩毒之路，结果遇上了”猪队友“，锒铛入狱。 在狱中，他又被大boss告知去做掉被关在把守最严的”红叶”监狱的某人（实际上这人根本不存在，这都是Eleazar的阴谋，目的就是除掉Bradley），以此交换他妻子与其腹中女儿的生命。没有选择，为了Lauren与未出世的女儿，Bradley只能踏上炼狱之旅。          叙事冗长 2个多小时的影片，就给观众看这点内容？！ 两所阴暗的监狱+一个光头壮汉+一群杂碎 是的！表面上就是这样！120多分钟，导演只是献上了一场”猛男个人秀“给到各位。但是！当我们透过男主的背影，影片内在的深意开始显现。  在作品看似缓慢、拖沓的节奏中，导演淋漓尽致的向我们展现了一位内心挣扎的囚犯。压抑、绝望、无奈、妥协、释怀，Bradley的心绪随着故事的展开，慢慢发生改变。 在我看来，导演是有意拉长了叙事时间，意图在于让观众更直观的了解男主内心的发酵与转变。很有想法。 III，十字架之路 全片最吸引人之处，除了”暴力美学“以外，还有男主光头上的十字架纹身。在笔者看来，这个”指代性“很强的纹身图案远比故事中的暴力元素更有谈资。  首先，十字架是信仰的标志！ 片中的男主有没有宗教信仰？我们不得而知。但他对于妻子的爱，观众有目共睹！对于Bradley而言，这就是他的信仰——深沉的爱。  其次，十字架是救赎的象征！ 片尾，Bradley被狱长一枪毙命，在被结果之前，他做了两件事。一，干掉了Eleazar（就是大Boss）；二，与获救的Lauren通了电话。这两个场景与最后Bradley自愿领死，有何关联？又喻表了什么？谈一下个人拙见。 1，罪与罚 为了救Lauren，Bradley在狱中袭警、杀人，罪不容赦。最后时分，当得知妻子已经获救，他甘愿引颈受戮，接受惩罚。 Bradley用自己的行为佐证了”罪的工价乃是死“的真正含义。  2，心灵的释放 在Bradley与Lauren通话时，男主忍不住哭了。相信此时此刻的他，心里是五味陈杂，懊悔、伤心、高兴、绝望、坦然、释怀，各种情绪夹杂！ 但如果我们将这个场景与通话结束后男主的镇静联系起来看，又能解读出何种意思？ 乃是“Bradley心中不再有罪的缠累，只有对于‘新生’的渴望，他的心灵最终得到了释放。”  3，爱的救赎 什么是”爱“？ 爱是恒久忍耐，又有恩慈；爱是不嫉妒；爱是不自夸，不张狂，不做害羞的事，不求自己的益处，不轻易发怒，不计算人的恶，不喜欢不义，只喜欢真理；凡事包容，凡事相信，凡事盼望，凡事忍耐。爱是永不止息。 虽然影片中Bradley所展现的爱，远不及Paul在《哥林多前书》中所描绘得那样长阔高深，但也足够令人动容。他所做的一切，都是为了Lauren，为其生、为其死、为其负罪、为其欢笑、为其悲伤、为其释然，对于Bradley来说，Lauren的爱，就是他前进的动力，就是他活着的希望，就是他唯一的救赎。  洋洋洒洒谈了不少，时间已然不早，在下就此搁笔，诸位明天见了。 导演★★★★☆（《战斧骨》后又一力作，传承暴力美学衣钵） 演员★★★★☆（Vince Vaughn放弃喜剧，转投惊悚、犯罪片，强势转型成功） 剧情★★★★☆（够直接、够压抑、够暴力，但也不失小小的温情与深邃的内涵） 视效★★★★★（暗黑风，有些迷人） 音效★★★☆☆（BGM妥妥的4星，不过听了ED后，略感失望，减1星） 推荐度★★★★☆（很爽快的动作片，可惜不是每个人都能接受。未成年人必须在家长陪同下观看） 更多影评+剧照首发于微信公众号“floyd与helen的旅途集锦”，谢谢,5.0,3.0,0
