,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26850326,欢乐喜剧人,ab53d3a858a1cb9de09ac6579be99534,acdec02b90a75689cfcc96e28157b345,1.0,2017-03-24 17:36:49,中西方文化的差异，决定了各自对幽默的理解也是完全不同的。但是上世纪90年代，幽默大师罗温·艾金森先生表演的《憨豆先生》用搞笑精准的肢体语言让观众忍俊不禁，比起需要人文背景做支持的西方语言幽默，更能毫无阻碍的被中国观众所接受和喜爱。某些中国影视公司似乎没有考虑到这点，热钱和膨胀的思维以及自认为很有创意的生搬硬套，彻底地将“憨豆先生”拖进了这潭浑水。我想罗温·艾金森先生不了解他们的套路，也不了解目前中国电影市场的背景。我不看好这部电影，毁了掉了幽默，毁了憨豆先生。,348.0,16.0,20
1,1,26850326,欢乐喜剧人,ca6bdb5779ccd1d3a4c43e1c700afe60,62a4a2011ebd58510b113eb2410339e8,1.0,2017-03-25 17:32:50,看过的人我敬你是条汉子，没看过的请绕而远之。     昨天这片其实就上映了，但是豆瓣评分一直捂着迟迟不肯放分，一直显示评论人数不足。几十个人看过的东西都显示评分的，你觉得昨天一天没有几十个人看过？结果今天评分一出，果不其然2.5分，试想一下哪部片子的评分能低到这个地步？反正我看过所有的电影中这是最低的一部了，这不仅仅是我的年度十烂之一，这也是我观影以来的最烂啊！   本应在大年初一就上映的片子为何推到现在才上映，这片子本来就是为过年气氛而做的合家欢氛围。网传是三观不正被总局整改。如果还有细心看的朋友会发现，有多处明显的配音片段，和原先的口型根本对不上。why？因为原来的台词不合格，又没办法大规模补拍，而且也不值当，于是乎就有了这种同期收音之间又穿插配音的奇怪现象。   其实这评价我原本都不打算写了，因为就没有一处好的地方，我想说也不可能全说尽，也说不完。但是仔细又想了想，如此堂而皇之的圈钱行为，简直人神共愤好么？   同名综艺节目每况愈下，已经没什么喜剧人的情况下强行撑到第三季，又弄出来个大电影，是何居心啊？我承认，我曾经是《欢乐喜剧人》的粉丝，一期不落的看。但是我喜欢归喜欢，我不能一直在追一个已经没有任何笑点的喜剧综艺啊，第三季我勉强忍受了四期实在是不能昧着自己的良心看下去。综艺早就弃了，电影也没能拯救他在我心中的地位。   这部电影简直就是个灾难，要什么没什么，一群说相声演小品的人以自己熟悉的方式在电影中演绎太特么别扭了。也没个剧情，就连最基本的玩误会都没玩明白，还玩的这么垃圾，服了。就算你拍不出像样的电影，你拍个搞笑的综艺让我们乐一乐也行啊，喜剧届这几个喜剧人都浪费了啊！我不是对这个片子降低要求，我是觉得没电影可看好歹有个乐子吧，也没有。   还有一点我想不通，憨豆先生为毛会出现在如此极烂无比的破玩意里，为什么，谁能给我一个解释？,117.0,11.0,31
2,2,26850326,欢乐喜剧人,09e023fb7e8699073c5e3479338fc340,e158bc0f4e1e09c234d00eb80ab8f6be,1.0,2017-04-07 03:13:43,电影本身没啥说的，只要不是猪脑子或者闲的蛋疼，都不会去花钱看～倒是开始怀疑郭德纲的人品了，综艺里如此厚颜无耻搞黑幕，电影如此臭不要脸的圈钱，或许他的人品跟曹金或许真的是半斤八两吧～ 电影本身真没啥可说的！真没啥可说的！真没啥可说的！真没啥可说的！真没啥可说的！真没啥可说的！真没啥可说的！用郭德纲自己的话说：太三俗了！,19.0,,5
3,3,26850326,欢乐喜剧人,20c64eca84adf378d1d6b7a14407b46d,3ebb5ca44266c1a0d9ccbb074a8e8f5d,2.0,2017-03-25 11:14:28,这是一部靠植入网络段子和过时的流行语硬挠观众胳肢窝的喜剧电影，剧本垃圾，演技浮夸，毫无诚意之作，给观众带来的感受就是尴尬！尴尬！非常尴尬！   不过他起码给我们说明了一件事情：相声说得好，演技也可以很差。说相声和演电影完全不一样。  郭德纲和小岳岳这一步虽然赚到了钱，但是是在消磨自己的口碑，不过反正他们俩根基在相声，电影只是捞一笔就走，也无所谓了。  不过眼看观众如此不买账，他们是否会大为意外呢？   近几年得益于国内电影市场的蓬勃发展，大热电影动辄上亿的票房令人眼红，什么行业的人都想进来插一脚捞一笔，不仅演员、歌手、写手等纷纷跨界来当导演和制片，就连综艺、话剧、小说、电视剧都纷纷被拍成电影。   小说和电视剧翻拍的电影成绩有好有坏，口碑也有好有坏，全看各自的剧本导演和演员发挥，而综艺和话剧改编成的电影成绩都挺亮眼，口碑却两极分化，这究竟是为什么？  这却是两个行业把各自的产品拍成电影的出发点就不同。   综艺的卖点大部分是明星，以及台本中提前设计好的爆点和冲突，基本上没什么好故事好剧情，翻拍成电影自然也得靠明星效应骗观众进电影院，在上映第一周靠营销和宣传狂捞快钱，到第二周观众不买账了，票房立马跌到姥姥家，这是典型的干一票就走的风格，吃相难看，比如前年的奔跑吧兄弟，去年的极限挑战，豆瓣分数均为三四分，口碑很烂。  让我们看一组数据：  2014年，爸爸去哪儿，票房6.9亿，豆瓣分数6.1  2015年，奔跑吧！兄弟，票房4.3亿，豆瓣分数3.4  2016年，极限挑战之皇家宝藏，票房1.2亿，豆瓣分数4.3  那么，  2017年，欢乐喜剧人，票房_？豆瓣分数3分（3月25号数据）   而话剧与电影的表现形式有较多的相似性，且话剧的剧情冲突一般会更加强烈，演员的表演非常具有张力和感染力。  由话剧改编而成的电影有他最大的劣势——演员全部不出名，没有一张脸是观众眼熟的，但小事认为正因为如此，剧组才能在有限的资金下把钱花在每一个需要的地方，踏踏实实把电影的细节各方面都做好，因为他们没有明星和大导可以依靠，只能背水一战，凭电影质量卖片。  在这个明星为王的时代，这是一场硬仗。  幸好他们成功了。  2015年《夏洛特烦恼》票房14.4亿，豆瓣分数7.4，  2016年《驴得水》，票房1.7亿，豆瓣分数8.3分，为2016年分数最高的内地片。   与综艺大电影的口碑对比非常的赤裸裸。   我诚挚的希望这部片子扑街，来刹刹这股什么人都想往影院捞快钱的风气，不是说不让跨界来拍，但是你的诚意呢？  要知道，观众并不瞎，也越来越难糊弄！  ……  喜欢我的文章就关注我啊！影评、盘点、票房分析、资源，你想要的都在这里啦！个人订阅号“dianyingnjxs”，个人微博“电影那件小事”快来玩吧！小事所发文章皆为原创，如需转载请联系我。,43.0,2.0,20
4,4,26850326,欢乐喜剧人,7d6bfece69da7b3d8eaf3c738af16664,5030173e64543e7d31aaf55eb198dc1a,1.0,2017-03-24 17:37:07,"文/梦里诗书   电影版《欢乐喜剧人》唯一的良心，就是其并没有原模原样的把一档综艺节目搬上银幕，这好在还是一部有剧情能被称之为喜剧电影的作品，当然若论这种胡编乱造为了搞笑而穷尽各种手段的拼凑能有多好看？只能说如同一个已经坏了的鸡肋，难以下咽，弃之无惜。   一部电影阵容的强大，其实现如今让人所想到的已然并非是一个好字，在《欢乐喜剧人》的电影版中，这场集合了郭德纲、岳云鹏、艾伦、潘斌龙、孙越 、泰维一众《欢乐喜剧人》中的笑星，还有“憨豆先生”罗温·艾金森与拳王伊万德·霍利菲尔德的加盟，论阵容不可谓不大，但其实这个阵容就已经注定了这部电影必然只能是一场为了突显每个明星人物的大杂烩，每个人所要做的都只是去展现自己的不同风格，而绝对不可能去服务于剧情本身，这样喧兵夺主的作品从其本质上来说何尝不就是一个笑话呢？！   谈到剧情，《欢乐喜剧人》说白了就是一帮本色出演的喜剧人到澳门排练，结果师傅郭德纲丢了的寻师故事，以此为引的展开，其近乎没有一个桥段不让人出戏连连，没有一刻不在告诉你这就是一场需要粉丝买单的闹剧，种种生硬刻意的包袱填鸭式的被强塞到了其剧情之中，如此的作品虽然不得不承认会让观众发出笑声，但这种笑声是因为那如同儿戏的情感和梦想发出的吗？显绝对不是！这种笑意只是源于了一群并不傻的捞金人，他们的装疯卖傻。   《欢乐喜剧人》或许是一档有价值，将相声小品更为发扬光大的栏目，但这部汇聚了一众喜剧人的电影却绝对不是，它只是让我想到了昔日赵丽蓉老师在《打工奇遇》中一段简单直白却尤为经典的台词：“啥群英荟萃,我看就是萝卜开会。”   （更多精彩内容或交流欢迎关我的注微信公众号）",16.0,1.0,0
5,5,26850326,欢乐喜剧人,4bf8874fdddcfcd8be8087c032f83461,899b0756923b5baa8ebb0ad660c238f6,1.0,2017-03-25 11:39:01,"开场截取，作图啦 ❤看影评前来首《五环之歌》音乐压压惊！Music~~~ 《五环之歌》  --------------------------------------------------------------------------------------------------------------------------------------------------  
文末自发彩蛋
不要紧，先幻想一下节目

 1 若果舞台上的跳梁小丑走着熟悉的八字步，突然跌倒在爬起，最滑稽的步伐，彩色的大鼻子，这样的快乐你学会了吗？用笨拙又惊险的杂耍，继续对你装傻，所有的悲伤统统忘了吧！拿出你的钞票，笑平常买不到。是的哦！笑平常买不到，阿郎填的多么精辟易懂。 观众的笑不是演员的无知和傻白甜换来的，他们的笑是演员用真心演绎以及导演和编剧CP组合团队的良心打造做简单交换。千金难买一笑，你肯定听过“一骑红尘妃子笑，无人知是荔枝来”的名句，或许年代往前久远点，战国时期的“烽火戏诸侯”历史闹剧中周幽王为博褒姒一笑，等等，笑是笑了，但结局丫丫都是悲剧的。 “握草君，你觉得呢？笑，有时并代表它就是喜剧，understand？”

“B站君，我觉得你说的好像有道理，因为在电影院里整场观众不超过10人，而且唏嘘吐槽声不断。让我来为你罗列罗列……”  表情帝来袭 2 大潘啊，你师父么教你借了要还吗？  人生三步曲 “握草！这是喜剧吗？毁了《欢乐喜剧人》的牌子吧！！！” “靠！早知如此，还不如去看《金刚狼3》（温馨提醒：广告费是不是可以给了），今天这部片子真他丫的烂片。” “全程狗血台词，编剧丫的脑残吧！导演你还演了个席XiSir的场面，SB……” “早都跟你说了，买票时座位显示就没有几人，明摆着不好看嘛！” “强忍内心压抑，这真的是广告植入无缝不插，憨豆先生真受苦了，他的名声不受影响，只是这部片子也救不活了。回去后，看看影评喽！” …… Tyson在此，不比厨艺，比武艺，不服来战！  小.....小岳，不......不好意思，我被绑了！  你帮谁呢？自身难保了都！  萨瓦迪卡  抱歉！没有觉得！  你做啥梦呀？  小斐，你瞧你那走样！  你说英语，豆先生就能听懂，小岳岳是不是傻？编剧脑残  你们是谁  连我是谁都不知道，看清我面孔  哦！席Sir 完整表情包请点此处↑→
 握草君：丫的，还没有小编设计的过瘾搞笑！
 3 这都不算什么，重点是好奇心有就是了，就别去浪费钱了。 可能有观众会说“不就是30~40元钱吗？老子出得起，我就是奔着小岳岳和憨豆先生去的，其他的神马演员等等都不想看。” 那可能会足足让你伤心唾骂，彻夜难眠，它并没有《五环之歌》的魔力，也没有《憨豆先生》幽默风趣。 东拼西凑的台词，强硬搪塞的剧情，没有笑点的镜头创造笑点，当你拿着4K摄像机慢速拍摄时，你会惊讶地发现，无穷大的表情包散发，演员的表情和动作并不达意，“握草君，快，快来救……救……我！”壮烈地倒下了一个。 不透露过多的剧情，只留下无尽的幻想，这是影评人对观众的负责。 4 看吧！ 吐槽助推票房升级，捐它一个亿不是问题。 看罢！ 四言打油诗一首《欢乐无趣》： 年度烂片，此片必属。
狗血台词，没有深度。
广告飘飞，无孔不入。
既是喜演，却忘喜本。
若要长文，江水不绝。
三生三世，文句不止。 安利一下读者，其实你真地不用去看了。其实呢！你看的话就不要当喜剧去看了，你听着小岳岳的相声调频，就当看得是无声电影和相声剪辑的现场杂合体。绝对有另外一般风韵，表情包漫天飞哦！  喜欢读书的朋友，安利一下，某出版社特约微商城加盟商户，扫码享优惠多多 福利放送   请叫我雷锋！
 ※下方点击链接听现场的开场Record Audio※
《欢乐喜剧人》电影开场音频来自飞一般的八哥时长 22:51  本文首发于微信公众号 ©飞一般的八哥（ID：SUSTBPQE_11），版权所有，侵权必究。",7.0,3.0,7
6,6,26850326,欢乐喜剧人,a012edac96afa5ddb51f458053446cf1,22866264e20439730b22f20871cd40ee,2.0,2017-03-24 20:24:53,这东拼西凑的剧情，刻意的演技，真的好尴尬啊！！！导演你在逗大家玩吗？看不下去了，郭老师好好说你的相声去吧！伦啊！你个大傻子，怎么啥你也凑合！还有那谁，你们这是演的啥啊！ 好好的一档综艺节目干嘛非要往电影上凑啊！你以为拍个80分钟的视频都可以当做电影了，对得起忠实的粉丝吗？ 圈钱⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕⭕,3.0,1.0,0
7,7,26850326,欢乐喜剧人,a059a29bd86864e6933ac7d66ce39ff5,47d63799be8b86d2bf465c58ad6bde1e,,2021-10-10 14:09:37,"广告植入很硬
在得知要杀的是猪之前的音乐悬疑恐怖
打斗过程中的镜头放慢，充满了戏剧性
三轮车掉头的过程中也放慢了镜头，增加了喜感
人掉入车内，特写了面部表情
拉镜头拍摄小斐艾伦岳岳的表情，起到一个递进的作用
全景镜头拍摄海哥的阵仗，加上节奏感很强的音乐，让人热血沸腾
最后的追逐镜头表明德云社的团结一心",,,0
8,8,26850326,欢乐喜剧人,644af7a48e63bc5e328d3b1994812c66,cc4f89052682880e9f3d1d8511f707ab,1.0,2021-09-07 01:09:03,『欢乐喜剧人』 综艺大电影再次刷新观影底线， 主演们大部分人在国内喜剧界只能勉强够上中流水平， 如此阵容配上七拼八凑的内容（连“剧情”这两个字此片都不配用）， 全程几乎没有一个正常笑点， 秒秒钟给人带来的只有满满的尴尬感， 唯一亮点可能就是请来了世界笑星憨豆先生。 【1分】,1.0,,0
9,9,26850326,欢乐喜剧人,5a4d0a8d60200226f82da465dcbc5a4a,93efa96e6e48e641f8378f4fd22a6cd7,3.0,2020-03-29 23:50:12,说实话，我喜欢小岳岳，所以我看他的剧就是圖个乐，别的不将就 如果计较太多的先给你列一下 看这电影真不是奔着他们去看的，而是憨豆罗温艾金森而去的，因为全球影迷欠人家一-张电影票，结果去看了后，都会说:德云社你信不信我们组团去砸烂你们的场子。你们拍的叫什么玩应，要剧情没剧情，要搞笑，还都是一些冷幽默装着高雅腔调给谁看呢?是恶心天朝属丝观众去不起夜店，开不起包房泡不起那些烂公主嘛，还有开个82年的拉菲，装这b有意义吗?老郭开头还口口声声的打着“节俭”口号，东方卫视剧组可真够节俭的，节俭到泡夜店去偷窥公主们换装，结果还是为了任务而执行的。,1.0,1.0,0
