,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26864096,亚人 真人版,938ddf892a74c1780662ea62a258d206,ae787fa9d00c75125a3e64752c414403,4.0,2017-09-04 02:31:56,《亚人 真人版》动作导演  大内贵仁   大内贵仁，1976年生，《亚人 真人版》、《热血街头》、《黑执事》动作导演 大阪体育大学毕业 有西式摔跤功夫底子，为成为替身武师单身前往香港，当时香港回归后，香港电影人纷纷北上，后经罗礼贤介绍，得到一个为成龙充当光替（就是灯光师布光的时候，替成龙大哥站一会儿）的机会。自此入行。有迹可查的第一部充当替身演员的作品是《导火线》，自此成为甄子丹的固定班底之一。后来在《十月围城》《武侠》《特殊身份》等片中充当替身武师。同时还是《特殊身份》的武指助理。    《浪客剑心真人版》三部曲 动作导演 谷垣健治   谷垣健治 ，甄家班日籍成员中资格最老的人，大概是从亚视剧集《精武门》开始在甄子丹帐下效力。他独立担任动作指导的第一部作品是黎妙雪执导的《玻璃少女》。《浪客剑心》真人版导演大友启史表示是在看了谷垣健治在《战狼传说》中的表现之后决定请他进组的。接完《浪客剑心》真人版三部曲后，谷垣就转身担任了《北京遇上西雅图之不二情书》和《摆渡人》的动作导演。现在谷垣在参与完《心理罪：城市之光》和《捉妖记2》的前期拍摄工作以后，作为甄家班一员参与到《追龙》的拍摄中来。   下村勇二 甄家班出身 2001年开拍《修罗雪姬》时，曾在甄子丹帐下效力。后来参与了《导火线》和《大闹天宫》。自己掌舵的作品有《图书馆战争》和《甲贺忍法帖》。在拍摄《多罗罗》时，担任该片动作导演程小东的副手。   富田稔  甄家班出身 《精武英雄》《特殊身份》《冰封侠：重生之门》武师替身  特摄片《牙狼〈GARO〉-GOLDSTORM- 翔》动作导演   坂本浩一  仓田保昭旗下-香港成家班-美国好莱坞-日本特摄  执导《宇宙英雄：超银河传说 THE MOVIE》，《牙狼-照亮黑暗之人》B班导演（事实上的动作导演，独立带组）   小池达朗  《K-20 怪人二十面相》动作指导 发展路径：仓田保昭旗下-香港洪家班-美国好莱坞（在《蝎子王》这种大制作里当武师）《寄生兽》担任stunt coordinator （香港通常也称为武术指导，这里用英文，因为stunt coordinator无需考虑剪辑、摄影分镜和音效设计，而动作导演就要带领一个组专门负责这项职能）   大岛由加利 港片熟脸，她当年在香港出道是靠成龙推手，也算半个成家班，做过《甜心战士》的动作导演。   日本在昭和时代使用的是杀阵师制度，杀阵师权限很低，只能编排动作招式，不能参加剧本创作，不能参加剪辑，不能管理运镜，一切靠导演，所以日本的动作片，好的很好——比如黑泽明和深作欣二的作品，差的很差--比如让人昏昏欲睡的《枭之城》。   现在，在甄家班、洪家班、成家班和美国好莱坞回流的日籍动作人员的指引下，日本电影界正逐渐转向模仿香港体系的动作导演制度。“香港动作片武指文化和国外很不同，香港武术指导就是动作导演，负责拍所有动作场面，可以说他甚至会影响到故事、导演方向。在国外，武术指导和灯光、摄影指导一个性质，比较被动。“（甄子丹语）,69.0,8.0,12
1,1,26864096,亚人 真人版,8f7372fe8aa5a06ed8087fcb8246acfa,fa3d633cb3ccf365430b4ef710849e40,3.0,2018-10-17 17:01:48,"一定是特别的缘分，才能让漫画不毁于漫改 去年，可以称之为日本漫改电影的“元年”了。 有两个原因，一是去年日本国内上映的漫改电影数量，几乎是历年之最，将近三十部。 部分漫改作品一览  二是距离日本的首部漫改电影[比波普高校]上映，刚好过去三十年。 [比波普高校]，校园师生恋题材  日本漫画的影响力不需赘述了，地球人谁还不会哼个哆啦A梦的主题歌、随手搓龟派气功呢。 日本漫画的创作历史已经走过了100年，期间打下坚实粉丝基础的“IP”实在太多太多，对于漫改来说，简直是一座永远挖不完的宝藏。 而漫改的方向也可以大致分为三类： 一，老牌大IP，从当年火遍大街小巷各大书摊、VCD厅、游戏厅的“民工三大漫”(火影、海贼、死神)，到[银魂]、[钢炼]、[JOJO的奇妙冒险]…无一不是普及度惊人之作。 17年关注度最高的[银魂]  二，少女漫，少女漫可以说是日本漫画最常见的题材了，改编此类漫画成本相对较小，也容易还原剧情，不会轻易背上“cosplay”的骂名。 少女漫[老师！我可以喜欢你吗？]  三，现象级IP，顾名思义，就是年代并不久远，但势头惊人，包括[进击的巨人]、[东京食尸鬼]、[寄生兽]……还有咱们今天要说的[亚人]。 佐藤健也算是漫改专业户了 但由于现象级IP普遍诞生的时间较短，一心趁热打铁的片方也舍不得花太多时间制作，所以出现“辣眼睛”的几率往往是最高的。 还记得被[进击的巨人]支配的恐惧吗 怀着“一朝被辣眼，十年怕漫改”的警惕看完[亚人]，松了一口气。 漫改都保持这个水准，很难吗？ ① 别整那没用的，打就完了 《亚人》的设定并不算新鲜。 “亚人”拥有不死之身，随时随地可以满血复活，差不多就是人人顶着一个主角光环。 在日本漫画中一贯担任大反派的政府，抓来亚人做人体实验，害得“佐藤”痛恨人类，招兵买马开始报复。 而主角“永井圭”则选择了站在人类这一遍，共同抵抗亚人们的攻击。 《亚人》漫画  眼熟吧，近年来的日本动漫许多都走这个路子，比如《东京食尸鬼》、《寄生兽》、《进击的巨人》等。 都是人类VS异能种族的戏码，主角也统一是“身为异能心向人”的设定。 题材相近的大热漫画，在漫改上的效果却天差地别。 归根结底，是电影在漫画内容取舍上出了问题。 反面例子是[东京食尸鬼]。 没能表现出“舌尖上的东京”本质 [东京食尸鬼]中，花费了大量的时间讲述在两个世界中求生的无奈和主角的自我调适，不仅严肃无趣，还讲得莫名其妙。 [亚人]的导演本广克行就聪明多了，什么人物背景、什么连带关系、什么寓意思考，都不要，连主线我都懒得多讲，就是一个字，“打”！ [亚人]极简化了原著的剧情，取而代之的是大量让人眼前一亮的动作戏。 “佐藤”刚登场，就手持冲锋枪在研究所来了一场屠杀，射击、摔跤、格斗…一场动作戏疯狂浮夸又精彩。 刚哥秀了十多分钟的个人技  更重要的是，通过这一场戏就让观众明白了“亚人”的作战模式：受伤后可以通过自杀满血重生、断肢后也可自杀获得完整肉体、克星是麻醉枪…… 四个亚人差不多109分钟无休，枪战、肉搏、“鬼魂”互殴等动作戏塞满全片。 本广克行明白，讲剧情讲寓意讲思想，讲得过原著吗？电影唯一能胜过漫画的，在于视听。 本广克行给[亚人]留下了一个简单明了的主线后，就开始用大量的动作场面和视效喂饱观众的感官。 比如漫画中的经典技能“留一手”和“黑雾”，在动作、特效、音效的加持下，给观众带来的惊奇感比在漫画中大了太多。 





“佐藤”在一只断手上重生，实现极速快递  建议[东京食尸鬼]导演回家看此片五遍，交一篇不少于800字观后感上来。 ② 拍打戏，谁还不是个练过的 其实道理大家都懂，只是做不做得到罢了。 [亚人]中打戏精彩的原因，在于有个“好底子”。 [亚人]由[浪客剑心]的幕后班底打造，动作场面上自然也延续了之前的质量。 [浪客剑心]中的打戏备受好评  佐藤健在拍摄[浪客剑心]前就进行了两个月的剑术训练，从一个压根没摸过剑的人，火速成长为一个“让武替都有压力”的人。 





训练中的佐藤健，身手已然了得  有这样的基础在，[亚人]中的动作戏就得心应手多了。 佐藤健全片没有用过一次替身，全部亲自完成，而且还不忘得瑟，“替身也是男人，我也是男人，他能做到的我怎么做不到。” 和佐藤健同在[浪客剑心]中训练过的师兄弟绫野刚，就没这么舒服了，光是练各种持枪姿势就练了一个星期。 冲锋枪、手枪、狙击枪、喷子...导演准备的枪是真不少  练完持枪还有搏斗技巧、体能训练、塑形训练……当然，看成果是没白练。 跟我有一拼了  值得一提的是，[亚人]的武术指导大内贵仁，是在香港当武替出身的。 大内贵仁到香港后，经罗礼贤介绍，得到一个为成龙当光替的机会(灯光师布光时，替成龙摆摆造型)，自此入行。 之后成为甄子丹的固定班底，担任了[导火线]、[十月围城]、[武侠]等片的武替。 [导火线]，大内贵仁就是挨打的人之一  至于日常沉迷动作戏的导演本广克行就不用多说了。 这一剧组，都是练家子。 ③ 漫改电影，也得考虑原著的感受 [亚人]的缺点和优点一样显而易见。 剧情太过敷衍、人物的情感也一笔带过，导致故事本身完全沦为动作戏的陪衬。 文戏只是匆匆走个过场  但对我来说，[亚人]仍是一部合格的漫改电影。 原因很简单，它确实把漫画改编成了电影。 虽然漫改电影的一切都建立在“还原”的基础上，但也有例外。 就是把二次元风格转变为三次元。 举个例子，动漫中，主角投个篮，从起跳到篮球出手再到进筐，三个动作可以演一集。 服不服？ 电影要是这么拍就是有病。 但大量的漫改还真就这么拍的，演员动不动就扯着嗓子干嚎、一会一个慢镜头加特写眼神和画外音“马萨卡？！”，改编成真人电影的意义何在？ [亚人]的动作戏上，延续了[浪客剑心]中“打架憋BB”的良好传统，没有太多中二度爆表的“可恶！要从下方封锁我的攻击吗！”此类台词。 保持“自杀回血”设定的同时，打斗设计得非常贴近现实，不会让观众出戏。 也避免了大段主角边打边自我解说式的“内心独白”(虽然不是很彻底)。 “佐藤”单挑特种部队 这样既可以满足原著粉的期待，也能勾起新观众想去看原著的兴趣。 漫改电影能不毁原著已经是万幸，能反作用于原著的更是少之又少。 如[娜娜]、[热血高校]、[死亡笔记]、[浪客剑心]等，都是漫改电影的上乘之作。 [娜娜]也是第一部票房破40亿日元的漫改电影 它们都或多或少地脱离了“漫画感”，使其本身可以作为一部独立的电影吸引新观众，而不仅仅是针对老粉丝的情怀cosplay秀。 消费原著的同时，为原著带来更多人气，也是漫改电影义不容辞的责任。 [亚人]虽然不及上述电影，但也算用自身为漫改电影立了一条“及格线”： 凡是比[亚人]差的，都是烂片。 - 文：涵葛格 文章源自微信公众号：电影解毒",29.0,2.0,1
2,2,26864096,亚人 真人版,0e1188eaa6ab51e84001f9e26008f502,55e6dc522676499417574795055d747f,1.0,2018-04-12 00:04:24,我就想不明白了男主佐藤为什么跟三体的程心一样是个圣母婊 自己明明被政府研究 每天都受死亡循环带来的痛苦 同类亚人来救他 他还装逼 看到这我就看不下去了 就算你不忍心和男2一样 不加入他们杀戮  最后也没必要来反同类吧 这不是贱是什么 活该他就该天天被研究 不要站在道德制高点说话 别装圣母婊 换成是人类肯定都希望男主那样 真实世界如果真发生这样的事情 我不相信有人还能这么圣母婊 看到最后 我要是男2就把他送回去继续让他跟男2一样20年天天被打死 死个十年8年的我不信他还圣母的起来  本片虽说是改编漫画 导演改编幅度偏颇 没有新颖创意 文戏的时候是在托节奏 看不下去 最后再骂一次男主 大S B一个 道德帝圣母婊！,47.0,8.0,22
3,3,26864096,亚人 真人版,bfecac82c0cfaead61b888833196f6e9,283d88a3ef1823eea0ea28842baff4f9,4.0,2017-10-19 20:19:18,"虽然带了28层滤镜一直在花痴砂糖的颜值，还是不得不说，作为主角砂糖戏份真的有点少，不知道是剧本的问题还是导演剪辑的问题，总觉得刚哥的反派戏份更多，角色也更立体 原是本格糖粉，看完有点被“氛围型帅哥” 丑帅代表刚哥圈粉。  （有极少剧透防侧漏，不影响观影）     跟大多数迷妹一样，提前自修了亚人的动漫和书，原作真的非常吸粉，本来以为是类似寄生兽的风格，但其实不同，不死身和小黑的设定只是个框架，大段和帽子的智力角逐让亚人情节更复杂也更精彩，在这个斗志斗勇的过程中永井圭的角色成长的非常快，而两人如何利用自己不死的优势不断突破脑洞的攻防战是原作最好看的地方，所以看完原作就对电影的期待很高，加上剑心组的动作设计，觉得至少会比寄生兽的真人版好看的多吧（寄生兽的动作场面相对略薄弱）。
 电影情节更多取材了漫画原作的情节而不是动漫的，比如排气扇抽IBM雾，佐藤的手复活，等等，结尾大决斗是电影原创的剧情，这里不剧透，但觉得有点仓促，不像剑心1的结尾那种欲言又止的恰到好处，张力十足。另外就是忍不住吐槽结尾最后的一个很雷的特效镜头，跟米帅都觉得停在老师“肉体美”（看过预告片大家懂）那个镜头就结束应该最为好！！！具体留给大家自己看了再吐槽吧。
电影肯定是好看的，而且在日本片里，绝对是动作片里的精品之作（剑心是经典之作），还原的最好的是帽子被一队SAT不断杀死，然后逆袭单人秒了整队人这段，动漫里这段就做的非常赞，拍摄视角分镜头都是电影的水准，导演完整的把这段还原了，是很可以期待的一段场面。  IBM特效做的非常好，当时看动漫就觉得特效很厉害，跟普通的二次元动漫完全不是一个技术水平，是更接近最终幻想等作品的风格，还用了动作捕捉技术，电影里延续了这个优势，动作场面比动漫版升级的部分是小黑与本体的配合，是个亮点，电影的小黑很听话， 作非常迅捷，看得时候还在想，若不是在大银幕怎么能看清小黑的动作啊，果然是厉害。
 卡司： 全员演技在线，尤其刚哥，简直就是帽子本人，那种邪恶变态得意笑，低声的叫圭名字的痴汉感，玩游戏似的屠杀，举重若轻的动作场面，活脱脱一个把恐袭当游戏的，把路人玩弄于股掌之间的邪恶佐藤，哼着小曲骑自行车，太出彩，而且刚哥练的好壮，很厉害！想想之前《怒》里面白白的软肉刚哥，真不愧是演技派。
成田优和78的角色，都还不错，人物感觉更偏向原创吧，跟漫画里有所差异，但改编合理，当然两人完成度也很好，其实一开始看原作觉得腹黑的高个户崎应该是成田优演才对，铁哥年纪大了点(脸有点肿)，不过气场更足，川荣妹子发型很还原，下眼睫毛很抢戏，后面居然还跟成田优有一段打戏，妹子好拼！
看原作时觉得圭这个角色真的很适合砂糖，冷漠腹黑的高智商，个性有点偏反派的人设，造型上如果头发能再短点就好了，一开始帽子去实验室救包成木乃伊的圭，给他带了套衣服换上逃亡，就是预告片里跳楼的那身风衣，我还在想，帽子对圭是真爱啊！只是去救人，还精心挑选了非常时尚又帅气的一身衣服给他换，兼顾了便于行动和显高的搭配，这是把圭当女主啊！脑中一旦有这样的设定，后面越发觉得刚哥是黑化的男主而砂糖是女主了。。。。。。 首映上的一幕，刚哥一枚痴汉脸  前面说了很多看点，然后再来说说槽点， 虽然带了28层滤镜，一直在花痴砂糖的颜值，还是不得不说，作为主角砂糖戏份真的有点少，不知道是剧本的问题还是导演剪辑的问题，总觉得刚哥的帽子戏份更多，角色也更立体，电影演到三分之一处之后，大概有20分钟都是一直在演刚哥搞恐袭，各种碾压特种部队的埋伏什么的，而砂糖就一直在逃亡，藏身郊区欧巴桑家，只有打开电视看刚哥恐袭新闻，打开电脑看刚哥恐袭喊话，去林间跑步顺便训练小黑，中间这段很多对手戏都是户崎和刚哥之间的，然后我内心在呐喊怎么圭消失了！的时候终于，圭去找户崎谈合作对抗刚哥了，这时大概电影已经演了三分之二。圭隐居之后再出山就变了个人似的，一下开挂了，对亚的行动也开始变得比较顺利，（之前都一直被刚哥狂虐），总体来说，动作场面没有我想的多，结尾的大决斗虽然精彩但感觉也很短，剧本有一些细节有小bug，但瑕不掩瑜，结尾留了要拍续集的伏笔，只是不知道最终票房怎样，有没有机会拍续集吧。 后续:票房不好，大概没续集 
电影上映第二天在京都二条TOHO看得IMAX，上座率不高，几乎都是男饭    总之，如果剑心有100分，那么亚人至少有80分，细节方面有一些缺憾，但动作场面很突出，已经是不错的漫改作品了，而且值得去大银幕观赏。  粉丝向：  电影一开始就是我们砂糖水灵灵的大眼睛，因为看得是IMAX版，日本的屏幕又特别亮和高清，觉得真是艺术品一样晶莹剔透的美目（这段特写他没带隐形眼镜），睫毛有我手臂粗，因为开场一长段戏都是砂糖被包成木乃伊状做实验，所以这段戏都是只露出眼睛，靠眼睛表达出痛苦绝望等复杂强烈的情绪，切手切脚的画面可能过于血腥所以不是直接呈现出来，而是通过砂糖眼神的反应和音效来表达，这段看得时候我简直觉得胳膊超级痛！！！",21.0,7.0,12
4,4,26864096,亚人 真人版,0fdf7e6c2622c86549ea0a1638e41766,f69148cfc3474b0c1714257accc3b468,5.0,2017-11-07 20:11:40,2017年是日本動漫改編電影成果相當豐碩的一年，先有7月的《銀魂真人版》和8月的《帝一之國》，這兩部皆以幽默取勝，而11月的《亞人》也著實令人驚艷，其特點在於劇情易懂、節奏明快、武打流暢，娛樂性十足，是一部無冷場的動作爽片。   　　「亞人」的設定非常前衛，這完全顛覆掉電影裡主角光環。因為亞人的特色在於死後肉體會自動復原重生，被稱之為「重置」，意味著不用擔心肉身受傷，根本不需要有主角光環；而很多電影的主角經常在槍林彈雨中全身而退，很容易被詬病，劇情荒謬或脫節，《亞人》則是主角頻頻中槍挨刀也無所謂，通通都是小菜一碟，因為只要「重置」，又可以重新覺醒。   （佐藤健武戲搏命演出，表現不俗）   　　《亞人》的兩大主角，佐藤健和綾野剛先前在《神劍闖江湖》電影版已經交過手，佐藤健有《神劍闖江湖》三集的經驗，再次駕馭這種動漫角色，架勢十足，武戲表現也精采，但飾演反派的綾野剛在本片中演技更勝一籌，他舉手投足間盡是玩世不恭、睥睨一切的輕狂姿態，面對任何狀況總是露出一副貓抓老鼠般輕鬆寫意的神情，成功營造出反派該有的邪氣。   　　本片劇情取材簡明扼要，即使沒看過動畫的人，也不會一頭霧水，開場先用旁白解釋何謂「亞人」，幫觀眾腦補相關資訊後，隨即切入劇情主軸。而劇情大致可分為研究所、醫院、鄉下、厚生勞動省以及最終決戰這五幕，戲分緊扣在四位亞人身上，沒有其他支線劇情，整部片淺顯易懂。此外，劇情重心放在武戲，帶給觀眾刺激的感官饗宴，而情感方面的戲皆簡單帶過，以至於節奏顯得更明快，不拖泥帶水，當初《東京喰種》花太多心力在支線跟人物情感層面，以及交代次要角色的背景，就顯得拖沓。《東京喰種》和《亞人》題材類似，皆是人類與另一種族的生存之爭，拍成電影版，前者花太多時間著墨在兩個種族間的求生的無奈，發人深省，而後者盡可能避掉這種嚴肅議題，將心力放在兩大主角鬥智鬥力的交鋒過程，大幅提高娛樂性。   （綾野剛武戲精采，還能散發出反派應有的邪氣）   　　《亞人》在戰鬥時除了拳拳到肉的近身肉搏，也用了不少特效輔助，以特效層面來說，武打方面的特效技術處理毫不失分，不會讓人覺得假到出戲，而且懂得藏拙，整部片只有兩幕的特效不夠好，飛機與跳樓，但這兩幕的秒數都很短，鏡頭頂多2秒左右，短得讓人可以忽略掉，不會過度的自曝其短。另外，除了武戲精彩，雙方在鬥智也是表現得可圈可點，尤其是「留一手」這招，實在太有哏了。   　　由於劇情簡明扼要，節奏又相當明快，《亞人》在人物關係和情感層面難免有所疏失，其一，飾演厚生勞動省長官秘書兼保鑣的川榮李奈，她與長官之間的關係，一般人都看得出來肯定非比尋常，但關於她們的過去，電影隻字未提，完全看不出到底是親情、愛情、友情或恩情的羈絆？其二，《亞人》所有角色，皆無深度的情感詮釋，是本片最弱的一環，例如飾演男主角永井圭妹妹的濱邊美波，戲分不多，少有發揮機會，所以這段兄妹情太過單薄，自然也很難去打動觀眾。最後，用一首十四行詩點評：   有個異於常人的種族亞人，  其特色在於擁有不死之身，  即使打鬥中留下不少傷痕，  想重生可以選被殺或自刎，  日本政府太虛偽假義假仁，  暗地捕獲亞人當研究樣本，  綾野剛遭活體實驗太殘忍，  從此化身反派要報仇雪恨，  佐藤健因車禍被發現身份，  綾野剛救佐藤健約他鬥陣，  但兩人信念有別所以不肯，  遂成死對頭交鋒逞兇鬥狠，  最後留一手這策略太有哏，  這部片在我心中能拿高分！   歡迎關注我的主頁   九品中正制度評分：二品，上中之作。  （一品最高，九品最低）,3.0,2.0,0
5,5,26864096,亚人 真人版,efc3d7c0415426c7779b34c0a61a856c,4650e1634ccfdba470a5d1193cb43a8c,4.0,2017-10-05 01:03:39,（含有剧透） 看了亚人电影！改编得的确还不错！刚哥演的佐藤是很帅了，还骚里骚气的，虽然由完美的愉快犯变成了强力复仇者，但还是非常可以。 就是有两点我无法纳得，一，最后永井和佐藤维持在一个给给的姿势上被从天而降的强力部队用液氮？冻成了冰雕，然后被直接打成碎片，用吸尘器吸走了……虽然看着很酷，但是即使把肉冷冻了那也还是肉啊，为什么会变成碎冰渣？？ 二，佐藤打算用vx毒素毁灭东京，永井与他一番搏斗，夺走毒素，随手放进角落一个玻璃柜子里，然后两人继续搏斗搏斗，中略好多剧情，最后永井亡命天涯，全剧终。但是离场后我忽然想到，永井是不是没告诉任何人他把毁灭东京的毒素随手放进个破玻璃柜子里了……毒素怎么办，好着急啊…… 以及其中一段， 佐藤：永井君，你作为亚人为什么要帮人类？ 永井：这跟是人类还是亚人没关系，我仅仅是讨厌你而已！ 佐藤：哼哼，永井君，你果然很unique！ 我：？？那你们有点给 我觉得电影的主推cp是永井和佐藤，为了推cp他们把永井的基友全都直接删掉了,11.0,5.0,5
6,6,26864096,亚人 真人版,cbd64bd87dcca9728d94fa344744abb4,e647d10f148d86acf6a75343e1c2e41c,,2020-03-25 01:28:54,改的太多，把心理描写删少，凸显真实感，却没有通过猪脚内心挣扎最后选择人类的一方，虐待3天跟20年还不是虐待，哪有因为时间少点就不黑化的理由。除非给个男主无痛感设定，不然剧情逻辑不合理，没有理由站在人类一方。人家男二辛辛苦苦来救男主，最后还开枪打队友的，正如男儿所说，他真是特别，抖m来的。,2.0,,0
7,7,26864096,亚人 真人版,f1ec4624e187fa800e8e7c146dc87554,ee907bf48ed9f608eefc7905559e9807,1.0,2018-10-28 18:46:36,按设定亚人是有痛感的，那主角被连续虐三天，怎么也有点火气吧？难道受虐狂？通过被虐产生快感？那你不跑让别人继续虐不完了？ 话说亚人除了无限重生，防御力，攻击力，逃生能力，于常人无异，那像开片那样，把亚人绑了，岂不是完全没法发挥？ 其实最烦的就是这些傻逼设定，擎天柱为人类杀同类，毁灭赛博坦。超人为人类灭自己仅剩的同胞，还口口声声要回到母星云云！！我真的是……,4.0,,1
8,8,26864096,亚人 真人版,76ac4d7501de34e20eb6525580ed379b,9af3af34c4a8abb3a7649f4ea2fcf2fa,4.0,2018-04-10 02:18:47,步调快、剧情没有变动太多。 动作场面果然还是很棒，不管是特效的幽灵对战，还是真人对战，还是枪战，水准都很高。真的真的特别喜欢砂糖的动作场面！干净利落！  不过，最棒的果然还是演员！！漫改的前辈们，果然还是不一样啊！   比方说，原著的田中，找城田来演，颜值也高太多了，但漫画中的小动作还是有出现，也没有太多的违和感。 不过，最棒的，还是超越期待的佐藤啊！！原著里的大叔相当有自己的风格…   每次出现都让人冒一身冷汗，本来有点担心没法再现，但是！连笑容都很有感觉啊！！   不得不说，经典的几幕都拍的出来了，说话的方式，杀人的瞬间，都很佐藤。 每次看他跟砂糖对战，就让人特别紧张。 当然，砂糖的永井，不管是表情，还是动作场面，都很有原著风格，就是，像妹妹说的“冷冷的”，有点别扭的，不同的亚人。    有好几个经典场面，都让人忍不住觉得神还原！…各种，看电影时，直接拿漫画对照更有感。   推荐电影前段中，出现的上面原著漫画的桥段。 唯一可惜的是，把原著的竹马给改没了，然后那个铺陈的结尾…唔  竹马很重要的说，改掉有点可惜。 但，还是很好看，推荐喜欢动作、枪战的朋友。,26.0,8.0,9
9,9,26864096,亚人 真人版,757f59f63d113c93a49f69aefc7c8513,e06d14437cf11ef6def84d1b2a0680a3,4.0,2018-01-22 01:08:46,"啊啊啊啊佐藤健超帅语无伦次的帅～一百婚一百婚，帅到哭泣。请看图！！！   上吧，幽灵 讨厌你而已 还是人类时，过着怎样的人生   心路历程大致如下:开场十分钟，男主好丑，气死我了，永井只是路人脸而已；开场半小时，男主还不错，可以接受，但是剧情舍弃太多；开场一个小时，啊啊啊啊帅爆了帅爆了，永井帅，佐藤大叔也帅，动作戏很棒，粉碎转移大法666，已经不知道自己在说什么了～ 除了剧情稍微有些薄弱(其实已经很棒了)，
不过删了男主的小竹马还有有一点遗憾的。",41.0,3.0,6
