,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26864182,一纸婚约,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,1.0,2018-06-10 19:23:00,剧情非常狗血，很电视栏目剧，中年离婚教授，天下第一等好男人，离婚三年还惦记着前妻和女儿，决定卖掉房子接济人家，还为了卖房和女主假结婚（上海的房子那么抢手，他这么假结婚也不是为了钱，纯粹是大爱帮人，真是新时代的上海好人，感动中国）。而买家女主是个难缠的主，各种过分行为，男主都是“圣父嫖”以对，他那么好，前妻怎么会和他离婚？是实在忍受不了他对外人都像对亲人那么好吧！然后女主的闺蜜杨紫原来已经跟她未婚夫张一山搞了四年的“地下情”，试婚纱的时候才告诉她“你被我绿了”，（都什么年代了还用《失恋33天》的烂梗）。然后女主就变成了酗酒狂魔，一言不合就在男主眼前上演脱衣舞，男主还TM柳下惠坐怀不乱——不，是君子不欺暗室，非礼勿视。然后莫名其妙的女主就爱上了男主，（应该是为他的大爱感染，自己也变成了个大爱博爱的人），无私照顾起突然瘫痪的男主来。别告诉我这是什么爱情，女主就是因为男主的一套上海老房子产生的生殖冲动！  这是一个中年老男人的杰克苏，钱没几个，事业无成（评职称老评不上），却魅力无穷，霸道系主任喜欢他，喜欢得甚至主动推倒他，年轻得跟他女儿一样的爱画画女主也喜欢他。呵呵。  女主长得有点嫩版朱丹的意思。  男主的身份，设定貌似是“3000孤儿上草原”的孤儿。关于这段历史，已经没多少人知道了，尤其是事件背后的灾难背景。  张一山、关晓彤和杨紫友情客串，这导演的面子不小嘛。事实上导演来头不小，他是北京电影学院表演学院院长。好吧，你终于明白为什么杨紫等会来客串了，因为都是他的学生，院长要求，能不来吗？这里面反映出高校学术腐败、师长欺压使唤学生（为什么会有学生不堪导师折磨自杀？），嘿嘿，管中窥豹可见一斑。是时候整治一下高校的乱象了。  那位毕导演说观众不懂欣赏他，是对他这个国家栋梁、民族荣誉的伤害。那么本片的张导演拍出这样三观不正的YY神作，观众也不懂欣赏，是不是也是对他是一种彻底的羞辱和伤害？以后他还怎么教书育人，面对表演学院未来那些大明星们？ 但这样的老师，真的能教出德艺双馨的学生吗？ PS：这位院长还自编自导自演而且是男一，比毕大导演还牛C（自编自导自演但非主演）。两位真是交相辉映的奇葩。这个片子的评分应该3分以下才符合。 对了，这个破片像很多国产烂片一样，花钱托关系弄了诸如休斯敦国际电影节等几个小奖来镀金。判断一部国产片是不是烂片，这些奇离古怪的奖项是其中一样特征。,431.0,4.0,132
1,1,26864182,一纸婚约,d52bac7791207ef03634f06ddbaa66e5,43145266f8c9b6fd4d80431cd0dea670,1.0,2019-02-11 22:21:36,第一批观光团报道，我已经看完电影了！烂透了！！这部电影完全是中年男人的臆想，女主年轻漂亮，男主中年大叔暖男，两人类似于一吻定情一样同住在一个屋檐下，由怜生爱，男主拒绝拒绝拒绝年轻姑娘，无奈年轻姑娘自己心甘情愿被拥有善良品质和高尚道德情操的男主打动，疯狂倒贴，假结婚变成真结婚！据说这部片是北电投资，哈哈哈啊我要仰天长啸！ 恭喜恭喜男女主角纯真的爱情由电影延伸到现实，终于在大众注目下喜结良缘！ 最后作为一个普通观众，我对北电真的失望透顶了，电影圈不治治就是从根开始腐烂发臭。,206.0,1.0,38
2,2,26864182,一纸婚约,f3a2dca0177ecc9aac4dc7a99613d71d,785c985712b1d6967cbb2d572e9113b4,1.0,2019-02-12 00:10:55,这是某高校领导拿学校资源为自己和自己的学生老婆（没看错就是娶了小自己24岁的学生当老婆）拍的大烂片。此高校领导拿学校当青楼吗？烂到根里去了。国内最好的电影学院的王牌专业，烂到极点烂到让人不忍直视。从上到下的胡闹糊弄，拿学术当狗屎，拿尊严当狗屁，拿国家资源谋个人的变！态！私！利！与资本媾合，与娱乐至死，毫无底线，low穿地心……,219.0,1.0,51
3,3,26864182,一纸婚约,4022168d588dd3809d99e888e9792892,f5b9304b9a3645eef446e1b12a90a5ce,1.0,2019-02-14 13:02:10,以真实的师生恋打底，自己拍自己演，我琢磨着也算个作者电影，不由自主就完整看了一遍，主要动力是想知道剧情何时能从假结婚顺拐到真感情，不想说奸夫淫妇干柴烈火，起码擦出点火花来吧，然而完全没有。 这看似一部做贼心虚，竭力洗白的电影。导演，即男主不仅把正经写在了脸上，甚至骨子里都烙上了道貌岸然四个字，这是一个高尚的、纯粹的、彻底脱离了低级趣味的人，观众无法辨识出他有任何动心时刻，即使植物人期间，他高尚的灵魂也依然只是在吟诵，未流露出丝毫对女主的情感。 其中最精彩的华章，女主大跳脱衣舞时目不斜视倒也罢了，还自顾自说了一段超级煞风景的废话，挤出了几滴被自己感动的泪花，唯恐观众以为自己对女人有兴趣，潜台词大概是作者的自我辩解：我和她结合，真不是冲着什么青春肉体。这当然是可能的，正如刘强东说自己脸盲。 然而作为观众，我读出的和导演的意图也许背道而驰，一边在前景表演着不感兴趣，一边让女人在后景里半裸着为自己伴舞，这究竟是无邪还是窥淫呢，以及那些虽然不知所云，却又含含糊糊有所指的金句，以缘分和大爱来遮掩人欲，未免太焦灼，太压抑了，想来每次性交必是敦伦，食而不知其味，唯恐自己知其味，是不是有点太浪费青春肉体了？ 女主的作者性也许比较有限，因为她被摆布成了一个非常别扭的姿势：爱上圣人是一种什么样的体验。她对男主是有所勾引的，但很不自然，因为对方是一尊木雕泥塑的菩萨（虽然经常穿着奶头激凸的T恤）。当她突兀决定照顾男主一辈子时，弹幕都哗然了，这个急转弯就好像迎面给了观众一屁股，太真实了。 从作者电影的角度考虑，我猜测，也许导演自己认为全剧的转折点在男主拿出白酒与女主对应，说出自己不是上海小男人，而是草原人的瞬间，他就从一个毫无性魅力的扫兴的肥油男，借由一股草原上混杂着牲口交媾气味的风，镶上了野性的金边，具有了不由分说的性原力。 影片在此后精心安排了一系列雄性动物的亮剑，比如人品高尚，性格体贴，各种中华传统美德不一而足，但都是无意间散发和流露的，最赤裸的性助攻竟交由女儿完成，关键时刻还来了个出本书的事儿助阵，一方面加深女主对他的崇拜，一方面显出他随时有正事儿要忙。直到饭桌上一曲草原牧歌，彻底征服了女主，但他是全无责任的，是无心的勾引者，行走的荷尔蒙，性交都需要别人推屁股，一心只读圣贤书的道德完人。 最后，关于评不上职称令植物人苏醒的所谓现实批判性，这显然是自我粉饰的一部分，电影里的老王谢幕了，电影外的老张还得演下去，老王不近女色，我老张兴师动众拍电影，能是为了私欲吗？所以不要小看这点儿思想性，遮羞布用不了太大。 ps： 1，本人不反感老少恋。 2，我为什么要写影评？？？,62.0,2.0,10
4,4,26864182,一纸婚约,bc551a788777a76389f56ec71d0a28ad,8f311cb398c4182c5a6aba43a74aea25,1.0,2019-02-12 19:40:08,本人今年30，司法行业，自认为见过这个社会各种丑恶，但是今天这个新闻是真的我见过最恶心的一个。  某位博士我就不提了，今天带出来的这位张院长真的把我恶心坏了，离婚以后和比自己小24岁的女学生结婚？？拜托，你女儿估计都比他大，好意思吗？这种剧情还好意思写在电影里自己拍。。。 这就算了，忽悠国家的💰学校的💰拍了一部大烂片，就为了哄小娇妻？咋了？公费旅游现在都是犯罪，你公费谈恋爱就不是了？  这些都不提，拉了一堆自己的学生，包括小娇妻前男友的铁哥们张一山，还有几个流量小花，影后影帝，用老脸拍电影，居然最后只有70万票房，豆瓣3分，想啥呢？不是什么院长什么教授吗？你这破剧本是你家邻居孙子写的吗？什么弱智剧情，你这什么破演技破水平，教个什么啊？ 本片制片人居然还是自己的侄子，侄子也是北电博士，能查到的唯一文献居然是侄子采访舅舅的新闻稿。。。说真的，这个智商是怎么混到博士的，造假都不会的吗？  还有一点最恶心的，那就是这种人居然还是北电常委班子，表演专业院长，中国艺术领域的大拿，难怪现在烂片这么多，搞了半天源头都是黑的，老师都不会演戏，只会搞钱搞女人，真是烂透了，长这么大没见过这么恶心的事,100.0,,14
5,5,26864182,一纸婚约,288c34f46f1af74ded7e5a2909a75143,4b275062bb18b2b99d6f96aed31a54f5,1.0,2019-02-12 00:15:25,吃翟天临的瓜过来的~ 真的是被尬出一脸翔…… 男主被女主任扑倒是什么鬼？ 女主前男友跟闺蜜好上了虽说在现实中很常见，但是没有任何铺垫是什么鬼？ 草原成长经历跟全片啥关系？难道是因为女主是内蒙人，拿这个点暗搓搓发糖？ 凭啥就男主去阻止跳楼呀？不是还有专业人士在旁边吗？ 医生说人脑像豆腐也是魔性…… 怎么就动感情了？还不离不弃了？ 成植物人之后灵魂出窍的心灵鸡汤是什么鬼？ 女主给植物人男主读的是……《盗墓笔记》？ 还有一说没评上职称就醒了，这是科幻片吗？,29.0,,2
6,6,26864182,一纸婚约,097f4bcfe3c63efdacd521e4170cd103,222cb8f1d8da7ca0544f39c2650ed868,2.0,2018-06-11 18:38:17,这两星给女主任（因为家有九凤）、杨紫、张一山和关晓彤，因为他们和女一的几段对手戏都成功的显出了女一演戏的苍白无力。 特别想问下这位导演加主演的男主角，你怕不是对大家喜欢的“大叔和萌妹子谈恋爱”有什么误会吧？ 截图出自百度对中国式大叔的解释  你说你走不了张嘉译、吴秀波、徐峥、黄渤、孙红雷和黄磊之类的路线，那你最起码得是个汪俊、林永健或者肖央吧！（没有贬低他仨的意思，挺喜欢《男人帮》、《情圣》和《林师傅在首尔》的） 把剧情拍摄成这样总得有个站得住脚的理由吧！ 还有后面独白的部分，真是不知道该说什么了， 男主生病后的意象独白 导演是对自己太陶醉了吗？？？ 这段情节的意义在哪？ 学院派的老师脑子里都在想什么？ 以前大家只是一味地觉得现在的小鲜肉和小花们演技不好，现在经过这部电影终于让我们明白了一部分原因。 小S款冷漠脸,25.0,2.0,1
7,7,26864182,一纸婚约,e23acd65ec45e698f9f13539fc2161af,e962c96829241f53c3d68a67f80c4eb7,1.0,2019-02-12 19:30:15,"同时，这也是继“北电侯亮平”事件后，北电再一次被推到了舆论的风口浪尖，一向被奉作象牙塔的学术圈，正在一步步的展现原来样貌。

希望这一次的全网起底，换来的不是又一次沉默和又一次逃避。

唯有自省，方能正身啊。 附上链接：【翟天临，原来只是北电惊天巨瓜的序！院长导师的潜规则，一个比一个深】https://wenhui.whb.cn/third/baidu/201902/12/241811.html?sdkver=1caf3c13&amp;clientprefetch=1",21.0,1.0,2
8,8,26864182,一纸婚约,5ad5ea6943f486e86110c20eae7d2f7c,51832e79b08cc7156e35a24332d53ccf,1.0,2019-02-11 21:39:46,这也太吓人了叭，妈呀，领导这样查得出翟天临事件吗，北电从根就坏了，中年男人意淫为圆妻子(离婚娶的堪比女儿年龄的学生)的梦还拉一堆的流量和实力派作配，还tm竟然亏的是北电的钱？我的三观碎了……北电究竟烂成啥样了啊？妈的，太吓人了吧，吃瓜吃得我怕了，北电领导都有如此价值观，难怪上梁不正下梁歪，出了那么多事情……,50.0,1.0,3
9,9,26864182,一纸婚约,25d6e732342c3bc804b9a166c33e02ca,eec6db8759214dad47991b7931e8a473,2.0,2018-06-19 08:52:58,全世界人民都知道，上海房价贵，外地户口工薪族想落地买房更是难上加难，因此催生了假结婚买房这个产业。这个行当钻法律空子，眼前买房代价小，可是后面风险极高。假结婚的一方婚内出现意外怎么办？其中一方以后不同意离婚怎么办？其中一方假戏真做霸王硬上弓睡了对方算不清犯法？这个题材非常好，可以揭露社会扭曲面，普及法律常识，还可以通过后续问题的曝光起到警示作用。片中还有对高校评职称尔虞我诈的描写，对闺蜜抢老公的呈现。全片要现实有现实，要深度有深度，要宣导有宣导。然而，本片却别别扭扭地被拍成了一部没人掉眼泪的感动中国。 一、王老师“伟大”得缺心眼 王老师在上海有个学区房，急着用钱，看着年轻人来沪打拼不容易，同意了假结婚。第一，上海学区房什么时候怕卖不出去了？应该是挂出来，只要价格合理，很快就出手了吧；第二，就算假结婚，叶子也应该付好处费给王老师吧，王老师学雷锋，一分钱好处不要；第三，说好定金50万，多少天都拿不出来。王老师教书几十年，光研究哲学，不看看世间百态？别人账户存款不瞅一眼，定金都没收，就先把婚结了？这样感动天感动地的王老师哪里有谁告诉我，我一定投奔门下！ 说不卖就不卖！真的嫁给我就卖！ 半个月过去了定金都没收齐 王老师不仅对年轻人提携有加，还特别感恩戴德，长期照顾自己体弱多病老师和他的老伴，还要不惜牺牲自己拉下要跳楼的酒鬼(他老师的儿子)。结果自己掉下去了，昏迷了。  好嘛，我也承认当前这个社会缺乏role model，我姑且接受王老师的大义了，假结婚的另一方叶子说来就来的爱情怎么回事？你一个学画画的不为艺术献身，为哲学献什么身？ 二、心机girl转圣女的叶子 试婚纱才得知未婚夫和最好的朋友要结婚了，我一个局外人都要暴走了，小雪怎么能嫁给刘星呢？？！！(不好意思，串场了，哈哈)，叶子不抽她丫的，不问候他们家人，跑外滩装大款撒点钱，回家在“老公”面前脱个衣服跳个舞，就好了。你这四年的感情是斗地主斗出来的吧？ 杨紫张一山既当绿叶又当恶人 对“老公”欠钱不还，对路人挥金如土 心情不好就来个内衣秀给空气看 更夸张的是，叶子此后对王老师的所言所行，更像是蓄谋已久的勾引。比如喝醉的第二天一早，娇羞地问王老师昨晚有没有对她做过什么。还比如以下种种: 拼桌来了，拼床还会远吗？ 短信不发，qq不聊，没事就写个信交流交流 明明要搬走，非要和王老师当面say goodbye 挑明“你想要怎么赔偿，我赔你”。叶子没钱，王老师知道她没钱。怎么赔，大家说吧 叶子一开始就展现出是有心机的人，假结婚她最积极，没过户就装修，没交全订金，人就住进去了。“嫁给”王老师，是出于报复堕落，还是在房子面前委曲求全想假戏真做，都符合叶子的性格设定，也贴近现实。然而，后面非要把她刻画成有情有义(尚不敢说因为爱情)，是怕王老师一个人事迹不够分量，拿不到感动中国么？ 王老师昏迷前已经签好了离婚协议，她不签，好嘛，为了房子，特别是如果王老师过世，她在法律上可以不劳而获，她不离婚说得通。可是她偏偏和王老师女儿写声明表示放弃，而且不管王老师会不会醒来，都会照顾他。还能不能更感人？ 最后，我们都知道，好人是有好报的。当曾扑倒王老师的系主任带来职称评定失败的消息，硬是把王老师气得醒了过来。他开口了，说话了，他还认得叶子，他们可以好好的一起过日子了，可以一起到大草原的湖边等候鸟飞回来都老大不小了再生一个娃娃。哇哦，生活是多么美好！ 为他读诗，给他擦身，听这诗能不湿嘛 奇迹出现了！叶！叶！哦叶！ 让我们策马奔腾共享上海房子... 而如果王老师从一开始就够坏，霸占了小姑娘却失去了意识，不再苏醒，没提前写好离婚协议。叶子一直很心机，得到了房子，最终却无法离婚，失去了婚姻的自由。这部电影是不是可以黑暗成四颗星而不是感动成两颗星呢？,26.0,1.0,17
