,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26868408,黄金花,2c141cb58d723ce1ae30a6ff1de7c155,2fa10aa39d2d48619c465f200e4d979a,5.0,2018-04-17 19:45:04,《黄金花》妙在假借”打小三“的故事，探讨了我们和痛苦的关系。 毕竟凝望深渊，深渊亦如是。  叙事和抒情 正在想，是哪位导演如此强劲，竟然发现是为编剧出身的导演陈大利，而且是《叶问》《西游记之大闹天宫》这种片子的编剧……又或者也许他只是把最好的本子留给了自己了吧（大误）。 贫富差距、老龄化、医疗资源紧张……面对层出不穷的城市病，走过80、90年代辉煌的刀光剑影，香港电影开始盛产“边缘小人物”剧情片。让人印象深刻的并不在少数，近几年更是出产频繁，《一念无明》《幸运是我》《踏血寻梅》，在香港的院线上，几乎都叫好又叫座。 记得在《一念无明》的首映上，黄进自己也承认，在电影中他没有给出解决方案，这样收尾可能会让观众不买单。这在电影里是很致命的，只是说”我们继续一起走下去，走一步是一步吧“，显得非常消极。对于期待故事的观众来说，也是难有启发的。或许是黄进还年轻，并没有能思考得透这个社会问题，又或者在思路上，他也原本只想达到这样一个完成度。 当然，我自己是非常看好《一念无明》的导演黄进的（他本人很帅气），但对比起来，《黄金花》确实让人惊喜。紧张的配乐、凶杀的元素都让我惊喜地发现，原来边缘人的故事，除了卖惨之外，可能性还非常丰富。 打小三的外壳：和痛苦和解 港漂多年，不知道内地的观众看“港式悲剧”能有几成的感同身受，毕竟这些所谓”正港味“的故事远不如古惑仔、警匪片刺激。无论是《幸运是我》，还是《一念无名》，再惨的境遇，主角仍然有房住、有工作可以养家。如果硬要渲染香港的底层过得比内地惨，那也只能说是强装外宾。于是，《黄金花》的切入点选得非常聪明，不过度渲染无用的惨来”共情“，而是讲了一个放之四海皆准的”打小三“故事。我也相信，这样一个故事，在内地的票房不会不卖座。 简单说说这个故事，毛舜筠扮演的黄金花是故事的女主角，她和出轨成性的丈夫生养了一个弱智加自闭的儿子光仔，而后全家的生计都靠丈夫在外做驾考教练的薪水过活。而故事便落脚在丈夫和驾考学生”丹凤眼“发生了婚外情，穿帮后一走了之的时间上……家庭被拆散，只能和儿子相依为命，黄金花在绝望的谷底，压抑交织着怨恨，她打算向第三者复仇，以此作为解决问题的方法。她花了大钱，联系搭乘走私的船只，制造不在场证据，计划自己捅死那个破坏她家庭的狐狸精。 说是打小三，实则第三者插足只是速度激发起黄金花女士常年对生活的痛苦感受。她坐在崩溃的悬崖边上已久，不知道应该怎么离开。 婚外情解剖了黄金花的痛苦——跟踪、并排期狐狸精的时间表，过关去深圳再返回香港，她的复仇之路步步为营，持刀已经走到了小三家门口，然而却发现愤怒和仇恨并无法解决复杂的人生。——她发现精心设计的复仇计划，竟没有考虑到被电梯的闭路电视拍下的可能，最终只好放弃，接而小三的一次面对面挑衅让她再度燃点报仇之火。这一段常常使用搞笑的方式来拍摄，也提醒我们并不是正戏内容，从中我们真正可以窥探到的是她的生活——丈夫的出轨让她抬不起头，儿子的不受控制让她不断向人道歉、必须带着儿子的特殊状况，导致她寻找兼职养家举步维艰。 富豪雪糕植入了一个非常好的广告。日日如旧的黄金花，贩卖每日新鲜为你制造雪糕。  痛苦是黄金花的核心情绪。在本片中，儿子和家庭是她的痛苦之所在。她也说过，如果不是为了儿子，早就会离开这个家了。我觉得电影的核心就是在讨论这样一个话题：深处绝望，如何与痛苦和解。 对于生活的绝望，低级的快乐虽然奢侈却毫无意义。我们往往不知道快乐是为何，这种情绪只会让人陷入迷茫。比如沉溺在男女之乐的”丹凤眼“，和逃避责任后片刻欢愉的丈夫，在快乐中他们迷失；黄金花也是，想象复仇的快乐，让她失去理智，只想用杀人的方式解决问题。 而逃离痛苦的唯一方法是理解。代表着黄金花痛苦的光仔，在最后拯救了她。站在痛苦中思考痛苦，承受生活的轻和重，这是一种生活的常态。就像光仔一样，黄金花创造了他，而他也许并不会和你有完整的表述和对话，但它窥视着你，渗透在你的生活中。甚至，在所有的情绪中，你花了最多的时间去和它相处，凝望深渊，时间久了，你成为了痛苦本身，痛苦亦能理解你。 最后一幕光仔在即将出发砍死小三的母亲面前大哭大闹，便是最好的解释。他完全可以感受到母亲所想，尽管他没有太多理解的智力。黄金花的痛苦瓦解了，她和生活的困境握手言和，于是她便能够继续共存下去。 不要逃避痛苦，你创造了它。唯有思考它才不会成为它。 它是你的猛虎，亦可以是你的玫瑰。,68.0,21.0,25
1,1,26868408,黄金花,12c68b616cd25337e4b67529fec5bc93,b0908dd40b7a04f7b7c1033cc42839d2,3.0,2018-04-11 18:36:31,整部影片时刻被一种无望的感觉包裹。 这种无望基本是影片呈现的生活带给观众的感觉。毛舜筠饰演的家庭主妇黄金花的最大无望来自于自闭症+中度智障的儿子（凌文龙饰）。影片没有选择励志片那样让儿子最终更接近正常人，因此聪明地躲开了庸俗的煽情套路，也更加重了无望的无力感。这种无力感通过黄金花接受采访时一句话，像一把刀子一样直插人心：“人家说白发人送黑发人，对我们来说是幸运。” 1. 如果说需要人照顾的儿子是黄金花无望的根源，那吕良伟饰演的习惯性出轨的老公彻底把黄金花推入无望的深渊。就像黄金花对小三说的那样：我恨你不是你抢了我老公，而是抢了我儿子的爸爸。在这样一个家庭里，父亲的角色尤为重要，儿子一犯病就自残，爸爸就要制止儿子，在这个过程中，爸爸身上留下了很多被儿子抓伤而留下的疤痕。在爸爸离开的日子，儿子又犯病了，这次换做黄金花来制止儿子。一个妈妈如何在体力上战胜一个20多岁的大小伙子？所以等孩子安静睡去后，黄金花在黑暗中边流泪边忍着身体的抖动。 生活想要让你体会无望的滋味，不会一味让你消沉下去，会让你尝试多次看似的希望后，自己得出生活无望的结论，这时心如死灰才是真的无望。 所以在老公离去后，黄金花迎接了第一次希望——如何完美谋杀小三。为了找到完美作案时间，黄金花带着儿子跟踪小三，认真记录小三的生活规律，寻找小三独处时间方便下书。然后又从港片得到启发，先从香港去深圳，留下出行记录，然后再从深圳偷渡回香港，杀掉小三，神不知鬼不觉。第一次因为暴露在电梯的闭路电视里，黄金花只好作罢，第二次因为儿子的阻拦，也没有成功。感觉希望触手可得，下一秒却遥不可及！还有比这更无望的事情吗？ 在黄金花两次准备谋杀小三中间，有过放弃谋杀过好生活的念头。她开始和周围婆婆妈妈们聊天，一起去唱K，儿子和她也更亲近，她自己还找了一份工作可以养活自己和儿子。就在黄金花自以为生活朝着美好前进时，小三找到黄金花，说了些不疼不痒的酸话，无非就是讽刺黄金花年龄大，生了个傻儿子，活该老公和人跑了之类的。然后要和自己离婚的老公又偷偷找到儿子，最后还致使儿子走丢。接二连三的不顺利才又让黄金花重拾杀死小三的想法。 2. 这部电影的英文名叫：Tomorrow is Another Day，源自《飘》里女主郝思嘉的一句话。可以理解为明天会更好这种带有鸡汤味道的激励人心的话。同时也可以理解为过一天算一天这样消极的厌世想法。 生活的不断重复、循环，仿佛把黄金花困在了当下。眼下的麻烦事让她应接不暇，根本没有时间、没有心情，想其他父母一样，展望美好的未来。最开始的麻烦事是照顾老公、儿子的饮食起居，同时要面对儿子突如其来的发病，接着就要处理老公出轨，小三找上门这种烂事。老公离家出走后，黄金花既要面对生存问题，又要照顾儿子。在老公幡然悔悟重新回归家庭后，黄金花也没有高兴、没有责怪，有的是对未来的绝望：“人家说白发人送黑发人，对我们来说是幸运。”还有什么比没有希望的明天更让人绝望的吗？  3. 聚焦这样一个家庭，导演能忍住不刻意煽情，着实不容易。但导演躲开了廉价的煽情，却没躲开逻辑bug。电影里黄金花说儿子背她名字、电话都要背5年，可是仅仅看着黄金花记录小三生活作息、洗刀，就能推理出黄金花要去杀小三。这样的理由在我看来是不能信服的。 瑕不掩瑜，本片能够将“无望”这个有些虚的词塞进每个观众的心里，已属难得。,10.0,3.0,4
2,2,26868408,黄金花,eb5cba2d91b6c6047f17951aa2a3ea54,19c550188c76a3b5599621418933f245,4.0,2018-07-11 22:56:23,在今年4月15日颁发的第37届香港电影金像奖上，《黄金花》为入行42年的毛舜筠夺下首座金像影后奖杯、为男主角凌文龙拿下最佳新演员。  4月28日就火速被引进内地院线了，但只取得了可怜的150万票房。豆瓣6.6的评分也是差强人意。   有奖项加持，却没能激发口碑和票房。是香港金像奖本身能量已经式微，还是内地和香港的文化差异造就审美隔阂？ 或许没有这么深，也许只是预算捉襟见肘，宣发太静悄悄了。 同档期的票房主要都被强势宣传的《后来的我们》和有“山争哥哥”挂帅的《幕后玩家》掠走了。 但也绝对没有那么浅，也许这个娱乐至上的年代，营销手法比内容优劣更能玩转票房争夺。 虽然民生才应该是最大的IP，但《黄金花》不是商业片，是小成本文艺片，聚焦草根母亲照顾自闭症儿子，题材略沉重，欠缺娱乐性，在五一档这么注重休闲享乐的时段，有点不合天时。 但票房仅150万也真是太……吓人了。同期的《战神纪》和《低压槽》都够烂的，却还是一个拿到了3806万，一个拿到了3490万，连动画片《玛丽与魔女之花》都有2060万进账，没有流量明星但表演扎实讲真情的《黄金花》，真是大写的委屈啊！   言归正传，说回《黄金花》剧情。   黄金花是女主的名字，但她的儿子光仔总是叫她“黄金虾”。 这个香港普通师奶，和丈夫儿子住在公屋，生活的重心就是照顾儿子、给老公准备饭菜。 演她儿子的是1986年的凌文龙，《黄金花》是他第一部电影，32岁演一个20岁的自闭儿+中度智障，记住妈妈的手机号码要花五年，情绪会突然波动，波动了就会自残，严重时会把暴揍自己肿得像猪头，母亲一个架不住他，得父母合力把他摁在垫了被子的地上，手里握着卷纸筒，渐渐才能冷静下来。 影片展示细节方面还是用心的，例如母亲铺被子动作熟稔、柜子上成袋备着卷纸筒、父亲手上背上都有抓伤的疤痕，都透露出多年来应对儿子发作的惯常和辛苦。 黄金花的老公是吕良伟出演，是个驾校教练，常年赚钱养家照顾病儿令婚姻生活失了情趣，于是婚内出轨了他的学员——同住在一个社区的女护士。 女护士化着桃红眼妆，衣服穿得也性感，走起路来烟视媚行，倒不是一个风骚贪钱的人，会煲汤会嘘寒问暖，抢老公可能是真的喜欢中年男人。但这小三也不是善茬，面对自己所为和不良风评并无愧色，会杀上门宣示存在感，竟然还戏弄光仔。 老公不是色欲熏心，但也是有前科的，当年黄金花意外早产就是因为目睹老公偷腥，虽然医学上认定光仔患病与早产并无关系，黄金花仍然很内疚。老公如今再次抛妻弃子，估计想找个出口喘气，找个温柔乡逃避坚硬的生活现实。   黄金花发现老公外遇蛛丝马迹时还没爆发，直到确认小三竟然来过家里还刺激了儿子，终于爆发激烈争吵，但阻止老公离家，她哭天抢地的台词只是“你不能走，我买了你的菜啊”。后面她和小三正面对杠时也说，我不是介意你抢走我老公，而是介意你抢走我儿子的父亲。 可能对于黄金花来说，这个男人不知道从何时起只是变成一起照顾儿子的帮手，而不是以对待老公的心在看他了。 如果说港女的特质之一是独立干练敢爱敢恨，那么港女老了变师奶，或许多少也还延承着一丝果敢。老公提出离婚，黄金花对小三起了杀心！虽然嘴里说着“那个黄毛丫头还不够资格(影响我)”，但她暗戳戳准备复仇了，观摩凶杀电影，学习电视里讲述的谋杀手法，先监视小三找出作息规律，制定下手时间表，搭地铁去深圳然后偷渡回香港以制造不在场证据。 但真要实施犯罪时，她还是被新闻里的破案播报和电梯里的摄像头吓退了。   凭《我不卖身我卖子宫》拿过金马奖影后的刘美君在片中饰演陈师奶，她丧夫无子嗣，对黄金花很照顾，可能有点同为女人的同情心，当年她和老公刚刚分到房子，老公想多赚点钱，打三份工，日夜拼搏，有一天在睡梦中就死去了，现在的她就只想“尽情逛街购物、吃吃糖果，等到也断气的时候，就放大假了。” 黄金花替她喟叹：“真不容易哦。” 她却淡然笑了：“唉，有多难啊，看你放不放过自己，明天醒来又是新的一天。”   片中有一幕很动情，黄金花终于放飞了自我一次，和社区几个老姐妹去唱KTV，一起合唱《风的季节》。这首1981年的粤语金曲在2018年的抖音上又翻红成了神曲。 黄金花欢乐恣意地唱着，但逐渐笑中有了泪。   受到周围人触动、心结打开的黄金花，开始寻求积极自救。她找到了卖雪糕的兼职，带着儿子一起谋生。 但在遭遇儿子走失、小三挑衅、独自难应付儿子自残之后，黄金花杀心再起！ 儿子虽然中度智障，但心里对母亲的一举一动都看在眼里，关键时刻他的哭声和涂鸦唤醒了母亲的心理防线。 这时候，老公也迷途知返，回归了家庭——为了进一层生发张力，这时机掐得之准也是没谁了。   黄金花最开心的事和最大的心愿就是儿子健健康康、乖乖听话，“什么事都不重要，最重要的是我和儿子能在一起”。看着儿子没心没肺地傻乐，她重新接纳了老公。 加入其他师奶一起跳着扇子舞，黄金花尽管动作磕巴，可这就是笨拙却朴素的生命力吧。 影片在《风的季节》的歌声里结束了。 以后的生活会怎样？ 吹呀吹，让这风吹，哀伤通通带走，管风里是谁。   影片里最让我拧紧心弦的话是，黄金花说她最担心的事是自己日后两脚一蹬，就只剩儿子一人，“白头人送黑头人”这句俗话，可能对她来说才是幸福的。 在(女)人自省并重新寻找自我的过程中，最重要是找到自处的立足点，认准自己的价值观，不管能支撑你的是微言大义还是鸡毛蒜皮，勇敢朝前走下去。   黄金花可以指菊花，菊花既可观赏，又能入药，还能泡茶，因为清寒傲立常被文人引作风骨之喻，即使惊惧风雨侵，也总能抹干眼眸里亮晶的眼泪。 我想拥有黄金花一样的生命力。,8.0,,0
3,3,26868408,黄金花,52c4e21f14f9d7b3bfbcd51534573415,342e3694f273db1652c73abbf1672191,3.0,2018-05-04 00:59:34,在「“香港电影”已死」越来越成为某种普遍共识的今天，上个月的金像奖似乎是在为上述论断提供最新的事实依据，在许鞍华作品序列里位于中下游的《明月几时有》仍然为她赢得了最佳导演和最佳影片两项荣誉，香港电影的式微由此可见一斑。 与黄金时期相比，近几年香港电影在武侠片、警匪片、喜剧片等类型片的尝试上鲜有惊喜之作，倒是在家庭题材上涌现了诸如《岁月神偷》、《桃姐》、《一念无明》等一批本土票房、口碑俱佳的电影。如果以这些作为参考系，《黄金花》无疑是一部十足平庸的白开水一般索然无味的作品。  人物关系的失衡 和《一念无明》对准躁郁症患者这一特殊人群类似，《黄金花》的故事聚焦在一个自闭症（加中度智障）患者所在的特殊香港家庭身上。片中由毛舜筠扮演的黄金花是一个自闭症儿子（凌文龙饰）的母亲，作为典型的底层家庭妇女，片中她不仅要承担着照看孩子的职责，同时还得面对丈夫（吕良伟饰）抛弃家庭和小三“丹凤眼”（冼色丽饰）同居的困境。 《一念无明》中，影片的落脚点主要放在余文乐饰演的躁郁症患者身上，并以点带面塑造了父亲、母亲、前未婚妻以及邻居等人物群像，在人物关系上有很好的平衡度。《黄金花》则不同，它将母亲作为第一主角，剧情的主线始终是围绕着母亲的角色走的，其中又以两次打算杀害小三的情节作为剧情的转折和变奏。剧本给了毛舜筠的表演较大的发挥空间，安排了她和儿子、丈夫以及小三的多场对手戏，其中甚至还有几场是内心戏（比如手刃小三），毛舜筠姐在人物情感状态的把握上也完成的不错。 但是个人本来期待的自闭症儿子的形象，自始至终给予观众的面向和深度均有限，更多地我们只能看到自闭症患者的外在表现，比如急躁、难过、自虐，但除了喜欢金鱼、画画等个体独立行为外，我们似乎很难去走进他的内心。可能导演的初衷是放在最后母亲发现儿子画的蜡笔画那场戏，并以此交代很多前面没有交代的细节（主要都是儿子眼神的特写），从而让母亲，也是让观众看到一个自闭症的丰富的内心世界。但也正是这一刻意的安排让导演露了馅，通过在前面隐藏部分本来就不多的细节，然后在最后展示给观众看，这不是聪明，这是鸡贼。一个典型的例子是当母亲离开一起织毛衣的主妇们，藏在手帕里的匕首露了出来，此时镜头切换到众主妇惊讶害怕的表情，但儿子却始终没有朝地上看，而到最后的闪回片段里，镜头又切换到儿子低头看了下匕首，让我们恍悟，虽然儿子患有自闭症加中度智障，但原来身边发生的一切他都是看在眼里记在心里的啊。个人认为好的做法是在前面就交代关于儿子的部分细节，使得观众和导演掌握的信息不相差太多，进而让观众自己从细节去体认儿子的内心活动，这样最后的闪回才更有信服力，也更能让观众共情。 而作为同样重要的父亲角色，影片在处理上显得十分的草率和套路。开场不久，父亲便抛妻弃子和小三在了一起，中间又偶然地与儿子相遇，最后浪子回头金不换地又回归了家庭。这样的情节当然是我们生活中熟悉的，但在电影中，没有动机的行为往往都是不可信的，这也是影片在父亲角色上犯的毛病。父亲的出走和父亲最后的回归都缺少必要的情节铺垫，中间父亲的角色一度就消失不见了，直到最后几场戏才出现，因而我们看不到他身上的情感变化过程，也就无法去认同他离开和回来这两个动作背后的心理动机。  香港的本土性和身份认同 作为现实主义题材电影，必须强调《黄金花》首先是一部香港电影，因此对香港地域性和本土性展示的好与坏决定着影片完成度的高与低。以此为标准，《黄金花》只能说做到了及格水平。影片开头，伴着开场音乐，镜头从航拍的公共屋邨剪切到低角度拍摄的加油站、桥梁、公园、菜市等极具生活气味的场景以及小区里玩耍的小孩、晨练的妇女以及道路上行色匆匆的行人，多个镜头在空间上的连贯剪接对应的是市井的、普通香港市民的香港，而不是那个被妖魔化的作为国际金融中心、贸易中心的现代化香港。 比较遗憾的是，这样带有纪录性风格的摄影主要集中在影片前半段，后半段影片在向戏剧化发展的同时，对于香港本土性的展示却越来越少。事实上，如果和《一念无明》对比的话，《黄金花》在展示香港地域空间性以及电影语言的表达上确实也显得乏善可陈。《一念无明》中，劏房空间狭小的特点被充分的利用，通过一个个固定镜头，电影在表述底层市民生活空间狭窄的同时，也似乎在以劏房的狭窄空间象征主要人物的情感和道德困境。相比而言，在《黄金花》中，除了晾衣架上挂满的衣服，公共屋邨这一空间并没有得到很好的展示，人物和空间的情感联系缺失，相应地打动人的力量自然也就打了折扣。 影片开头所展示的香港的地域特性——生活化、平民化——很好地为后续的故事定下了基调，事实上影片所讲述的也正是香港底层的生活，或者更具体的，是关于弱势人群和他们家庭的故事。这也是影片做的比较好的一点，在聚焦黄金花和她的家庭的同时，影片同时关注着和黄金花一样的底层人物，无论是中年丧夫的卖鱼店寡妇，还是协助她偷渡的儿子同样患有自闭症的母亲，她们都在承受着来自家庭的苦难，也正是因为此，在黄金花遭遇问题时是她们给予了她鼓励和帮助，因为她本来就是“她们”中的一员。影片多次出现黄金花和主妇们一起的场景，无论是一起织毛衣聊天，还是一起K歌、跳舞，她们寻找的不仅仅是消磨时光的闲暇，更是在彼此身上找到的身份认同感以及由此带给她们的宽慰和同行的力量。  被错置的假想敌 比较遗憾的是，在影片后半段，这些展现底层群体生存状态的画面常常只是作为点缀出现在复仇小三等戏剧化场景中间，后者似乎更是导演想要表达的重点，好像小三才是黄金花和她的家庭当前所面临的困境的症结所在。为了达到展示效果，导演不惜安排两段冗长的从计划到实施到放弃的手刃小三的戏码，还把小三和黄金花面对面相遇、小三上门并且调戏她的儿子以及小三到冰激凌售卖车撒野等片段做了电视剧化的处理和展现。但即便到最后，小三“丹凤眼”的角色仍然是扁平的功能性角色，电影把她脸谱化地处理成勾引别人家老公的狐狸精形象，却又从不给我们展示她的人物动机，哪怕是她的生活片段，即作为护士上班的片段，也被当作她作为貌美的狐狸精勾引男人的例证。 可是小三真的是问题的关键所在吗？显然又不是。正如黄金花看到儿子的绘画后恍然大悟并放弃杀小三的念头一样，对自闭症等特殊人群应有的关心和重视、尝试走进他们的内心并体认他们的喜怒哀乐恐怕才是真正理解他们的路径。而对于父亲而言，离开家庭与其说是对妻子的背叛或对小三的喜欢，不如说是对于照顾儿子这份责任的逃避，或者对于无法帮助儿子、缺少来自儿子正面反馈后的沮丧与放弃。 结局当然是快乐的，母亲理解了儿子、父亲也回归了，可是对于这个特殊的家庭，问题真的解决了吗？不要忘了最后黄金花接受采访时平静说出的话，“白发人送黑发人，对我们来说是种幸福。”,7.0,,2
4,4,26868408,黄金花,b997ea76f36379b90391a50de9e466b8,2c1f0ce8cb53a2670d116403a5cca929,4.0,2018-04-10 23:18:13,很庆幸陈大利导演能有这部注重社会意义现实题材的《黄金花》，关注自闭症和智障群体。4月15日的第37届香港金像奖4次提名也是对本片的认可和关注。本片儿子的扮演者 凌文龙的演技深刻的传达了这个特殊群体的点滴和他们的世界，毛舜筠老师还是一如既往的演技实力展现—— 一个母亲的不易和陪伴的点滴。这是一部需要静下心来看的戏，4月20日全国院线上映。作为一个从业者很清楚的知道这部片子的票房不会好，没有波澜起伏的剧情冲突，没有炫彩斑斓的视觉冲击，没有当红巨星的流量保证。是一部带有明显生活色彩的类纪录片（有点偏向）但是电影的意义不止于此，展现一种人文关怀和引起更多观众的思考更值得我们去推崇。我不是说这部片子绝佳，但是看到你会有所思有所感。,4.0,3.0,0
5,5,26868408,黄金花,a4dea72251063f3a671e4c773a761f96,e569663505021a217752d6fa28ae0dcb,5.0,2018-05-03 23:43:58,力荐黄金花，原因之一是饰演黄金花的女主毛舜筠（毋庸置疑的有演技的有样貌的实力女星），力荐之二是电影所关怀的小人物（弱势群体）的故事； 《黄》片我看了三遍，每遍的体会都不同，第一遍粤语香港版，第二遍国语内地版，第三遍粤语内地版，这三种囊括了《黄》片的各版本各角度的诠释。毫无疑问的，最深刻直击内心共鸣的是粤语版本，语言和肢体完美结合促使了内心的化学反应。 我想深入谈谈个人对电影各种感受，影片中很深刻的片段有黄金花第二次预谋杀情妇的红色片段，对于该片段联想式的情节安排，我和我的朋友在放映结束后都有各自不同的见解，我认为片段是黄金花脑海中联想，朋友则认为片段是光仔脑海中的联想，觉得都合情合理，或许导演想表达的是妈妈和儿子脑海中交织的联想，意味深长。 另一个片段则是金鱼覆水回收的镜头，拍摄用了一种倒镜头的方式，想表达一家破镜重圆，亦或是想回到过去平静生活，或更想回到黄金花怀BB时不去追赶老公前的生活。 该镜头用得高级，个人很喜欢。  电影中处处可见金鱼的影子，从浴缸中的鱼到背包上鱼的挂件再到最终落画的整屏海族馆的鱼，预示着自闭症的孩子如同鱼离不开水般离不开家长的细心呵护，据说金鱼只有七秒的记忆，好比自闭症的孩子，所以结尾处采访黄金花的时候，黄金花淡淡地说养一个等于人家养三十个，平淡而心酸，直击人心。谈谈演技，毛姐把这个平凡、坚强、辛劳、充满爱恨情仇的自闭症孩子的母亲淋漓尽致地演绎出来，细节地处理都恰当到位，没有做作、夸大，留下的是温存、回味，不愧是金像奖最佳女主角，实至名归。凌文龙演绎的光仔，感觉就是真实，一个新鲜演员银屏处女秀如此精彩，很看好他的未来，金像奖最佳新演员当之无愧。影片谢幕时候，特别鸣谢的区丁平，香港大美指，感觉电影中某些细节处理手法有着他的影子。 不得不赞一下，电影中的音效处理很不错，音乐的选用也很深入人心，tomorrow is another day 童声给人希望。整部片子，不煽情但感人。 不过剧情的厚度还略浅，演技带动了剧情，还是很值得一看！给电影手动点赞👍,4.0,,0
6,6,26868408,黄金花,87dfac1d93a2765e8404843548e8bfdb,5e7ba752374586ef4036fac58e352e73,5.0,2018-04-29 19:49:48,是真的不错，由于原来的评论想删了不知道怎么删，所以在凑字数！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！哈哈哈哈哈所以要实打实140个字吗,2.0,1.0,0
7,7,26868408,黄金花,e3eef5f449cd40a13b77f9f6d39aebf2,9a5734444137acfb5e876707576d2b31,,2020-08-23 10:21:41,l聚焦这样一个家庭，导演能忍住不刻意煽情，着实不容易。但导演躲开了廉价的煽情，却没躲开逻辑bug。电影里黄金花说儿子背她名字、电话都要背5年，可是仅仅看着黄金花记录小三生活作息、洗刀，就能推理出黄金花要去杀小三。这样的理由在我看来是不能信服的。瑕不掩瑜，本片能够将“无望”这个有些虚的词塞进每个观众的心里，已属难得。,,,0
8,8,26868408,黄金花,ac65ae63eb6400971ecb2014d5787bea,784e853a52d8adbe47da7d95ae36d2e3,,2020-07-09 21:16:10,我站在地铁里面，俯瞰这个机械流动的电梯，它运载着一批一批过往的乘客，跟我一样，做着流水一样的工作。 对于一个哥哥粉丝来说，毛舜筠最大的标签是哥哥唯一承认过的前女友，他第一次求婚的女人。这场电影很催泪，华莱士的餐巾纸不太好擦。金鱼在电影里面一直都是生命的象征。演员的演技很有张力，对于小众群体的描绘其实对各个阶层的人都很有感触的。带大一个自闭加中度智障的小孩，那是没有办法想象到的艰难困苦。跑步，唱K，师奶聚会，买菜，去公园玩……快乐来的太艰难了，像是皱纹太多幻化的。想到了《告别天堂》里面，方可寒得病，天杨说，谁都在还，用各人的方式方法。谁又比谁呢？那些我们不曾得到和不曾承受的东西，一直都有其他生命担载。尼采也说过，英雄是看透了生活的本质依然热爱生活的人啊！这部片子的英文名是：Tomorrow is an another day.这是《飘》里面斯嘉丽的台词啊，我哥哥爱看的电影！真是不可思议的缘分呢～,1.0,,0
9,9,26868408,黄金花,680a352416e5179fc9904f655441adc0,13d9e09cbe1ea0ff77fc09d2b6e0ab43,4.0,2020-03-07 13:48:35,最近看了《岁月神偷》，其次看了《黄金花》，两部都是悲情电影，但是前者更多的是表达一家人在大时代背景下要面对种种突如其来的不幸，但《黄金花》的手法不一样，更多的是想表达“身处绝望，如何与痛苦和解”。一个有自闭症和轻度弱智的儿子、一个背叛家庭出轨的老公组成了支离破碎的家，毛舜筠一颗绝望的心早已经想离开这个家了，可是让人放心不下的还是这个时不时情绪失控、打自己的儿子啊，在ktv里，一首徐小凤的《风的季节》，配上眼泛泪光的毛舜筠，太多忧伤与绝望在心头，能否让风把哀伤与绝望通通带走呢。电影通过发现小三、计划刀刃小三为桥梁，到最终通过儿子的画和呼喊，让毛舜筠再次回到现实生活中，释放自己，和自己和解，虽然老公不中用，但最后结局这个男人还是回到了家，一家人最紧要齐齐整整！毛舜筠和凌文龙的演技真的太棒，给这个平凡的电影添加了不一样的颜色。,,,0
