,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26875259,一级机密,5774fac0e8a3a3f12f25da85da2a6ba7,4135eae4b0d52fb061ea8a5cbc9ee3b1,3,2018-03-07 16:59:55,影片由金玉彬，金相庆主演。影片基于真实事件改编拍摄，题材大胆，节奏不紧不慢，人物感情有些渲染不够，细节一带而过。韩国的电影一贯擅长且又热衷的军政黑幕题材。但其实这部片子一般，黑白人物脸谱化过于明显，剧情的走向及剪辑节奏还是不够。         影片讲述了苦心于围绕一级军事机密在军队内部发生的贪腐事件的将军（金相庆 饰）得到电视台女记者（金玉彬 饰）的帮助追查事件真相的故事。正如有人所说韩国电影已经不满足于揭露警方的黑幕了。         该片是韩国已故导演洪基善生前拍摄的最后一部作品。         得知一些事情后觉得导演的执着追求比影片本身的价值更加珍贵。,45.0,2.0,0
1,1,26875259,一级机密,323fa53eff39b0175c190244578699aa,323fa53eff39b0175c190244578699aa,4,2018-10-25 11:18:34,这部电影真正做到来源于事实。不是照搬，不是创造，而是组合。影片最后，罗列出一份资料： 1997年国防部军务员朴某揭露了进口飞机零部件高价买卖舞弊真相。他被百般刁难，辞了采购部的职位。 2002年空军航空事业团上校赵柱衡，就关于数兆元的第二代战斗机购买过程，提出了质疑，但以泄露军事机密罪被起诉，2004年被判罪名成立。 2009年鸡龙台勤务支援团少校金英洙亲自上电视揭发了军供舞弊，但被调到其他部队，后来转役。 联系到最近《空军时报》10月22日的报道，美国空军三年来采购易碎咖啡杯，每个1280美元。而按照美国空军部长自己的话说，用3D打印的话，每个50美分就搞定了。明明是关乎国家安危的军事采购，居然如此贪得无厌，的确也是骇人听闻。 正如片中所展示的，明明就是比市场价高出420倍价格买的零部件，那么至少质量好点吧，没想到还是回收的废品零件。真正就是荒谬至极了。而且，更严重的是背后的运作思路：空军部长，与下面的采购部门，形成“家人”的关系，甚至每个人手头都有一张妻儿姓名建立的存折，共同受贿，一起洗钱。而空军部长获得的钱就是拿来供奉那些国会议员，甚至可以触及总统位置的人，这样他们的运作，不仅毫无破绽，而且就算出了事情，也会沆瀣一气，共同了事。因为有这样的背景，部长一方面可以随时拿“官衔”来安抚下属，另一方面即便“对立的监察部门”要对自己出手，也随时销声匿迹。当然，这样贪婪无度的结果，应该会出事才对。不过他们才不在乎呢。比如死了名空军毁了辆战斗机。明明是因为一点蝇头微利，为国家造成了巨大的损失。但是他们不仅没有反思检讨，而是嫁祸于飞行员，指责他生活不端，声称他酒后开飞机，这样一来，死者不仅无辜受害，而且还要背负历史的骂名！亲人也会因此而蒙羞。 想想，有谁敢于“反叛”部长？但是主人公站出来了，因为良知，也因为军人的忠诚。他弄清楚了，反叛的是部长，但是他站出来才没有反叛国家反叛人民。但我们看到影片最后的“胜利”，再看到片尾罗列的“真相”，我们也青醋了，这么多年，这么多人站出来，依然没有改变什么！再想想，韩国总统基本上都是“受贿”受审入狱的结局，我们似乎看到了一个无法解决的圈子，背后隐藏的利益集团。当然，我们也看到一个问题，韩国这么多的电影，敢于“揭露真相”，这样的剥削有多大，反抗有多强的民族也是震撼了。 这让我们看到了韩国电影的力量，真实的力量！,23.0,1.0,12
2,2,26875259,一级机密,0f6aca0ad52d85a71b1817ef20d8cebc,8a301468d9d712f518f137be86b79e78,4,2018-01-26 13:35:57,"1月24日，与影片《美丽人生》同一天上映的还有已故洪基善导演的遗作《一级机密》。本片主要讲述一群打着国家名义的高官，背地里进行的见不得人的交易暴露于天下的故事。这也是韩国首部以揭露国防腐败为题材的影片。 丁一宇也客串了本片，他在片中扮演空军飞行员大尉江英宇，他在发现战斗机零件供货存在问题之后向中令朴大益寻求帮助。虽然出场戏份不多，但留下惊鸿一瞥。
 丁一宇 《一级机密》于24日公映之后，受国内外大片的挤压，排片并不理想，首日观影人次才不过33,298人，令人不禁感到惋惜。首日预售率仅有4.5％，甚至预售排名位于已上映多日的《那才是我的世界》、《寻梦环游记》、《移动迷宫3》、《与神同行》、《通勤营救》、《1987》之后，暂列第7位。 其实本片早在李明博当政的时候就已经策划，但由于题材敏感，所以没有公司敢投资，最后还是在地方影视委员会和个人投资者的赞助下得以艰难开机。后在朴槿惠任期内拍摄结束，最后李恩（暂音译）导演继承洪导的遗志最终完成后期制作，直至文在寅总统上任后才得以见天日。 制片方表示影片上映前一天便遭遇排片难，去年本片曾在富川国际奇幻电影节展映，当时在10分满分的情况下获得9.5分高分。本片无论是在大众趣味上，还是电影人评论方面等都被给予了很高的评价。一般在电影上映之前，都会提前5天开放预售，而《一级机密》仅在上映前一日预售才得以开放。另外，个别影院首日将本片的排片时间段安排到上午或深夜1点等，这种有失公平的排片，让本片在上映首日就失去了和其他影片公平竞争的机会。 制片方代表安勋灿还表示，本片就像洪基善导演曾经执导过的《用心中的刀砍去那悲伤》、《选择》、《梨泰院杀人事件》等一系列作品一样，揭露社会存在的各种不合理现象。这部作品是洪导耗时8年精心准备的一部作品，以其始终一贯的视角对社会进行冷静的剖析，引发大众共鸣。 其实一国的国防腐败等犯罪不单纯是金钱的问题，这种扰乱军纪，置国家安危于不顾的行为应该引起每一个国民的关注。洪基善导演素来以文艺为斗争武器，毕生追求自主、民主、统一，反对傀儡集团的法西斯统治。逝者已矣，希望更多人能看到洪导耗尽毕生精血拍成的这部作品。 完整故事梗概：  空军战斗机坠毁，仅今年一年一发生三起，“又是飞行员的过失？” 他们想要极力掩盖的事实，大韩民国民众所有人都应该知道！ “朴大益”（暂音译）刚刚就任国防部军需部航空零件采购科科长。 一天，空军战机飞行员“江英宇”（暂音译）找到朴大益，提出战斗机零件供应企业很可疑。 朴大益在核实采购零件合同的过程中发现供应商仅有美国企业AirStar一家。 恰巧这时又传来江英宇飞行员战机坠落身亡的消息， 朴大益亲眼目睹了上面为了掩盖此事，将坠机责任推卸到飞行员身上，对此大受打击。 随后朴大益暗中调查，发现供应次世代战机的AirStar公司与美国五角大楼及韩国国防部存在不可告人的秘密。 宠爱女儿的朴大益想成为世上最勇武的军人，于是他联手记者“金正淑”（暂音译）决意揭露这群打着守护国家名义的卖国贼......   原文链接：http://mp.weixin.qq.com/s/3O2sgeg83g_3zBNbiSVP2A",24.0,5.0,2
3,3,26875259,一级机密,3786da01a860d12dc134c0dc282d9443,b1e7ed84b728935e318f8bfec1018e9b,4,2021-12-14 01:23:56,深夜粗犷的浏览了这部电影。剧情很简单，但震撼人心。 为主人翁身为军人坚持到底，不畏强权，刚正不阿的勇气和精神折服。可能戏剧化，真实事件我没有了解，但我很清楚，这种人，放在我们这样的社会环境，电影里活不到半集，或者被腐化，或者被灭。  好多朋友感叹，韩国敢拍这样的电影，敢涉及这样的题材。其实，细思，不是“敢”，而是韩国电影人能这样去拍，能涉及几乎我们不敢想象题题材，这是值得我们去羡慕，值得我们每个人认真独立思考的。宽松自由的创作空间，可以给有才华有想法影视创作者灵感，更大的作用，通过不断揭露社会黑暗面，推动社会前进。因为有这样的电影，韩国那些黑暗腐败的蛀虫才不敢继续侵蚀人民，有这样的电影，韩国那些头戴乌纱帽的“公仆”做事才能尽力规矩，尽心“为民服务”。能拍这样的电影，是这个民族高兴的事，他们真的很幸运，很幸福……  所以，我想，表达韩国电影人“敢”的朋友，应该是羡慕人家“能”拍这样的电影，我也很羡慕。也许，不就将来，我们的电影人一样会有更多的素材，更广阔的空间去给民众拍摄出一部部瞠目结舌，精美绝伦的电影。 一级机密 (2017)7.32017 / 韩国 / 剧情 犯罪 惊悚 / 洪基善 / 金相庆 金玉彬,1.0,,0
4,4,26875259,一级机密,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3,2021-06-02 07:13:36,影片基于真实事件改编拍摄。讲述了苦心于围绕一级军事机密在军队内部发生的贪腐事件的将军得到电视台女记者的帮助追查事件真相的故事。据我部队从业六十多年的亲戚所知，本土此问题更甚之。总有勇敢的人在战斗~为韩国电影的勇气喝彩原来是讲述悬而未决的巨大黑幕，片尾还顺带提出了令人心痛的相关。导演准备了多年，这种选材，勇气不一般。拍摄完毕因心脏麻痹去世，不想去联想什么，遗作能公之于世就是对导演最大的尊重。,1.0,,0
5,5,26875259,一级机密,0576912207509dae4d454fddee1f83fa,0ed150d761cf9e0829fe35527846f493,4,2018-11-18 04:29:13,看完有些感动 韩国电影的手能伸到军部了 ... 看了很多类似的韩国电影  剧情也基本上能猜到 可是每次看的时候 还是会有不同的感觉 相同的震撼 影片中男主朴军人 朴实 耿直  是一个坚持原则 坚守信仰的军人 他说 身上的军装不是贪污腐败的军人给的 而是大韩民国这个国家和市民给的 他说 当他站出来作为军人内部举报的时候 他很怕 可是他最后说 作为一个军人 就算要死 也要死在战场上 当揭露千部长成功的时候 部长当着记者和摄像头的面 拿着枪指着他 我看到的是军人的勇气 是他坚定的眼神和决心... 整个观影过程中 会问自己 如果是我 我会怎么办 当自己受到孤立嘲讽 前途渺茫 当自己身边的亲人 家人受到威胁 恐吓  当自己曾经坚信的东西受到冲击 我是不是还会去坚持 那所谓的正义 .... 人们总说 人在江湖 身不由己 大概这就是身不由己吧 可是也总会有那么些人 抱着当一颗炮灰的决心 决意要去碰壁 决意要去改变   ...... 只是在最后看到朴军人在电视上的独白的时候 一个念头闪过我脑中 影片中这样的一个人 做成了这样一件事 会不会是其背后会存在有千部长对衡的势力所操作...如果是的话 朴军人可还真是一把利剑 看完会感动 会思考 也还会有期待。,2.0,1.0,1
6,6,26875259,一级机密,857b855fd0729718ec9cda821419a2f0,80e2d7c18ea4afb1f5ef0ab0130df9e4,4,2018-05-13 19:51:36,一直都很佩服韩国人敢于打破尺度，突破禁忌拍摄这样的题材，敢于直击社会现实与历史遗留问题。在舆论管制被打破以后，韩国这些年的电影质量还是有着巨大的突破的。但对于言论受到严格管制的其他国家的人们来说，想要做到这一点算是可望而不可及的。这使我觉得，韩国电影比韩剧更为出彩。虽然，这些电影中有些在故事情节、逻辑架构、人物关系等细节方面还有让人诟病的地方，以及有时候为了推动剧情发展，不得不搬出来的“主角光环”，让人感觉很假。但是，这样的题材能够被拍出来，并且过审，已经是巨大的进步了。剩下的，就交给时间来改变吧。,4.0,3.0,0
7,7,26875259,一级机密,b86cbd3c66d50b2435fef72e938d0d31,131a4ae3d376b9bca8e8a94dac6e8402,3,2018-04-07 04:47:57,政治题材的亚洲电影，我一贯的佩服韩国。无论是真实事件改编还是艺术灵感创作，他们都敢于承认历史、批判现实、直面焦点。无论哪一个年代的故事，他们都敢于去从新闻、艺术的角度来讲述、传播那些有必要被大众知道的故事，好的故事传承发扬，坏的故事批评警示，这种批判现实的精神很能从文化层面体现一个国家一个民族对自身发展的要求。冲这一点，韩国的电影工作者是非常值得尊敬的。 说回这部反腐题材的电影，个人给三星半，值得一看。严肃的题材注定了电影沉重的氛围，故事节奏还算紧凑，主角从登场亮相就给人一种刚正不阿的大头兵的感觉，随着故事的推进和人物的深入，主角俨然走向了正义的军人形象，这部影片讲好了一个故事，这就够了，其他的没什么太亮眼的地方。 每个国家都在反腐，这一次，洪基善导演把焦点放在了军届，从空军腐败影射到整个军届腐败，继而影射到政治腐败。最近几年国内反腐题材的作品也有很多，尺度也在逐步放大，而像韩国这样，尺度大到几乎就是事实的电影，无论拍摄、制作怎么样，在故事上，在大众心中，这部电影就成功了。,1.0,,1
8,8,26875259,一级机密,b398c7efb01a150315b71524df9ecf18,d10cda85cdf3ed6d929feb8e20379f69,5,2018-03-09 20:40:36,"就电影而言，我认为这个电影的意义不同其他。
小时候会把人分成好人和坏人，当然没有哪个小朋友会去选择做坏人，大家也都在小时候有过相同的梦想，当警察，因为惩恶扬善，伸张正义。然而，长大后呢？
若真的在内心问问自己，倘若真的身居在那样一个有高层赏识，名利地位都令人羡慕的位置，会不会禁得住诱惑；会不会在大家都得过且过的时候坚守自己职责，尽心尽力的去工作；会不会同流合污；会不会在错误面前怕担责任怕毁前程而掩饰；会不会放弃一切去和想象不到多强大的势力斗争一下……还是会默默地跟在这个你明知是错的的队伍里，成为一家人，渐渐也变得利益熏心。 只是一个小小的普通人的我，可能这辈子也无法真的身处其中，但却能真真切切体会到，只身一人的呐喊，抗争是需要多么大的勇气才能做到。电影里女记者和pd也在最初怀疑朴大尉把事件爆出来的目的，难道真的是只为正义嘛？其实随着我们每个人慢慢长大，欲望也在增加，想要的东西越来越多，但渐渐忘了，最最开始的时候，我们只是一个人，作为人，要坚守自己的底线，要有自己的原则。 在现在的社会，在金钱面前，原则啊品质啊三观啊，渐渐变得不那么重要。记得在三色幼儿园被爆出来的时候，有这样一句话让我印象很深:你平日吃着地沟油，喝着污染的水，到处乱插队的交通，各岗位能混就混，能捞就捞，就这样的一个社会，什么让你有逻辑相信突然有一群像天使一样的人在呵护你那还不会说话的孩子?很多人不明白，守住自己的底线，这个社会才会有底线。你不能指望你在用地沟油给顾客烧菜的时候，你在给病人动手术收红包的时候，你在随意排放污水到江河的时候，别人要像天使一样。 所以啊，不管世态怎么变，我们绝不能忘了自己的初心，不要忘了自己的原则和底线。朴大尉为了正义，甘愿抛开地位，抛开前途，抛开家人，其实是在坚守军人忠于祖国的原则。有人会问这样做真的值得吗?其实人生的意义并不局限于你的权利和财力，不如放眼望去，究竟你的存在让这个世界，这个社会有没有那么一点不一样，这才是属于你的独一无二的存在的意义。 最后真的，虽然大家都不太喜欢韩国这个国家，但只看电影来讲，能把事件拍出来，去直视他。一个国家感觉面对自己的错误，我觉得是非常非常了不起的一件事，这是国家发展更好的前提和基础吧。虽然这似乎和现在韩国的形象有所差距… 最后最后，在结尾，突然得知这是这部电影的导演洪基善生前的最后一部作品，心里有点酸酸的，百度了一下，有这样一句话来描述他:以文艺为斗争武器，毕生追求自由，民主，统一，反对傀儡集团的法西斯统治。打算补一下这个导演的作品…",6.0,,0
9,9,26875259,一级机密,5e0ff4d628eb668b478944dfcb68a3bf,e771b16d47121db33e12f176afca1309,3,2018-02-26 13:11:00,又是一部以真实事件改编的电影，已故洪基善导演历时8年历经3任总统才得以上映的影片，这过程的艰辛和阻力可想而知，最根本的原因就是敏感的题材触及了一些人的底线。 人大体可分为三类，好人坏人墙头草。像朴大益这样坚持为国家献出生命的军人已然不多了，而不惜一切代价揭露真相的人更是少之又少，他面对的是构建多年的庞大的集团利益网。这个看不见却感受得到的盘根错节的关系被他们称为家人，以利益为最终目的假惺惺的信任，发现不同路后的排挤欺凌，坏人们的心狠手辣，墙头草们的沉默不语，让这场没有硝烟的战争异常艰难，最终落得两败俱伤。 一级机密明着指的是军方机密，不言而喻的却是军方各级勾结的贪腐秘密。遵守规则且道德责任感强烈的人永远是负重前行的人，如果都像朴大益们那样，这个社会将是清白的社会，可惜，这只是期待与想象……,4.0,1.0,7
