,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26932875,今天开始世界属于你,7e5e65f6ff0a8f1601380a204fb3a666,764a002d42876599ceb6070365f34751,5.0,2018-06-03 21:19:29,"这篇影评可能有剧透 

                        這不是講宅女走進社會的故事，更不是愛情片。 你要好好坐下來，看這個叫真実的小女孩，從被媽媽丟掉一點點收集起來的寶貝默不作聲，閉門一張張臨摹漫畫連眼睛細節都畫得那麼認真，只會點頭回答“是”、“好”，到能把自己看到的世界畫進畫裡，到搖頭拒絕媽媽拉著手“你離不開媽...

                         ( 展开 )",23.0,,0
1,1,26932875,今天开始世界属于你,7931d08b98c23e18540bb5b26fe33325,afd119074d24cdb50d7e9d42c1785975,3.0,2018-09-12 22:34:08,"这篇影评可能有剧透 

                        电影还可以吧，全程进展的很缓慢，但是丝毫不会想快进。个人比较理解女主，因为我和女主差不多，我已经很久没怎么出过门，除了上班和楼下超市买东西外，几乎都没出过门。刚开始步入社会的时候，我也不是这样的，我不还没那么内向，可是发现受的伤害越多，就会把自己锁在一个房...

                         ( 展开 )",11.0,,4
2,2,26932875,今天开始世界属于你,18115cfe347ed4a04b73c8c784ef6edc,c36a5c62b57bbf712f0c6a8a17fbccdb,5.0,2018-05-10 16:44:51,"非常棒的片子、很暖、北野武式的温暖、演到翻看真实的绘本的时候、里面那些画一下就让我想起了北野武、想起了hana-bi和dolls、另外不得不说的就是配乐、单拿出来很好听、更关键的是和画面剧情走向非常配、一查原来是川井宪次做的配乐、川井宪次的音乐水准一向很高、但近几年他...

                         ( 展开 )",6.0,,0
3,3,26932875,今天开始世界属于你,ec0febedca612e9c00f745d2a76b9e1e,6e2a6c823e66bd63c7461b1eb0df9e2b,,2021-12-03 07:15:11,"What I want to say today is a story that has nothing to do with me. As friends all know, I am a scientific blind person. I know nothing about science except psychology, philosophy and sociology. However, these are all social sciences, not natural sciences. ...

                         ( 展开 )",,,0
4,4,26932875,今天开始世界属于你,359ffd2bde3a68fe16e253d852033649,2ed92a97fadcf6455220edff131cdde2,4.0,2021-01-29 03:06:42,"首先电影的""爱情/剧情""标签也不知道谁贴的，过于鬼扯。 这部电影的主线，有且只有一条，就是小沼的个人心理成长。 小沼从一个封闭自我、自我评价完全依赖于外界的家里蹲，到逐渐融入社会，积极探索外界的正常职场人，其实最大的动力是来自于她【自我意识】的觉醒。 一开始的小...

                         ( 展开 )",2.0,,1
5,5,26932875,今天开始世界属于你,b38fac2fee6285145c40094139d6d062,75fe2bae8013252a8129a1550c3cd0e8,5.0,2021-01-15 09:26:03,"这篇影评可能有剧透 

                        昨天度过了忙忙碌碌的一天，一天之中唯一的一个闪光点就是：晚上的时候解锁了一部很治愈的一部电影，这部电影优酷上面的名字叫做《天才少女》，但是在豆瓣上的名字叫做《今天开始世界属于你》，我觉得我现在就是一个精神处于崩溃边缘的人物，我是在硬撑，每天的时候我又要看一...

                         ( 展开 )",4.0,,0
6,6,26932875,今天开始世界属于你,280a5ebcaedba9ce6795af82a4fc2f35,e14871cce62497e6869e59fa9c82e011,4.0,2021-01-10 20:44:44,"虽然我没有自闭症，但是偶尔也有很想把自己关起来不想和外界交流的情绪。看到女主一步一步地重回社会，虽然很多不是她主动地踏出，虽然起初她也不认为自己重回了，又辛酸又感动，也不知道在哪一步，共情的眼泪就流下来了。希望所有自闭的阴沉的情绪都可以被生活里的小确幸慢慢...

                         ( 展开 )",1.0,,0
7,7,26932875,今天开始世界属于你,b87ec77965a1c56a70a6f8a385d0b788,b892adeab0e2d3cf81a02c291671a8f8,,2020-12-19 22:03:43,"这篇影评可能有剧透 

                        你是否意识到，你现在身处的这个世界是属于你的？ 以前会觉得，一个人弯腰驼背的，社交会异常害羞的，可能是因为TA不自信，TA没有底气面对这个世界，或许是因为物质上的差距，或许是对自己相貌上的不满意，或许是自身的某个方面落了别人一大截，所以无法正常面对。 但是这则影...

                         ( 展开 )",1.0,,0
8,8,26932875,今天开始世界属于你,c613e3a805a0a87cb63df86b7ab5826c,223c96943ddd03e257eed34934f53c8d,,2020-08-13 22:43:59,"宅这种复杂的社会状况到底是怎样形成的？人又是怎样一步步变成宅人的？有社会大环境的发展变化 也有成长中某个瞬间某个挫折或者遇到的人决定了你的生活和未来，对于女主来说使她变成内向宅女的人正是她那个说话嗲嗲的看起来温柔无辜人畜无害其实恶魔一般的母亲。 嫉妒自己的女...

                         ( 展开 )",1.0,,1
9,9,26932875,今天开始世界属于你,f92b2c122c635b0f33f80c2320ddd2c2,efea78ddcdbe7ae1cae057191746e612,5.0,2020-07-31 07:17:27,"门胁麦把小沼真实的自闭性格饰演地很到位，从走姿上很加分。自闭的人在动作上会有些不协调，因为放不开。因为自闭，所以缺乏自信。结尾小沼真实与妈妈的一番谈话让她意识到了自己的问题，她开始改变让自己对自己要有自信，开始接受自己的看法，最后走路开始正常大概就是导演给...

                         ( 展开 )",,,0
10,10,26932875,今天开始世界属于你,4a18cb756b0cbb98a91c0897109934f7,5058f1af8388633f609cadb75a75dc9d,,2020-05-31 21:42:07,"这篇影评可能有剧透 

                        很喜欢 色调温暖舒服，片子里的所有人都是快乐的，却唯有小沼真实是活在自己的世界里，没有光，没有人真正了解她。 小时候一个人，收集的无数快乐在一瞬间被最亲爱的人打碎。并不觉得妈妈的做法是她说的那样“我一直觉得我应该怎样对你才好呢？”打着为我好的名义对造成的伤害...

                         ( 展开 )",1.0,,0
11,11,26932875,今天开始世界属于你,4924dc3da1600a1dc04db7ff7e855202,ac4682066c3c04153cd5dd4fd52eb284,,2020-04-06 21:35:47,"这篇影评可能有剧透 

                        看完整部电影，很想聊聊剧中的父母，聊聊剧中被人饱受诟病的父母。该电影是一个自闭的女孩一步步走出来的故事。父亲对她的了解太少，母亲对她的否定又太多，但是不难看出他们都是爱她的，只是不知道怎么去爱。很多父母都是这样，就像《请回答1988》里说的那样，“爸爸我，也不...

                         ( 展开 )",2.0,,1
12,12,26932875,今天开始世界属于你,41b69269c17fc3b05f232ec5617fb0bd,461050af4990f42efba42e1836ace849,4.0,2020-03-13 14:31:42,"这篇影评可能有剧透 

                        日本有不少这样“无法上学”的孩子，中国也不少。人们可能统称这些孩子为“自闭”的孩子，但从案例看，这部分原来可以上学后来无法上学的孩子在神经发育上并不存在问题，而是由于一些事件的刺激(而且主要是家庭关系上的事件)导致身心失调，开始拒绝社交、拒绝成长。他们不是丧...

                         ( 展开 )",4.0,,0
13,13,26932875,今天开始世界属于你,e39b34d6bcbf34ecca0bd4b5a2a0722b,65438f5f0509a3a894b49fd649496ebb,3.0,2019-10-27 01:15:44,"这篇影评可能有剧透 

                        也不算什么影评，只是看了这部电影后想起来自己以往的一些事，想写下来看看。 女主通过画画这个技能渐渐融入社会这个经历想起小时候有些许自闭，内向的自己。不知道什么开始就很害怕跟人交流，更害怕班级里的集体活动，什么活动都只会默默坐在最后面静静地看着别人的一举一动，...

                         ( 展开 )",2.0,,0
14,14,26932875,今天开始世界属于你,b4dd201fb7dfbff3f48eecec1486035d,bb20391ce4f360959aee484df2511ed7,3.0,2019-09-01 15:35:54,"这篇影评可能有剧透 

                        周日闲适的下午，窝在家里点开了《今天开始世界属于你》，看完突然也想写些什么…… 女主有些自闭，说话声音小小的，走路时摆动的幅度也是小小的。对于父母的意见从来都是简短的回答“是”或点点头，好像没有自己的想法。就这样，在被上家兼职的地方辞退后，爸爸又帮忙找了个游...

                         ( 展开 )",3.0,,0
15,15,26932875,今天开始世界属于你,0faf24d88d467a8558cc762315942d7e,0f2c09900538e423ab0e554d20248a92,4.0,2019-08-08 21:29:41,"印象深的是女主误解是妈妈拿走了她的画稿，然后和母亲对质，让一直对母亲有隐隐抱怨的她说出个这么多年一直想说的，“都怪你……你总是不让我做想做的事，小学的时候我想上钢琴课，我想去私立学校”而母亲的回答是“这都是借口，你对自己的选择缺乏信心与肯定，我只是说你不确...

                         ( 展开 )",6.0,,0
16,16,26932875,今天开始世界属于你,ea59c40cdb35c8b95917459c14eea06a,4e76c31c1d8b295ca9033c9d17678f16,4.0,2019-06-20 12:13:18,"这篇影评可能有剧透 

                        如果心里有一点浮躁都不适合看这个片子。 故事节奏非常异常缓慢。电影画面色调朦胧，像一场梦，慢慢流动。 情节很淡几乎没有什么起伏。 但这就是真实的人生呐。 上帝不会因为你自闭你丧，就直接加成一个神级技能给你。有人对女主的画技没有封神而感到失望，浪费近两个小时来看...

                         ( 展开 )",9.0,,0
17,17,26932875,今天开始世界属于你,f64f9072f29a76abd2c7a635f97cff8d,f71f43eede7c2cd7fc9ba442ecda6603,5.0,2019-02-02 16:38:05,"这篇影评可能有剧透 

                        非常地细腻温暖，慢，到处都是冲突但是因为是自闭症，因为是她，所以并没有爆发，但随着情节看她一步一步化解那些来自家庭的包裹在关心中的阻拦，看到她遇见能帮助她的人，啊，真好啊。 别人的期待，别人的支持，别人的劝阻，小孩子太容易受到影响了，要多多施予正面的给予她们...

                         ( 展开 )",4.0,,0
18,18,26932875,今天开始世界属于你,e35b03d26be37441abad8b6010952304,41a04a70dc1ab9a54c1a42311c581ba7,3.0,2018-05-25 21:48:45,"这篇影评可能有剧透 

                        1、“宅”是一个中性词，不一定就迂腐，也可以指沉淀。有的人“宅”是闭关，有的人却“宅”成了废物。 2、影片的立意是倡导人融入社会，结局也显得皆大欢喜，虽然社会不见得一定面目可憎，但也不是仁慈和谐，所以最后女主的“一步步来”算是让这部影片显得不是那么极端。 3、选...

                         ( 展开 )",3.0,,0
19,19,26932875,今天开始世界属于你,fa1494080c2dd0605edece1f8f3025ac,671cc757ae6c861a7eab488d3ae0af57,3.0,2021-04-14 18:21:21,"日本的电影，很多很多，节奏都很慢，悠长悠长的镜头，话费特别多的交卷和精力等好天气，拍落叶、拍树枝，拍流云，拍海浪。 拍主角轻抿的嘴角，拍女孩侧脸微微颤动的睫毛。 所以要好耐心，要在下雨的下午，要在无所事事的夜晚看日本的电影，按耐着性子，尽量不要去倍速他们的悠...

                         ( 展开 )",3.0,,0
