,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26951953,小戏骨：放开那三国,6dc9a7d5aa5d4a838c7626804faaeb21,9486a8b377192064a90049fdd70c7d91,5,2017-09-05 12:56:25,刚刚看完了电影版《三生三世》，对于杨洋那种面瘫装逼的演技真的受不了。然后再看这部剧，小戏骨真的要完爆了杨洋、李易峰、鹿晗等小鲜肉。不过，老实说，李易峰在电影版《心理罪》中还算是可以的，但是杨洋真的受不了他那种完完全全装逼耍帅的机械表情。言归正传，为什么没有那么多人生阅历和拍戏经验的小孩子要完胜那些以演戏为职业的小鲜肉呢？   1、小孩子的可塑性很高，导演只要调教得好，基本都可以实现导演的意图。   2、小孩子员工的成本低，一个镜头可以拍多个次，那么就可以多中选优。而那些流量小鲜肉都是按时间算钱的，如果剧组要精益求精，万一小鲜肉拍戏的时间超过了合同，那么就要加钱的，所以剧组只能做到只要不是太差就过。   3、小孩子的精力还是可以比较集中的，而小鲜肉因为脑残粉的支持，在国内很有市场，所以接片接的很多，经常跨剧组演戏，这个剧组的剧本还没有完全熟悉，就去拍另一部戏了。而小戏骨们，他们有可能单单就需要把这部戏演好就行了。   4、小鲜肉们耍大牌，很多导演和剧组无法提更多要求，说不得，更骂不得。不是有个段子就反应了这种情况：确实挺佩服鹿晗的，听说有次手被划伤了送医院，医生看完后都很后怕的说:要再晚几分钟送医院的话，伤口都愈合了。   所以，拒绝无演技的面瘫小鲜肉，才能使中国电影更进一步。,83.0,15.0,10
1,1,26951953,小戏骨：放开那三国,ad3989bfbbd82d956f91208e42f798b5,b687bf04a43ba1de75008b373faf1fc9,5,2017-09-05 11:00:13,"总体上来说，是【小戏骨】自【白蛇传】后的诚心之作，再加上【巴别时代】的资金，在画面和武打戏上有了质的进步。
再说说小演员们～
不了解这些小演员们的朋友可能会觉得小孩子还是应该以学业为主，但像我们关注了一段时间的人，对个别喜欢的孩子还是有一定了解的。
像陶奕希，周芷莹，钟奕儿，陶冰蓝，肖扬博涵……这些孩子都是好的学校里面的尖子生，除了学业好外，更是多才多艺，奖状家里都放不下的那种。当然也有学习成绩一般的，想蜈蚣精和曹操的扮演者。 也有人可能会说，都是有钱孩子玩的。我想说他们真不是玩的，更多的是当做一种才艺，一种值得父母骄傲的才艺。中国演技烂街的今天，有些小孩子真的喜欢，从小往这方面发展，又有何不可？竟然小戏骨能在沉淀了几年的时间和众多的信息量中得到关注，想必是市场决定的。竟然有市场，中国人自己不占据位置，那也有老外来占据。一切留给正常的市场需求抉择吧。 至于说有钱",10.0,3.0,0
2,2,26951953,小戏骨：放开那三国,ce7edfa166f0298415c59240167156e1,63e4f3ee9288ae32129477515cfce91e,5,2017-11-02 14:04:18,"第一幕陶奕希饰演的貂蝉一曲舞剑惊艳了全场，集才貌智勇四全，说的就是貂蝉姑娘。 董卓的嚣张残忍，曹操的奸雄谋略，吕布的勇武忠孝，都透过小演员们的演技和编剧的功底，体现在这部三国里了。 本以为小演员版的三国仅此已足够称之为优秀的剧了，但最令我意外的是编剧的良苦用心。 As we know,四大美人之一貂蝉是著名的美人计实施者，她的义父王允是幕后操纵者。然而在这部剧里，貂蝉姑娘的复仇计划推动着剧情发展，在那个相当荒蛮的乱世，貂蝉的一袭红衣，点燃了文明。因为演员是小孩子，编剧用母子情深代替了美人计的桥段。这一点非常棒，生母与吕布相认之后离间董卓和吕布的片段，与原著里的美人计无缝切合剧情需要。面对小孩子，编剧手中的三国，少了色情，多了忠孝。 还有雄才大略的曹操，兼具霸气和谋略，全然体现在小演员的狠辣多疑的眼神中了。一个灭门伯父吕伯奢的小故事，曹操逃命的后怕和疑心、以及他“宁教天下人负我，不教我负天下人”和“一不做二不休”的果敢狠毒，全都演绎在这简短的剧情里，随后夜里独自吃起生肉，也落下过隐忍和孤苦的泪。这表现力，多一份就拖沓，少一份便缺憾。 乱世本就出枭雄，“灭掉一个董贼，只怕是又多了一个曹贼”。若最后小皇帝与众臣举杯欢庆便是结局，我想会和大部分故事一样不可避免落入俗套。貂蝉姑娘缺席庆功宴，走出了城楼，独自一人看到战乱后荒芜的市井，不免心生苍凉之感。忽然，浮现出摆肉摊的张飞，卖草鞋的刘备，挑扁担的关羽，开鱼市的曹阿瞒，连乞丐董卓都老老实实以物易物。活脱脱一出桃花源记，仿佛…天下太平，百姓安乐。剧情一下子升华到黎民苍生，不再是忠臣孝子，国事家事；不再是一人的雄才大略，而是众生的祥和安乐。听到剧终的片尾曲，瞬间泪目。 听到有人叫自己的名字，貂蝉回眸，竟是爹爹！杀了董卓，复仇成功，也不能救回生父！最后一刻她才发现，对父亲的思念和复仇心切，早已转嫁成了对和平盛世的期许。 再次为编剧打call！！！ 最后一集的片尾，终于露出导演团队的庐山真面目。还记得导演那句让我印象深刻的话:“在这里，你们已经是大人了！要有担当！父母可以向你们撒娇，但你们不能对父母撒娇了！” 如果一部剧让小孩来演，要他拿刁蛮任性本色出演一点都不难，但要他拿成熟稳重出演恐怕不容易。无论角色褒贬，孩子们必将从戏中带走了些什么，那么潘礼平导演要求他们带走的是成熟懂事——想必孩子们在剧组受到的教育和感染，要比绕膝于父母好得多。 既然大家都拿小戏骨和小鲜肉对比，那我在这儿就轻撕一下喜欢使用小鲜肉的郭敬明导演好了。作为一个曾经深受郭敬明小说毒害，已经成功脱粉的90后，我想说如果我中学时代多读好书和看好剧，也许早就走上人生巅峰😂😂😂所以我有太多的话想说……相比起郭敬明的作品中传达出来的纸醉金迷、狗血爱情乃至姐妹情深，『放开那三国』这部剧从父女之情以小见大到对和平盛世的期许，格局可谓宏大，作为儿童剧对未成年人有相当重要的教育意义，家长朋友们可以放心地给孩子们看了~~ 最最后PS:祝优秀的小演员们健康成长！其实看到那么多猥琐的弹幕说貂蝉没胸什么的…还是挺担心美丽的小樱桃会被恋童癖骚扰，在此默默祝愿她学业有成，健康成长。",7.0,1.0,2
3,3,26951953,小戏骨：放开那三国,52fea9dead431657711bed657cb6bb91,7898e75c075124d6e40cd8821b7d2d12,4,2017-10-18 16:39:50,看完小戏骨三国，印象最深的却不是哪个故事，哪个人物。而是导演潘礼平给小演员们说戏，经过小戏骨白蛇传，红楼梦等剧的火热，潘礼平这个名字似乎异军突起，代表了中国影视剧孩子军的崛起。  古往今来，很多文学作品，尤其是书籍都有儿童版，为何影视剧不能有？这不能不说是一个很好的创意。而最棒的是，潘礼平团队，通过一系列高水准作品成功地引起了大家的关注。让孩子们在这个时代终于有了属于自己的影视剧作品，让更多有天分的孩子，从小便有机会，跟随好的团队，拍出好作品，实现自己的表演梦。让天赋，在它存在的时刻，便有土壤诞生。而不是作为配角，永远只能以散兵游勇的方式，出现在某一部戏里，演一个孩子的角色的而已。潘礼平，真正让孩子们做了主角，让他们的表演天赋得到了最彻底的发挥，拥有了最专属的舞台和话语权。  其实，在创作领域，促成精彩作品诞生的从来不是技巧，而是专注，热情，执着和天赋，所以，看完小戏骨几个系列，我经常怀疑，成年人其实惯性低估孩子们的能力，孩子们才是天赋寄生的最初土壤，拥有最原始而巨大的潜力，而在大部分成年人的世界里，反而失去了这种纯真与热情。而，对于孩子们来说，如何利用这份天赋，其实非常需要有人可以帮他们把这份潜力引导出来。而在潘礼平的带领和启发下，这些热爱表演的孩子们，无疑是遇到了人生中最重要的伯乐，不仅学到了关于表演的第一堂课，也能够快速而精准地进入角色内心。  “你看到的不是真的，你心里感受到的才是真的”。是的，如果世界上的工作有理性与感性之分，那么表演大约是属于感性的工作，你要听从内心对角色的感受，回应这份感受的最佳方式，就是把你感受到的人物表现出来，这，大约就是表演的原创精神，也是属于你的表演，你独创的角色。  关于小戏骨三国本身，五集的篇幅也只能截取部分章节，剧本改编也非常大胆，截取杀董卓一脉，将貂蝉设定为为父报仇的女英雄，虽违背原著，仍不失诚意。曹操最精彩，误杀伯父一家，再杀伯父的戏，是表现曹操性格的重头戏，非常精彩，小演员演得非常好，要层次有层次，要情绪有情绪，很精准很清晰很鲜活立体，其他部分的表演也相当自然。而董卓这个角色则表演得有些过于用力，还有貂蝉的表演，也常用力过猛。不过，看完小戏骨们不够好的表演，才能知道在孩子们表演过程中会遇到的问题：他们虽然有着最纯真的情绪感知力，可以直接而清晰地走入人物内心，但他们同时也由于缺乏阅历，很多情绪只能以简单直接的方式来表达，不会有成熟演员微妙而丰富的细节设计。但是，对于小戏骨们来说，大部分时候能如此走心已经非常棒。非常期待小戏骨其他系列！,3.0,1.0,0
4,4,26951953,小戏骨：放开那三国,fa7059505c4f58eb48f18b04b385495b,4c1467356e725955d029aba29d66f360,5,2017-09-08 23:31:03,《小戏骨：放开那三国》：1.你以为是孩子拍给孩子看的？我滴乖（此词方可准确形容我观后第一感）！这分明是一群老戏骨在飙戏啊，连群演都开挂，震得我晕头转向、四肢颤慄（一种叫夸张的修辞手法，请勿模仿）；2.有那么一刻，我在担心这种成人化的表演让这群孩子过早成人化，但一想到已经成人的，却被叫做“小鲜肉”们的面瘫式表演，我淡然得像个孩子般笑了，因为有个杞人会忧天，有个东西叫表演；3.一个耳熟能详的三国故事，一众鲜活无比的三国人物，被一群可爱的小戏骨们诠释得如此生动、充满生气，回归n年前的那句感叹——我央央中国，历史如浩瀚宇宙，英雄如繁星点点，缺的真不是故事，缺的就是如何将她们呈现出来的——一颗谦卑的、不逐利的心而已……,11.0,1.0,0
5,5,26951953,小戏骨：放开那三国,58bc5808824d83d076a842d210dc8a7a,624c33ad5a329026f1323c573aa4a303,5,2017-08-30 14:15:07,从白蛇传开始关注潘礼平团队小戏骨，大体见证了整个放开那三国发展过程，该片有巴别时代赞助潘礼平团队拍摄，以四大美女之貂蝉（陶奕希）独特视角讲述了东汉末年董卓乱京，众英雄共同锄奸的故事，从故事整体来看结构完整，首尾呼应，在不改变历史大体走向的框架下巧妙的剔除少儿不宜的美人计，创造了吕母和貂蝉父两个全新的人物形象，演绎了一位巾帼不让须眉的女英雄貂蝉（陶奕希）全新形象，她美艳动人、聪明机智、敢作敢当、能文能武、精忠报国，不再是男人的附庸，有着独立人格和行事准则。   该剧主要的亮点有1、武打戏，教小孩演戏不易，武打戏更难，可是该片做到了，经过无数的练习、克服重重困难呈现在我们面前的是动作干净利索、行云流水武打场面。2、马战戏，其实可以归入武打戏里，为什么要单独拿出来说呢，实在是马战戏比一般的武打戏难度更高，再次之前我都没想过11岁左右的小孩子真的能拍马战戏，我都不知道怎么去形容了，有兴趣的朋友可以去看看三英战吕布那场精彩马战戏。3、貂蝉献舞，陶奕希不亏是9岁拿下IMTA国际舞蹈达人冠军小女孩，在这我可以肯定告诉你绝对超越她这个年龄的水准，相比一些成人戏里的舞蹈也是有过之而无不及。4、演技，曹操（李俊豪）霸气十足尽显枭雄本色。貂蝉（陶奕希）女装一颦一笑尽显绝代佳人本色、男装英姿飒爽，和女装气质完全不同。吕布（葛奕德）既有三国第一猛将威猛，又有对至亲的情义。其他角色也都出彩这里就不一一列举了，有兴趣的可以自己去体会。5、插曲，曹若喻演唱的历史的天空配上貂蝉平凡生活的畅想，无声的控诉了战争带来的破坏力，歌声包含深情画面极具感染力，觉得让你想象不到这是一个12岁的孩子在歌唱。   再说句体外话，一边羡慕这国外有演技出色的童星、一边又排斥国内的演技出色的童星，一边吐槽着小鲜肉小鲜花没演技，一边又不准从孩子开始学习演技，真以为演技能凭空而来啊！再我看来，学习表演和学习歌唱、乐器、奥数、外语、各种体育特长等各种知识技能没任何区别，况且这些孩子基本都是利用寒暑假及周末时间表演，功课也没拉下，比那些整天浑浑噩噩只知道追星玩游戏的强多了！,18.0,2.0,0
6,6,26951953,小戏骨：放开那三国,e336fd085e7dde95e4ecd5ff3b12f45f,2101db66350f0e305867c202f0d93bbc,4,2017-08-31 19:06:58,"小孩子演戏，总觉得像是在过家家，然而在小戏骨们的演的放开那三国中却屡屡让人怀疑：自己是不是来到了小人国，明明都是小孩子的模样，却有着大人一样的谈吐气质。
年龄不够，对角色认识的深度和多面性或许不够，表现的样貌也不够符合，表演的程度把握的也不那么成熟，偶尔会因为他们的稚嫩，有一丝丝的跳戏。但是些微的尴尬和跳戏并不会影响观看的快感和生动感。虽然是孩子，但他们有着纯净无暇的心灵，更能完全进入角色的内心世界，真正把自己当成曹操；也没有沉重的社会压力，他理解的人物是哪个样子便会呈现出什么样子，不会有那么多的顾虑和包袱，演出来的人物也会很真实很淋漓尽致。会让人感觉他不是在假惺惺作秀演戏，会感觉他就是曹操，她就是貂蝉。
就比如说曹操眼神里的那种冷酷，阴险和狠劲儿，曹操狠心杀害吕伯一家的可憎可恨，他在外逃亡时的孤独无助心酸，他在点兵杀将时的王霸之气，通过他成熟的语气，冷静的神态把一代枭雄的气魄尽数展现。令人可恨又令人敬佩。
不仅塑造的人物值得敬佩，演员也是真的值得夸赞的。一个小演员能把角色诠释的如此精到，甚至超过当今好多小鲜肉们，真的是值得反思值得我们学习。",5.0,1.0,1
7,7,26951953,小戏骨：放开那三国,e19809593dcb828f338d61b1a0eaec12,66a68eaccd4699d7cb961aebf14d27c0,4,2021-02-27 08:52:10,乱世本就出枭雄，“灭掉一个董贼，只怕是又多了一个曹贼”。若最后小皇帝与众臣举杯欢庆便是结局，我想会和大部分故事一样不可避免落入俗套。貂蝉姑娘缺席庆功宴，走出了城楼，独自一人看到战乱后荒芜的市井，不免心生苍凉之感。忽然，浮现出摆肉摊的张飞，卖草鞋的刘备，挑扁担的关羽，开鱼市的曹阿瞒，连乞丐董卓都老老实实以物易物。活脱脱一出桃花源记，仿佛…天下太平，百姓安乐。剧情一下子升华到黎民苍生，不再是忠臣孝子，国事家事；不再是一人的雄才大略，而是众生的祥和安乐。听到剧终的片尾曲，瞬间泪目。,,,0
8,8,26951953,小戏骨：放开那三国,f55c6ce132c9ef56702c8a3bd9b74c9a,9f3c0f5a99744f38756d67d5991edbf9,5,2018-08-23 08:37:10,刚刚看完《放开那三国》，趁着记忆犹新，赶快前来评价。 我还记得第一次遇见这群小朋友，还是在他们拍摄《白蛇传》的时候，当然我说的遇见不是现实遇见，而是在荧幕里。当时在网页上看到有关于他们的新闻，便好奇的找来视频观看，原本只是随意一瞥，却再也移不开眼。 后来出了《放开那三国》，想着再去看看小戏骨的演技，结果却被满满的诚心所感动。 不知道大家对这群小朋友的演技是怎么评价的，如果问我的话我只能说出一个好字来。同样是讲三国，这部电视剧却不同以往的男性视觉，而是从女性角色为切入点，从貂蝉的角度，看这乱世天下。 不得不说陶奕希是一个非常有灵性的小姑娘，明艳动人、眼波流转，一颦一笑都透露出古代佳人的风采，而这个小姑娘也只有11岁大，但却演出了不一样的貂蝉。反观过去的电影、电视剧，貂蝉这个人物无一例外的成为配角，毫无特点，反观《放开那三国》，真真将貂蝉刻画得淋漓尽致。 故事虽是那个故事，人物却不同那些个人物。 作为三国乱世题材的电视剧，难免少不了古代中的武打、跳舞场景，而这些动作，小小的陶奕希全部亲自上阵，吊威亚、舞蹈、文戏、武戏样样出色，而且小演员对于表情的拿捏也很到位，不夸张不做作，自然又生动。 在剧中，有不少地方是能够体现出这群小朋友的演技，当之无愧的“小戏骨”。比如说，当貂蝉得知董卓殒命的那一刻，那种杀父之仇得报的喜悦与迷茫，眼圈红红，喜悦的是杀父之仇得报，迷茫的是对未来的何去何从。还有剧中的曹操在啥董失败以后的落魄与不甘，小小的人搭上独特的气质，造就了不同凡响的角色。 这部剧令我感触最深刻的是大结局最后，貂蝉一袭红衣以旁观者的身份走在街道上，以往热闹的街市彼时却冷冷清清，但貂蝉每走到一处，便会出现剧中的一个人物，他们或卖刀或卖菜，没有乱世纷争，只有平安喜乐，这一点，非常触动人心，小小的孩子们释放大大的力量，展现了三国乱世里的独特与魄力，教人震撼。 后来我再翻出片花时，导演潘礼平老师那种认真给小演员们讲解、说戏时的神情，便不难想出这部电视剧为什么会得到这么高的评分。 他代表着中国影视剧孩子军的崛起，他让孩子们做了影视剧的主演。其实在很多事情上，小孩子的内心往往都是最丰富的，他们纯洁、真诚，与成年人不同，他们会用自己最大的努力去完成一个动作或一个表情，因为他们的真诚，所以感动了我们。 真的非常期待这类小戏骨影视剧，这在影视剧上是一种全新的突破，时代在与时俱进，每一个事物都在改变，那么小孩子登上荧屏，何尝不是另一种鼓励？这种最纯真的情绪和感染力，让我们在观看的过程中真正的走进人物的内心世界，而这些正是国内演艺界所需要的。,2.0,,0
9,9,26951953,小戏骨：放开那三国,63a745a6845b575fb219542121280b5f,c31d8995a22cb86cf886eafe6027f60c,4,2018-01-19 22:15:47,刚看，除了董卓这个演员比较尴尬，其他都是很有戏的感觉。董卓的尴尬在于小孩子演不出那种凶狠，那种让人畏惧的神情。一，孩子本性善良。二小朋友的阅历尚浅。三小朋友演技有待精进。   看看貂蝉这段眼神，吊打某些花旦        曹操的角色也很突出,1.0,2.0,0
