,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26970809,时间陷阱,75c38d2c0f84b09d3ddea3530706b849,ea667858f885fd947891f6d3cfb45e29,4.0,2018-08-21 22:26:24,从前有个洞，洞里有眼泉水，传说食其泉水即可永生，古时即有异乡人前往寻找，可惜一去无果。 现世一遛狗牛仔前往山里寻找走失的亲戚，牛仔跟随其亲戚踪迹误入永生泉的永生洞，经过在洞里一番探索，牛仔发现洞里时间流逝十分缓慢，洞里一刻，洞外一年，期间牛仔曾出过山洞，洞外早已是原始森林，牛仔在洞外发现主角一行的车，知晓主角一行前往洞穴寻找自己，最终只好返回洞穴。牛仔越是往山洞中心走，就发现时间越来越慢，大概是因为中间是不老泉瀑布的原因，山洞里还有其它的人，这些人也就是远古时候误入山洞的原始人以及寻找不老泉的异乡人，有些原始人和异乡人被困在在不老泉瀑布的时间漩涡里，另外一些原始人在洞穴里跑来跑去的，遇到闯入者就直接扭脖子咔擦。 主角一行追随牛仔的痕迹发现了洞穴，可惜他们找错了线索，他们留小胖子在外放哨，主角几个抓着绳子爬下了洞穴，结果听到洞里有呼啦啦的怪声被吓着了，几个主角经过商量决心爬回去。不巧这时候时空飞逝，洞穴外面那根绳子已经老化了，所以女主角爬了没多高，绳子就断了，还摔了下来，主角几个以为是小胖子捣鬼，小胖子在外面寂寞难耐，又是想拉大号，又怕土狼的，经过一个夜晚以后，小胖子决定下洞穴看看，他发现了另外一个洞穴，以为这是牛仔用过的（应该是之前另外一伙误入洞穴的人用过的，也就是牛仔要寻找的那伙人）。正巧有根绳子，小胖紧张兮兮的顺着绳子爬了下去，结果这绳子早已老化，小胖没爬多远就摔了下去，摔了下去还拿对讲机朝男主角求救，男主角硬是半天才听出是小胖的声音，这时候小胖已经被洞里的原始人发现并且扭脖子咔擦了。 主角一行缓慢前行最终发了小胖子，顺道还发现了小胖子爬下来的洞口。这时候主角几个商量决定让身材第二好的妹纸爬出洞穴求救，身材第二好的妹纸爬出洞穴，发现洞穴外早己经不是她认识的世界，环境极为恶劣，随时随地刮着巨型沙尘暴。身材第二好的女主角拿出gps定位器朝着卫星发信号，哪不知却被一个三角形的神秘飞行器接受到信号，原来在主角几个落入洞穴的时候，世界已经发生的翻天覆地的变化，核战争温室效应，已经让地球无法适合人类生存，人类想出移民火星的计划，人类去了火星以后慢慢适应了火星的环境，千百年的进化已经让人类无法适应高氧气环境，而且外形也更加高大了。但是人类还是留了一个三角空间站在地球表面，以便观察地球的家乡。这天三角站收到一个地球发来的信号，居住在火星的人们决定派出一个科学家前往信号坐标点探寻一番。结果这个科学家遇到主角一行人，并且和主角们一同与原始人干仗，就在科学家进入洞穴的这段时间，居住火星的人们科技已经飞速发展，他们走出火星，走出太阳系，走出银河系，他们的外观也越来越像外星人，可是人不忘本，他们一直没有忘记地球以及地球上那个神秘坐标，他们使用高科技创造了一个传送井，这个传送井通过三角站链接地球的不老泉洞穴，洞穴里的主角一行人依旧在和原始人干仗，最后干不赢，他们决定使用外星人的高科技神秘通天梯跑路，结果跑到一半，原始人好奇的摸了一下神秘通天梯的发光部分，结果天梯消失了，只有身材第二好的女主角逃出升天，身材第二好的女主角以为自己要被外星人吃了，其实是被救了，被救的身材第二好的女主角抓紧时间洗了个澡，刷了一个牙，换了一身仿佛神奇四侠一样的紧身衣，然后使用高科技胃镜触手救出了洞穴里所以的好人，最后大家一起开开心心的离开了地球，离开了太阳系，离开了银河系。 基本上这部电影是没有什么明显漏洞的，很多人说结局很仓促，其实并不是结局仓促，而是整部电影拍的太赶，其实拍电影就像剥洋葱，每拍一段都应该稳扎稳打，留下足够的悬念。初期的安排应该是通过主角的表演以及洞穴的布景来呈现洞穴的神秘，第二部分的时候应该是引出野人杀人来增加洞穴的惊悚气氛，第三部分因该通过洞穴的真相来表现主角几个的绝望，最后外星人出现的时候应该让人觉得出乎意料，不过又在情理之中。洞穴的拍摄方法可以参考黑暗侵袭，绝望的拍法可以参考127 小时，野蛮人的出现可以参考各路血腥杀戮惊悚片，抬着大石头砸人什么的，最后逃出升天参考异次元杀阵的拍法，以上纯属个人愚见。 谢谢你看完我的评论。,201.0,14.0,96
1,1,26970809,时间陷阱,9307a35b1d207547963946fe2ff102f3,ced22ee3b6942de3e0b0d93bfcb5a0f7,4.0,2018-08-22 11:56:24,写这影评的目的不是为了讨论电影的真实性，纯粹只是为了分析“不老泉“是否可能存在，以及若存在，它的实际表现应该如何，不喜勿喷。当时看了电影满脑子想的不是剧情，而是这个“不老泉“存在的可能性。 本文中使用较多的是逻辑推理，有人说不该以现代人的思想去思考量子层面的东西，我想说，量子力学应用也是在一个公式上逻辑推理而得以进步的。 剧情中他们其实走不过那个临界点，因为临界点是一条很窄的界面，人在穿越的时候横跨两个时间点，为什么绳子会断，因为在节点上摩擦断了，也就说人会和绳子一样，卡擦。。。所以不存在能穿越过去。。 从快区进入慢区，会凝固住，所以自己会被自己卡住，应该是进不去的。这里有别于星际穿越中到的第一个星球，那个星球是因为处于黑洞附近的轨道上（所受引力较大）以及黑洞潮汐力而导致的滔天巨浪。现代物理学观点认为时间速度与速度、引力（空间扭曲）负相关。按照本电影的观点，也许这是一个虫洞，哈哈，当然也可能是另外一种导致时间变慢的原理。 试想，从慢区进入快区，会看到自己的身体部分出去一部分一秒钟变白骨，两秒钟消失，因为一秒钟等于一年，一只手没营养没血供，一年内肯定死了化成白骨了。  既然里面时间过得慢，外面时间快，那么所有人进洞的时间应该都是前后脚事儿了，一开始进洞，他们就应该看到后面的伙伴立刻就进来了。不存在还是差了好几分钟的剧情。 还有，外面不应该看到里面的景象，试想光线出来，波长等于也被拉长了30000000倍（一年≈30000000秒）（在此需要解释一下，这个电影有一些前后矛盾的地方，特别是时间放慢的速度，有一个妹子出去半小时说是两秒的，也有小胖下来影像里一秒等于一年的，我个人倾向于小胖下来的时间，因为那个重复次数较多），是个啥，不叫光了吧，总之人眼肯定看不到光了，个人理解，那就是黑洞（所以黑洞里到底是什么，这也是一个秘密）；反之，里面看外面，光进来，波长成为原先的3千万分之一，反正人肯定被秒杀，理解为白光吧（可能过了某个境界点，变成物质形态了吧），当然也可能还是极强的光线，暂且理解为白洞，根据计算，符合γ射线定义。核心部分理解为时间流淌中的一个“岔路——喷泉“，那么，这个喷泉终究会成为一个吞噬物质的黑洞（就外面的人看来），也许就已经流淌到岔路的“物质或者生物“来说：老子在另外一条时间线上走着呢。至于能不能穿梭为原先的问题，欢迎讨论。就电影剧情而言，引起了我们这么多的思考，就够了，我觉得挺好看的,78.0,10.0,89
2,2,26970809,时间陷阱,2e4ecc2602d86acf0c5d77e5f3276bc1,1d680afbd0f4ccab64217ad336fa738e,5.0,2018-09-09 15:40:14,人都怕死。 所以有很多永生、不老的传说。  中国古代有很多容貌不变的神仙故事，还有最高统治者寻仙药。日本也有浦岛太郎的传说。  真的让只有你的时间停滞，会是一种怎样的体验。 本片给了你答案。   片子剧情编排的很精巧。存在不少缺陷，总体瑕不掩瑜。 五星好评。   现在竟然要求140字才能发表，那就多说点。  片子虽然带有悬疑性，但气氛在一位黑嘴妹子和熊孩子的调节下还算轻松。结尾也以HE来画上句号。 但我觉得电影没有显明的，却是一缕悲伤的基调。 比如几个孩子这辈子都见不到其余的家人了。人都还活着，但其实对于双方来说，都和死了一样。他们的家人当年当然也伤痛欲绝。 未来的世界，文化、人种都变了，他们注定是孤单的一个群体。 曾经熟悉的美丽的地球，也已经不能生活居住。要去一个鸟不拉屎的火星。  神仙也有不快活之处，借此电影我们或可体会一二。,10.0,5.0,0
3,3,26970809,时间陷阱,7a9e2d7ec6e1a34bd97ef3939e1c15f8,52e65b3e1b1c522f80cbe4f5faf464b6,3.0,2018-09-06 23:32:49,题材不错，但是演员表演太烂，几个女的就是吵吵吵，对推动剧情毫无作用，未来人下来把男主救了，然后遭到原始人袭击，他们竟然旁观，看着未来人被原始人活活打死，知道不老泉有起死回生的作用之后，仍然不救，直到最后都没救，情节存在巨大缺陷。编剧没编好，编剧没编好，编剧没编好，编剧没编好，编剧没编好，编剧没编好，140字，140字，140字，140字，140字，140字，140字，140字，140字，140字,25.0,4.0,17
4,4,26970809,时间陷阱,b8d7f1526de36116bb965b01d21fa38a,6742660f958011c3bf8e5a12f99e677a,3.0,2018-08-17 22:31:35,电影主题非常有吸引力 关于洞里的时间与洞外的时间 但是剧本一般 大部分时间用在争吵与惊讶上（并不是那种见到不可思议后的无比震撼），故事太拖沓，演员表现的中规中矩，这部电影想要表达的东西特别多也完全可以表现得更精彩更震撼，但是都没有表达清楚，而且草草结尾 。总的来说这部电影立意独特可惜故事欠佳。（如果剧本和导演，演员再给力点，这部影片也许会像《星际穿越》精彩的）,17.0,1.0,7
5,5,26970809,时间陷阱,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,3.0,2020-05-27 14:06:45,3星，不错了。小成本投入能拍出这么有可看性的科幻片算是典范了。首先科幻的设定创意不错，而且也不难懂，起码让观众比剧中的几位美女早就了解了，看她们还吵吵闹闹的不明所以觉得很好笑。虽说演技都比较一般，但情节构思还是可以的，很紧凑，没有浪费时间，虽说小成本的缺陷也很明显，不够精致，剧情很赶，有些BUG，但整体观感不错，推荐一看。,2.0,,0
6,6,26970809,时间陷阱,696d03e832488674c45c66d38479111b,f1851d5600eae616ee802a31ac74701b,4.0,2019-06-28 22:03:16,"不得不说，影片的音效BGM对剧情情境的渲染起到了非常大的作用。
未知才最让人恐慌，未知的恐慌才最可怕。 原始人和现代人和未来人在洞穴的相遇，上演一场不同时期的人类之间的厮杀。 广义相对论真的很神奇。
若时间变得很慢很慢，那就是青春常在长生不老。
中国古典神话说：天上一日，地下一年。所以，天上的神仙们世代不老而几乎等于永生。 物质的质量会造成时空的弯曲或扭曲，当物质的质量足够大，会发生扭转的时空吗？
这个洞穴冒险故事告诉我们：会的。
一切皆有可能，哈哈哈。",1.0,,0
7,7,26970809,时间陷阱,901c5a125686cef93432cf1ee6d228da,405c96a432b3058a5027160e3f994a11,4.0,2018-08-24 15:31:12,看完之后脑子里瞬间就会想起《星际穿越》的结构，但和《星际穿越》不同的是，《时间陷阱》把人类的历史、当下和未来同时呈现于同一个空间中 —— 不老泉。 以科幻的视角来看，这个不老泉可能是某个扰乱时间的结点，它可能是天然的，也可能是未来的人类打破时间屏障后人为制造的一个特殊环境。这个横亘于原始人类、近代人类、当代人类、火星人类…等历史脉络的格局更像是一出寓言的场景… 如果把这个洞穴视为整个人类的栖身之地，那么它就相当于地球。 而不同历史时期的人类同时出现在洞穴里，也对应了不同历史时期的人类同时生活在地球。 当然片中的时间逻辑不能和现实的环境对应… 但现实的情况却和影片中的洞穴形成了微妙的对应：身处在亚马逊丛林的原始人、生活在非洲深处的部落人，紧接着是战乱的中东，还有所谓的发展中国家，最后还有苹果公司的飞碟总部… 在亚马逊的原始人看来，拿着手机打游戏的我们不就是外星人么？ 在这个洞穴就是一个隐喻！,10.0,3.0,10
8,8,26970809,时间陷阱,c818d74cf437f729996dc79c9aa1b129,144f6cfdf12e0f4de0c5d95f03744e46,2.0,2018-11-16 13:09:24,立意新颖，时间题材的电影往往都引人入胜的！ 但是从科幻电影的角度却是不及格，跟《星际穿越》比起来差的不仅是编剧，还差了个科学顾问。 时间线的bug太多，细思之下时间尺度毫不统一，时间逻辑混乱。电影中有个情节交代了明显的时间刻度，女二爬出洞穴在外面经历了30分钟，洞内经历了2秒，时间比例是1：900，因此洞内一小时洞外才一个多月，明显洞内经历的时间不足以支撑外部世界的沧桑巨变。而教授进入洞穴，牛仔只走了一步，我们姑且估算时间为一秒，等到教授再出来，一进一出从车辆废弃的状态看至少几十年了，这个时间尺度和前面交代的明显不一样，如果仔细思考，整部电影充斥着时间尺度不统一的bug。 从科学角度更是无法解释，既然是科幻电影，那么一定要有科学逻辑，既然讲时间不是绝对的（洞内洞外时间尺度不一样），那么一定要用到相对论。 时间尺度不同的两个空间的区别是光子的运动速率不同，从而导致了观察时间的参考系不同，那么什么能导致光子运动速率的不同？引力！巨大的引力场使时间发生膨胀，电影中的设定我们可以理解为洞内是一个黑洞，巨大的引力场使时空弯曲，可是你这进进出出黑洞，有没有考虑过黑洞的感受？黑洞的尊严何在？ 再者，从现实空间进入巨大引力场空间是两种不同的量子态，人和绳子都不可能存在统一态，换句话讲，人一进入这个巨大引力场的空间就会被撕扯成碎片。你这有没有考虑过物理学的感受，有没有考虑量子力学的感受？ 再退一万步讲，绳子不可能同时连接内外两个空间，其实这也很好理解，如果按照电影的设定，洞内1秒洞外几十年的话，绳子在抛下去的一瞬间，就应该断裂了，人在进入另一个空间的一瞬间应该出现一半苍老一半年轻的状态。而那个内窥镜一样的物体勾住人这个操作，横跨两个时空，一半是十几年的时间跨度，一半是几十毫秒，就算是超级计算机计算这个过程都要消耗海量的运算资源，在地球资源耗尽、殖民火星的背景下，我怀疑这种营救的价值。 所以，综上，这如果是一部科幻电影，从立项就应该枪毙。但是从娱乐电影来看的话，一个引人入胜的题材，一段不算合格的悬念设计，匆匆忙忙的情节推动和虎头蛇尾的结局，在你的闲暇时光就就爆米花，我想给个2星不能再多了。,5.0,3.0,24
9,9,26970809,时间陷阱,9ddd0d5651fdcfe7ff8dd211a1602b0c,d0ee397e457881e7e04c8c8d582f43ae,2.0,2018-09-01 05:13:53,剧透预警。 我的理解，这个山洞，这个不老泉，就相当于一个跨越整个时间维度的避难所，一个“时间黑洞”，从时间线的任何一点都能进入这里，但却再也无法回到你来的那个时间点。 当您理解了这个背景设定，相信我，您可以开始看下一部电影了。 以下纯粹记录自己的观影笔记，前方吐槽预警，不喜请点叉叉，但如果您还是坚持看了下去，甚至看完了，估计您会跟我有一样的想法。 怎么说呢，点子很不错，可惜被浪费了，剧本、表演太捉急，小成本爆米花电影，槽点举例如下： 女主爬出去用GPS求救，举着GPS跑了老远才看见天空是什么样了。exm？您是两眼发直还是超高度近视，余光废了？ 男主1v3洞穴人，拿着石头拍一个头就站着不动。exm？您在等什么？等着背后的其他洞穴人攻击你？ 未来人要救男主，女主三番五次胡搅蛮缠。exm？人家都要走了，回头明显是来救人的，您情商是负数吗？ 未来人把男主救活之后，1v2洞穴人，女主口嗨要帮未来人，愣是重复了两遍，未来人被卸了头盔，快死了，才上去帮忙。exm？您二位又在等什么？敌人的敌人就是盟友不懂？ 未来人快因为空气而死了，一群人围着鸡同鸭讲，愣是活活捱死了未来人。exm？您四位又在等什么？还不用泉水救人？ 拿着高科技梯子逃跑的时候，那绿光+混凝土井圈+隔离水门一看就是实验室啊，女主又开始胡搅蛮缠大法。 还有拿着高科技的未来人探索这样一个山洞不带武器，打不过原始山洞人。 我只能说： 本人全程表情如图 当然，最后的最后，还好有机智的未来人，一波高端的不怕时间切割的高科技拯救了全员，原来电影里的架空宇宙还是存在智慧生命的[为该宇宙的人类松了一口气]。,18.0,2.0,11
