,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26972275,恋爱回旋,4e66bea0bc845d2baba709c1879a819b,22a3752f026421086cb772cfefaba51d,4.0,2018-03-09 22:48:30,看到gakki和瑛太最后打决胜局的时候，我小声对坐在旁边的室友说，他们肯定会输的。室友抿嘴笑了笑，意思不信。 结果，就在两人就要将比分扳回，胜利的时候，对手还是以一种近似巧合的方式赢球，拿下比赛。我有点骄傲地对室友说，看吧，我说的。 我知道他们一定会输的，因为我看过太多日本动画、电视、运动番了，类似的剧情屡见不鲜。平凡人挑战职业运动员，最后会输掉，但是你被传达了这样的价值观：结果并不重要，我们已经努力了，重要的是过程。我们输了比赛，但是赢了人生。 事实上，《恋爱回旋》这部电影从头到尾都很老套，每一个细节都老套，哪里该转折，哪里节奏该加快，哪里角色该陷入低谷，哪里又该振作起来，所有地方，都老套。这是日本人用了一次又一次的经典模式，老滑头吉泽良太全部照搬，再用一次。 但是无可否认，它打动了我。我们还能要求商业片什么呢？标新立异吗？探索人性吗？展现新的电影形式吗？不，那不是商业片的任务。星期五的晚上，经过了一星期的疲惫学习或工作，我们和朋友、爱人来到影院，我们不想要什么再让我们受苦受惊的东西。给我来一杯温暖的热可可就好，对，就是我喝过无数次的那种。它口感不那么独特，味道也一般，但是暖暖的，香香的，我不介意再喝一次。喝完了，往垃圾桶里一丢，它对我就没有意义了，但是它让我轻松快乐地打发了一个晚上。 日本人拍电影真是有一套。他们的艺术片当然好，黑泽明，北野武，岩井俊二，是枝裕和，都是中国人民的老朋友；他们拍商业片也好，老老实实规规矩矩，没有野心，就是要讲一个老套的故事，对，就是那些你听过无数遍的故事。但是我们吃这一套。虽然时代在进步，但是每一代人的烦恼、渴望其实都一样。我们怎么能不喜欢一个跌入低谷又重新站起来的故事呢？看到一对善良的男女走到一起，我们怎么能不高兴呢？即使它有些过于保守，比如凉子到最后还是要请求丈夫同意才能继续打乒乓，这太男尊女卑了，但是我们不想这部电影更复杂了，不想这时候再听谁讨论复杂的人权问题。保守一点就保守一点吧，我们接受了。 扎扎实实讲故事，艺术的归艺术，商业的归商业，分工明确，才能互相支持，支撑起电影产业。你看gakki，她没有什么精湛的演技，但是很安分地演她的角色，照样虏获了大家的心。比起其他女星，她没那么有特点，有些平凡，但是就像电影里的台词，她也在发光呢。,290.0,15.0,40
1,1,26972275,恋爱回旋,d8d62ea97a034c30f20cd413c627e941,8ca1395e31fa96b47eb07cd0dbe8abb5,4.0,2018-03-05 19:57:39,电影关于乒乓球运动员富田（新垣结衣 饰）的恋爱经历，讲述她在江岛（濑户康史 饰）和荻原（瑛太 饰）之间的抉择。 富田是一个楚楚动人、眉清目秀的女孩，她亲手给荻原做饭、给江岛准备生日礼物等细节都能看出她的心灵手巧。 新垣结衣的把女生可爱、乖巧、温柔、贤惠的特点都演绎得恰到好处。 她每一个表情、眼神、动作，都极具感染力，不愧是人人心中的女神。这是她与生俱来和后天培养的，是别人学不会的。 即便之前是路人，看了这部电影之后，想必也会被新垣结衣的表演所打动。 同时，富田也是一个坚强的女性，有魄力、毅力、执行力，敢于果断放弃渣男，敢于追求想要的爱情，敢于坚持完成比赛。 她对江岛从不舍到放下的转变，也实现了稚嫩到成熟的转变，真正成为自己的主人，掌握自己的人生。 起初她对江岛心心念念、藕断丝连，是出于不自信，认为人人都喜欢江岛，觉得自己配不上他。 她28岁了还是单身，她觉得自己不值得被人喜欢。如果失去江岛，就没有别人会喜欢自己了。 她一直仰视着江岛，把江岛对她的爱看作一种奢望。 后来，她逐渐觉醒自我意识，开始发现自己的优点，发挥自己的作用，也就明白了她也是一个值得喜欢的人，会有很多人喜欢她。 即便失去江岛，她也能活得很好，甚至活得更好。 从此，她占据了主导地位。 从此，她成为生活的主角。 当江岛说“你一定会为自己的选择而后悔”时，富田眼神中传达出的坚定、从容、自信、不悔，都让这个形象立住了。 她的魄力、气质，让人折服。 富田并非是一个傻白甜的人设，而是凭借努力得到幸福的坚强女性。她由弱小变得强大的转变，也使得这个角色赋予了挑战性。 可能新垣结衣的演技算不上多么优秀，但绝对有明显的进步。 我们再给她一点时间，想必她就能真正成为德艺双馨、才貌双全的实力派演员。 作为一部爱情片，电影很好的展现了爱情中的博弈、对垒、套路、挣扎。 富田在荻原和江岛之间犹豫不决，电影多重发转，不到最后一刻猜不到结局，就算猜到结局也猜不到过程，就像打乒乓球一般，乒乓球擦到中线，你永远猜不到它最终落向哪边。 富田也曾糊涂过，再次选择了江岛，这个曾经伤害过她的男人。 但她想到自己也并不是非江岛不可，她有拿得起放得下的气魄，她有宁缺毋滥的勇气，她有天涯何处无芳草的胆识，她有不原谅江岛的尊严，选择了那个尊重她、支持她、善待她、珍惜她的荻原。 最重要的，是对你好。 是啊，这么简单的道理她花了多年时间才懂得。 如果不是看到江岛偷情，如果她没有果断离开，就不会遇到荻原。 如果不是离开荻原，她就不知道她有多么需要荻原。 人们总是拥有的时候不珍惜，失去了开始才后悔。 富田兜兜转转又回到原点，但并非一无所获。她得到了成长，收获了成熟，强大了内心，磨练了意志，重拾了自我，觉醒了灵魂，最重要的是找到了真爱。 就像舒淇说的： 青春就是这样，不听劝，瞎折腾，享过福，吃过苦，玩过票，碰过壁，使劲折腾……折腾累了，才发现自己转了一个大圈儿，却又回到了原地。可是，却从不后悔，也并不埋怨，因为不转这个圈儿，我们可能永远都不知道“原地”在哪里。 因为愤怒和虚荣心，富田拼命提高实力，想要抢回江岛。 尽管最后她不想要江岛了，但这一过程使她变得更加优秀。 因为爱情，我们成为了更好的人。这不正是人人都体会过的经历吗？ 除此之外，电影中的配角的形象塑造也可圈可点。 吉冈弥生虽然嫁入豪门，但并没有因此获得幸福。 人们免不了闲言碎语，说她小时候是问题少女、打扮出格，现在又没尽到妻子的责任，甚至说她丈夫没当上主任也是因为她。 而当吉冈弥生放弃比赛的时候，丈夫还冷嘲热讽：你终于有自知之明了。 她没有就此屈服，而是重新回到球场，为自由和尊严而战。 她不是非要争个高低，而是要证明她不是三分热度，是真正热爱乒乓球。 就在她向丈夫道歉的时候，本以为她会受到批评，却得到了丈夫的支持，充满温暖和治愈。 如果当初她放弃了，不仅她会抱憾终身，而且夫妻的地位也永远不会平衡。 她正是用毅力、勇气、坚强、恒心，得到了丈夫的认可，也使得两人和解，非常励志、正能量。 看来，家人并不是非要与你为敌，想要得到他的支持，首先你需要付出时间和汗水证明自己，让他们看到你绝不言弃的决心。 如果你努力捍卫梦想，全世界都会为你让路。 作为一部运动题材的电影，《恋爱回旋》没有以金牌为导向，这点非常难能可贵。 不管是体育赛事，还是新闻、电影，人们总是只记住第一名，忽略其它运动员，其实他们同样付出了努力，虽败犹荣。 正如荻原说的：她也有拼尽全力生活，不要瞧不起别人。 富田等人明知道可能会输，明知道人生没有奇迹，仍然相信自己，仍然战斗到最后一秒。 真正的勇士，是不论成功与否也要坚持到底。 真正的勇士，是宁愿坦然面对失败也不放弃。 比起那些看到开头就猜到结局、强行让主角胜利的意淫，富田等人“即便无能为力，也要尽力争取”的信念，才是英雄真实的写照。 毕竟世上哪有那么多冠军，更多的是那些苦苦奋斗却没能折冠的斗士。他们屡战屡败，屡败屡战，生命不止，奋斗不止。 看多了刻苦训练终夺冠军的运动片，《恋爱回旋》相比之下更让人感同身受，因为现实就是付出不一定会胜利，失败也不代表没有努力。 可能我们就像富田那样，尽管发愤图强、悬梁刺股，可就是比别人差一点。但即便提前知道结局，我们仍然会奋力拼搏，在挫折和磨难中成长，在委屈和打击中前行。 因为我奋斗过了，我尽力而为，我问心无愧，我不后悔。 奔赴一场劫难，却像去赴一场盛宴。 值得一提的是，《恋爱回旋》注入了中国元素，不但毫不生硬，还是电影的一大亮点，而且苍井优的选角也非常讨喜，不像《钢铁侠3》中的范冰冰、《极限特工3》中的吴亦凡可有可无。 川菜馆夫妻说他们连国家队都没进，只好来开饭馆。他们认为自己一无是处，然而乒乓球技术却非常高超，主角不仅感叹“原来巴西真的是人人都会踢球”。 这一方面是营造笑点，另一方面也是对中国乒乓队的肯定。 小杨所说的“为什么中国人打乒乓球最厉害，因为中国人训练得最刻苦”，让人为中国乒乓球运动员的勤奋训练而感动。 如果以后电影的中国元素都像这样又燃又可爱，谁还会不喜欢？ 对于《恋爱回旋》，不少人说光看新垣结衣就值回票价，再加上瑛太、广末凉子、苍井优、濑户康史、永野芽郁、真木阳子等等可以说是赚大了。 其实本片不仅阵容强大，电影质量也相当过硬，看点颇多。只看演员的话，未免有点可惜。,315.0,100.0,60
2,2,26972275,恋爱回旋,09916ff7d36b5bed9ad8bd9890157ef1,94b2602c3f8ba77964843eac200a4ae3,4.0,2018-03-18 12:38:39,"不散作者| 谢谢你们的鱼 今天的文章是全程痴汉脸写完的，老婆我爱你哦~❥(^_-)
  





   大家看到过全世界最美丽的微笑吗？我看到过，这个微笑就来自于万年一遇的美少女，那就是我老婆新垣结衣。     咳咳，没错，就是我老婆。  





   我已经不记得自己是什么时候喜欢上新垣结衣的了，或许从看到她第一眼的时候就喜欢上了吧。     杂志模特出道的新垣结衣凭借着清纯的气质、元气满满的微笑以及邻家女孩的亲切感成为了日本最具人气的新生代女星，而她最大的魔力就在于，只要有她在，任何影视剧都让人不忍给差评。 其实就演技上来说，Gakki并没有多厉害，只不过她的出现，在影像上已经足够融化所有人的内心，但是卖萌并不可能卖一辈子，多么盛世美颜的人都有透支自己魅力的一天，对于Gakki来说，如何让自己更加具有人气其实都是次要的了，这几年，她真的努力让自己成为一名真正的演员。  





   2012年的Legal High算得上是Gakki事业的转折点了，饰演八点档女主角风格的元气律师的她前所未有的搞怪了一把，并且和堺雅人大叔组成了史上最强的律师CP，也就是从这部戏开始，Gakki再也没有走过单纯的小女生路线。 之后的日子里，Gakki饰演过帅气的女狙击手、失意的音乐老师、只有一天记忆的高智商侦探、昭和时代的母亲，而且她还凭借《逃跑可耻但是有用》拿下了东京电视剧剧大赏的最佳女主角，当然，她这两年获得的表演奖项远远不止这些。     说句题外话，连Gakki这种宇宙无敌盛世美颜的女生都还在努力成为演技派演员，真不知道国内的歪瓜裂枣们有什么资格出来献丑？ 诶不对，今天我是来给大家推荐电影的诶，聊了这么多我老婆真是不好意思，下面就让我和大家好好聊聊我老婆获得日本电影蓝丝带奖最佳女主角的这部作品——《恋爱回旋》。     今年3月9日上映的《恋爱回旋》是新垣结衣和Legal High导演以及编剧合作的第一部映画作品，也是日本第一部乒乓球题材的电影，更是新垣结衣在大陆上映的第一部作品。本片去年10月21日在日本上映，以极小的成本创造了14亿日元的票房佳绩，虽然影片是一部充满了创作套路、轻便并且没有什么野心的励志小品，但是依然值得推荐给大家观看。     喜欢日本影视剧的朋友们其实有很大一部分都迷恋着日式的励志鸡汤，全世界真的只有二次元文化深入骨髓的日本才能把“中二”和“热血”完美地结合在一起，也只有日本的创作者可以把鸡汤熬得让人喝得下去。 和2016年在中国大陆获得了不错反响的励志喜剧《垫底辣妹》一样，《恋爱回旋》也是一部相当讨人喜欢的电影作品，某种程度上，两者还真的有异曲同工之妙呢！  





   《恋爱回旋》讲述的是一个被无数日剧诠释过无数次的故事，失意的女主角和失意的男主角为了找回人生的方向，向别人证明自己不是失败者，于是联手去做一件事情，并且在做事的期间擦出爱的火花，在经历了一系列艰难险阻之后对于人生产生全新的理解，同时也有情人终成眷属，而这一次，两人一起干的事情也就是乒乓球。 其实单单说故事本身，真的没啥好聊的，大部分日本励志片都会采取这样的套路，通过讲述一个或者一群失败者的逆袭之路向观众传达正能量的主题，而本片的编剧古沢良太并没有野心去挖掘这个题材更深层次的内容，他只是利用自己对生活的观察以及对于人物情感细腻的把握让这个俗套的故事框架散发了让人无法拒绝的魅力。  





   好的励志电影永远都是关注人物而不是关注理念的，尤其是体育竞技类的电影。如果创作者的目的单单停留在为国争光或者展现国家队实力的阶段，那么这样的体育电影总是空洞并且充满了让人作恶的爱国主义鸡血的电影，描述运动的目的永远不是运动本身，而是一个人从这个运动中可以感悟到的东西，一个人通过这个运动改变了什么，《恋爱回旋》极其精准的完成了这方面的任务。 和大量优质的日本励志片一样，《恋爱回旋》首先拥有的就是一群具有代表性并且与现实非常贴近的人物，从分别被劈腿的男女主角，中年丧子的夫妇，生活压抑的家庭主妇到失去学业留在乒乓俱乐部的四眼仔，这些或多或少在人生上遭遇暴击的人物在一个快要倒闭的乒乓俱乐部苟延残喘，想要通过打球来找回自己人生的快乐。 这应该是古沢良太在多线叙事的《愚人节》之后再次尝试群戏的创作，如果大家被《恋爱回旋》这个名字先入为主，认为本片是一部爱情片的话，那绝对是不公平的，至少在我看来，本片原本的名字《混合双打》才是最贴切的译名，“双”才是影片的题眼，就好像在告诉大家所有人的人生都需要和别人一起并肩作战一样，这应该就是影片的故事选择男女混双项目的最大原因吧。     《恋爱回旋》另一个让人喜欢的地方就是，它除了片尾女主角的一段内心独白以外再也没有对观众传达什么大道理，它几乎所有的燃点和泪点都是靠戏剧和表演去传递的，一个个瞬间，一句句台词都是恰到好处，编剧让我们在前半段尽可能地贴近人物的境遇和他们的内心，然后在最后的部分激发了他们之间潜在的默契。 而且作为一部体育竞技类电影，全片都没有出现什么赛前热血动员这样老掉牙的设计，对这个故事的角色来说，只要他走上了赛场，观众就已经可以完全感受到背后的情感流动和运动激情了。     而影片传达的价值观也是颇为让人喜爱，编剧并不想让观众看完了产生什么努力了一定可以实现梦想的假鸡汤，他突出的恰恰是努力过程中大家的收获，很多时候输了就是输了，但是输了也不会输掉全世界，赢了也不会成为天下无敌，人生并不是一场必须获胜的比赛。 生活吧，看的不是输赢，而是态度，这就是影片传递给大家的正能量了。  





   此外，影片的幽默桥段也是彰显了日本编剧最独特的创作思维。《恋爱回旋》虽然是不是具有漫画的夸张感，但是事实上它真的只是一个轻喜剧而已。它的笑点走的不是爆笑的路线，而是还原人物真实反应之后的合理变形，并且在很多时刻做到了与情景的反差感。 另外，古沢良太在片中展现几乎所有的幽默都是生活化的，有灵魂的，而不是为幽默而幽默，这样的创作显然是大多数大陆的喜剧创作者最为缺失的部分。 很多人都说《恋爱回旋》看起来像一个日剧SP，但是我并不这么认为，并不是所有院线电影走的都是明显的商业大片的路线，这么一部生活化的励志小品虽然不一定符合一部分人对于院线电影的标准，但是它作为油腻电影市场的调剂绝对是值得买票支持的。  





   说回爱情的部分，这一次新垣结衣和瑛太的CP真的非常般配，近年慢慢走上熟女路线的Gakki和走上邋遢型男大叔路线的瑛太让这两个角色的互动充满了错位的化学效果，以至于影片中明明对他们的感情描写并没有这个让人信服的情况下依然可以让观众感受到背后甜甜的滋味。 哎，真是羡慕瑛太，大家知道当两人接吻的时候，电影院的哀嚎有多么强烈吗！     当然，影片中最过分的还是这一幕！ 喂，濑户康史！ 把你特么的猪手给我放开！ 信不信我弄死你呀！     其实除了，新垣结衣，影片真的是汇聚了日本三代的顶级女神，第一的，当然就是我最爱的广末凉子姐姐啦，饰演压抑主妇的她其实是片中我最喜欢的配角，而她最后的那个满眼泪光的眼神真的是超杀的！     第二，则是影片中客串Gakki母亲的真木阳子，至于姐姐有多正点，大家还是去搜搜写真吧~《问题餐厅》的女老板演起麻辣乒乓女教练也是信手捏来。     影片的三位顶级女神当然就是咩酱永野芽郁咯，饰演了这么多次青春小女生之后第一次尝试腹黑的绿茶婊，小妹妹也可谓是完全hold住，当然，主要还是因为那年轻的能量太让人嫉妒了。 来，我们顺便感受一下史上最美哭泣的瞬间~  





   除此之外，影片中一个非常厉害的炸点来自于饰演中国乒乓球退役队员的苍井优，一口中国式日语笑喷全场，而她和丈夫一起打球的片段真的特么的有点燃~     最后，再送你一个老婆的微笑，一定要去支持《恋爱回旋》哦~❥(^_-  





 · THE END · 这是“不散”的 第 576 期 文章，天气热起来咯！ 本文由微信公众号 不散（busan-movie）原创首发，未经许可禁止转载",37.0,4.0,4
3,3,26972275,恋爱回旋,b54efec9f6c047b54bce46084948cd18,fe5ef36ff010e930bece1f94651788b7,5.0,2018-03-10 14:43:51,电影是一个人看的  所以一个人哭的很放肆  一个大老爷们  哭得没有顾忌    要说哪里最感动  跟其他朋友可能不太一样  最感动的是  比赛当日清晨  优马站在白板前   发出短信  迎着晨曦奔跑  「我去了               优马」  简短的几个字  坚定而不可动摇    世界上有很多光芒璀璨的人  站在事业的顶峰  而更多的人  在山腰间攀登  没有很好的天赋  不具备腾飞的翅膀  只是慢慢的慢慢的  向上爬  虽然自己清楚  自己永远不是登顶的材料  但也不轻言放弃    多满子打乒乓球是为了“复仇” 萩原打乒乓球是想陪女儿  弥生打乒乓球可以说是对违心应酬的发泄  落合夫妇打乒乓球是追念丧子  而优马呢  他可能唯一的私心就是不希望花儿乒乓球俱乐部倒闭吧  没有天赋  没有私心  他是真的热爱乒乓球  热爱这个俱乐部    平凡之人  并不在少数  像优马一样追梦  并不一定正确  却是最热血的事了吧,44.0,3.0,1
4,4,26972275,恋爱回旋,144c76b1c09512e7a5e8564701ffd413,c14201c53e0da45741fd4bf2b0331862,5.0,2018-03-09 20:18:25,凉子姐姐明知丈夫的反对 还是选择了参赛 当她在厕所里用不知道什么东西（扶额 把自己从一个端庄的黑发少妇变成一个热血的红发少女的时候 我忍不住骂了一声woc 谁不想这样任性一把！！！而且红发的凉子姐姐真的太帅了吧！！！！我爱她一辈子！！！ 而后来丈夫还是来看她的比赛了 不剧透太多 但凉子姐姐问他 我还可以继续打球吗 他板着脸说 裤子也太短了 虽然很老套 但我还是很感动！！,38.0,7.0,10
5,5,26972275,恋爱回旋,6aef4e618c43b960e183d5ff6b44f691,bae496ef49b411cd3630d011b3d734f9,4.0,2018-03-10 12:04:09,在工地的时候，多满子问萩原久，你没有打乒乓球的理由，为什么要跟我一起比赛，萩原久看着多满子的背影说：我想我应该是喜欢上 多满子回头，萩原久说：乒乓球。 虽然知道会是这样的情节，却还是被打动。你们有没有过这样的时刻，很喜欢一个人，想表白却又害怕很好的朋友关系被打破。 但那个时候我就已经觉得萩原久眼里的多满子格外好看了。是恋爱的感觉啦！ 还有就是萩原久来接多满子的时候，一秒钟亲上，多满子跳到萩原久的怀里，说为什么这么迟才来的时候。我整个人都是姨母笑阿！！！！！,19.0,1.0,1
6,6,26972275,恋爱回旋,64131433734aa1dc6898e8a9edc1a167,f9e0c9560d1536c19406fed8553a82fb,5.0,2018-03-09 19:28:25,1，都是些看上去不起眼的小人物，在生活中大都是失意者。2，都有一些看似不切实际的目标并为之而努力奋斗。3，主角在奋斗的过程中经历着很多挫折并不断成长。4，无论结果是否成功都感悟了一些人生道理并勇敢地走下去。就这部电影而言，俱乐部的几位成员都没有绝对的乒乓球天赋，但为了梦想始终没有放弃，一局没赢或是一分没得都不重要，重要的是对待它的态度始终没变。人生何尝不是如此，有的时候即使你拼尽全力也未必实现最初的目标，但是生活中有的人就是笨手笨脚仍然全力以赴，这就足够了。心之所向，素履以往。愿每个曾经为梦想而奋斗的人都能让梦想照进现实。,103.0,14.0,1
7,7,26972275,恋爱回旋,dab50930d2fc2f9a1d018f93f6dcf21c,10aec35353f9c4096a71c38654c3d402,2.0,2018-03-11 17:33:36,我跟我朋友觉得这是个五分片 决定一人打四分一人打六分。讲真就算我是濑户康史的粉也觉得这部剧剧情差的过分了。所有人物都不立体。渣男没有渣的理由，也没有回头的理由，后辈明明可以塑造成装可爱的小恶魔但也没表现出来。男主角也是糊到地心，要是因为要付抚养费和慰谢料所以压力大，那按照后面来看前妻明明就不恨他，而且前妻也很能赚钱，为什么压力还那么大。然后搬水泥就不能用小推车？？？那个kiss也是突兀...男女主角没有cp感 一个运动片连半点鸡血效果都没有 队里那个小男生的动机也没揭露……我觉得ai写剧本都得比这个写得好,16.0,8.0,3
8,8,26972275,恋爱回旋,6fa4a07ac7f1896e5311b5c8c8b31cb5,3e89723fc5b9f90b36e2ddd12d701675,3.0,2018-03-09 10:37:36,"感慨一下不愧合作过是《legal high》的导演石川淳一+编剧古沢良太，鸡汤+剧情+喜剧的比例拿捏的很到位，不会让人觉得太过偏颇。而且几个配角的故事也交代的比较完整，有血有肉。我gakki演喜剧真的有股蠢萌蠢萌的戏剧，可爱又不做作，虽然有长相的成分在但是演技应该也很上线吧。
从头到尾，我都没有感觉到这是个天才少女和职业拳手的故事，这个设定只是想让故事看起来稍微合理一点吧，但是作为观众，我觉得这就是一群普通人的故事，一个落魄少女，一个退役拳手，一对丧子夫妇，一个退学少年和一个前不良少女的家庭主妇。突然想起张爱玲的书中的一句话“普通人的一生，再好些也是‘桃花扇’，撞破了头，血溅到扇子上，就这上面略加点缀成为一只桃花”。这部电影大概也是如此，一群普通人往前撞的故事，一个人一辈子只要有一件事，是自己倾尽全力去争取的，那大概就可以称之为故事了吧。
缺点:终究觉得，男女主的感情线太过简单了，没有太多的描写就在一起了。

最后想说一句，整部电影有两个地方实在很不友善。
1 那个渣男抱gakki的时候你的手放在哪啊，和你已经再见了好吗。！！！
2 和瑛太抱可以，一定要选择这么狂野的拥抱方式吗。。。",77.0,7.0,8
9,9,26972275,恋爱回旋,8211f597fe6fe4922552ee3a01c59eed,363c82f3db54c99aaaa1281d1b277c5d,4.0,2018-03-13 11:24:56,乒乓球被称为是中国的“国球”，因为中国在这项运动上实在太强了，其他国家的乒乓选手几乎没什么存在感，除了日本的福原爱。 而这部《恋爱回旋》告诉我们，乒乓球不是只有我们在玩，日本也有不少普通人喜欢这项运动，甚至还拍成了电影。  《恋爱回旋》由现象级大热剧《胜者即是正义》的原班人马打造，集结了新垣结衣、广末凉子、苍井优三位女神，以及瑛太、远藤宪一、小日向文世等实力派男演员。 其中本片的女主角新垣结衣（gakki）素有“国民老婆”之称，直（死）男（宅）粉丝将近八千万，因此这部影片被称为是“新垣结衣大型情敌见面会”。  非常熟悉死宅那一套的导演居然还“官方玩梗”，影片第一个镜头就是男友视角下的gakki对着观众说：“我要结婚了，对方是年收入四千万的医生，日法混血，对不起啊，似乎抛弃了你......” 不知道这个镜头会对坐在影院的死宅造成多少暴击。  不过还好，这一切只是片中女主角富田多满子（新垣结衣 饰）的意淫，真实情况是她被渣男劈腿，还丢了工作，只好狼狈的跑回乡下老家，用酒精麻醉自己。 话说gakki“国民老婆”的人设能够在死宅群体中流行起来，多半也是凭借她在影视剧中一贯接地气的形象：空有女神的外表，实际上是女神经的内涵；感情戏不是被渣男欺骗，就是各种倒追宅男。 哪个死宅不喜欢这样的女生啊！  话说，《恋爱回旋》是gakki第一部被国内引进的电影，按理说那些在评论区一口一个“老婆”的死宅们应该贡献点儿票房了吧？然而实际情况是影片空有口碑，票房却远远不及同期上映的好莱坞大片，甚至比不上印度电影。 莫非这些死宅男粉都是“白嫖党”？ 其实最近几年国内上映的日本真人电影都是叫好不叫座，国内票房普遍在几千万上下，几乎没有破亿的。不信请看数据：《垫底辣妹》票房3745万，《深夜食堂2》票房1388万，《浪矢解忧杂货店》票房2874万。 2017年上映的《银魂》电影版根据动漫改编，是国内粉丝基础最强的，主创团队也集体来华，可谓宣传力度很大，票房依然没能破亿，只有8143万。  究其原因，一方面可能日本影视行业越来越自娱自乐，有点小众化了，另一方面就是政治原因。说起政治原因，其实韩国电影要更惨一些，最近几年都没有韩国片被国内引进，反倒是印度片有取而代之的势头。 其实中印之间就没矛盾吗？大海觉得一个健康的电影市场应该是百花齐鸣的，作为观众也不要太跟风，多尝试不同的口味才能提升自己的审美嘛。 三种不同类型的妹子，你选哪个？ 回过头来说《恋爱回旋》，这部电影的主题是运动+励志+恋爱，其实有不少套路化的地方，很多情节都似曾相识。要大海来说，这个影片的剧本就是复刻了《lovelive！》。 且看二者的相似之处： 同样是有“国民老婆”之称的女性角色（三次元的新垣结衣，二次元的矢泽妮可）；  同样是为了拯救即将倒闭的俱乐部（学校），主人公决定出道成为偶像，参加全国比赛，借以招揽人气； 为了组团参赛，主人公拉拢了形形色色的队友，有面临家庭矛盾的，也有面临留级处分的； 在一起努力的过程中，主人公和同伴们找到了自己的价值，重拾了生活的信心； 就连决赛的结果，也与《lovelive！》第一季如出一辙。  当然，作为一部乒乓题材的日本影片，肯定少不了“隐居中国乒乓高手”的形象。 苍井优就在里面扮演了一个川菜馆的店员，她的另一个身份是前任中国国乒队选手，专门负责训练主人公一行，队服也是国乒队同款。  其次，《恋爱回旋》也探讨了日本人的生活焦虑。比如广末凉子饰演的家庭主妇，她嫁给了有钱的医生，表面上风光无限，实际上却面临家务劳动与职场“太太团”两个层面的压力，打乒乓球成为她释放压力的一种方式。 职场“太太团”就是日本社会特有的一种现象，丈夫们在职场上竞争，同公司的太太们要轮流举办家庭宴会，表面上是增进感情，实际上也是明争暗斗，甚至会影响到老公的升迁。复杂的人际关系，想想就觉得心累......  总之，《恋爱回旋》虽然套路满满，但这也体现出日本电影工业流水化生产的强大之处。只要套用一个模板，什么样的故事都能产出质量不错的作品。 相比之下，中国虽然为乒乓第一强国，目前却没有拍出拿得出手的乒乓题材影片。倒是日本同行常用作品表达对这项运动的喜爱，并且对中国乒坛的“大魔王”们不吝赞美之词。 日本动画《乒乓》中霸气十足的中国选手 其实无论在乒乓还是电影领域，都要感谢日本这个和我们文化相近，又对我们非常了解的敌人。至少他们拍出来的影视作品，中国观众看了也能有一种亲切感，就像《恋爱回旋》里反复出现的麻婆豆腐。 相比之下，欧美国家玩乒乓球的人就不多了，对乒乓的印象和对中国人的印象似乎一样，都停留在非常刻板的一个形象。美国曾拍过一个喜剧片，叫《愤怒乒乓球》，里面也有关于中国乒乓选手的刻画，放张海报大家感受一下：  一个留着辫子，穿着清朝服饰的男人在打乒乓球，背景是一些中式建筑......可以，这很标签化。 有句话叫“舆论的高地，我们不去占领，敌人就会占领”，国内的电影同行们要加油了。中国乒乓的实力那么强，一定不缺少高燃、励志的故事。希望未来有一天，我们也能够书写自己的乒乓故事吧。,77.0,12.0,10
