,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27037539,这就是命,36c9283e9b67079d114c6d2566f816ff,5fd33b77d69771b93df0486f0d430ec1,2.0,2017-11-28 22:09:48,怎么说这部电影呢？好比你把徐峥打残废了，每个关节都捏碎，用芹菜当绷带，三天后徐峥下地，把《泰囧》演一遍，就是《这就是命》了。对照两个剧本：徐峥跟老婆感情破裂，王迅跟老婆分居冷战；徐峥追到泰国，遇见了黑帮；王迅追到了泰国，也遇见了黑帮。徐峥撞破了黑帮的佛像交易，王迅毁了大佬的珍贵古瓷。徐峥身边有王宝强这么一个傻乎乎的尾巴，巧了，王迅身边有龙大龙二两个傻乎乎的兄弟；《泰囧》结尾，黄渤太太生了；就这么巧，《这就是命》结尾，王迅太太也有喜了。其实导演耐心些，再等八十年，《泰囧》的观众大部分寿终正寝了，《这就是命》就很复古、很创新、非常原创了。   宁浩之后，大家都喜欢多线叙事的黑色喜剧；《泰囧》之后，大家都喜欢异国风情的公路喜剧。模仿徐峥不难，起码要做到《大闹天竺》的剧本水平，将《西游记》的故事包装成印度爆笑之旅，虽然最终票房不理想，起码创作者的诚意满满。《这就是命》里，笑料不能说不密集：王迅屡屡求死而不得、龙大龙二两次偷错了文件袋、赵英俊上演变装秀……影迷从上帝视角看过去，这些梗都带着别的创作者的体温。单独的笑料确实能让观者发笑，但这种笑是应激性的，不是结构性的；各种笑料之间不能形成有机的互联，倒像是一群强抢来的民女，戳在电影里等待亲人来认领，“我是徐峥的原配”、“我是跟《第五元素》那疙瘩来的”、“我是周星驰的老相好”……    其实批评《这就是命》没有太大意义；它不会占据太多排片，也不大可能成为票房大卖作品。问题是，小成本喜剧是一个非常脆弱的种类。与警匪片、古装片、史诗片乃至红色主题电影相比，喜剧和恐怖片是难得的可以让年轻导演创新的类型。对于华语片的创作者来说，从喜剧片里闯出一条路（比如宁浩、卢正雨），比凭借文艺片走红容易多了（比如毕赣）。从拿到投资、拿到龙标到上映，每个导演几乎都是幸运儿。然而对于喜剧来说，平庸太常见了，平庸简直是作恶，连续的《星期八》、《兄弟，别闹》、《这就是命》之后，小成本喜剧很可能成为投资的黑洞，在这个领域新人想出头就更难了。   来都来了，我还是建议大家看到结尾，结尾有黄渤演唱的《这就是命》，中年人的疏淡心情，真得很入心。,48.0,14.0,14
1,1,27037539,这就是命,47622239cc3d6d6cba071ade18192b04,d9625e87e1f0cf7dd5494c6d09729496,1.0,2018-01-17 20:23:20,坚持看到了最后一秒，想要寻找这部电影不止4.5分的证据，很可惜没找到。 电影情节和拍摄的手法相当混乱，剧情也不够饱满，想表达的感情线完全打动不了观众。 一堆谐星，都有各自非常优秀的代表作，但堆砌在一起，完全没有产生任何化学反应，这一切只能把锅全部甩给编剧。 喜剧电影，感情线不足也没有太大问题，只要你足够搞笑，能让人会心一笑就已经起码及格了，但看完之后我在写这篇影评的时候却在脑海中回想不起来任何一个让我有印象的搞笑镜头，着实可悲。 在东南亚题材，特别是泰国题材的电影里，竟然都已经沦落到靠人妖的暴露或是类情色的东西来夺取观众的眼熟了，看多了，就腻了。,6.0,3.0,2
2,2,27037539,这就是命,2ee42387979fe089ecb3c7f92b4956e3,51e4bd15d05e50b828e9aa67f918db63,1.0,2017-12-15 09:38:44,"恕我直言，这部片子一无是处。
哦我忘了，里面那个韩国男的长的挺帅的。但也就只是卖帅而已了。
剧情突兀，杂乱无章。跳脱无形，全篇主题不明显，反而制造一堆无用的笑点包袱。然后剧情不走心，观众进不去，笑点有个卵用？？
压根没笑好不好？我在电影院快看睡着了我的天。
知道我为什么会去电影院看这个烂片吗？因为我室友的男朋友来了，拉着我们两个好朋友陪他们去看喜剧。有那么多好看的影片不选，偏偏她选了这个。我当时心里简直日了狗了。 既然她都选了，她有男朋友她最大。那就看呗。我当时还想，她这么想看这个，没准这个电影做的不错呢。还暗暗告诉自己不要对这类喜剧抱有偏见。 结果去他妈的吧。什么鬼玩意？？ 它值得我那25块多的电影票钱？？？ 卧槽，你们知道吗？我从来没在电影院看过一次烂片！就因为它，我感觉我受到了耻辱！ 我已经不想多说什么了。也许有人觉得它还不错，但人各有志，恕我不能苟同。 它本来不值得我一个影评，但我实在太愤怒了，也太失望了。我必须要痛批它。 我爱自己的国家，我爱中国。所以我希望她强大。爱之深责之切。不管是什么，哪怕是一个喜剧电影。你最起码也要做到用心，而不是一味的抄袭，借耿，抖包袱。 我很失望，非常失望。 你们知道吗？这部电影里的哭戏居然把我尴尬的看笑了，这算不算一项本领？ 那些从这部烂片里硬扯出些意义的人你大可以洗洗睡了，你怕是没看过真正有意义的电影，别在这卖弄文艺了。 垃圾二字，足矣。",12.0,10.0,16
3,3,27037539,这就是命,f7c682cc4c7798e312617c5282c7ffd5,04254644fb0b2c45e241c9acab5fd36c,1.0,2018-02-02 08:17:19,"看了十几分钟，笑了好几次，但是仍然不能阻止本狼给一星0分，表演过于夸张不是不能忍受，可是桥段完全是烂大街的梗，部分剪辑为卖弄而卖弄，导致故事线混乱。

凑字数，高频突变的目的在于能够对同一目标试探出更加高效的识别姿势，这一事件的发生地及信号来源目前尚不清楚。采用的是逐步积累，随机点突变的方式进行，多次的优化。实际上大多数突变以错误和有害而告终。",3.0,3.0,2
4,4,27037539,这就是命,c8906e838e0cadd7b1531476b0d47a7b,8503c4eda24f7947dcd317d3509794d2,2.0,2018-01-31 23:21:02,从整个观影感受来说，很明显的能感觉到，这部电影受了《疯狂的石头》的影响。但是，只是模仿了《疯狂的石头》的形，在故事情节推动上，相比疯狂系类差距还是很大。剧情有很多反转的设定，但故事依然没有那么吸引观众，很多的反转太落俗套，观众不知道看过多少这样的反转。尽管如此，但本片还是有很多亮点的。比如王迅饰演的孟大卫第一次走进曾志伟饰演的反派鲨鱼家那一段，称得上本片最大的亮点，同时也是王迅展现演技的地方。另外就是金圣柱饰演的杀手，也是个让人记得住的角色，作为，本片的颜值和动作戏担当，金圣柱交了一份满意的答卷。但是另外两个配角，龙氏兄弟，看着就很尬，角色的性格设计没有贴合演员本身。赵英俊短暂的出场，很惊艳，想不到演起这种心狠手辣的角色，也是有模有样——《这就是命》,1.0,,0
5,5,27037539,这就是命,f1b5a886777ba62fdc5419cf19363751,85bc486c7781fcde2316056fca9f0145,3.0,2018-01-05 23:45:58,没去电影院，在线看完了，电影本身没打动我，就是及格线，也预料到评分不会高，但是，我更感兴趣的是，这部电影可以作为一个中国电影的标本了。 片子没有大导演，大明星，有小鲜肉但是过气了，一部平平淡淡的卡司正好当标本。 中国喜剧，宁浩黄渤这一波，把多线喜剧拓宽到流水线工业的水准了。抛开别的，剧本显然是合格的，没有亮点也没有缺点，多线逻辑自洽。显然，和其他烂剧本烂剧情不知所谓的电影比，高出一截。 最起码，这种剧本，比屎尿屁，比悟空传好多了。 没有大牌导演，明星，拍的再烂也就这样了，还是能看的。这就是一个快速流水线作品。 和知名的另一条流水线开心麻花相比，舞台剧磨出一个话剧的难度，跟几个编辑一星期的速成品，前者是精品，后者是良品。 然后，说说问题。 多线喜剧这玩意，从疯狂三部曲，到囧途，已经玩烂了，优点过气了，缺点暴露无疑，本质上它属于小众特色喜剧，让它抗合家欢喜剧大市场，扛不住的，如果喜剧昌盛，它吃一小角市场，没问题，但是现在国产喜剧没那么多好片，拿它上去顶主流市场，肯定挨骂。 特型喜剧演员不宜王见王。喜剧演员因为几个综艺才火起来，容易形成小圈子，也导致电影里抱团出现。但是喜剧演员都有自己搞笑气场，天赋，说白了长得丑，好笑。一部好的喜剧需要红花绿叶，丑演员就是红花，几个丑角见面，全是红画没绿叶，整个垮掉。这部电影里，曾志伟，王迅，河南兄弟俩，四个丑角，就女主和杀手是正角，谁给谁配戏呢？ 建议以后喜剧不要扎堆，最多加一个丑配，喜剧的丑角是来破坏正角塑造的虚假荒谬规则的，全是丑角，谁来构建规则？ 然后，是审美问题。一般来讲，审美是一种文化背景，它属于拿来就用的，背后有很多东西，你可以不会不懂，但是拿来用，观众能透过它看到很多东西。当年香港电影能征服大陆，因为香港发达，电影自带了领先十几年的审美审美，现在这种审美没了，屎尿屁也就没市场了。 多线叙事因为情节复杂，所以更需要强化审美，每条线的人物色彩必须鲜明。大家都用自己的逻辑自己的背景碰撞，才是多线叙事核心。 很显然，这片子审美很失败，人物塑造非常单薄。同样是河南人，王宝强就抓住单纯，耿直，文化低，开朗农民，这些审美特色，他的行动也符合这些特色，这些特色也被社会认同，而本片里河南兄弟就是说着河南话的东北人。王迅的背景特色更单薄。 如果我是摄影，片子是在泰国，基调肯定是蓝白亮色，每条线服饰都是高饱和亮色，而不是就杀手亮的个性。最后有几个镜头那种西部感，旅游感很好，我就不知道为啥正片不用这种镜头。 杀手用金圣柱，不好，如果是一个四五十岁胡子茬酷大叔，黑风衣，会更有味道，整条线发生意外都和小loli有关，碰撞更强更好玩。嗯，一定要自带bgm出场。 相反主线王迅，找个小鲜肉，会好很多，一个年轻小鲜肉前天还酒池肉林突然发现要死了，生命最美的时刻却要去死亡，整部戏都可以是板着脸庄重的去死，最正常的脸才压的住，俩大牙实在是淡化了这种审美冲突。 人设学霸，厦门鼓浪屿钢琴家，黑色天鹅绒小西装，可以塞进去好多好多东西。 河南兄弟，改成一个河南的王宝强，一个上海的徐峥，会比较好。一个执着愣头青，一个嘴硬软怂。王宝强换黄渤疯狂石头黑皮那种愣子也好。黄色旅游沙滩体恤，沙滩草帽 曾志伟实在是不应该出现，太抢了，随便换个香港黑帮片主角都行。白色西装衬衫。 总之就是，这片子个条线的人设都不够硬，风格软，搞笑，没特点。必须把脸都板起来，不然黑色幽默就出不来。 审美，才能建立各条线的逻辑方式，塑造出一种宿命感，黑帮就是要杀人越货的，结果死于内讧，出来混总要还，老实人就是要大难不死，这就是宿命感。 如果没有宿命感，多线叙事结局就会让你产生这是编剧生拉硬扯的，开金手指怼死的，导致无法完美自洽。杀手死的就莫名其妙，还答应过的事，意思是事先埋伏的，结果他死了，简直6。之前也从没铺垫过杀人者总要被杀，非常突兀。,15.0,5.0,9
6,6,27037539,这就是命,3ab7b1c79208b75fe3048b3b043b76d8,799e3be761c328551277df1f13071fef,2.0,2017-12-04 09:36:18,"本来不想去看的，奈何朋友非得要去还迟到了错过了一点片头≥﹏≤槽点太多，随便吐一吐。巧合意外连接的生硬，大潘的设定有点和王宝强类似，但是半傻不傻，让人喜欢不起来。还有就是曾志伟近几年一直在电影里客串反派，一出场就让人觉的是内鬼。王迅不想多说，一直就不喜欢，沧桑的更一言难尽……
韩国小哥最后不计报酬就想杀死王迅，可能是真的急眼了，还挺可爱的。

电影里的意外，让我一点都不觉得意外，几乎所有的伏笔都猜到了。可能泰国旅游比较便宜，电影拍的也多，下次可以换个地方了。",3.0,2.0,0
7,7,27037539,这就是命,9177290d8694de7f7ed3af8a57ee0f79,1d1dc47f25f04deb10e3e8093b04edaf,,2020-06-21 18:36:01,我是余欢水跟这个大纲一样啊…套路不同而已…余台词和剧情方面更得当一些。天…不会没人发现吧。…………………~…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………,,,0
8,8,27037539,这就是命,97e094b8257cdb1cbeb520893a260109,27674d77411d0d1a443d7300c1eb89fc,,2020-03-30 11:48:39,本剧的主人公孟大卫，被医院误诊为癌症晚期，被女友抛弃，一心想要寻死，在准备跳楼的一瞬间，接到了保险公司的电话，于是就想着让自己意外死亡，给女友留一笔赔偿费，于是阴差阳错的去了泰国，在泰国，他又阴差阳错的遇上了两个做骗人生意的龙大和龙二，一个帅气却冷血的杀手，还有一群黑帮团伙。虽然男主的长相确实不尽如人意，但他有一颗好人心，有一个女朋友，本身美好的生活被误诊而打破，然后又因为误诊引起了一连串啼笑皆非的荒谬故事，但是在最后的结局中，他在得知自己是被误诊后勇敢的向女友求婚，而女友也欣然接受,4.0,1.0,1
9,9,27037539,这就是命,f36c0db81df03c11078cfca4c62d9355,99de99a9502f123f2698c85400cfecd4,2.0,2020-03-21 12:50:12,"这就是命抄袭了我的电影原创故事《我为老。婆骗保险》，正在维权中。。  　公开维权声明：电影《这就是命》创制作团队（包括bei'jing乐华圆娱文化传播股份有限公司等相关公司，以及编剧李超等成员），本人认为贵电影抄袭侵权了《我为老婆骗保险》的电影原创故事，现将来龙去脉以及本人意愿行动简述如下：
　　1，首先声明，说真话：本人对贵团队没有多大的恨意，相反有一点感谢和小欣喜，因为是你们让我的故事得到了市场的认同和相关价值体现，让我在编剧行业内的才能有了一个可以展示的机会。
　　相信你们原来的故事，电影简介：该片讲述了身患重症的孟大卫远赴国外寻找妻子杨晓楠，无奈因一个神秘文件袋卷入黑道鲨鱼的案件中，进而一路阴差阳错引发了诸多啼笑皆非的故事。（来自百度）
　　有多大的商业价值和思想内涵？但是你们的电影却取得了约5400多万人民币的票房收入，以及腾讯视频约1.3亿次的点击量，爱奇艺的无法统计。可说商业上取得了较大的成功。虽然豆瓣评分并不高，4.3分吧。
　　相信正是因为贵团队大改了故事，引入了孟大卫为了家庭，自杀骗保的主线，以及和杀手副线的次要矛盾冲突，而产生的效应。
　　在此理由不详述，如果你们需要解答，本人可以回帖详细说明。
　　所以本人会有一点小欣喜，因为本人的原创，可说自己的孩子得到了市场的认可，主要基于商业价值和思想内涵两方面，得到了主流观众的同情和共鸣。 （部分内容）",2.0,,7
10,10,27037539,这就是命,586eea6e31fe72587fde9b68c5eabf3d,94a0ab5b0fe1b607d96233660da7524a,3.0,2019-05-02 22:01:52,"主创见面会，听说导演并不想煽情，只想拍纯娱乐的喜剧。那么导演确实做到了，全程跟着笑的占多数。王迅很适合这个角色，喜怒哀乐非常得当。其他人都表现平平。韩国小哥很卖力。只不过最后非要弄出一场死亡来洗白一个角色挺多此一举的。虽然很套路，但依旧幽默。一句话，感觉又看了一遍泰囧。
还算笑点不少，王迅被博哥带起后的首部电影。一开始笑点比较多，后面弱了。黄渤唱的主题曲真的很好听。",,,0
