,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27068887,BORDER 赎罪,6e91dcd2127add1032096948869c4efd,57cff08dcfc45b281a63d8de3b527a9e,5,2017-10-31 14:23:54,"等了三年，终于等来了BORDER的续篇！金城一纪大约是个说话算话的人，承诺了要给大家一个续篇，就不会在SP里写一些无关紧要的前尘往事花边新闻，故事就从3年前电视剧的结尾开始，3年前我们所有的争辩到了现在由他给出了最权威的结论。 他就是要让我们知道，别争了，没有什么开放...

                         ( 展开 )",30.0,1.0,7
1,1,27068887,BORDER 赎罪,de46fe0c00e813987aaf9eead18bbf5c,de46fe0c00e813987aaf9eead18bbf5c,4,2017-10-31 18:30:11,"这篇影评可能有剧透 

                        10月29日，由小栗旬主演的《BORDER2：赎罪》登陆日本荧屏。这是2014年一部名为《BORDER》的悬疑剧的特别SP版。  《BORDER2：赎罪》作为《BORDER》的续集，主要人设和故事情节都是延用之前的，尤其是这特别SP版中的相关人物和故事完全就是《BORDER》第九集的后续。如果是几年前...

                         ( 展开 )",15.0,1.0,0
2,2,27068887,BORDER 赎罪,e838eda84ca1743f4768fd0ca62216f8,594ddeddecdf3361a5d2388e4e367237,4,2018-01-09 10:42:50,"这篇影评可能有剧透 

                        这篇是关于BORDER全系列的碎碎念和看法，较长…… 不好不坏。虽然金城一纪大胆给出了自己的答案，却没有断言谁是正解，而是委婉地通过安藤之口完成了自我质问，从而保持了正义与邪恶的微妙平衡，也避免了剧情陷于偏激，这一点很好，但缺憾在于这案件…是不是有点水过头了。结合...

                         ( 展开 )",7.0,,1
3,3,27068887,BORDER 赎罪,d205a6905b213cfac972ee5f1af18506,ffa2fab14443c434da74e3580a53d6f3,5,2017-11-05 21:29:08,"这篇影评可能有剧透 

                        首先我太喜欢这个画面的质感了，还有这种日系滤镜，画面很细腻，每一帧都好看，栗子的每一个眼神都是戏，影片围绕的中心就是一个哲学的课题，深刻了透析了什么是正义，什么是罪恶。就是哲学说度，绝对的正义就是在绝对罪恶的临界点，而sp的赎罪，就是说正义的人就算跨入罪恶，...

                         ( 展开 )",2.0,,0
4,4,27068887,BORDER 赎罪,74b9058ae506f87be0e4ee1807ea9fb5,7091387e996d667f10a2600ab71b0abf,5,2017-11-01 13:43:22,"这篇影评可能有剧透 

                        《BORDER》这个sp可以说是超级无敌之好看了。虽然离前作已经过去好久了，但是看到时候真的仿佛回到了之前看到时候的感觉。         不同于日剧或者日漫的戛然而止，故意不肯结局留下悬念最终烂尾，这个结局可以说是给了我一个痛快吧，没有明说，但是主角终于做出了自己的选择，...

                         ( 展开 )",8.0,,0
5,5,27068887,BORDER 赎罪,8b69158b4b916c3b52f83c5f56f699a0,58cb95ad09474872048a41a944d5ad58,4,2017-12-10 15:13:15,"想想也挺不可思议的，当初看正剧的时候还处于蝙蝠侠消化期，对于以正义的方式维护正义感动得要命。糟糕的是，这几乎意味着正义总是处于弱势的，甚至石川无法像蝙蝠侠一样成为罪犯们的恐惧。又随着目前社会形势的恶化，我都要产生管它正不正义不消灭就无法根除的极端念头。也许...

                         ( 展开 )",2.0,,0
6,6,27068887,BORDER 赎罪,c37879fd517eacfded05be96a9a53381,c37879fd517eacfded05be96a9a53381,5,2020-02-26 10:09:05,"正片一晃结束这么多年了，久到都忘了去看SP，其实SP都标记想看有两年多了！ 在如此飞逝的时光里，经过那么多，好被人记得的情节，才是真正好剧的标准吧！ 看到开头天台一幕，前面所有的情节都一股脑想起来了。从子弹进了脑子，到医院草坪长凳上寸头的样子，西装的颜色一路越来...

                         ( 展开 )",,,0
7,7,27068887,BORDER 赎罪,3147e83eb8fcf0260d9f0ef804a9acb2,2c3cc298676201daceaf205b94178a37,4,2019-11-03 11:08:15,"黑暗和光 偶然看到《BORDER》第一季，以为是部“闹剧”。待看完，它不是。 又，看了这部《BORDER2》SP。它也仍然不是闹剧。 SP紧接着第一季的第九集继续讲述。 一、黑暗 《BORDER》是9个故事。 石川中弹，生死徘徊，然后有了通鬼的能力。在探案的过程中，他可以遇见死者的灵魂...

                         ( 展开 )",,,0
8,8,27068887,BORDER 赎罪,b902246c6eb5748bcf7c677f784dca59,06475174d922e7dcbb3ed34c0236dbdf,5,2018-03-08 14:32:09,"之前看过一个border的评价，说编剧真的心思缜密到让人觉得很够味。小栗旬在剧里面演的一个正义的，能见到死者灵魂的刑警，虽然说这部剧是几年前的了，但是质量和完成度很高，让人沉浸其中。 在续集里，男主的好基友也说过，男主给人的感觉就像是走在钢丝上的人，摇摇晃晃，神经...

                         ( 展开 )",2.0,,1
9,9,27068887,BORDER 赎罪,18980c46b4cca2bbe231e170b672c02c,bc4d1779dbe3bb5b50c39ac2e71404c3,4,2017-12-04 10:48:26,"時隔三年的SP！意猶未盡!石川越界後的感官衝擊,原班人馬演技在線,看不出一點橫跨三年的痕跡.台詞謹慎有深度,沿用了第一季燃爆的BGM,劇情整體水平下降但總算沒崩.結尾石川就""為了正義殺人和為了罪惡殺人的感覺有什麼不同""這句話的回答呼應劇名(贖罪). 也算是對TV版結局的交代和...

                         ( 展开 )",,,0
10,10,27068887,BORDER 赎罪,01eb2499c9a3a957f8cf83aabf5897e8,e92bf9ba184b763169c06aeac39f3abd,4,2017-12-01 10:08:48,"我正好是今年才看了前几集才看这两个SP，所以很舒服； 整体中规中矩，没有前9集那么虐心，还算可以，建国你丫又黑化了； 作为摇滚迷，BGM没变很爽，这鸟乐队漏过真容么？霓虹活结？ 波瑠真美，桂纶镁who?就是那小短腿。。。妹子你真有165么？ 国村大爷演的有点装逼，远藤宪一桑...

                         ( 展开 )",,,0
11,11,27068887,BORDER 赎罪,1a25b79e17fe5bc8decc7895944bda3b,70add9ca1e81280949aaaba88173818c,5,2017-11-30 14:54:40,"“欢迎来到这边的世界。”一个鬼魂对一个活人这么说道—— 故事得从三年前《BORDER》的第一部说起，警视厅搜查一课的青年刑警石川安吾（小栗旬 饰演）在执行任务时头部中枪，子弹卡在了脑袋里，人虽然没死，但是从此之后，石川拥有了能看见受害者鬼魂的超能力。本就被沉重的正...

                         ( 展开 )",,,1
12,12,27068887,BORDER 赎罪,7c9b11d046eff60901ae74e7c9386c38,896a663fcd4b3392a6936139f0ee9896,4,2017-11-27 15:29:38,"这篇影评可能有剧透 

                        不再被正义束缚真是太好了 去拯救更多的灵魂，也拯救自己吧，安吾 《Border 赎罪》 栗子说从border第一集到赎罪SP，石川变成了真正的hero。栗子觉得所谓hero都背负着无法被理解的痛苦和绝望的孤独。演绎赎罪时，感觉石川已经决心独自一人前行，虽然是艰辛的决断，栗子说心里也...

                         ( 展开 )",,,0
13,13,27068887,BORDER 赎罪,7c9b11d046eff60901ae74e7c9386c38,896a663fcd4b3392a6936139f0ee9896,4,2017-11-19 18:43:46,"这篇影评可能有剧透 

                        不再被正义束缚真是太好了 去拯救更多的灵魂，也拯救自己吧，安吾 《Border 赎罪》 栗子说从border第一集到赎罪SP，石川变成了真正的hero。栗子觉得所谓hero都背负着无法被理解的痛苦和绝望的孤独。演绎赎罪时，感觉石川已经决心独自一人前行，虽然是艰辛的决断，栗子说心里也...

                         ( 展开 )",,,0
14,14,27068887,BORDER 赎罪,a8e78f311cd4892c1cf4eb8b450aaf83,ae09689a4dec0edd0e4412bbbdc2a472,4,2017-11-07 10:00:55,"这个SP的连续剧版算是我最后一部主动追的日剧，之后我就陷入了被西岛秀俊在[MOZU]（好像2014年的日剧取名方式都是这样，前两年是“名字长才够漂亮”）里的颜艺所支配的恐惧，受不起受不起，弃剧而逃。 导致我对日剧的表演方式接受度变得很低，基本脱坑了。 所以，[BORDER]算是...

                         ( 展开 )",,1.0,0
15,15,27068887,BORDER 赎罪,036c82b58d790a7867244afcda9e8178,c4930149629e4b82d5de35c893891030,4,2018-05-07 09:40:53,"这篇影评可能有剧透 

                        大声告诉派爷，最近网盘界最火的电影是什么！ 不用思考，是《昆池岩》无疑。 但推完很多宝宝在后台留言说想看但不敢看。 隔着屏幕派爷都感受到了你们迅速划过文章点完赞就跑的紧张感。 那就……推荐个猎奇紧张但不恐怖的？ 《BORDER 赎罪》 我们毕竟是连正儿八经的恐怖片都不敢...

                         ( 展开 )",1.0,,0
