,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27157811,死于明日,84a52aa41b45b2388998c8f44c148bce,b1f4f53971765e33d52fc9db7c0678b2,5.0,2019-01-16 11:18:25,如果电影真的能延长人类三倍生命，那么他们将剥夺我们观看电影的权力，独享生命的漫长。庆幸的是，这种假设并不成立。 事实上，电影里死的人比战争还要多，在它看来“杀死”一个人是那么的平常。为了拉近我们与死亡的距离，电影不断的用它独有的影像特质展现着时间本体与个体生命的相遇，让跳脱出他人时间维度的我们围观时间轴上的生命尽头，同时复杂的情绪也随之渗出，“迫使”我们平静的接受死亡以及背后模糊的哲学含义。 海报 泰国导演纳瓦彭·坦荣瓜塔纳利的《死于明日》就是这样一部极具个人风格，关于死亡却生机丛生的文艺片。 影片综合生活哲理、科学数据、新闻广播、照片、家庭采访等多种信息媒介，对死亡新闻文稿和个人回忆录进行了电影文本的虚构重建，细腻的呈现出了人们生前一天的生活状态。  同样讨论生死，纳瓦彭·坦荣瓜塔纳利轻盈的避开了前辈阿彼察邦热带雨林的神秘与晦涩，把视角拉回了现代城市，清新的画面化解了惯常谈及生死时难以避免的凝重，平静如水的生活日常淡化了死亡的未知恐惧与悲悯情绪，人们怎么去理解和接受死亡，或许能在片中找到些端倪。  全片由7段老中青“虚构生前”的短片组成，用总角孩童与期颐老人的视频采访串联，这不仅覆盖了全年龄段，也构成了文本上对死亡认知的“两极调度”。 一、四个信星座的女生 毕业典礼前夜，四个女生在酒店房间里小聚庆祝。她们谈论星座，说着未来，啤酒喝完，由星座决定谁去楼下买啤酒，结果去买啤酒的那个被撞身亡。  到底谁死了影片并没有交代。是想去美国的？是想结婚成家的？是想开潮牌店的？还是想去基辅的？清晨服务员来打扫房间，聚会的快乐时光已凝固，未来对四个女生中的一个已不再重要。 二、死在交易所的商人 交易所里一个商人在睡梦中安静的死去，五个小时后才被发现。这是本片最短且最不安的死亡场景，没有情节没有对白，只是一个人歪着头瘫坐在椅子上。  世界还在运转，大盘的数字在不停变动，而一个人的时间已经用完。他梦里发生了什么？是美梦还是恶梦？心脏骤停是因为股票暴跌还是暴涨？或许那真是商人睡觉的画面，但随着五个小时过后所有已不再重要。 三、回家拍照片的姐姐 在美国生活的姐姐突然飞回泰国老家，不停的拍照留念，骑着弟弟的摩托车外出时被倒塌的重物砸死，那一刻她正在给一只小狗拍照。  可以说本段落是导演《36》的翻版，怀念家乡和家人的姐姐，在家乡死去不正好是命运的安排，随她“心愿”吗？那些不明所以的照片，是她生命的定格，留给家人的礼物…… 四、比她先死的丈夫 身患重病等待心脏移植一直未果的妻子，每天与死亡交汇，丈夫要去美国出差几天。一如往常，她给丈夫修剪指甲，叮嘱他。每次家人的短暂分离，表面平静的她都会当做一场生死离别，毕竟心脏病随时复发的她会随时离世。结果健康的丈夫飞机失事死去，她的心脏移植成功活了下来，生死无偿世事无偿。  短片最后，在座椅上睡醒的妻子失声痛哭，前面长镜头记录的内容居然产生了多义性，那场景究竟是丈夫出差前她的留恋不舍？还是丈夫已经离世，怀念丈夫的她梦回丈夫生前日常？重要的是丈夫已死，她已重生，生活还要继续下去。 五、享受“死亡幸运”的女星 新闻报道，一位女星（品牌代言人正选）因救人而遭遇车祸生命垂危，另一位女星（品牌代言人备选）在拍摄间隙安静的吃着东西，听着别人谈论重伤女星，吃着吃着，流出了泪哭花了妆。最终因正选女星的死，厂商选择了她，那一刻转悲为“喜”的她去给家人打电话。  这个长镜头，记录了一段极其出色的表演，景框慢慢前推，从片场背景到女星特写，不断放大女星的脸部。女星脑子里在不断的处理着周遭关于车祸女星的信息，不断的利用情绪管理抑制着面部真实表情，还是稍稍失败了，之后开始处理即将得到代言的信息，又而转入另一种情绪的表演。  两个女星到底是竞争对手还是圈中好朋？这是对死亡的真情流露还是表演？还有得到代言的欣喜和死亡情绪的碰撞，都在这段短片中展现了出来，可以说这就是死亡对另一个人工作上暂时的意义。 六、被情所困的男生 得不到女生、生活认可的男生轻生跳楼留下遗言，在不知男生即将自杀的情况下，拒绝他的女生与邻居杂七杂八的谈论着男生。  坠楼致死率93.4%，死亡时间4.56秒，不知道为什么男生选择了排名第7的自杀方法，就像女生一个讨厌中式火锅，一个讨厌泰式一样。 七、喜欢安静的音乐家 午后家中，清风徐徐，女儿给音乐家做着头部按摩，他安静的睡去平静的死去，生前没有工作打扰，还有女儿陪伴，这或许是他最美好的一天。  在稚嫩与老弱的问答中，镜头安静的洞悉着人们的死之前生，记录了生命置于时间之中的本质，那些不同画幅的静谧的私人的日常影像，一旦点缀上了死亡，标记出了生死的界限，情感体验便发生了微妙的变化。那是一种无法言说的朴素禅意，所谓“浮生一日，蜉蝣一世”，而在看蜉蝣的我们又是谁的蜉蝣？ 据说世界上每秒钟会死2个人，而《死于明日》定格在了70 分21秒，观影过程中已有8442个人先后离世，他们有的想去美国，有的离开美国，有的欢快无比，有的愁云惨淡，有的生死离别，有的涅槃重生…… 幸运的是你读完了这篇文字，不幸的是我们离死亡又近了一步。 Ps：我并不是忽略了每段短片中出现的花，只是生命赋予我不懂花语。,134.0,3.0,15
1,1,27157811,死于明日,8c188a87b0f1d3b8ecdd2e04b72a068a,c7e776ae2a0e9075e4d43f23c328a4a1,5.0,2019-01-04 23:01:10,我和男朋友经常在闲聊时讨论有关死亡的话题。我会摊开左手掌心，跟他讲从小就有人说我的生命线很短。跟他一比，果然短了一半还多。所以，我大概只能活到你的一半年纪。余生还有那么长，到时候年老色衰也不可能再找到什么合适的人，一个人过日子得无聊成什么样。 于是他也开始为我的长寿打算，让我按时睡觉，少喝酒少抽烟，换掉需要加班的工作，远离令我焦虑的老板。他说：一生计划看两万部电影吧，如今你才看了三千多部，按一年350部计算，还得活48.57年，这样你大概活到80岁，我到90岁死，等你死了还能怀念你几年。 我说：如果哪天得了重病，千万别插我一身管子让我接受痛苦的治疗，一定要飞去北欧某个国家让我安乐死。如果你真的比我先死，那我可能一刻也不想多活了。 还有，我死的时候真的不希望爸妈在场，最好我的死亡成为一条简讯，在一切尘埃落定后发送到他们的手机上。这一切的前提是，我笃定我的爸妈一定会比我晚死，因为他们一辈子都顺遂快乐，尤其是我妈，年轻时候脾气太大，一点不顺心就暴跳如雷，骂我打我也是家常便饭，所有负面情绪都抒发出去了，怎么可能不长命百岁。而我自小体弱，心思又多，还是讨好型人格，所有的不快乐都藏在心里，能多活一年就得多感恩上天一次。 我们从不忌讳谈论死亡，而我有的朋友则不是，以来自山东和东北的朋友居多，偶尔提到不吉利的话，他们会立即要求在场的人一起“呸呸呸”，赶走所谓不吉利的兆头。我们没有这种习惯，反而觉得越常提到死亡，死亡就越不容易靠近自己。大概跟见到鬼跟他握握手是同样的道理。 去年，我的一个朋友得癌症去世了。他走的时候挺平静，在病房里还会寻思着每天点些什么吃，他说某一天从床上起身的时候忽然头脑失去意识一口气提不上来以为就要过去了。从那以后，他就对死亡不那么恐惧了。反正，该来的总会来。 所以，他也很少哭了。除了得知自己病情的时候哭过一场，再之后就是奶奶忽然打电话跟他说做了一场梦，梦到他身体不太好，问他是否一切还好。那时候奶奶还不知道他得了重病，放下电话的那一刻，他缩在被子里哭了。 小S在《康熙来了》中曾因为吴克群翻唱已故好友杨明学作词的《我不难过》而失声痛哭，她说去KTV要常点这首歌，不要因为怕想起死去的人难过就避免提到他，否则他会以为活在世上的人都忘记了他而感到伤心。 死亡离我们太遥远了，我们每天连如何活得更好都想不清楚，更别说去思考如何迎接死亡。电影中倒是经常有人死去，动作片拍君子报仇十年不晚，犯罪片拍连环杀手冷血无情，爱情片拍生离死别天各一方，战争片拍炮火连天横尸遍野。死亡在银幕中每天上演，不够惊艳的死法甚至会让我们感到无趣。似乎从另一种角度说，我们早已看惯了死亡。 所以，还能如何通过电影更好的描绘死亡呢？关于《死于明日》，我想说的话都在短评中了，再复制粘贴一遍：如墨水滴在宣纸上，以极为私人与间接的手法晕染出最宏大的影像质感。缺席的逝者与在场的生者共同勾勒出死亡飘忽不定的虚无感与触手可及的实体感。死亡以回忆、亲历、忘却三种释义，完成其过去、现在与未来的三重自证。 于观众而言，他们以不同的身份参与着死亡。倾听者、回忆者、对话者、探视者、偷窥者、讲述者、还有死者。死亡在发生的那一瞬间即被定格，死者被遗忘在原地，而生者则如潮水一般继续向前滚去，与死者的距离越来越远。 村上春树说：死并非生的对立面，而是作为生的一部分永存。对此，我无比赞同。,59.0,21.0,13
2,2,27157811,死于明日,955c97bd51f4be6a2daf085cf0ddde06,6c833358309675a8b23181994ac38ac9,4.0,2018-06-17 12:17:57,开头是四个女孩对于星座的探讨，年轻肆意，在杂志上涂涂画画，对未来的梦想与希翼，随着一场车祸戛然而止。写满梦想的杂志被保洁丢弃垃圾桶，一切仿佛没发生过。 一个生意人在证券市场死亡五小时后被发现。 一个从纽约回来的姐姐在帮弟弟拍照，想去一家店吃饭，弟弟说今天人很多，大后天去吧。第二天姐姐开摩托车停下帮小狗拍照，被电线杆砸死。 一场海啸很多人失去生命。 一个演员为了救一个受伤的摩托车手被车撞死，另一个演员因此得到了代言人机会。 一个小孩说死后变得虚无，他第一天知道死亡这个词就去谷歌搜了。 排行最高的10种自杀方式，第一种是开枪击中头部，死亡率99.8%，用时1.2秒。 阿宝跳楼自杀了，为情所困。 一个心脏病等每天有死的人可以捐献心脏的女生，帮男朋友整理第二天去美国出差的行李。结果那架飞机失联了，找不到了，故事的结局女生最后康复了。 一个老音乐家在一个安静的周一在家安然离世。 一个103岁的大爷说他的妻子，孩子在很久以前就离他而去了，活得久的人最痛苦，也许是基因，也许是老天注定让他活得久。之后他又过了104岁生日。,10.0,,2
3,3,27157811,死于明日,ecba977d0d1d0260a47a8a2f3b1a95a9,b80ba05113c6e8b5ed564cd198d84e9d,3.0,2019-03-07 12:32:30,"上次跟家里打电话，我妈还说邻居大娘住院了，昨天早上我再打电话的时候，我妈告诉我，大娘去世了。 大娘是看着我长大的，记得很小的时候，夏日中午会端着饭碗去大娘家院门里纳凉，她家有只巨型犬，身上有条状斑纹，大家都叫那条狗老虎狗，奶凶奶凶的。我就被它咬了一口，咬在了手指头上，我应该是哭得很凶，大娘拿了那个年头儿很珍贵的人造肘子肉给我吃，黑白相间的透明圆状物，味道却怎么都想不起来了。 我在千里之外，什么也做不了，只能拜托妈妈帮着焚些纸钱，聊表哀思。 死亡是什么？ 在我的理解中，死亡就是消失，就是再也不见，就是失去的那个人，做梦都梦不到了。死亡就是，某些遗憾永远成为遗憾，某些未曾在意的小事成为永远无法弥补的悔恨，某些过错再也无法被原谅。 今天要推荐的是一部关于死亡的文艺片，英文名字《Die Tomorrow》，中文翻译为《死于明日》，豆瓣评分7.4。 这部影片只有七十五分钟，由泰国80后导演编剧纳瓦彭执导，这位年轻的导演以拍摄短片闻名，《死于明日》这部片子讲述的六个故事全部来源于真实的采访，因为真实，也更加震撼。 其实这部片子看起来有点儿瞌睡，整个画风都是很沉闷与平淡的，没有激烈的剧情，大部分时候都是生活中很琐碎的对话。不过我又很喜欢这种烟火气的琐碎，经常在写长篇的时候会仔细地记录下人物的每个动作，每个眼神，每句可有可无的话。 一、天亮毕业的女大学生 第一个故事的主人公是非常年轻的生命，几个女孩子只有二十一岁，第二天是她们的大学毕业典礼，头天晚上，四个女孩子在酒店开了房间喝酒聊天，约了化妆师四点钟过来给她们画个美美的妆容，自己人生中最重要的一天，一定要美美哒。 四个女孩子挤在沙发上聊自己对未来的构想，一个想要去纽约，一个准备去乌克兰的基辅，一个想要创立属于自己的服装品牌，一个想要结婚生子有个幸福的家庭。她们都笑得很开心，对杂志上的星座运势不满意，然后提笔修改各自的命运。 光明，灿烂，远大，这是她们的未来。 但其中一个女孩子却在下楼买啤酒的时候被失控的大货车撞到，凌晨2点15分，她的生命定格于此。 片中并没有说是哪个女孩子遭遇了不测，故事结尾，酒店清洁工进来收拾房间，她并不知道这个房间曾经住过的女孩子发生了什么，而放在沙发上，写着她们命运的杂志被当做垃圾，扔进了垃圾袋里。 每个人都憧憬着美好的未来，心中怀有希望和梦想，可大部分时候，我们不会考虑，还有没有时间或者机会去到达那个地方。  二、证券交易所的男商人 第二个故事非常短小，没有对白没有情节，一个商人死在了证券交易所大厅的椅子上，五个小时后才被人发现。 交易大厅显示屏上的价格数字还在滚动，红的绿的，他应该是盯了一晚上盘，或许是太累了在睡梦中走开了，或许是他买的某只股票涨了他太激动了，或许是他某只股票跌停板他受不了这个刺激。 这个故事戳人的地方是“五个小时”这个时间，期间他身边的椅子上来来往往好几拨人，但，没有人发现，这个男人已经离开人世了。 很多时候，一个人的死亡，并不会引起多少人的关注，甚至会让人产生幻觉，死亡只是死者的事，一个人到底能跟这个世界产生多少羁绊，到底有多少人会在乎你的死活。 除了至亲，再无其他了。  三、忽然归国的姐姐 第三个故事是一段很长的姐弟间的对话。 一直在美国打拼的姐姐忽然抛下一切回到了家乡，弟弟觉得很奇怪，但姐姐又什么都不肯说。她给弟弟带了唱片回来，弟弟说他早就不喜欢了，他更奇怪的是姐姐怎么会一反常态带那么累赘的东西回来。 导演并没有讲述姐姐背后的故事，但一定是发生了什么在姐姐身上的。她抛下国外优渥的生活回来这个多少年都没有变化的小镇。 李荣浩在歌里唱道：如果我年少有为，不自卑。 其实，最错误的想法就是认为年少有为可以解决一切问题，以为以后会有很多很多的时间来完成未完成的心愿。姐姐会读弟弟发给自己的每条短信，会记住弟弟想要的每件东西，但是她一直没有去实现弟弟这些愿望，当她回到家乡，弟弟说，他已经不需要那些了。 我们总是想着弥补过去，总是想着拥有未来，却很难做好把握当下，姐姐在第二天外出时，被一根倒下的电线杆砸到，死前，她正在给一只小狗拍照。 她一定还有很多未了的心愿，比如和弟弟去吃一家老店的油炸生蚝，但是，没有机会了。 弟弟在故事的末尾依旧坐在天台上，他说，姐姐去世后他没有流泪，他只是学会了如何表达自己对亲人的爱，他会去拥抱他们，亲吻他们，告诉他们，我爱你们。 亲人是最容易被我们在生命中忽略的人，有多久没有给妈妈打过电话，有多久外出前没有与爱人亲吻，有多久没有对孩子说：我爱你。  四、阴差阳错的命运 2014年的时候，有一架从泰国开往美国的航班在雷达中消失，一如马航MH370，再也没有出现过。 第四个故事的男主角搭乘的就是这趟航班，临行的前一天，患有心脏病等待心脏移植随时可能撒手人寰的妻子给他剪指甲，说自己一定会死在丈夫前面，不放心丈夫一个人生活。 妻子说丈夫大大咧咧，担心他忘记拿护照无法登机。 她过后应该会无数次回忆这个画面：如果当时护照丢了该多好，如果自己不提醒他检查护照该多好。 故事的结尾，丈夫再也没有回来，而妻子却完成了心脏移植手术，活了下来。 很多时候，生命中很重要的一天很重要的一刻在发生的时候我们是毫无察觉的，就想这对夫妻最后一次告别，阳光一如往日灿烂，只是谁也想不到，这次告别，就是永别。 本该活着的人死了，可能会死的人孤独地活在了记忆里。 天意弄人，不过如此而已。  五、不为人知的上位 这个故事一镜到底，演技炸裂。 女主人公是一个护肤品牌的备选人，她的竞争对手，品牌代言人为了救人出了车祸，抢救无效死亡，女主人公得以成功上位，取得代言。 女主人公面对镜头，只通过面部表情与动作来表现内心情绪，她耳边嘈杂的是来自四面八方的关于竞争对手的消息，煎熬的内心，一面在为自己可能取得这项代言雀跃，另一面也一定在为自己的趁人之危鄙视自己。当她听到对方可能会熬不过去的时候，泪水滑落，弄花了妆容。当经纪人问她是否要接下这个代言时，她喝下一大杯水，然后起身去打电话，向亲人报喜。 死亡对当事人来说，是泯灭，对女主人公而言，是一次问心有愧的工作机会。  六、不算漫长的告别 第六个死者在自杀之前，曾去找过女朋友，希望听到对方一句“我爱你”，女孩子拒绝了。 而后他留下一封遗书，跳楼身亡。 这个故事是最让我唏嘘的，故事最后一个画面是男孩子留在女孩子门前台阶上的一束黄玫瑰，女孩子看到了，没有拿走，转身与邻居一起出门吃火锅。 有死得其所，这个男孩子却死得不值。 他很快就会被人遗忘，哪怕选择的死亡方式多么惨烈。他也许想过以这样一种方式让人记住自己，但死了，就什么都没有了。 即便别人能记住，死去的这个人也无法感知了。  七、最平静的死亡 著名音乐家在睡梦中死去，与影片最开始那个小姑娘的话遥相呼应：死了就像睡着了那样吗？
 《包法利夫人》中有很长的篇幅描述了爱玛死时所受的痛苦与死后的惨状，不平静的死去的人，绝对谈不上安详，而能够没有痛苦地安详死去，是多少人的梦想。 只是这样没有心理准备的戛然而止，留给生者的，会是很漫长的思念与痛苦。  影片一直在讲死亡，在讲意外，而穿插在其中的一个十多岁孩子和另外一位百岁老人对死亡的看法，却是反应出了不同年龄，对生死的不同看法。 常听人感慨：年少不知曲中意，听懂已是曲中人。 年轻的时候不信命运，至少觉得命运是由自己掌握的。影片开头说：浮生一日，蚍蜉一世。但谁又能说地明白，我们是浮生，还是蚍蜉。 是否有一双上帝之手，轻轻拨弄，就会将通往未来的那条路掐断，就此结束呢？
 天意弄人，我们永远无法揣测命运，更无法预测未来，最现实的做法就是，把握住当下，做好现在能做的，想要做的事情不要犹豫，认真爱应该爱的人，不悔恨过去，不忐忑未来，向死而生。 正像俗话说得那样：死了谁，苦了谁。活一日，就要有一日的踏实和精彩。",7.0,,0
4,4,27157811,死于明日,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,3.0,2019-01-27 23:32:45,"纳瓦彭·坦荣瓜塔纳利（Nawapol Thamrongrattanarit）用小清新口吻讨论死亡的时候，难免陷入了炮制心灵鸡汤的嫌疑。这部有关死亡话题的作品更像六支商业广告片。第一个女生聚会的故事像是高级酒店广告，绝症妻子与遇上空难丈夫的一段像人寿保险广告，男生遭受女生拒绝后跳楼的一段则像是防止自杀心理辅导宣传片。这并非一部情节完整的虚构剧情片，而是由六个真实死亡案件改编而成的拼贴实验之作。六个故事之间并没有实质联系，全依赖对小孩与百岁老人的采访纪录片段穿插衔接。

导演的出发点与用意具有高度的原创性，拍摄人在意外死亡前这个特定环境中的短暂故事，以及死亡给旁人带来的影响。然而，受篇幅所限制，剧本无法以戏剧性转折为重点，人物及其关系的刻画并不能迅速堆积起足以引起共鸣的渲染力，最多是抒发一下“世事无常用心过好每一天”这种浅显老套的价值观。

拍得最有电影感的只有从美国归来的姐姐探望弟弟，以及女模特在女星遭遇意外后取代其工作的两段。前者的摄影用光很迷人，后者用长镜头显示女模特脸部表情的复杂变化，也是一绝。这回导演依然在表现形式上施展创新：方形画幅、柔光滤镜、左上角时而出现的死亡人数标记。不过这类小花招似乎除了淡化死亡话题的沉重意味之外，没能留下更多发人深省的时刻。",3.0,,3
5,5,27157811,死于明日,0c1b59fae54ce13083feabc198f75a5e,116b363866143456789af8cd70238522,4.0,2019-02-28 17:56:56,离开这人世间 有千万种方式  这部影片描写了六段生命的最终24小时 六个真实的故事六种不同的死亡形式   “明天”来临前画面是圈起来的方形 “明天”到来后可视范围才变宽 镜头的戛然而止或缓缓延续都以某种方式在观众心底激荡出一层又一层情感的涌动 由时间创造的张力尽显  我个人觉得导演的分寸感非常棒 时间轨 画幅的变化  不疾不徐的推摄 恰到好处的长镜头 让一切都显得既朦胧又动人 导演把死亡拍成了一篇散文 没有一帧死亡的画面 偶尔夹杂着儿童或老人的访谈对话 更多的是白描叙述 我印象最深的点是影片左上角的时间码 计时器即计数器 观影时长70:21 死亡人数8442 具象量化了死亡带来的焦虑感  “即使你对这一切都已经了解了，还是会难过吗？”“是啊，还是会畏惧死亡、孤寂和消失。”  如果一句话让我来形容这部影片  那就是—用人类的日常反映人生的无常,3.0,,0
6,6,27157811,死于明日,5191b5fa63febc7543377ca1710dbfdd,bc2bf027f8e16f960a215d11993acc1b,,2021-03-27 22:24:36,通过4个意外事故，1个自杀，1个正常死亡，让职业演员去表演真实死亡事件发生前几分钟或更长些时间当事人的状态和说过的话，4个事故都有聊到死亡但最后出事的都是聆听者，这些都用的3：3的画幅，而穿插的其他访谈用的是4：3的正常画幅，还用了一些真实死亡事件的照片和视频。尽管通片都在表达和探讨死亡但并没有直接展现都是通过文字表达的。最后出演员表时穿插一些鲜花的照片（我理解还是为表达生命的旺盛美丽与脆弱）。文字显示说全球平均每天有172800人去世，平均每秒2人，然后银幕左上角时不时显示计时和对应的人数，片长70分钟对应8400人。主要是表达了导演认为的生命的无常短促与不确定性，让人们引起对生死及人生意义的思考。实验气氛较浓，但能看。不过，我斜后方，旁边，斜前方的人看的陆续睡去，呼噜声此起彼伏。发现泰国的女演员虽不漂亮但都很耐看。,,,0
7,7,27157811,死于明日,ca086971f3b90e8f2463789e2de97674,c00160d831c79ceb87567ff483422418,4.0,2021-02-28 00:44:25,该片由六部分组成，均以真实新闻改编而成，分别讲述了死亡之前平静的一天是怎样度过的 每天的日常生活看来并无什么特别之处，但死亡往往就会来得猝不及防，日常生活中的琐碎赋予了生命以价值。在曼谷，朋友庆祝毕业、兄弟姐妹再次相聚、恩爱夫妻面对分离、女演员等待召集...... 这是对命运和生命无常的一种既愉快又忧郁，同时充满哲学性的反思 来源：百度百科 如果提前知道第二天会死，好像也没有什么值得做的事情,,,0
8,8,27157811,死于明日,2c77e503029822fbc9fed13b1bdc2774,eedfcb3776010769a52b0ccb31e14a8e,3.0,2020-11-22 16:52:07,2017泰国剧情片《死于明日》，根据真人真事改编，豆瓣评分7.4。 本片的风格很独特，很另类，没有剧情，由一个一个的真实死亡事件改编的小故事组成，让人感慨计划不如变化快，命运多变，世事无常。 珍视当下，别留遗憾，对这个世界充满感恩地过好每一天，这就是影片要向观众传递的主旨。死亡并不可怕，可怕的是我们还没做好准备，还有未了的心愿。 影片中有一幕自杀方式列表挺意外，表格里列出了十种自杀方式及其死亡成功率和死亡时间，我还是头一回看到这样的总结。 值得一提的是，本片第一幕中的一个女毕业生是由《天才枪手》的女主饰演的。,,,0
9,9,27157811,死于明日,45ba47e874ffd01bc171551d097d78cd,c25e45f4e522a5d20707df7be54e729a,3.0,2020-10-28 23:36:10,泰国是中国和澳洲外我去过最多次 呆过最久的国家了 前后应该去了不下五六次 如果给世界人民友善程度和地区安全程度排个名 泰国和中国绝对都数一数二的  不吹不黑 在澳洲这种发达国家其实并太多安全感 晚上出门不要说那种危险偏僻的区 就算在CBD也会有很多种族主义者 挑衅的酒鬼 半乞讨半劫道的流浪汉 当然正常人还是绝大多数的 只不过出格的就很出格 加上这边低效的司法体系 基本没什么以儆效尤的作用 虽然说他们大部分也信基督教 但是真的没看出来信教对他们的影响 除了表面上的虚情假意寒暄 基本上喝多了都是能到处砸瓶子随地大小便的主 我就是遇到习惯性偷东西和每天作息超级不正常的白人室友之后发誓再也不找当地室友 但是泰国不一样 他们对佛教的虔诚 可能也只有缅甸能比一比 我看过太多的泰国商贩 司机 年轻女孩 不管生活多艰苦 境况如何 每周一定要去寺庙拜拜 也都戴着佛珠 或者车里放着摆件 他们普遍都相信因果报应和来世这些 所以他们可能出租车管你多要了点钱 或者在餐馆卖很贵的菜给外国人 但是抢劫 或者暴力 甚至偷盗好像在泰国都很少 而且不同于白人的伪善 泰国人和我们一样 对人是那种真正的热情 不是那种怕给自己添麻烦的寒暄  其实我国也是 说民风淳朴可能有的人不乐意了 可是善良 隐忍这个一点不夸张 多年的封建集权大一统让大家大部分时间不用处在战争和饥荒的恐慌 所以人性自私和冷漠的一面没有被无限放大 强大的君权和严明的法律以及熟人社会也让大家很少会铤而走险 而且我们思想普遍有佛教保留 善有善报恶有恶报 相信你不完全相信但是耳濡目染你做错事时候也会引起自己的不适 所以虽然我们不信宗教 但是仍然普遍显得教化 最后说一下生老病死的观念差别 这点中国还是有差别的 毕竟不信宗教 轮回转世大部分人还是不信的 所以对于终极问题我们缺少任何的终极关怀 人们普遍惧怕死亡 甚至衰老都让人感到抑郁 这点泰国和西方国家要相对淡然很多 他们更多把人生当做一个馈赠 及时行乐和跟随内心 这点中国人普遍是过的太累了 人生短短几个秋啊  我们可以看到那些跑酷 滑板视频里 白人小孩摔得血肉模糊也只是一句f**k 不像我们从小就有大惊小怪的父母 我经常听各种泰国的朋友说他们之前摩托车事故 哪里留了疤 然后上周哪个朋友去世了 当然注意安全是最好的 我想说的只是 他们选择了去从事 或者去做这个事 也会接受它的结果 每个人都要为自己的选择负责 但是能选择的自由意志难道不是比生命诚可贵更重要的嘛  所以当我们意识到 有比生命更宝贵的东西 自己的人生要体验到自己的快乐 那么可能对于能有这么个机会 更多的是体验到的满足 而不是随时不能体验的恐惧 狭飞仙以遨游 抱明月而长终 我们能够把酒言欢 对着名山大川 临终时候回想一下 也可以会心一笑把 写的太沉重了 我有时候很羡慕我一些朋友们 有的人读了计算机硕士 结果酷爱潜水 当了几年潜水教练 然后玩够了接着回来搞研究 也有人本来是动画设计 后来迷上了跳舞 直接去当了一个街舞老师 我还是缺少了一些想做就做的勇气 对舒适区太依赖 希望年轻的你们做的比我好,,,0
