,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,5324813,天际浩劫2,94f7997d7212d497c3d78e10cacb067d,f2873ea4c20a6c548048a589a871ebd1,4,2018-02-07 04:29:47,嘛。。我豆瓣 第一个片子评价居然给了天际浩劫。。。记得当年看第一部的时候还在上初中。。天际浩劫1虽然是小成本电影，对话也显得偏多。。。但是感觉电影本身营造的气氛相当的不错。。男主一行人在城市中苟且偷生，最后盼来的却是两次军方 拼尽全力反击。。尽管这反击显得那么的苍白无力。整部片子给人一种很绝望的感觉，当看到军方最后反击的时候甚至觉得自己有点热血沸腾。虽然小成本特效镜头也偏少，但是每个镜头质量都比较高（相比之下第二部部分特效让人看的略显尴尬。。。部分镜头居然直接用了一的。。。。既然这样。。那一代男主出现那里为什么又用了新的演员重新拍？一代男主那标志的长相。。。隔了快8年我都还记得。。。）  第一部当时给我留下的印象实在是太深了。。。以至于我一直期待他出续集。。。即便他依旧是小成本。在看过第二部之后感觉虽然不是很理想，但也不算是难看，特效场面暴增。。然而质量堪忧。打斗镜头可圈可点。。。一度有点突袭的感觉，以及剧情上这个多年深坑也被填上了。。。感觉第二部完全摒弃了第一部所营造的那种气氛。。。槽点也颇多。。。比如一代男主在飞船里游荡这么久都没被抓住。。存在感为零的军方。。花瓶女主。。。外星人的智商和战斗力也降到了洛杉矶之战的水平。。。。。电影本身对我来说还是不错的毕竟看到多年心愿坑被填了一个而且填的也不是太差。剩下的就是垂死病中惊坐起 死亡录像 科洛弗档案填坑了。。。。。。对了 感觉电影结尾还是有点亮点的。。本以为露丝是要肃清地球上的残余外星人。。。结果镜头一转你都打到人家家里了？！ 这怎么和独立日2的套路这么像。。不再是以前的外星人入侵打败外星人大吉大利。。。。而是你敢来打我。。我就要反手拆了你家。。。。。。,15.0,3.0,3
1,1,5324813,天际浩劫2,5f635b8074b9e65e54c9482acb8c16d9,48507fd3ebc58730e8155fd54d8da843,4,2018-01-30 21:50:31,7分！本片至少可以看出一件事，有钱真的可以为所欲为的。无论是特效的升级，还是准大牌的引入，都对电影本身有着质的提升。不过，文本方面确实有些混乱，导演编剧要的实在是太多，又要科幻，又要动作，还得来点越战后的反思。而对于小女孩这个终极麦格芬，虽说最后也是实现了，但过程不是很突出，拿显微镜就能看出DNA？好吧～谁让这是科幻片呢。,5.0,1.0,2
2,2,5324813,天际浩劫2,00e729b2c2f880fda84f87a60530ca1b,ec07e9ab4ddac9252aa2c7588bbff9a6,5,2017-12-25 16:32:03,我们不能拿这部影片与大片相比，毕竟成本是硬伤。这部影片的想象力真的是很不错的，毕竟拍了这么多外星人的电影，还头一次利用人类的大脑制作外星傀儡，虽然成本不高，但是到处可见外星人，比有些大片从头到尾就很难见到外星人要好看的多。还有在制作方面，第二部明显比第一部要精良一些，这说明从编剧到导演也很希望把这部影片做好，我们作为欣赏者，应该对它的价值给予肯定，再给一些鼓励。这部片子拿出来和国产片相比，对于故事内容和想象力都比国产的好很多。我觉得整体不错，推荐大家看看，有助于打开想象力。,13.0,1.0,2
3,3,5324813,天际浩劫2,9baa30abceb6c85def9f10ca47dd0d7e,75c17194613311cfc7bd43642f3cf37d,3,2018-01-28 20:20:40,这部讲了在外星飞船袭击地球的同一天另一批人的遭遇。男主角是警察，从警局里领出了因打架而被抓的儿子。父子乘地铁回家，半路上因外星人对地球发动突袭而导致地铁停运，大家离开车厢，顺轨道回到地铁车站。男主角的两位同事，在警局里发现外星人的飞船用强光把大批的人类吸进。两人跑到地铁站里，遇到男主角一行人。大家继续沿着地铁轨道逃跑，遇到外星怪物袭击，女警察被杀。剩下的人逃到地上，又遇到外星怪物，那名同事为救大家而被怪物杀死。剩下的人都被强光吸入外星飞船，男主角的儿子被机器杀死，取走大脑。男主角奋力挣脱机械臂的控制逃走。在飞船里男主角看到了一些被卵包裹培育的胎儿，一个怪物突然出现要杀男主角，一个人形生物到来杀死怪物，救下男主角。男主角让他帮自己救儿子，他答应了。他把男主角带到一个快要生孩子的女人身边，让男主角帮助接生。原来这个人形生物装有第一部片里男主角的大脑，那个快生孩子的女人就是他的女友，第一部片子的女主角，他一直在保护她。在男主角的帮助下，这个女人顺利地生下了一个女孩，然后死去。男主角和那位人形生物约定，他帮自己找儿子，自己保护他的女儿。人形生物让男主角戴上了外星武器，并带他看了飞船的强光武器。这时另一名人形生物来袭，这名人形生物让男主角逃走，他来抵挡。男主角遇到挣脱困境的另外三位同伴，大家在逃脱怪兽袭击中一人被杀。那名人形生物杀了帮助男主角的人形生物后继续追杀，男主角一行人被逼入险境，幸亏帮助男主角的人形生物临死前炸了飞船，几人得以从飞船逃出，落入老挝金三角境内，被一伙毒贩救下，一名黑人老头因伤重而死，男主角和剩下的那名女子与毒贩一起逃入地下掩体。在此期间，那位小女孩不断地快速长大。这里的一位制毒专家研究这位小女孩的血液，得知地球人是被那些外星人在地球上培养的，定期来提取大脑，为飞船和那些人形生物提供动力，那些人形生物是外星人的奴隶。又发现可以用她的血液帮助地球人抵挡住强光的袭击，只要把血液借助那个强光发射器发射出去就行了。男主角决定冒险回到飞船上实施此法。毒贩首领的妹妹和那位逃生的女子一起出去布雷，遇到外星怪物袭击，首领妹妹跑入雷区，和怪物同归于尽，那名女子逃回掩体。男主角离开掩体进入飞船实施计划。外星人也发现这个掩体，开始袭击这里。男主角在飞船里遇到装有自己儿子大脑的人形生物，因此没有被杀，得以顺利把小女孩的血液注射入一枚卵内，将卵放入强光发射器，开始向外发射这种光，外星人发现，将发射器从飞船上扯下。外星怪物和人形生物开始袭击那些从掩体逃出的人，人们也奋力反抗。那个小女孩来到发射器旁，按住发射器，注入更多的红光，装有男主角儿子大脑的人形生物击退赶来杀害小女孩的外星人，拿起发射器发光杀死外星人，并将那枚红光卵发射出去，一片红光爆炸，那些人形生物接受这种光后，大脑里的人性重现，不再是杀人机器。这场浩劫终于平安结束。那个小女孩在十年后成为飞船的船长，带领人们和那些人形生物一起反抗其他外星人，用红光打击它们的飞船。 多年以后，这个第二部，终于把第一部的故事讲完了。男主角也总算又有了免死金牌，并成功拯救世界。可惜第一部的男主角，在第一部里身体死了，在第二部里大脑也死了。第一部的女主角在这部里生下了一个有变异基因的孩子，大概是耗尽全部精力而死，但为击退外星人提供了基因武器。这位小女孩拥有唯一的变异基因，可以击退外星人，能使那些人形生物恢复本性，这么重要的人物应该秘密且严格的保护，竟然还让她驾驶飞船上战场，就不怕她牺牲吗？或许这十年已经可以制造含有这种基因的血液，不再需要她亲自提供了。 这艘外星飞船只有一个外星人，其他的怪物和人形生物都是它的武器和奴隶，但从本片来看，这样的飞船在宇宙里还不少，不知道它们是只在地球上培育人类，还是在其他星球也有。被自己培育的生物击败，简直是奇耻大辱，况且还需要大脑作为飞船动力，外星人肯定不会甘心，因此如果有第三部的话，那又是星球大战了。 第二部比第一部的恐怖程度降低了很多，那种神秘未知的恐怖氛围基本没有了，虽然特效做的依然不错，只是都是熟悉的画面，新鲜感也降低不少。片中虽加入了一些动作片元素，但人形生物的灵活性太受限制，不如人和人之间的武打动作那么漂亮。作为一部娱乐片，我觉得到这里已经可以结束了，完全没有必要再拍第三部了。,28.0,2.0,2
4,4,5324813,天际浩劫2,cdbff31b4ac1ae196f4312eb3f1d9077,6898597288425ee41cad66d2ba6980f6,3,2021-12-09 20:42:06,实话实说，天际浩劫2的戏剧性，整体上来讲要强于第一部。但是在氛围的营造上是要弱于第一部的。这种减弱不只是因为第二部增加了场景的转换、增加了动作打斗的元素这么简单，还有比如在第一部中，我们开始逐渐清楚的外星人的来龙去脉、已经知道外星人的大致情况也是重要的原因之一。 在经过第一部的压抑和未知之后，第二部当中，一定是要找到一些破解的办法的。 整体评价一下，在观感上来说，第二部确实比第一部要好。它的整体脉络是清楚的：发现外星人——被外星人抓走——发现飞船内的情况——逃出外星飞船——回到地面逃亡——迎战反击——狙杀成功。这一个线路下来，至少满足了商业片的必要条件，再加上制作上高于第一部的成本投入，第二部确实优于第一部。 当然2里面还是有很多硬伤。突然出现的亚裔面孔，不断往片子内添加的诸多要素（越南战争等等），让整个片子缺少一种集中突破的力量。如果影片的主题，再向外星人身上回归一些，整个影片的深度会增加许多。,,,0
5,5,5324813,天际浩劫2,60bdf117780f1e8ecb77e39c23aa8c20,d7433b3e05506fcee3566c90b9ffd433,3,2020-12-04 21:36:42,外星人在夜里捕捉地球人，主角一行从地铁轨道里逃往城西，靠近海边找到海军寻求庇护，这与第一部的逃生逻辑相合，但未必是第一部主角所待的酒店。 经过一夜跋涉到天亮以后之后，主角从来到第二天就看到第一部里隐形战机携带核弹头轰烂外星人战舰，其实这部分的镜头就是第一部的镜头剪辑过来的，这时就与第一部联动了，这个情节发生在第一部的第二天，这一点里其实存在时间差异，因为第一部里第一天的凌晨4点多外星人开始捕捉人类，而第二部的外星人捕捉人类发生第一天的夜里，两部之间起码相差了十几个小时，把走了一整夜改成走了一天一夜就能和第一部合理的联动了)，退伍盲军人也解释了这颗核弹是低能量和短程的。第一部的第三天，外星人已经攻陷全球，而第二部男主们来到柬埔寨…… 孕妇那一段，就是第一部结尾的男女主被捕捉后的故事延伸，其女儿则成为第二部反击并打倒外星人的决定性力量。第一部女主生完女儿后死在外星战舰上，而第一部变成怪物的男主协助第二部男主救儿子，最后战死BOSS手上，二部男主则救了第一部男女主的女儿，儿子却和第一部男主遭遇相同，但活到最后，协助第一部女主的成年女儿打到外星人的母星去。,1.0,,0
6,6,5324813,天际浩劫2,8a17fbd7bc69138c715cf2c0597b6541,032a545f293137c9bf85024ae72a4081,3,2020-11-25 09:27:11,这部电影的想象力确实很棒很不错那些特效视觉效果也很好的，别的不说就这些至少比第一部好很多了，不过导演呢喜欢挖坑又不能把坑填补好不能把爆点讲的明白清楚，本来剧情是完全可以很有潜力的被展现出来，非要把什么动作科幻战争啥的都用上还弄那么多的坑，导演你是要在第三部的时候把这些坑都填补上吗？,,,0
7,7,5324813,天际浩劫2,4227a85d67ed7ba9b5350bc38aff8e2c,0125d4dd49484c5a3b2d34b121555f8e,3,2020-09-08 17:14:51,"承接上一部的另一支线，侦探马克到警局接回因母亲罗斯去世而堕落不断犯事的儿子，但在回家因车故障而上地铁刚好遇到外星生物袭击。一番抵抗后好友牺牲自己，但他们还是4人被外星飞船吸走，在飞船上男主遇见前作的男女主，并产下一个有外星基因的女儿“罗斯”。儿子为了救盲人被吸走了脑，飞船被前作男主破坏掉了下来，他们3人女主奥黛丽地铁接待员和盲人逃出了外星飞船，盲人救“女儿”时被伤，出飞船后也死了。男女主在这也遇见抵抗当地叛乱军阀的兄妹，不打不相识后一起回了基地，计划着反攻。妹妹和奥黛丽外出设置陷阱时遭遇外星生物再次袭击，妹妹踩中地雷后和外生物一起死了，男主带着能够击败外生物的女儿血清上了飞船，又刚好遇见变成外生物的儿子，儿子认出了他，帮他把血清注射进炮弹，但被外生物首领阻止了，大战，儿子用血清炮弹把首领击杀了。炮弹红色的光也给其他被控寄生的外生物恢复了人类大脑神智。“女儿”罗斯是关键，就是在那一天,发现了他们的弱点，她带领着人类开始了反攻。没完待续......",3.0,,0
8,8,5324813,天际浩劫2,aa5c2c540221478d42848feea0d378bd,bbdbfefddaafe76dd404f2ab346745da,3,2018-02-06 16:58:30,"■今年第41部电影，科幻灾难片《Beyond Skyline（天际浩劫2）》（美国/2017），影片内容接驳第一部“见蓝光、得永生”的核心主题，由硬汉弗兰克·格里罗领衔，硬扛外星生命恐怖袭击。说实话，这部科幻续集（或者说内容平行于首部）其实并没有外界评论的那么差劲走黑，我觉得还挺好看的，不算很差的剧情与特效，加上紧张刺激的连场激斗，基本算是合格。只是放在2017年上映，影片的诸多科学逻辑方面的硬伤，总会招来已经“历经大片洗礼”下愈发挑剔较真的影迷劈头盖脸的负面评价，想来这也是再正常不得过的事情。前半小时内容相当唬人，也做到了提升悬念吊足胃口的基本铺垫，马克父子之间相对生硬的父子情，在地下铁意外事故后，立刻灰飞烟灭，随后便顺利进入到组团逃生打怪的传统科幻冒险电影路线，军方的介入和外星生物的突然出现，电影开始了一场由地下到地上又转入天空最后转回地下的快节奏场景切换，节奏变快了，战斗也更加血腥惨烈，仿若人贩子集团的外星人飞船中，收集人类大脑精华的“血滴子”就像恐怖分子的终极致命武器，与人类之间瞬时开启的撕逼大战简单粗暴到近乎无法用科学层面解释。影片后半段印尼动作明星伊科·乌艾斯的惊艳加入，抢走了弗兰克·格里罗的大部分主角风头，但电影的节奏也恰恰是进入到了越南战区这块阵地之后开始变得越来越扯淡凌乱，看似无法攻克的“太空堡垒”，实际只需三下五除二的动作对抗和“三日成人”的畸变女童基因就可以轻松搞定，外星人的低智商设定再次复制了《独立日》中傻到让人心疼的尴尬境地。坑点虽密槽点虽多，但这本就是一部低成本无需太过认真的科幻制作本来面目，只能说以电影本身所承载的各种全面性内容和完成度来说，一切还算可以接受的“一遍过”娱乐制作。取乐足以，细究无益。

【评分:6分/10分】",2.0,1.0,0
9,9,5324813,天际浩劫2,2341923591f12da1f7dedc0aa7a9da7d,e9caf53cc01af4bccc3da1184e08dcf0,4,2018-01-13 20:37:45,也许是第一部结局留下的悬念太燃了，期待中的第一部男主变身后大杀四方的桥段并没有出现。反倒是刚出场就领了便当。与第一部最后如天神下凡身手不凡相比，第二部里死的像只小蚂蚁。好吧你死在船长手下，也算是实力碾压了，但奇怪的事就此开始， 功夫高手居然可以和外星人打的有来有回，我去外星人👽那一身腱子肉一巴掌拍过去人都粘了好吧，就这么……这么给小刀刀把头给挑了？就这战斗力我真纳闷人类的正规军队是怎么给灭了的。,7.0,3.0,1
