,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26331700,大轰炸,d335d88f4b365c043c51ef8bcd710bca,f460bd7d64af734bddaf07b48103ff37,2.0,2018-10-27 17:12:32,"诚然，小崔没有占据头条之前，我并没有怎么关注《大轰炸》，但渐渐地《大轰炸背后的故事》愈演愈烈，《大轰炸》的热度也随之拔高。 目前阅片后，我觉得《大轰炸背后的故事》比正片还要刺激，在此省略一万字，简短的先铺垫一下《大轰炸》的台前幕后，再进入正片点评。 今年4月19...

                         ( 展开 )",230,8.0,59
1,1,26331700,大轰炸,2c9c4f3302c35e0b681d71c4930b9b4a,10d9ffec60ff2425d47a0f533412f046,1.0,2018-10-27 21:13:56,"看过IMDB4.7，关注wx工号 “破电影”，可以因好奇瞅瞅 人民群众可以过一个好周末了，小崔没有白挺， 围绕着电影《大轰炸》幕后的阴阳合同，范冰冰被罚，崔永元爆料，有人去找崔永元给导演拔创，都是近期的大热点。 豆瓣上居然没有评分？很多人看过，影评也不少，但居然没有分数...

                         ( 展开 )",83,2.0,50
2,2,26331700,大轰炸,8ba70a3a042fd99c7cc2ccd987a6e082,83e14ca44b55101a4f6cf838e0748350,1.0,2018-10-29 12:05:29,"这篇影评可能有剧透 

                        可供挖掘的故事，崔永元已经全部都说了。 此片网上已经有高清资源下载了，不过是英语发声中文字幕版本，听说是国外上映了。但我没心情说别的，先对导演说一句：“CNM”！ 影片是打着抗日的旗号乱七八糟拍的，所有的情节是一顿乱拼，看得人是稀里糊涂，学了外国人那一套爱情说来...

                         ( 展开 )",87,3.0,23
3,3,26331700,大轰炸,73045d1711a394b0faa386ff227b6d06,6dd11551751e2a2c32b5fad9554f7f38,1.0,2018-10-28 16:37:32,"这篇影评可能有剧透 

                        1、特效：2018年的战争电影特效，能让你一眼看出是“电脑做的”，这么多的经费，请的是体院播音主持系兼职学生做的吗？ 2、剧情：混乱而尴尬，吐槽点太多，比如日本轰炸机成天轰炸，重庆百姓回回跟头一次被袭击一样，可历史分明记载的预警机制；保护秘密技术，用好大一辆军用卡...

                         ( 展开 )",55,1.0,16
4,4,26331700,大轰炸,55298e4560352b85097fcef351f7d816,9280bc62af1b57e6460d0b1c251908bd,1.0,2018-10-30 15:40:07,"baba变，历史，变来变去的历史。 中国第一代的空军很了不起，他们开着简陋落后的飞机，守护者疆土，和凶残的敌人血战长空，付出了年轻的生命，他们都是精英中的精英，英雄中的英雄，大家都知道，一个飞行员，比一架飞机珍贵得多，宁可损失一架飞机，也不能损失一名飞行员。 但...

                         ( 展开 )",28,2.0,8
5,5,26331700,大轰炸,3eff67aaf9c792702939085d592d1e46,ca548057931c462e3da1346435bbb631,1.0,2018-10-31 16:30:54,"这篇影评可能有剧透 

                        为了避免蹭崔老师的热度，等了这么些天，等到一些事件慢慢的平息，还是决定写一下这部集聚多位好莱坞大腕、数十位国内明星的《大轰炸》，如果刨除电影背后的阴诡，只是从艺术角度分析，这部《大轰炸》究竟是个什么样的货色？ 《大轰炸》这部电影刚刚放出预告片的时候，应该是一...

                         ( 展开 )",20,1.0,8
6,6,26331700,大轰炸,3261cd8ea2e43abd70b85a9ee91fda25,161dd269e1e70998118b89c39b92167c,2.0,2018-10-27 04:29:36,"目前电影在北美上映，国内上映时间还未定。不过从最新的消息来看，已经拿到了龙标。 从IMDB的评分来看，也属于不理想的状态。起码没有达到当初宣传效果。 从电影本身来看结构略微混乱，情节也有点生硬。角色众多但是给人凑热闹的的感觉。 很多人诟病的电视剧特效，个人感觉倒是...

                         ( 展开 )",13,3.0,18
7,7,26331700,大轰炸,55298e4560352b85097fcef351f7d816,9280bc62af1b57e6460d0b1c251908bd,1.0,2018-10-27 13:38:24,"baba变，历史，变来变去的历史。 大轰炸 果然就是大欺诈 影片一旦被拍摄出来，就有其独立的意义，它已经不再属于主创者本人。合理的态度是应该根据影片的内容、价值取向等来决定如何处理。 《大轰炸》的确是一部烂片，它用所谓“英勇和乐观”遮蔽了国民党的腐败无能，用大轰炸...

                         ( 展开 )",25,23.0,26
8,8,26331700,大轰炸,1435fe5a08d298bdf44ed19f9181be40,1840fea8595e4082ff7d3a1be77b28d2,1.0,2018-10-28 15:23:54,"这篇影评可能有剧透 

                        中美日韩多国明星云集的《大轰炸》，可以说是这几年最神奇的传说，阵容强大和一再跳票以及参演明星的丑闻不断，而10.26它终于被放出来了！却并没有在国内上映，反而在美国开演了。 影片还第一时间流出资源，于是我就抱着极大好奇第一时间看了，这果然是部传奇！ 不足以口述之神...

                         ( 展开 )",14,2.0,2
9,9,26331700,大轰炸,056f61a4d7fc46701833395ee1f5829d,55a4b70d4633c414fbf5484b9c27526a,1.0,2018-11-19 00:35:14,"美国观众的评价（截图自facebook上的warmovie小组），基本反应出喜欢战争电影这一题材的观众对这部片子的评价吧。 个人的一点评价：还未看这部电影，仅看过剧照，剧组能花大钱请来那么多中外明星，为何不能稍微花点钱请一个哪怕只懂点皮毛的军事顾问来把把关呢？布鲁斯.威利斯...

                         ( 展开 )",8,,4
