,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26348846,罗宾汉：起源,cdc5cdf4b6e1ac01257b2924526402ca,cdc5cdf4b6e1ac01257b2924526402ca,1.0,2018-12-01 09:49:48,"新版《罗宾汉》是这样一种电影：意外但不惊喜，走肾但不走心。如果不是因为在服化道上还算下了功夫，这部电影的最大贡献，就只剩下为担任出品方的莱昂纳多·迪卡普里奥洗洗钱了。 作为英国经典民间传说，现代观众较为熟悉的罗宾汉形象，就包括1973年迪士尼动画的动物之森版，19...

                         ( 展开 )",39.0,5.0,17
1,1,26348846,罗宾汉：起源,9ab49e43b3d89f491ce4dd0a59460801,72450eb296961f5f0d9c7298d5c0f88e,2.0,2019-12-19 18:21:58,"碉堡里的敌军架着巨大的连发弩一夫当关万夫莫开，十字军人人带长弓见面也用弓箭突突，守城士兵人手一把神似机枪的弓弩能用弩解决的绝不拿兵器......把弓弩换成枪炮，完全就是一部枪战片，更别提最后的追车（马车）戏码妥妥地就是好莱坞汽车追逐爆炸场面的古装翻拍。这样一部电...

                         ( 展开 )",9.0,,0
2,2,26348846,罗宾汉：起源,7b054573f955c96d8edbfd617a84beb6,bbe4514653d08467f8366aef7fa6738b,2.0,2020-01-01 21:33:53,"辣鸡！我进场前以为是穿越或架空到现代，然而并不是，就是罗宾汉原型的十字军时期，但是又乱入了很多历史。 乱入16世纪才撕逼分家的英国国教，工业革命的英国工人阶级状况、19世纪末的工人政黨议会和武装斗争路线之争，21世纪的云革命，等等，一锅乱炖，黑暗料理。最后社民黨尼...

                         ( 展开 )",4.0,3.0,2
3,3,26348846,罗宾汉：起源,be6f7d2cf855f72b8f85ee764d287e6d,d8bc8b5d40dbc211a7ba8b57e04c990d,2.0,2019-01-27 01:45:42,"其实通篇我只在思考这几个问题，十字军东征时期就有这么漂亮的西装皮夹克和各种礼服了？为啥穷人们生活在矿场，但是矿场到处喷着火，还在冶炼钢铁？穷人们被剥削到这样的地步，衣服有点旧但是又干净又多彩？为啥坏人们的坏不是表现出来的而是他们说自己很坏呢？提督大人的造型...

                         ( 展开 )",8.0,2.0,0
4,4,26348846,罗宾汉：起源,3a036647249a6b2e2c916a36c9aac769,dbaf60f3a397e1d27630a459c1700ea7,2.0,2020-12-13 17:27:55,"这篇影评可能有剧透 

                        看完电影之后，最大的迷惑居然是：古代阿拉伯地区有英语培训机构吗？ 为什么一个阿拉伯的战俘（影帝杰米福克斯扮演），跟着船来到英国之后，一点语言障碍也没有？讲着流利的英语，入乡随俗一点也被英国的老百姓认出是异族人。感觉英孚或者新东方之类的语言培训机构，要是诞生在...

                         ( 展开 )",,,0
5,5,26348846,罗宾汉：起源,489b736fe56517c3fcc24f744a81fcff,d53564312ec48c69ea14d67de488b319,2.0,2020-09-01 00:29:11,"卧槽，东征那段还以为是美军在伊拉克巷战呢。拉弓速度比射箭还快，破木箭vs板甲轻松取胜是什么鬼？狭窄空间不抽刀还弯弓射大雕又是什么鬼！剧情更是毫无逻辑可言，主角光环除了锁血还能强行更改npc的倾向。 这尼玛都不够140字？我发短评不行？豆瓣疯了？ 字数补丁字数补丁字数...

                         ( 展开 )",,,0
6,6,26348846,罗宾汉：起源,a8d8807ce5aaf6787b7d4041ef0dfd5d,261292ae9604e067c4ba5e3b456e0b87,,2020-03-27 00:31:01,"如题，本片烂到家了，一星已经是抬举了，为了节省大家宝贵的休闲时间，还是请不要看了！！！！！！ 1，片中所有人都是傻逼，被略强于傻逼的男主玩的团团转。 2，当然了，我毫无侮辱女主相貌的意思，如果大家都说这女的漂亮，那我只能说，东西方的审美，真的差距太大了。 3，这...

                         ( 展开 )",1.0,,0
7,7,26348846,罗宾汉：起源,a4190a271ed3edafeef47482e5dea242,0be38eaf1d9588eb1ca3f9879bcebdbe,1.0,2020-03-23 13:29:11,"2020-3-23 玛丽安偷马被罗宾发现 玛丽安说邻居马丢了 土财主不在乎一匹马 罗宾说自己就是庄园土财主 二人好上了 诺丁汉郡长签署十字军征兵领 四年后 阿拉伯半岛 为救队友罗宾小队陷入包围被铁剑铁弩攻击 十字军投石机发起攻击 罗宾打不过黑人斗篷摩尔人 黑人手臂被队友砍断救出...

                         ( 展开 )",,,1
8,8,26348846,罗宾汉：起源,2904bd866315fea056d826035fb5e8de,1cddf35ad415e2577211d614ed8c78f8,,2020-03-21 18:29:53,"带个兜帽整天露脸不如不带 为了娘们丢了伙伴傻逼之至 为了娘们丢了伙伴傻逼之至 为了娘们丢了伙伴傻逼之至为了娘们丢了伙伴傻逼之至为了娘们丢了伙伴傻逼之至为了娘们丢了伙伴傻逼之至为了娘们丢了伙伴傻逼之至为了娘们丢了伙伴傻逼之至为了娘们丢了伙伴傻逼之至为了娘们丢了伙...

                         ( 展开 )",,1.0,0
9,9,26348846,罗宾汉：起源,17e54147f491ec71196f7f21d473422f,657eef39908faf0cc8286ff003d9a084,5.0,2020-03-03 07:05:47,"她是一个反抗人物的代表，勇敢、顽强，是主要角色中的唯一女性，完美弥补男性角色的不足。他是犹豫迷茫的，她是坚定的。 爱情只是因为年轻的他恰逢初恋的年纪。一个跟随他，不断鼓励他的女人。 季节更替，他们的感情迅速升温。注定要在一起的人，终究会在一起，因为他们灵魂的...

                         ( 展开 )",,1.0,0
