,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26385514,性别为本,896befd370fe46bb60de488b6d016801,4ad52ca52aa313db6fc6210d3005ff19,3.0,2019-04-22 00:06:16,"这篇影评可能有剧透 

                        本电影改编自真实事件 在春暖花开，万物复苏之时，我们也迎来了春天的放牛班观影团周限定观影第二期——《性别为本》（第一期链接戳这：（[【春天的放牛班】观影团的周限定观影之——《气球》）] 《性别为本》这部电影以传奇女法官鲁丝·巴德·金斯伯格为原型，讲述她职业生涯...

                         ( 展开 )",38.0,1.0,13
1,1,26385514,性别为本,8a3bfe85ec23b267585388d984f3907c,910390ae4c5f2c48119a8045c3337eb1,2.0,2018-12-25 11:52:02,"整个电影播完我的想法是，斯皮尔伯格果然还是有两把刷子，原本感觉The Post是还不错的作品，但没有比较就没有伤害， On the Basis of Sex的平庸让我意识到斯皮尔伯格的功力还是不可小觑。这部电影的硬伤简直数不胜数，叙事上的平淡和人物塑造的呆板无趣就不说了，好好地律政之...

                         ( 展开 )",88.0,18.0,30
2,2,26385514,性别为本,b71985397688d6f1820685dde534981b,2a5ea26afb2c1fdbd0e7ab0941b9b9ab,5.0,2019-01-09 13:39:25,"Ruth Bader Ginsburg，现任美国最高法庭大法官之一，非常有名。我第一次知道她是因为纽约客在2013年，她八十周岁那年，为她做得小传，[Heavyweight.]那篇文章令我印象深刻的是她认为法律的健全需要循序渐进。她也是依赖这一策略在七十年代一步一步为妇女平权在高庭赢了一个又一...

                         ( 展开 )",89.0,1.0,2
3,3,26385514,性别为本,2ee730c213b01d3eb43c9035d0747d4a,c7f8234bdd3a7941cd1478769edc1ce0,2.0,2020-09-20 20:27:47,"先总结一下电影与现实的出入： 💥Ruth没有代替Marty去上课，而是从他同学那里收集课程笔记给他 💥第一次去见Charlie的并非Ruth，而是Marty 💥对手律师从未向五角大楼求助，而是司法部的一个团队做的。所有因性别而不同的法律总结是败诉后哈佛法律系系主任提交的，希望能...

                         ( 展开 )",26.0,1.0,1
4,4,26385514,性别为本,9a412ba691b5832515d3e59e2370b275,13ad25cfba69bc60efe71747e1037832,4.0,2018-11-13 18:10:26,"首先，这谁翻译的中文名？该打！真对不起本片的严肃主题。如果叫”以性别为本“或”基于性别“更为合适。其次，我看了下目前给差评的海外影评人评论，都是因为觉得本片太美化了鲁丝·巴德·金斯伯格的人生和功绩，相比今年初她的纪录片，并不全面，而且过于“童话感”。 这点上...

                         ( 展开 )",26.0,3.0,6
5,5,26385514,性别为本,71d9eab22c1dd5d557e0985f517e3272,262031397020fd8df478ec13b4b096c5,5.0,2019-06-25 14:34:33,"国家的长久强大，不是某个伟人一手造就。 是一代代的法律人，秉承着正义和良知，与时俱进，发现错误，承认错误，改正错误 ... ... 而这些人，不仅改写了历史，也自然成为了历史本身，那些光芒璀璨的部分。 反观某些国家法律的制定和执行，是针对哪个阶层？ 我们的下一代，真的...

                         ( 展开 )",7.0,1.0,1
6,6,26385514,性别为本,42cfbe99daa8f12690dd0559641fa9a8,a8b2e8d874054bfa45c23dd4de111ad5,4.0,2019-02-02 14:46:46,"这篇影评可能有剧透 

                        [https://slate.com/culture/2018/12/on-the-basis-of-sex-accuracy-rbg-biopic-fact-fiction.html] When screenwriter Daniel Stiepleman first approached Ruth Bader Ginsburg with the pitch that would become On the Basis of Sex, she had two conditions: [Get the law...

                         ( 展开 )",13.0,1.0,2
7,7,26385514,性别为本,551c10ac750d5c66f46d3607e10d6796,b1a3103c9862c7a8586166a24f05abad,5.0,2020-11-30 10:37:53,"分析法学派经常会讨论什么是法律这个问题。 卢梭在《社会合同论》第二卷第六章写道，法律是我们意志的记录，考虑的是共同体和抽象的行为。法律不考虑个别人和个别的行为。 根据美国韦氏词典，法律是一个社会制定的不可打破的规矩或做法。 1）最早的法律： 公元前约1760年的汉谟...

                         ( 展开 )",1.0,1.0,0
8,8,26385514,性别为本,2c4ab6df311f85ba0e366808992886d3,969f98d2a8d4fc9c699d761da3b10ac8,4.0,2020-08-05 11:10:42,"这篇影评可能有剧透 

                        对我来说影片中最精彩的部分就是RGB和女儿Jane的几场对手戏，两个人分别代表了不同时期的女权主义。RGB寻求法律上的平等，认为抗议很重要，但如果法律不曾改变文化的改变将毫无意义。Jane这代人走上街头，要求变革。 两个人追求女性平等的方式受到她们所处的时代影响。RGB生活...

                         ( 展开 )",2.0,,0
9,9,26385514,性别为本,a969ad690f652a1e37e75a3c20be39a1,cfcd41f0c1804fb7778f8f01301223f6,,2020-03-19 06:01:26,"虽然有演绎的成份，但是Ruth在法庭上这段论述太给力了，看哭我。 Radical social change! When I was in law school, there was no women’s bathroom, It is amazing to me now that we never complained. Not because we were timid, we were just astounded to be in law sc...

                         ( 展开 )",1.0,,0
10,10,26385514,性别为本,c963812e5ba66a181d1351adc5d98ca7,f4bb9c46a1ac0c95c8b737a750c20cef,,2020-03-01 00:35:57,"与其将这部励志电影列入现代女性必看清单，不如将它推荐给所有想要改变整个世界或者身边的生活的每一个人。影片简述了现年85岁的女性大法官鲁丝·巴德·金斯伯格的传奇故事，着重的刻画了她独立、优秀，并为女性平权的法制化进程做出巨大推动的现代女性偶像形象，而实际上Ginsb...

                         ( 展开 )",1.0,,0
11,11,26385514,性别为本,f44c3be2bfb9db4d64357921d71eb48f,332efb05dc59bc52c481a82b303046c7,4.0,2019-05-05 19:31:58,"在观看这部影片之前，先要了解一位美国家喻户晓的女权进步律师鲁斯·巴德·金斯伯格。在1993年由克林顿总统提名她成为美国第一位犹太女性最高法院大法官。这位现今84岁先后经历了大肠癌、胰腺癌的大法官毅然宣布自己将在90岁退休。光凭这一点就值得让人尊敬。 故事从1959年鲁斯...

                         ( 展开 )",2.0,,0
12,12,26385514,性别为本,8f6f18fc5431868dcd0e704372a78a0f,b1a65e48198ff7f607fdcafe7bd4b906,2.0,2019-01-01 13:12:35,"2018年12月29日周五上午8点58分，我和gxj在costco的卷帘门外面等着开门。我们的周围是一群目测五十岁以上的叔叔阿姨爷爷奶奶，也等着costco开门。 gxj说：老年人起得就是早，我早上去gym的时候，locker room里也只有老爷爷老奶奶。 我：哪儿的gym？家旁边的还是caltech的？ gxj...

                         ( 展开 )",36.0,9.0,5
13,13,26385514,性别为本,b3b34a840e1c77481adabab63f529530,eceb0a31b35b86f894fa35af605d7b6d,5.0,2020-09-24 17:43:24,"RBG去世之后，我才看了这个电影来了解她，没想到一些简简单单的剧情和台词看着看着就大哭了起来，因为真的有共情。 这几年我作为女性遇到了太多太多类似的事情，大家基本上默默忍着，声讨无用。就在前几天还遇到了一份招聘信息说只要男的，因为已经招了一个女的……这和电影里...

                         ( 展开 )",3.0,,0
14,14,26385514,性别为本,7e80d3198f5aaa4d83dd006202500bb0,1b568c5429734658cd70c8f36aa211dd,5.0,2020-11-28 10:14:08,"这篇影评可能有剧透 

                        “Get your feet off our neck”这句话一直在我耳边回响。时间久了，甚至都感觉不到脖子上的重量，脖子上的脚都已经跟脖子融为一体，成为女性生活的一部分。 女性的处境很是尴尬，你不能说话，不能为自己发声，一旦说话了，很容易被打成女权狗。你不说话，安静的在旁边墙上挂着...

                         ( 展开 )",5.0,,1
15,15,26385514,性别为本,b3db667149c4cf8739b1d9555cb1ad70,a8d07caed47d116d928a62914c87c280,4.0,2019-05-07 02:01:45,"华威那一年的乌托邦式的前进的热血的liberal study，在我离开后再次如此清晰地重新浮现眼前，而这一年回忆早已开始模糊。看到Sex Discrimination and the Law这节课，仿佛回到Stephanie的课堂上，听s讲那些别人很容易忽视，却的确matter的细节之处的歧视。关于工作歧视的法条那...

                         ( 展开 )",4.0,,0
16,16,26385514,性别为本,9beaaddd7d4357e5f5265c49a7e7b3c1,a5f54a109ab41aba4f63c7a51bb40be0,5.0,2019-04-14 14:05:37,"很久没有遇到一部电影，看得我眼眶湿润，想要立刻提笔写点什么，却被太多想法充斥以至于无从下笔。 就在不远的150年前，女性还没有自己的名字； 在不远的100年前，她们还不能上学； 哪怕是在今天，在世界的很多角落，还有一些她们是工具，是商品，没有平等的法律权利。 这些事...

                         ( 展开 )",7.0,1.0,1
17,17,26385514,性别为本,ac85278ee895428afc2f12801426ebc9,c1e51e0349d24403bade30986ba3b57d,4.0,2021-12-31 21:28:02,"这篇影评可能有剧透 

                        看完这部电影我满心满眼都是对他们婚姻的憧憬。 冲破障碍成为推翻陈旧习俗大山的人，感受到的压力一定是前所未有的巨大。如果只有一个人，可能ginsburg很多次都想放弃了，剧中她不是没有想过放弃，是背后有一双温暖的手，一次次鼓励她再试一回，往前一步。 第一次想放弃是她一...

                         ( 展开 )",1.0,,0
18,18,26385514,性别为本,3b7831d4d6feb24195fdd5fd96bd9d53,e838071b80c5f96d83e21f34be2a8246,4.0,2021-06-14 12:24:49,"RGB 平权女神 法律人的骄傲 法官错了？不 是法律错了 屏幕上打字机啪啪啪敲击出辩护意见的时候太燃了（ gender  not sex hhhh） 56分的时候 爸爸处理女儿叛逆情绪是教科书式的 妈妈是用母亲教导她的方式让女儿不觉自己渺小 to question everything 于是有其母必有其女 妈咪 你...

                         ( 展开 )",,,0
19,19,26385514,性别为本,c93dd240eb93ebc10a92945edca16052,6eb9df160b4f46e83b62502f01b0ca31,3.0,2021-02-08 22:01:11,"这篇影评可能有剧透 

                        Sarah Grimki said , ” I ask no favor for my sex. All I ask of our brethren is that they take their feet off our necks. ” 萨拉·格利姆奇说过，“我不要求性别福利，我想向我的兄弟们要求的只不过是把脚从我们的脖子上拿开。” - 这是一部讲述美国历史上第二位进入最...

                         ( 展开 )",,,0
20,20,26385514,性别为本,e59cab6304a4141a6e9d134625088f6e,c96e397f506d271ce779d0a9c5dac66f,4.0,2020-12-01 16:09:51,"性别歧视作为历史多年沉淀下来的陋习，是经济、政治、文化多方面作用的结果，所以观念的改变绝非能一蹴而就，它必然面临着强权的阻绕和偏见的破坏。庆幸的是，时代的进步提供了平权思想萌芽的温床，教育普及率的提高让其中一部分的种子得以吸收养料生根发芽。石头裂缝中瞧见的...

                         ( 展开 )",,,0
21,21,26385514,性别为本,e5f11b8486a071f5892fb65ea2df1355,057f47a3e5bc3c94b2befbcd1d7008c5,,2020-10-08 13:24:36,"这篇影评可能有剧透 

                        1. 这部片子真的应该给年轻人不知为何而奋斗的人看。发现问题，着手解决它，让社会改变的更好，这是一套美国梦。什么是理想，什么是成就感，什么是真爱，可以从Ruth的追求感受到。 2. RBG的成功有时代的因素，当时黑人歌平权取得阶段性成立，让woman女性这份词，在宪法中出现，...

                         ( 展开 )",,,0
22,22,26385514,性别为本,76a76a6292a220a7f54c31ba1dba4a1b,95812495488f55120182c87136991d01,4.0,2020-06-27 08:44:25,"这篇影评可能有剧透 

                        我承认看这部电影的时候忍不住快进一些片段，比如她的情感挣扎。我以为，这不是我期待的情节，因为她在职场上的形象让她给我的印象是那样坚强勇敢，让我忘记甚至忽略了她生活的样子。我不知道那么多镜头给家庭，丈夫是否足够精彩，是否符合大多数人的心里期待，可是，其实这让...

                         ( 展开 )",,,0
23,23,26385514,性别为本,643adbe128a0ff8f204087dabfb98219,8c344f0171242d976f4b389e3591b979,3.0,2020-06-05 23:52:42,"大概一个月前看了RBG纪录片，深受震撼；可能因此今天看这部电影感到有些失望。 首先电影的编剧架构，过多地描摹刻画了RBG在家庭中的样子，甚至说这是一部RBG和丈夫共同为主角的电影都不为过。如果这部电影是一位男性的传记，编剧也会花费如此大的篇幅讲述主角在家庭里的形象吗...

                         ( 展开 )",1.0,,0
24,24,26385514,性别为本,e3eef5f449cd40a13b77f9f6d39aebf2,9a5734444137acfb5e876707576d2b31,,2020-05-31 02:27:21,"在电影中，女主角帮助了一位男士打了一场关于税收的官司，成功的打响了性别歧视的第一枪，从此女主角就开始为男女平等而斗争。美国的巨大的经济体造就了美国庞大的中产阶级，这一阶级的妇女作为妇女解放运动的主力，一方面这一阶层的妇女有良好的教育背景，同时掌握着最好的资...

                         ( 展开 )",,,0
25,25,26385514,性别为本,e3888f7043dadcb088a1bffc188c6f80,4bf84babe76dabda6c4da4d25354704d,4.0,2020-04-03 16:36:43,"结婚时的誓词：无论贫穷还是富有，无论疾病还是健康，我都将一直爱着他/她。女主做到了这一点，疾病没有将她与丈夫拆开，反倒激励她向自己努力的方向前进——携着他丈夫的那一份。 身为女性能够上学就已经是社会给予她的恩赐，上学本就只是一个人的选择，却会被因为她因丈夫而...

                         ( 展开 )",,,0
26,26,26385514,性别为本,f8a8d60a29b6caa31fcab0688e1940a7,284f89e60a363166aebb785fab98f594,5.0,2020-03-30 17:25:12,"好莱坞以大女主为主题的影片，真的是和中国风的大女人人设完全不同。中国的“大女主”就是应了那句成功的女人背后有无数个男人。 美国的“大女主“靠的是电影剧本够硬，人格魅力鲜明，附加十二分的执着与坚持。从《永不放弃》的茱莉亚罗伯斯到《三块广告牌》的弗朗西丝·麦克道...

                         ( 展开 )",5.0,,0
27,27,26385514,性别为本,8bfdb6b637e605fe855d5704b211ece7,5dfbea3b38451e7e568eeaaa7b697b7b,5.0,2020-03-02 22:44:10,"我其实不知道电影本身怎样评价。 I have always been shocked by how despicable and even horrifying the United States was only 20 yrs ago, 30 yrs ago, 50 yrs ago. But I just realized there are reasons why the United States is different from what it was. 美帝真...

                         ( 展开 )",,,0
28,28,26385514,性别为本,744c55abfb38f05d38f431b482f365b2,417353a9546027ff53bf9c92e9345814,5.0,2019-07-23 15:33:03,"这篇影评可能有剧透 

                        最后金斯伯格在4分钟最终辩论尤为印象深刻。贯穿整部影片中的诸如哈佛法学院寥寥无几的女性，上课举手发言时万不得已不会给女性机会，德高望重的教授在宴会上让女性陈述自己夺走属于男性的机会的理由，单单因为女性这一身份而失掉工作忍受不平等待遇甚至连个尝试的机会也没有，...

                         ( 展开 )",,,0
29,29,26385514,性别为本,920fe2d8b6c6a67e99ad9e1d737a47ef,5da9b6963e5a6f3b5a7698deae60da6c,4.0,2019-07-10 00:17:52,"有兩個淚點，當她老公診斷為睪丸癌, 存活率5%, she said, we are never giving up. Keep working. Keep studying. Jane will have her father. And you will be a lawyer. I m spending my life with you, Martin Ginsberg.  另一出- 女兒鬧情緒，爸爸說，Grandma Celia died w...

                         ( 展开 )",2.0,,0
30,30,26385514,性别为本,b5bbf72d353da72738864f115473b859,d1c1181356698d10ec49d6ff933e3860,5.0,2019-05-18 19:23:19,"美国大法官金斯伯格女士，堪称现实中伟大的人物。看了她的经历，她的独立、自信、勤奋、为了实现男女平权，不畏惧艰难，一生都在奋斗。 电影中，我一次次地被她双眸中炽烈的火焰而感动得落泪。她美丽而坚毅的脸庞，她镇定自若、温和而坚定的声音，她为理想付出的巨大努力、不放...

                         ( 展开 )",3.0,,0
31,31,26385514,性别为本,ec57847634d56c99382d0623528900c2,fdefe4cc3953a1d76805a9c1fe03d1d7,3.0,2019-05-11 22:42:02,"这篇影评可能有剧透 

                        电影以美国传奇女法官鲁斯巴德为原型，讲述了法学教授鲁斯如何走上为女性权利抗争的道路，重拾自己梦想的律师职业。 开篇就有点意思，在哈弗学法律的鲁斯周围几乎全是男生，节奏啊，点题啊，包括人物的个性都给出了一定预期。家庭的部分也还OK，丈夫与女儿的角色塑造都不错。在...

                         ( 展开 )",,,0
