,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26437223,22英里,6ea57bde621f4ec868218d953a1ac3b8,446d1608280972a016a602266369df1c,4.0,2018-10-28 20:05:08,"这篇影评可能有剧透 

                        台面下的较量很肮脏，但棋手比棋子更重要 主人公的身份：马克同学是美国脏活小分队的队长。 他这个脏活儿精英小分队，负责给美国干脏活，是最精锐和重要的美国军方资产之一。他们就是处理脏活的黑手套。影片开始还用了一些篇幅暗示，特朗普等美国总统的外交成果，远没有看上去...

                         ( 展开 )",189.0,4.0,81
1,1,26437223,22英里,a42a4d2fa6b69cf22db1eff756e943d9,a84dfe83202974bfd189dbcfc545b551,4.0,2018-11-04 15:22:26,"有些人很少意识到： 我们所生活的世界，绝非你眼睛中看到的那么平静。 很多时候，你根本不知道有些危险曾经存在过。 更不知道到又是哪些人默默地将这些危险抚平。 揭露这些故事的电影有很多，但最近有部电影吊足了探长的胃口。 单凭动图就圈粉无数。 要知道这还只是幕后日常演...

                         ( 展开 )",95.0,5.0,20
2,2,26437223,22英里,b832dcbad0a3b1d0c99a341036481fee,d4a592a76769a82475c8eeffb1badea3,2.0,2020-03-08 07:56:54,"这篇影评可能有剧透 

                        在爱奇艺上看完了《22英里》，不出意外地是删减版，随手又通过剧情短片大致补齐了整个故事脉络。很显然，删减部分的内容除了一些按惯例必然挨刀的血腥镜头以外，更主要的是出于特定原因剪掉了俄罗斯势力的存在。所以弹幕里面一片抱怨看不懂剧情的声音并不是不能理解。但是随后...

                         ( 展开 )",32.0,,9
3,3,26437223,22英里,ef2302d79962eb4be5a2e9de37f17dcc,f0079fb04832a48237e84778d2ccdf45,5.0,2020-03-08 17:08:00,"这篇影评可能有剧透 

                        《突袭》在网上好评如潮，但我却没看出什么好来。打斗完全是香港电影二十年前的水平，剧情漏洞百出，全剧从头到尾没有什么亮点。 看完《22英里》，感觉就是《突袭》的全面升级啊！！！ 先说演员，在好莱坞大片里突然看到乌艾斯出场，绝对惊喜！太帅了！ 然后打斗，乌艾斯在医院...

                         ( 展开 )",4.0,,3
4,4,26437223,22英里,4de69dc67a46066b0eed913a54fcdf92,9954ba7e9256153d08fd2b3b860dcc6a,3.0,2019-03-22 18:52:03,"这么多好演员，话痨和人物暴躁性格剪切毁了这部电影。花了20多分钟刻画男主性格，对剧情没啥卵用的。我想问下Maggie的暴力脾气对人物刻画有啥意义？单亲母亲？我这只会同情她老公了，第二马克的暴力脾气对全片刻画意义不断，想突出暴力猛男形象可以有好多方法，最后一个电影剪...

                         ( 展开 )",15.0,1.0,9
5,5,26437223,22英里,6a855b7c4467af4dc9c5c4c73552baf6,9a3dce1fd6724319a5a4bf389a116d83,4.0,2020-03-03 22:55:10,"难道爱奇艺删减了？影评里18岁小伙儿说“你们真是大错特错了”这个镜头我特地回去看了一下，也没有说…另外这个虚构国家的名字在哪里…我怎么没看到。 还有片中也没交代那个小屋是俄罗斯情报局的安全屋，这些细节都在哪啊… 真的全片一直从头懵逼到尾，回来看影评才能明白剧情...

                         ( 展开 )",4.0,,9
6,6,26437223,22英里,086da0602aac776e00b30f1786cff42a,0025821b57a2fb772b84aff8f7e30ab8,2.0,2021-07-02 18:01:36,"就一条：俄国是那个女人自己就能算的吗？!编剧如此幼稚，真的会把美帝青少年培养成呆瓜的，谢谢好莱坞，加油！ 非要140字那就来吧非要140字那就来吧非要140字那就来吧非要140字那就来吧非要140字那就来吧 非要140字那就来吧非要140字那就来吧非要140字那就来吧非要140字那就来...

                         ( 展开 )",,,0
7,7,26437223,22英里,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,3.0,2021-04-07 16:11:34,"3星，整部片子就是突突突哒哒哒，突突突哒哒哒，一只打到快要结束，结尾突然翻转，原来是被人玩了，老家都被端了，欲知后事，下部分解。。哈哈哈哈哈。虽说此片的故事深度不咋样，但好在结尾比较有戏剧性，反转已经为续作打好了一切基础，看在枪战动作戏比较精彩，节奏快速的份...

                         ( 展开 )",1.0,1.0,0
8,8,26437223,22英里,91b4803416a01cf6dfc8b67211c712eb,a6567816e007283cf9781c35b95dd56f,4.0,2020-12-19 09:33:01,"这篇影评可能有剧透 

                        这是一部合格的动作片，节奏的带动、动作的设计、情节的反转，都能看到诚意，神奇的是，回想一下，作为男主的沃尔伯格竟然没有多少动作戏份。 在沃尔伯格身上我看到的不是一个武力超群的头号特工，而是一个一出生就被设计好人生、机器一般存在的“兵器”，抛弃了人性以后的他处...

                         ( 展开 )",1.0,,0
9,9,26437223,22英里,13f7972fe8ef3d90ccbe24916f654dc1,d81824bccaea0d56ed0c5e4787416440,,2020-11-01 12:35:57,"这篇影评可能有剧透 

                        我没当过兵没当过警察也未接受过专业训练。但如果我带队攻入敌人巢穴，制服敌人后，要么当场处决，要么反铐手铐或绑扎带。可匪夷所思的是，这队号称无番号无编制大杀四方的顶尖战术小组，却没带手铐和扎带，留给敌人反击之机，置自己人于极度危险之中。这种违背常理的傻屌电影...

                         ( 展开 )",,,0
