,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26649687,终点到达,30f63fdc003198516565d1e87f0c4f86,b9d8881709557855a1eea1b3c789c0ff,4.0,2019-04-04 09:01:56,Asa  上来先夸一下Asa吧 蓝色的眼睛不像那些大人一样藏着深邃 而是满满的天真和甜 Asa把这类角色塑造的很好： 有点insecure 有点awkward 但永远很sweet 最近很迷这个类型的大男孩  二丫  二丫演的这个姑娘真的是古灵精怪 有点飒 开头得知自己不久于人世时一句： Win some lose some真的是让人心疼 在爸爸妈妈和朋友的面前佯装成无所谓的样子 其实心里怕得要死 难过的要死  没有安全感 半夜睡不着 需要Asa抱抱才能睡（其实我也想要Asa抱抱）  我自己  看完了二丫的bucket list以后 我突然很想逆转现在自己的生活 这段时间即将毕业 把过去四年好好反省了一遍 发现自己做错了很多事 没有做很多事 如果能重来一遍这四年我要重新做好多事 可是心里一直隐隐觉得我这关键的四年没了 我现在处于一个没有着落的位置 我的一生都完了 一直幻想着这四年能重来一遍 能回到过去逆转我的未来 但是穿越这种事情是不可能的 所以我的未来就这么被这荒唐的四年决定了 我就这么浑浑噩噩混吃等死吧 我甚至一度特别希望自己有绝症将不久于人世 这样我就可以挥霍自己剩下的时间精力和爸妈的钱 去把我想做的事情都做了 而不是现在这样为了未来的事情而患得患失 畏手畏脚  my change in attitude  然而看了二丫的bucket list以后 我才发现有时间是多么luxury的事情 有一生的时间去做自己的bucket list 去遇见一个Asa那样的男孩子和他相爱和他睡被他抱在怀里 是多么难得的事情 把每一天都活成borrow过来的样子 想做啥想改变什么就去做 别执拗地觉得过去的事情决定了你未来的命运 也别纠结这件事儿做了我未来是不是就废了 just do it because you only live once！  Then came you  我的人生态度好像跟Asa一样 从一个社交恐惧者 不敢尝试新事物 的coward 变得adventurous,26.0,2.0,3
1,1,26649687,终点到达,a5f7aa7163a7c677e24f84fde5328c04,0cfa2d6e4e662a975041c3395e561795,5.0,2019-03-30 23:04:38,"calvin是一个普普通通却又不普通的男孩子，19岁，在机场同自己的爸爸和哥哥一起做行李搬运的工作。不普通的是，他疑似患有睾丸癌，在医生的建议下去参加了癌症互助小组，在那里他遇见了——skye，一个已经被医生放弃的癌症晚期的女孩。     她看似粗鲁放荡不羁，天生自来熟，让一向内向羞涩的calvin手足无措。 鬼使神差，calvin居然答应和skye一起，完成她的遗愿清单。   这个女孩古灵精怪，天马行空，她的热情让calvin不知不觉放下了防备，放松了自己。calVin以自己笨拙却又真诚的方式帮skye完成她各种奇怪的清单，一起被关进监狱，一起去偷东西，一起卖炸鸡热狗，在喷泉旁击剑，要到最喜欢的男生的电话号。 两个人都在不知不觉改变着。 原来，calvin并没有癌症，只是因为八岁时他和双胞胎妹妹在乘坐妈妈开的车时出了车祸，他活下来了妹妹却死了，从那以后妈妈不再说话，把自己困在愧疚中，而他，也想着如果自己也死了妈妈是不是会好过点，这个想法从他9岁一直折磨他到19岁，他对生活充满绝望，甚至连大学就只上了一个学期，就跑去做行李搬运工，得过且过。             然后，skye这样说：         skye 与calvin都是孤独的，skye因为患了癌症，不能体会正常青少年应该过的普通生活，朋友因癌症疏远她，父母整日对她忧心忡忡。calvin怀着对母亲的对妹妹的愧疚（即使他什么也不曾做错），对自我与世界的厌弃，面对父亲哥哥的不理解，自我放逐。然后，你来了，他们相遇了。then came YOU, 这个你，既指calvin，也指skye，他们是彼此的救赎，在慢慢的相处中，skye在人生最后的时光里有了陪伴，而calvin在面对这个坚强乐观善良的姑娘的时候渐渐变得勇敢，为SKYE如烈火一样燃烧的生命，对世界的热爱而触动。 时间一天天过去，最后的日子也一天天临近。calvin仍在帮助skye完成她新的遗愿清单。     calVin亲自为自己最好的朋友做了一口棺材。看到这里真的泪目，calvin是怀着怎样的心情来为自己的挚友送别的？skye在面对癌症这件事情上一直坚强乐观的不可思议，从未掉过一滴眼泪。然而，当她走近这口棺材时，却抱着calvin痛哭起来。原来，死亡真的如此接近，原来，我真的要死了。我不想死，不想离开亲人朋友，不想离开我热爱的世界。  calvin为skye找来了不同宗教的信徒，让他们给skye一个最后的拥抱  让环游世界的空姐izzy为skye展示她曾拍下的有关于世界的图片  和闹掰的朋友和解，和自己，和世界和解        该来的还是，来了   skye的最后一条愿望     skye对于calvin 8岁以后再也没有过过生日这件事情耿耿于怀。skye死后的一天，calvin收到了一打信，skye为calvin从9岁到19岁的每个生日都补上了生日贺卡，写上了满满的祝福。这是来自你最好的朋友的满满的疼惜与不舍。对不起，以后的每个生日不能陪你一起度过了，但是我相信，一定有人会来到你身边的。我补上你之前的所有生日，我希望能缝补上你破碎的心。振作起来吧，勇敢一点，朋友，这个世界还有很多美好值得你去爱   小tip  SKYE calvin 第二次见面，skye来到机场，图片右上角的输液袋里有一条金鱼  只有skye会做出这种奇奇怪怪却又无比可爱的事儿  calvin一直养着这条金鱼，影片后半段skye在calvin家留宿的时候，桌子上一个鱼鱼缸里，游着那条金鱼   另外， calvin工作的机场，他对一位美丽的空姐IZZY一见钟情，而这位空姐也对他有不一样的感觉。她热爱拍照，偷偷拍下了calvin一个人孤独坐在候机大厅的背影，她美丽动人，善解人意，注重内在，是个很美好的人。     刚开始的calvin胆怯懦弱，不敢将自己的喜欢告诉izzy，还是skye一顿胡搅蛮缠将izzy约出去看电影，渐渐地他们才有了进展。izzy知道了calvin身在机场工作却一直没有坐过飞机，特意将calvin偷偷带进一架停好的飞机里，让他体验飞机的感觉。然而izzy一直误会calvin也身患癌症，calvin因此不敢将事实说出口。事实终于说出口，izzy也生气离开。 为什么中间会插这一段呢，是为了通过calvin对这段感情的态度的改变来看出skye对calvin的影响，因为skye，calvin变成了一个更勇敢的人。电影的最后，calvin终于买了机票，克服恐惧，登上了飞机去上大学，和izzy也在相视一笑中化解误会。",37.0,1.0,5
2,2,26649687,终点到达,d841ed883c944103f8a50847a71222eb,7c633c09b95dd1e3b8f37d57ecd9e873,4.0,2019-03-28 00:35:47,一闪而过感受： 1.前半段sype说话语气、表情有点作。 2.性爱自修室的asa和这个asa很像。 3.男女真的有如此纯洁的友谊。吗？ 总结下来还是一个很感人的电影，虽然所有故事的起源来自于一个即死的女孩的去死清单。 全篇大概就是再说趁你还活着，趁你还在世，做些有意义的事，享受当下，好好活着。,2.0,,5
3,3,26649687,终点到达,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-06-05 06:09:10,影片故事讲述挣扎在死亡边缘的斯凯和加尔文成为朋友，加尔文欲帮助斯凯完成她的愿望。在此期间，加尔文认清自己内心，同样还有萌动的爱情。会说话的蓝眼睛，怎样都看不够。看来Asa目前的戏路就是这种有点awkward，有点娇羞的处男形象了。我也希望死时的棺材是喜欢的人做的。前面剧情看着有点看不下去。但是忍住了，然后自己差点看哭。我也希望自己在健康的时候，或者生病的时候。都能有个好心态，好朋友。陪着自己。,,,0
4,4,26649687,终点到达,94b0a458135d74623c86905be9f7a726,e3757290bf567ca772620b81c49e79d9,4.0,2020-11-23 09:09:34,“朋友以上恋人未满，异性朋友间最美丽的情感莫过如此，怀疑自己又装病的男主在帮她实现愿望清单的途中从抑郁找到了做人的意义，看着女主像是流星一样把最后的光带给了身边的人，治愈到了常常加班到深夜又有些抑郁的我，让我想起 生命不是只有所谓的奋斗，要认真的活着 ，有多少个隔间里的日子忘记自己有实现愿望的力量了呢。    感觉梦里曾经发生过什么重要的事情，只是醒来后什么都忘了。也许梦是现实的映射，是曾经发生过的事实在梦里的延伸，到底忘了什么，静静想着，也只有断片。” 愿你我有情人终成眷属！,,,0
5,5,26649687,终点到达,e3eef5f449cd40a13b77f9f6d39aebf2,9a5734444137acfb5e876707576d2b31,,2020-08-31 10:25:01,在我看来，他们的感情是爱情友情亲情的三重交织，她乐观的过着余下的生活，尽管死神总会来临。他因为妹妹的死而走不出被自己围住的困境里；她帮他不断走出困境，他一直陪在她身边，完成她列下的意愿清单，虽然结局她还是去世了，但是这种互相陪伴真的很温暖。她的最后一项想做的事“在这座坟墓里闹鬼吓唬卡尔文”以及给男孩子九岁生日卡片，真的感受到这个女孩子的美好。,,,0
6,6,26649687,终点到达,311e864576174b457b76858fe413394e,d3596672d38efa95b7d9f85bfafc393d,3.0,2020-06-02 13:28:02,"为了阿沙小天使看的，剧情虽然老套但是很感人，依然治愈又致郁，阿沙又是演这种呆呆傻傻的小可爱，对朋友依然这么好，看着阿沙陪女主完成她的to-die list真的内心由衷期望自己有生之年也能遇到一个这样真心的朋友，陪你疯陪你闹，陪你做你想做的一切。

　　全剧印象深刻的几个场面：阿沙对女主的告白，虽然是友谊，但还是高甜；阿沙和女二的吻戏，啥都不说了，酸就完事了；阿沙搂着女主睡觉，男友力简直max，苏炸了！最后结局阿沙在飞机上和女二的深情对视，这眼神谁受得了！",,,0
7,7,26649687,终点到达,0bd14b83a4fa7f5d57cd5358345481bf,c4a302422f7d95b886dcaffed5535701,,2020-03-13 14:37:17,故事很感人励志，其实生命不在于结果，而在于过程，把握自己的时间做自己想做的事是人们都所崇尚的，可又有谁能做得到， 影片中女主因为自己患有癌症便开始做自己任何想做的，也因为人们知道她患了癌症，便所有条例对她放宽了，因她的生命短暂，那拥有长久生命的人啊，好好把握自己的时间吧。 这部片子很好看，男女主演技都很棒，是居家必备老少皆宜的电影。,1.0,,0
8,8,26649687,终点到达,ca7a01fd6dea3a5505d1550c20195bf6,7870e0fbc749b5a07647366a7e3cb64e,5.0,2020-02-06 14:03:10,喜欢这部电影的数个理由：优秀的选角，男女主都是熟面孔。全片节奏紧凑，配乐动听，清新而不造作。近几年少有的能把我这大男人看哭的片子。 关键词-癌症：女主是一个得了绝症，无比乐观的少女。而和她在癌症支持小组里偶遇的，是疑神疑鬼，怀疑自己得绝症的身体健康，精神亚健康男孩。这个设定真的很有意思。全片一直在围绕着女主的癌症展开，毕竟是电影艺术，根本不避讳cancer这个词。但现实中无论是谁，都会畏惧癌症这个恶魔。 关键词-清单：完成少女的心愿清单，是这部电影的主线。那几个一幕幕跳跃的场景，两人完成一项项任务，在少女身上几乎看不到任何死亡的绝望，戴着蓝色假发的她，就像是个正常的青春期女孩而已…… 不得不说，生活从来就没有什么公平，但我们总是在追求那些美好事物的路上，总是揣着希望...,1.0,,0
9,9,26649687,终点到达,039d2220dcf0c3b05d18151f09bb06a7,8db1fb087c4489f5f34f4d2844f10a25,5.0,2019-11-16 22:31:35,"吊床  灵光一闪的二丫  阿萨的父亲的一席话       生日快乐，凯尔文！       关于大学，共鸣          病房外的人  Calvin,你觉得死神改变主意了吗？      Skye死后，Kalvin的哭泣   告诉我的父母我爱他们！   一些其他的图。            At collage,I kept having this panic attacks, like, all the time.",6.0,,0
