,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26691361,21克拉,4f7c35801c09074a401d65cb1a99bab9,d80795250c0e0f27e7ef3101d20bcf4f,1.0,2018-04-21 20:39:51,总结 1，女主表情夸张且生硬。2，剧情单薄牵强。3，三观不正。4，只要需要配合剧情可以无视现实。 例举1，女主全程一个脸，无甚大的表情波动，台词像背书。 2，故事大概是一男一女不知道做了什么的事情，最后在一起了。 3，本来就普通家庭，不想做被小三，但还是想拿着奢侈品和豪宅不放，你要怎样？钱和豪宅我想要，但我不会做小三，既要做婊子又想立牌坊 。做婊子也没事，但想立牌坊就过分了。 4，剧情全程槽点，情景一女主撞车，男主居然扛起她？有点医学常识好吗？你确定你想救他？情景二一个玩美式足球的非洲小伙居然跑不赢一个穿高跟鞋的女子？就算是无厘头也要贴地一点，请参考一下周星驰，东施效颦是贬义词好吧。情景三在商场睡了几天，这个世界有监控的好吗？有巡逻保安的好吗？真的以为是你家？情景四茶叶蛋都是有裂缝的，画了颜料的茶叶蛋既不能吃也不能放太久，还一枪而空了？编剧你喜欢就好。情景五食物中毒，你说中毒就中毒啊？你说赔200万就200万啊？不同意可以走司法途径啊？拉个肚子能讹几万，这么好康的事情我也做啊。.......(例举不过来） 也许每个人的笑点和喜好都不一样，我也能理解说好看的人，但我个人的观感体验是非常之差，晚上10点40分的场次，全场有6对情侣，我们已经占了两对，（我和我老公，我弟弟和他女朋友）听到吐槽声也听到笑声，但我完全不知道笑点在哪，睡又睡不着，也不觉得好笑，但这是我弟弟第一次请我看电影，整部电影之成果都太烂了，票价和可观赏性不能成正比，弟弟的每一分钱都是有血有汗，他应该请我看《低压槽》的。,480.0,215.0,176
1,1,26691361,21克拉,bad7bfa49b3c814c06f35fa520cfaa77,522411dc46bf20dfef6d546bd254f830,1.0,2018-04-28 11:31:31,荒诞可以，但你不能太荒谬。女主毫无来由跑进剧院是闹哪样？出了车祸她还能迅速美美的走出医院？菜市场的Rap也让人一脸懵逼。最后，为了不让女主背负“拜金”的骂名，硬是把情节走向往回掰，也不管是否牵强。整部电影就像一身奢侈品的热巴一样，光彩照人却弱到虚脱。提名：最烂影片。   不提刘佳音这个名字梗。热吧还是老套路，演技堪忧，而且在大荧幕上她根本就不耐看，有几个她落寞后的场景里，皮肤发黑有痘痘，特别显老。她的台词功力也不行，一对比，郭京飞演得很好。整个故事可能更适合话剧吧，作为电影连贯性不够，太跳跃了。   这部电影有着一个奇葩的世界观和一个非常扭曲的价值观，那就是小三儿一定要做了小三儿之后才能找到真爱。并且钱才是衡量爱情多少的标准！  迪丽热巴很奇怪，一会儿好看，一会儿难看，一会儿老气，一会儿灵动，不像她的作品，一成不变的烂…… 我给了她太多次机会，下次她的片子我不会再看了。,88.0,16.0,6
2,2,26691361,21克拉,fb74e1b41c75cfffb24c55eaef91fd8c,e93389d74638d126d305b02fe2f31fe5,3.0,2018-04-20 12:06:50,从很久之前就很喜欢他，演技好还很自然，台词好，人也很好玩，就嗯长得不行，但是不重要，这部电影大部分的戏都是靠他带起走才能维持。 我不是说迪丽热巴不行，但是演技演演小古偶还行，上大荧幕还是有点不行。 剧情其实是很简单的，旧瓶装新酒，两主演共同创业合租一个屋子，一个抠门的男主和一个出手大方类似购物狂女主的一段爱情故事，郭京飞装傻充愣游刃有余，我大概笑点低吧，看到他睿智干练痴情无比会笑出声，主要演了有点多贱贱地讨打的角色，有点不能适应23333 但是剧情真的过于简单了，而且有些梗还很低俗，电影的服化道倒是不错，郭京飞都变帅了，热吧的衣服妆容都不错，但是编剧有些地方写的完全不着调，花哨的服化道下面剧情真的差了点，很多台词和梗来源于生活，但编剧功力不行导致有点乱七八糟。 不过吧，看爱情电影嘛，简单笑完爱过就行了，也悟不出什么大道理，下次有郭京飞的电影我还去看，喜欢。,218.0,57.0,41
3,3,26691361,21克拉,f6360677b647de38e8c8abd950ca35d3,0334784c26f2ccdce5caf5cda2925ef5,1.0,2018-05-01 04:09:47,实在受不了这种为了流量而电影，为了赚粉丝钱而拍的东西了。承认现在很多心智没成熟的小孩追星真的很拼，粉丝行为太夸张了，稍微说一点不好。整个就被粉丝喷死。。。不好就是不好，演技为负，为负好嘛。也就骗骗小孩子。等过一两年，或者最多两三年，那些小孩长大，就会发现之前做过的事是有多幼稚。。。不过，大家都有年轻的时候，也都追过星，也就是年轻。。还有哪些一天心疼这个心疼那个的，等你像那些流量花瓶一样，随随便便演个角色，随随便便发个自拍就能挣几百万的时候再心疼别人吧！心疼一下自己行不，花着爸妈的钱接受这种心灵伤害和精神污染，真的不会审美扭曲吗,48.0,10.0,10
4,4,26691361,21克拉,0baef5507758aa772a1bda9c5999a803,2c820a864e08efe5fd1289c46826c7d5,1.0,2018-04-26 19:35:19,"说实话，在踏入电影院之前，我对这部电影是满怀期待的。 但直到结束字幕升起的那一刻，我都不愿承认自己被！骗！了！ 怎么说？这要从我看电影的“陋习”说起。 为了躲避烂片，我看电影前一般都会去豆瓣先消个毒。 结果一看，短评处都是清一色的五星+四星好评！ 顿时兴趣飙升：不错不错，有潜力。    
 再看一眼卡司，郭京飞+迪丽热巴。 彼时我对迪丽热巴的印象还停留在《克拉恋人》里帅气直爽美丽又可爱的高雯，而郭京飞的演技更是不用多说。  我的稳雯女神啊~   实力派+流量小花里的演技派，这阵容可以啊。 买票！上影院！支持！ 结果还真的是： “进影院时笑嘻嘻，出来心里MMP” 走出电影院的当下，我就只想问问导演、编剧、演员和尬吹的粉丝、媒体： 创作/跪舔这样一部烂片， 你的良心不会痛吗？！！     1 没看过的同志们也不用去电影院贡献票房了，否则你很有可能会因为翻白眼翻到晕倒在电影院。 毕竟这个剧情，也是弱智的一比。 男主角王继伟，又名王扣扣，一个扣出天际的话剧团龙套演员。     女主角刘佳音，又名刘买买，一个壕出天际的被小三拜金女。     一天，女主角在即将施展土豪技能时，被告知自己的卡已经冻结了。原因是她的前男友在与她分手后就收回所有资产。 哦，所以你的壕都是前男友给的？然后分手后还想继续用对方的钱？ 这操作，可以可以可以。 紧接着，在一阵乱七八糟的奔跑中，女主只身闯进话剧院，把即将登台演出的男主撞晕之后，再若无其事的走掉。  





   于是，男主失业了。 于是，男女主开始了一个屋檐下的共同生活。 再于是，两人相爱了。 王扣扣心甘情愿上交了自己仅有的三十万死期存折；刘买买笑中带泪地说“跟你在一起，我再也不买包了。” 再然后，两人经营的外卖店遇到了一场食物中毒事件，刘买买前男友凭空出现，用200万带走了刘买买。     一年后，两人在菜市场相遇，刘买买告知王扣扣，前男友突然良心发现放了她，其实自己一直没离开。 于是王扣扣用刚切完鱼的手温柔抚摸刘买买的头发，音乐响起，激情相拥，happyending！game over！     我说得太快了？男女主是怎样互相爱上的？他们的喜怒哀乐是如何体现的？中间没有什么有趣的事？ 还真没有。 没有一点点防备，也没有一丝顾虑，他们就相爱了，吵架了，分别了，重逢了，谢幕了。 男女主能走在一起，完全是导演和编剧的功劳。 至于人物的饱满？行动的逻辑？前期的铺垫？ 不好意思，这些也都是不存在的。 本片导演大约是本着想到哪演到哪的资深功力，将3分钟就能说完的故事硬生生撑到了96分钟。 那么问题来了，这多出来的93分钟到底说了啥？ 满满的，满满的，全是脱离实际，不合逻辑的BUG啊！！  





   2 不是说一部电影一定不能脱离实际，特别是对于喜剧而言，夸张的表现手法能大幅度提升喜剧效果。 早期可以参考周星驰系列。  星爷式的“无厘头”并非仅仅是在搞笑，在它背后蕴含着深刻的文化内涵   近期也有开心麻花做案例。  开心麻花的搞笑多用语言、词汇。策略涉及音色、谐音、方言等   这些所谓的脱离实际都有一个极为重要的共同点： 它们是为剧情、为效果服务的。 它们的出现必须是自然的，符合语境的。 而在《21克拉》里，脱离实际的情节并没有起到喜剧的效果，它们浑身上下透着尴尬两个字，仿佛脱光了衣服在街上裸奔还不忘戴块牌子告诉大家：我是BUG！！ 没有夸张，《21克拉》里的BUG多到我简直不想数。 面对这种情况，一般有两种处理方式。 要么学习《狂暴巨兽》，用炫丽震撼的特效或其他突出优势掩盖。 要么踏踏实实，琢磨剧本。 但很显然，《21克拉》两样都没有做到。 于是你会看到： 一大堆不合现实的BUG—— 1、穿着恨天高的女主跑步速度能赛过橄榄球队四分卫黑人小哥。 2、上海静安区的超豪华别墅，两人合租费用只需2000元。（别说了，我这就去上海） 3、女主撞车出事故，男主竟然一把扛起她。（这人没有医学常识，朋友们不要学） 4、连续三晚在商场家居店里过夜，吃饭睡觉统统搞定还能不被人发现。（你让天桥的同志们脸往哪放……）     突兀的剧情BUG—— 1、男女主去菜市场买菜，此时画风突变，来了一段一点都不押韵不好笑RAP，几十秒后又突然戛然而止。（相信我，此段堪称年度最尴尬场景TOP10！！）  





   来，完整字幕版奉上。     2、前男友花了很大的功夫把女主抓了回去，居然又突然良心发现「其实你不欠我什么」，再把她放了……（行行行，有钱了不起） 3、为了揭开坏人的黑幕，男主在球场裸奔强行感人，此时女主趁机夺主席台话筒居然是逼坏人募捐？（这也能成？那大概是坏人的智商也不在线了……） 前后矛盾的人设BUG——
 女主就是个典型的傻白甜（此处插一句：这年代还流行傻白甜？？？），而且已经傻到了可以被称为“蠢”的程度。 以至于眼看被两个塑料姐妹花嫌弃了，还能傻傻签下合同并且啥也不看。 然而就是这么一个傻到极致的人设，后期智商突然飙升，在观众还没有意识到情况下，快速识别出两位太太举办的橄榄球赛是在诈骗。 除此之外，电影中还透露了女主的童年并不幸福，父母失和，母亲对她一直辱骂，充满了冷暴力。 在这种情况下成长出来的孩子一般都比较理智坚强。而不是剧中这种没心没肺，装疯卖傻的模样。     3 事实上，《21克拉》甚至算不上一部喜剧或是爱情片。 就爱情片的角度而言，各种起承转合都没有表现，男主女主之间的矛盾从头至尾就没有认真地展现过，就这么轻易地化解。 简单来说，就是没有把这个爱情故事讲明白。 而就喜剧的角度来说，梗烂又尴尬，全程都是尿点。     全片没有任何一点用于推进情节和情感的精巧设计，甚至连影像叙事的基本法都不讲了。 因而无论是从哪方面来看，它都显得粗糙敷衍，不伦不类。 也正如一位网友所说： “令人震惊的不是被小三、落魄、共患难、男主为女主改变这些烂梗，而是导演居然真的把这么平庸的剧情拍得这么无聊。” 但比起这样的电影本身，更魔幻的是周遭一片齐刷刷的好评。     再放一波，认清这些人！ 或许是电影宣发，或许是粉丝操作。 但毫无疑问，这必然是荼毒中国电影市场的最让人愤恨的行为。 毕竟如果没有他们，也不会有像我这样的的人走进电影院贡献票房，也不会有500万制作费用创造出近亿票房的奇迹。 但在这之后呢？ 之后是“何念”“迪丽热巴”甚至是“郭京飞”都会渐渐变成烂片的代名词。 然后，陌生路人的信任被消费完毕。再也不会有人相信他们能拍出好的作品，再也不会有人（非粉丝）会去影院捧场。 十几年，甚至仅仅是几年后。拿不出代表作的他们，青春不再，便永远消失在观众视野中。 当然， 也有可能中国电影市场就是如此，他们依旧拿着烂片当宝贝，依旧赚着数不完的钱如日中天。 但。 我就是不爽这种故事廉价、价值观混乱、哗众取宠、不把观众当人看的弱智闹剧啊！ 只想拿片中的一句台词原封不动送给主创团队： “明明早富得流油，却非赚这种昧着良心的钱”  这么廉价的台词，是怎么想出来的……",141.0,21.0,25
5,5,26691361,21克拉,e3d88efb2c778e26b823a5529f25f734,ef76e2c8938dc672366b7dfed2095dae,1.0,2018-10-02 21:55:03,看了太多涉及人性的电影，深感多思不利于身体恢复，于是就找了一部一看海报就知道不用费脑子的电影来看，当是给脑子放个假，结果，脑子倒是没费，但看完之后觉得费眼睛，费时间，费精力，浪费生命了！     这部电影剧情极为简单，简单到随便一个人都能编出来，十分烂俗的脑残拜金女被有志穷男改变并相爱的故事。可是很多电影现在都是简单的故事，但是人家别的电影要么能写出新意，要么能拍出新意，可这部，那叫一个凑合啊。编剧编剧凑合，每一个被用过无数次的情节都是简单地罗列，前后没什么逻辑，人物的性格也站不住脚，感觉就是硬生生地在凑字数，三五个情节凑够了90分钟剧情，完活儿！导演导演凑合，什么演员演技，不需要，什么镜头语言，不需要，什么剪辑，不需要，我就想问，那你需要啥？你就需要一个流量小花给你自带热度？你就需要看似反差的两个主演给你带点儿话题？你就需要粉丝喜欢看啥就让演员演啥说啥？那你为啥不直接整个粉丝见面会就得了？     第一段里已经把烂剧情和烂画面都吐槽过了，接下来有一丢丢的剧透，我再吐槽一下两个主角的人设。之前就说过，这个人设根本站不住脚，明明是个现代片，可是完全不接地气。迪丽热巴扮演的女主角是个爱花钱傍大款的女人，可是坚持着不做小三，分手之后拼命想要护住大款给买的房子，结果房子竟然是有贷款的。这也就是基本的设置，最让我忍不了的是这个人物的设定基本就是完全按照迪丽热巴最让人喜欢的角色高雯设的，可是因为很多行为没有了铺陈，让电影里的这个角色显得疯疯癫癫，明明是高雯似的连珠炮型的台词，可是就是招人烦。而郭京飞扮演的男主，我都不忍心说了，郭京飞是有演技的，这个自不必说，可是演技也拯救不了完全不符合逻辑的人设啊！        看过电影最直观的感受是，真是可惜了郭京飞和迪丽热巴这一演技派一偶像派的大叔萝莉组合了，你看隔壁《超时空同居》的雷佳音和佟丽娅，因为电影本身过硬，俩人的组合变得多么讨喜啊！ 综上，电影《21克拉》推荐指数一颗星，就是说，完全不用看的意思！,4.0,,2
6,6,26691361,21克拉,dd3182744d5e7b8ed415359d6fb21491,3364f8dfb70f6b053bbe304da051a709,1.0,2018-09-18 00:33:52,1.5倍速看完，对不起，这个导演我从此拉黑，为了郭京飞去看，也为了郭京飞打星，其他的不予置评。 另外，导演，以后请不要拍出这样的作品，劝你善良。 居然要140字才够发？ 连批评都不想批评了可咋整，真让人发愁。 好吧，wuli郭京飞啊，热巴啊，好歹挑挑剧本好不啦，不是什么玩意儿用心就会是好作品的好不啦，这……玩意根本没发看 心疼两位主演…… 最后，讲真啊导演，这样的作品不要再有了，真的，我劝您善良。。,6.0,1.0,2
7,7,26691361,21克拉,f3a2139911cf33b756f0d0ce51ae0e58,ee7e5676d8fcdc7f8c2511a7c5ae680b,4.0,2018-04-24 15:48:31,如果刘佳音女士知道自己会接连n天被hr拒绝，甚至连端盘子都没人要的时候，她就不会在第一天出去找工作的时候说出，我马上就有工作了，就在半小时后，这句话了。 一个签合同不看条款、只有1万块钱还能逛商场消费得一毛不剩、2块钱进的茶叶蛋站在货源边却想卖3块5的女人，可以说是蠢到令人发指。 但这并不影响这个女人也过了几年好日子。 因为她有一双又细又直又长的腿，一张骨相和皮相都旺夫的脸，成功吸引了土豪渣男贝总。如贝总所说，即使她只是给他打了个电话一句话不说，他也知道那是她打的，于是顺手买了中国移动的股票，一下就是7个涨停板，大赚一笔。 WTF，人的运气可以好成这样吗？真的如电影里所说，这个社会拼的不是专业，是运气？ 你，肚子里装的都是才华，在专业领域指点江山都能唬得住专家，上能hold住上司，下能搞得定员工，在公司做牛做马，却连续三次没有得到升职加薪的机会，而那个刚到公司不满一年，在你眼里不过是一粒流沙的臭丫头却轻轻松松爬到了你的头顶上。 不仅如此，可能你还没有刘佳音女士的颜值，却像她一样有不幸的原生家庭，以及像她一样没钱。 呵呵，不用无语问苍天，再如电影里所说，幸福不是故事，不幸才是。但你的坏运气可能无法让你像刘佳音女士般，遇到一个抠死抠活却能陪着你死扛硬扛走过人生低谷期的王抠抠。 WTF？？？ 这难道真的是一部写实到能看到竖起的腿毛的电影？ 然，如郭京飞老师这般的颜值，一个说话都不利索却要当演员的王抠抠，却能在主演生病的时候得到演主角的机会（虽然运气不好被撞晕导致最终还是演砸了），那还是因为他的专业——记得住所有台词，且不结巴。 在刘佳音女士脑子短路卖不出去3块5的茶叶蛋，竟然要跟老奶奶退货的时候，王抠抠同学化腐朽为神奇，把茶叶蛋带到文艺一条街，彩绘成可爱的画蛋，卖20元的天价却获得销售一空的骄人业绩。依然是王抠抠同学的专业让他们获得了逆袭的机会。 请相信，你的人生低谷只是暂时的，没有谁会一辈子走运，也没有人会一辈子倒霉。你的灵魂并不是真的仅有21克拉那么轻贱。你的专业，迟早一定会让你大放异彩。在那之前，请努力让自己变得更加专业。   ps.一个黑人橄榄球运动员，跑不过一个穿高跟鞋的女人；两位难兄难妹能顺利住在商场n天才被发现；吃盒饭食物中毒受害者漫天要出200万赔偿费等桥段，的确是不合逻辑到令人发笑。 pps.但，当王抠抠同学脱到只剩一条裤衩到球场上捣乱，帮助刘佳音女士绕过保安拿到话筒宣布球赛收入全部捐款，从而避免了由于刘女士不动脑子get到的牢狱之灾，王抠抠奔跑中左脚上那飘摇的裤腿，有没有带给你一丝感动？,16.0,3.0,2
8,8,26691361,21克拉,f57e6ff3ae3384f6e922a2dcd502f84c,1bf74528fc170c858361c73b2c167b0b,3.0,2018-04-22 00:16:35,冲着老郭去看的，老郭表现算不错了，虽然说不上惊艳，比起其他演员也是好太多了。虽然他是原版，也是整部剧的灵魂，但是无奈对手太不给力了！之前就怕热巴会拖后腿，结果还真是一语成谶了。 看完电影还特地去补了星剧社那版，看了整个故事，不得不说是电影改编的锅。电影里的刘佳音自带扫把星属性，成事不足败事有余，不知道是纯还是蠢，而且直到最后也看不到什么成长。话剧最后是刘佳音卖了房子凭自己的努力还请了债，所以她说出那番话是真的有体悟的。电影里是贝总直接给了，还因为外卖赚钱就放过了她，以贝总不要脸的样子，不是该更不肯放才对吗？ 被索赔两百万，以他们的能力实在没有办法。也许是过了有情饮水饱的年纪，觉得刘佳音是应该要为这件事负责的，有太多东西比爱情重了，除了贝总实在没有更好的选择，话剧里刘佳音是卖掉了房子，用辛苦的工作来负责，而电影里就弱化了太多，直接把贝总当成了一次性的万能充。所以热巴说那番话，就只是那番话，只是重复或者强迫自己相信，看不到真的认同。当然演技的问题也不能排除。 至于王继伟，最败笔的就是修车了。一点不符合人设，为了证明自己可以改变而花光所有的积蓄修车，企图可以证明什么，说可以给她想要的生活，当然可以理解为爱情，理解为冲动，但是这样的走极端只能导致过犹不及。顺便说一下，很喜欢老郭那段哭戏啊，算是比较惊艳的地方了。还有就是球场那里，真的get到帅了。 总的说来，剧本改编要负主要责任，好比住商场，开始以为是话剧原创，还觉得可能只是改的不太合理，有点水土不服，毕竟放到话剧里还是可以接受的。结果不是，就导致了嫁接的问题，实在有点扯了。孤岛那里更是，算是败笔！ 宣传说是讲两个人互相影响改变的，可是到最后也没看出来改变了什么，就是热巴因为剧情需要把自己变成了刘抠抠，贝总因为剧情需要付了两百万，老郭因为剧情需要证明不抠而花光积蓄修了毫无意义的车，一切都只是剧情需要而已。 感觉被强行塞了一些东西，却无法下咽。尤其那句穷人的善良就只能是善良，那你告诉我，富人的善良又是什么！也许连善良都算不上！对他来说只是无所谓而已，就像王继伟有三十万可以全部给刘佳音，这个远比二十一克拉的戒指来得珍贵。 坐旁边的人一直吐槽说电影好烂，其实倒也不至于，至少老郭还是合格的，还是有一些笑点的，如果没看过原版，没那么高要求，还是看得下去的，只是差了点意思。 也许是有开心麻花三部话剧电影的成功，大家都想来分一杯羹。但是诚然，这部电影或者说导演编剧的功力还达不到，导致这部电影和开心麻花之间差了100个郭京飞！,13.0,2.0,6
9,9,26691361,21克拉,422f31af678756265c836987289d6f7a,c5c1acb6a542d5da1a0edd9cd9fe5fb2,4.0,2018-04-20 19:30:24,"不是每个人都有好运气一见钟情并从一而终，没有爱情欧气的我们，更多的是在相遇、分开这两点一线之间徘徊。世界上有那么多的人，每个人都一双眼，而他偏偏住进了你的眼睛里。
很久没看到像21克拉这样让人舒心的电影了，对，让我用一个词来形容观影感受，那就是舒心。我已经丧不动了，也不再有力气笑到断气。而这种温温和和的，有笑点有泪点，看完让人心里暖暖的片子，是我近期最爱的那个类型。
我的朋友里真的有王抠抠这样无敌抠门的人，也有刘买买这种爱包如命的女孩子。其实，不管是抠门精还是购物狂，谁又不知道自己的那点小毛病呢？无非是给自己保留一点点癖好，一小块安全区，来收留自己内心的那个小孩子而已。
而当爱情出现，一切都不再一样。为了爱人，愿意改变自己，这是对这份爱情最大的敬意。比如王抠抠为爱慷慨，毫不犹豫把全部身家交给佳音，帮她度过难关；比如刘买买不再拜金，买菜杀价的功力让菜贩都闻风丧胆。
喂，你知道吗？我改了自己原本的模样，还不是为了和你好好在一起。最后刘买买问王抠抠，“你还能住进我的眼睛里吗？”，王抠抠回答“可以，但我要安独立电表”。眼泪刚要洒出来，又被逗得乐了回去。安利这部影片给你们，希望你们都能像刘买买一样，嫁给爱情的样子，真好。",47.0,5.0,11
