,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26729867,昆虫总动员2——来自远方的后援军,b8e5505fdc5abf94b4a92601530e16c2,ac1a98c6b1027ef7f653330ef6dd1be6,5.0,2019-07-26 12:12:42,百无聊赖的夏日午后，孩子们趴在地上看蚂蚁打架、抓只瓢虫细数虫背上的黑点儿数目。这画面，是否也曾出现在你关于童年的美好回忆里？孩子们总热衷于探索蚂蚁和瓢虫们的世界，大象君今天推介的中法合拍动画《昆虫总动员2-来自远方的后援军》，绝对是这个漫长的暑假里，不二的亲子观影选择。  萌萌哒昆虫和真实美景融为一体，小虫子漂洋过海救朋友的故事，感人又有趣。全程无对白的设定，不仅把动物拟人化呈现得恰到好处，而且完全跨越语言障碍，让每个孩子都能看懂！法式浪漫幽默，外加满满童趣的情节设计，大人看了也不会无聊。  有些朋友可能早就是《昆虫总动员》系列的老粉丝了。这部系列电影的主要角色，皆出自2002年就已面世的《微观小世界》电视短片系列。这部堪称“昆虫世界百科全书”的剧集，在法国电视台播出后收视颇佳，并先后被100多个国家的电视台引进，其中也包括中国的中央电视台。 2013年于法国首映，历时5年漫长而精心制作、耗资约合2亿元人民币的动画电影《昆虫总动员》，先后登顶法国、瑞士、波兰、捷克等国周票房冠军，斩获七大高含金量的国际奖项，其中包括2015年凯撒奖最佳动画，更是被著名电影杂志《国际银幕》称为“真正超越语言的电影”。 昆虫总动员 (2013)8.42013 / 法国 比利时 / 动画 冒险 / 海琳·吉罗 托马斯·绍博 《昆虫总动员2-来自远方的后援军》由前作原班人马倾力打造，不仅延续了“小昆虫大世界”的“实景+CG”画面呈现模式，保持了前作的整体风格调性，制作水准更是有了全面提升。故事呈现在前作的基础上强化了剧情，丰富了角色之间的情感关联冲突，使得角色形象更加饱满。  该系列动画的导演海琳·吉罗和托马斯·绍博，除了是工作上的合作伙伴，他们在生活上还是一对夫妇。而这第二部关于成长、告别、分离和勇气的电影，还是他们献给自己女儿的礼物。当然，也适合你和你的孩子共同观看。  《昆虫总动员》描绘了一场昆虫界红蚂蚁和黑蚂蚁之间的“特洛伊攻城”大战。在这场大战中，处于弱势的黑蚂蚁在瓢虫朋友的帮助下，最终保卫住了家园。到了第二部，黑蚂蚁、瓢虫、小蜘蛛等重要角色全数回归，不过这一次，他们遇到了新麻烦。      成员没变，但冒险全线升级了！如果没看过系列前作也没关系，《昆虫总动员2-来自远方的后援军》在前作的基础上丰富了剧情的冲突和戏剧性，角色形象更加丰富、更为立体，整个故事相较前作也更具趣味和观赏性。  《昆虫总动员2-来自远方的后援军》里，虫子们仍会用自己的语言和方式“萌萌哒”交流，它们的家族结构、生活方式仍跟我们人类大不相同。新故事仍跟随前作时间线展开，将昆虫们的冒险故事做了升级，是个囊括亲情、爱情和友情，聚焦于生活中那些微小却不渺小的生命的新故事。大幅度增加的“外地”昆虫角色，包括螳螂、毛虫、螃蟹、蜘蛛……它们究竟属于哪科哪目？还等着你们走进影院，进一步解锁。  这样一个发生在虫子们身上，关乎亲情、爱情、友情和成长的温馨故事，大概也能投射在你和你的孩子身上。无对白的设定让本片不至于陷入动画片过分拟人的窠臼。而写实与浪漫童话相结合的画风，绝对能让你体验真正的合家欢“快乐观影”。  正视人类在昆虫世界中存在的痕迹，展现人与自然和谐共处，是本片选择“实景+CG”制作的原因。从故事板的手绘稿，到最终电影画面的呈现，每一个环节都是真实自然与法式浪漫结合的产物。   另外，本片的音效和配乐，小到昆虫的鸣叫，大到电影原声配乐，都由一支87人组成的法国交响乐团演奏完成。这样的呈现形式，不仅给到观众风格统一、调性完整的声音体验，也为“无对白”这个看起来有点“冒险”的动画制作锦上添花。,41.0,3.0,6
1,1,26729867,昆虫总动员2——来自远方的后援军,b8e5505fdc5abf94b4a92601530e16c2,ac1a98c6b1027ef7f653330ef6dd1be6,5.0,2019-08-01 10:54:04,"沉寂了许久的暑期档，最近终于炸出了火花。 一个月内，《八佰》、《少年的你》、《小小的愿望》、《刀背藏身》四部国产片相继撤档，让这个8月成了最名不副实的“国产保护月”。 整个电影行业，都在等待一个爆款来盘活冰冷的市场。正是在这样的气氛下，《哪吒之魔童降世》（下文简称《魔童》）横空出世。  上映不到一周，《魔童》的票房已经接近13亿，打破了4年前《大圣归来》创下的9.56亿的国产动画票房记录。  这也几乎确定了，它即将超过《疯狂动物城》创下的15.27亿的成绩，成为中国票房最高的动画电影。  近几年来，动画作品开始了一系列爆破式破圈行动。基本上就是通过单个爆款，来带动产业的整体发展。   以四“大”天王（《大圣归来》《大鱼海棠》《大护法》《大世界》）为代表的现象级动画的出现，打开了中国潜在的动画市场，也基本奠定了产业崛起的基调。  而如今《魔童》无人能挡的收割之势，其实也是这几年来酝酿的结果。哪吒手中这个看似突然引爆的大火球，其火星早已偷偷蔓延了千万里。  不过，值得注意的是，我们在感叹“国产动画崛起”的时候，往往忽略了前面的限定词。刚刚我们提到的所有影片，无一例外都是“偏成人向”的动画作品。  我们甚至理所应当地觉得，这就是动画发展的方向，却忘了这只是其中一种方向。 动画与儿童之间天然紧密的关系，在这个以成人为绝对中心的世界里，被我们选择性忽略了。  不可否认的是，现在的院线，真正适合儿童的优质电影越来越少了。毕竟讨好大人，比讨好孩子容易太多。  今天，春宵要推荐的电影，就是一部传统而勇敢的动画作品。 更难能可贵的是，这是一部真正适合全年龄观看的电影，哪怕是十年之后，我依旧愿意再次重温，并向所有人推荐——《昆虫总动员2》 昆虫总动员2——来自远方的后援军 (2018)8.22018 / 法国 中国大陆 / 动画 / 海琳·吉罗 托马斯·绍博 / 布鲁诺·萨拉曼 蒂埃里·弗雷蒙 《昆虫总动员2》是一部中法合拍的动画电影，即将在8月23日全国上映，而其前作在豆瓣创下8.2的高分。  中法，一个写意一个浪漫，因此《昆虫总动员2》的气质，也与市面上的主流动画相去甚远。

在这里，没有天玄地黄、宇宙洪荒这一类庞大的世界观设定，也没有非凡降生、天赋技能的英雄设定，当然，更看不到拯救世界的桥段。  只有一片丛林，一群小虫，一次微观世界的盛大冒险。  要知道，光是搭建这小小的微观世界，就耗时5年，耗资2亿。 因为影片的拍摄方式，决定了这必定是个耗时耗力的大工程——实景拍摄＋CG动画。  乍一听，这有点像新版《狮子王》的操作。环境都是丛林，主角都是CG做的动物，但哪怕是相似的拍摄方式，两部影片的美学风格，却走向了完全不同的方向。  《狮子王》追求视觉上的真实感，而上映后也遭遇口碑一边倒，观众一边感叹真狮毛发分明，一边又为太过逼真而频频出戏。  毕竟老版《狮子王》胜就胜在戏剧张力和音乐性，但让没什么表情能力的“真狮子”上演抓马指数极高的哈姆雷特，还得载歌载舞，实在是强狮所难。  因为真实与戏剧之间的关系，本就是此消彼长的。   而《昆虫总动员2》显然找到了平衡点，在这部动画片中，真实不再是对现实的重现，而是童年视角的放大。  我们小时候都有过观察小动物的经历，看蚂蚁搬家几乎是每一个孩子必经的、自发学习的自然课。  那时候，我们花了许多时间在观察脚边的世界上，看蜜蜂筑巢、蚱蜢跳跃、蝴蝶飞舞、螳螂捕蝉……我们的眼睛跟随着这些小生命，一看就是大半天，甚至还脑补了它们之间的关系，谁和谁总是拉手，肯定是夫妻；谁和谁总是打架，相见便杀得眼红……  我们甚至可以通过它们细微的动作，来判断它们的情绪，用自己独特的方式，倾听着它们的故事，成为它们虫生的短暂陪伴者。  解读微观世界的能力，这是独属于孩子的天赋。  大人嘛，沉迷于光怪陆离的大世界，追逐大事业，哪有心思停下脚步，看身边的小世界呢？  《昆虫总动员2》的导演，虽然早已是成年人了，但他们还没那么急着长大。  导演托马斯·绍博从小被“放养”在法国的乡村，他与森林和森林里的小精灵们非常亲近。和我们一样，他也经历了自然必修课——蚂蚁搬家。  小小的他，趴在地上目不转睛的看啊看。从此，这个小小的神奇世界，就从他的眼睛里住进了他的心里。  “如果能用放大镜头记录下昆虫的一举一动，该有多么酷！”小小的托马斯这样想到。而多年之后，长大的托马斯和妻子海琳·吉罗一起，实现了这个梦想。  他们夫妻俩一开始拍摄了风靡法国的《微观小世界》系列剧集，黑蚂蚁、红蚂蚁、小瓢虫、小蜘蛛等昆虫角色一时成为了动画界的明星。  动画将昆虫的习性融入进了剧情中，再加上Q萌且机智的“虫物”形象，一度治愈了不少人的恐虫症。   而后两人携手制作了电影《昆虫总动员》，聚焦法国南部小森林，给动画界送上了一股大自然的清风。  这一次《昆虫总动员2》，从剧情到制作，都可以说是升级加码了。 咱们的小瓢虫阴错阳差地飘洋过海到了地球的另一边，来到了连空气中都充斥着温暖和色彩的一座热带小岛上。  小瓢虫生来第一次来到异国他乡，眼前是完全陌生的自然风貌。亲朋不在、虫言不通，还有可怕螳螂叔叔伺机而动，它会经历什么呢？  而远在天边的家人朋友，又该怎样利用这小小的身躯，翻山越岭来营救呢？  刚刚春宵在介绍中，提到了“微观世界的盛大旅程”。“微观”与“盛大”看似对立，其实正是影片的震撼所在。  我们小时候就知道，蚂蚁能举起比自己重100倍的东西，但你还记得初次获取这个知识时的震撼吗？在《昆虫总动员2》里，这种震撼能被唤起100次。  这些小生灵，还有好多好多超乎我们想象的技能和智慧，它们身上还保有着现代社会稀有的勇气、忠诚与坚持。  作为地球上最早的一批原住民，它们就这样简单而真实地生存在我们视而不见的微观世界里。是时候低下头，拿起放大镜，重新好好看看那个绮丽的世界了。 那里没有人类可以听懂的言语，却全是生命用力颤动的旋律。",17.0,2.0,0
2,2,26729867,昆虫总动员2——来自远方的后援军,8fe9cb54280244310aaa799ffa9a7111,702af72f8f1bbbaf39bad4af622b64e2,4.0,2019-08-24 20:49:37,＃昆虫总动员2——来自远方的后援军＃★★★★，一直很喜欢来自法国的这个系列动画短片，而在九十多分钟的大银幕电影中能保持没有一句台词却表达出微观世界里昆虫之间的丰富情感实属不易。角色形象的设计既简单又可爱，惊喜的是居然还看到了长得像《千与千寻》里小煤球精灵一样的不知道是蜘蛛还是啥的小黑球，文能蜷在沙发上小资地听音乐享受生活，武能开船掌舵千里迢迢去历险，真是又萌又帅。毛腿蜘蛛原本是个可怕的BOSS级反派，但猛然画风一变像狗见到主人一样摇了起来，猝不及防。还有一脸懵逼的小青虫，胖胖的顾涌着好想伸手抓它起来。电影本身是关于瓢虫父子阴差阳错的冒险之旅，但最后居然变成了一个难舍难离的爱情故事……当着这么多小观众的面一个劲儿滋滋亲嘴也是没谁了[捂脸]——九戒影评,7.0,1.0,6
3,3,26729867,昆虫总动员2——来自远方的后援军,fcb5ed446b61a66d37654d00885acfef,68727d15820a0c2ebc29636a8ba6d666,5.0,2019-10-30 23:05:27,"在法国一片森林里，幸福的生活着一家6口红瓢虫，日子过得悠然宁静。直到有一天，他们的朋友黑蚂蚁在“偷窃”一家杂货店时，与同在店里“打劫”的红蚂蚁不期而遇，黑、红蚂蚁双方大打出手，红瓢虫爸爸和儿子听到朋友黑蚂蚁的求救后，奋不顾身前去营救，在成功营救了他们的朋友后，小红瓢虫不幸掉进了运往加勒比海岛的箱子里，瓢虫爸爸为救儿子，展开了一场万里之外的冒险营救，远方的后援军们“黑蚂蚁”“跳蚤”为了他们的朋友也毅然踏上营救的征程，电影围绕双方共同营救小红翅瓢虫徐徐展开。
友情（一）
        听到黑蚂蚁的呼救，红瓢虫父子冒着风雪前去救援，在与实力悬殊的红蚂蚁较量下，父子拼死救下黑蚂蚁。
友情（二）
        黑蚂蚁通过蚂蚁家族无线电联络得知瓢虫父子下落后，毅然决定去救他们父子，为救他们，黑蚂蚁找到了朋友，一个爱听意大利歌剧的“天才”跳蚤，在听说了瓢虫父子的为人处世后，决定和黑蚂蚁前去救援，他们驾驶气球“飞船”，远渡大西洋，为此还差点葬身鲨鱼腹中，九死一生终于到达加勒比海岛。友情看似很普遍，但患难见真情，真正的友情应该经得起风浪的考验。
友情（三）
        在黑瓢虫家园即将遭受人类侵害时，红瓢虫父亲想到了他们救过的带刺毛毛虫，这种毛毛虫能致人类严重过敏，人类唯恐避之不及，在向毛毛虫国王说明灾难的严重性后，毛毛虫国王用触角触摸红瓢虫父亲，证实了红瓢虫父亲所言，带刺毛毛虫们出手拯救了黑瓢虫家园。
亲情
        红瓢虫父亲为救儿子，不畏艰险，一路狂追汽车、飞机，一直追到加勒比海岛。在海岛上，红瓢虫父亲螳勇斗螳螂、蜘蛛，救出了儿子。当看到儿子没有生命迹象后，瓢虫父亲绝望了，他孤独地蹲在树枝上，从早到晚，日复一日。那种疼彻心扉的绝望使瓢虫父亲不敢面对，父亲的爱是那么沉默、无言，又是那么的勇敢、坚毅。
爱情
        红瓢虫父亲从蜘蛛魔抓里救出无生命迹象的儿子和黑瓢虫后，黑瓢虫带着小红瓢虫回到了家里，并且用菌类和花粉覆盖在小红瓢虫身上，很长一段时间后，救活了小红瓢虫，他们的爱也从小红瓢虫复活那一刻开始了，爱情真的很神奇，也很伟大，在瓢虫父子和朋友们准备乘“气球飞船”回家时，小瓢虫还是决定留下来，永远陪着他的爱人。
        爱是永恒的话题，是维系社会稳定，家庭和睦的重要感情，因为有爱，我们能勇敢面对未知的前途，因为有爱，我们知道了生活的意义。",9.0,1.0,0
4,4,26729867,昆虫总动员2——来自远方的后援军,1df5ff43c195b7c7caaf772a732513cb,68e695653bde1a21529b8cac0f0def56,4.0,2021-11-03 08:06:23,全片没有一句人类对白，依赖于精细、精彩 的场景设计;拟人化的情节设计;有趣的音效构建了一个有情、有义、有勇、有智、有险、妙趣更生的昆虫.王国大戏。 这是一部孩子能够乐在其中，又能极大地调. 动孩子想象力与注意力的影片。 它摒弃了人类给予的对白，放大了昆虫之间 动作与互动，极大地调动了孩子的想象力，而不是生硬地运用语言去强化成人意识给孩子。 这种自由地探索与好奇，是大量成年人失去 的最珍贵的东西，也是我们经常感叹成年时光越来越 短暂、飞逝的原因 。 因为对于孩子，每一天发现一个新的事物就 像打开了新的世界，时间在他们的感官里会因为探.索、发现而感到无限地长与精彩有趣。 就像我们小时候津津有味地观看一两个小时 小蚂蚁搬家一般，投射了我们对现实世界的无尽地探索与好奇心，直到我们几十年后回忆起来还自带甜蜜的弧光。 它又是一部大人能够通过用妙趣横生的拟人 故事，寓教于乐地看到三个亲子教育的真谛。,,,0
5,5,26729867,昆虫总动员2——来自远方的后援军,211c9d0edc98d0c52c4d547afb9a4192,5929cbc9d0d999a80b3f8f3fc79f58ff,4.0,2021-05-24 20:38:12,收听了“反派影评”的短评了解的这个电影，起初是对全片无对白的点吸引。令人失望的是电影院排片极少。只能买早上9点的票。困意不言而喻，但是观影体验非常好，困意全无。全片很多视觉奇观和惊喜，音频和视觉特效非常棒。无对白的电影看完能切身感受到主角、主角父亲、小蚂蚁等内心活动已实属不易。好评，推荐推荐,,,0
6,6,26729867,昆虫总动员2——来自远方的后援军,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-05-02 18:55:10,仗义友善的瓢虫父子Cox和Junior为帮好友黑蚂蚁Mandible逃脱红蚂蚁的堵截，不幸从冰天雪地的法国流落至夏日炎炎的南美加勒比。他们用自己的勇敢、机智逃脱了热带雨林里螳螂及蜘蛛的魔爪，并结识了当地瓢虫，并与毛毛虫共同协力赶走了入侵他们家园的人类。与此同时Junior的勇敢也是它收获了爱情，希望留在美丽的加勒比。面对父子分别， Cox和Junior将会做什么样的选择呢？再小的生命，也是有故事的。说话像放屁的瓢虫、全球发电报和吹口哨的蚂蚁、被自己蛛网震颤的蜘蛛、堪称迷迭香眼圈的螳螂、爱听歌剧的煤煤虫…全片都渗透着法国人骨髓里的浪漫和有趣，那么小的身躯、那么大的世界。动物不开口说话引起强烈舒适感，漂洋过海的父子情、战斗力，堪比昆虫界的《飞屋环游记》和《海底总动员》。,1.0,,0
7,7,26729867,昆虫总动员2——来自远方的后援军,a2bb073114b0f39f7ef14ff503d67382,41a1ee8c860c13496c838d818f1289d6,5.0,2021-04-18 11:23:14,动画与实景结合的画面鲜艳中又带着小清新，童年梦境完美再现。嫩绿浅绿深绿墨绿各种绿色参差叠嶂，完全把人带入记忆深处的森林，和小瓢虫一起经历一场关于成长的冒险之旅。一只小瓢虫的成长史诗，会是那么的有趣，里面有冒险，战争，友情。本片小瓢虫见证了黑蚂蚁自卫还击战，用真实的场景，自然的声音，搭配妙趣横生萌到劲爆的各种小昆虫，新鲜感十足，强烈推荐,,,0
8,8,26729867,昆虫总动员2——来自远方的后援军,d280c8459f5cd57e7c26623888997d8a,01f109647e98b11d86533b1078ff990e,4.0,2021-04-03 09:11:59,原本看到蟑螂的时候心里一阵🤮但是忍住了继续看到结束，实在震撼！小瓢虫的奇幻冒险真的是心跳的感觉～各种感情的交融是比任何语言都清晰传达了影片的深意。 已经好久没有看电影了，动画真的是不错的选择～突然好像不那么害怕小蚂蚁小毛虫了，可能昆虫被赋予了情感之后，即使没有任何能听得懂的语言，也不那么可怕了。喜欢😊,,,0
9,9,26729867,昆虫总动员2——来自远方的后援军,db9a6f9591612d9b3192147035ad442a,c7ec7ec211eaf6b71fa1104443bf3a7a,5.0,2021-01-16 23:21:14,电影从开头到结尾没有一句台词，有的只有虫虫的语言和来自法国的的歌曲的歌词，讲述的是团结一致营救小七星瓢虫，影片中都是在体现团结的重要性，和勇敢面对生活的一部分好电影，不管遇到什么，坦然接受，最后支援军成功接到七星瓢虫父子的故事。推荐看，毕竟小虫虫也有大智慧。在今后，相信遇事的你不要犹豫，要有勇有谋，面对生活发出的挑战和考验时，要相信，不止你一个人孤军奋战，在人生的路上也应该时刻想起，不要放弃，也许其他人都还在为你而坚持。,1.0,,0
