,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26730542,有五个姐姐的我就注定要单身了啊！！,a3ac6f1deea3d89332575b338dabe228,e8e4e8a35328593dd524357a5eb3e0bd,3,2019-01-22 12:50:23,"这篇影评可能有剧透 

                        我第一次看到这样一个女孩，她像是漫画里走出来的，她叫项婕如。 但我第一次看到她是在这样名不见经传的一部电影里。这部电影名字很长，剧情很短，它叫《有5个姐姐的我就注定要单身了啊！》。 这是一部轻小说改编的电影，去年在中国上映，由3unshine演唱电影推广曲《你姐》。整...

                         ( 展开 )",10.0,2.0,0
1,1,26730542,有五个姐姐的我就注定要单身了啊！！,be76da3b603d8bc986ac1b0e2deea895,c35eb84efbb98aa0dd85b8f70fa70d03,2,2019-01-09 16:32:16,"这篇影评可能有剧透 

                        《有5个姐姐的我就注定要单身了啊》这部电影貌似是我看过名字最长的一部了吧，我一度在用输入法打出这个片名的时候都在校对会不会打错一个字，多打或者少打，呵呵，怎么形容这部电视剧呢，好像就是一部标准的老掉牙的台湾偶像剧吧，比较中二，也不烧脑，看着有点小清新，又有点...

                         ( 展开 )",1.0,1.0,0
2,2,26730542,有五个姐姐的我就注定要单身了啊！！,eb5cba2d91b6c6047f17951aa2a3ea54,19c550188c76a3b5599621418933f245,2,2018-12-19 19:21:10,"台湾的偶像剧和青春片都曾经是领大陆之先的，台偶现在也已经没落了，但青春片仍然站在大陆青春片肩膀上。 相较大陆这边青春片在豆瓣几乎都过不了6分，连票房很不错的《左耳》也只5.4分、爆款《后来的我们》也只5.9分。连似乎品相不错能催泪的《快把我哥带走》都只有6.9分。 而...

                         ( 展开 )",4.0,,1
3,3,26730542,有五个姐姐的我就注定要单身了啊！！,2b57bfa2e2ace609676fcac0f0287aee,9ce3e9bc585a92fe78c529fe1b892bfa,5,2020-07-06 03:26:47,"五星没毛病，这部电影给了我非传统性的观影体验，一般的青春爱情电影都注重于引发观影一系列回忆或情感如《左耳》《同桌的你》都是用较为现实的剧本来展开电影体验，虽然剧情很感人，但整体缺乏青春爱情的浪漫气氛，同样另一部青春爱情电影《我的早更女友》整体浪漫氛围还是不...

                         ( 展开 )",,,0
4,4,26730542,有五个姐姐的我就注定要单身了啊！！,2b57bfa2e2ace609676fcac0f0287aee,9ce3e9bc585a92fe78c529fe1b892bfa,5,2020-07-06 03:06:03,"五星没毛病，这部电影给了我非传统性的观影体验，一般的青春爱情电影都注重于引发观影一系列回忆或情感如《左耳》《同桌的你》都是用较为现实的剧本来展开电影体验，虽然剧情很感人，但整体缺乏青春爱情的浪漫气氛，同样另一部青春爱情电影《我的早更女友》整体浪漫氛围还是不...

                         ( 展开 )",1.0,,1
5,5,26730542,有五个姐姐的我就注定要单身了啊！！,f7a8d14ce7d2a5607728c3dbcbcaafce,4c68622d97a09bffa28a047c976cbdb7,3,2020-03-08 10:14:53,"这篇影评可能有剧透 

                        莫名其妙的看了一部预告片，莫名其妙的默默等了大半年，然后看了这部莫名奇妙的电影，沉淀了心底莫明其妙的触动，这算是对这部电影最笼统的一种评价吧。 夸张的手法可以说是从小学就开始接触的一种手法了，用比较夸张的话来谈这部电影，就是在夸张的深渊那微妙的悬崖边缘疯狂的...

                         ( 展开 )",,,0
6,6,26730542,有五个姐姐的我就注定要单身了啊！！,8d032918b68a8c824f38d97546f227e1,f8daa18821237b19c4a834a232a8b498,4,2020-02-12 10:11:18,"原以为这是一个漫画改编的电影，想不到尽然不是😂😂😂 气场强大，统御一切的大姐，教导主任二姐，科技宅女三姐，射手四姐，校花五姐共同虐一个弟弟，妥妥的漫画设定啊，如果女主也有一堆强大的哥哥，应该可以拍一部电视剧了。 像这样的电影看着还是很欢乐的，毕竟中二是...

                         ( 展开 )",,,0
7,7,26730542,有五个姐姐的我就注定要单身了啊！！,0cdc8936edb588420b194c764f616cb9,a0ce9c7474c301d2e00d140fe4f2f07c,4,2019-05-19 10:22:44,"正在看啊，不少福利环节，前面有个说AV的，真不错，5个姐姐看上了弟弟的器官！加上各种泛SM情节，姐弟控啦，逗比的情节很多，其实真不错，至少能看的下去，虽然逻辑荒唐，但各种梗至少让人耳目一新啊。话说，为啥一定要140个字？好吧，再说两句，就凭它能拍出，回到家看到5个美...

                         ( 展开 )",,,1
8,8,26730542,有五个姐姐的我就注定要单身了啊！！,7ae027193486a02c5e2801a25e40cddd,e49f955d6c5319d173c2f1808f93c240,2,2018-11-20 00:04:05,"如果说《有5个姐姐的我就注定要单身了啊》想要成为《那些年，追过的女孩》和《我的少女时代》之后的第三部台湾青春偶像电影，只能说还差十万八千个国产青春电影…… 首先名字就不好……你会觉得这是个喜剧，虽然看完你发现这就是个喜剧，但是名字稍微好一点第一印象至少不会这...

                         ( 展开 )",,2.0,0
9,9,26730542,有五个姐姐的我就注定要单身了啊！！,122ce757a4404c0a28c6186beb7519f3,73f39896d08ce51cc4901edd99ea6677,2,2018-11-19 22:37:29,"本片从名字就透着一股三线日本轻小说的气息，因此片中的所有常识方面的bug都微妙的让人能够理解(ง˙ω˙)ว剧情莫名其妙，同时也蜜汁欢乐。 反正会在知道名字之后还愿意看这部电影的人估计也不会是指望着要看什么让人泪流满面或者发人深思的内容，所以凑活着看吧 全片最大...

                         ( 展开 )",,,1
10,10,26730542,有五个姐姐的我就注定要单身了啊！！,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,1,2018-11-19 01:24:21,"又是嘉映影业出品。这两年是不断有新戏出来，但大多不出彩。 片名学日本片，又长又怪。大概片子本身没什么可以吸引眼球的，就在片名上装象了。 这个开头，略无聊。“再也不见”，这话当年不可能流行。 放箭的四姐和拿教鞭的二姐，还有大姐，性格到底有什么不一样？ 还有女主，...

                         ( 展开 )",2.0,,0
