,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26746804,数码宝贝大冒险tri. 第6章：我们的未来,628ae26276787d2d27a07efe5dd0370e,0aa2fb120f99430a82c8b47825532fd4,1.0,2018-05-05 16:18:41,"这篇影评可能有剧透 

                        可算是完结了，相信被情怀绑架而不得不半年一追的人不在少数，求求制作组可千万别出续集。汇总tri系列全部观影感受来说说这个系列为什么如此糟糕。 受众成长 数码宝贝经典原作发行于1999年，是亚洲一大批90后孩子的童年和情怀，会关注tri系列并对其怀有极大期待的主要群体也是...

                         ( 展开 )",129.0,5.0,30
1,1,26746804,数码宝贝大冒险tri. 第6章：我们的未来,4ef5a1817c60527181105ed5fd29c345,e73db2064c9b9c203e6b1f3969bb35d3,1.0,2018-11-13 23:39:53,"这篇影评可能有剧透 

                        终于还是没能忍住，注册了个账号写这个影评。 在我的童年时期，数码宝贝可以说是最令我印象深刻且深受感动的作品之一了，那时候几乎天天守在电视前看，任何一个镜头都不舍得错过，勇气，友谊，知识，诚实，纯真，爱心，光明，希望，八位主角，八种不同的特质，惊险刺激而又充满...

                         ( 展开 )",9.0,,0
2,2,26746804,数码宝贝大冒险tri. 第6章：我们的未来,659beec3f99ff814133a29c3a5b82f8b,9bef311b2e486d9159c8960b60ce7002,3.0,2018-05-06 01:22:12,"这篇影评可能有剧透 

                        一群孩子坚持了两年半，决不放弃伙伴，两年半后，由于一些原因，他们“成长”了， 还是为了拯救世界，不过这次，他们却选择了“放弃”。 那一句“ 我们不再是被选择的孩子，而是需要作出选择的人 ”昭示着“成人”这一概念。但这又不是另一种意义上的屈服，相较DA一代一行孩子...

                         ( 展开 )",9.0,,2
3,3,26746804,数码宝贝大冒险tri. 第6章：我们的未来,c720625df950709725ddc0de97b8320d,a88bad91995189ecb2f69ad0044fb8d4,4.0,2018-05-05 21:53:39,"这篇影评可能有剧透 

                        tri终于完结了，尽管剧情逻辑满满的槽点，但我觉得还ok啦。只是想谈谈太一，从小一直很喜欢太一，小时候觉得是主角长得帅又厉害，后来一直很渴望自己像太一一样变得勇敢。tri里面一直在描述太一性格的变化，权衡犹豫。出场与阿尔法兽战斗害怕造成破坏而犹豫导致解体，在缅因猫...

                         ( 展开 )",19.0,1.0,5
4,4,26746804,数码宝贝大冒险tri. 第6章：我们的未来,0cbc65fcfe42d06743bafaddd4be941e,19c426bcd1c8be47f5ff32187ef2b530,1.0,2018-11-03 22:31:16,"这篇影评可能有剧透 

                        5.11 看完数码宝贝大冒险tri. 我真的很心累 骂到最后我都不知道该骂什么了 然而好不容易看完了 还是想写点儿啥 6章加在一起大概有十个小时 然后用两天刷完了 一边看一边在骂 就连现在上传这个视频也在骂 因为视频太大了 进度条走得太tm慢了 已经凌晨五点了 到了平时的睡觉点了...

                         ( 展开 )",5.0,,1
5,5,26746804,数码宝贝大冒险tri. 第6章：我们的未来,5225da31e0aa1e2265412ca141612a55,8346c85fe54a0cd6983f77a164a24656,4.0,2018-06-16 17:04:56,"butterfly 响起的时候肾上腺素急速分泌，一腔热血湿了眼眶。坚持看到最后一秒，只是这次数码暴龙机响起的时候黑了屏，好似童年的见证终于落下帷幕！很多人吐槽tri卖情怀，烂制作，毁童年等等，我却只看到喜欢的那群人长大了成熟了有所顾忌了，仿佛看到自己的影子，只是他们比我...

                         ( 展开 )",3.0,1.0,0
6,6,26746804,数码宝贝大冒险tri. 第6章：我们的未来,0fa463ce86c7e058aed61ed6bb7911e4,b9eb2b263b1e0570ddedbcba5272fe1f,5.0,2018-05-08 14:06:41,"第一部刚出的时候，期待满满，有点不尽人意，但对我这种怀旧情怀特别严重的人来说，单单开头曲就足以让我给5分，亚古兽救太一的登场也是帅到不行，再加上后面奥叔和阿尔法的决斗，到五星，足够了。 中间几部不多赘述，不称赞，也不想去踩几脚，总比让我去看小猪佩奇好吧？ 至于...

                         ( 展开 )",3.0,,0
7,7,26746804,数码宝贝大冒险tri. 第6章：我们的未来,a18151feb0e919ae5810b1b3af60a163,4577d4d3461fa5ce3547fb30e1662b4d,4.0,2021-11-02 10:03:28,"这篇影评可能有剧透 

                        这部续集刚出时自己在追，当时大家都在骂，加上自己不是很喜欢人类世界的日常就弃了 但最近空闲，想重温下童年，两天一口气看完了整部，发现其实关上弹幕，心平气和地看，这部其实还不错 续作的立意是比较大胆的，核心矛盾不再是光明黑暗的二元对立，而是拯救世界与拯救同伴之...

                         ( 展开 )",,,0
8,8,26746804,数码宝贝大冒险tri. 第6章：我们的未来,9eb6cd8fd341c53f2c1eb80dbed860eb,1e3b1f722841dfaf75aba7ea15d80d3a,4.0,2021-01-12 13:29:09,"多年之后，《数码宝贝大冒险》终于等来了后续，却也迎来了众多负面评价，画风奇怪、乱组CP、新人惹人厌等批评声不绝于耳。 或许是因为看多了此类评价，心里有了准备，不抱过高期待的看完短短的26集后，发现也不是那么差，甚至很多地方还不错。 首先是画风，跟原作明显不同，新...

                         ( 展开 )",1.0,,0
9,9,26746804,数码宝贝大冒险tri. 第6章：我们的未来,105cc4bdc6b426761ff92fd4ddefdc58,29f625b6c5b6e07fe4ce6ad7f655ecad,5.0,2020-11-10 00:55:37,"这篇影评可能有剧透 

                        想想第一次知道数码宝贝tri要上映还要追溯到刚上大学的时候，熟悉我的老弟突然给我发了一张日文海报，说这个我一定会去追吧，我一下子还没有认出来，后来也就没去多追究了，因为单看海报说实话不是很感冒... 没错，这就是在抛除了情怀加成它的画面在我这里的评价，如果不是挂上...

                         ( 展开 )",3.0,1.0,0
