,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26752558,非分熟女,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,1.0,2019-04-15 19:27:28,"为什么只有66分钟？删减了所有情欲戏？！原版本长达108分钟，删掉了42分钟。这是史上剪刀手最厉害的一部电影了吧？片方是不是借此炒作，过一段再推出足版呢？莫名其妙！ 本来是期待阿Sa的大尺度而来，结果……就看到她跳了两下钢管舞！虽然阿Sa的身材没什么看头，可总比挂羊头...

                         ( 展开 )",41.0,17.0,61
1,1,26752558,非分熟女,2a3d407fc88ed23c3bfa5da569c6e930,601ba717a4ead7d3eb78d90e80965193,4.0,2019-07-31 13:37:21,"这篇影评可能有剧透 

                        在今年的金像奖最佳女主角评选中，两位女主角都靠三级片获得了提名。最终，内地影迷的老熟人蔡卓妍、阿Sa却与影后失之交臂。这是她继口碑之作《稚妓》之后，再次错失影后殊荣。 综合评判下来，阿Sa的确输得心服口服。首先从演技本身来看，阿Sa在片中的表现毫无突破，只能算中等...

                         ( 展开 )",42.0,2.0,7
2,2,26752558,非分熟女,3b8773d30504080c45ade6320a95afe9,48faacf4be07507019c42e81e817ca4f,4.0,2019-06-15 22:28:27,"无意播放的一部，却意外的让我舒缓。非常平淡生活的一个市井生活的故事，通过食物与情感的勾连，找回对生活的热爱。高潮部分在：味道是不会骗人的，闭上眼睛，不要总是用脑子去想，而是用心去感受，诚实对待自己的感觉就对了。做食物的情趣就在此。平淡温馨不失激情。扣一星遗...

                         ( 展开 )",6.0,1.0,2
3,3,26752558,非分熟女,cd6d4919b1137d8169e7114b1ca86045,5d41402abc4b2a76b9719d911017c592,3.0,2019-08-18 12:37:20,"导演讲故事的能力不足，但阿sa和吴慷仁的演技都很到位，特别是阿sa，很惊艳，唱歌好听，没想到演技也这么赞！还有未删减版中，厨房船戏，吴慷仁让我久久无法忘怀的台湾翘臀…吴慷仁真的太欲了，这是对于我来说比单纯一个""帅""字更高的评价。不觉得是刻意的情色，顺理成章，也极...

                         ( 展开 )",5.0,,1
4,4,26752558,非分熟女,6239e4e3a864c6c412722bbd96633dd4,b93829202ee3163ad83f25dcdb8d7814,1.0,2020-06-23 20:22:24,"话不多说先上图 这是未删减的，不能发太多要不然发不出去，还想看图的私我吧！ 电影题材是不错，就是拍太难看了，拍出来的就跟烂南瓜一样 片子很乱，毫无艺术可言！剧情太无厘头，也不知道想表达什么，莫名其妙的就上了，表达寓意不够突出，重点，细节也处理不好，内容也过于牵...

                         ( 展开 )",2.0,1.0,0
5,5,26752558,非分熟女,6f82804ae289d9eb48e47869b09738e4,b509c0061302477e5ee48b175dcb6cd7,2.0,2020-08-22 20:25:40,"如果你把它当作一部情色片来看，那就大错特错了。在2019年这个时间点拍一部如此平庸的伦理片，到底想要表达什么呢？ 其实很多香港电影都是有思想性的，你不要只看表面故事。一个地区的文化，习性和认同感往往在举手投足的不经意间，深深刻在每一个市井小民的心里。也会反映在电...

                         ( 展开 )",1.0,,0
6,6,26752558,非分熟女,cf2785dcc3b524e44736f7a802adc7e9,7c654c97a3a7354768e558618f3ea024,3.0,2019-08-01 10:56:19,"香港Twins组合成员阿Sa（蔡卓妍）主演新片《非分熟女》，可谓目前境遇最悲惨的香港电影。 又是「非分」又是「熟女」，片名自然令人想入非非，而内地某视频平台播映的版本，竟只有66分钟，相比港台公映版的90分钟，被删24分钟，而相比导演剪辑版的108分钟，删减时长更达到42分钟...

                         ( 展开 )",25.0,1.0,14
7,7,26752558,非分熟女,9f143abde29252dc63d272c4840807fb,13db97f091ad35dd7718cbec004ce20a,3.0,2019-06-24 15:15:33,"电影是根据真实的故事改编的，据说是女导演的朋友亲身经历的事情，女性视角下的故事都是细腻敏感的。女主小敏，在电影里有四个层面的角色：有性障碍被弃的妻子、平淡乏味生活下的失业者、重病单身父亲的女儿、性情敏感冷淡无法接纳自己的女性。这四个身份交织在一起，女主的内...

                         ( 展开 )",5.0,1.0,0
8,8,26752558,非分熟女,91b4803416a01cf6dfc8b67211c712eb,a6567816e007283cf9781c35b95dd56f,1.0,2021-08-21 14:47:17,"这篇影评可能有剧透 

                        有一说一，下载这个片子的原因就是因为归在了情色类里，男人啊，呵呵。实际上看下来给我的感觉就是看了个寂寞，可能是由于地域文化差异不同，我们对于香港的茶餐厅文化共鸣度不高，对于其中市井小民生活的种种不易缺乏一些感同身受，以至于对于影片开始的艰难维持到后来的初现...

                         ( 展开 )",,,0
9,9,26752558,非分熟女,2285d18d918649d427ce33f6b9776cce,5b77c3386e2d4c8f234d57969907aa21,,2021-08-13 10:24:26,"这篇影评可能有剧透 

                        有幸看的是完整版，但也没感觉有大尺度的镜头，至少都没露点嘛，打着情色的擦边球，但比真正的情色片差的远了。 一个有点莫名其妙的故事，看完也不太明白导演想要干嘛。女主是个一直压抑自己的女人，但也不知道为什么要压抑自己。因为童年阴影？父亲过于狂暴导致的应激反应？的...

                         ( 展开 )",1.0,,0
10,10,26752558,非分熟女,f0f9243608b1ed3515ddeb46f6a95c9d,45dd3ce0c2314de0d3fb23c8198776a8,,2021-02-06 15:09:33,"一个从小被封闭了很久的人很难去追求一种身心愉悦的感受，她也很想改变她现在的状态，于是她去找心理咨询，但心理咨询师只能缓解她的情绪，并不能从根本上解决她的问题，所以理论和实践相结合是多么重要。阿Sa由一开始的封闭到后来很好的掌握钢管舞，已经改变了很多很多，内心...

                         ( 展开 )",,,0
11,11,26752558,非分熟女,8fd92d166447a9d4569f2e602fb5b8bf,a66b792d6f06c994b7c1de12a06fd970,3.0,2020-09-28 02:35:12,"主要是女主一个人的故事，只关乎她的成长。男主在这里是工具人，男主爸爸是，甚至收房租的地主也是工具性地涨价，让男主说出“你该去追求自己的生活”。女主的成长是全世界给她的礼物。不管是公司被开除，还是爸爸的住院，男主的出现，男主的离开，父亲的理解。全都是最好的意...

                         ( 展开 )",1.0,,0
12,12,26752558,非分熟女,4cf8bf7e6378e42eb7b5d4f59a9cf77c,97b9308f6a1f6a8524a91450dca473fa,5.0,2020-08-15 02:07:03,"看了107分钟，感觉豆瓣评分有点低，个人感觉中规中矩还是可以的，情欲的表达就几个镜头也表现的很欲了，以前总觉得吴慷仁的吻戏太纯不够欲，不过在这部剧里有那么点欲的感觉了，如果别照大尺度激情戏来定位和宣传会不会就不会给观众那么大的落差感，如果不定位为三级片，两人全...

                         ( 展开 )",,,0
13,13,26752558,非分熟女,692889495f824b951990bfc3cc9b1d63,ed80c5f71e57b0d14f31d5d1a18c59ff,3.0,2020-06-20 23:57:42,"这篇影评可能有剧透 

                        多少段看似正常的感情，背后却是暗流涌动。 你以为的幸福生活，其实也并没有那么幸福。 很多人为了维持表象，只能带着面具生活。但生活带来的痛，却只能自己默默治愈。 小敏（蔡卓妍）结婚5年，却还是一个处女。 结婚那天，当阿权将她抱在酒店的床上时，汹涌的激情忽然戛然而止...

                         ( 展开 )",,,1
