,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26773625,进京城,49397dd6ea922f8a3cd3946bd827c24a,711e3e1803bce4782e68fb877f04580f,3.0,2019-05-08 22:51:20,"这篇影评可能有剧透 

                        梦过去就行了，别期待太高。 回忆一下史诗大剧《孔子》，影帝周润发和不老女神周迅都扑街的戏。这部，可以想见 一、剧作 首先现表示对邹静之老师十分尊敬，他操刀的《一代宗师》、《归来》与《赤壁》系列可以说分别是华语电影中极为优秀的艺术片和商业片代表作（当然这和导演关...

                         ( 展开 )",34.0,,18
1,1,26773625,进京城,2d4d369eb91892a440d0bbaea7e04500,497cf65851c4fc2ecef208a831f8d4ba,,2019-04-28 14:47:23,"京剧题材影片《进京城》即将于5月10日全国正式上映，该片以清朝中期四大徽班进京为北京，以一代京剧名伶汪润生为主线，展现了京剧的诞生历程和一代京剧艺人奋发向上的拼搏精神。 该片曾获得上海电影节电影频道传媒大奖和澳门电影节最佳导演奖，导演胡玫曾经执导过《雍正王朝》...

                         ( 展开 )",9.0,1.0,0
2,2,26773625,进京城,e24b3b387bd60176de2818ae0b0d79d5,ce20cc77a3ec2aca5c1bab6c3d12b0da,5.0,2019-05-11 23:34:53,"这篇影评可能有剧透 

                        一、武生汪润生 他是扬州春台唱戏班的名角，虽然有名，但在世人眼里也不过是一个区区戏子。“一个下九流的臭戏子”真实描述了清朝年间艺人的社会地位。自古以来戏子的身份都不高，清朝还有明文规定，唱戏的脱籍以后三代才能考取功名，那么也就不难理解片中各色人物对汪润生戏子...

                         ( 展开 )",16.0,,4
3,3,26773625,进京城,bcadda6c70d7114a9df8f12ad9b51d07,4e33e7017dcbe937238cefd09c60fcdb,5.0,2021-05-03 14:09:45,"这篇影评可能有剧透 

                        魏长生（1744年-1802年）字婉卿，四川金堂县人。因排行第三，故人称魏三，清乾隆时著名秦腔旦角演员。幼时家贫，13岁来西安学戏，曾几度赴京师（北京）演出，尤其是1779年在京演出滚楼一剧，引起轰动。“一时观者而六大班既无人过问，或至散去。”后又去苏州、扬州演出。1802年...

                         ( 展开 )",4.0,,1
4,4,26773625,进京城,4c6a4207f88a03e04b1dd54fbf4187bf,00af572cc74111a9b2be001eefdbe62a,3.0,2019-05-22 20:54:11,"按：本文系与绿流女士合作而成，版权同属于我们两人。 电影《进京城》讲的是清代乾隆年间徽班进京的故事，也是京剧前身的故事。拍的很好，值得一看。 一个时代的没落，向胡玫致敬 不过，京剧目前已经很难吸引到年轻观众，京剧前身的故事也很难吸引到年轻一辈的观众。古装的电影...

                         ( 展开 )",7.0,,0
5,5,26773625,进京城,5f7bb8e50624bd36020c3c0db15f3274,458c294fe32f8b7cedec230bc6333a6c,5.0,2019-05-12 14:18:58,"这篇影评可能有剧透 

                        这是一部被低估的电影！我觉得所有的戏曲从业者都值得走进影院看看这部电影！ 《流浪地球》后正经看的第一部电影，本来是抱着支持一下戏曲题材的念头去的，也以为在这么惨淡的排片下会出现“包场”的情况，谁知，一切都大大超过了我的预期。 富大龙老师在我印象中一直都是个糙...

                         ( 展开 )",6.0,,3
6,6,26773625,进京城,4e2019ef78048556f83c3c8c6d7d5861,b80289adce85c7a5ddf9129dd9a88ddf,5.0,2019-05-11 00:37:31,"这篇影评可能有剧透 

                        《进京城》，这名字就足够直接霸气。全篇又都是精工细作出的匠气。讲京剧的电影不少，但讲到京剧起源、徽班进京的属实没几家。题材上，就足够让人好奇了。而且，导演没有铺陈出整个大时代，而是由主要人物着手，可这两斑，亦足以窥全豹了。 服化道精致得不像话，满是那个乾隆盛...

                         ( 展开 )",6.0,,0
7,7,26773625,进京城,7ae027193486a02c5e2801a25e40cddd,e49f955d6c5319d173c2f1808f93c240,4.0,2019-05-10 21:43:04,"这篇影评可能有剧透 

                        首先，关于王子文的戏。看着有评论说王子文这戏可以直接略过，不是很赞成这种观点。除了配音出戏，我觉得没毛病。王子文饰演的春荣，妆容与服饰满满的少女感。和很多强推“少女”妆不一样，王子文是真有神韵。发现自己被汪润生拐跑后，惊慌失措的逃跑，但是又被润生的一句“带...

                         ( 展开 )",8.0,,2
8,8,26773625,进京城,e4b301ccb9031b407add21693dd7a976,4901b72dd6a767b22f11f7b51dee39d4,4.0,2019-05-12 22:17:39,"这篇影评可能有剧透 

                        要不是在我喜欢的博主的微博里看到推荐，我都不知道有这样一部电影。 宣传很少，排片很少，一天两场都是影院大发慈悲，好不容易才挑到我和闺蜜都有空档的时候。 开头确实吸引到我了—— 一双兰花状的手，指甲修长剔透似笋芽，让我想起欧阳修在《玉楼春》里那句:“春葱指甲轻拢...

                         ( 展开 )",11.0,,0
9,9,26773625,进京城,917808ec2625f690e67da555b7747581,44ebb428b5ff6df214cd4db0f157084b,2.0,2019-05-14 09:26:31,"这篇影评可能有剧透 

                        周末上午，去看&lt;Roma 。等待进场时，看到门口《进京城》的广告牌，好像还不错哦。一查下午一点多就有一场，于是吃了简单中饭，又坐进电影院。 电影一开始，看到什么出品方制作方，就预感不妙。看下去，真想抽自己划手机的右手，心里忿忿然：都是电影，差距咋就那么大呢...

                         ( 展开 )",5.0,2.0,5
