,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26864178,念力,7419d9869b17b233a99ea30440d27bf9,a31395820833cce3d4802fb0bc934e21,5.0,2018-04-17 18:31:13,"如果抛开电影中的现实元素，那么《念力》只是一部温馨又闹哄哄的家庭喜剧。独居的门卫大叔硕宪生活虽落魄倒也安稳，直到多年未联系的女儿陋微打来电话告诉他前妻过世的消息。原来，硕宪早年为了躲债离开妻女，此后母女俩的生活一直非常艰辛，好不容易熬到女儿成年，她们的炸鸡...

                         ( 展开 )",23.0,,7
1,1,26864178,念力,70b8a26cf81e5a08e75350722dee0a7e,687e2774a101cb54d46acc81bf7877c6,2.0,2018-03-31 23:20:19,"这篇影评可能有剧透 

                        本文首发于微信公众号“五十公斤熊”，更多影评和资源欢迎关注。 2016年一部《釜山行》刷爆了所有电影网站和影评社区。 不仅是当年韩国电影票房冠军，也是香港、台湾影史上最卖座的韩国电影。 《釜山行》除了给广大迷妹的老公团增加一个名叫孔侑的男人外，更大的意义在于，韩国...

                         ( 展开 )",7.0,12.0,7
2,2,26864178,念力,0126d242b9b3dae2223d546eb6c98bbf,05532fc1561afff3f4e053be4a505a9f,4.0,2018-04-16 23:03:22,"这篇影评可能有剧透 

                        因为《釜山行》看了《念力》，一看豆瓣评分有些傻眼。当时给《釜山行》打了四星，个人可以给《念力》三星半。 比起好莱坞的超级英雄电影，《念力》更“平易近人”，它给普通观众提供了一个假想命题：如果你有了超能力，你会干什么？ 是像好莱坞大片里的超级英雄那样拯救世界？...

                         ( 展开 )",35.0,10.0,3
3,3,26864178,念力,6c6de6c91822cd2df055e2c26b904952,21c2e59531c8710156d34a3c30ac81d5,4.0,2021-08-03 19:18:13,"平凡的银行警卫大叔申硕宪（柳承龙 饰），偶然间发现自己拥有一种可以控制身边物体的能力——念力。此时，十几年不见的女儿（沈恩京 饰）突然联系了他，原来乐观开朗的陋微已经成为了一个自力更生的炸鸡店小业主，但在一夜之间深陷危机。为此，硕宪决定打破原本寻常的生活，冲...

                         ( 展开 )",1.0,,0
4,4,26864178,念力,33c3a130191f938e231710dd28f159d6,c010854873d2affd9c768635f7cc8fb8,3.0,2021-05-30 10:48:22,"这篇影评可能有剧透 

                        主观评分：6.5分 剧情概述 讲述了一个突然获得念力这项超能力的废柴老爹，因为女儿开的炸鸡店被企业和政府联合强拆，挺身而出成为超人打倒强拆军队的故事。 评价感受 故事非常简单甚至俗套，但是一样会被打动。女儿受难的时候心被同样跟着提起来了，自己就被代入进父亲这个角色...

                         ( 展开 )",,,0
5,5,26864178,念力,a1fe6d685abaab8190f04612644efa59,e0b5e1a3e86a399112b9eb893daeacfd,,2021-03-12 10:27:43,"导演不会讲故事 之前的委屈到最后的释放都没有淋漓尽致 每次超能力的使用都像便秘一样难受 就像新手学开车 开了十年还在歪歪斜斜的让人难受 这部电影如果没有超能力这个噱头 估计没有人来看了 导演估计想克制的使用超能力这个梗 但是 看完 只剩一声叹息 导演不会讲故事 之前的...

                         ( 展开 )",,,0
6,6,26864178,念力,730d303c1466b440fb625ff42534d272,fc78e580fe149d434c91e4e3ebac97e3,5.0,2020-11-05 14:47:13,"这篇影评可能有剧透 

                        如果说你因为名字《念力》，而误以为这是一个科幻片来看的话，十有八九是会失望的离开的。并且还要发出评论，《釜山行》导演不过如此的感慨。 而其实其中内涵的意味值得去细细咀嚼。这就是我为什么起这个题目的原因，在我看来这不是喜剧片，不是亲情片。 男主人公是一个爱占小...

                         ( 展开 )",,,0
7,7,26864178,念力,6996cb18124ca3a349057f46caffb30f,f2205237ca32f0ee1f2ffb0d8891fc18,5.0,2020-08-13 13:47:49,"这篇影评可能有剧透 

                        人物们 申硕宪 ：男一号，银行保安大叔,独居，某天突然喝了口泉水获得超能力。 陋微:  女一号，男主的十多年不见得女儿，经营炸鸡店。 洪常务：开发商主管 故事就是.... 保安大叔觉醒超能力抗拒拆迁队却把自己送进牢里。 很不完美得几条线： 超能力线：突然得觉醒，群演们表现...

                         ( 展开 )",,,0
8,8,26864178,念力,e2926378b6a587397e061cd3fe1e1b54,bdda90f701021e904f323fa66bf47638,3.0,2020-04-09 01:35:41,"从开发公司女老板问男主选择题开始！ 男主从警察局飞下来，站在女老板面前说：“为了保护我女儿，我愿意选择与全世界为敌”。 然后排除万难一路飞去救他女儿，警察看到男主超乎常人的能力后全部用抢瞄准男主。 男主抱着昏迷的女儿缓慢飞走。强拆老板由于极度恐惧男主的能力，抢...

                         ( 展开 )",1.0,,1
9,9,26864178,念力,91d09cf12d87ae857e4bf25c9994dc06,1fccd10735ea3553c0ac471f2967a7a1,,2020-03-05 01:08:54,"这篇影评可能有剧透 

                        且说这个剧情简直烂的不行，里面的逻辑太差了，那拆迁公司这么牛，赔个钱不是小事嘛，闹得呜呜泱泱的，这么多事。 男主得到超能力之后，他的心路历程，心态的转变，完全看不到，就突然变成了一个好父亲，那咱也不懂为什么 套着一个科幻的外衣，一个超能力的外衣去写亲情，但是...

                         ( 展开 )",,,2
10,10,26864178,念力,05f6e47e3a011c0a322a049eafb59d1d,10a6754cbc90305a8ac12414db82c05c,5.0,2020-02-24 13:27:25,"先给个五星，虽然是耐着性子看完的。 之所以给五星，是因为很少看到这种可以把“传达导演理念”以及“商业化”整合的如此自然的电影。 一方面是迎合大众口味的屌丝得到超能力的故事，有得到能力后装逼的桥段，也有一定爽点，但代入感绝对很差，而这也同样是电影之所以评分稍低...

                         ( 展开 )",1.0,1.0,2
11,11,26864178,念力,3770b4d0ab26702c0592f4ce0224371a,100d9493e0b349f3494f47658ecf2b76,,2020-02-24 11:41:25,"电影格局太小了，另外剧情环境也不合理，强拆还能动用那么多防爆警察，平民悬空了还拿高压水枪对着冲？浪费时间的伪超能力电影，2星不能再多了，别跟我说小格局超能力电影也很赞，你问问你的良心，你是进来看温情父女情的吗？你是来看平民怎么对付强拆的包工头的吗？你是冲着念...

                         ( 展开 )",,,0
12,12,26864178,念力,7092b2ac61d2a89fffd79921f346a825,1c6da3c976fa88bda73f46b22d291fc3,1.0,2019-08-10 02:11:26,"不管怎么解释，都无法解释没什么一个在社会上混了几十年的老年大叔在获得超能力后，就像小孩子一样，感觉真不舒服，不建议观看。反派:不管是老板，还是幕后那女的，演的跟智障一样似的。要走煽情路线，你他么用一些无厘头的表演形式在瞎搞，还参超能力科幻元素，整的一个四不像...

                         ( 展开 )",1.0,,1
13,13,26864178,念力,644d38b6e4ddf34122533c220868cc9b,a91b1e5e6eb01213aaa5ee4982ddda86,5.0,2019-07-27 08:43:21,"我想知道豆瓣怎么看电影 只有想看和看过我我想知道豆瓣怎么看电影 只有想看和看过知道豆瓣怎么看电影 我想知道豆瓣怎么看电影 只有想看和看过只有我想知道豆瓣怎么看电影 只有想看和看过看和看我想知道豆瓣怎么看电影 只有想看和看过我想知道豆瓣怎么看电影 只有想看和看过 我...

                         ( 展开 )",,,0
14,14,26864178,念力,1b797fd8d618ce204c6e25759f2aedce,8603aaa88d8b8b134d906db254fadfcc,4.0,2019-05-25 23:37:34,"还是一部爽片，以亲情为主线的科幻电影，说实话没有过多的感情描述，但演员演技都比较细腻，是可以让观众感受到的。但说实话呀，就是来看这个念力这个主题的，特效说实话做的依然是非常好，特别是最后男主飞跃大厦的片段，不知道大家有没有想到绿巨人哈哈哈，本人看电影其实要...

                         ( 展开 )",1.0,,0
15,15,26864178,念力,8b9fb24144de2cd7bbabab9ecebc51ac,442af16951235009c06b2f20654efd42,4.0,2019-03-28 18:51:36,"这是一部披着奇幻父女亲情片“皮” 的社会矛盾片。而这个矛盾就是：个人利益和集体利益的冲突。 从影评后半段的剧情中可以看出，这个拆迁项目背后的势力非常强大，可以直接调动警力也说明肯定是政府高层的意思。我相信这个项目的目的也并非只是让少数几个人捞到油水，政府做这...

                         ( 展开 )",,1.0,1
16,16,26864178,念力,d28b1d6459e600f9bf5026a03df6d8e8,73ddc0e9196a9add23b097150ed9c11b,1.0,2018-12-14 15:37:14,"这篇影评可能有剧透 

                        ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！...

                         ( 展开 )",1.0,4.0,0
