,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26871938,灭绝,a5b3de10eceacaf960ce855bb16b58fe,b989e688f2bfc10fa67445b776b1a06f,3.0,2018-07-27 19:37:31,本篇含剧透，还没看的请绕道。     —————————————————————————————————————————— 这篇其实不算影评，单纯吐槽一下我觉得让我很不适的桥段。 外星入侵或超自然现象是我很喜欢的题材，比如近年的《降临》和《湮灭》，所以剧情方面我是可以稍微降低评价标准的。 但是我不希望被当个傻子一样去糊弄，那些三流恐怖片惯用的伎俩显得很低级和恶心，《林中小屋》已经吐槽过了，对，我要说的是“为了刻意营造紧张气氛而让影片人物去故意作死”。 随便举几个例子： 1、“外星人”已经准备破门而入了，妈妈还在为了安慰两个女儿，这个抱抱，那个抱抱，一堆废话，留老公在外面苦苦支撑…… 2、故意把猴子公仔遗忘在桌子底下，为了引出小女儿跑去捡而遭遇“外星人”，问题是大女儿本来抱着她，直接就撒手了。 3、“外星人”已经入侵本栋大楼，升降梯是唯一逃出去的选择，老婆们和孩子们还要在这关键时候争论坐这个冒险不冒险，yes or no。 4、轮到小女儿准备跑去下水道入口的时候，跑到一半突然停住了，在悬停的外星飞船前呆若木鸡，留着老爸老妈和观众干着急，最后当然是为了引出老爸差点被打到的紧张气氛。  看到这里，这部我本满怀期待的片子瞬间减分50%，其实类似桥段嫁接到小女儿身上一两次就可以了，毕竟年纪小，容易害怕，可以理解编剧和导演的剧情安排。但是反复这么搞真的很影响观影体验，紧张气氛、无助感、亲情可以通过别的方式营造，为了达到某种效果而故意安排人物去拖时间和作死，就显得很不合常理及愚蠢。 影片总体质量和节奏还是可圈可点的，最喜欢的就是开篇氛围的营造，中期翻转意料之外也情理之中，但是当悬念揭开加之平淡的情节铺陈，结尾就显得略微索然无味了，毕竟同质化作品太多。 6.5分，扣分项除了上面吐槽的内容，还有特效、好几处剧情硬伤等。 最后恭喜常年出演谐星的佩纳出演男主角，表现还不错。,82.0,9.0,49
1,1,26871938,灭绝,70219779bfdf0d95e541995cd9109ff8,ed7551736e9710491af4ea59e9c657de,3.0,2018-08-05 15:38:49,人造人50年前将人类赶到了火星，他们抹去记忆，心安理得，重获精神自由。于是，当人类反攻地球的时候，变成了“外星人”入侵，还有“不知历史因而不关我事”的人类帮助人造人……     哈哈哈……这些设定有意思极了！     想想，世界其实就是记忆的世界，万事万物活的不就是个记忆吗？给狗注入猫的记忆，它会活成一只猫。     记忆改写，孩子可以重新选择父母而遗忘失去亲人的痛苦，简直就是数典忘祖；没有历史记忆的人可以毫不纠结地背叛人类，简直就是灭族灭宗（可见牢记历史多么重要）；删除记忆，人造人可以没有罪恶和负疚感，造反造得正义凛然……他们以为自己是人类，这就是他们的记忆，就像人类常常忘记自己是人类，扮演上帝或者外星人，不都是记忆惹的祸吗？     说白了，记忆是生命，是一切，疯子因为记忆而活成疯子，精神病因为记忆而活成精神病，网游迷恋者以为自己长着翅膀而飞身坠楼，不也是记忆主导行为吗？     马尔克斯说得好：“不是活过的日子，而是记住的日子，构成生命。”,80.0,2.0,6
2,2,26871938,灭绝,2fd91f4efdb29126c1c3988ad6f01350,be9c7c2492dbe522e40f4a712928f4d4,4.0,2018-07-28 07:32:27,"剧本在2013年被选为Black List年度最佳未制作电影剧本之一，有意思的是虽然入选票数不高，但是在同一排名下我还看到了Bradley Cooper买下的美国狙击手。也算是一个比较有意思的发现。 另外，不需要给Netflix多少credit /critics，这部电影是Universal拍好了不想要的，Netflix只是买下来加个Netflix Original的噱头给自己加个戏罢了。电影本来预计今年春季上映，不过不知道为什么被universal取消了。本来看到是个小成本制作，导演编剧也是名不见经传，暗中惋惜一下下Michael Pena和Lizzy Caplan。 看完电影后总体感受是Michael还是一如既往的配角大师啊，男一号让他活生生演成了存在感低到尘埃里的路人甲。虽说剧情所致，男主角就应该是一个木木噔噔的工程师，而且真相大白的时候也让人觉得木讷的人设合情合理，但是电影前半段被邻居抢戏抢到我一度以为他要酱油了，也是让我有点哭笑不得。 只能说因为剧本的原因，使得角色没有什么可以发挥的地方，所有人的演技都是中规中矩吧。有的时候看到他们傻愣愣地站在房间里或是坐在毫无掩护的桌子下面，连躲都躲的那么业余，在游戏世界里身经百战的我控制不住地一直在出戏……而且电影里的人物关系太过薄弱，仅仅靠人设身份串联到一起的关系在一些危机时刻还需要用语言和对话制造冲突，很多无关紧要的镜头因为推动剧情的原因而不得不添加进去，导致危机初始部分的节奏非常拖沓。导演的水平在这里可以看到有很明显的不足，掌控力不够所以需要更多的镜头去讲述这个故事，但是同时因为这个原因其他场景会在对比下显得更加薄弱，给人一种讲故事讲不到重点的感觉。同样是（在初期）没有展现过多人物情感的 人工智能 Artificial Intelligence: AI 由斯皮尔伯格拍出来就能感受到明显的不同。其他一些有相似背景设置的电影比如 我，机器人 I, Robot ，机器管家 Bicentennial Man 则是由非常有魅力，表演非常有张力的演员演出，会在很大程度上弥补剧本上的不足给电影表现力带来的负面影响。 噩梦和闪回的片段非常的碎片化，不过好在出现的频率够高，主要场景在记忆浮现后都一一对扣了，也很好地解释了为什么有些场景为什么在飞船降落后并没有发生。这一点主要和电影预告片结合的很好，预告片给了一个暗示，给人一种电影是个外星人入侵主角因为“预知”的能力开始反杀拯救家庭和全人类的大片既视感。而随着电影进程的发展，观众也会意识到自己被预告片骗了，但是主角和敌人身份的180度转换也足够让人保持足够的注意力到影片结束。 剧本描述的故事背景很棒，而且利用一个家庭的视角展示生化人和人类的矛盾，也隐喻了当今世界的种族、国家之间的各种冲突，以小看大，同时还带了那么一丢丢反战的意思（虽然最后看样子并不是）。后半段了解了整个故事的前因后果之后我就一直在想这不是暗搓搓吐槽各种侵略战争吗，两个种族即使在当时有过多么不可调和的矛盾，在50年之后对曾经侵略者发动的反侵略还是一样违背人性的。不管是遭受灭顶之灾的生化人家庭，还是前线的士兵，一边发现他们从受害者摇身一变成为了被正义讨伐的对象，另一边发现他们所谓的复仇、夺回土地一样是要建立在另一方的鲜血之上，尤其是隔了这么久，父辈的仇恨由后辈去承担，都是蛮具有讽刺意味的。",42.0,4.0,11
3,3,26871938,灭绝,d6d4d7b13626fa7c1f6b5ea25d4081b9,c5fd94950c06088e2163a923ba8c1535,3.0,2018-08-09 10:54:39,科学发展的极限是什么？外星人是否会入侵地球？带着疑问，今天来讲一部关于外星人的影片——《灭绝2018》。 蓝领大柱最近总做一个奇怪的梦，外星人、入侵、战争、杀戮。噩梦导致他睡眠紊乱、精神疲惫，对生活厌倦、迷茫，妻子、女儿、家庭、生活，每天这么忙碌的最终目的是什么？好不烦恼。 妻子小翠建议开个派对，劝大柱最近多关心下两个女儿，大柱猛然发觉，他已经好几周都没和女儿正经说几句话了，关系明显疏远。 工作中大柱因为手抖，导致小失误，领导大卫见大柱精神恍惚，建议他去终身精神健康中心看一下，大柱不置可否。     回家路上大柱又看到天上有闪光体在移动，但路人都毫不理会大柱的发问。疑惑沮丧时，大柱见到商店卖天文望远镜，索性作为女儿的派对礼物买了一个。到家已很晚，大柱要把礼物送给女儿，但女儿抱怨的跑开了。 妻子也不满大柱回来这么晚，告诉他第二天就是派对，一定早点回来。 晚上大柱又噩梦不断。 下班早大柱去了健康中心，等候区一个男人不停的说胡话，说的竟然和大柱做的梦一样，大柱疑惑又害怕，病都没看就回家了。 晚上派对如期进行，小翠招待客人，大柱因心情不好，在阳台看望远镜。不一会派对结束，邻居莱昂来到阳台问大柱是否送下最后一批客人。正交谈，忽然远处天空闪光不断，好像有飞船朝城市飞来，越来越近。 人们正想看个究竟时，外星飞船突然开火，向大楼及人群发动袭击。 枪炮齐鸣，大柱急忙寻找妻子和女儿，紧急避险。 大柱让两个女儿藏好，他和妻子用家具把门顶住。但好像外星人发现了他们，不断撞门，大柱誓死撑着，外星人直接朝门射击，子弹乱飞，万幸没击中他们。 回头看女儿，夫妻发现小女儿丢了，急忙寻找。却发现一个外星人正把手伸向桌子底下瑟瑟发抖的小女儿。大柱上去按倒外星人，打斗中，妻子用球棒砸晕外星人，一家人暂时脱险。 外边杀戮横行，大柱回想起梦中的避难所，决定带家人去那里避险。逃至楼顶正好遇到莱昂一家，两家人躲过搜索，试图乘坐升降机逃生，但机器出故障，于是又折返室内。正商量逃难路线时，一颗炸弹突然飞入，莱昂当场被炸飞，邻居女儿和妻子悲痛呼嚎，暴露目标瞬间被乱枪打死。 大柱带领家人拼命奔逃，总算躲过一劫。 大柱告诉妻子梦里有一个地下堡垒，只有到那才能幸存。小翠说有个下水道通向那。   街上杀人如麻，夫妻二人冒险找到下水道入口，但小女儿的迟缓暴露了目标，刚进入下水道，轰炸紧随而至，小翠不幸中弹。 就在查看小翠伤势时，被击昏的外星人又突然出现，猛袭大柱，大柱奋起搏杀，几下就将外星人击倒，他不断把外星人的头往墙上撞，头盔撞碎才制服外星人。大柱拿枪抵着外星人，逼他脱下头盔，竟发现外星人是跟自己一模一样的人类。 大柱强迫外星人抱起小翠，顺利撤退到目的地——地下堡垒。 堡垒中已经聚集很多人，大柱还看到了公司领导大卫。 人们给小翠急救，却用电枪直接电击伤口，惊的大柱大声喝止。   大卫告诉大家只要撤退成功就制定反攻计划。大柱因为脑子里只有妻子，听得一头雾水。此时外星人发现地下堡垒，开始从地面攻击，大卫命令人们向地铁撤退，同时要处决大柱抓到的外星人。外星人大喊说自己可以救小翠，大柱救下外星人，在把女儿交给大卫后，拿枪看着外星人救妻子。外星人割开小翠的伤口，告诉了大柱真相。原来大柱、小翠以及现在的地球人类都是人工智能机器人，当年和人类发生战争时，机器人打败了人类，所有人类都已撤退到火星上，今天时机成熟反攻地球就是要夺回家园，人类已经离开地球50年了。    大柱恍然大悟，这一切正符合梦境：外星人、入侵、战争、杀戮。 外星人叫迈克斯，他通过大柱身上的电源成功救活小翠。此时其他外星人攻进地下堡垒，迈克斯被大柱的举动感动，因为眼前一切跟他父辈听讲的情况完全不同（人工智能也很善良），因此他掩护并释放了大柱夫妇。 这边外星人蜂拥而入，人工智能人类已经全部撤退到列车上，大柱和小翠最后上车，车尾的大炮击退了外星人的追击。 急速行驶的列车上，大卫告诉人们，人类总是自认为比其他生物优越，毫无征兆的就屠杀我们，结果上次被反杀失去了家园。人工智能占领地球，为了忘记仇恨，终身精神健康中心选择删除了仇恨记忆，而只有大卫等少数人还保留全部记忆，以提防人类反攻。人工智能模仿并继承人类遗迹，逐步进化有了人类思想和感情，满以为会幸福生活下去，但因人类无法删除仇恨记忆，所以今天反攻地球。但人工智能早晚还会再反攻回来。      窗外，朝阳笼罩着冒着战火的城市，列车快速消失在大山里，大柱终于明白了自己是谁，谁才是入侵者。,23.0,5.0,14
4,4,26871938,灭绝,6c1fad8900779d29a610c717f3230019,8da8b6a6d3821e51930c7e1804162cdb,,2020-02-20 08:20:30,科幻电影一般要以科幻设定为基础，科幻设定也就是故事展开的科幻背景及主要看点，如果这个不行，电影也就基本算是失败了。影片一开始，男主角频繁做噩梦，梦里好像是外星人入侵地球，故事一直在一个社区内打转，格局很小，给人感觉好像很一般的科幻题材，无非是外星人入侵，男主角全家如何战胜外星人或逃出生天。等到外星人出现了，那造型简直就是穿了修身潜水服的蛙人，惨不忍睹，更不可思议的是外星人的能力还不如进屋抢粮食的日本鬼子，枪被抢了不说还被女主角几棍打晕，就这水平还入侵地球呢，加上熊孩子哭闹吵得人头疼，耐心不好的可能已经弃片了。但是，当外星人头盔拿走，露出庐山真面目时……慢着，这是咋回事？紧接着，剧情一下子360度大反转了，哎吗，原来是这么回事，有点意思哦！再回想男主角此前的梦境，完全能对得上这时候的情节走向，这种强烈的意外感为这部电影加了分。全片看完，才能得出完整和客观的结论，从特效看是个小成本制作，极个别情节没有完全交待清楚，但影片的科幻设定有可取之处，内容有思考深度。,4.0,,1
5,5,26871938,灭绝,0de499ca46987aabe3df1a21457ab0b9,2c6a5fbef429d1ec9f7458fa3eea8739,4.0,2020-05-26 22:17:54,"为啥这么低分，我觉得还不错呀。一开始看不就是人类抵制外星人👽侵略吗，有啥好看的。然后就是我擦外星人这么辣鸡，人类都打不过还来。再然后本来的外星人其实是人类，本来的人类是人工智能，哈我看懂了。再再后来觉得机器人好善良体贴妻子，关心孩子，讲礼貌，为啥要杀他们，动感情了啊啊啊。最后男主想起自己是谁了，男主给他老婆充满了电，人工智能的小火车后面还装了这么大一个多管加农炮，杀了这么多人类。。。。。人类入侵地球入侵的好，就是下次不要亲自来了，飞在空中往下堆炸弹就好了。
人有感情是正常，机器有感情是怪物，而人类觉得遗忘是一件非常奢侈的事情时，机器却可以选择性遗忘，人类死了以后不能复活，但机器却可以充好电变得生龙活虎。我承认人类没有机器那么体贴与完美，但找到我们的不同，发现我们的缺点这才是我们存在的意义！！",5.0,,0
6,6,26871938,灭绝,2c77e503029822fbc9fed13b1bdc2774,eedfcb3776010769a52b0ccb31e14a8e,3.0,2020-09-30 12:01:50,2018美国科幻片《灭绝》，豆瓣评分5.6，于2020年1月18日引进国内上映，于2020年8月1日在国内复映。 当不抱希望时，往往反倒会有些惊喜。本片就是如此，名不见经传，NETFLIX网飞出品，没有明星，豆瓣评分仅5.6，完全不抱什么希望，结果发现剧情竟然有创新。 影片的大部分剧情很像《科洛弗档案》，一群小人物遭遇外星人入侵，没有惊喜的老套剧情，CG特效平平，正打算坚持看完时，剧情出现反转，一直以来是人类反抗外敌，如今却成了再造人占领地球，移居火星的人类重返地球夺回家园，肆意屠杀的外星人没想到竟然是背井离乡的地球人。这一反转让我想到了《月球》。满天的入侵飞船让我想到了《世界之战》《洛杉矶之战》。人类身穿盔甲、小臂有投影的造型让我想到了《铁血战士》。 本片号称由《降临》的编剧打造，剧情确实有新意，不过除了剧情以外其他地方都很平平，属于小成本科幻片，没有大明星，没有大场面，没有强特效。事实上，小成本电影，就一定要在剧情上下功夫，以小博大。 影片中人类穿的盔甲太恶心，乱糟糟，粗制滥造，像铁血战士，不像能够定居火星、重返地球的高科技人类。人类的枪道具感十足，道具师太不认真，有一幕角色单手轻松持枪，毫无重量感，一看就是模型。,2.0,,0
7,7,26871938,灭绝,5f3e67a98e33fea7b454ddea618f154d,45847e9daf6bcee01523f01444e9b203,,2020-05-14 21:05:52,"《降临》一书原先我是很期待的，我曾经一个很看好的学生她非常喜欢这个科幻小说，然后还专门给我送了一本。
一直还没有读。
本作《灭绝》即是《降临》作者的编剧之作。
怎么说呢，《降临》原先我也很关注，但没有想到豆瓣评价这么低，我这两天下午在家偶得休闲闲来无事便翻出了这部片子。
我大致看了一下，很多豆友对《降临》低评的一个重点是它在剧情的逻辑上存在一些漏洞，但是也可能是因为我个人看科幻题材的作品不多的原因，我觉得《降临》并没有那么差。
所谓科幻者，大多作品故事发生时间背景放在了未来人类社会，这部片子也没有例外，那么故事矛盾的双方是人类与人造物（提起人造人这个词，我首先想到的还是儿时看过的日本漫画《龙珠》里的人物）。
人类发明人造物，人造物拥有了思维能力与情感，也就是说同时具有了理性和感性，具备了理性不难以想象——毕竟当代很多算术机器人之类理性程度很高了，但是感性这一点，的确有很大发挥的空间。
当然，瑕疵也还是比较明显——机器人的未来会怎么样？人类和机器人在前史中一定要发生殊死搏斗才可以么？",1.0,1.0,0
8,8,26871938,灭绝,6ea57bde621f4ec868218d953a1ac3b8,446d1608280972a016a602266369df1c,3.0,2018-07-31 09:42:40,耐特福利科斯，拍的电影精品少了一些，但是各种脑洞倒是不少。 这部就是属于这种。 今年这种题材的东西挺多，还记得《芝加哥：变人》么？ 这就是悲剧版或者说后传版本的芝加哥…变人… 平时做清洁工和家政的最底层工人-Ai人，受不了压迫，也因为羡慕中产阶级的生活，暴动了… 因为与人类无法妥协，就利用自己的优势，击败了人类。残存的人类逃到了火星…猥琐发育… 主角等一部分想过日子的机器人主动洗脑，以为自己是人类…实现了打土豪分田地的阶级跃迁，过上了中产阶级的日子… 五十年过去了…人类的反攻开始了… AI智能人这边因为是底层出来的，所以对科技没有什么要求，而且看上去创造力也是弱的一逼，没见过高层的享受，所以不知道，只会复制中产阶级的生活去享受，五十年不思进取，每天醉生梦死，什么科技都没发展…人类一方说实在的也没有什么特给力的新科技…但是，导演就是让人类能生且战斗力变强点… 然后就出现了，天降白人小哥们打的拉丁裔智能人到处跑… 我觉得这个片子不正啊。 劳动人民什么时候这么弱？劳动人民，劳动智能机器人就不会发展经济了？这是对无产阶级的污蔑啊！ 换电池的技术都要天降帅哥来解决… 这智能人到底是怎么存在的？ 那俩小孩50年都在上小学，不觉得像柯南吗？ 反正智能人被赶出城市。居然又妄想着跟人类共存了… 弱者叫喊的和平能拿到吗？ 智能人就有一点好。洗脑特别容易…只要需要家政机器人，而他们就会回到城市里的…继续被剥削…,12.0,1.0,8
9,9,26871938,灭绝,18080085620c23610595a6a623bbdecc,14c81b510c3099c34b4db8b1c4a2efb2,,2021-07-08 01:14:42,首先电影的制作确实过于粗糙，毕竟是小成本电影，主要卖的是新角度科幻题材。所以，我也觉得不必过于在意剧情上的逻辑细节，至少于我而言本片从某个些角度还是触动到了我，并引发了我的思考：         我首先想到的是如何界定“人类”或者“人性”的含义，如果人工智能发展真的突破奇点，而有生产出的具有智慧、甚至人性的机器人出来，人类应该如何对待他们，他们仅仅是普普通通的电脑、工具，还是说他们已经在我们的帮助下进化为“人”。当你为了节约电费准备关掉机器人的电源时，她（小女孩）哭着对你说她不想死，不想就这样被关掉，你该怎么办？想到这儿，我又不禁回顾在玩《底特律变人》时，站在具有智慧和人性的生化人立场，面对人类的对自己的“创造之恩”、爱与憎恨，辱骂和暴力行为，他们又该怎么办？这些问题真的让人很难思考清楚，对此我真的觉得人类科技的发展迫切需要人类在道德和哲学层面的同步成长，否则就会制造混乱和矛盾。如同一个自己都没在思想上成熟的大孩子突然意外有了小孩，他们都不知道如何去教育和培养小孩，在孩子出生后却对小孩产生嫌弃和憎恶，这样只会造成自己与孩子之间的矛盾，酿成悲剧；或者又如同光练少林七十二绝技，却不研读佛法的僧人，无法达到武功修为与道德修为的平衡和统一，很可能走火入魔、杀戮成性。       另一方面，这部电影也引发了对种族歧视的反思，也就是说人类连对待自己的有机同类之间的都没有真正调整好心态，更不要说对自己新创造出的无机物种族了……人类真的很奇怪，一方面可以对稍微通点人性的动物展露出关爱之心，另一方面却可以对自己同是人类的其他种族十分暴力和残忍（我想到的是印尼屠华、白人杀黑）。既有自私、贪婪的一面，又可以无比善良和高尚…人类科技发展迅速、日新月异，已经即将步入宇宙时代，开始对其他星系的探索。但也许我们目前更需要探索自己的内心世界，搞清楚我们到底是谁，是什么样的家伙才更为重要。因为似乎作为人类，我们好像对自身的思考还不够，没有搞清楚我们人性的边际到底在哪儿和如何守住这个边界。因为一不小心越过去那就有可能做出杀妻弑父等禽兽不如之事而走上万劫不复的灭绝之路！,,,0
