,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26905717,人类清除计划4,8211f597fe6fe4922552ee3a01c59eed,363c82f3db54c99aaaa1281d1b277c5d,4.0,2018-10-01 22:07:16,"没想到，《复联4》还没上映呢，我就先看到了《黑豹2》！ 哦不，确切的说，是黑豹外传之《人类清除计划4》。 众所周知，DC经常搞闪点悖论、平行宇宙之类的设定。在平行宇宙里，好人往往变成了坏人，坏人变成了好人。 比如超人、蝙蝠侠等角色就在""地球3""组成了邪恶的""犯罪辛迪加""，莱克斯·卢瑟和小丑则变成了与之对抗的超级英雄。  其实《人类清除计划》系列就是漫威的平行宇宙。 在这个宇宙中，九头蛇残党成立了一个新的组织——NFFA（美国新开国元勋）。 洛基的外星大军被打退后，NFFA在混乱中控制了政府，他们的首领是川建国同志，其竞选口号为：""Make America Great Again。""  为了缓解经济危机，NFFA开创了臭名昭著的""人类清除计划""：每年选定一个晚上为""大清洗之夜""，允许任何犯罪行为，让人们发泄戾气，政府同时在暗地里清除低端人口。 在系列前两部中，九头蛇特工""交叉骨""就在这个宇宙中变成了正派人物，他是反抗组织的一员，致力于推翻NFFA的邪恶政权。  不过《人类清除计划4》的时间线要早一些，讲述的是第一次""大清洗之夜""发生的故事，主人公也变成了漫威的另一个角色：黑豹。 因为档期原因，查德维克·博斯曼没能回归本片的拍摄，不过剧组找到了另一位黑人演员伊兰·诺尔出演。无论是健硕的身材、说话的腔调，还是走路的姿势，他都与前者VAN♂全一致，尤其是那一口大白牙。 这个笑容充满自♂由的气息 在这个宇宙中，黑豹陛下被他的表弟金钱豹夺走王位后，带领残余手下流亡到美国纽约的斯塔恩岛。他们表面上以黑人帮派的身份做掩护，实际是为推翻金钱豹的统治积蓄力量。 这个黑豹同样有一个不省心的前女友，两个人的政治理念存在巨大分歧，而且还多了一个更不省心的小舅子。  NFFA上台后，第一次""大清洗之夜""的试验点被选在了斯塔恩岛，表面上是NFFA觉得这里是黑人区，便于清理低端人口，其实是九头蛇得知瓦坎达的难民藏匿在这个岛上，于是想借助""大清洗之夜""除掉残余的瓦坎达正义势力。 为了躲避大清洗，有一名手下建议黑豹带领组织离开斯坦恩岛，黑豹否决了这个提议，给出的理由是：""货物和资金不方便转移。"" 其实这里的""货物""是个暗号，指的是藏匿在街区的心形药草种植园。他们逃离瓦坎达的时候带走了少量心形药草，其余的都被金钱豹一把火烧光，因此剩下的这些药草，成为了阻止金钱豹的关键。  一阵熟悉的警报声之后，""大清洗之夜""正式开始。 NFFA知道黑豹不好对付，因此除了派出九头蛇雇佣兵挨家挨户的清洗之外，还使用了他们的秘密武器——""骷髅头""。 似李！黑化版""猎鹰""！  原来NFFA（九头蛇）得到了洛基的权杖，并且用心灵宝石的力量控制了""猎鹰""，将其改造成了九头蛇特工""骷髅头""。 于是黑化后的猎鹰，开始了对黑豹等瓦坎达难民的追杀。 面对九头蛇的进攻，黑豹陛下不甘示弱，他和手下们拿起了武器，决定用自己的力量保卫这个社区，Wakanda Forever！！！  可惜九头蛇实在太狡猾了，居然用无人机干掉了黑豹陛下的所有护卫，黑豹陛下一定很后悔没有给大家配备振金盾牌。 看看NFFA，再看看灭霸，明明是征服宇宙的军队了，居然连像样的空中火力都没有！  得知黑豹等人的困境，其余复联成员并没有坐视不管，奇异博士就派出了他的助手王前来支援。  可是王最近身体发福缺乏锻炼，不仅没帮上忙，还被九头蛇雇佣兵打伤。  面对倒下的战友们，黑豹陛下体内的""黑豹之力""开始觉醒。为了拯救被围困的前女友和小舅子，他只身一人冲进敌阵，大杀四方。 砰砰砰......哒哒哒......爆炸、爆炸、爆炸......啊~~~ 黑豹陛下先给大楼断了电，然后利用夜色逐个击败敌人。 夜色中，根本看不到黑豹陛下出手，能看到的只有一个迅捷的黑色身影↓  就当黑豹打算与白人反派展开最后对决时，黑化猎鹰突然冲了出来，原来他已失去控制，不分敌友，见人就杀。 趁着黑化猎鹰与敌人自相残杀时，黑豹陛下引爆了一枚炸弹，炸死了黑化猎鹰和其余的九头蛇雇佣兵。 当黑豹陛下与前女友、小舅子、其他瓦坎达幸存者们爬出废墟后，熟悉的警报声再次响起，""大清洗之夜""终于过去了。  瓦坎达幸存者们走出大楼，前女友问：""现在怎么办？"" 黑豹陛下回答：""现在，我们接着战斗！""（目光坚毅，注视远方，暗示有续集） 更让我感到敬佩的是，刚经历过一个血腥恐怖的夜晚，幸存的瓦坎达难民们，走出家门的第一件事居然是......打篮球？？？  不愧是彪悍的瓦坎达人民，心真大......  本文为《暴走看啥片儿》特约稿件，作者大海里的针。如需授权、转载请联系qichangxiong@baozou.com",63.0,6.0,14
1,1,26905717,人类清除计划4,5430ab72d3ec93b63cbde1351a95536b,a1c31590650a95e0c783a28bfde9e8ad,2.0,2018-10-16 12:07:31,人类清洗计划系列电影我从第一部追到第四部了，前三部作品都是讲法定无罪日已经推广以后的事情，这一部则是讲第一次实验。 第一次看的时候被电影设定吸引了，如果纯从经济学角度考虑，法定无罪日确实是一个值得探讨的假设，控制人口数量，消灭贫困人口，能直接打击政敌，还可以发泄不满，降低社会的犯罪率，等等。 在这样的背景世界观下，我觉得可以发展的余地真的很大，探讨贫困人口的人权问题，探讨打着正义旗号的邪恶行为，探讨解决社会问题是用温和手段，还是简单粗暴。然而电影给我的只是一个单纯的惊悚片，或者说动作片，毫无思想探索。 好吧，那不谈思想，就谈惊悚和动作吧，开场的骷髅人，扭曲的表情，疯狂的思想，并且一路追杀弟弟，可以说是惊悚担当了，结果毫无头脑冲进雇佣兵阵型里直接被秒杀，还以为这个角色会有挺多戏份，死的是如此突然。 再说黑老大，贩卖毒品的黑社会老大和热爱和平的人道主义妹子是一对，这种剧情可以说非常俗套了。明明自己靠卖毒品为生，却说绝对不会让妹子的弟弟贩毒，满脸黑人问号。然后又是展示了一路超人的身体素质，先是躲过政府的无人机，再是以一敌百击杀无数身经百战的雇佣兵，这样的剧情可以说是很离谱了。 片尾打倒了政府的走狗后，负伤的黑老大被人搀扶走上街头接受街区市民的掌声，这些居民这么快就明白了那些雇佣兵是政府的走狗？那么快就知道了黑老大以一己之力保护了街区？一个靠卖毒品走私枪支弹药的黑社会莫名其妙成了一个英雄，可能编剧故意制造的讽刺，但是在我看来实在太烂太俗，只能给两分了。,3.0,2.0,0
2,2,26905717,人类清除计划4,763bdf2d7ada5c8f02425b699fbd6d34,f87567f2159b425795ebb7ba9bc406ec,2.0,2020-09-05 10:20:24,《國定殺戮日》系列是環球電影公司旗下一隻大金蛋，每集以二千萬不到的成本斬獲全球超過一億票房，即使故事情節長期遭詬病，口碑一般，電影公司亦沒有理由貿然放棄系列，更何況市場上同類型高概念恐怖電影早已消失，例如《死神來了》(Final Destination)、《奪命狂呼》(Scream)等等，《國定殺戮日》可能是市場上僅剩的獨苗。 眨眼間《國定殺戮日》系列來到第四集，大城市中小市民如何自救的戲碼已多次重複，若然再照辦煮碗，固步自封恐怕會流失觀眾，今集嘗試回溯到殺戮日最初期，探究政府為何提出這個奇怪的實驗，解答觀眾好奇已久的問題。 其實早於第二集已經暗示政府藉由計劃清除低階級人口，今集將概念發揚光大，起初政府將殺戮日定性為「社會實驗」，希望透過12個小時將小島市民嘅壓力、陰暗面一口氣釋放，企圖將犯罪率降低至1%以下，包裝向來是政府擅長的玩意，命其名曰一場人性考驗，實質從政府安排係貧窮人口密集的偏遠地區進行，司馬昭之心路人皆知，富貴人家不但擁有健全嘅保安系統，更可以大灑金錢聘請更多守衛保護自身安全。 那麼貧窮人家呢？為何每一集的主角大多是貧窮人口？而富貴人家以及手執政權的政棍是個觀察者，高高在上地視察民間疾苦，眼看小市民猶如喪屍檢獲鮮美的人類，紛紛爭個你死我活，更不惜唇齒相依，卻未曾想到這群「觀察者」才是小市民應該共同對抗嘅對象。 殺戮日的確可以消除人口，從而減輕政府長遠的醫療負擔，但小島面對砲火槍彈，一大堆身受重傷的民眾，重朔社區成本開出天價、短期龐大的醫療壓力，單憑殺戮日能夠彌補嗎？更何況昨日笑臉迎人的鄰居，殺戮日化身用槍壓頭的壞蛋，街坊鄰里的感情該如何重朔？若然發現鄰居於殺戮日大開殺戒，在其餘364日應該如何對待他？但千萬要小心，否則鄰居下一個殺戮日的頭號目標可能就是你…… 民眾對實驗嗤之以鼻，實驗期間更在街道大搞「殺戮日派對」。口裡說不，心裡卻很誠實，政府一早預料到觸礁，不惜於計劃前細心安排煽動貧窮人口的有利條件 ── 金錢，留在島上就有五千大元，參加殺戮更能獲得更多「補償」，當然如果窮人本就打算殺害仇人，此筆金錢更能合理化他們的所作所為，12小時賺取優渥獎賞，仇人自從從眼皮子下直勾勾消失，面對如此誘惑，貧窮人需要在道德底線同生活需要之間考量，你會如何選擇？ 為求收回成效，政府更重金禮聘僱傭兵遠赴美國廝殺，有趣的是僱傭兵收到政府需要清洗的樓宇名單，明刀明槍打算殺滅窮人，正常政府清除貧困人口嘅方式是提供就業機會，電影中口蜜腹劍嘅政府不惜繞道直接消滅他們，似乎有暗示成分？ 今集電影表面上側重更多殺戮日的背景，然而故事早半段早已披露這個乏味嘅秘密，沒有將懸念鋪墊到最後才揭盅，故事劇情無非是室內市民嘅家園被毀，被逼離開，或者是室外民眾必須找到棲息地，對比續集出現過地下鐵出口廝殺情境，反映生活情境的場面才能刺激觀眾嘅恐懼感，今集場景只有室內房屋以及室外大街，新鮮感為零，寓意救贖、無災害的教堂卻沒有加以利用，認真失望。 情節偶有驚喜，最後市民被困於大樓內，雇傭兵猶如《突擊死亡塔》逐層血洗，市民善用自己熟悉空間的長處以及稀少的資源反抗，兩派角力建構出本集最出色嘅時刻。另外某個角色以對白「輕鬆」帶過值得細寫的情節 ── 逃難時折返取回哮喘藥，可以由此引出醫院情節，殺戮日時醫院垂危嘅病人會否被殺害？如果當中有犯案纍纍的殺人犯，有沒有角色會加以報復？即使拋開醫院不談，若然在回家路上突然哮喘病發？為拯救朋友，死黨被迫穿越槍林彈雨嘅街道，與時間競賽？ 故事細節方面，今集完全擯棄對人性嘅深入摸索，系列先後出現眼見陌生人陷入困境而見義勇為的角色、報復因法律漏洞而逃出生天的罪犯、殺害反對總統候任人選的地下判官等，鮮明立體的角色反映人性嘅不同維度，究竟有幾多的仇恨才能殺害一個人？然而今集的人物性格扁平單一，乏味無趣，唯有「反人類、反社會」的骷髏哥值得關注，無差別殺人，敬拜總統猶如偶像，骷髏哥成功將市民陷入恐慌，在計劃中可謂名留青史。 值得留意的是，環球公司似乎有意複製《訪·嚇》(Get Out)的成功，今集《國定殺戮日》以全黑人陣容暗示政府實驗針對有色人種，是個安全而不令人反感的「政治正確」。 《國定殺戮日：屠亡前傳》道破不方便的真相，政府為了走捷徑清除貧困人口，從而弄出這個人性實驗，透過甜美包裝成功轉移民眾目標，把槍火對準自己的仇人，殊不知螳螂捕蟬，黃雀在後。 本片可於Netflix上觀看。 評分：4.5/10 觀看日期：04/09/2020 類型：#反烏托邦、#恐怖、#動作,4.0,,0
3,3,26905717,人类清除计划4,5f8f9f97827b715f2ab66de347970904,2b42b1d539d58c0dde5525a56dd0c26b,4.0,2018-10-29 07:49:21,看这部电影的初衷就是为了看杀戮，我很喜欢这部电影的第二部，第一部的格局太小，杀戮不过瘾，但是第二部就不一样了，很喜欢这种刺激感，所以追看了第三部、和这第四部。 但是第四部完全是另外一个事情了，这个真没想到，看之前先是看了豆瓣的评论才看的，毕竟这种类型的电影不存在剧透的问题，只是爽一把。只是没想到很多豆瓣网友和我一样只是来看一个爽剧的，因此口碑不是太好。 而剧创人员也没辜负我这样看爽剧的期望，所以到后来还是美国英雄电影的套路，孤狼以一人之力灭杀所有反派，的确很是操蛋…… 真要看明白这部电影，得要先明白几个道理—— 首先，没有人、没有一个正常的人在正常的环境下会产生反社会的性格，有这种性格的人不是抑郁症就是精神病，要么就是二战前日本德国这样的极端主义盛行的国家下才会产生这样的性格，而现在这样法律大环境下，除了变态，哪怕是黑帮都不会“大肆”的乱杀无辜，本片中那个男主的胖子手下也只是想着杀了自己的老大，而在开始时的抢劫中更多的只是用恐吓的手段来达到自己的目的，全片中只有那个“骷髅”，嗑药嗑大了，早已变态了，才做了乱杀无辜的事情，其他的都是政府雇佣军干的。而其他的，比如两个老太太的玩具娃娃的恶作剧、比如下水道里的变态，只是为了摸一把而已、比如姐弟俩在街头上被人拿枪指着，最后却发现是水枪！这不是说这些人傻逼，而是他们真的做不出来这样的事情，更多的就和女主的弟弟一样，说的狠，但真的拿枪指着别人的头，第一次开枪时会先把自己吓死（当然，街头巷战时就有胆了 ，毕竟这个时候可以给自己开脱，说自己不是要杀谁，只是他碰到了自己的子弹）。因此本片和前三部最大的不同是，没有杀戮的快感，只有被屠杀的痛苦。 其次，雇佣军虽然经验丰富，但是在美国这样一个枪支遍地的国家，黑帮，尤其是有势力的黑帮，街头混战的能力不见得比雇佣军差，这就好比是冷兵器时代，江湖高手在战阵上面对普通小兵也是无可奈何的被杀，但是在街头上一对一的情况下，或者说少数人的对阵情况下，个人能力远超士兵。如果是战场上，这些雇佣兵可以秒杀这些黑帮，但是这样的街头巷战下，就不好说了，美军在伊拉克的几次巷战都很说明了这个问题，那还是美军拥有人数和装备多重优势的时候，就更不用说人数和装备都不占优时。当然，本片为了反应男主的英雄气概，所以设定的是这些雇佣兵被反杀，当然，这不能说合理，但可以理解，毕竟也不是不可能做到的。 第三，黑社会其实比政府更喜欢规矩。我们中华文明讲究的是家事、国事、天下事，讲究的是集体的荣耀、讲究的是遵守集体的利益。而西方讲究的是个人的利益高于一切。这个对立看法的产生和各自的历史有关，中国毕竟两千多年来一直是一个大一统的国家，割据情况是少数状态，所以统治者必须要讲社会资源高度集中才能管理好国家，不然动乱就会此起彼伏，但是一直到本朝建立，这个集中管理都没有达标，所以中国历史上叛乱时有发生——只是人们已经渐渐的认可了资源集中的道理，也明白这样的好处，因此个人在集体面前是被忽视的。但是西方不一样，罗马之后就没有统一过，而各国为了降低本国的战争成本，所以很仰仗武士（骑士）集团，也就是西方所谓的贵族，西方贵族因此也一直有尚武的传统。而大贵族也是如此管理自己的属地和下属，因此一级级的向下传递，贵族也是一级级的以自己家的利益为第一位，渐渐的形成了这样的个人利益高于集体利益的传统。我们看三国，一直在将天下合久必分、分久必合，而看权力的游戏，就是各个家族的不断背叛和归属效忠。对中国这样的文化历史来说，朝廷的法制是自己统治的最大助力，但是对权力游戏这样的西方世界来说，法律和规矩是被统治者的最大仰仗，不然主家想怎么样就怎么样，自己还如何保持自己家的地位和利益？所以在大一统的国家里，法制一旦不存在了，叛乱就起来了。而在诸侯格局的情况下，一旦没有一个规矩了，上级贵族会担心下级贵族的造反，而下级贵族也担心民众会把自己拉下马。权利的游戏中，最初时，上级贵族只能责罚下级贵族，但是战乱开始后，萝卜一句话就敢把自己的属臣砍了头，因为在没有规矩的时候，只能看谁的武力值高，就能谁想杀谁就杀谁。所以在本片中，政府会派出雇佣军来灭杀已经不能给国家带来财富，反而要国家花钱来养活的贫困人口，所以政府一心想建立一个这样不存在法制的时间段来给自己一个借口。反而是黑帮不能接受这样的动乱，他们的势力建立在法制上的，正因为别人都守法，所以自己才能用违法来获利，一旦都违法了，自己就无法获利了。因此黑帮要站出来保护自己的街区，反抗政府的不规矩行为，哪怕这个街区都是老弱病残，但这样的街区能给自己提供“战士”和“炮灰”，是自己的根据地，更主要的是，一旦政府不守规矩了，那么下次这样的时候，政府派出政府军来剿灭自己还不是和玩一样？所以必须要保护，必须要站出来反抗，不然以后怎么办？ 第四，这是本片的败笔，因为最后是男主一个人站出来将所有反派干掉了，这是西方社会推崇的英雄主义在作祟，这要是全人类最基本的梦想，就是在自己遭遇不测时，会有一个大英雄站出来保护自己，现在超级英雄题材的文艺作品很多，美国的电影电视，中国的网络文学，很多如此，只是西方讲的是一名武力超群的武士，中国讲的是一名地位权利都是顶端的大臣或者就是说皇帝微服。可是我们中学时就学习过，这样的人物存在其实是不能改变社会结构的，只有全体人民都站起来才能改变现状，所以本朝建立的时候说的是中华人民站起来了，而不是中国站起来了……其实本片如果没有三部前作的话，到后面完全可以改成街头上所有的黑帮、普通人、甚至是“骷髅”这样的变态都拿起了武器和政府雇佣军对抗，并且将他们全部消灭，最后人民站起来了，胜利属于人民……只是美国人有这种思想么？他们到现在都还幻想着选出一个只能担任四年总统的人，最多使用八年的时间就让美国再一次强大起来，这不是做梦是什么？ 说了这四点，最后补充一点，“骷髅”最后一刻大战雇佣军的情节，其实我翻来覆去的看了两三遍，自己感觉不是“骷髅”发神经，而是他觉得这些人只能自己来杀，看到别人杀他就不愿意，所以最后找死了。 还有，我见有人说女博士最后怎么了也没解释一下，为何她不公布录像？其实电影中讲了，她被一辆救护车扔在了街区，被一群黑衣人围着然后给爆头了……,42.0,2.0,4
4,4,26905717,人类清除计划4,33a2f097c8011d2a7ded025842797ed7,aa04fd10996dbcad0a589ca0fb6714d4,2.0,2018-09-21 23:10:32,黑老大几乎一个人凭一己之力杀雇佣兵全队，全身暴露连开三枪才引爆炸弹的情况下，雇佣兵居然多人只击中黑老大腹部一枪.. （可能老大是海豹突击队加强版）并且上级女博士那条线处理草率没有结局，女博士存在可有可无，只显示了一点（政府里是有理想型存在，也有斗争，仅此而已，不管怎么样，既然被女博发现，女博剧中又是如此正义姿态，知错能改，不多加防范以及留下后门，以及被发现之后采取软禁等措施我不能理解是如何成为美帝高级幕僚的），那个变态骷髅人最后一幕也是草率收场，神不知鬼不觉上到这么高的楼层神补刀斩杀若干雇佣兵？ 也许正好印证了剧中骷髅头提到的各种“说自己无处不在”的梗吧。黑帮老大被小老弟在这种最应增强戒备的当下，强塞几只老鸡给老大欢度春宵，在犯罪合法的情况下，竟然能让两只老鸡身上混着刀进来，看来黑帮老大位置不好做啊.. 还有一个小插曲，姐遇到的下水道猥琐男带着娃娃口罩发音的招数都想到了，居然拉拽力气不如一个女人；弟在废弃工厂遇到的一个落单蒙面男在剧中反复出现，后续也没发展出更多联结也是毫无意义；姐弟俩在逃难过程中遇到的水枪人，那种关头玩恶搞，不怕被恶搞的人手中就有枪嘛，反身就是一个击杀... 也就开头那对老太婆不让生活过于无聊，放娃娃炸弹这一幕稍微有点说得过去..  人类清除计划本应真的是一个很好的剧本。 后续的编剧却是个不及格的编剧，100分钟都不到的电影，可能是后期预算吃紧吧.. 只能给2颗星，都是给这个purge plan的idea,16.0,3.0,23
5,5,26905717,人类清除计划4,f72c438126bddff437358ef06584fc68,c85222679d37164acc6c6b7acb52d2f3,3.0,2018-09-22 03:57:13,编剧将这一系列的题材创意中最薄弱的环节拿来深挖，就是合法性问题。免罪不仅仅是针对犯罪者取消了公诉追责，同时也是取消了对公民的全部权利保护，包括人身权和财产权。作为试点的区域内，公民主动参与也好，逃离也好，两个问题不可避免也不可逾越 1.人身权，尤其是健康权是不能放弃的，帮助他人自杀一样构成犯罪。签字承诺愿意被他人伤害，杀害，在任何国家的法律规定，法学认知内都是无效的。 2.财产权，在美国定位是神圣不可侵犯，背后的逻辑是该权利是权利体系中的优先保护地位，任何情况下，公权力，其他组织和公民不可侵犯。该片中的所谓实验，仅仅是学者，科研组织的理论构想，由所谓的政党推进，根本没有立法支撑，完全不可能在该实验中取消对公民的财产权保护。 纠结于合法性问题的原因在于，该系列题材如果仅仅作为限定性场景下的故事描写，将观众注意力和重点放在故事而非背景上，仍然可以成立。但这一部为了描写前传，把大的背景设定拿出来作着重的合法性探讨，就是在自欺欺人了。 此外，该系列题材中反复提到的一句口号，清洗有利于降低犯罪率，在这一部中又拿出来做合理性解释，也显得尤为可笑。无论是犯罪率，失业率，还是其他任何社会整体性统计结果，虽然和公民生活息息相关，但绝非公民义务，即公民个体无需为社会整体表现尽任何义务，承担任何责任，而应由政府采取措施调控。 让公民个体为犯罪率买单，等同于政府说没钱了，然后剥夺了某个公民的个人财产来充公，何其荒谬？为了降低社会整体犯罪率，就取消对个体的权利保护，便是这一逻辑的体现。 总体来说，该系列的成功之处在于提出了一个好的背景构想，但这一构想如同背景幕布，只能是虚幻而模糊，为了衬托故事，烘托氛围而存在，重要的是故事中主角们在绝境下的求生和相关戏剧冲突。而这一部中，把原本放在演员身后的背景图片放置于最靠近观众席来展示，显得格外出戏。,9.0,4.0,0
6,6,26905717,人类清除计划4,25d41e506ef0cd9f9fbe25464d49c532,8b11eaa19d7c66afb7ff05502fea61c6,,2021-09-25 12:59:58,第一部很精彩 主要是题材新颖 反常 让我觉得刺激 可是后面几部越看越无聊 可能第一部打了预防针 内心建设好了 后面几部失去了新鲜感 永远都是一样的套路 政府没钱了 想穷人们自相残杀 引出主线剧情 然后政府军加入 人民反抗政府取得胜利 但是这部还是比第三部要强点 不光贫富分化 还加入了种族问题  制造了新的g点 主要几个演员换成了黑人 可是最终还是跳不出老梗 基本穷人都是黑人 政府的人都是白人 白人想杀黑人 然后黑人老哥开无敌  到最后无法给人耳目一新的体验 形式大于内容 再加上前几部用烂了的purge.找一批疑神疑鬼的人充当彩蛋 过度剧情 总有一种重复观看的感觉 如果永远这样换汤不换药  那我对后续的电影  就真的不再有所期待了,,,0
7,7,26905717,人类清除计划4,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,4.0,2021-07-22 21:45:00,总体观感比第三部好，终于主题又回归了。 故事讲政府要在一个小岛上进行一次试验，只要留在家里就可以得到5000美元。如果你参与杀戮，每进行一次杀戮就会得到更多的钱，主办方还为每个人发放了可以录制你所进行杀戮视频的隐形眼镜，可以把杀戮视频传播到网上。女主的弟弟因为被一个叫“骷髅”的人划伤了，不愿意经常被其欺负，所以准备利用这次杀戮机会杀了“骷髅”。于是他准备了武器，在开始杀戮的时候去找“骷髅”。终于在一个舞会上遇到了“骷髅”，但是没有取胜，反而被“骷髅”打倒在地，逃跑了。另一方面，主办方，发现并没有多少人参与杀戮，他们在一起很平和，还买举报舞会娱乐。主办方为了增加杀戮的内容，雇佣了一批雇佣军参与杀戮，于是全岛的杀戮被激发。雇佣军到处杀戮，这让控制这个岛的黑帮头目很是担心，他决定带着自己的手下，去消灭这些雇佣军，但是赢了一场后。他们听到又雇佣兵要去袭击他女友所在的社区，于是他带人赶了过去，但是却遭到无人机的袭击，手下全死了。他一个人冲进楼里救助女友，最后终于用炸药炸死了所有雇佣军…… “3K党”、“党卫军”，各种形象全部出现，各类杀戮交汇错出，还是蛮精彩的。雇佣军大战黑帮，也蛮过瘾的。女主长得不错，“骷髅”的形象有够邪恶，印象深刻。还有那个楼道里的光线闪现，也蛮渲染恐怖气氛的。舞会杀戮也蛮有感的。 面具永远是这个系列的亮点，有够恐怖,,,0
8,8,26905717,人类清除计划4,e42cb5f97efb7dbd22172df2616b2cba,7529ea70711d5293bc5fc90617f91b02,4.0,2021-05-30 17:03:27,"人类清除计划4_8⭐️_讲了立下这个法案的背景故事，但说好的12个小时是应该怎么强制的遵守这个规定呢？如果别人用这12个小时去炸掉政府的公共设施，那这个12个小时就没有意义了，还会起到反作用。系列电影在第四季就完结了，但在导演的角度想想，也确实123都在讲一个同一个事情，但侧重的模式都不同，或许和我一样喜欢2的人不少，但2的故事不能一直延续，所以这就是妥协后的结果。

　　其实生活中没有那么多对别人有恶意的人，哪怕是黑社会也不会滥杀无辜，更多的还是像那小孩一样的，拿了手枪却也不敢开枪，最后被反打。姐弟俩在巷头被枪指着最后发现是水枪，还有更多的人是在喝酒跳舞。在城市里各个地方都有惊险的剧情，这个比3好。黑豹男主有些太强了，队友在还没有进入战场就被团灭了之后一人包围了所有的雇佣军，最后意料之中的突袭成功了。总统身边的女博士那条线是代表着什么我看完了看影评也不太明白，但第4已收尾，也没有多的期待。

　　系列结束了，之后可能还会重温第二部。",,,0
9,9,26905717,人类清除计划4,6fcba33d7cc90f0afafbb928eac9f739,8ec55b550f9e83d5bf695f613be3c12c,,2021-01-15 20:26:56,讲真话，对于喜欢看爽片的我，人类清除计划很对我的口味。 如果说第一部只是开胃菜的话，导演在第二部第三部，这两部把整个系列的精髓发挥到高潮了。 但是，可惜的是第四部居然阳尾了。感觉到和前面几部的感觉完全搭不上了，少了节奏，少了紧张，像喝了白开水。 后来一看导演，才知道，詹姆斯德克谟克不干了，换了导演。 真是悲剧，很好的题材，被毁掉了。 希望詹姆斯能重拿导棒，把这个系列拯救下来！ 这个系列，我最喜欢第二部和第三部了！,1.0,1.0,0
