,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26949241,游戏之夜,d8d62ea97a034c30f20cd413c627e941,8ca1395e31fa96b47eb07cd0dbe8abb5,4.0,2018-05-11 13:19:24,去年国庆档上映的《缝纫机乐队》的笑点、三观饱受诟病，最终口碑票房双双崩塌。 元旦档上映的《前任3》大卖19.42亿，是典型的口碑与票房成反比。 无独有偶，春节档上映的《唐人街探案2》疯狂席卷了33.96亿人民币票房，成为内地影史票房第三名。 电影尽管票房很高，但是口碑却差强人意。虽然算不上大烂片，但整体上有许多缺点。 首先是有些笑点低俗，比如唐仁袭胸前台、摸陈英的屁股，会让女性观众感到不适。    其次，因为技术出色、球机精湛，梅西是一个可以称为“伟大”的球星。然而梅西的黑粉总是嘲讽梅西的身高。 《唐探2》却偏偏安排一个侏儒来穿阿根廷10号球衣，无疑是在黑梅西。  《唐探2》原本可以更好，但笑点低俗、侮辱他人等问题严重影响了这部电影的质量。 《游戏之夜》和《唐探2》是题材类似的电影，同样是集悬疑、喜剧、动作于一体，但是完成度颇高。 电影的剧情有好几处反转，出乎意料又合乎情理，可以说是平均水准以上的悬疑片。 悬疑、推理、反转的部分还是大家自己去看比较好，我重点想说的是本片在喜剧方面的优点。 《唐探2》里有关于埃勒里·奎因、梅西等名人的桥段，无独有偶，《游戏之夜》也有关于名人的梗，比如特朗普、爱德华·诺顿、丹泽尔·华盛顿，但是这些笑话不会让人看了不舒服。 同样是荤段子，不同的讲法就会产生截然不同的效果，有些让你感到有趣，有些让你感到低俗。 比如早年周星驰主演的电影就属于前者，而《唐探2》《前任3》《缝纫机乐队》之流就属于后者。 《唐探2》奎因手稿的梗，以及《缝纫机乐队》中乱抡、改日的梗，过于直白，过于粗俗。    《前任3》就更不用说了，《缝纫机乐队》《唐探2》至少还是有优点的，但《前任3》毫无可取之处。 并不是说不可以讲荤段子，但是聪明的导演会讲的很含蓄、很有趣，也就是人们常常说的“内涵”。 比如《游戏之夜》中马克斯背对着马路坐在车上，而安妮则是在吐什么东西。  路人一脸好奇然后又匆匆走开，显然她觉得刚刚马克斯和安妮做了什么不可描述的事情。 这三个人没有说任何粗俗的台词，甚至根本没有台词，通过姿势、动作、表情就讲出了一个荤段子。这才是荤段子的高级讲法。 不得不说调侃、恶搞、开玩笑真的是一门技术活，如果得当就是大师，如果不得当就是小丑。 而且这也是有迹可循的，比如对方也能笑得出来的才叫开玩笑，对方笑不出来的就是伤害； 对别人开正面的玩笑是无可厚非的，但对别人开负面的玩笑就是把快乐建立在别人的痛苦之上； 对自己的身体开玩笑是自嘲，但对别人的身体开玩笑就是卑鄙。 比如《唐探2》开头，唐仁说阿香（佟丽娅 饰）嫁给了一个一脸花心相的人。  这个梗不会有任何人觉得不合适，毕竟这是导演自己开自己的玩笑。 但《唐探2》对梅西的身高开玩笑，这就显得很low。 同样的道理，《唐探2》调侃埃勒里·奎因的名字，显得下流和卑劣。  值得注意的是，这一段对话的英文字幕就比较正常了，看来导演是知道这个笑话不合适的，害怕被美国人喷所以字幕如此含蓄。（《唐探2》也在美国上映了） 对别人的身高、名字、外貌、胖瘦、胸围、肤色、地域开玩笑，就是人身攻击了。这是没有教养的体现，这是小学生都知道的道理。 《缝纫机乐队》中说大鹏说“柳岩是谁都能摸的吗”，让人感到不适。不代表柳岩和你关系好，你就可以言语轻薄她。  她不在乎是因为她大度，你说这种话就是你没素质。 这就好比如果有人当着大家的面调侃你的身高/名字/外貌/胖瘦/胸围/肤色/地域，你如果强忍着不生气、不骂Ta、还陪着大家一起笑，只是因为你是个有教养的人，但不代表说Ta做的就是对的。 《9号秘事》第4季第2集中，男主角说过这么一句话：我们不能模仿中国人和亚洲人了，因为这算种族歧视。就像杰克·梅森讲关于犹太人的笑话，或者理查德·普莱尔玩黑人梗。你只能开自己种族的玩笑。    这一点《游戏之夜》就做得非常好了： 对自己随便开玩笑，对别人开玩笑坚决不人身攻击。 比如一同参与游戏的有米歇尔和凯文夫妇。 他们结婚前闹过一次分手，分手的这一期间他们都有过新的伴侣。这算不上出轨，但是双方都对此耿耿于怀。 米歇尔表示凯文和一个叫凯伦·沃勒的人做了不可描述的事情，  凯文进行的辩解虽然很污，但不会让人不适，毕竟这是他自己对自己开玩笑。  虽然之后凯文也调侃了别人，但也无伤大雅。比如他说的那句“真正的丹泽尔·华盛顿根本就没我帅”只是黑人开黑人的玩笑、男人开男人的玩笑，算不上种族歧视也算不上性别歧视。 同时这也是对丹泽尔·华盛顿的帅气的肯定，就像人人都喜欢说“我比吴彦祖帅”，但没人会说“我比咕噜帅”。因为比丹泽尔·华盛顿、吴彦祖帅值得炫耀，比咕噜帅不值得炫耀。 反观《唐探2》唐仁袭胸、摸屁股，就是猥琐、下流、粗鄙。 《游戏之夜》里好笑的梗太多太多，可以让人从头笑到尾，同时又不会让你感到尴尬或不适。 比如“获胜只是得到钥匙而已吗”；布鲁克斯被打，大家以为是演戏；凯文说他觉得有点不对、后来突然提到比利·鲍勃·松顿，结果都只是关于老婆和别人睡觉的事；安妮和马克斯折腾半天发现子弹不在手里，还把袖子缝在了手上；恶搞丹泽尔华盛顿、吐槽中国制造、尽快教他普通话因为中国就是未来、盖里画自己在电影院的哭相让大家猜这是什么电影、马克斯给狗擦血渍、很慢的传送带、马克斯说薯片买一送二来掩盖自己举办了游戏之夜……笑点非常密集。 除此之外，电影不仅有笑点还有泪点，哥哥和弟弟和解、男主和邻居和解、妻子和丈夫和解，这些情节都给人带来浓浓的暖意和正能量。 悬疑、推理的部分不见得有多么出色但也让人出乎意料，不至于看到开头就猜到结局。 我最喜欢的片段是电影开头马克斯用你比我猜的方式向安妮求婚，与结尾安妮用你画我猜的方式表达自己怀孕，既有趣又感动。 作为一部悬疑片，《游戏之夜》做到了有剧情、有笑点、有泪点，这非常难得。 美国的性喜剧《宿醉》《美国派》《欧洲性旅行》《王牌贱谍：格林斯比》《独裁者》《香肠派对》《假期历险记》等等都过了7分，算不上多么优秀但至少及格。 而国产的性喜剧却很少有拿得出手的，从《夏洛特烦恼》到《情圣》《缝纫机乐队》《前任3》《唐探2》，尺度越来越大，却越来越让人看得身体不适。 讲段子是个技术活，讲荤段子更是技术活，国内导演还有许多地方需要向外国喜剧片学习。,550.0,132.0,129
1,1,26949241,游戏之夜,87148f6ae318610c66caa781a2a874af,e69ad08e806b5592cb2b1e6eccd47afe,4.0,2018-06-02 19:55:20,片尾大概很少有人看吧，但这部的片尾导演真的有用心哦。如果你认真看了的话，会发现…Gary才是全片最可爱的人hhhh 可爱+多图预警  天才计划之Gary重返游戏之夜  Gary假中弹用的血浆胶囊hhhh才$4  Max&amp;Annie回家带着三包Tostitos Scoops，他俩为了不让Gray知道今晚是game night，骗Gary超市有折扣买一送二，很明显Gary特地写信给了Frito-Lay这家超市问这件事，收到了回信，里面“义正严辞”的说：我们没有买一赠二的活动！这也是Gary知道了Max&amp;Annie在骗他的原因 TT太可爱了吧   左边便利贴写着：不要因每次查看邮箱都没有朋友的邮件而沮丧。右边的便利贴是Gary记录的邮递员送邮件的时间表（给Gary闲的）  绿里奇迹 (1999)8.91999 / 美国 / 犯罪 剧情 奇幻 / 弗兰克·德拉邦特 / 汤姆·汉克斯 大卫·摩斯 费城故事 (1993)8.71993 / 美国 / 剧情 同性 / 乔纳森·戴米 / 汤姆·汉克斯 丹泽尔·华盛顿 勇敢的心 (1995)8.91995 / 美国 / 动作 传记 剧情 / 梅尔·吉布森 / 梅尔·吉布森 苏菲·玛索 以上就是作为Gary的death scene灵感的三部片子 第一部还是同一个电影制作东家华纳兄弟 （最后Gary玩你画我猜是的谜底就是这部绿里奇迹）  Gary在努力练习飞过车盖 结果我们当然知道 还算成功 就是皮带把车划坏了hhhh  把小Ryan吓坏了的voice changer，第一个就是Monster voice，还有花栗鼠、机器人、ghost、喝醉了的声音hhhhh  下面开始正式介绍玩家（演员表）分别是… Max 在我心里和Rachel差了一辈 现在居然都一起演couple了（sorry Rachel感觉一点都没老啊啊 Annie Rachel的笑容简直是世界上最好看的！  Ryan是哈佛校友会的！讽刺不讽刺！ 他也出演了IngridGoesWest，角色也比较缺心眼。但这张照片里笑容也太阳光了吧，和片子里问Max“did you blow yourself”时的二缺傻笑完全不一样！不然来个对比好了，看下图…emmmmm好吧仔细一对比貌似也没差太多…嗝  聪明的Sarah  Winston你来这干嘛（跑错片场 哥哥Brooks骗大家最先投资的就是这家面包店 kevin就是这家面包店的会员  假的Denzel…xswl Gary&amp;Debbie  隔壁神烦警探片场的 超适合演这种神神叨叨的角色 Brooks  Gary找的演员/重刑犯  oh no！Debbie在和别人喝饮料，看起来是Gary的下一个目标 Max&amp;Annie去Brooks家参加game night时 在家门口遇到Gary，Gary说本来想请他们到自己家里吃饭，他买了四个羊小腿、红酒和迷迭香用来炖汤，说这是Debbie的食谱 Debbie的食谱 game night pic Gary要开始下一个行动啦 他在黑镜里演的loser太好 到这部片子我看到他还有点…毛骨悚然…… __________________________________ 之前居然没发现结尾的Debbie与Kenny相遇的彩蛋！kenny说之前没人听他说完自己的名字，总说知道他是谁，而Debbie认真听完了他的自我介绍，而且出现了这部电影里fall in love的经典镜头：音乐响起，两人各自展开微笑的特写…俩人大概是有戏…     poor Gary…,304.0,14.0,44
2,2,26949241,游戏之夜,b38ce39f6a8d9dd40b295b5dfc5a7ce1,b9d9d3f4b960b7674c2baeb1356eae04,4.0,2018-03-04 05:49:56,去看之前其实没多少期待，看了预告片觉得可能又是一部屎尿屁的喜剧片（虽然不在夏季档）。毕竟主演看着就是夏季档喜剧片的熟面孔。估计受颁奖季的影响（瞎猜的），除了中国电影不受影响，欧美电影好像为了不被同期上映的提名电影们比出太大差距，纷纷祭出相对质量比较好的电影上档。所以当我看到imdb的专家评分有66的时候我确实震惊了！毕竟这个阵容还能让人笑出来的喜剧得到60分以上的真心不多，观众评分也有70多，甩了同期上映的大婊姐各种拼命演出的红雀很多。内心稍微有了一些期待下，看了电影。虽然不敢说是什么全程高能无尿点，但确实节奏掌握的很好。          ---------------------------------剧透分割线-------------------------------------------  电影一开始男女主就是通过在酒吧的游戏夜做游戏认识并相恋的，甚至到后来求婚都是用你画我猜进行的。他们很喜欢在家里找朋友一起玩游戏。7年（可能，记不清了）之后，两人还没孩子，于是去看医生，结果发现男主的小蝌蚪活性不强，于是引出男主有一个方方面面都比他成功的哥哥。这个无形中让他有很大压力。看完医生两人回到家准备当晚的游戏夜，碰到邻居警察男抱着狗出来并问他们当晚是否又有游戏（求邀请）。夫妻两骗他说没有但其实只是不想邀请他。当晚主角夫妻和黑人夫妻还有花少和他的新女伴一起玩游戏，得知男主哥哥来了town里，之后男主哥哥开着男主的dream car现身并且邀请他们下次去他的新房子参加游戏夜，众人同意。男主哥哥的游戏夜采取了新玩法，游戏变成了实景游戏，有人会突然失踪（假的），然后剩下的人要按照线索去解密。赢了的人有男主的dream car做奖励。演员刚上来扮演fbi分发了大纲，男主哥哥家就闯进来两个人把演员打晕然后抓走哥哥。其他人还以为是游戏大家都在乐呵。然后两两分组开始解密寻找哥哥。男女主靠着ipad追踪哥哥到达被关押的酒吧。然后两人一通作，最终以得知这是真的绑架并且女主把男主手臂射伤，哥哥又被抓走收场。大家碰头以后决定帮助男主哥哥脱险，（哥哥收了甲方的钱结果却把东西卖给了别人，甲方的人正在抓他）准备去找到哥哥卖给别人的一颗蛋去换哥哥。为了用警察的电脑查信息，大家来到邻居警察男的家假意玩游戏偷用电脑。然后拿着地址直奔那颗蛋的所在地。在一通手忙脚乱下终于拿到了蛋，并被电话通知去一座桥上交换。由于一个紧急刹车，男主把蛋弄碎了，结果大家发现其实蛋一点都不值钱，重要的是里面的证人名单。在大家都被绑匪控制住准备杀掉的情境下，邻居警察男突然出现打死绑匪救了大家，但不幸的被一个绑匪临死补了一枪。生命垂危之际大家表示了自己的不舍。结果警察男表示自己没事，这一切都是自己从上次他们瞒着自己办游戏夜开始设下的局，为他们准备了自己设计的这个游戏夜。那两个绑匪也是帮手而已，没死打个招呼也走了。这时大家想起蛋里的名单，警察男也一脸懵b的表示这不是重要证人的名单吗，你们怎么有，大家这时候才知道搞错了。但是真正的甲方来了准备绑走哥哥拿回名单。在射伤警察男之后，哥哥“机智的”把名单吞到自己肚子。甲方表示其他人我们没兴趣，我们就把哥哥带走，然后开膛破肚拿纸条。男女主为救哥哥开着dream car去机场的飞机上救哥哥。最终成功he。   ----------------------------------------------------------------    其实单看剧情，除了两次反转没有太多特别。我也没有把里面各种幽默桥段什么的写出来。但单就这两次反转我觉得做的确实很好。很多人会把它和同期上映的唐探2相比，但我觉得这个比较好。反转之后也很好的解释了之前的一些剧情漏洞。比如说邻居警察男在他们偷用过电脑之后为什么没有反应（因为就是他设的游戏啊），还有之前在酒吧里的时候5、6个绑匪就被女主和一把小手枪就给制服了（因为只是配合剧情的人啊）。剧情节奏也掌握的不错，张弛有度，没有什么无用的镜头或是太不符合逻辑的地方。其中有几次我以为要出现屎尿屁类型的恶心或血腥的梗，电影也都规避开了。真心推荐放松看。   ps：片尾有字母图片彩蛋,38.0,22.0,9
3,3,26949241,游戏之夜,d5f5e5972ee4421412a05393c4790806,41b2d433074d04a5b2266680deca1fae,5.0,2018-05-31 11:40:21,一些碎碎念：喜剧，看得开心就好。每个月我都有几天需要看看喜剧缓解一下不好的情绪，这个是在失眠的晚上吃葱油拌面看的。一开始人物们尴尬到我都觉得尴尬，还因为白天看了美国犯罪故事有点怕怕。从pulpfiction经典台词出来，就是一个人抱着电脑笑了。反转会让人眼前一惊的感觉，但是反转又反转或者更多有时候就会让我觉得不如之前精彩，显得刻意，但是这个电影就比较亲切而且恰到好处。看的时候我有想到恐怖直播，可是好像也没什么特别关联的hhh 有关标题的“正文”：很认真的看到了最后，因为最后搁演员名单的场景（像个小剧场，会哭的塑料小人太可爱了）实在是妙，太妙了 但是更妙的在于   有人发现大傻子是哈佛毕业吗 哈哈哈哈啊哈哈哈,29.0,4.0,14
4,4,26949241,游戏之夜,531129af0579ca08936365f53687eece,533b2e67c51800d0fea1160e43561ac2,5.0,2018-03-09 11:01:05,"对《老友记》一直念念不忘的小伙伴有眼福了，这部电影活脱脱就是它的电影版。不信，给你们分析一下。

钱德勒：Max，男主
莫妮卡：Annie，女主
乔伊：Ryan， 金发花花公子
菲比：Sarah，Ryan第二个女友
罗斯：Kevin，黑人朋友
瑞秋：Michelle，黑人女友
阿甘：Gary，邻居警察

人物性格上也惊人般的相似，不知道这个编剧是不是老友记的忠实观众，还是干脆就是向老友记致敬。Max，跟钱德勒一样不孕不育，做事情颠三倒四，弄巧成拙。Annie，跟莫妮卡一样精分，有时智商在线，一语道破天机，化危机为转机，有时候又迷迷糊糊，有意无意的实话让老公颜面扫地，又弄巧成拙开枪打伤老公，她在给Max取子弹的时候，我笑得要从椅子上掉下去了，实在无法。Ryan，跟乔伊一样睡过无数的妹子，但是永远搞不清妹子的喜好和背景，玩玩就算，智商永远不在线，简直就是男版的金发女郎。他的第二个女友Sarah就比他聪明许多，而且跟菲比一样古灵精怪，有着外国人的血统（Irish，菲比是French）。Kevin和Michelle的关系跟故事，跟罗斯和瑞秋一毛一样，Kevin一直纠结Michelle究竟睡了哪个明星，像不像当时大家在猜瑞秋孩子爸爸是谁的桥段？还有他们一直在争吵的罗斯跟另一个女的发生关系时算不算分手期间。倒霉催的警察Gary就是阿甘本甘了，孤家寡人，多次企图打入他们的朋友圈，却一次次被拒之门外，最后因为警察的资源才被他们利用。

故事情节上也有很多类似，一开场6个人玩字谜的场景一下子就把我们带回了老友记，男生女生互换公寓那场戏。在富人别墅里丢蛋的情节，好像在玩美式橄榄球，在老友记也出现过。

所以，世界上哪有这么巧的事情，Game Night跟Friends千真万确有着千丝万缕的关联，有没有人跟我一样发现了这个秘密呢？",30.0,16.0,18
5,5,26949241,游戏之夜,c2ba59739507cb07da84394b7dd5d197,22a57394810fd219eb7bbd163021c270,5.0,2018-12-16 17:31:01,正如题目所写，这部电影真是融合了非常多的元素。 先说说家庭方面吧，主角马克斯与哥哥布鲁克斯在1小时14分的对话以及安妮与马克斯1小时06分的对话真的很感人。马克斯一直因为比不上哥哥而感到自卑，以为哥哥是个成功的投资家。其实他哥哥只是个骗子，一直靠着作弊赢。最后他发现了对弟弟的亏欠，所以设计了这次游戏让马克斯赢一回，赢下儿时心爱的汽车。其实布鲁克斯一直羡慕着他弟弟。而马克斯，一直被欺骗，也一直羡慕着布鲁克斯，想成为布鲁克斯那样的人，以至于不要孩子，直到被妻子安妮戳穿加上哥哥的坦白才幡然醒悟。 这一段真的非常有深度，虽然影片以一种轻松幽默的方式给我们呈现了出来，但却真的发人深省。生活中我们可能也羡慕着朋友圈中同学朋友的美好生活，而忽视了自己的生活以及身边的人，以至于为了追赶这些“成功者”的步伐而打乱了自己原本的计划。其实，我们可能只是相互羡慕着。朋友圈另一边的朋友可能也正羡慕着你。他们发的一些旅游照啊、豪车照啊可能只是打掉了牙齿往肚里咽，自己的苦涩由自己一个人承担，而展现给外界美好的那一面。布鲁克斯人设的转变与马克斯想法的转变看着很温情~ 再来说说悬疑方面。故事由一个游戏，变成了一个真的绑架游戏，这个很正常。但是最后结局的反转，很有意思，没想到是古怪的盖里劫持了这个绑架游戏，还雇了两个真的重刑犯。故事还没结束，虽然盖里的设计是假的，但是那个“保加利亚人”是真的在找那个彩蛋，于是有了再一次反转，大BOSS出场（虽然没多少戏）。在飞机上，布鲁克斯叫“Trevor”起身，说这一切都是自己设计好的，让观众们以为是第三次反转，结果。。。。只是导演皮了一下。可以说在剧情的设计上，编剧真是独具匠心了。 除此以外，本剧的人物设计也很到位，仔细看发现每个配角其实都很饱满，比如执着于前妻的盖里、疑神疑鬼的黑人老哥、机智的英国妹，还有一个花花公子，男女主就更不必说了。 最后，也是影片设计巧妙的一点，就是把各种梗各种彩蛋埋进了影片之中，以一种幽默的方式呈现出来。埋彩蛋似乎成了目前影片的流行趋势了。从《头号玩家》到《无敌破坏王2》都是，《死侍》这种就更不必说了。这部《游戏之夜》也是。猜谜游戏中出现的电影呀、演员啊什么的，大家可以自行去找找。我就举几个印象深刻的吧。一是丹泽尔华盛顿（我是真不知道这位黑人硬汉到底做错了什么被编剧黑）各位也请注意彩蛋（应该是模仿华盛顿的，不是本人）；二是游戏中的猜谜“......will bring together what's mostly white”——“Donald Trump”，讽刺特朗普种族主义，黑得就很紧跟时代！三是最后在飞机上“We gotta teach it Mandarin right away.”“Cause China's the future”，不管这是讽刺还是啥的，总之我听着很受用！ 总之，这是R级喜剧片里的一股清流，十分值得一看。 最后，大家可以帮忙找找电影里一共有多少梗，多少彩蛋（不要忽略片花哦！）各位可以在评论区写下另你印象深刻的梗！,5.0,,3
6,6,26949241,游戏之夜,446890424e508686e8d9363df36f50a4,02700e454d679f31f27c6f0768986dd1,3.0,2018-05-22 21:10:00,《游戏之夜》游戏局中局，当真你就输了！追寻真像的一夜，正视自我的过程！很喜欢这部影片的节奏，张弛有度，很好的利用悬疑的间隙设置适度夸张的笑点！虽然说剧情中有很多bug，但整体完成度很高，略微浮夸的表演也正和故事设置及人物性格相得益彰！7分！ps:喜欢女主瑞秋·麦克亚当斯那迷人的笑容！,1.0,,0
7,7,26949241,游戏之夜,06ea47865fc55a5c3adbb6a2ec4648ed,eaadf51c553a953b8b19a235f4121c69,1.0,2021-12-08 12:04:47,血腥镜头严重引起了我的不适。 看五分评价，有引用里面说中国是未来的，你也是真能自嗨，喜剧里带搞笑的台词也能壮大你的民族自尊心？ 有夸这电影局套局的，你就这智商？从开头就猜到了结尾好吗？ 公正的看，这部剧除了是洋人拍的洋人文化下的爆米花电影，没有更高级的定位了。有些人真的是抱着洋人的吊就去舔的嘴脸真的看不下去。这电影值得7.2分？？ 我在美国生活这么多年也没觉得它比6分的国产电影好看啊？,,,0
8,8,26949241,游戏之夜,2feb7cece77122c8c9fe3a8fd111888d,19804deb36cb3a6ce27d5b12e74bad64,,2021-06-27 13:14:55,"四对人物性格各异
一见倾心 兴趣相投 
青梅竹马 羡煞旁人
一周一换 无语至极
离异痴情 期盼融入
收尾呼应 导演是处女座？ 细节控 诸多伏笔 
恋爱了 结婚了 怀孕了在游戏中惊喜意外又合乎情理的发生 面对面灿烂的微笑
也许你所羡慕的人 反而用虚荣心嫉妒心爆棚 勉强支撑他要摇摇欲坠的光彩
不要羡慕任何人 也许他下了多出你几百倍的功夫 也许他其实并不如你想象般美好 
最应该做的应该是 危急关头也能临危不惧 摸不着头脑时也要冷静解决 
喜欢里面的gary 即使全身散发着异样 令人不适 可其实深爱着前妻 不让人诋毁她 格格不入 也费劲心思 反复练习 给大家组了个意外的游戏之夜 让大家接纳他
有泪点 疑点 笑点 反转再反转 一部电影难得体验这么多 情绪 或爆笑 或捏把汗 或暗暗难过
that's fruit  孩子嘛 再说啦 哈哈哈",,,0
9,9,26949241,游戏之夜,111c5b104d7ef5f5330588cf15fdaa46,e0ce2864e74a7ad3cee156c6c4490dfa,5.0,2021-05-02 02:32:26,电影剧情设计上，没得说。毕竟蜘蛛侠英雄归来的编剧。 对反转的设计，和台词对人物的塑造能力还是摆在台面上拿得出手的。这一点，有一说一，国内的编剧水平确实有一定差距。但是，优秀的人也存在，只不过不是普遍存在。我们还是有太多流水线产品。毕竟体制是导演核心，投资商要恰饭的嘛。编剧成了电影制作中的弟弟，怎么可能诞生多少优秀的作品。 归根结底到了应了那句话： 一个牛逼的导演和一本牛逼的剧本才能拍出一部伟大的作品。 缺了一个，作品都会差点意思。 其实这部片每个人看都有每个人的理解。这也是好电影牛逼的地方。总能让你有自己的理解，而不是建立一个绝对的故事方向和结局。比如马丁•麦克唐纳的《三块广告牌》，善与恶，因与果失去了立场化带来了很开阔的结局方式。所以我也不想去纠结剧情是否俗套，一个3d沉浸式剧本杀的纪录片剧情，能写成这样已经很棒啦。  就说说这个导演，让我挺印象深刻。我记住他了，弗朗西斯·戴利。一个可以说很全能的人才，从编剧，表演，导演都面面俱到，别再说全才都是废物。真正才华横溢又敢悬梁刺股的人，只会越来越能够成为自己想成为的人。而现实中的我们有太多的负能量，自己一事无成又喜欢抨击他人的刻苦钻研成果。殊不知这种行为十分的可恨又可悲。 第二个，能从电影看得出，戴利对电影的狂热。他是把自己的热爱融入到了整部电影，导演的基本功也很扎实。台词还明显暗示了了一下，“难道大家都不喜欢电影吗？”接着就是一连串的经典展现。从昆汀的《低俗小说》里面拿枪那一段做了戏剧性的还原。  再到也是昆汀的《被解救的姜戈》富人搏击俱乐部。如果剧本改改，这里也可以用用《搏击俱乐部》的桥段。当然，笔不在我手上，还是他说用哪个就哪个，反正他肯定也都看过。  后面还提到的《哈利波特》《飓风营救》就不提了。 其实在电影的整个创作中，电影是一个十分综合的艺术，从表演，编剧，摄影，剪辑，配音，混音等等全部都可以成为一门独立的学问。每个领域的尖端人才都可以独立引导整个电影的制作。只不过风格上会有明显的不同罢了，所以只有全方位人才，才能提高整个作品的水平。这就是为什么，优秀的作品屈指可数，滥竽充数的作品满街都是。资本讨厌门槛，它喜欢模式化的生产，也只考虑成本与利润的比例。 总之，整个电影还是很上乘的作品。写这篇影评就是为了夸夸这位年轻的艺术家导演。因为热爱，所以选择，然后付出时间与心血。乔帮主在斯坦福大学的演讲也这么说了：  加油💪，各位。 选择自己的热爱，并为此沉迷！ 未来是咱们中国的， 未来属于我们中国少先队的！,,,0
