,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26954268,道高一丈,7c498d94af83d365dd6e7d3bbb2e1f84,52a0086e41baca071427f7b44a8db014,3,2018-09-10 03:23:35,"这篇影评可能有剧透 

                        《道高一丈》这部电影，整体来说看的时候觉得还好，大的方向逻辑没问题，看完了仔细一回忆，小毛病一堆。下面说一说我看的过程中和看完以后发现的小毛病： 1.开头立果小伙子大冬天的被扒光了绑在球门上，被人用冰球打，开始还宁死不屈不透露女朋友的消息呢，结果第一下打完，第...

                         ( 展开 )",26.0,3.0,23
1,1,26954268,道高一丈,cd03b31fca5c521fc476a9bdec970447,fc50061e972686c113878822bc499733,3,2018-10-21 14:58:35,"作者：长安公子 记得小时候看了一部电视剧叫做《上错花轿嫁对郎》，聂远与黄奕在里面饰演一对欢喜冤家。这部剧在当年非常火，或者说是爆款的电视剧，喜欢的可以找出来看看，剧本剧情非常好，很有意思的一部剧。 第一次记住与知道聂远就是因为这部剧，聂远在里面的表演很出彩，...

                         ( 展开 )",,,0
2,2,26954268,道高一丈,d74d31594f2edc8bba7bb53ed0554933,12538de43422dd95e2674215c64f531b,1,2018-10-17 01:07:43,"哈尔滨街头可以拿大砍刀？可以在旅游景点开枪激战？东北大哥大姐全都是一身貂？？？笑场了n次啊！！！影评比剧情好看多了。几个演员其实很有实力，但是这么烂的剧本，请这是东北被黑的最惨的一次吧？如果不是聂远撑起来这个电影，真的是太累了啊啊吧测的啊啊受不了！！！！。。...

                         ( 展开 )",1.0,,2
3,3,26954268,道高一丈,d37f768b39fe35807cb7704ba561d826,16a854a463dbc44e5c27c7b39b975d23,3,2018-10-07 22:13:02,"聂远饰演的主人公叫做宋朝，但我觉得应该叫做赵子龙。这部片子跌宕起伏就像宋朝的战斗力一样。根据电影剧情需要，宋朝的战斗力时高时低，必要是可以独自创黑社会的龙潭虎穴而毫发无损，可以在几十辆警车的围堵拦截下飘然离去不带走一片云彩，也可以干不过两个小混混。 和所有的...

                         ( 展开 )",1.0,,0
4,4,26954268,道高一丈,889fada7e6c09be8a801cdbc4102dd25,5afe6ade18915eee6f9dcdd3f2af4434,4,2018-09-28 09:26:28,"这部戏昨天在腾讯上看的，之前想去影院看，但是好多影院没有排片。看完后整体感觉很不错，聂远的演技很在线，剧情也也反映了一定的现实。但是有几点要吐槽一下：1.反派带人在男二号的家里开枪杀人，竟然没有人去报警。2.反派追杀男一号到冰雪大世界竟然肆意开枪，没人报警没人...

                         ( 展开 )",1.0,,0
5,5,26954268,道高一丈,9525ca00bca2c8cb7b02e30f457f2c81,84afe055597dcb63ae3e00ac13e92a5d,4,2018-09-27 09:26:33,"这篇影评可能有剧透 

                        作为一个警察，开始从刑侦角度看这部电影，可以说漏洞百出、乏善可陈，认为不及格，又琢磨了下味道，觉得换个很高的角度看，有些东西能说通了。 表面上看，电影围绕n前的一桩杀警命案，反映了几个警察之间的恩怨纠缠以及警察和黑社会集团的正邪对抗，主线就是破案，反派主要是...

                         ( 展开 )",1.0,1.0,0
6,6,26954268,道高一丈,5821632a668c8c3525ecb69fd3c3680a,5af96b71831b1bc00a356ff8d2e5ee77,3,2018-09-24 13:54:49,"冲着聂远来看的。然后还没看就看到网上一股脑的差评，所以看之前期待很低。但是看完以后觉得这些差评还是有道理的。 1. 剧情剪得很乱，不连贯，感觉一个好好的故事剪得支离破碎，每一个小片段都很短，让观众刚刚进入情绪，故事就换到下一片了。而且片段和片段之间没有关联。比...

                         ( 展开 )",,,0
7,7,26954268,道高一丈,eeca7540e05c41f41915f9da8c778313,276da0c8c2c1a2d3ac83e9839bc77ab3,3,2018-09-22 09:45:01,"这篇影评可能有剧透 

                        全片至少有两点，人妖设定和警察黑化，毕竟现在总菊文化管制如此严，有这两点值得肯定哈哈。 警察看证据的那段😂随便找个人放大，哎你说就那么准，就找到了，感觉这一段太弱智了。 结局那一段，拍摄地点好像是冰雪大世界，门票就不说了哈哈。不过我觉得场地挺好的，把那种寒...

                         ( 展开 )",1.0,,0
8,8,26954268,道高一丈,209ed588b4a2469212191cac11d6e506,b8cbc1c660a17002ec9c66baebb62482,2,2018-09-22 09:43:24,"这篇影评可能有剧透 

                        题目《道高一丈》和剧情有关系吗？真正的警察里，局长明明知道宋朝是卧底还同意通缉他，刘海洋为父报仇不问青红皂白、智商堪忧，黄天成为了给妻子看病收受贿赂、杀害证人（我想问没办医保吗？）。说是悬疑片，一开始就猜到了胡紫薇是易装了的胡龙，对男的摸她没感觉，对刘海洋...

                         ( 展开 )",2.0,3.0,2
9,9,26954268,道高一丈,a72fc75e507ad877b45a04c67c3fac35,33f4c775dc5995b74dab5c6611ed7138,1,2018-09-21 14:33:10,"第一次在豆瓣上写影评。这电影是我看过槽点最多的了，一星都不想给！烂到家了！ 作为一个土生土长的黑龙江人，对这部影片的期待还是很大的。看完了电影，觉得无比之尬。原以为是一部警匪片或悬疑片，没想到是给冰雪大世界做的一部广告片。黑帮追杀主角，偏偏那场厮杀是在冰雪大...

                         ( 展开 )",4.0,1.0,2
