,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26975011,猖獗,38873d7b2979a2a8dd0b042ccd43ac46,b3a3cd9f5f1fca48bce264a2ecac3712,4.0,2019-01-03 17:57:27,"丧尸片死亡定律：男一永远都不会死，即使在丧尸丛林中收割也依然不会死，丧尸总是很懂事的二对一或一对一让他砍，大家都排好队，死一波再上一波；男二一般会在影片结束前三到五分钟死，大都死于大火 爆炸 巨石压顶  ；其他杂鱼按出场先后顺序死，死前都磨叽，放不下，各种嘱咐...

                         ( 展开 )",26.0,4.0,12
1,1,26975011,猖獗,0c024360e61cf05e69c60c67ec9eb3bd,df2a73708a308a231bdec18266eb55ca,3.0,2020-02-16 01:43:24,"曾经因为追求感官刺激看了《王国》，便不由自主进行了对比。不得不说，情节相似，一样是奸臣当道的李氏朝鲜，一样是保护臣民的王子，一样是权力斗争下狂奔的丧尸。之前看过评价说《猖獗》只是血腥的撕咬。略有同感，且情节发展和悬念设置上稍逊一筹，有些地方的逻辑感觉也有漏...

                         ( 展开 )",2.0,,2
2,2,26975011,猖獗,25cfac54f049ab399dc8e38b18f02806,51df9fbd9607ebeee5a42d08a56037c3,4.0,2020-12-03 00:11:20,"原来玄彬穿古装不好看，即使是雪白砑光过浆丝绸制的刺绣曳撒(剧中称为""道袍""。""道袍""这个词显然是从明朝学去的，但明朝的""道袍""是一整件袍子，不断腰，只在腰下侧缝加暗摆，袖子也是全疋袖，不收窄袖口，袍长至脚面。玄彬穿的这个，断腰百摺紧袖口裙长至膝下，是明显的曳撒款式...

                         ( 展开 )",3.0,,1
3,3,26975011,猖獗,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,3.0,2018-12-26 19:54:17,"这篇影评可能有剧透 

                        2018年，动作恐怖电影《猖獗  | 창궐》 怎么说呢，没想到这么好的阵容和不错的题材和场景，优秀的化妆  配上如此无聊的故事。。这个电影真的是出乎意料的不太好看。 可以说是朝鲜古代版《釜山行》丧尸的化妆特效做的都是有板有眼，场景也说的过去，作为国际大片的野心，飚...

                         ( 展开 )",6.0,1.0,4
4,4,26975011,猖獗,505536a3085c69b613b02b08a5bcf80d,77fdc739127bb64cbb1c5007527c8b90,2.0,2019-01-31 16:04:01,"这篇影评可能有剧透 

                        剧情薄弱，逻辑有些混乱。 首先，依靠无法控制的“夜鬼”来翻天覆地太容易覆水难收，依兵判的心计，实在是难以成立。 其次，为了突出主角的英勇善战，打斗戏的设计也过于套路。在清国使者接风宴上，降临大君以一身白色“连衣裙”出场，孤身一人对战尸群，在带着一个孕妇的情况...

                         ( 展开 )",12.0,3.0,4
5,5,26975011,猖獗,1fe1434c39c26b90479db2eacfe2946e,65157a629b8b7e8c8b293976139b2c1f,2.0,2018-12-18 23:45:56,"剧情老套…烂尾严重…bug相当的多 最后就丫砍呀砍的…这玄彬是标准人民币玩家…玄彬出来之后僵尸也变得跟缺心眼似的 点个火比丫的砖木取火都费劲…但是刀真变态 这砍的我直犯困…太墨迹了一个决斗都整了3次之多…估计想一刀捅死玄彬的豆友应该占了大多数人吧…看着真挺着急的 ...

                         ( 展开 )",6.0,1.0,2
6,6,26975011,猖獗,2f46f39b9dc65016721e9a4773cba609,747a36ca04419d2fd94ce949cf1b8931,5.0,2021-10-11 23:24:45,"这篇影评可能有剧透 

                        为什么这么多喷的？虽然不是什么特别牛的片子，但比《王国》不知道好了多少倍好吧！可能大家都没看过王国，对比一下可能就衬托出来了... 回到电影本身，我认为演员、剧情、服化道都合格，尤其是电影美术，视觉效果很好！在丧尸片感受到了美感，还挺难得的！不足的地方当然一个...

                         ( 展开 )",,,0
7,7,26975011,猖獗,abc2974ee75409169553beff18670b2f,39f6b07a1ecaba9368c61426541c0e20,4.0,2021-02-18 17:10:02,"这种题材的电影不是我的兴趣，但是看玄彬演戏还是挺有期待的。血腥撕咬的场面，恶心恐怖变身的夜鬼，比起好莱坞的那些恐怖片，也没有太多的不同。剧情以玄彬饰演的质子李青回国完成兄长的遗愿开始，一路上打怪升级，从不理世事只图享受的纨绔子弟，受身边人、身边事的影响，思...

                         ( 展开 )",,,0
8,8,26975011,猖獗,1f0775116a311fe2af3807d0d7de7398,679b179bc2c565bba04474be4d6ec50c,3.0,2020-11-19 19:30:45,"我下载的片是《猖獗.2018.1080p.BD.mp4》。[韩国电影《猖獗》原声《Nocturne》](虾米音乐) 时间大约去到 01:02:12，这里是大清来使和李氏王朝的君臣在饮食、欣赏歌舞。 这一段的音乐超好听，跳舞也好看，三个男的背部背着三个大花布，三个大花布像一个花朵的花瓣！跳舞的女主也...

                         ( 展开 )",2.0,,0
9,9,26975011,猖獗,2a306c2c08dcffbfa66ec129ecbffe36,f20c3430ce89143959e8a8c1d89fa067,,2020-11-10 14:45:36,"《猖獗》与《釜山行》两部电影都不错，但是有《釜山行》在前，《猖獗》就显得不那么好了。 《釜山行》其实也是一部披着丧尸外衣的人性伦理片。灾难片耗费巨资，无论多么可怕的天灾，拍来拍去拍的都是人性。 《釜山行》算是一部灾难片，它比单纯吃人的丧尸片丰满得多，丧尸不过...

                         ( 展开 )",,,0
10,10,26975011,猖獗,776c5450cb5a5507cf1d7e274e51dbb1,4f7f777332dcc558e8e50420c279a265,3.0,2020-08-28 23:38:44,"讲真这是一部很没有意思的电影，平平无奇的剧情，平平无奇的叙事，再加上平平无奇的剪辑，情感的表达也很粗糙，非常模式化，进宫之后的剧情也稍显拖沓，真的没意思。 在我眼里这是一部没有亮点的电影，演员的演技感觉也没有发挥出来，浮于表面，再加上一切都太过儿戏，国王（毕...

                         ( 展开 )",,,0
11,11,26975011,猖獗,4e41037527c132fff204dd6e2c5c450c,bb5b2a4977c5ab1baaeaa854b1acff06,,2020-05-24 14:01:33,"这篇影评可能有剧透 

                        最近追玄彬欧巴的电影了，第一部选新老两代男神共同出演的猖獗，一部古代朝鲜王朝的丧尸电影。讲述了手握大权的兵判（张东健）为了篡权将夜鬼引进京城，在篡权的时刻被夜鬼攻击并沦丧；长期在中国当人质的世子（玄彬）在哥哥死后回到朝鲜王朝一步步带领人民打败丧尸。玄彬饰演...

                         ( 展开 )",,,0
12,12,26975011,猖獗,d35168fc9b687e8923c5f85d7d324789,e0072a191cd84c4c2648e9856b00f7cf,3.0,2020-02-27 20:31:14,"猖獗这部电影可惜了 实际上 这片营造了非常好的李氏朝鲜的氛围 还大力夸赞事大的大清朝 构图和配色都具有很高的审美 The King and The People的关系非常感人 剧情也非常连贯 一气呵成 朝野权力之争结合丧尸屠城 这本是非常好的一盘棋 各方力量牵制 然而泄气了 反派作茧自缚的安...

                         ( 展开 )",,,1
13,13,26975011,猖獗,2eced96ee8d340a5a4b23f377ad692e0,147b0e5144e8704808477ccaaaecb2b4,5.0,2020-02-22 00:54:14,"之前一直没看，是因为评分不高，而且又是古装，总感觉画面会很黯淡；但看完以后有种发现“宝藏”的感觉，除了张东健和玄彬两大实力男主不说，剧情很紧凑，是那种看10分钟马上就能投入剧中的感觉。2大男主那么帅，倒是没安排什么情情爱爱的画面，玄彬从一个玩世不恭的“亲王”，...

                         ( 展开 )",6.0,1.0,0
14,14,26975011,猖獗,e98b993737718e2d169b56c152bcb591,7b42d4f99d20ede4f8e75a629748e8ad,3.0,2019-05-06 00:30:32,"这篇影评可能有剧透 

                        评分5.7有点低。6点多才正常吧。 电影泪点只有一个，就是大叔为了救前世子妃死在宫门外，和尚对大叔说：“下辈子不要在投胎在这个世界。观世音菩萨。” 剧透： 前面部分还不错，丧尸的恐怖，兵部尚书为了一己私利要那么多人牺牲血洗皇宫。 就是结尾有点夸张，男主就是大君一个...

                         ( 展开 )",1.0,1.0,1
15,15,26975011,猖獗,959635ce96139e7156d2884d9e414025,d8ecda982fd44d7c364c8662051b6150,4.0,2019-03-13 19:39:34,"这篇影评可能有剧透 

                        说实话还挺喜欢这片的，但是确实导演智商下线，很多情节太过低幼了，不过此片其实应属于吸血鬼片，从吸血鬼代入就可以解释部分情节了 比如夜鬼化之后仍有部分意识，所以张东健，姓朴的和那个妃子夜鬼化后的行为才能解释。也是因为吸血鬼的原因，所以片中不存在把人咬的稀烂，应...

                         ( 展开 )",,1.0,0
16,16,26975011,猖獗,f37161409fcd695978769a2c646b8c6b,7a32df6ce00fe755dd1f5e055234f9c1,3.0,2019-03-08 08:47:22,"这篇影评可能有剧透 

                        期待了好久的韩国丧尸片终于有资源了，enmmm，是由玄彬和张东健主演的《猖獗》，朝鲜古装丧尸的设定还是挺新颖的，剧情则有点一言难尽。 既然是古代片，那势必要稍微讲一下朝代背景了，此时是朝鲜李氏王朝，依附于国力强盛的大清朝，君主的不作为，奸佞的专政，空有一腔复国热...

                         ( 展开 )",,,0
17,17,26975011,猖獗,af9a805420a8d5c5c253d0be648dd353,634c21f7dc1612ed1d84be6a95f70b8c,4.0,2019-02-27 22:15:03,"这篇影评可能有剧透 

                        本人觉得挺好看的，5.7的分有点低。 对一这部电影，你不能光看不足之处，要看看好的地方。 从化妆来说，夜鬼（也就当是行尸吧），单个夜鬼来说，比釜山行的走心， 群体夜鬼的话，就没那么好了，随便一看呗。 电影加上了野心势力斗争戏份，比一般光是讲尸变的电影，多了些主线剧...

                         ( 展开 )",,1.0,0
18,18,26975011,猖獗,e4541dcf4dfec666c0cd6f6776e550ab,285c3c89499437e9a28e8fae3f48ece7,3.0,2019-02-25 00:40:51,"这篇影评可能有剧透 

                        猖獗，7.1分，僵尸+宫斗+两大帅哥（虽然年纪有点大）坐镇必给高分（7.1分真的已经尽力了）✌️张东健的设定好神奇，最初一点没演出他的那种强大要当帝王的感觉，最后没完没了的跳出来好想踹他几脚啊！玄彬主角光环笼罩也是怎么都不死搞的人很焦躁，但是他英雄主义地去点火...

                         ( 展开 )",,,0
19,19,26975011,猖獗,e2bc315a7bb0c0f3e8693085714e9e5b,586c2b39465951a4baf62e5f6a2e5c9f,3.0,2019-02-19 13:04:53,"这篇影评可能有剧透 

                        原文： 제가 좋아하는 배우 현빈씨의 영화 창궐이 어제 개봉을 했어요. 어제 퇴근하고 남친을 쫄라서 보기 싫다는거 억지로 데리고 끌고 갔었는데요. 살...

                         ( 展开 )",,,0
20,20,26975011,猖獗,fa52d7779ee5145525be444a3f7511dd,b2cd0ea288ef1b5722662d010007cbb7,,2019-01-18 09:51:14,"这篇影评可能有剧透 

                        财叔说：用力过猛，什么东西都容易碎。 大家好，我是小阿花 。韩国电影《猖獗》，这是继《釜山行》之后又一部丧尸片儿，只不过是古风的，买点十足。 但是，导演好像用力过猛了，豆瓣评分5.6分，评分并不高。 阿花给大家说说剧情~ 影片开始，一群朝鲜士兵对着一艘西洋船嗖嗖射箭...

                         ( 展开 )",7.0,1.0,1
21,21,26975011,猖獗,8f33ba78d14959a8c7553cef77dc13aa,d73b92a05756c91e43d1f4be9ad9177c,3.0,2018-12-19 20:52:47,"这篇影评可能有剧透 

                        前年的一部韩国版的丧尸片《釜山行》将丧尸题材再次推上了热点，很多人都不得不佩服韩国的电影工业越来越完善，不管是特效还是整体的剧情都游刃有余 这部丧尸电影主打煽情，成功的让观众流下了眼泪，于是今年制作团队决定再次模仿上次的成功模式，打造又一部风靡全球的丧尸电影...

                         ( 展开 )",3.0,1.0,2
