,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26988000,开战,63887a6bc4e0045c3292784de91fcd65,bf634c92ec3345b4003e410603773c65,3.0,2019-03-02 06:00:27,"这篇影评可能有剧透 

                        看完了《开战》，心绪难平。 影片所批判的公司采用了三种策略来对抗罢工的民众。 1、拖延；2、分化；3、激怒。 这大概是西方处理这类事情最好的办法，当民众被激怒后做了暴力的事情，一下子走到了道德的底端，大势便去了。 在法制不健全的国家，还有其他的办法： 1、找带头几人...

                         ( 展开 )",76.0,8.0,18
1,1,26988000,开战,8211f597fe6fe4922552ee3a01c59eed,363c82f3db54c99aaaa1281d1b277c5d,5.0,2019-05-12 13:13:42,"这篇影评可能有剧透 

                        法国电影《开战》用非常写实的拍摄手法，讲述了一起非常典型的罢工运动。 身为无产阶级的一员，我对这类题材的影片一向很感兴趣，例如《恶老板》《抱歉打扰》这种让底层韭菜发泄的纯喜剧爽片，以及《三和人才市场》这种境外视角讲述的中国故事。 《开战》不属于上面的任何一种...

                         ( 展开 )",48.0,1.0,2
2,2,26988000,开战,c4ab02ed12e04c7549ed6c7c912ecb61,3bbf3d3362c36fe36bb0185dde41881d,4.0,2018-06-07 21:49:12,"这篇影评可能有剧透 

                        看了法国电影En guerre，看的时候因为太饿（没有吃午饭）所以头晕晕的，加上是非常写实的罢工镜头，所以晃得厉害让我有点难受。故事很简单，场景也异常简单，甚至我觉得这是一部特别低成本的影片，但是拿到戛纳特别奖，就是因为写实。主线就是一家总部在德国的汽车公司要关闭在...

                         ( 展开 )",24.0,6.0,4
3,3,26988000,开战,8adaa5d83bb9cc9ec8f9e61f6142c63f,1cbf6bebd951c3f678331e5cdce86348,5.0,2018-11-30 00:15:21,"“看”这电影有好几个层面的体验，首先，片中摄像机频频模仿真·围观群众的个体视角，镜头边缘经常是虚化的其他围观者的脖子或头发，观众跟着蹲在现场一角“看”工人们如何车轱辘地辩论、冗长地争吵、负气地攻击、艰难地说服； 然后是整个罢工流程的全景跟拍，如PPT一般的清晰...

                         ( 展开 )",8.0,,0
4,4,26988000,开战,f4fb280cc46bd7702c11925e18fafb46,b1e8f904053a87a8211338ae9de131d8,4.0,2018-11-18 10:28:26,"这篇影评可能有剧透 

                        这部片子最大的特点就是“真实”。已经真实到接近纪录片了。全片几乎都是手持摄影机，镜头一直有轻微的摇晃；每每人物开口讲话时，镜头前总会有一个近距离的他人遮挡物，这种通过长焦镜头来展现事件的手法在这部片子里随处可见；在讲故事的过程中时不时会插入一段电视新闻，缓...

                         ( 展开 )",7.0,1.0,1
5,5,26988000,开战,814ca1b81a0e61e4d03d23f76ecf38d2,b63997052664fa439d2ed3fe43833bb3,,2018-11-11 20:38:47,"这篇影评可能有剧透 

                        文 | 申子超 在法国，罢工现象十分普遍，在某种程度上已成为法国百姓生活，乃至社会文化的一部分。罢工文化的形成与法国的历史和文化密不可分，18世纪的启蒙知识分子就强调自由、平等和民主的精神。伏尔泰更是说到“我不同意你说的话，但我誓死捍卫你说话的权利”。法国人正是...

                         ( 展开 )",16.0,3.0,4
6,6,26988000,开战,999d2d9f507b6e0ae8a842cf8495c80e,999d2d9f507b6e0ae8a842cf8495c80e,5.0,2019-01-02 15:34:21,"现实且震撼，虽有人说全程在吵架，但对我还是挺大冲击的。一群被侮辱与被侵害的工人，为养家糊口的一个饭碗，联合起来罢工抗议公司裁员。中间有像皮球一样在各部门间推来推去，有内鬼想谈个高价拿补偿走人，有虚伪的官员或高管说着一些每个字都懂连起来却是根本不懂也不关心民...

                         ( 展开 )",4.0,,0
7,7,26988000,开战,17971fb2675a6a163a3de73994a1f08b,a63c07c54177eab1c7bb715e1cd50fcc,4.0,2019-07-23 00:26:55,"在观看这部电影的前5天，我辞掉了我的第一份工作。不同于《开战》里工人的被动失业，我是主动失业。此情此景之下，心情总是相同的。 电影其实讲了一个很简单的一个故事——一场失业工人举行的罢工运动。这些工人里面，年轻力壮的工人是少数，更多的是已过天命之年的工人。因为...

                         ( 展开 )",2.0,,1
8,8,26988000,开战,a1ab85e719eafc634a4362f5715fb1b6,f5781757a9a7beeb1a6c3202f4a2b1bc,5.0,2019-12-31 09:18:12,"在我看来本片要讲的并不是劳资纠纷，其更深的意义在于探究“反全球化”浪潮的由来，片中的这家企业是一家跨国企业，总部在德国。而且这也不是一家亏损的企业（起初他们想用竞争残酷，也就是“卖惨”来骗工人，但在信息时代，你究竟是盈利还是亏损一查便知），尽管如此，决策层...

                         ( 展开 )",11.0,,0
9,9,26988000,开战,dd05dd02954cda31f1f0e7118f09b318,9ac2f7140d4fee36dce3e2e735c65790,5.0,2021-12-08 21:03:12,"很难讲看过的感受，真的很难讲，是回想片段都要闭眼思考几秒的过程 我其实蛮现实主义的，电影过程中一直在分析男主的动机。我不相信世界上有彻头彻尾的利他主义者，我偏向于他沉浸于个人被追捧被报道的荣光里，限于另一种意义无法自拔，直到最后这种表演性的人格将他引向光荣的...

                         ( 展开 )",,,0
