,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26992114,孤狼之血,e02eabd62b687c3d9419d5566d89a9a7,1afd4ed9b77597246651c26635fdbd82,4,2018-12-25 00:12:52,"妓女说，“快点，一直好想要你。” 当即，面前的黑帮大佬便解了腰带，“知道啦，那我可不客气了，”一边说一边脱衣，“看见我的老二可别吓到哦。”紧跟着将裤子一褪。 镜头转至背后，竟看不出那是个光溜溜的男人，因他的身子从上到下爬满了刺青。 后来，某风月场子，也是一黑帮...

                         ( 展开 )",264.0,7.0,13
1,1,26992114,孤狼之血,8db256a4da40380564cca4b71cdd43f4,8db256a4da40380564cca4b71cdd43f4,5,2019-01-11 16:29:55,"这篇影评可能有剧透 

                        第一卷 看局 大上章吾不是卧底，也不是线人，直接用警察身份介入黑帮事务，十分少见，却又不失真实。因为，这是一种符合社会现实逻辑的办法。两边都吃得开，才能掌握足够多真实的信息，也只有在掌握信息的基础上，才能对场面有所把控。黑白两道，本来就存在灰色地带，除了收黑...

                         ( 展开 )",55.0,,5
2,2,26992114,孤狼之血,a23ad2c5c76b224ea0fe47ebc2e59a33,a23ad2c5c76b224ea0fe47ebc2e59a33,3,2019-03-14 05:38:19,"这篇影评可能有剧透 

                        电影《孤狼之血》发生在架空的广岛吴原市，意在致敬从1950年开始，到1972年才宣告结束，分别在冈组和村上组、打越会和山村组、共政会和十一会之间爆发的三次“广岛抗争”。除了主舞台广岛，第一次“广岛抗争”牵扯到的副线山村组和土冈组之战，就发生在广岛吴市，与吴原仅一字...

                         ( 展开 )",9.0,1.0,1
3,3,26992114,孤狼之血,c1f6c5c60dac455715b81500c39494db,c1f6c5c60dac455715b81500c39494db,5,2018-11-15 01:40:09,"这篇影评可能有剧透 

                        如果喜欢北野武的《极恶非道》系列，喜欢岩井俊二的《燕尾蝶》，绝对也不能错过这部《孤狼之血》！ 对役所广司的印象，还停留在那部经典的《谈谈情跳跳舞》，那个憨厚的大叔。但这部，依然是大叔，只是这次是个魔鬼刑警，黑帮对他有所忌惮，警署也容忍其暴力，他可以在审讯室里...

                         ( 展开 )",28.0,1.0,4
4,4,26992114,孤狼之血,cb1951ec576e6f2b57c929da485ee43b,6a2be87591b557b759e9af9dedf6008e,4,2018-11-11 23:52:42,"这篇影评可能有剧透 

                        前段时间大火的《江湖儿女》，香港经典的《古惑仔》。 黑帮片一直是小影的心头好。 江湖义气，手足兄弟。 信仰背叛，短兵相接。 只要是不错的黑帮片，我都会看。 比如这部片子，一出资源就被我迅速捕获。 《孤狼之血》 除了卡司阵容强大外，我更好奇的是它的导演白石和弥。 前...

                         ( 展开 )",22.0,1.0,10
5,5,26992114,孤狼之血,a376d8d50784188205fa0138a8e2b9d6,dd6978f8aca4cd58b5546c2b667d62c6,5,2018-12-20 22:33:34,"孤狼，脱离了狼群，选择孤独地在旷野上游荡。可能，他们在狼群当中受到了排挤，不得不选择了游离于外的生活；也可能，他们自愿离开温暖的群体，独自去面对外面那残酷的世界。总之，不管怎么样，他们必须坚强，必须狡猾，必须懂得运用哪怕最为微小的资源，必须抓住任何一个看似...

                         ( 展开 )",11.0,1.0,0
6,6,26992114,孤狼之血,31afd7a419d80885459941788e049802,5ad30a2c4c2491980b6724c701a77e23,4,2018-12-10 15:14:34,"一直以为这会是一部直接和黑帮有正面冲突的片子，至少你们的黑帮也会开团吧，原来只有双方的报复暗杀。其实总结下来可以发现，就算是大佬，也不是时时刻刻有一堆马子跟在后面的，只有摆拍的时候才会，也就说大佬也是人，小弟也是人，日常每个人都有的，因此暗杀报复之类的并不...

                         ( 展开 )",2.0,1.0,0
7,7,26992114,孤狼之血,699607562f1e74326fe1ab3444e66e02,71620d6df6c0741a616456465b139a86,4,2018-06-28 23:31:56,"这篇影评可能有剧透 

                        口味略重的主流商业片，讲的是上世界80年代末广岛的警察跟黑社会之间的故事。感觉日本经常会拍情节或血腥或色情或离奇或变态的故事，走不到特别极端吧，但是重口味却是常态。真是有点奇怪的民族。 比如说日本黑社会这个现象就是，不太了解实际情况，片中呈现的糅杂了暴力和色情...

                         ( 展开 )",3.0,6.0,8
8,8,26992114,孤狼之血,bda543a8d59b488f6b38c0702c2ed8de,c79e024f5b31d2bf6d25e3049bc55660,4,2018-12-02 14:35:18,"这篇影评可能有剧透 

                        去日本旅行的时候，有一件事令我印象深刻。 那是一个风雪交加的晚上，我们一行人坐着旅行社提供的大巴，穿行在蜿蜒曲折的山路上， 车窗外是漫天飘落的雪花，以及远处黑漆漆的山涧。 按照既定的计划，那晚我们会投宿一家地处偏僻的温泉酒店。 在快要到达时，导游小姐告诫车上的...

                         ( 展开 )",13.0,1.0,3
9,9,26992114,孤狼之血,a7e62edbd512cf8099f0de167fb87511,b72c653efafe8a71d7b2438dc6925774,5,2019-02-14 17:17:09,"喜欢得说不出话来。。。。还是说话了还因为知道短评写不下自觉写长评【 其实没多长。。我真的要准备面试了再不搞我要失学了。。我娘说一般大概都会问你最近看的最喜欢的电影是哪个呀那种。。想着我最近没看很多特别喜欢的样子。。。我就随便点了一个硬盘里存着打算以后看的【 ...

                         ( 展开 )",4.0,1.0,6
10,10,26992114,孤狼之血,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3,2021-07-08 20:03:27,"《孤狼之血》的故事背景为1988年施行《黑社会对策法》之前的广岛。被派到当地警署的日冈秀一，与传闻中跟黑社会有勾结的刑警大上章吾一起，负责调查金融公司员工失踪案。日冈因为大上异于常人的调查手段困惑不已。而同时，以失踪案为开端，对立的黑社会团体之间的抗争激化了，...

                         ( 展开 )",,,0
