,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27021609,超大号美人,531129af0579ca08936365f53687eece,533b2e67c51800d0fea1160e43561ac2,5.0,2018-04-29 13:11:25,"这篇影评可能有剧透 

                        太喜欢这个电影了，因为它做到了：把悲伤的事情笑着讲出来。不管剧情有多少瑕疵，总之我笑了，也被感动了。 第一次看到主演舒默是在SNL周末夜现场，当时就被她浑然天成的喜感吸引了。其实在微胖界的喜剧女演员里，她的竞争对手太多，撞型的也太多，但是她竟然还是能杀出一条血...

                         ( 展开 )",66.0,4.0,5
1,1,27021609,超大号美人,4b2a2f1071805b9b5350cb37ab13e060,965b7537f8278d11645d4b85eacec0a9,3.0,2018-07-09 15:39:12,"自信很重要，那是尊重自己，不受到他人的影向，包括霸凌在内。 女主没有自信，并非她的脸长得丑；而是她，应该怎么用这形容词，超重?过胖? 不论怎么用，感觉都直指这「多馀的重量」是极其负面的。我抓不到 胖、瘦、标准之间的绝对区分，但我知道我一年瘦15公斤时的心情。我是开...

                         ( 展开 )",14.0,2.0,1
2,2,27021609,超大号美人,244c8494f37a6f73b09ec1f8f2b855eb,cff7dfbe545cdbeb67e55fe06d56b69d,2.0,2019-02-27 15:13:06,"看的时候忘记关了弹幕，结果满屏都飘满了“尴尬” 尴尬吗？ 当女主在健身房被撞坏了脑袋，醒过来突然觉得自己变美了，导演没有加特效的时候，真的挺尴尬的。 最后她在演讲的时候看到Z自己的照片，才意识到自己外表根本没有改变的时候，蛮尴尬的。 2019年了，大家对无脑的狗血的...

                         ( 展开 )",10.0,1.0,3
3,3,27021609,超大号美人,e9d4ccd7c8435b3ae98cf0241465b692,ae60a75cbb5a2e2183076d9eff71655b,4.0,2018-08-22 16:06:51,"贾玲饰演励志女主 雷佳音饰演干洗店碰到的大叔 林志玲或范冰冰饰演那个女二号 吴彦祖或金城武饰演帅又酷总裁 刘雯或者何穗客串健身房遇到的那个小妹 沈腾客串那个码农男同事 最后结合我国国情，设计一些桥段讽刺一下社会以貌取人的种种场景，比如街上有人拍抖音快手街访，忽略...

                         ( 展开 )",58.0,3.0,19
4,4,27021609,超大号美人,44c0772290bcf8a71914b397c6137a71,6f604eaf8d4ff0817f01329142e4974d,3.0,2019-04-24 23:39:42,"这篇影评可能有剧透 

                        说实话，看完整个电影，我并没有什么愉快舒适的观影体验。 思来想去，大概是因为所有的观影中我们都会自觉或者不自觉的以主人公为视角进行带入，而我个人，并不喜欢 Renee 。在她的世界观里，外表是她决定和判断的第一衡量值，甚至到了唯一的地步。 “变美”前她所有的不自信都...

                         ( 展开 )",13.0,,3
5,5,27021609,超大号美人,9d6d350481d605d96da80eb4cc449385,f4fa5688d2c7cee44f6c1acf7cf347e2,5.0,2019-04-14 21:17:13,"这篇影评可能有剧透 

                        本文始发于微信公众号“五公里” 用心理学看电影，在别人的故事中疗愈自己，欢迎关注。 《超大号美人》是2018年上映的美国电影，其实英文原名《IFeelPretty》更切合影片内容，直译过来是“我觉得我美极了""。 这是一部喜剧电影，故事情节说起来比较老套，自卑的胖女孩怎样找到自...

                         ( 展开 )",32.0,,3
6,6,27021609,超大号美人,eee0d85f006686db72ed7172fe20eda2,9fe344b7a634875a3a5fe1f4d89df092,3.0,2018-08-27 14:42:33,"并没有豆瓣6.4那么一无是处，整部片子贯彻了前几年流行电影一贯的核心价值，自信才最美。 目标影迷是肥姑娘和为变美苦苦挣扎的姑娘，给她们灌一碗颠覆传统审美兴奋剂，老娘也很美！这像战狼一样，看完很燃，胖姑娘也能翻身做主人了。 但回到现实生活，还是美女过美女的，丑女过...

                         ( 展开 )",5.0,4.0,2
7,7,27021609,超大号美人,5c0ae6513db4a6070b8e60deca9c5e8c,c29fa7c6b8815df6919408505fa40f3a,5.0,2019-02-01 06:22:22,"我发现给低分说怎样怎样的都是一些装逼货，打个字还穿插一些英文，怕是以为人家不懂那几个单词一样，说名字还不觉得啥，说一些装逼话加几个单词咋就觉得那么恶心呢？6点几分确实低了，我觉得很好看！把真的变身换成变得自信，而且说尴尬的不正是电影想说的吗？而且本来就是要尴...

                         ( 展开 )",7.0,1.0,0
8,8,27021609,超大号美人,fe658db066550f05bfdd3ab634729af8,5ba7ccad7df0e242b3ac6d03ac3ea5f0,5.0,2018-05-07 06:29:40,"This film made me feel so much more confident for myself because I 've always felt insecure, ugly, fat, and not worthy of anyone's attention. Everyday for 365 days I 've worn makeup because I was so insecure, I 've been dieting for 70 some days and have bee...

                         ( 展开 )",9.0,,7
9,9,27021609,超大号美人,f5fd9fc80a9dafd1c0e33573f0cea75c,1d1e3cb04983adb8f067b310eee269e8,3.0,2018-11-14 00:29:13,"片子很励志，人变美最重要的还是自信。只是中间部分有点尴尬，为了更强的冲突转折，让女主变得不是自信，而是冲动，做事情完全不考虑别人和后果，自己想干嘛就干嘛。当然，可能就是塑造这样的人设。 女主强烈的自卑后发现自己变美了，便是强烈的自负。她骨子里变觉得变美就能得...

                         ( 展开 )",3.0,,0
10,10,27021609,超大号美人,3e3cbfce1bb7bb30094d7124c89969cc,c7aff259eda1e2f6c603f5b3625a13a7,4.0,2021-11-06 11:58:36,"这篇影评可能有剧透 

                        电影《超大号美人》讲述了女主角芮尼面对体型和事业的双重困境，调整自我认知，走出困境开创人生新局面的故事，也从侧面披露了畸形审美最严重的时尚圈怪象，人们如何靠虚伪的外表来建立自信的问题。 这部电影不仅可以当作一部女性职场励志电影来看，也可以启发我们在畸形、单一...

                         ( 展开 )",,,0
11,11,27021609,超大号美人,3e3cbfce1bb7bb30094d7124c89969cc,c7aff259eda1e2f6c603f5b3625a13a7,4.0,2021-10-31 12:42:38,"这篇影评可能有剧透 

                        《超大号美人》不仅是一部女性职场励志电影，也是一次关于“什么是女性真正的美”的探讨之作。通过这部电影我们可以思考这两个启发点： 第一、女性真正的“美力”在于接纳真实的自己 在狭隘、扭曲的审美观影响下，芮尼因为大码的体型自怨自艾，而自我评判并不是大码女孩的“专...

                         ( 展开 )",,,0
