,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27050259,妈妈咪呀2,6d9c8e4ff95227096d8cdf2471cdec7e,6d9c8e4ff95227096d8cdf2471cdec7e,4,2018-08-07 08:03:37,"这篇影评可能有剧透 

                        好多年前看过《妈妈咪呀》的音乐剧和电影，可能当时抱着轻松的感觉去看，已全然忘了故事讲什么。只记得音乐剧的舞台是一片蓝色，歌很好听，舞很好看，仅此而已。如今再看《妈妈咪呀2》，讲真，如果我还是当年那个二十几岁刚工作没什么烦恼的社会新人，一定也不会有太大触动，只...

                         ( 展开 )",254.0,7.0,22
1,1,27050259,妈妈咪呀2,7c238de47634231a4bf09cec4448ae8f,4833b6409186b43a5fca1d43fffbede7,3,2018-07-30 14:35:22,"这篇影评可能有剧透 

                        以下有严重剧透，请酌情选择是否下拉。 （一）三个爹 第一部里面Donna的日记是这样写的：7月17，Sam划船把我带到岛上，我们dot dot dot之后，我发现他订婚了，于是我们就此别过。8月4日，Bill租了个摩托艇，我把他带岛上了，然后我们dot dot dot。8月11日，Harry上了岛，我带他...

                         ( 展开 )",37.0,5.0,15
2,2,27050259,妈妈咪呀2,bf61b88196be8a4a1233e5041bb8f9d7,09cfbf6e8f42e598beee41b8df1fe0a2,4,2018-08-02 06:34:53,"还记得第一部《妈妈咪呀》吗？在一个虚构的希腊小岛，人们没日没夜地载歌载舞，仿佛外面的世界、所有的烦恼都不存在，让人感觉像经历了一次永远不会结束的派对——它的兴奋、热情、满溢的幸福感，让人情不自禁地跟着唐娜三人组扭动，忘我地跟着唱""Dancing Queen""。这是一部纯粹...

                         ( 展开 )",97.0,8.0,15
3,3,27050259,妈妈咪呀2,ec308b5b477ab77dfd567e99fca83fbe,3a4d9b441b1ceef98bf3b248ecd66e62,4,2018-08-02 17:44:51,"这篇影评可能有剧透 

                        歌舞片盛行于上世纪三四十年代，如今日渐式微，在庞大的电影市场中仅占据小小份额。尽管近些年仍有一些不错的歌舞片面世，但该类型片似乎再难成为社会上的流行时尚。 不喜欢歌舞片的人大多是因为突然插入的歌舞会截断叙事的气脉，让人感觉“出戏”。相比普通的故事片，对白与动...

                         ( 展开 )",35.0,2.0,0
4,4,27050259,妈妈咪呀2,2ceca55407aa5441353ec1abbf4bbfd2,07cf9a36e3d79a8f1347667cf2961bb0,5,2018-08-02 16:21:32,"很多年前和朋友看过《妈妈咪呀》中国版的歌舞剧，在去看《妈妈咪呀2》的电影点映前特地看了一遍第一部的电影版。 提到《妈妈咪呀》，不得不先介绍下ABBA乐队—— 《妈妈咪呀》改编自百老汇以瑞典乐队ABBA歌曲为基础写出的音乐剧，而ABBA是瑞典的经典流行组合，成立于1972年。 A...

                         ( 展开 )",45.0,7.0,7
5,5,27050259,妈妈咪呀2,a7af0042211ce63ba204bb8b58aa3d1d,641df2a322211f2e1f26d214b9cb6221,5,2018-08-02 17:47:25,"这篇影评可能有剧透 

                        十年前，Meryl Streep出演的Donna可是完全不同的一场戏。 她的忏悔，是场深重的众人齐心推翻的残墙。现实生活贫累交加，仅存的蜜色幻想，是她可以踩着另一具有力气的男人躯体逃出生天。这份唯一的升天通道，想走的话，要让亲近闺蜜共同否定自己，要从旁人口中影影绰绰漏出他们...

                         ( 展开 )",19.0,2.0,0
6,6,27050259,妈妈咪呀2,fad66231dd1993974bb35cf0ded17713,755f6a96dd9e3fd93e7393b5936d7c1e,4,2018-08-04 00:41:50,"这篇影评可能有剧透 

                        2008年，《妈妈咪呀》曾让我整个夏天神魂颠倒，没想到时隔10年之后，《妈妈咪呀2》再次给我带来了惊喜。不光剧中有欢乐的故友重逢场面，和《妈妈咪呀》多年后的重逢更是意料之外的感动。80年代的洗脑神曲在片中一首接一首循环播放，而我却丝毫不想逃跑，只想让自己慢慢融入其中...

                         ( 展开 )",19.0,,4
7,7,27050259,妈妈咪呀2,e54188743a626a8fc437400d805b5954,f4f67bf86b50df1605ff772c9da52c09,4,2018-07-21 07:29:16,"2008年7月，美国加州 2008年的夏天，在洛杉矶附近一个叫Oceanside的小镇参加夏令营。当时对同夏令营一个叫Teresa的西班牙女生一见钟情，尬聊的时候她推荐了她前两天刚看完的一部音乐剧改编的电影。15岁的少年，大概也只有被荷尔蒙冲昏大脑，才会在和小伙伴去看Dark Knight的时...

                         ( 展开 )",17.0,5.0,8
8,8,27050259,妈妈咪呀2,edd547140c2a2e0a873d36517cec008b,d8135dac73e66e8e677edb816f3b493e,4,2018-08-04 15:34:14,"Mama Mia, here I go again, my my, how can I resist you Mama Mia, does it show again, my my, just how much I missed you 这首脍炙人口的《Mama Mia》是不是看到歌词就能唱出来了，而一唱出来，就是满满的回忆呀… 2008年夏天，备战考研的我，等来《妈妈咪呀》电影版上映 ...

                         ( 展开 )",8.0,4.0,0
9,9,27050259,妈妈咪呀2,4313cb1f40e6ea2fbf2403b64ab44dda,cb4d8f7897e79393be0c82f87f7c38e6,5,2018-07-27 11:32:25,"这篇影评可能有剧透 

                        在MAMA MIA之前，生于85后的我对于ABBA并不了解。但ABBA这个乐队的作品在欧美可以说是家喻户晓的，很多都是听着他们的歌长大的。 2008年的那个夏天，我一个人在伦敦对着研究生毕业论文做着最后的挣扎，在6月的时候论文导师给了大方向的修改建议之后，七月突然多了几十篇的JOURN...

                         ( 展开 )",9.0,1.0,2
10,10,27050259,妈妈咪呀2,6dcd7bd2071913060255e76a2e27dd9a,7ba17879faeb0c4aad4639e9d795f8ad,4,2018-08-06 12:44:47,"这篇影评可能有剧透 

                        新的《妈妈咪呀》上映了。听说是原班人马，很多老歌新编，还有我喜欢的希腊风光——熟悉的海报把我的记忆一下子就拉回多年前第一次在新买的DVD上看第一部《妈妈咪呀》的快乐假期。于是我第一天就约上我妈，去电影院先睹为快。 跟第一部一样，新的《妈妈咪呀》是以歌舞片的形式...

                         ( 展开 )",39.0,4.0,0
11,11,27050259,妈妈咪呀2,d47eb87badc875d5f711a7e25b68f0f2,d9492f34cc34f0ac00f229237beca475,5,2018-07-26 12:15:05,"这篇影评可能有剧透 

                        期待已久的Mama Mia在我最需要的时候治愈了我。其中承载了多少高中时候的回忆。记得那时候，同桌是一个很喜欢ABBA歌曲的女生，有一个叫做A-teens的年轻组合翻唱了很多ABBA的歌，跟着同桌，也是听了很多ABBA的歌。Mama Mia把我儿时的回忆瞬间翻起，那个女生已经在我们的家乡结婚...

                         ( 展开 )",2.0,1.0,5
12,12,27050259,妈妈咪呀2,d21a395a2fa78115643872b2dee9d5e7,81b9d9bd4bc1f02737aeda1fec0e1507,4,2018-08-21 12:09:53,"本文发表于《上海电视》2018年8月某期。如需转载，请一定联系本人、一定注明、一定附上豆瓣链接！ ------------------------------------------------------------------------- 当代欧洲的文学作品和艺术电影常常更打动不愁物质、追求精神享乐的文艺青年。我想有部分原因是欧...

                         ( 展开 )",3.0,,0
13,13,27050259,妈妈咪呀2,8c81ff64814bd05a0c7b56148cda9ff7,6c9e99b08e36bc83b4038054f253d826,2,2018-08-11 15:28:17,"这篇影评可能有剧透 

                        众口难调。 这部的剧本 凌乱的组织根本不能完整表述成一个故事，东一拼西一凑。 如果是母女共同经营旅社发生的趣事还好，承接前一部的风格。这部居然是来了个悼念版，透过穿插女主妈妈年轻时追求自我到找到真我偏居一隅的回忆来撑起全剧。无疑是失败的。 而且找自我的过程需要...

                         ( 展开 )",2.0,1.0,0
14,14,27050259,妈妈咪呀2,f8c32d2ab9fe8e20efeb7fe0f75314c6,6da7acaca8d20bedb67a98e0a83b03fc,3,2018-08-09 10:36:22,"这篇影评可能有剧透 

                        很美，很热情的电影。十年之后第二部卡司悉数回归，梅姨，老牌007布鲁斯南，脸叔，雷神的地球岳父，风采不减当年，怀旧之情等已经值回票价。 歌舞剧电影确实看的不多，有基础的还是去年的《爱乐之城》，看完确实很迷恋这样的电影，青春洋溢，热情似火。看这部之前特意回顾了第...

                         ( 展开 )",1.0,,0
15,15,27050259,妈妈咪呀2,b644ab18e8281c0d647afd780481a622,9f1f608d0a576fcf672e62ef0bf22f02,4,2018-08-04 11:07:38,"呀呀呀，国人真的不爱歌舞片啊…… 排片少，看的人少，票房自然也少…… 可是ABBA的歌好不好听？007、脸叔、安迪加西亚帅不帅？雪儿女神赞不赞？希腊、地中海美不美……看点可真的是不少！ 演员阵容也很强大，奥斯卡影后两位（梅里尔斯普利特、雪儿）、影帝一名（科林费尔斯）...

                         ( 展开 )",2.0,1.0,0
16,16,27050259,妈妈咪呀2,f88ec62d6634b97374e74eb89a083b5d,baf48da1bb54372638b5db47c285c029,4,2018-08-01 15:49:31,"老中青三代分别演绎了为人母所截然不同的风格——莉莉詹姆斯饰演的Donna风情万种，每个男嘉宾都被撩得五迷三道，甚至在她过世之后依旧念念不忘；阿曼达版的Sophie清新可人，虽然没有遗传母亲的奔放，却也为爱孤注一掷；Cher出场的时候没猜到她是祖母，她身上集合了女性多种特质...

                         ( 展开 )",1.0,2.0,0
17,17,27050259,妈妈咪呀2,cdc5cdf4b6e1ac01257b2924526402ca,cdc5cdf4b6e1ac01257b2924526402ca,4,2018-07-22 21:49:02,"从某种程度上，《妈妈咪呀2》和《侏罗纪世界2》一样，有着异曲同工之“妙”：把最受欢迎的前作角色拿来当做噱头和招牌，一旦到了正片里，就神龙见尾不见首。当然，《侏罗纪世界2》的杰夫·高布伦要更恶劣一些，马尔科姆博士的出场对整个故事没有一丁点的影响；但《妈妈咪呀2》...

                         ( 展开 )",9.0,2.0,1
18,18,27050259,妈妈咪呀2,002e3d0df4a4b33c60960f0b501fce29,5f3c73f334928ade199125381f726892,3,2018-07-22 07:24:49,"综合评分7分。不过本文仅对服装设计随口吐槽。其他部分欢迎交流。 作为一部巨星云集的大片，上映前就被粉丝们炒高一点都不吃惊。这可能是这个夏日欧美院线里最轻松惬意的大片了。轻松惬意的剧情，美丽的希腊岛屿，赏心悦目的俊男美女，欢乐的歌舞，以及脍炙人口的歌舞，没有什...

                         ( 展开 )",2.0,,0
19,19,27050259,妈妈咪呀2,0297df960aa1808b87a197e8a0ca2649,1f94f4baec236d2ed3252af2d69341b3,3,2022-01-07 21:44:57,"这篇影评可能有剧透 

                        莉莉詹姆斯在这部戏里的造型有点丑，画的黑，而且发色也不合适，妆容显得老了许多，脸盘还大。另外一位索菲的演员画的也相当的丑。 还是不太欣赏美国歌舞片，我觉得完全可以用一部爱情轻喜剧就可以讲完故事了，不用演员费那么大功夫又唱又跳的，我不知道唱的究竟是不是演员的原...

                         ( 展开 )",,,0
20,20,27050259,妈妈咪呀2,fda0a61939221d147bc088d1a8b61280,397cbf6db9d7ae6906ae420aedc5346c,5,2021-01-12 21:26:07,"It is such a long time since I have cried so hard, and I guess I have to admit the sad truth that I have come to stage when even the slightest twist in a relationship will set my tears loose, let alone such a gut-wrenching love story told in the span of a s...

                         ( 展开 )",,,0
21,21,27050259,妈妈咪呀2,7fa862c9fec8e8bae3f1992bfb93cde4,417af0c419f63472523ea81413a00e33,4,2020-08-07 01:42:00,"看第一部妈妈咪呀时还是不谙世事的少年。当时还是买了DVD坐在家里和妈妈一起看的，甚至看了这部电影直接成为了ABBA和A-teens的伪歌迷。前段时间心血来潮又和朋友一起重温了妈妈咪呀，小时候觉得合理的剧情现在却觉得有点扯了起来。Donna和三个帅哥二十年前的露水情缘便足以让三...

                         ( 展开 )",1.0,,0
22,22,27050259,妈妈咪呀2,b5fcd4a549b0efcd272ec4dc2bc87766,576014020e962a15ff9acd4f2ae3d110,3,2020-02-17 16:14:51,"这篇影评可能有剧透 

                        看了1所以把2追完 其实2就是把1中提到的母亲的故事又拍了一遍 那三个男的怎么分别前后认识和爱上的 为什么又没走下去 而母亲在2中是已过世的角色 最后索菲也怀孕了 还是在这个小岛上 三位爸爸还是做她的爸爸 就是喜剧结尾 各种唱和跳 打发时间看看的 好像在美国玩的时候也有妈...

                         ( 展开 )",,,0
23,23,27050259,妈妈咪呀2,0ac020aa97e30a490be3fa163fc40a97,127547b511e8f253e01dac2fc590979a,4,2020-01-09 23:37:34,"终于看完了《妈妈咪呀2》，终于圆了我的梦。 为什么拖了这么久才看？因为当我听说第二部唐娜（梅姨饰演）死了，就没有想看的欲望了。 但是，相隔10年，这部电影能出续集，还能召集原班人马出演，已经十分不易了，看着那些熟悉的演员相继出现在电影里，虽然这十年的光阴在演员们...

                         ( 展开 )",,,0
24,24,27050259,妈妈咪呀2,70de48fc7ed67faa97206a674dc77972,f1a996bf5f924d1ddfe19e7f6da931ec,4,2019-12-25 21:55:37,"单亲女儿从妈妈的日记里发现了三个都可能是当年播种成为自己爸爸的男人。面对母亲的三个前恋人，突然冒出三个爸爸谁才是真正的那个爸爸的寻父回忆之旅就这样开始了。作为一部音乐电影，因为看过《妈妈咪呀》舞台剧，所以对电影有着不言而喻的好感和情愫。这次《妈妈咪呀2》作为...

                         ( 展开 )",,,0
25,25,27050259,妈妈咪呀2,e1fa501a3a06bb44a70b7943b9ca8aaf,9809f7be10b2f7a3940a5e23c5b8d425,4,2019-10-14 00:31:09,"太喜欢剧里的色彩搭配了，要好好研究！更多的是感动，双线叙事是一大亮点，讲述了前史也有了后续，除了Donna已不在😭也算是画上一个圆满句号。每次看#妈妈咪呀，Abba的歌一响起，心是悸动的，嘴角是上扬的。当然，每次都会不自觉将#音乐剧妈妈咪呀# 人设映射到影片中，也让我...

                         ( 展开 )",1.0,,0
